sequence,v115@zgA8IeB8BeA8EeE8EeD8FeG8AeB8JeU7IvhFGcBidB?5jBziB3mBlsB,v115@zgA8IeB8BeA8EeE8EeD8FeG8AeB8JeU7IvhFRcBSiB?TeB3mBGoBlsB,v115@zgA8IeB8BeA8EeE8EeD8FeG8AeB8JeU7IvhFRcBzdB?+jBFnB3mBCtB,v115@zgA8IeB8BeA8EeE8EeD8FeG8AeB8JeU7IvhFGcBxdB?/nB1rBToBCtB,v115@zgA8IeB8BeA8EeE8EeD8FeG8AeB8JeU7IvhFRcBSjB?FnBToB3mBusB,v115@zgA8IeB8BeA8EeE8EeD8FeG8AeB8JeU7IvhFGcB1rB?xnB/nBToBCtB,v115@zgA8IeB8BeA8EeE8EeD8FeG8AeB8JeU7IvhFXdB5nB?6tBOtBzrBFrB,v115@zgA8IeB8BeA8EeE8EeD8FeG8AeB8JeU7IvhFGcB5jB?3mBznBinBlsB,v115@zgA8IeB8BeA8EeE8EeD8FeG8AeB8JeU7IvhFxdBWnB?TjBXnBFmBCtB,v115@zgA8IeB8BeA8EeE8EeD8FeG8AeB8JeU7IvhFxdBumB?CjB/sBTtBFrB
TJZIOLS,O,O,X,X,X,O,X,X,X,X
TJZIOSL,O,O,X,O,X,O,X,X,X,X
TJZLISO,X,O,O,X,X,O,X,X,X,X
TJZLIOS,O,O,O,X,X,O,X,X,X,X
TJZLSIO,X,O,O,O,X,X,X,X,X,X
TJZLSOI,X,O,O,O,X,X,X,X,X,X
TJZLOIS,O,O,O,X,X,X,X,X,X,X
TJZLOSI,O,O,O,O,X,X,X,X,X,X
TJZSILO,O,O,X,O,X,O,X,X,X,X
TJZSIOL,O,O,X,O,X,O,X,O,X,X
TJZSLIO,O,O,X,O,X,X,X,X,X,X
TJZSLOI,O,O,X,O,X,X,X,X,X,O
TJZSOIL,O,O,X,O,X,X,X,O,X,X
TJZSOLI,O,O,X,O,X,X,X,X,X,O
TJZOILS,O,O,X,X,X,O,X,X,X,X
TJZOISL,O,O,X,O,X,O,X,X,X,X
TJZOLIS,O,O,X,X,X,X,X,X,X,X
TJZOLSI,O,O,X,O,O,X,X,X,X,X
TJZOSIL,O,O,X,O,O,X,X,X,X,X
TJZOSLI,O,O,X,O,O,X,X,X,X,X
TJOILSZ,O,O,X,X,X,O,X,X,X,X
TJOILZS,O,O,X,X,X,O,X,X,X,X
TJOISLZ,O,O,X,O,X,O,X,X,X,X
TJOISZL,O,O,X,O,X,O,X,X,X,X
TJOIZLS,O,O,X,X,X,O,X,X,X,X
TJOIZSL,O,O,X,O,X,O,X,X,X,X
TJOLISZ,O,O,X,X,X,X,X,X,X,X
TJOLIZS,O,O,X,X,X,X,X,X,X,X
TJOLSIZ,O,O,X,O,O,X,X,X,X,X
TJOLSZI,O,O,X,O,O,X,X,X,X,X
TJOLZIS,O,O,X,X,X,X,X,X,X,X
TJOLZSI,O,O,X,O,O,X,X,X,X,X
TJOSILZ,O,O,X,O,O,X,X,X,X,X
TJOSIZL,O,O,X,O,O,X,X,X,X,X
TJOSLIZ,O,O,X,O,O,X,X,X,X,X
TJOSLZI,O,O,X,O,O,X,X,X,X,X
TJOSZIL,O,O,X,O,O,X,X,X,X,X
TJOSZLI,O,O,X,O,O,X,X,X,X,X
TJOZILS,O,O,X,X,X,O,X,X,X,X
TJOZISL,O,O,X,O,X,O,X,X,X,X
TJOZLIS,O,O,X,X,X,X,X,X,X,X
TJOZLSI,O,O,X,O,O,X,X,X,X,X
TJOZSIL,O,O,X,O,O,X,X,X,X,X
TJOZSLI,O,O,X,O,O,X,X,X,X,X
TSILJZO,O,O,O,O,X,O,X,X,X,X
TSILJOZ,O,O,O,X,X,O,X,X,X,X
TSILZJO,O,O,O,O,X,O,X,X,X,X
TSILZOJ,O,O,X,X,X,O,X,X,X,X
TSILOJZ,O,O,X,X,X,O,X,X,X,X
TSILOZJ,O,O,X,X,X,O,X,X,X,X
TSIJLZO,O,O,X,O,X,O,X,X,X,X
TSIJLOZ,O,O,X,X,X,O,X,X,X,X
TSIJZLO,O,O,X,O,X,O,X,X,X,X
TSIJZOL,O,O,X,O,X,O,X,O,X,X
TSIJOLZ,O,O,X,O,X,O,X,O,X,X
TSIJOZL,O,O,X,O,X,O,X,O,X,X
TSIZLJO,O,O,O,O,X,O,X,X,X,X
