sequence,v115@IhA8BeB8EeA8BeB8EeE8CeA8JeZEJvhFalBulBFiBT?jBcsBXtB,v115@IhA8BeB8EeA8BeB8EeE8CeA8JeZEJvhFalBulBFiBX?jBctBTsB,v115@IhA8BeB8EeA8BeB8EeE8CeA8JeZEJvhF3gBGiBTjBK?sBUlBFtB,v115@IhA8BeB8EeA8BeB8EeE8CeA8JeZEJvhFUgBGiBTjBK?sB3lBFtB
TOISLJZ,X,O,X,X
TOISLZJ,X,O,X,X
TOISJLZ,X,O,X,X
TOISJZL,X,O,X,X
TOISZLJ,X,O,X,X
TOISZJL,X,O,X,X
TOIZLJS,O,O,X,X
TOIZLSJ,O,O,X,X
TOIZJLS,O,O,X,X
TOIZJSL,O,O,X,X
TOIZSLJ,O,O,X,X
TOIZSJL,O,O,X,X
TOLIJSZ,X,O,X,X
TOLIJZS,O,O,X,X
TOLISJZ,X,O,X,X
TOLISZJ,X,O,X,X
TOLIZJS,O,O,X,X
TOLIZSJ,O,O,X,X
TOLJISZ,X,O,X,X
TOLJIZS,O,O,X,X
TOLJSIZ,X,O,X,X
TOLJSZI,X,O,X,X
TOLJZIS,O,O,X,X
TOLJZSI,O,O,X,X
TOLSIJZ,X,O,X,X
TOLSIZJ,X,O,X,X
TOLSJIZ,X,O,X,X
TOLSJZI,X,O,X,X
TOLSZIJ,X,O,X,X
TOLSZJI,X,O,X,X
TOLZIJS,O,O,X,X
TOLZISJ,O,O,X,X
TOLZJIS,O,O,X,X
TOLZJSI,O,O,X,X
TOLZSIJ,O,O,X,X
TOLZSJI,O,O,X,X
TOJILSZ,X,O,X,X
TOJILZS,O,O,X,X
TOJISLZ,X,O,X,X
TOJISZL,X,O,X,X
TOJIZLS,O,O,X,X
TOJIZSL,O,O,X,X
TOJLISZ,X,O,X,X
TOJLIZS,O,O,X,X
TOJLSIZ,X,O,X,X
TOJLSZI,X,O,X,X
TOJLZIS,O,O,X,X
TOJLZSI,O,O,X,X
TOJSILZ,X,O,X,X
TOJSIZL,X,O,X,X
TOJSLIZ,X,O,X,X
TOJSLZI,X,O,X,X
TOJSZIL,X,O,X,X
TOJSZLI,X,O,X,X
TOJZILS,O,O,X,X
TOJZISL,O,O,X,X
TOJZLIS,O,O,X,X
TOJZLSI,O,O,X,X
TOJZSIL,O,O,X,X
TOJZSLI,O,O,X,X
TOSILJZ,X,O,X,X
TOSILZJ,X,O,X,X
TOSIJLZ,X,O,X,X
TOSIJZL,X,O,X,X
TOSIZLJ,X,O,X,X
TOSIZJL,X,O,X,X
TOSLIJZ,X,O,X,X
TOSLIZJ,X,O,X,X
TOSLJIZ,X,O,X,X
TOSLJZI,X,O,X,X
TOSLZIJ,X,O,X,X
TOSLZJI,X,O,X,X
TOSJILZ,X,O,X,X
TOSJIZL,X,O,X,X
TOSJLIZ,X,O,X,X
TOSJLZI,X,O,X,X
TOSJZIL,X,O,X,X
TOSJZLI,X,O,X,X
TOSZILJ,X,O,X,X
TOSZIJL,X,O,X,X
TOSZLIJ,X,O,X,X
TOSZLJI,X,O,X,X
TOSZJIL,X,O,X,X
TOSZJLI,X,O,X,X
TOZILJS,O,O,X,X
TOZILSJ,O,O,X,X
TOZIJLS,O,O,X,X
TOZIJSL,O,O,X,X
TOZISLJ,O,O,X,X
TOZISJL,O,O,X,X
TOZLIJS,O,O,X,X
TOZLISJ,O,O,X,X
TOZLJIS,O,O,X,X
TOZLJSI,O,O,X,X
TOZLSIJ,O,O,X,X
TOZLSJI,O,O,X,X
TOZJILS,O,O,X,X
TOZJISL,O,O,X,X
TOZJLIS,O,O,X,X
TOZJLSI,O,O,X,X
TOZJSIL,O,O,X,X
TOZJSLI,O,O,X,X
TOZSILJ,O,O,X,X
TOZSIJL,O,O,X,X
TOZSLIJ,O,O,X,X
TOZSLJI,O,O,X,X
TOZSJIL,O,O,X,X
TOZSJLI,O,O,X,X
ITLJSZO,O,O,O,O
ITLJSOZ,O,O,O,O
ITLJZSO,O,O,O,O
ITLJZOS,O,O,O,O
ITLJOSZ,X,O,O,O
ITLJOZS,O,O,O,O
ITLSJZO,O,O,O,O
ITLSJOZ,O,O,O,O
ITLSZJO,O,O,O,O
ITLSZOJ,O,O,O,O
ITLSOJZ,O,O,O,O
ITLSOZJ,O,O,O,O
ITLZJSO,O,O,O,O
ITLZJOS,O,O,O,O
ITLZSJO,O,O,O,O
ITLZSOJ,O,O,O,O
ITLZOJS,O,O,O,O
ITLZOSJ,O,O,O,O
ITLOJSZ,X,O,O,O
ITLOJZS,O,O,O,O
ITLOSJZ,X,O,O,O
ITLOSZJ,X,O,O,O
ITLOZJS,O,O,O,O
ITLOZSJ,O,O,O,O
ITJLSZO,O,O,O,O
ITJLSOZ,O,O,O,O
ITJLZSO,O,O,O,O
ITJLZOS,O,O,O,O
ITJLOSZ,X,O,O,O
ITJLOZS,O,O,O,O
ITJSLZO,O,O,O,X
ITJSLOZ,O,O,O,X
ITJSZLO,O,O,X,X
ITJSZOL,O,O,X,X
ITJSOLZ,O,O,X,X
ITJSOZL,O,O,X,X
ITJZLSO,O,O,X,O
ITJZLOS,O,O,X,O
ITJZSLO,O,O,X,X
ITJZSOL,O,O,X,X
ITJZOLS,O,O,X,X
ITJZOSL,O,O,X,X
ITJOLSZ,X,O,X,X
ITJOLZS,O,O,X,X
ITJOSLZ,X,O,X,X
ITJOSZL,X,O,X,X
ITJOZLS,O,O,X,X
ITJOZSL,O,O,X,X
ITSLJZO,O,O,O,X
ITSLJOZ,O,O,O,X
ITSLZJO,O,O,O,X
ITSLZOJ,O,O,O,X
ITSLOJZ,O,O,O,X
ITSLOZJ,O,O,O,X
ITSJLZO,O,O,O,X
ITSJLOZ,O,O,O,X
ITSJZLO,O,O,X,X
ITSJZOL,O,O,X,X
ITSJOLZ,O,O,X,X
ITSJOZL,O,O,X,X
ITSZLJO,O,O,X,X
ITSZLOJ,O,O,X,X
ITSZJLO,O,O,X,X
ITSZJOL,O,O,X,X
ITSZOLJ,O,O,X,X
ITSZOJL,O,O,X,X
ITSOLJZ,O,O,X,X
ITSOLZJ,O,O,X,X
