sequence,v115@9gC8GeB8HeB8HeD8AeA8NecFJvhFThBmiB5oBKsBft?BFrB,v115@9gC8GeB8HeB8HeD8AeA8NecFJvhFThBZnBGjBqsB/t?BFrB,v115@9gC8GeB8HeB8HeD8AeA8NeRBJvhF3iBcoBTlBOrBFs?BSyB,v115@9gC8GeB8HeB8HeD8AeA8NecFJvhFThB/nBaoB5oBFr?B2xB,v115@9gC8GeB8HeB8HeD8AeA8NecFJvhFThBOnBXjBStBFr?BxxB,v115@9gC8GeB8HeB8HeD8AeA8NecFJvhFThBxiBOsBXoBFr?BSyB,v115@9gC8GeB8HeB8HeD8AeA8NeFBJvhFZnBGjBTlBcrBqs?B/tB,v115@9gC8GeB8HeB8HeD8AeA8NeFBJvhFmiB5oBTlBftBir?BUsB,v115@9gC8GeB8HeB8HeD8AeA8NecFJvhFThBxiBinB+tBFr?B3sB,v115@9gC8GeB8HeB8HeD8AeA8Ne3AJvhFziB5oBlmBUnBmq?ByxB,v115@9gC8GeB8HeB8HeD8AeA8NeFBJvhF/nBaoB5oBTlBcr?B2xB,v115@9gC8GeB8HeB8HeD8AeA8NecFJvhFThBiiB+oB3nBFr?BxxB,v115@9gC8GeB8HeB8HeD8AeA8NecFJvhFThBiiB5oBFrBms?B3sB,v115@9gC8GeB8HeB8HeD8AeA8NecFJvhFThB2nB5oB3nBFr?ByxB,v115@9gC8GeB8HeB8HeD8AeA8NeFBJvhF5oBTlBcrBinB3s?BmsB,v115@9gC8GeB8HeB8HeD8AeA8NecFJvhFThB5oBinBFrB3s?BmsB
ZLIJSOT,O,O,O,O,O,O,O,X,X,O,O,O,X,X,X,X
ZLIJOTS,X,X,X,X,O,O,X,X,X,O,X,X,O,O,X,X
ZLIJOST,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
ZLISTJO,O,O,O,X,O,O,O,O,X,X,X,X,X,O,X,O
ZLISTOJ,O,O,O,X,O,O,O,X,X,X,X,X,X,O,X,O
ZLISJTO,O,O,O,X,O,O,O,O,X,X,X,X,X,O,X,O
ZLISJOT,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X
ZLISOTJ,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,O
ZLISOJT,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
ZLIOTJS,O,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X
ZLIOTSJ,O,O,O,X,O,X,O,X,X,O,X,X,X,O,X,X
ZLIOJTS,X,X,O,X,O,X,O,X,X,O,X,X,X,O,X,X
ZLIOJST,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X
ZLIOSTJ,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
ZLIOSJT,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
ZLJTISO,O,O,O,O,X,O,O,X,X,O,O,X,O,O,X,X
ZLJTIOS,O,O,O,O,X,O,X,X,O,O,X,X,O,O,X,X
ZLJTSIO,O,O,O,O,X,O,O,X,O,O,O,X,O,O,X,X
ZLJTSOI,O,O,O,O,X,O,O,X,O,O,O,X,O,O,X,X
ZLJTOIS,O,O,O,O,X,O,X,X,O,O,X,X,O,O,X,X
ZLJTOSI,O,O,O,O,X,O,X,X,O,O,X,X,O,O,X,X
ZLJITSO,O,O,O,O,X,O,O,X,X,O,O,X,O,O,X,X
ZLJITOS,O,O,O,O,X,O,X,X,O,O,X,X,O,O,X,X
ZLJISTO,O,O,O,O,X,O,O,X,O,O,O,X,O,O,X,X
ZLJISOT,O,O,O,O,X,O,O,X,O,O,O,X,X,X,X,X
ZLJIOTS,X,X,X,X,X,O,X,X,X,O,X,X,O,O,X,X
ZLJIOST,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
ZLJSTIO,O,O,O,O,X,O,O,X,O,O,O,X,O,O,X,X
ZLJSTOI,O,O,O,O,X,O,O,X,O,O,O,X,O,O,X,X
ZLJSITO,O,O,O,O,X,O,O,X,O,O,O,X,O,O,X,X
ZLJSIOT,O,O,O,O,X,O,O,X,O,O,O,X,X,X,X,X
ZLJSOTI,O,O,O,O,X,O,O,X,O,O,O,X,X,X,X,X
ZLJSOIT,O,O,O,O,X,O,O,X,O,O,O,X,X,X,X,X
ZLJOTIS,X,X,O,X,X,O,X,X,X,O,X,X,O,O,X,X
ZLJOTSI,X,X,O,X,X,O,X,X,X,O,X,X,O,O,X,X
ZLJOITS,X,X,O,X,X,O,X,X,X,O,X,X,O,O,X,X
ZLJOIST,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
ZLJOSTI,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X
ZLJOSIT,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X
ZLSTIJO,O,O,O,X,X,O,O,O,X,X,X,X,X,O,X,O
ZLSTIOJ,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,O
ZLSTJIO,O,O,O,X,X,O,O,O,X,X,X,X,X,O,X,O
ZLSTJOI,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,O
ZLSTOIJ,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,O
ZLSTOJI,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,O
ZLSITJO,O,O,O,X,X,O,O,O,X,X,X,X,X,O,X,O
ZLSITOJ,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,O
ZLSIJTO,O,O,O,X,X,O,O,O,X,X,X,X,X,O,X,O
ZLSIJOT,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
ZLSIOTJ,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,O
ZLSIOJT,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZLSJTIO,O,O,O,X,X,O,O,O,X,X,X,X,X,O,X,O
ZLSJTOI,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,O
ZLSJITO,O,O,O,X,X,O,O,O,X,X,X,X,X,O,X,O
ZLSJIOT,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
ZLSJOTI,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
ZLSJOIT,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
ZLSOTIJ,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,O
ZLSOTJI,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,O
ZLSOITJ,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,O
ZLSOIJT,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZLSOJTI,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
ZLSOJIT,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
ZLOTIJS,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X
ZLOTISJ,O,O,O,X,X,O,O,X,X,O,X,X,X,O,X,X
ZLOTJIS,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X
ZLOTJSI,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X
ZLOTSIJ,O,O,O,X,X,O,O,X,X,O,X,X,X,O,X,X
ZLOTSJI,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X
ZLOITJS,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X
ZLOITSJ,O,O,O,X,X,X,O,X,X,O,X,X,X,O,X,X
ZLOIJTS,X,X,O,X,X,X,O,X,X,O,X,X,X,O,X,X
ZLOIJST,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
ZLOISTJ,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZLOISJT,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZLOJTIS,X,X,O,X,X,O,O,X,X,O,X,X,X,O,X,X
ZLOJTSI,X,X,O,X,X,O,O,X,X,O,X,X,X,O,X,X
ZLOJITS,X,X,O,X,X,O,O,X,X,O,X,X,X,O,X,X
ZLOJIST,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
ZLOJSTI,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X
ZLOJSIT,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X
ZLOSTIJ,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
ZLOSTJI,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
ZLOSITJ,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
ZLOSIJT,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZLOSJTI,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
ZLOSJIT,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
ZJTILSO,O,O,O,O,O,O,O,X,X,O,O,O,O,O,X,X
ZJTILOS,O,O,O,O,O,O,X,X,O,O,X,O,O,O,X,X
ZJTISLO,O,X,X,O,O,X,X,X,O,O,O,O,O,X,X,O
ZJTISOL,X,X,X,O,O,O,X,X,O,X,O,O,O,X,X,O
ZJTIOLS,O,O,X,O,O,O,X,X,O,X,X,O,O,O,X,X
ZJTIOSL,X,X,X,O,O,O,X,X,O,X,O,O,O,X,X,O
ZJTLISO,O,O,O,O,X,O,O,X,X,O,O,X,O,O,X,X
ZJTLIOS,O,O,O,O,X,O,X,X,O,O,X,X,O,O,X,X
ZJTLSIO,O,O,O,O,X,O,O,X,O,O,O,X,O,O,X,X
ZJTLSOI,O,O,O,O,X,O,O,X,O,O,O,X,O,O,X,X
ZJTLOIS,O,O,O,O,X,O,X,X,O,O,X,X,O,O,X,X
ZJTLOSI,O,O,O,O,X,O,X,X,O,O,X,X,O,O,X,X
ZJTSILO,O,O,X,O,X,X,O,X,O,O,O,X,O,X,X,O
ZJTSIOL,X,O,X,O,X,O,X,X,O,X,O,X,O,X,X,O
ZJTSLIO,O,O,X,O,X,O,O,X,O,O,O,X,O,X,X,O
ZJTSLOI,O,O,X,O,X,O,O,X,O,O,O,X,O,X,X,O
ZJTSOIL,X,O,X,O,X,O,X,X,O,X,O,X,O,X,X,O
ZJTSOLI,X,O,X,O,X,O,O,X,O,X,O,X,O,X,X,O
ZJTOILS,O,O,X,O,O,O,X,X,O,X,X,O,O,O,X,X
ZJTOISL,X,X,X,O,O,O,X,X,O,X,O,O,O,X,X,O
ZJTOLIS,O,O,X,O,X,O,X,X,O,X,X,X,O,O,X,X
ZJTOLSI,O,O,X,O,X,O,X,X,O,X,X,X,O,O,X,X
ZJTOSIL,X,O,X,O,X,O,X,X,O,X,O,X,O,X,X,O
ZJTOSLI,X,O,X,O,X,O,X,X,O,X,O,X,O,X,X,O
ZJITLSO,O,O,O,O,O,O,O,X,X,O,O,O,O,O,X,X
ZJITLOS,O,O,O,O,O,O,X,X,O,O,X,O,O,O,X,X
ZJITSLO,O,X,X,O,O,X,X,X,O,O,O,O,O,X,X,O
ZJITSOL,X,X,X,O,O,O,X,X,O,X,O,O,O,X,X,O
ZJITOLS,O,O,X,O,O,O,X,X,O,X,X,O,O,O,X,X
ZJITOSL,X,X,X,O,O,O,X,X,O,X,O,O,O,X,X,O
ZJILTSO,O,O,O,O,O,O,O,X,X,O,O,O,O,O,X,X
ZJILTOS,O,O,O,O,O,O,X,X,O,O,X,O,O,O,X,X
ZJILSTO,O,O,O,O,O,O,O,X,O,O,O,O,O,O,X,X
ZJILSOT,O,O,O,O,O,O,O,X,O,O,O,O,X,X,X,X
ZJILOTS,X,X,X,X,O,O,X,X,X,O,X,X,O,O,X,X
ZJILOST,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
ZJISTLO,O,X,X,O,O,X,X,X,O,O,O,O,O,X,X,O
ZJISTOL,X,X,X,O,O,O,X,X,O,X,O,O,O,X,X,O
ZJISLTO,O,X,X,O,O,X,X,X,O,O,O,O,O,X,X,O
ZJISLOT,O,X,X,O,O,X,X,X,O,O,O,O,X,X,X,X
ZJISOTL,X,X,X,O,X,X,X,X,O,X,O,O,X,X,X,X
ZJISOLT,O,X,X,O,X,X,X,X,O,X,O,O,X,X,X,X
ZJIOTLS,X,X,X,O,O,O,X,X,O,X,O,O,O,X,X,X
ZJIOTSL,X,X,X,O,O,O,X,X,O,X,O,O,O,X,X,X
ZJIOLTS,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X
ZJIOLST,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
ZJIOSTL,X,X,X,O,X,X,X,X,O,X,O,O,X,X,X,X
ZJIOSLT,X,X,X,O,X,X,X,X,O,X,O,O,X,X,X,X
ZJLTISO,O,O,O,O,X,O,O,X,X,O,O,X,O,O,X,X
ZJLTIOS,O,O,O,O,X,O,X,X,O,O,X,X,O,O,X,X
ZJLTSIO,O,O,O,O,X,O,O,X,O,O,O,X,O,O,X,X
ZJLTSOI,O,O,O,O,X,O,O,X,O,O,O,X,O,O,X,X
ZJLTOIS,O,O,O,O,X,O,X,X,O,O,X,X,O,O,X,X
ZJLTOSI,O,O,O,O,X,O,X,X,O,O,X,X,O,O,X,X
ZJLITSO,O,O,O,O,X,O,O,X,X,O,O,X,O,O,X,X
ZJLITOS,O,O,O,O,X,O,X,X,O,O,X,X,O,O,X,X
ZJLISTO,O,O,O,O,X,O,O,X,O,O,O,X,O,O,X,X
ZJLISOT,O,O,O,O,X,O,O,X,O,O,O,X,X,X,X,X
ZJLIOTS,X,X,X,X,X,O,X,X,X,O,X,X,O,O,X,X
ZJLIOST,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
ZJLSTIO,O,O,O,O,X,O,O,X,O,O,O,X,O,O,X,X
ZJLSTOI,O,O,O,O,X,O,O,X,O,O,O,X,O,O,X,X
ZJLSITO,O,O,O,O,X,O,O,X,O,O,O,X,O,O,X,X
ZJLSIOT,O,O,O,O,X,O,O,X,O,O,O,X,X,X,X,X
ZJLSOTI,O,O,X,O,X,O,O,X,O,O,O,X,X,X,X,X
ZJLSOIT,O,O,O,O,X,O,O,X,O,O,O,X,X,X,X,X
ZJLOTIS,X,X,O,X,X,O,X,X,X,O,X,X,O,O,X,X
ZJLOTSI,X,X,O,X,X,O,X,X,X,O,X,X,O,O,X,X
ZJLOITS,X,X,X,X,X,O,X,X,X,O,X,X,O,O,X,X
ZJLOIST,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
ZJLOSTI,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
ZJLOSIT,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X
ZJSTILO,O,O,X,O,X,X,O,X,O,O,O,X,O,X,X,O
ZJSTIOL,X,O,X,O,X,O,X,X,O,X,O,X,O,X,X,O
ZJSTLIO,O,O,X,O,X,O,O,X,O,O,O,X,O,X,X,O
ZJSTLOI,O,O,X,O,X,O,O,X,O,O,O,X,O,X,X,O
ZJSTOIL,X,O,X,O,X,O,X,X,O,X,O,X,O,X,X,O
ZJSTOLI,X,O,X,O,X,O,O,X,O,X,O,X,O,X,X,O
ZJSITLO,O,O,X,O,X,X,O,X,O,O,O,X,O,X,X,O
ZJSITOL,X,O,X,O,X,O,X,X,O,X,O,X,O,X,X,O
ZJSILTO,O,O,X,O,X,X,O,X,O,O,O,X,O,X,X,O
ZJSILOT,O,O,X,O,X,X,O,X,O,O,O,X,X,X,X,X
ZJSIOTL,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
ZJSIOLT,O,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
ZJSLTIO,O,O,X,O,X,O,O,X,O,O,O,X,O,X,X,O
ZJSLTOI,O,O,X,O,X,O,O,X,O,O,O,X,O,X,X,O
ZJSLITO,O,O,X,O,X,O,O,X,O,O,O,X,O,X,X,O
ZJSLIOT,O,O,X,O,X,O,O,X,O,O,O,X,X,X,X,X
ZJSLOTI,O,O,X,O,X,O,O,X,O,O,O,X,X,X,X,X
ZJSLOIT,O,O,X,O,X,O,O,X,O,O,O,X,X,X,X,X
ZJSOTIL,X,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X
ZJSOTLI,X,O,X,O,X,X,O,X,O,X,O,X,X,X,X,X
ZJSOITL,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
ZJSOILT,O,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
ZJSOLTI,O,O,X,O,X,X,O,X,O,X,O,X,X,X,X,X
ZJSOLIT,O,O,X,O,X,X,O,X,O,X,O,X,X,X,X,X
ZJOTILS,X,X,X,O,X,O,X,X,O,X,O,X,O,X,X,X
ZJOTISL,X,X,X,O,X,O,X,X,O,X,O,X,O,X,X,X
ZJOTLIS,X,X,X,O,X,O,X,X,O,X,O,X,O,X,X,X
ZJOTLSI,X,X,X,O,X,O,X,X,O,X,O,X,O,X,X,X
ZJOTSIL,X,X,X,O,X,O,X,X,O,X,O,X,O,X,X,X
ZJOTSLI,X,X,X,O,X,O,X,X,O,X,O,X,O,X,X,X
ZJOITLS,X,X,X,O,X,O,X,X,O,X,O,X,O,X,X,X
ZJOITSL,X,X,X,O,X,O,X,X,O,X,O,X,O,X,X,X
ZJOILTS,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
ZJOILST,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ZJOISTL,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
ZJOISLT,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
ZJOLTIS,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X
ZJOLTSI,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X
ZJOLITS,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X
ZJOLIST,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ZJOLSTI,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
ZJOLSIT,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
ZJOSTIL,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
ZJOSTLI,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
ZJOSITL,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
ZJOSILT,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
ZJOSLTI,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
ZJOSLIT,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
ZSTILJO,O,O,X,X,O,X,O,X,X,X,X,X,X,O,X,O
ZSTILOJ,O,O,X,X,O,X,O,X,X,X,X,X,X,O,X,O
ZSTIJLO,O,O,X,O,O,X,O,X,X,X,O,O,O,X,X,O
ZSTIJOL,X,O,X,O,O,X,X,X,X,X,O,O,O,X,X,O
ZSTIOLJ,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,O
ZSTIOJL,X,O,X,O,O,X,X,X,X,X,X,O,O,X,X,O
ZSTLIJO,O,O,X,X,X,O,O,X,X,X,X,X,X,O,X,O
ZSTLIOJ,O,O,X,X,X,O,O,X,X,X,X,X,X,O,X,O
ZSTLJIO,O,O,X,X,X,O,O,X,X,X,X,X,X,O,X,O
ZSTLJOI,O,O,X,X,X,O,O,X,X,X,X,X,X,O,X,O
ZSTLOIJ,O,O,X,X,X,O,O,X,X,X,X,X,X,O,X,O
ZSTLOJI,O,O,X,X,X,O,O,X,X,X,X,X,X,O,X,O
ZSTJILO,O,O,X,O,X,X,O,X,O,X,O,X,O,X,X,O
ZSTJIOL,X,O,X,O,X,O,X,X,O,X,O,X,O,X,X,O
ZSTJLIO,O,O,X,O,X,O,O,X,O,X,O,X,O,X,X,O
ZSTJLOI,O,O,X,O,X,O,O,X,O,X,O,X,O,X,X,O
ZSTJOIL,X,O,X,O,X,O,X,X,O,X,O,X,O,X,X,O
ZSTJOLI,X,O,X,O,X,O,O,X,O,X,O,X,O,X,X,O
ZSTOILJ,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,O
ZSTOIJL,X,O,X,O,O,X,X,X,X,X,X,O,O,X,X,O
ZSTOLIJ,O,O,X,X,X,O,O,X,X,X,X,X,X,O,X,O
ZSTOLJI,O,O,X,X,X,O,O,X,X,X,X,X,X,O,X,O
ZSTOJIL,X,O,X,O,X,O,X,X,O,X,X,X,O,X,X,O
ZSTOJLI,X,O,X,O,X,O,O,X,O,X,X,X,O,X,X,O
ZSITLJO,O,O,X,X,O,X,O,X,X,X,X,X,X,O,X,O
ZSITLOJ,O,O,X,X,O,X,O,X,X,X,X,X,X,O,X,O
ZSITJLO,O,O,X,O,O,X,O,X,X,X,O,O,O,X,X,O
ZSITJOL,X,O,X,O,O,X,X,X,X,X,O,O,O,X,X,O
ZSITOLJ,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,O
ZSITOJL,X,O,X,O,O,X,X,X,X,X,X,O,O,X,X,O
ZSILTJO,O,O,X,X,O,X,O,O,X,X,X,X,X,O,X,O
ZSILTOJ,O,O,X,X,O,X,O,X,X,X,X,X,X,O,X,O
ZSILJTO,O,O,X,X,O,X,O,O,X,X,X,X,X,O,X,O
ZSILJOT,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
ZSILOTJ,O,O,X,X,O,X,O,X,X,X,X,X,X,X,O,O
ZSILOJT,O,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X
ZSIJTLO,O,O,X,O,O,X,O,X,X,X,O,O,O,X,X,O
ZSIJTOL,X,O,X,O,O,X,X,X,X,X,O,O,O,X,X,O
ZSIJLTO,O,O,X,O,O,X,O,O,X,X,O,O,O,X,X,O
ZSIJLOT,O,O,X,O,O,X,O,X,X,X,O,O,X,X,X,X
ZSIJOTL,X,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X
ZSIJOLT,O,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X
ZSIOTLJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
ZSIOTJL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O
ZSIOLTJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O
ZSIOLJT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
ZSIOJTL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
ZSIOJLT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
ZSLTIJO,O,O,X,X,X,O,O,O,X,X,X,X,X,O,X,O
ZSLTIOJ,O,O,X,X,X,O,O,X,X,X,X,X,X,O,X,O
ZSLTJIO,O,O,X,X,X,O,O,O,X,X,X,X,X,O,X,O
ZSLTJOI,O,O,X,X,X,O,O,X,X,X,X,X,X,O,X,O
ZSLTOIJ,O,O,X,X,X,O,O,X,X,X,X,X,X,O,X,O
ZSLTOJI,O,O,X,X,X,O,O,X,X,X,X,X,X,O,X,O
ZSLITJO,O,O,X,X,X,O,O,O,X,X,X,X,X,O,X,O
ZSLITOJ,O,O,X,X,X,O,O,X,X,X,X,X,X,O,X,O
ZSLIJTO,O,O,X,X,X,O,O,O,X,X,X,X,X,O,X,O
ZSLIJOT,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
ZSLIOTJ,O,O,X,X,X,O,O,X,X,X,X,X,X,X,O,O
ZSLIOJT,O,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X
ZSLJTIO,O,O,X,X,X,O,O,O,X,X,X,X,X,O,X,O
ZSLJTOI,O,O,X,X,X,O,O,X,X,X,X,X,X,O,X,O
ZSLJITO,O,O,X,X,X,O,O,O,X,X,X,X,X,O,X,O
ZSLJIOT,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
ZSLJOTI,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
ZSLJOIT,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
ZSLOTIJ,O,O,X,X,X,O,O,X,X,X,X,X,X,X,O,O
ZSLOTJI,O,O,X,X,X,O,O,X,X,X,X,X,X,X,O,O
ZSLOITJ,O,O,X,X,X,O,O,X,X,X,X,X,X,X,O,O
ZSLOIJT,O,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X
ZSLOJTI,O,O,X,X,X,O,O,X,X,X,X,X,X,X,O,X
ZSLOJIT,O,O,X,X,X,O,O,X,X,X,X,X,X,X,O,X
ZSJTILO,O,O,X,O,X,X,O,X,O,X,O,X,O,X,X,O
ZSJTIOL,X,O,X,O,X,O,X,X,O,X,O,X,O,X,X,O
ZSJTLIO,O,O,X,O,X,O,O,X,O,X,O,X,O,X,X,O
ZSJTLOI,O,O,X,O,X,O,O,X,O,X,O,X,O,X,X,O
ZSJTOIL,X,O,X,O,X,O,X,X,O,X,O,X,O,X,X,O
ZSJTOLI,X,O,X,O,X,O,O,X,O,X,O,X,O,X,X,O
ZSJITLO,O,O,X,O,X,X,O,X,O,X,O,X,O,X,X,O
ZSJITOL,X,O,X,O,X,O,X,X,O,X,O,X,O,X,X,O
ZSJILTO,O,O,X,O,X,X,O,O,O,X,O,X,O,X,X,O
ZSJILOT,O,O,X,O,X,X,O,X,O,X,O,X,X,X,X,X
ZSJIOTL,X,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X
ZSJIOLT,O,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X
ZSJLTIO,O,O,X,O,X,O,O,O,O,X,O,X,O,X,X,O
ZSJLTOI,O,O,X,O,X,O,O,X,O,X,O,X,O,X,X,O
ZSJLITO,O,O,X,O,X,O,O,O,O,X,O,X,O,X,X,O
ZSJLIOT,O,O,X,O,X,O,O,X,O,X,O,X,X,X,X,X
ZSJLOTI,O,O,X,O,X,O,O,X,O,X,O,X,X,X,X,X
ZSJLOIT,O,O,X,O,X,O,O,X,O,X,O,X,X,X,X,X
ZSJOTIL,X,O,X,O,X,X,O,O,O,X,O,X,X,X,X,X
ZSJOTLI,X,O,X,O,X,X,O,X,O,X,O,X,X,X,X,X
ZSJOITL,X,X,X,O,X,X,O,O,O,X,O,X,X,X,X,X
ZSJOILT,O,X,X,O,X,X,O,O,O,X,O,X,X,X,X,X
ZSJOLTI,O,O,X,O,X,X,O,O,O,X,O,X,X,X,X,X
ZSJOLIT,O,O,X,O,X,X,O,O,O,X,O,X,X,X,X,X
ZSOTILJ,O,O,X,X,X,X,O,X,X,X,X,X,X,X,O,O
ZSOTIJL,X,O,X,X,X,X,O,O,X,X,X,X,X,X,O,O
ZSOTLIJ,O,O,X,X,X,X,O,X,X,X,X,X,X,X,O,O
ZSOTLJI,O,O,X,X,X,X,O,X,X,X,X,X,X,X,O,O
ZSOTJIL,X,O,X,X,X,X,O,O,X,X,X,X,X,X,O,O
ZSOTJLI,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,O
ZSOITLJ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O
ZSOITJL,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,O
ZSOILTJ,O,X,X,X,X,X,O,O,X,X,X,X,X,X,O,O
ZSOILJT,O,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X
ZSOIJTL,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X
ZSOIJLT,O,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X
ZSOLTIJ,O,O,X,X,X,X,O,O,X,X,X,X,X,X,O,O
ZSOLTJI,O,O,X,X,X,X,O,O,X,X,X,X,X,X,O,O
ZSOLITJ,O,O,X,X,X,X,O,O,X,X,X,X,X,X,O,O
ZSOLIJT,O,O,X,X,X,X,O,O,X,X,X,X,X,X,O,X
ZSOLJTI,O,O,X,X,X,X,O,O,X,X,X,X,X,X,O,X
ZSOLJIT,O,O,X,X,X,X,O,O,X,X,X,X,X,X,O,X
ZSOJTIL,X,O,X,X,X,X,O,O,X,X,X,X,X,X,O,X
ZSOJTLI,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X
ZSOJITL,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X
