sequence,v115@6gC8HeC8FeD8CeA8BeD8BeG8Je//IvhFagBRcBulBF?iB0mBzpB,v115@6gC8HeC8FeD8CeA8BeD8BeG8Je2/IvhFRbBUdBFhBC?lBzmBXqB,v115@6gC8HeC8FeD8CeA8BeD8BeG8Je//IvhFUbBRcB6mBO?nBllBzpB,v115@6gC8HeC8FeD8CeA8BeD8BeG8JeT6IvhF2gBRcBFiBC?lB0mBXqB,v115@6gC8HeC8FeD8CeA8BeD8BeG8Jex6IvhF0fB6lB/mBF?iBmmBzpB,v115@6gC8HeC8FeD8CeA8BeD8BeG8Jei6IvhFRcB3gBFiBW?qB0mBzpB,v115@6gC8HeC8FeD8CeA8BeD8BeG8Je//IvhFRbBUdBFhBS?qBzmBeqB,v115@6gC8HeC8FeD8CeA8BeD8BeG8Jey/IvhF5gB/mBFiB0?fBmmBzpB,v115@6gC8HeC8FeD8CeA8BeD8BeG8Je2/IvhFRbBUhBFiBC?lBzmBXqB,v115@6gC8HeC8FeD8CeA8BeD8BeG8Jex6IvhFVhBUdB6kB2?lBzmBXqB,v115@6gC8HeC8FeD8CeA8BeD8BeG8Jex/IvhF/mBFiB0fB6?lBmmBzpB,v115@6gC8HeC8FeD8CeA8BeD8BeG8JeKBJvhFxfBFiBGlBX?lBzmB0pB,v115@6gC8HeC8FeD8CeA8BeD8BeG8JeR8IvhFFiBGlB0mB/?kBilBzpB,v115@6gC8HeC8FeD8CeA8BeD8BeG8Je//IvhFygBFiBxlBu?pBcqBzrB,v115@6gC8HeC8FeD8CeA8BeD8BeG8Je2AJvhF6kBFiBxlB3?lBzmB0pB,v115@6gC8HeC8FeD8CeA8BeD8BeG8Jem6IvhF5gBicB0fB1?mBXnBzpB,v115@6gC8HeC8FeD8CeA8BeD8BeG8Jex6IvhFlcB0fB6lB2?mBXnBzpB,v115@6gC8HeC8FeD8CeA8BeD8BeG8Je2/IvhFFiBfqBxlB8?lBzmBCqB,v115@6gC8HeC8FeD8CeA8BeD8BeG8Je//IvhF5gBOhBViB8?pBzmBaqB,v115@6gC8HeC8FeD8CeA8BeD8BeG8Je//IvhFFiBxlB8lBe?qBCqBzrB,v115@6gC8HeC8FeD8CeA8BeD8BeG8JeU9IvhF6kBZlBXhBz?mBulBlpB
ZJOLSIT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ZJOSTIL,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
ZJOSTLI,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
ZJOSITL,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
ZJOSILT,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJOSLTI,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ZJOSLIT,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ZSTILJO,O,O,O,O,O,O,X,O,O,X,O,X,X,O,X,O,X,O,X,O,X
ZSTILOJ,O,O,O,O,O,O,X,O,O,X,O,X,X,O,X,O,X,X,X,X,X
ZSTIJLO,O,O,O,O,X,O,X,X,O,X,O,X,O,X,X,O,X,O,X,O,X
ZSTIJOL,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X,O,X,O,X,O,X
ZSTIOLJ,O,X,O,O,X,O,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X
ZSTIOJL,O,O,O,O,X,O,X,X,X,X,O,X,X,X,X,O,X,O,O,O,X
ZSTLIJO,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
ZSTLIOJ,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSTLJIO,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
ZSTLJOI,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSTLOIJ,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSTLOJI,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSTJILO,O,O,O,O,X,O,X,X,O,X,X,X,O,X,X,O,X,O,X,X,X
ZSTJIOL,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X
ZSTJLIO,O,O,O,O,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X
ZSTJLOI,O,O,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZSTJOIL,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZSTJOLI,O,O,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZSTOILJ,O,X,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X
ZSTOIJL,O,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
ZSTOLIJ,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X
ZSTOLJI,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
ZSTOJIL,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ZSTOJLI,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
ZSITLJO,O,O,O,O,O,O,X,O,O,X,O,X,X,O,X,O,X,O,X,O,X
ZSITLOJ,O,O,X,O,O,O,X,O,O,X,O,X,X,O,X,O,X,X,X,X,X
ZSITJLO,O,O,O,O,X,O,X,X,O,X,O,X,X,X,X,O,X,O,X,O,X
ZSITJOL,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X
ZSITOLJ,O,X,X,O,X,O,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X
ZSITOJL,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,O,X,O,O,O,X
ZSILTJO,O,O,O,O,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ZSILTOJ,O,O,X,O,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ZSILJTO,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSILJOT,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSILOTJ,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
ZSILOJT,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSIJTLO,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,O,O,O,X,X,X
ZSIJTOL,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
ZSIJLTO,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSIJLOT,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSIJOTL,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ZSIJOLT,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSIOTLJ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
ZSIOTJL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ZSIOLTJ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
ZSIOLJT,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSIOJTL,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ZSIOJLT,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSLTIJO,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSLTIOJ,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSLTJIO,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSLTJOI,O,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSLTOIJ,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSLTOJI,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSLITJO,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSLITOJ,O,O,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSLIJTO,O,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
ZSLIJOT,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
ZSLIOTJ,X,X,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X
ZSLIOJT,X,X,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZSLJTIO,O,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
ZSLJTOI,O,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
ZSLJITO,O,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
ZSLJIOT,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
ZSLJOTI,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
ZSLJOIT,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
ZSLOTIJ,O,O,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X
ZSLOTJI,O,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X
ZSLOITJ,X,O,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X
ZSLOIJT,X,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZSLOJTI,O,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZSLOJIT,O,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZSJTILO,O,O,O,O,X,O,X,X,O,O,X,X,O,X,X,O,O,O,X,X,X
ZSJTIOL,O,O,O,O,X,O,X,X,X,O,X,X,O,X,X,O,X,O,X,X,X
ZSJTLIO,O,O,O,O,O,O,X,X,O,O,X,X,O,X,X,O,O,X,X,X,X
ZSJTLOI,O,O,O,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
ZSJTOIL,O,O,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
ZSJTOLI,O,O,O,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
ZSJITLO,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,O,O,X,X,X
ZSJITOL,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X
ZSJILTO,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSJILOT,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSJIOTL,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
ZSJIOLT,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSJLTIO,O,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
ZSJLTOI,O,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
ZSJLITO,O,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
ZSJLIOT,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
ZSJLOTI,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
ZSJLOIT,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
ZSJOTIL,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
ZSJOTLI,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X
ZSJOITL,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
ZSJOILT,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSJOLTI,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZSJOLIT,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZSOTILJ,O,O,X,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X
ZSOTIJL,O,O,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X
ZSOTLIJ,O,O,X,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X
ZSOTLJI,O,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X
ZSOTJIL,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
ZSOTJLI,O,O,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X
ZSOITLJ,O,O,X,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X
ZSOITJL,O,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X
ZSOILTJ,O,O,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X
ZSOILJT,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSOIJTL,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ZSOIJLT,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSOLTIJ,O,O,X,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X
ZSOLTJI,O,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X
ZSOLITJ,O,O,X,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X
ZSOLIJT,O,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZSOLJTI,O,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZSOLJIT,O,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZSOJTIL,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
ZSOJTLI,O,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X
ZSOJITL,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
ZSOJILT,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSOJLTI,O,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZSOJLIT,O,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZOTILJS,X,O,X,O,X,O,O,X,X,O,X,X,X,X,X,O,X,X,O,X,X
ZOTILSJ,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,O,X,O
ZOTIJLS,O,O,X,O,X,O,X,X,X,O,X,X,O,X,X,O,O,X,O,X,X
ZOTIJSL,O,O,X,O,X,O,X,X,X,O,X,X,O,X,X,O,O,X,O,X,X
ZOTISLJ,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,O,X,O
ZOTISJL,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X
ZOTLIJS,X,O,X,O,X,O,O,X,X,O,X,X,X,X,X,O,O,X,O,X,X
ZOTLISJ,O,X,O,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,O,X,O
ZOTLJIS,O,O,X,O,X,O,O,X,X,O,X,X,X,X,X,O,O,X,O,X,X
ZOTLJSI,O,O,X,X,X,O,O,X,X,O,X,X,X,X,X,O,O,X,O,X,X
ZOTLSIJ,O,O,O,O,O,O,O,X,X,O,X,X,X,X,X,O,X,X,O,X,O
ZOTLSJI,O,O,O,O,O,X,O,X,X,O,X,X,X,X,X,O,X,X,O,X,X
ZOTJILS,O,O,X,O,X,O,X,X,X,O,X,X,O,X,X,O,O,X,O,X,X
ZOTJISL,O,O,O,O,X,O,X,X,X,O,X,X,O,X,X,O,O,X,O,X,X
ZOTJLIS,O,O,O,O,X,O,O,X,X,O,X,X,O,X,X,O,O,X,O,X,X
ZOTJLSI,O,O,O,X,X,O,O,X,X,O,X,X,O,X,X,O,O,X,O,X,X
ZOTJSIL,O,O,O,O,X,O,X,X,X,O,X,X,O,X,X,O,O,X,O,X,X
ZOTJSLI,O,O,O,O,X,O,X,X,O,O,X,X,O,X,X,O,O,X,O,X,X
ZOTSILJ,O,O,O,O,O,O,X,X,X,O,X,X,X,X,X,O,X,X,O,X,O
ZOTSIJL,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X
ZOTSLIJ,O,O,O,O,O,O,X,X,O,O,X,X,X,X,X,O,X,X,O,X,O
ZOTSLJI,O,O,O,O,O,X,O,X,O,O,X,X,X,X,X,O,X,X,O,X,X
ZOTSJIL,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X
ZOTSJLI,O,O,O,O,O,O,X,X,O,O,X,X,X,X,X,O,X,X,O,X,X
ZOITLJS,X,O,X,O,X,X,O,X,X,O,X,X,X,X,X,O,X,X,O,X,X
ZOITLSJ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,O
ZOITJLS,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,O,O,X,O,X,X
ZOITJSL,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,O,O,X,O,X,X
ZOITSLJ,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,O
ZOITSJL,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X
ZOILTJS,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,O,X,O,X,X
ZOILTSJ,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,O
ZOILJTS,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,O,X,X,X,X
ZOILJST,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O
ZOILSTJ,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O
ZOILSJT,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O
ZOIJTLS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X
ZOIJTSL,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X
ZOIJLTS,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
ZOIJLST,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O
ZOIJSTL,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X
ZOIJSLT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ZOISTLJ,O,O,X,O,O,X,X,O,X,O,O,X,X,X,X,O,X,X,O,X,O
ZOISTJL,O,O,X,O,X,X,X,X,X,O,O,X,X,X,X,O,X,X,O,X,X
ZOISLTJ,O,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,O
ZOISLJT,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ZOISJTL,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X
ZOISJLT,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ZOLTIJS,X,O,X,O,X,O,O,X,X,O,X,X,X,X,X,O,O,X,O,X,X
ZOLTISJ,O,X,O,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,O,X,O
ZOLTJIS,O,O,X,O,X,O,O,X,X,O,X,X,X,X,X,O,O,X,O,X,X
ZOLTJSI,O,O,X,X,X,O,O,X,X,O,X,X,X,X,X,O,O,X,O,X,X
ZOLTSIJ,O,O,O,O,O,O,O,X,X,O,X,X,X,X,X,O,X,X,O,X,O
ZOLTSJI,O,O,O,O,O,X,O,X,X,O,X,X,X,X,X,O,X,X,O,X,X
ZOLITJS,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,O,X,O,X,X
ZOLITSJ,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,O
ZOLIJTS,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,O,X,X,X,X
ZOLIJST,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O
ZOLISTJ,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O
ZOLISJT,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O
ZOLJTIS,O,O,X,O,X,O,O,X,X,O,X,X,X,X,X,O,O,X,X,X,X
ZOLJTSI,O,O,X,X,X,O,O,X,X,O,X,X,X,X,X,O,O,X,X,X,X
ZOLJITS,X,O,X,O,X,X,O,X,X,O,X,X,X,X,X,O,O,X,X,X,X
ZOLJIST,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O
ZOLJSTI,O,O,X,X,O,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ZOLJSIT,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O
ZOLSTIJ,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,O,X,O
ZOLSTJI,O,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X
ZOLSITJ,O,O,O,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,O,X,O
ZOLSIJT,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O
ZOLSJTI,O,O,X,O,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ZOLSJIT,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O
ZOJTILS,O,O,X,O,X,O,X,X,X,O,X,X,O,X,X,O,O,X,O,X,X
ZOJTISL,O,O,O,O,X,O,X,X,X,O,X,X,O,X,X,O,O,X,O,X,X
ZOJTLIS,O,O,O,O,X,O,O,X,X,O,X,X,O,X,X,O,O,X,O,X,X
ZOJTLSI,O,O,O,X,X,O,O,X,X,O,X,X,O,X,X,O,O,X,O,X,X
ZOJTSIL,O,O,O,O,X,O,X,X,X,O,X,X,O,X,X,O,O,X,O,X,X
ZOJTSLI,O,O,O,O,X,O,X,X,O,O,X,X,O,X,X,O,O,X,O,X,X
ZOJITLS,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,O,O,X,O,X,X
ZOJITSL,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,O,O,X,O,X,X
ZOJILTS,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
ZOJILST,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O
ZOJISTL,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X
ZOJISLT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ZOJLTIS,O,O,O,O,X,O,O,X,X,O,X,X,X,X,X,O,O,X,X,X,X
ZOJLTSI,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X,O,O,X,X,X,X
ZOJLITS,X,O,O,O,X,X,O,X,X,O,X,X,X,X,X,O,O,X,X,X,X
ZOJLIST,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O
ZOJLSTI,O,O,O,X,O,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ZOJLSIT,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O
ZOJSTIL,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,O,O,X,O,X,X
ZOJSTLI,O,O,O,O,O,O,X,X,X,O,X,X,X,X,X,O,O,X,O,X,X
ZOJSITL,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X
ZOJSILT,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ZOJSLTI,O,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ZOJSLIT,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O
ZOSTILJ,O,O,O,O,O,O,X,O,X,O,O,X,X,X,X,O,X,X,O,X,O
ZOSTIJL,O,O,O,O,X,O,X,X,X,O,O,X,X,X,X,O,X,X,O,X,X
ZOSTLIJ,O,O,O,O,O,O,X,O,O,O,X,X,X,X,X,O,X,X,O,X,O
ZOSTLJI,O,O,O,O,O,X,O,X,O,O,X,X,X,X,X,O,X,X,O,X,X
ZOSTJIL,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X
ZOSTJLI,O,O,O,O,O,O,X,X,O,O,X,X,X,X,X,O,X,X,O,X,X
ZOSITLJ,O,O,O,O,O,X,X,O,X,O,O,X,X,X,X,O,X,X,O,X,O
ZOSITJL,O,O,O,O,X,X,X,X,X,O,O,X,X,X,X,O,X,X,O,X,X
ZOSILTJ,O,O,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X,O
ZOSILJT,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ZOSIJTL,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X
ZOSIJLT,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ZOSLTIJ,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,O,X,O
ZOSLTJI,O,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X
ZOSLITJ,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,O,X,O
ZOSLIJT,O,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X,O
ZOSLJTI,O,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X
ZOSLJIT,O,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X,O,X,X,X,O
ZOSJTIL,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,O,O,X,O,X,X
ZOSJTLI,O,O,O,O,O,O,X,X,O,O,X,X,X,X,X,O,O,X,O,X,X
ZOSJITL,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,O,O,X,O,X,X
ZOSJILT,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ZOSJLTI,O,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ZOSJLIT,O,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O
OTILJSZ,O,X,O,X,X,X,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X
OTILJZS,X,O,X,X,X,X,O,X,X,O,X,O,X,X,O,O,X,X,O,X,X
OTILSJZ,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O
OTILSZJ,O,X,O,X,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X,X,O
OTILZJS,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,O,X,X
OTILZSJ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,O
