sequence,v115@zgB8HeB8HeD8FeC8EeH8AeC8Je2AJvhFRcBCeBUiBT?jBXmBFsB,v115@zgB8HeB8HeD8FeC8EeH8AeC8Jei7IvhFzdB+jBRhBU?iBXmBFsB,v115@zgB8HeB8HeD8FeC8EeH8AeC8JeT7IvhFxcB6jBemBF?iB8nBfsB,v115@zgB8HeB8HeD8FeC8EeH8AeC8JeT7IvhF/hBGdB6jBZ?nB8sBVwB,v115@zgB8HeB8HeD8FeC8EeH8AeC8Je2AJvhFTdB6jB8nBR?rBfsBFrB,v115@zgB8HeB8HeD8FeC8EeH8AeC8Jex8IvhFXeBmgBzhBS?oB0lBFsB,v115@zgB8HeB8HeD8FeC8EeH8AeC8JeyAJvhFGdBTeB3hBx?nB0lBFsB,v115@zgB8HeB8HeD8FeC8EeH8AeC8Jex7IvhFXdB6jB2mBz?iB0lBFsB,v115@zgB8HeB8HeD8FeC8EeH8AeC8JeT7IvhFxcB8iB+jBy?mBXmBFsB,v115@zgB8HeB8HeD8FeC8EeH8AeC8Jei7IvhFFdBTeBXmBx?nBGmBcsB,v115@zgB8HeB8HeD8FeC8EeH8AeC8JeT7IvhFUeBxhBmhBS?oBXmBFsB,v115@zgB8HeB8HeD8FeC8EeH8AeC8JeOCJvhFXeBxgBSoBT?hB0lBFsB,v115@zgB8HeB8HeD8FeC8EeH8AeC8Jei9IvhF+jBxgB3iBT?hB0lBFsB
ISJZOTL,O,X,O,X,O,X,X,X,X,O,O,X,X
ISJZOLT,O,O,O,X,O,X,O,X,X,O,O,X,X
ISJOTLZ,O,O,O,X,X,X,O,X,X,O,X,X,X
ISJOTZL,O,X,O,X,X,X,O,X,X,O,O,X,X
ISJOLTZ,O,O,O,X,X,X,O,X,X,O,X,X,O
ISJOLZT,O,O,O,X,X,X,O,X,X,O,X,X,X
ISJOZTL,O,X,O,X,X,X,X,X,X,O,O,X,X
ISJOZLT,O,O,O,X,X,X,O,X,X,O,O,X,X
ISZTLJO,O,X,X,O,O,X,X,X,X,O,X,X,X
ISZTLOJ,X,X,X,O,O,X,X,X,X,O,O,X,X
ISZTJLO,O,X,X,O,O,X,X,X,X,O,X,X,X
ISZTJOL,O,X,X,O,O,X,X,X,X,O,O,X,X
ISZTOLJ,O,X,X,O,O,X,X,X,X,O,O,X,X
ISZTOJL,O,X,X,O,O,X,X,X,X,O,O,X,X
ISZLTJO,O,X,X,O,O,X,X,X,X,O,X,X,X
ISZLTOJ,X,X,X,O,O,X,X,X,X,O,X,X,X
ISZLJTO,O,X,O,X,O,X,X,X,X,O,X,X,X
ISZLJOT,O,O,O,X,O,X,O,X,X,O,X,X,X
ISZLOTJ,O,X,X,O,O,X,X,X,X,O,O,X,X
ISZLOJT,O,X,O,X,O,X,O,X,X,O,O,X,X
ISZJTLO,O,X,O,X,O,X,X,X,X,O,X,X,X
ISZJTOL,O,X,O,X,O,X,X,X,X,O,X,X,X
ISZJLTO,O,X,O,X,O,X,X,X,X,O,X,X,X
ISZJLOT,O,O,O,X,O,X,O,X,X,O,X,X,X
ISZJOTL,O,X,O,X,O,X,X,X,X,O,O,X,X
ISZJOLT,O,O,O,X,O,X,O,X,X,O,O,X,X
ISZOTLJ,O,X,X,O,O,X,X,X,X,O,O,X,X
ISZOTJL,O,X,X,O,O,X,X,X,X,O,O,X,X
ISZOLTJ,O,X,X,O,O,X,X,X,X,O,O,X,X
ISZOLJT,O,X,O,X,O,X,O,X,X,O,O,X,X
ISZOJTL,O,X,O,X,O,X,X,X,X,O,O,X,X
ISZOJLT,O,X,O,X,O,X,O,X,X,O,O,X,X
ISOTLJZ,O,X,X,X,X,X,O,X,X,O,X,X,X
ISOTLZJ,X,X,X,O,X,X,O,X,X,O,O,X,X
ISOTJLZ,O,X,X,X,X,X,O,X,X,O,X,X,X
ISOTJZL,O,X,X,O,X,X,O,X,X,O,O,X,X
ISOTZLJ,O,X,X,O,X,X,O,X,X,O,O,X,X
ISOTZJL,O,X,X,O,X,X,O,X,X,O,O,X,X
ISOLTJZ,X,X,X,X,X,X,O,X,X,O,X,X,X
ISOLTZJ,X,X,X,X,X,X,X,X,X,O,O,X,X
ISOLJTZ,O,O,O,X,X,X,O,X,X,O,X,X,X
ISOLJZT,O,O,O,X,X,X,O,X,X,O,X,X,X
ISOLZTJ,X,X,X,X,X,X,X,X,X,O,O,X,X
ISOLZJT,X,X,O,X,X,X,O,X,X,O,O,X,X
ISOJTLZ,O,O,O,X,X,X,O,X,X,O,X,X,X
ISOJTZL,O,X,O,X,X,X,O,X,X,O,O,X,X
ISOJLTZ,O,O,O,X,X,X,O,X,X,O,X,X,X
ISOJLZT,O,O,O,X,X,X,O,X,X,O,X,X,X
ISOJZTL,O,X,O,X,X,X,X,X,X,O,O,X,X
ISOJZLT,O,O,O,X,X,X,O,X,X,O,O,X,X
ISOZTLJ,O,X,X,O,X,X,X,X,X,O,O,X,X
ISOZTJL,O,X,X,O,X,X,X,X,X,O,O,X,X
ISOZLTJ,O,X,X,O,X,X,X,X,X,O,O,X,X
ISOZLJT,O,X,O,X,X,X,O,X,X,O,O,X,X
ISOZJTL,O,X,O,X,X,X,X,X,X,O,O,X,X
ISOZJLT,O,X,O,X,X,X,O,X,X,O,O,X,X
IZTLJSO,X,X,X,O,O,X,X,X,X,X,X,O,X
IZTLJOS,X,O,X,O,X,X,X,X,X,X,X,X,X
IZTLSJO,X,X,X,O,O,X,X,X,X,X,X,O,X
IZTLSOJ,X,X,X,O,O,X,X,X,X,X,X,X,X
IZTLOJS,X,X,X,O,X,X,X,X,X,X,X,X,X
IZTLOSJ,X,X,X,O,X,X,X,X,X,X,X,X,X
IZTJLSO,X,X,X,O,O,X,X,X,X,X,X,O,X
IZTJLOS,X,O,X,O,X,X,X,X,X,X,X,X,X
IZTJSLO,X,X,X,O,O,X,O,X,X,X,X,X,O
IZTJSOL,X,X,X,O,O,X,O,X,X,X,X,X,X
IZTJOLS,X,O,X,O,X,X,X,X,X,X,X,X,X
IZTJOSL,X,X,X,O,X,X,O,X,X,X,X,X,X
IZTSLJO,X,X,X,O,O,X,O,X,X,X,X,X,X
IZTSLOJ,X,X,X,O,O,X,O,X,X,X,X,X,X
IZTSJLO,X,X,X,O,O,X,O,X,X,X,X,X,X
IZTSJOL,X,X,X,O,O,X,O,X,X,X,X,X,X
IZTSOLJ,X,X,X,O,O,X,O,X,X,X,X,X,X
IZTSOJL,X,X,X,O,O,X,O,X,X,X,X,X,X
IZTOLJS,X,X,X,O,X,X,X,X,X,X,X,X,X
IZTOLSJ,X,X,X,O,X,X,X,X,X,X,X,X,X
IZTOJLS,X,X,X,O,X,X,X,X,X,X,X,X,X
IZTOJSL,X,X,X,O,X,X,O,X,X,X,X,X,X
IZTOSLJ,X,X,X,O,X,X,O,X,X,X,X,X,X
IZTOSJL,X,X,X,O,X,X,O,X,X,X,X,X,X
IZLTJSO,X,X,X,O,O,X,X,X,X,X,X,X,X
IZLTJOS,X,O,X,O,X,X,X,X,X,X,X,X,X
IZLTSJO,X,X,X,O,O,X,X,X,X,X,X,X,X
IZLTSOJ,X,X,X,O,O,X,X,X,X,X,X,X,X
IZLTOJS,X,X,X,O,X,X,X,X,X,X,X,X,X
IZLTOSJ,X,X,X,O,X,X,X,X,X,X,X,X,X
IZLJTSO,X,X,X,O,O,X,X,X,X,X,X,X,X
IZLJTOS,X,X,O,O,X,X,X,X,X,X,X,X,X
IZLJSTO,X,X,O,X,O,X,X,X,X,X,X,X,X
IZLJSOT,X,X,O,X,O,X,X,X,X,X,X,X,X
IZLJOTS,X,O,O,O,X,X,X,X,X,X,X,X,X
IZLJOST,X,O,O,X,O,X,X,X,X,X,X,X,X
IZLSTJO,X,X,X,O,O,X,X,X,X,O,X,X,X
IZLSTOJ,X,X,X,O,O,X,X,X,X,O,X,X,X
IZLSJTO,X,X,O,X,O,X,X,X,X,O,X,O,X
IZLSJOT,X,O,O,X,O,X,X,X,X,O,X,X,X
IZLSOTJ,X,X,X,O,O,X,X,X,X,O,X,X,X
IZLSOJT,X,X,O,X,O,X,X,X,X,O,X,X,X
IZLOTJS,X,X,X,O,X,X,X,X,X,X,X,X,X
IZLOTSJ,X,X,X,O,X,X,X,X,X,X,X,X,X
IZLOJTS,X,X,O,O,X,X,X,X,X,X,X,X,X
IZLOJST,X,X,O,X,O,X,X,X,X,X,X,X,X
IZLOSTJ,X,X,X,O,O,X,X,X,X,O,X,X,X
IZLOSJT,X,X,O,X,O,X,X,X,X,O,X,X,X
IZJTLSO,X,X,X,O,O,X,X,X,X,X,X,X,X
IZJTLOS,X,X,O,O,X,X,X,X,X,X,X,X,X
IZJTSLO,X,X,X,O,O,X,O,X,X,X,X,X,O
IZJTSOL,X,X,X,O,O,X,O,X,X,X,X,X,X
IZJTOLS,X,X,O,O,X,X,X,X,X,X,X,X,X
IZJTOSL,X,X,X,O,X,X,O,X,X,X,X,X,X
IZJLTSO,X,X,X,O,O,X,X,X,X,X,X,X,X
IZJLTOS,X,X,O,O,X,X,X,X,X,X,X,X,X
IZJLSTO,X,X,O,X,O,X,X,X,X,X,X,X,X
IZJLSOT,X,X,O,X,O,X,X,X,X,X,X,X,X
IZJLOTS,X,O,O,O,X,X,X,X,X,X,X,X,X
IZJLOST,X,O,O,X,O,X,X,X,X,X,X,X,X
IZJSTLO,X,X,O,X,O,X,X,X,X,X,X,X,X
IZJSTOL,X,X,O,X,O,X,X,X,X,X,X,X,X
IZJSLTO,X,X,O,X,O,X,X,X,X,X,X,X,O
IZJSLOT,X,X,O,X,O,X,O,X,X,X,X,X,X
IZJSOTL,X,X,O,X,O,X,X,X,X,X,X,X,X
IZJSOLT,X,X,O,X,O,X,O,X,X,X,X,X,X
IZJOTLS,X,X,O,O,X,X,X,X,X,X,X,X,X
IZJOTSL,X,X,X,O,X,X,O,X,X,X,X,X,X
IZJOLTS,X,O,O,O,X,X,X,X,X,X,X,X,X
IZJOLST,X,O,O,X,O,X,X,X,X,X,X,X,X
IZJOSTL,X,X,O,X,O,X,X,X,X,X,X,X,X
IZJOSLT,X,X,O,X,O,X,O,X,X,X,X,X,X
IZSTLJO,X,X,X,O,O,X,X,X,X,O,X,X,X
IZSTLOJ,X,X,X,O,O,X,X,X,X,O,X,X,X
IZSTJLO,X,X,X,O,O,X,X,X,X,O,X,X,X
IZSTJOL,X,X,X,O,O,X,X,X,X,O,X,X,X
IZSTOLJ,X,X,X,O,O,X,X,X,X,O,X,X,X
IZSTOJL,X,X,X,O,O,X,X,X,X,O,X,X,X
IZSLTJO,X,X,X,O,O,X,X,X,X,O,X,X,X
IZSLTOJ,X,X,X,O,O,X,X,X,X,O,X,X,X
IZSLJTO,X,X,O,X,O,X,X,X,X,O,X,X,X
IZSLJOT,X,O,O,X,O,X,O,X,X,O,X,X,X
IZSLOTJ,X,X,X,O,O,X,X,X,X,O,X,X,X
IZSLOJT,X,X,O,X,O,X,O,X,X,O,X,X,X
IZSJTLO,X,X,O,X,O,X,X,X,X,O,X,X,X
IZSJTOL,X,X,O,X,O,X,X,X,X,O,X,X,X
IZSJLTO,X,X,O,X,O,X,X,X,X,O,X,X,X
IZSJLOT,X,O,O,X,O,X,O,X,X,O,X,X,X
IZSJOTL,X,X,O,X,O,X,X,X,X,O,X,X,X
IZSJOLT,X,O,O,X,O,X,O,X,X,O,X,X,X
IZSOTLJ,X,X,X,O,O,X,X,X,X,O,X,X,X
IZSOTJL,X,X,X,O,O,X,X,X,X,O,X,X,X
IZSOLTJ,X,X,X,O,O,X,X,X,X,O,X,X,X
IZSOLJT,X,X,O,X,O,X,O,X,X,O,X,X,X
IZSOJTL,X,X,O,X,O,X,X,X,X,O,X,X,X
IZSOJLT,X,X,O,X,O,X,O,X,X,O,X,X,X
IZOTLJS,X,X,X,O,X,X,X,X,X,X,X,X,X
IZOTLSJ,X,X,X,O,X,X,X,X,X,X,X,X,X
IZOTJLS,X,X,X,O,X,X,X,X,X,X,X,X,X
IZOTJSL,X,X,X,O,X,X,O,X,X,X,X,X,X
IZOTSLJ,X,X,X,O,X,X,O,X,X,X,X,X,X
IZOTSJL,X,X,X,O,X,X,O,X,X,X,X,X,X
IZOLTJS,X,X,X,O,X,X,X,X,X,X,X,X,X
IZOLTSJ,X,X,X,O,X,X,X,X,X,X,X,X,X
IZOLJTS,X,X,O,O,X,X,X,X,X,X,X,X,X
IZOLJST,X,X,O,X,O,X,X,X,X,X,X,X,X
IZOLSTJ,X,X,X,O,O,X,X,X,X,O,X,X,X
IZOLSJT,X,X,O,X,O,X,X,X,X,O,X,X,X
IZOJTLS,X,X,O,O,X,X,X,X,X,X,X,X,X
IZOJTSL,X,X,X,O,X,X,O,X,X,X,X,X,X
IZOJLTS,X,X,O,O,X,X,X,X,X,X,X,X,X
IZOJLST,X,X,O,X,O,X,X,X,X,X,X,X,X
IZOJSTL,X,X,O,X,O,X,X,X,X,X,X,X,X
IZOJSLT,X,X,O,X,O,X,O,X,X,X,X,X,X
IZOSTLJ,X,X,X,O,O,X,X,X,X,O,X,X,X
IZOSTJL,X,X,X,O,O,X,X,X,X,O,X,X,X
IZOSLTJ,X,X,X,O,O,X,X,X,X,O,X,X,X
IZOSLJT,X,X,O,X,O,X,O,X,X,O,X,X,X
IZOSJTL,X,X,O,X,O,X,X,X,X,O,X,X,X
IZOSJLT,X,X,O,X,O,X,O,X,X,O,X,X,X
IOTLJSZ,O,O,X,X,X,X,O,O,X,X,X,O,X
IOTLJZS,O,O,X,X,X,X,X,O,O,X,X,X,X
IOTLSJZ,O,X,X,X,X,X,O,O,X,O,X,O,X
IOTLSZJ,X,X,X,O,X,X,O,O,X,O,X,X,X
IOTLZJS,O,X,X,O,X,X,X,X,X,X,X,X,X
IOTLZSJ,O,X,X,O,X,X,X,X,X,X,X,X,X
IOTJLSZ,O,O,X,X,X,X,O,O,X,X,X,O,X
IOTJLZS,O,O,X,X,X,X,X,O,O,X,X,X,X
IOTJSLZ,O,O,X,X,X,X,O,O,X,X,X,X,O
IOTJSZL,X,X,X,O,X,X,O,O,X,X,X,X,X
IOTJZLS,O,O,X,O,X,X,X,O,O,X,X,X,X
IOTJZSL,O,X,X,O,X,X,O,O,O,X,X,X,X
IOTSLJZ,O,X,X,X,X,X,O,O,X,O,X,X,X
IOTSLZJ,X,X,X,O,X,X,O,O,X,O,X,X,X
IOTSJLZ,O,X,X,X,X,X,O,O,X,O,X,X,X
IOTSJZL,O,X,X,O,X,X,O,O,X,O,X,X,X
IOTSZLJ,O,X,X,O,X,X,O,O,X,O,X,X,X
IOTSZJL,O,X,X,O,X,X,O,X,X,O,X,X,X
IOTZLJS,O,X,X,O,X,X,X,X,X,X,X,X,X
IOTZLSJ,O,X,X,O,X,X,X,X,X,X,X,X,X
IOTZJLS,O,X,X,O,X,X,X,X,X,X,X,X,X
IOTZJSL,O,X,X,O,X,X,O,X,X,X,X,X,X
IOTZSLJ,O,X,X,O,X,X,O,X,X,X,X,X,X
IOTZSJL,O,X,X,O,X,X,O,X,X,X,X,X,X
IOLTJSZ,O,O,X,X,X,X,O,O,X,X,X,X,X
IOLTJZS,O,O,X,X,X,X,X,O,X,X,X,X,X
IOLTSJZ,O,X,X,X,X,X,O,O,X,O,X,X,X
IOLTSZJ,X,X,X,O,X,X,O,O,X,O,X,X,X
IOLTZJS,O,X,X,O,X,X,X,X,X,X,X,X,X
IOLTZSJ,O,X,X,O,X,X,X,X,X,X,X,X,X
IOLJTSZ,O,O,O,X,X,X,O,X,X,X,X,X,X
IOLJTZS,O,O,O,X,X,X,X,X,X,X,X,X,X
IOLJSTZ,O,O,O,X,X,X,O,X,X,O,X,X,X
IOLJSZT,O,O,O,X,X,X,O,X,X,O,X,X,X
IOLJZTS,O,O,O,X,X,X,X,X,X,X,X,X,X
IOLJZST,O,O,O,X,O,X,X,X,X,X,X,X,X
IOLSTJZ,X,X,X,X,X,X,O,X,X,O,X,X,X
IOLSTZJ,X,X,X,X,X,X,X,X,X,O,X,X,X
IOLSJTZ,O,O,O,X,X,X,O,X,X,O,X,O,X
IOLSJZT,O,O,O,X,X,X,O,X,X,O,X,X,X
IOLSZTJ,X,X,X,X,X,X,X,X,X,O,X,X,X
IOLSZJT,X,X,O,X,X,X,O,X,X,O,X,X,X
IOLZTJS,X,X,X,O,X,X,X,X,X,X,X,X,X
IOLZTSJ,X,X,X,O,X,X,X,X,X,X,X,X,X
IOLZJTS,X,X,O,O,X,X,X,X,X,X,X,X,X
IOLZJST,X,X,O,X,O,X,X,X,X,X,X,X,X
IOLZSTJ,X,X,X,O,O,X,X,X,X,O,X,X,X
IOLZSJT,X,X,O,X,O,X,X,X,X,O,X,X,X
IOJTLSZ,O,O,O,X,X,X,O,X,X,X,X,X,X
IOJTLZS,O,O,O,X,X,X,X,X,O,X,X,X,X
IOJTSLZ,O,X,O,X,X,X,O,X,X,X,X,X,O
IOJTSZL,X,X,O,O,X,X,O,X,X,X,X,X,X
IOJTZLS,O,X,O,O,X,X,X,X,O,X,X,X,X
IOJTZSL,O,X,X,O,X,X,O,X,O,X,X,X,X
IOJLTSZ,O,O,O,X,X,X,O,X,X,X,X,X,X
IOJLTZS,O,O,O,X,X,X,X,X,X,X,X,X,X
IOJLSTZ,O,O,O,X,X,X,O,X,X,O,X,X,X
IOJLSZT,O,O,O,X,X,X,O,X,X,O,X,X,X
IOJLZTS,O,O,O,X,X,X,X,X,X,X,X,X,X
IOJLZST,O,O,O,X,O,X,X,X,X,X,X,X,X
IOJSTLZ,O,X,O,X,X,X,O,X,X,O,X,X,X
IOJSTZL,O,X,O,X,X,X,O,X,X,O,X,X,X
IOJSLTZ,O,O,O,X,X,X,O,X,X,O,X,X,O
IOJSLZT,O,O,O,X,X,X,O,X,X,O,X,X,X
IOJSZTL,O,X,O,X,X,X,X,X,X,O,X,X,X
IOJSZLT,O,X,O,X,X,X,O,X,X,O,X,X,X
IOJZTLS,X,X,O,O,X,X,X,X,O,X,X,X,X
IOJZTSL,X,X,X,O,X,X,O,X,O,X,X,X,X
IOJZLTS,O,O,O,O,X,X,X,X,O,X,X,X,X
IOJZLST,O,O,O,X,O,X,X,X,X,X,X,X,X
IOJZSTL,X,X,O,X,O,X,X,X,O,X,X,X,X
IOJZSLT,X,X,O,X,O,X,O,X,X,X,X,X,X
IOSTLJZ,O,X,X,X,X,X,O,X,X,O,X,X,X
IOSTLZJ,X,X,X,O,X,X,O,X,X,O,O,X,X
IOSTJLZ,O,X,X,X,X,X,O,X,X,O,X,X,X
IOSTJZL,O,X,X,O,X,X,O,X,X,O,O,X,X
IOSTZLJ,O,X,X,O,X,X,O,X,X,O,O,X,X
IOSTZJL,O,X,X,O,X,X,O,X,X,O,O,X,X
IOSLTJZ,X,X,X,X,X,X,O,X,X,O,X,X,X
IOSLTZJ,X,X,X,X,X,X,X,X,X,O,O,X,X
IOSLJTZ,O,O,O,X,X,X,O,X,X,O,X,X,X
IOSLJZT,O,O,O,X,X,X,O,X,X,O,X,X,X
IOSLZTJ,X,X,X,X,X,X,X,X,X,O,O,X,X
IOSLZJT,X,X,O,X,X,X,O,X,X,O,O,X,X
IOSJTLZ,O,O,O,X,X,X,O,X,X,O,X,X,X
IOSJTZL,O,X,O,X,X,X,O,X,X,O,O,X,X
IOSJLTZ,O,O,O,X,X,X,O,X,X,O,X,X,X
IOSJLZT,O,O,O,X,X,X,O,X,X,O,X,X,X
IOSJZTL,O,X,O,X,X,X,X,X,X,O,O,X,X
IOSJZLT,O,O,O,X,X,X,O,X,X,O,O,X,X
IOSZTLJ,O,X,X,O,X,X,X,X,X,O,O,X,X
IOSZTJL,O,X,X,O,X,X,X,X,X,O,O,X,X
IOSZLTJ,O,X,X,O,X,X,X,X,X,O,O,X,X
IOSZLJT,O,X,O,X,X,X,O,X,X,O,O,X,X
IOSZJTL,O,X,O,X,X,X,X,X,X,O,O,X,X
IOSZJLT,O,X,O,X,X,X,O,X,X,O,O,X,X
IOZTLJS,X,X,X,O,X,X,X,X,X,X,X,X,X
IOZTLSJ,X,X,X,O,X,X,X,X,X,X,X,X,X
IOZTJLS,X,X,X,O,X,X,X,X,X,X,X,X,X
IOZTJSL,X,X,X,O,X,X,O,X,X,X,X,X,X
IOZTSLJ,X,X,X,O,X,X,O,X,X,X,X,X,X
IOZTSJL,X,X,X,O,X,X,O,X,X,X,X,X,X
IOZLTJS,X,X,X,O,X,X,X,X,X,X,X,X,X
IOZLTSJ,X,X,X,O,X,X,X,X,X,X,X,X,X
IOZLJTS,X,X,O,O,X,X,X,X,X,X,X,X,X
IOZLJST,X,X,O,X,O,X,X,X,X,X,X,X,X
IOZLSTJ,X,X,X,O,O,X,X,X,X,O,X,X,X
IOZLSJT,X,X,O,X,O,X,X,X,X,O,X,X,X
IOZJTLS,X,X,O,O,X,X,X,X,X,X,X,X,X
IOZJTSL,X,X,X,O,X,X,O,X,X,X,X,X,X
IOZJLTS,X,X,O,O,X,X,X,X,X,X,X,X,X
IOZJLST,X,X,O,X,O,X,X,X,X,X,X,X,X
IOZJSTL,X,X,O,X,O,X,X,X,X,X,X,X,X
IOZJSLT,X,X,O,X,O,X,O,X,X,X,X,X,X
IOZSTLJ,X,X,X,O,O,X,X,X,X,O,X,X,X
IOZSTJL,X,X,X,O,O,X,X,X,X,O,X,X,X
IOZSLTJ,X,X,X,O,O,X,X,X,X,O,X,X,X
IOZSLJT,X,X,O,X,O,X,O,X,X,O,X,X,X
IOZSJTL,X,X,O,X,O,X,X,X,X,O,X,X,X
IOZSJLT,X,X,O,X,O,X,O,X,X,O,X,X,X
LTIJSZO,X,X,X,X,X,X,O,O,X,X,X,O,O
LTIJSOZ,X,O,X,X,X,O,O,O,X,X,X,O,O
LTIJZSO,X,X,X,X,O,X,X,O,O,X,X,O,X
LTIJZOS,X,O,X,X,X,X,X,X,O,X,X,X,X
LTIJOSZ,X,O,X,X,X,O,O,O,X,X,X,O,X
LTIJOZS,X,O,X,X,X,O,X,X,O,X,X,X,X
LTISJZO,X,X,X,X,X,X,O,X,X,O,X,O,X
LTISJOZ,X,O,X,X,X,O,O,X,X,O,X,O,X
LTISZJO,X,X,X,O,X,X,O,X,X,O,X,O,X
LTISZOJ,X,X,X,O,X,X,O,X,X,O,X,X,X
LTISOJZ,X,X,X,X,X,O,O,X,X,O,X,O,X
LTISOZJ,X,X,X,O,X,O,O,X,X,O,X,X,X
LTIZJSO,X,X,X,O,O,X,X,X,X,X,X,O,X
LTIZJOS,X,O,X,O,X,X,X,X,X,X,X,X,X
LTIZSJO,X,X,X,O,O,X,X,X,X,X,X,O,X
LTIZSOJ,X,X,X,O,O,X,X,X,X,X,X,X,X
LTIZOJS,X,X,X,O,X,X,X,X,X,X,X,X,X
LTIZOSJ,X,X,X,O,X,X,X,X,X,X,X,X,X
LTIOJSZ,X,O,X,X,X,O,O,O,X,X,X,O,X
LTIOJZS,X,O,X,X,X,O,X,O,O,X,X,X,X
LTIOSJZ,X,X,X,X,X,O,O,O,X,O,X,O,X
LTIOSZJ,X,X,X,O,X,O,O,O,X,O,X,X,X
LTIOZJS,X,X,X,O,X,O,X,X,X,X,X,X,X
LTIOZSJ,X,X,X,O,X,O,X,X,X,X,X,X,X
LTJISZO,X,X,X,X,X,X,X,O,X,X,X,O,O
LTJISOZ,X,O,X,X,X,O,X,O,X,X,X,O,O
LTJIZSO,O,X,X,X,O,X,X,O,O,X,X,O,X
LTJIZOS,O,O,X,X,X,X,X,X,O,X,X,X,X
LTJIOSZ,O,O,O,X,X,O,X,O,X,X,X,O,X
LTJIOZS,O,O,O,X,X,O,X,O,O,X,X,X,X
LTJSIZO,X,O,X,X,X,X,O,O,X,X,X,O,O
LTJSIOZ,X,O,O,X,X,O,O,O,X,X,X,O,O
LTJSZIO,X,O,O,O,X,X,O,O,O,X,X,O,O
LTJSZOI,X,O,O,O,X,O,X,X,O,X,X,X,X
LTJSOIZ,X,O,O,X,X,O,O,O,X,X,X,O,O
LTJSOZI,X,O,O,O,X,O,X,O,O,X,X,X,X
LTJZISO,O,X,X,O,O,X,X,O,O,X,X,O,X
LTJZIOS,O,O,O,O,X,X,X,X,O,X,X,X,X
LTJZSIO,O,X,O,O,X,X,X,O,O,X,X,O,X
LTJZSOI,X,X,O,O,X,O,X,X,O,X,X,X,X
LTJZOIS,O,O,O,O,X,O,X,X,O,X,X,X,X
LTJZOSI,O,X,O,O,X,O,X,X,O,X,X,X,X
LTJOISZ,O,O,O,X,X,O,X,O,X,X,X,O,X
LTJOIZS,O,O,O,X,X,O,X,O,O,X,X,X,X
LTJOSIZ,O,O,O,X,X,O,X,O,X,X,X,O,X
LTJOSZI,O,O,O,O,X,O,X,O,O,X,X,X,X
LTJOZIS,O,O,O,O,X,O,X,O,O,X,X,X,X
LTJOZSI,O,X,O,O,X,O,X,O,O,X,X,X,X
LTSIJZO,X,O,X,X,X,X,O,X,X,O,X,O,X
LTSIJOZ,X,O,X,X,X,O,O,X,X,O,X,O,X
LTSIZJO,X,O,X,O,X,X,O,X,X,O,X,O,X
LTSIZOJ,X,X,X,O,X,X,O,X,X,O,O,X,X
LTSIOJZ,X,O,X,X,X,O,O,X,X,O,X,O,X
LTSIOZJ,X,X,X,O,X,O,O,X,X,O,O,X,X
LTSJIZO,O,O,X,X,X,X,O,O,X,X,X,O,X
LTSJIOZ,O,O,O,X,X,O,O,O,X,X,X,O,X
LTSJZIO,O,O,O,O,X,X,O,O,O,X,X,O,X
LTSJZOI,O,O,O,O,X,O,X,X,O,X,X,X,X
LTSJOIZ,O,O,O,X,X,O,O,O,X,X,X,O,X
LTSJOZI,O,O,O,O,X,O,X,X,O,X,X,X,X
LTSZIJO,O,O,X,O,X,X,O,X,X,X,X,O,X
LTSZIOJ,O,X,X,O,X,X,O,X,X,X,X,X,X
LTSZJIO,O,O,O,O,X,X,O,X,X,X,X,O,X
LTSZJOI,O,O,O,O,X,O,X,X,X,X,X,X,X
LTSZOIJ,O,X,X,O,X,O,X,X,X,X,X,X,X
LTSZOJI,O,X,O,O,X,O,X,X,X,X,X,X,X
LTSOIJZ,O,O,X,X,X,O,O,O,X,X,X,O,X
LTSOIZJ,X,X,X,O,X,O,O,O,X,X,O,X,X
LTSOJIZ,O,O,O,X,X,O,O,O,X,X,X,O,X
LTSOJZI,O,O,O,O,X,O,X,O,O,X,X,X,X
LTSOZIJ,O,X,X,O,X,O,X,O,X,X,X,X,X
LTSOZJI,O,X,O,O,X,O,X,O,X,X,X,X,X
LTZIJSO,O,X,X,O,O,X,X,X,X,X,X,O,X
LTZIJOS,O,O,X,O,X,X,X,X,X,X,X,X,X
LTZISJO,O,X,X,O,O,X,X,X,X,X,X,O,X
LTZISOJ,O,X,X,O,O,X,X,X,X,X,X,X,X
LTZIOJS,O,X,X,O,X,X,X,X,X,X,X,X,X
LTZIOSJ,O,X,X,O,X,X,X,X,X,X,X,X,X
LTZJISO,O,X,X,O,O,X,X,O,O,X,X,O,X
LTZJIOS,O,O,O,O,X,X,X,X,O,X,X,X,X
LTZJSIO,O,X,O,O,X,X,X,O,O,X,X,O,X
LTZJSOI,O,X,O,O,X,O,X,X,O,X,X,X,X
LTZJOIS,O,O,O,O,X,O,X,X,O,X,X,X,X
LTZJOSI,O,X,O,O,X,O,X,X,O,X,X,X,X
LTZSIJO,O,X,X,O,X,X,O,X,X,X,X,O,X
LTZSIOJ,O,X,X,O,X,X,O,X,X,X,X,X,X
LTZSJIO,O,X,O,O,X,X,O,X,X,X,X,O,X
LTZSJOI,O,X,O,O,X,O,X,X,X,X,X,X,X
LTZSOIJ,O,X,X,O,X,O,X,X,X,X,X,X,X
LTZSOJI,O,X,O,O,X,O,X,X,X,X,X,X,X
LTZOIJS,O,X,X,O,X,O,X,X,X,X,X,X,X
