sequence,v115@zgA8IeB8HeB8FeF8AeA8BeI8BeA8JeR7IvhF3cBGeB?TgBliBimB0sB,v115@zgA8IeB8HeB8FeF8AeA8BeI8BeA8JeR7IvhFzcBGeB?igB3iBFmB0sB,v115@zgA8IeB8HeB8FeF8AeA8BeI8BeA8JeF7IvhFxcBTeB?3gBcmBOnBqsB,v115@zgA8IeB8HeB8FeF8AeA8BeI8BeA8JeR7IvhFfiBTeB?igB+nBFmB0sB,v115@zgA8IeB8HeB8FeF8AeA8BeI8BeA8JeF7IvhFxcBTeB?3gBGiBimB0sB,v115@zgA8IeB8HeB8FeF8AeA8BeI8BeA8JeR7IvhFFdBTgB?OmBCjBUnBXtB,v115@zgA8IeB8HeB8FeF8AeA8BeI8BeA8JeU7IvhFyhBWjB?xlBTnBFmBXtB,v115@zgA8IeB8HeB8FeF8AeA8BeI8BeA8JeaAJvhFzbBRdB?GiBFmB/sBctB,v115@zgA8IeB8HeB8FeF8AeA8BeI8BeA8JeU7IvhFylBWnB?xnBFmBTnBXtB
LTZJOSI,O,O,O,O,X,X,X,X,X
LTZSIJO,O,O,O,O,X,X,X,X,X
LTZSIOJ,X,O,O,X,X,X,X,X,X
LTZSJIO,O,O,O,O,X,X,X,O,X
LTZSJOI,O,O,O,O,X,X,X,O,X
LTZSOIJ,O,O,O,X,X,X,X,X,X
LTZSOJI,O,O,O,X,X,X,X,O,X
LTZOIJS,O,O,O,O,X,X,X,X,X
LTZOISJ,O,O,O,X,X,X,X,X,X
LTZOJIS,O,O,O,O,O,X,X,X,X
LTZOJSI,O,O,O,O,X,X,X,X,X
LTZOSIJ,O,O,O,X,X,X,X,X,X
LTZOSJI,O,O,O,X,X,X,X,O,X
LTOIJSZ,O,O,O,O,O,X,X,X,X
LTOIJZS,O,O,O,O,O,X,X,X,X
LTOISJZ,O,O,O,O,X,X,X,O,X
LTOISZJ,O,O,O,X,X,X,X,X,X
LTOIZJS,O,O,O,O,X,X,X,X,X
LTOIZSJ,O,O,O,X,X,X,X,X,X
LTOJISZ,O,O,O,O,O,X,X,X,X
LTOJIZS,O,O,O,O,O,X,X,X,X
LTOJSIZ,O,O,O,O,O,X,X,O,X
LTOJSZI,O,O,O,O,O,X,X,O,X
LTOJZIS,O,O,O,O,O,X,X,X,X
LTOJZSI,O,O,O,O,X,X,X,X,X
LTOSIJZ,O,O,O,O,O,X,X,O,X
LTOSIZJ,O,O,O,X,O,X,X,X,X
LTOSJIZ,O,O,O,O,O,X,X,O,X
LTOSJZI,O,O,O,O,O,X,X,O,X
LTOSZIJ,O,O,O,X,O,X,X,X,X
LTOSZJI,O,O,O,X,O,X,X,O,X
LTOZIJS,O,O,O,O,X,X,X,X,X
LTOZISJ,O,O,O,X,X,X,X,X,X
LTOZJIS,O,O,O,O,O,X,X,X,X
LTOZJSI,O,O,O,O,X,X,X,X,X
LTOZSIJ,O,O,O,X,X,X,X,X,X
LTOZSJI,O,O,O,X,X,X,X,O,X
LITJSZO,O,O,O,O,X,X,X,X,X
LITJSOZ,O,O,O,O,O,X,X,X,X
LITJZSO,O,O,O,O,X,X,X,X,O
LITJZOS,X,O,O,O,O,X,X,X,O
LITJOSZ,O,O,O,O,O,X,X,X,X
LITJOZS,O,O,O,O,O,X,X,X,X
LITSJZO,O,O,O,O,X,X,X,O,X
LITSJOZ,O,O,O,O,X,X,X,O,X
LITSZJO,O,O,O,O,X,X,X,X,X
LITSZOJ,X,O,O,X,X,X,X,X,X
LITSOJZ,O,O,O,O,X,X,X,O,X
LITSOZJ,O,O,O,X,X,X,X,X,X
LITZJSO,O,O,O,O,X,X,X,X,O
LITZJOS,X,O,O,O,X,X,X,X,O
LITZSJO,O,O,X,O,X,X,X,X,X
LITZSOJ,X,O,O,X,X,X,X,X,X
LITZOJS,X,O,O,O,X,X,X,X,X
LITZOSJ,X,O,O,X,X,X,X,X,X
LITOJSZ,O,O,O,O,O,X,X,X,X
LITOJZS,O,O,O,O,O,X,X,X,X
LITOSJZ,O,O,O,O,X,X,X,O,X
LITOSZJ,O,O,O,X,X,X,X,X,X
LITOZJS,O,O,O,O,X,X,X,X,X
LITOZSJ,O,O,O,X,X,X,X,X,X
LIJTSZO,O,O,O,O,O,X,X,X,X
LIJTSOZ,O,O,O,O,O,X,X,X,X
LIJTZSO,O,O,O,O,X,X,X,X,O
LIJTZOS,X,O,O,O,O,X,X,X,O
LIJTOSZ,O,O,O,O,O,X,X,X,X
LIJTOZS,O,O,O,O,O,X,X,X,X
LIJSTZO,O,O,O,O,O,X,X,X,X
LIJSTOZ,O,O,O,O,O,X,X,X,X
LIJSZTO,O,X,O,X,O,X,X,X,O
LIJSZOT,O,O,O,X,O,X,X,X,O
LIJSOTZ,O,O,O,O,O,X,X,X,X
LIJSOZT,O,O,O,X,O,X,X,X,X
LIJZTSO,O,X,O,O,X,X,X,X,O
LIJZTOS,X,X,O,O,O,X,X,X,O
LIJZSTO,O,X,O,X,O,X,X,X,O
LIJZSOT,O,O,O,X,O,X,X,X,O
LIJZOTS,X,X,O,O,O,X,X,X,O
LIJZOST,X,X,O,X,O,X,X,X,O
LIJOTSZ,O,X,O,O,O,X,X,X,X
LIJOTZS,O,X,O,O,O,X,X,X,X
LIJOSTZ,O,O,O,O,O,X,X,X,X
LIJOSZT,O,O,O,X,O,X,X,X,X
LIJOZTS,O,X,O,O,O,X,X,X,O
LIJOZST,O,X,O,X,O,X,X,X,O
LISTJZO,O,O,O,X,O,X,X,O,X
LISTJOZ,O,O,O,X,O,X,X,O,X
LISTZJO,O,O,O,X,X,X,X,X,X
LISTZOJ,X,O,O,X,O,X,X,X,X
LISTOJZ,O,O,O,X,O,X,X,O,X
LISTOZJ,O,O,O,X,O,X,X,X,X
LISJTZO,O,O,O,O,O,X,X,O,X
LISJTOZ,O,O,O,O,O,X,X,O,X
LISJZTO,O,X,X,X,O,X,X,X,O
LISJZOT,O,O,X,X,O,X,X,X,O
LISJOTZ,O,O,O,O,O,X,X,X,X
LISJOZT,O,O,X,X,O,X,X,X,X
LISZTJO,O,X,X,X,X,X,X,X,X
LISZTOJ,X,X,X,X,O,X,X,X,X
LISZJTO,O,X,X,X,X,X,X,X,O
LISZJOT,O,O,X,X,X,X,X,X,O
LISZOTJ,X,X,X,X,O,X,X,X,X
LISZOJT,X,O,X,X,X,X,X,X,X
LISOTJZ,O,O,O,X,O,X,X,X,X
LISOTZJ,O,X,O,X,O,X,X,X,X
LISOJTZ,O,O,O,O,O,X,X,X,X
LISOJZT,O,O,X,X,O,X,X,X,X
LISOZTJ,O,X,X,X,O,X,X,X,X
LISOZJT,O,O,X,X,X,X,X,X,X
LIZTJSO,O,X,O,X,X,X,X,X,O
LIZTJOS,X,X,O,X,X,X,X,X,O
LIZTSJO,O,X,O,X,X,X,X,X,X
LIZTSOJ,X,X,O,X,X,X,X,X,X
LIZTOJS,X,X,O,X,X,X,X,X,X
LIZTOSJ,X,X,O,X,X,X,X,X,X
LIZJTSO,O,X,O,O,X,X,X,X,O
LIZJTOS,X,X,O,O,X,X,X,X,O
LIZJSTO,O,X,O,X,X,X,X,X,O
LIZJSOT,O,O,O,X,X,X,X,X,O
LIZJOTS,X,X,O,O,X,X,X,X,O
LIZJOST,X,X,O,X,X,X,X,X,O
LIZSTJO,O,X,O,X,X,X,X,X,X
LIZSTOJ,X,X,O,X,X,X,X,X,X
LIZSJTO,O,X,O,X,X,X,X,X,O
LIZSJOT,O,O,O,X,X,X,X,X,O
LIZSOTJ,X,X,O,X,X,X,X,X,X
LIZSOJT,X,O,O,X,X,X,X,X,X
LIZOTJS,X,X,O,X,X,X,O,X,X
LIZOTSJ,X,X,O,X,X,X,X,X,X
LIZOJTS,X,X,O,O,X,X,O,X,O
LIZOJST,X,X,O,X,X,X,O,X,O
LIZOSTJ,X,X,O,X,X,X,X,X,X
LIZOSJT,X,X,O,X,X,X,O,X,X
LIOTJSZ,O,X,O,O,O,X,X,X,X
LIOTJZS,O,X,O,O,O,X,O,X,X
LIOTSJZ,O,X,O,O,X,X,X,X,X
LIOTSZJ,O,X,O,X,X,X,X,X,X
LIOTZJS,O,X,O,O,X,X,O,X,X
LIOTZSJ,O,X,O,X,X,X,X,X,X
LIOJTSZ,O,X,O,O,O,X,X,X,X
LIOJTZS,O,X,O,O,O,X,O,X,X
LIOJSTZ,O,O,O,O,O,X,X,X,X
LIOJSZT,O,O,O,X,O,X,O,X,X
LIOJZTS,O,X,O,O,O,O,O,X,O
LIOJZST,O,X,O,X,O,O,O,X,O
LIOSTJZ,O,O,O,X,O,X,X,X,X
LIOSTZJ,O,X,O,X,O,X,X,X,X
LIOSJTZ,O,O,O,O,O,X,X,X,X
LIOSJZT,O,O,X,X,O,X,O,X,X
LIOSZTJ,O,X,X,X,O,X,X,X,X
LIOSZJT,O,O,X,X,X,X,O,X,X
LIOZTJS,O,X,O,X,X,X,O,X,X
LIOZTSJ,O,X,O,X,X,X,X,X,X
LIOZJTS,O,X,O,O,X,X,O,X,O
LIOZJST,O,X,O,X,X,X,O,X,O
LIOZSTJ,O,X,O,X,X,X,X,X,X
LIOZSJT,O,X,O,X,X,X,O,X,X
LJTISZO,O,O,O,O,O,X,X,X,X
LJTISOZ,O,O,O,O,O,X,X,X,X
LJTIZSO,O,O,O,O,X,X,X,X,O
LJTIZOS,X,O,O,O,O,X,X,X,O
LJTIOSZ,O,O,O,O,O,X,X,X,X
LJTIOZS,O,O,O,O,O,X,X,X,X
LJTSIZO,O,O,O,O,O,X,X,O,X
LJTSIOZ,O,O,O,O,O,X,X,O,X
LJTSZIO,O,O,O,O,O,X,X,O,X
LJTSZOI,O,O,O,O,O,X,X,O,X
LJTSOIZ,O,O,O,O,O,X,X,O,X
LJTSOZI,O,O,O,O,O,X,X,O,X
LJTZISO,O,O,O,O,X,X,X,X,O
LJTZIOS,X,O,O,O,O,X,X,X,O
LJTZSIO,O,O,O,O,X,X,X,X,X
LJTZSOI,O,O,O,O,X,X,X,X,X
LJTZOIS,O,O,O,O,O,X,X,X,X
LJTZOSI,O,O,O,O,X,X,X,X,X
LJTOISZ,O,O,O,O,O,X,X,X,X
LJTOIZS,O,O,O,O,O,X,X,X,X
LJTOSIZ,O,O,O,O,O,X,X,O,X
LJTOSZI,O,O,O,O,O,X,X,O,X
LJTOZIS,O,O,O,O,O,X,X,X,X
LJTOZSI,O,O,O,O,X,X,X,X,X
LJITSZO,O,O,O,O,O,X,X,X,X
LJITSOZ,O,O,O,O,O,X,X,X,X
LJITZSO,O,O,O,O,X,X,X,X,O
LJITZOS,X,O,O,O,O,X,X,X,O
LJITOSZ,O,O,O,O,O,X,X,X,X
LJITOZS,O,O,O,O,O,X,X,X,X
LJISTZO,O,O,O,O,O,X,X,X,X
LJISTOZ,O,O,O,O,O,X,X,X,X
LJISZTO,O,X,O,X,O,X,X,X,O
LJISZOT,O,O,O,X,O,X,X,X,O
LJISOTZ,O,O,O,O,O,X,X,X,X
LJISOZT,O,O,O,X,O,X,X,X,X
LJIZTSO,O,X,O,O,X,X,X,X,O
LJIZTOS,X,X,O,O,O,X,X,X,O
LJIZSTO,O,X,O,X,O,X,X,X,O
LJIZSOT,O,O,O,X,O,X,X,X,O
LJIZOTS,X,X,O,O,O,X,X,X,O
LJIZOST,X,X,O,X,O,X,X,X,O
LJIOTSZ,O,X,O,O,O,X,X,X,X
LJIOTZS,O,X,O,O,O,X,X,X,X
LJIOSTZ,O,O,O,O,O,X,X,X,X
LJIOSZT,O,O,O,X,O,X,X,X,X
LJIOZTS,O,X,O,O,O,X,X,X,O
LJIOZST,O,X,O,X,O,X,X,X,O
LJSTIZO,O,O,O,O,O,X,X,O,X
LJSTIOZ,O,O,O,O,O,X,X,O,X
LJSTZIO,O,O,O,O,O,X,X,O,X
LJSTZOI,O,O,O,O,O,X,X,O,X
LJSTOIZ,O,O,O,O,O,X,X,O,X
LJSTOZI,O,O,O,O,O,X,X,O,X
LJSITZO,O,O,O,O,O,X,X,O,X
LJSITOZ,O,O,O,O,O,X,X,O,X
LJSIZTO,O,X,O,X,O,X,X,X,O
LJSIZOT,O,O,O,X,O,X,X,X,O
LJSIOTZ,O,O,O,O,O,X,X,X,X
LJSIOZT,O,O,O,X,O,X,X,X,X
LJSZTIO,X,X,O,X,O,X,X,O,X
LJSZTOI,X,X,O,X,O,X,X,O,X
LJSZITO,O,X,O,X,O,X,X,X,O
LJSZIOT,O,O,O,X,O,X,X,X,O
LJSZOTI,X,O,O,O,O,X,X,X,X
LJSZOIT,O,O,O,X,O,X,X,X,X
LJSOTIZ,O,O,O,O,O,X,X,O,X
LJSOTZI,O,O,O,O,O,X,X,O,X
LJSOITZ,O,O,O,O,O,X,X,X,X
LJSOIZT,O,O,O,X,O,X,X,X,X
LJSOZTI,X,O,O,O,O,X,X,X,X
LJSOZIT,O,O,O,X,O,X,X,X,X
LJZTISO,O,X,O,O,X,X,X,X,O
LJZTIOS,X,X,O,O,O,O,X,X,O
LJZTSIO,O,X,O,O,X,X,X,X,X
LJZTSOI,O,X,O,O,X,O,X,X,X
LJZTOIS,O,X,O,O,O,O,X,X,X
LJZTOSI,O,X,O,O,X,O,X,X,X
LJZITSO,O,X,O,O,X,X,X,X,O
LJZITOS,X,X,O,O,O,O,X,X,O
LJZISTO,O,X,O,X,O,X,X,X,O
LJZISOT,O,O,O,X,O,X,X,X,O
LJZIOTS,X,X,O,O,O,O,X,X,O
LJZIOST,X,X,O,X,O,O,X,X,O
LJZSTIO,X,X,O,X,O,X,X,X,X
LJZSTOI,X,X,O,X,O,O,X,X,X
LJZSITO,O,X,O,X,O,X,X,X,O
LJZSIOT,O,O,O,X,O,X,X,X,O
LJZSOTI,X,O,O,O,O,O,X,X,X
LJZSOIT,O,O,O,X,O,O,X,X,X
LJZOTIS,O,X,O,O,O,O,X,X,X
LJZOTSI,O,X,O,O,X,O,X,X,X
LJZOITS,O,X,O,O,O,O,X,X,O
LJZOIST,O,X,O,X,O,O,X,X,O
LJZOSTI,X,X,O,O,O,O,X,X,X
LJZOSIT,O,X,O,X,O,O,X,X,X
LJOTISZ,O,X,O,O,O,X,X,X,X
LJOTIZS,O,X,O,O,O,X,X,X,X
LJOTSIZ,O,X,O,O,O,X,X,X,X
LJOTSZI,O,X,O,O,O,X,X,X,X
LJOTZIS,O,X,O,O,O,X,X,X,X
LJOTZSI,O,X,O,O,X,X,X,X,X
LJOITSZ,O,X,O,O,O,X,X,X,X
LJOITZS,O,X,O,O,O,X,X,X,X
LJOISTZ,O,O,O,O,O,X,X,X,X
LJOISZT,O,O,O,X,O,X,X,X,X
LJOIZTS,O,X,O,O,O,O,X,X,O
LJOIZST,O,X,O,X,O,O,X,X,O
LJOSTIZ,O,O,O,O,O,X,X,X,X
LJOSTZI,O,O,O,O,O,X,X,X,X
LJOSITZ,O,O,O,O,O,X,X,X,X
LJOSIZT,O,O,O,X,O,X,X,X,X
LJOSZTI,X,O,O,O,O,X,X,X,X
LJOSZIT,O,O,O,X,O,X,X,X,X
LJOZTIS,O,X,O,O,O,O,X,X,X
LJOZTSI,O,X,O,O,X,O,X,X,X
LJOZITS,O,X,O,O,O,O,X,X,O
LJOZIST,O,X,O,X,O,O,X,X,O
LJOZSTI,X,X,O,O,O,O,X,X,X
LJOZSIT,O,X,O,X,O,O,X,X,X
LSTIJZO,O,O,O,X,O,X,X,O,X
LSTIJOZ,O,O,O,X,O,X,X,O,X
LSTIZJO,O,O,O,X,X,X,X,X,X
LSTIZOJ,X,O,O,X,O,X,X,X,X
LSTIOJZ,O,O,O,X,O,X,X,O,X
LSTIOZJ,O,O,O,X,O,X,X,X,X
LSTJIZO,O,O,O,X,O,X,X,O,X
LSTJIOZ,O,O,O,X,O,X,X,O,X
LSTJZIO,O,O,O,X,O,X,X,O,X
LSTJZOI,O,O,O,X,O,X,X,O,X
LSTJOIZ,O,O,O,X,O,X,X,O,X
LSTJOZI,O,O,O,X,O,X,X,O,X
LSTZIJO,O,O,O,X,X,X,X,X,X
LSTZIOJ,X,O,O,X,O,X,X,X,X
LSTZJIO,O,O,O,X,O,X,X,O,X
LSTZJOI,O,O,O,X,O,X,X,O,X
LSTZOIJ,O,O,O,X,O,X,X,X,X
LSTZOJI,O,O,O,X,O,X,X,O,X
LSTOIJZ,O,O,O,X,O,X,X,O,X
LSTOIZJ,O,O,O,X,O,X,X,X,X
LSTOJIZ,O,O,O,X,O,X,X,O,X
LSTOJZI,O,O,O,X,O,X,X,O,X
LSTOZIJ,O,O,O,X,O,X,X,X,X
LSTOZJI,O,O,O,X,O,X,X,O,X
LSITJZO,O,O,O,X,O,X,X,O,X
LSITJOZ,O,O,O,X,O,X,X,O,X
LSITZJO,O,O,O,X,X,X,X,X,X
LSITZOJ,X,O,O,X,O,X,X,X,X
LSITOJZ,O,O,O,X,O,X,X,O,X
LSITOZJ,O,O,O,X,O,X,X,X,X
LSIJTZO,O,O,O,O,O,X,X,O,X
LSIJTOZ,O,O,O,O,O,X,X,O,X
LSIJZTO,O,X,X,X,O,X,X,X,O
LSIJZOT,O,O,X,X,O,X,X,X,O
LSIJOTZ,O,O,O,O,O,X,X,X,X
LSIJOZT,O,O,X,X,O,X,X,X,X
LSIZTJO,O,X,X,X,X,X,X,X,X
LSIZTOJ,X,X,X,X,O,X,X,X,X
LSIZJTO,O,X,X,X,X,X,X,X,O
LSIZJOT,O,O,X,X,X,X,X,X,O
LSIZOTJ,X,X,X,X,O,X,X,X,X
LSIZOJT,X,O,X,X,X,X,X,X,X
LSIOTJZ,O,O,O,X,O,X,X,X,X
LSIOTZJ,O,X,O,X,O,X,X,X,X
LSIOJTZ,O,O,O,O,O,X,X,X,X
LSIOJZT,O,O,X,X,O,X,X,X,X
LSIOZTJ,O,X,X,X,O,X,X,X,X
LSIOZJT,O,O,X,X,X,X,X,X,X
LSJTIZO,O,O,O,O,O,X,X,O,X
LSJTIOZ,O,O,O,O,O,X,X,O,X
LSJTZIO,O,O,O,O,O,X,X,O,X
LSJTZOI,O,O,O,O,O,X,X,O,X
LSJTOIZ,O,O,O,O,O,X,X,O,X
LSJTOZI,O,O,O,O,O,X,X,O,X
LSJITZO,O,O,O,O,O,X,X,O,X
LSJITOZ,O,O,O,O,O,X,X,O,X
LSJIZTO,O,X,O,X,O,X,X,X,O
LSJIZOT,O,O,O,X,O,X,X,X,O
LSJIOTZ,O,O,O,O,O,X,X,X,X
LSJIOZT,O,O,O,X,O,X,X,X,X
LSJZTIO,X,X,O,X,O,X,X,O,X
LSJZTOI,X,X,O,X,O,X,X,O,X
LSJZITO,O,X,O,X,O,X,X,X,O
LSJZIOT,O,O,O,X,O,X,X,X,O
LSJZOTI,X,O,O,O,O,X,X,X,X
LSJZOIT,O,O,O,X,O,X,X,X,X
LSJOTIZ,O,O,O,O,O,X,X,O,X
LSJOTZI,O,O,O,O,O,X,X,O,X
LSJOITZ,O,O,O,O,O,X,X,X,X
LSJOIZT,O,O,O,X,O,X,X,X,X
LSJOZTI,X,O,O,O,O,X,X,X,X
LSJOZIT,O,O,O,X,O,X,X,X,X
LSZTIJO,O,X,O,X,X,X,X,X,X
LSZTIOJ,X,X,O,X,O,X,X,X,X
LSZTJIO,O,X,O,X,O,X,X,O,X
LSZTJOI,O,X,O,X,O,X,X,O,X
LSZTOIJ,O,X,O,X,O,X,X,X,X
LSZTOJI,O,X,O,X,O,X,X,O,X
LSZITJO,O,X,O,X,X,X,X,X,X
LSZITOJ,X,X,O,X,O,X,X,X,X
LSZIJTO,O,X,O,X,X,X,X,X,O
LSZIJOT,O,O,O,X,X,X,X,X,O
LSZIOTJ,X,X,O,X,O,X,X,X,X
LSZIOJT,X,O,O,X,X,X,X,X,X
LSZJTIO,X,X,O,X,O,X,X,O,X
LSZJTOI,X,X,O,X,O,X,X,O,X
LSZJITO,O,X,O,X,O,X,X,X,O
LSZJIOT,O,O,O,X,O,X,X,X,O
LSZJOTI,X,O,O,X,O,X,X,X,X
LSZJOIT,O,O,O,X,O,X,X,X,X
LSZOTIJ,O,X,O,X,O,X,X,X,X
LSZOTJI,O,X,O,X,O,X,X,X,X
LSZOITJ,O,X,O,X,O,X,X,X,X
LSZOIJT,O,O,O,X,X,X,X,X,X
LSZOJTI,X,O,O,X,O,X,X,X,X
LSZOJIT,O,O,O,X,O,X,X,X,X
LSOTIJZ,O,O,O,X,O,X,X,O,X
LSOTIZJ,O,O,O,X,O,X,X,X,X
LSOTJIZ,O,O,O,X,O,X,X,O,X
LSOTJZI,O,O,O,X,O,X,X,O,X
LSOTZIJ,O,O,O,X,O,X,X,X,X
LSOTZJI,O,O,O,X,O,X,X,O,X
LSOITJZ,O,O,O,X,O,X,X,X,X
LSOITZJ,O,X,O,X,O,X,X,X,X
LSOIJTZ,O,O,O,O,O,X,X,X,X
LSOIJZT,O,O,X,X,O,X,X,X,X
LSOIZTJ,O,X,X,X,O,X,X,X,X
LSOIZJT,O,O,X,X,X,X,X,X,X
LSOJTIZ,O,O,O,O,O,X,X,O,X
LSOJTZI,O,O,O,O,O,X,X,O,X
LSOJITZ,O,O,O,O,O,X,X,X,X
LSOJIZT,O,O,O,X,O,X,X,X,X
LSOJZTI,X,O,O,O,O,X,X,X,X
LSOJZIT,O,O,O,X,O,X,X,X,X
LSOZTIJ,O,X,O,X,O,X,X,X,X
LSOZTJI,O,X,O,X,O,X,X,X,X
LSOZITJ,O,X,O,X,O,X,X,X,X
LSOZIJT,O,O,O,X,X,X,X,X,X
LSOZJTI,X,O,O,X,O,X,X,X,X
LSOZJIT,O,O,O,X,O,X,X,X,X
LZTIJSO,O,X,O,X,X,X,X,X,O
LZTIJOS,X,X,O,X,X,X,X,X,O
LZTISJO,O,X,O,X,X,X,X,X,X
LZTISOJ,X,X,O,X,X,X,X,X,X
LZTIOJS,X,X,O,X,X,X,X,X,X
LZTIOSJ,X,X,O,X,X,X,X,X,X
LZTJISO,O,X,O,X,X,X,X,X,O
LZTJIOS,X,X,O,X,O,O,X,X,O
LZTJSIO,O,X,O,X,X,X,X,X,X
LZTJSOI,O,X,O,X,X,O,X,X,X
LZTJOIS,O,X,O,X,O,O,X,X,X
LZTJOSI,O,X,O,X,X,O,X,X,X
LZTSIJO,O,X,O,X,X,X,X,X,X
LZTSIOJ,X,X,O,X,X,X,X,X,X
LZTSJIO,O,X,O,X,X,X,X,O,X
LZTSJOI,O,X,O,X,X,X,X,O,X
LZTSOIJ,O,X,O,X,X,X,X,X,X
LZTSOJI,O,X,O,X,X,X,X,O,X
LZTOIJS,O,X,O,X,X,X,X,X,X
LZTOISJ,O,X,O,X,X,X,X,X,X
LZTOJIS,O,X,O,X,O,O,X,X,X
LZTOJSI,O,X,O,X,X,O,X,X,X
LZTOSIJ,O,X,O,X,X,X,X,X,X
LZTOSJI,O,X,O,X,X,X,X,O,X
LZITJSO,O,X,O,X,X,X,X,X,O
LZITJOS,X,X,O,X,X,X,X,X,O
LZITSJO,O,X,O,X,X,X,X,X,X
LZITSOJ,X,X,O,X,X,X,X,X,X
LZITOJS,X,X,O,X,X,X,X,X,X
LZITOSJ,X,X,O,X,X,X,X,X,X
LZIJTSO,O,X,O,O,X,X,X,X,O
LZIJTOS,X,X,O,O,X,O,X,X,O
LZIJSTO,O,X,O,X,X,X,X,X,O
LZIJSOT,O,O,O,X,X,X,X,X,O
LZIJOTS,X,X,O,O,X,O,X,X,O
LZIJOST,X,X,O,X,X,O,X,X,O
LZISTJO,O,X,O,X,X,X,X,X,X
LZISTOJ,X,X,O,X,X,X,X,X,X
LZISJTO,O,X,O,X,X,X,X,X,O
LZISJOT,O,O,O,X,X,X,X,X,O
LZISOTJ,X,X,O,X,X,X,X,X,X
LZISOJT,X,O,O,X,X,X,X,X,X
LZIOTJS,X,X,O,X,X,X,O,X,X
LZIOTSJ,X,X,O,X,X,X,X,X,X
LZIOJTS,X,X,O,O,X,O,O,X,O
LZIOJST,X,X,O,X,X,O,O,X,O
LZIOSTJ,X,X,O,X,X,X,X,X,X
LZIOSJT,X,X,O,X,X,X,O,X,X
LZJTISO,O,X,O,O,X,X,X,X,O
LZJTIOS,X,X,O,O,O,O,X,X,O
LZJTSIO,O,X,O,O,X,X,X,X,X
LZJTSOI,O,X,O,O,X,O,X,X,X
LZJTOIS,O,X,O,O,O,O,X,X,X
LZJTOSI,O,X,O,O,X,O,X,X,X
LZJITSO,O,X,O,O,X,X,X,X,O
LZJITOS,X,X,O,O,O,O,X,X,O
LZJISTO,O,X,O,X,O,X,X,X,O
LZJISOT,O,O,O,X,O,X,X,X,O
LZJIOTS,X,X,O,O,O,O,X,X,O
LZJIOST,X,X,O,X,O,O,X,X,O
LZJSTIO,X,X,O,X,O,X,X,X,X
LZJSTOI,X,X,O,X,O,O,X,X,X
LZJSITO,O,X,O,X,O,X,X,X,O
LZJSIOT,O,O,O,X,O,X,X,X,O
LZJSOTI,X,O,O,O,O,O,X,X,X
LZJSOIT,O,O,O,X,O,O,X,X,X
LZJOTIS,O,X,O,O,O,O,X,X,X
LZJOTSI,O,X,O,O,X,O,X,X,X
LZJOITS,O,X,O,O,O,O,X,X,O
LZJOIST,O,X,O,X,O,O,X,X,O
LZJOSTI,X,X,O,O,O,O,X,X,X
LZJOSIT,O,X,O,X,O,O,X,X,X
LZSTIJO,O,X,O,X,X,X,X,X,X
LZSTIOJ,X,X,O,X,O,X,X,X,X
LZSTJIO,O,X,O,X,O,X,X,O,X
LZSTJOI,O,X,O,X,O,X,X,O,X
LZSTOIJ,O,X,O,X,O,X,X,X,X
LZSTOJI,O,X,O,X,O,X,X,O,X
LZSITJO,O,X,O,X,X,X,X,X,X
LZSITOJ,X,X,O,X,O,X,X,X,X
LZSIJTO,O,X,O,X,X,X,X,X,O
LZSIJOT,O,O,O,X,X,X,X,X,O
LZSIOTJ,X,X,O,X,O,X,X,X,X
LZSIOJT,X,O,O,X,X,X,X,X,X
LZSJTIO,X,X,O,X,O,X,X,O,X
LZSJTOI,X,X,O,X,O,O,X,O,X
LZSJITO,O,X,O,X,O,X,X,X,O
LZSJIOT,O,O,O,X,O,X,X,X,O
LZSJOTI,X,O,O,X,O,O,X,X,X
LZSJOIT,O,O,O,X,O,O,X,X,X
LZSOTIJ,O,X,O,X,O,X,X,X,X
LZSOTJI,O,X,O,X,O,X,X,X,X
LZSOITJ,O,X,O,X,O,X,X,X,X
LZSOIJT,O,O,O,X,X,X,X,X,X
LZSOJTI,X,O,O,X,O,O,X,X,X
LZSOJIT,O,O,O,X,O,O,X,X,X
LZOTIJS,O,X,O,X,X,X,X,X,X
LZOTISJ,O,X,O,X,X,X,X,X,X
LZOTJIS,O,X,O,X,O,O,O,X,X
LZOTJSI,O,X,O,X,X,O,X,X,X
LZOTSIJ,O,X,O,X,X,X,X,X,X
LZOTSJI,O,X,O,X,X,X,X,X,X
LZOITJS,O,X,O,X,X,X,O,X,X
LZOITSJ,O,X,O,X,X,X,X,X,X
LZOIJTS,O,X,O,O,X,O,O,X,O
LZOIJST,O,X,O,X,X,O,O,X,O
LZOISTJ,O,X,O,X,X,X,X,X,X
LZOISJT,O,X,O,X,X,X,O,X,X
LZOJTIS,O,X,O,O,O,O,O,X,X
LZOJTSI,O,X,O,O,X,O,X,X,X
LZOJITS,O,X,O,O,O,O,O,X,O
LZOJIST,O,X,O,X,O,O,O,X,O
LZOJSTI,X,X,O,O,O,O,X,X,X
LZOJSIT,O,X,O,X,O,O,O,X,X
LZOSTIJ,O,X,O,X,O,X,X,X,X
LZOSTJI,O,X,O,X,O,X,X,X,X
LZOSITJ,O,X,O,X,O,X,X,X,X
LZOSIJT,O,X,O,X,X,X,X,X,X
LZOSJTI,X,X,O,X,O,O,X,X,X
LZOSJIT,O,X,O,X,O,O,O,X,X
LOTIJSZ,O,X,O,O,O,X,X,X,X
