sequence,v115@IhA8GeD8FeD8DeC8Jei/IvhF3gBcmBxiBdsBznBWwB,v115@IhA8GeD8FeD8DeC8Jei/IvhF9lBxhBOoBTnBXrB0rB,v115@IhA8GeD8FeD8DeC8Jei/IvhF9lBxhBOoBTnB0rBXrB,v115@IhA8GeD8FeD8DeC8Jei/IvhFThBXjBUrBRsB9qBOsB,v115@IhA8GeD8FeD8DeC8Jei/IvhF9lBxiBmmBznBXrB0rB,v115@IhA8GeD8FeD8DeC8Jei/IvhF9lBTiBOoBxrBXrB0rB,v115@IhA8GeD8FeD8DeC8Jei/IvhF9lBxiBmmBznB0rBXrB,v115@IhA8GeD8FeD8DeC8Jei/IvhF9mBxiB0lBmnBXsBzqB,v115@IhA8GeD8FeD8DeC8Jei/IvhF9lBOoBxmBTnBXrB0rB,v115@IhA8GeD8FeD8DeC8Jei/IvhF9lBOoBxmBTnB0rBXrB
IOZLTSJ,O,X,O,O,O,X,O,X,X,X
IOZLJTS,O,X,O,O,X,O,O,X,X,X
IOZLJST,X,X,X,O,X,X,X,O,X,X
IOZLSTJ,X,X,X,O,O,X,O,X,X,X
IOZLSJT,X,X,X,O,X,X,X,O,X,X
IOZJTLS,O,O,O,O,X,O,O,X,X,X
IOZJTSL,O,X,O,O,X,O,O,X,X,X
IOZJLTS,O,X,O,O,X,O,O,X,X,X
IOZJLST,X,X,X,O,X,X,X,O,X,X
IOZJSTL,X,O,O,O,X,X,O,O,X,X
IOZJSLT,X,X,X,O,X,X,X,O,X,X
IOZSTLJ,X,O,O,O,O,X,O,X,X,X
IOZSTJL,X,O,O,O,O,X,O,X,X,X
IOZSLTJ,X,X,X,O,O,X,O,X,X,X
IOZSLJT,X,X,X,O,X,X,X,O,X,X
IOZSJTL,X,O,O,O,O,X,O,O,X,X
IOZSJLT,X,X,X,O,X,X,X,O,X,X
LTIJSZO,O,X,X,X,X,O,X,O,O,X
LTIJSOZ,X,O,X,X,X,O,X,O,O,X
LTIJZSO,O,X,X,X,X,O,X,O,X,O
LTIJZOS,O,X,O,X,X,O,X,X,X,O
LTIJOSZ,O,O,O,X,O,O,X,X,X,X
LTIJOZS,O,O,O,X,X,O,O,X,X,X
LTISJZO,O,X,X,X,X,O,X,O,O,X
LTISJOZ,X,O,X,X,O,O,X,O,O,X
LTISZJO,O,X,X,O,X,X,X,O,O,X
LTISZOJ,O,X,X,O,X,X,X,X,X,X
LTISOJZ,X,O,X,X,O,O,X,X,O,X
LTISOZJ,X,O,X,X,O,X,O,X,X,X
LTIZJSO,O,X,X,O,X,O,X,O,X,O
LTIZJOS,O,X,O,O,X,O,O,X,X,O
LTIZSJO,O,X,X,O,X,X,X,O,X,O
LTIZSOJ,O,X,X,O,X,X,X,X,X,X
LTIZOJS,O,X,O,O,X,O,O,X,X,O
LTIZOSJ,O,X,O,O,O,X,O,X,X,X
LTIOJSZ,O,O,O,X,O,O,X,X,X,X
LTIOJZS,O,O,O,X,X,O,O,X,X,X
LTIOSJZ,O,O,O,X,O,O,X,X,X,X
LTIOSZJ,O,O,X,X,O,X,O,X,X,X
LTIOZJS,O,O,O,X,X,O,O,X,X,X
LTIOZSJ,O,X,O,X,O,X,O,X,X,X
LTJISZO,O,X,X,X,X,O,X,O,O,X
LTJISOZ,X,O,X,X,X,O,X,O,O,X
LTJIZSO,O,X,X,X,X,O,X,O,X,O
LTJIZOS,O,X,O,X,X,O,X,X,X,O
LTJIOSZ,O,O,O,X,O,O,X,X,X,X
LTJIOZS,O,O,O,X,X,O,O,X,X,X
LTJSIZO,O,X,X,X,X,O,X,O,O,X
LTJSIOZ,X,O,X,X,O,O,X,O,O,X
LTJSZIO,O,X,X,X,X,X,X,O,O,O
LTJSZOI,O,O,O,X,O,X,X,O,X,X
LTJSOIZ,O,O,O,X,O,X,X,O,O,X
LTJSOZI,O,O,O,X,O,X,X,O,X,X
LTJZISO,O,X,X,X,X,O,X,O,X,O
LTJZIOS,O,X,O,X,X,O,O,X,X,O
LTJZSIO,O,X,X,X,X,X,X,O,O,O
LTJZSOI,O,O,O,X,X,X,O,O,X,X
LTJZOIS,O,O,O,X,X,X,O,X,X,O
LTJZOSI,O,O,O,X,X,X,O,X,X,X
LTJOISZ,O,O,O,X,O,O,X,X,X,X
LTJOIZS,O,O,O,X,X,O,O,X,X,X
LTJOSIZ,O,O,O,X,O,X,X,X,O,X
LTJOSZI,O,O,O,X,O,X,X,X,X,X
LTJOZIS,O,O,O,X,X,X,O,X,X,O
LTJOZSI,O,O,O,X,X,X,O,X,X,X
LTSIJZO,O,X,X,X,X,O,X,O,O,X
LTSIJOZ,X,O,X,X,O,O,X,O,O,X
LTSIZJO,O,X,X,O,X,X,X,O,O,X
LTSIZOJ,O,X,X,O,X,X,X,X,X,X
LTSIOJZ,X,O,X,X,O,O,X,X,O,X
LTSIOZJ,X,O,X,X,O,X,O,X,X,X
LTSJIZO,O,X,X,X,X,O,X,O,O,X
LTSJIOZ,X,O,X,X,O,O,X,O,O,X
LTSJZIO,O,X,X,X,X,X,X,O,O,O
LTSJZOI,O,O,O,X,O,X,X,O,X,X
LTSJOIZ,O,O,O,X,O,X,X,O,O,X
LTSJOZI,O,O,O,X,O,X,X,O,X,X
LTSZIJO,O,X,X,O,X,X,X,O,O,O
LTSZIOJ,O,X,X,O,X,X,X,X,X,X
LTSZJIO,O,X,X,X,X,X,X,O,O,O
LTSZJOI,O,O,O,X,O,X,O,O,X,X
LTSZOIJ,O,O,O,X,O,X,O,X,X,X
LTSZOJI,O,O,O,X,O,X,O,O,X,X
LTSOIJZ,O,O,O,X,O,X,X,X,O,X
LTSOIZJ,O,O,X,X,O,X,O,X,X,X
LTSOJIZ,O,O,O,X,O,X,X,O,O,X
LTSOJZI,O,O,O,X,O,X,X,O,X,X
LTSOZIJ,O,O,O,X,O,X,O,X,X,X
LTSOZJI,O,O,O,X,O,X,O,O,X,X
LTZIJSO,O,X,X,O,X,O,X,O,X,O
LTZIJOS,O,X,O,O,X,O,O,X,X,O
LTZISJO,O,X,X,O,X,X,X,O,X,O
LTZISOJ,O,X,X,O,X,X,X,X,X,X
LTZIOJS,O,X,O,O,X,O,O,X,X,O
LTZIOSJ,O,X,O,O,O,X,O,X,X,X
LTZJISO,O,X,X,X,X,O,X,O,X,O
LTZJIOS,O,X,O,X,X,O,O,X,X,O
LTZJSIO,O,X,X,X,X,X,X,O,O,O
LTZJSOI,O,O,O,X,X,X,O,O,X,X
LTZJOIS,O,O,O,X,X,X,O,X,X,O
LTZJOSI,O,O,O,X,X,X,O,X,X,X
LTZSIJO,O,X,X,O,X,X,X,O,O,O
LTZSIOJ,O,X,X,O,X,X,X,X,X,X
LTZSJIO,O,X,X,X,X,X,X,O,O,O
LTZSJOI,O,O,O,X,O,X,O,O,X,X
LTZSOIJ,O,O,O,X,O,X,O,X,X,X
LTZSOJI,O,O,O,X,O,X,O,O,X,X
LTZOIJS,O,O,O,X,X,X,O,X,X,O
LTZOISJ,O,X,O,X,O,X,O,X,X,X
LTZOJIS,O,O,O,X,X,X,O,X,X,O
LTZOJSI,O,O,O,X,X,X,O,X,X,X
LTZOSIJ,O,O,O,X,O,X,O,X,X,X
LTZOSJI,O,O,O,X,O,X,O,X,X,X
LTOIJSZ,O,O,O,X,O,O,X,X,X,X
LTOIJZS,O,O,O,X,X,O,O,X,X,X
LTOISJZ,O,O,O,X,O,O,X,X,X,X
LTOISZJ,O,O,X,X,O,X,O,X,X,X
LTOIZJS,O,O,O,X,X,O,O,X,X,X
LTOIZSJ,O,X,O,X,O,X,O,X,X,X
LTOJISZ,O,O,O,X,O,O,X,X,X,X
LTOJIZS,O,O,O,X,X,O,O,X,X,X
LTOJSIZ,O,O,O,X,O,X,X,X,O,X
LTOJSZI,O,O,O,X,O,X,X,X,X,X
LTOJZIS,O,O,O,X,X,X,O,X,X,O
LTOJZSI,O,O,O,X,X,X,O,X,X,X
LTOSIJZ,O,O,O,X,O,X,X,X,O,X
LTOSIZJ,O,O,X,X,O,X,O,X,X,X
LTOSJIZ,O,O,O,X,O,X,X,X,O,X
LTOSJZI,O,O,O,X,O,X,X,X,X,X
LTOSZIJ,O,O,O,X,O,X,O,X,X,X
LTOSZJI,O,O,O,X,O,X,O,X,X,X
LTOZIJS,O,O,O,X,X,X,O,X,X,O
LTOZISJ,O,X,O,X,O,X,O,X,X,X
LTOZJIS,O,O,O,X,X,X,O,X,X,O
LTOZJSI,O,O,O,X,X,X,O,X,X,X
LTOZSIJ,O,O,O,X,O,X,O,X,X,X
LTOZSJI,O,O,O,X,O,X,O,X,X,X
LITJSZO,O,X,X,X,X,O,X,O,O,X
LITJSOZ,X,O,X,X,X,O,X,O,O,X
LITJZSO,O,X,X,X,X,O,X,O,X,O
LITJZOS,O,X,O,X,X,O,X,X,X,O
LITJOSZ,O,O,O,X,O,O,X,X,X,X
LITJOZS,O,O,O,X,X,O,O,X,X,X
LITSJZO,O,X,X,X,X,O,X,O,O,X
LITSJOZ,X,O,X,X,O,O,X,O,O,X
LITSZJO,O,X,X,O,X,X,X,O,O,X
LITSZOJ,O,X,X,O,X,X,X,X,X,X
LITSOJZ,X,O,X,X,O,O,X,X,O,X
LITSOZJ,X,O,X,X,O,X,O,X,X,X
LITZJSO,O,X,X,O,X,O,X,O,X,O
LITZJOS,O,X,O,O,X,O,O,X,X,O
LITZSJO,O,X,X,O,X,X,X,O,X,O
LITZSOJ,O,X,X,O,X,X,X,X,X,X
LITZOJS,O,X,O,O,X,O,O,X,X,O
LITZOSJ,O,X,O,O,O,X,O,X,X,X
LITOJSZ,O,O,O,X,O,O,X,X,X,X
LITOJZS,O,O,O,X,X,O,O,X,X,X
LITOSJZ,O,O,O,X,O,O,X,X,X,X
LITOSZJ,O,O,X,X,O,X,O,X,X,X
LITOZJS,O,O,O,X,X,O,O,X,X,X
LITOZSJ,O,X,O,X,O,X,O,X,X,X
LIJTSZO,O,X,X,X,X,O,X,O,O,X
LIJTSOZ,X,O,X,X,X,O,X,O,O,X
LIJTZSO,O,X,X,X,X,O,X,O,X,O
LIJTZOS,O,X,O,X,X,O,X,X,X,O
LIJTOSZ,O,O,O,X,O,O,X,X,X,X
LIJTOZS,O,O,O,X,X,O,O,X,X,X
LIJSTZO,O,X,X,X,X,O,X,O,O,X
LIJSTOZ,X,O,X,X,X,O,X,O,O,X
LIJSZTO,O,X,X,O,X,X,X,O,X,X
LIJSZOT,O,X,X,O,X,X,X,O,X,X
LIJSOTZ,O,O,X,X,X,O,X,O,X,X
LIJSOZT,X,X,X,X,X,X,X,O,X,X
LIJZTSO,O,X,X,O,X,O,X,O,X,O
LIJZTOS,O,X,O,O,X,O,X,X,X,O
LIJZSTO,O,X,X,O,X,X,X,O,X,X
LIJZSOT,O,X,X,O,X,X,X,O,X,X
LIJZOTS,O,X,O,O,X,O,X,X,X,X
LIJZOST,O,X,X,O,X,X,X,O,X,X
LIJOTSZ,O,O,O,X,O,O,X,X,X,X
LIJOTZS,O,O,O,X,X,O,O,X,X,X
LIJOSTZ,O,O,X,X,O,O,X,O,X,X
LIJOSZT,X,X,X,X,X,X,X,O,X,X
LIJOZTS,O,X,O,X,X,O,O,X,X,X
LIJOZST,O,X,X,X,X,X,X,O,X,X
LISTJZO,O,X,X,X,X,O,X,O,O,X
LISTJOZ,X,O,X,X,O,O,X,O,O,X
LISTZJO,O,X,X,O,X,X,X,O,O,X
LISTZOJ,O,X,X,O,X,X,X,X,X,X
LISTOJZ,X,O,X,X,O,O,X,X,O,X
LISTOZJ,X,O,X,X,O,X,O,X,X,X
LISJTZO,O,X,X,X,X,O,X,O,O,X
LISJTOZ,X,O,X,X,X,O,X,O,O,X
LISJZTO,O,X,X,O,X,X,X,O,X,X
LISJZOT,O,X,X,O,X,X,X,O,X,X
LISJOTZ,O,O,X,X,X,O,X,O,X,X
LISJOZT,X,X,X,X,X,X,X,O,X,X
LISZTJO,X,X,X,O,X,X,X,O,X,X
LISZTOJ,X,X,X,O,X,X,X,X,X,X
LISZJTO,X,X,X,O,X,X,X,O,X,X
LISZJOT,X,X,X,O,X,X,X,O,X,X
LISZOTJ,X,X,X,O,X,X,X,X,X,X
LISZOJT,X,X,X,O,X,X,X,O,X,X
LISOTJZ,O,O,X,X,O,O,X,X,X,X
LISOTZJ,O,O,X,X,O,X,O,X,X,X
LISOJTZ,O,O,X,X,O,O,X,O,X,X
LISOJZT,X,X,X,X,X,X,X,O,X,X
LISOZTJ,X,X,X,O,O,X,O,X,X,X
LISOZJT,X,X,X,O,X,X,X,O,X,X
LIZTJSO,O,X,X,O,X,O,X,O,X,O
LIZTJOS,O,X,O,O,X,O,O,X,X,O
LIZTSJO,O,X,X,O,X,X,X,O,X,O
LIZTSOJ,O,X,X,O,X,X,X,X,X,X
LIZTOJS,X,X,O,O,X,O,O,X,X,O
LIZTOSJ,O,X,O,O,O,X,O,X,X,X
LIZJTSO,O,X,X,O,X,O,X,O,X,O
LIZJTOS,O,X,O,O,X,O,X,X,X,O
LIZJSTO,O,X,X,O,X,X,X,O,X,X
LIZJSOT,O,X,X,O,X,X,X,O,X,X
LIZJOTS,O,X,O,O,X,O,X,X,X,X
LIZJOST,O,X,X,O,X,X,X,O,X,X
LIZSTJO,X,X,X,O,X,X,X,O,X,X
LIZSTOJ,X,X,X,O,X,X,X,X,X,X
LIZSJTO,X,X,X,O,X,X,X,O,X,X
LIZSJOT,X,X,X,O,X,X,X,O,X,X
LIZSOTJ,X,X,X,O,X,X,X,X,X,X
LIZSOJT,X,X,X,O,X,X,X,O,X,X
LIZOTJS,O,X,O,O,X,O,O,X,X,X
LIZOTSJ,O,X,O,O,O,X,O,X,X,X
LIZOJTS,O,X,O,O,X,O,O,X,X,X
LIZOJST,X,X,X,O,X,X,X,O,X,X
LIZOSTJ,X,X,X,O,O,X,O,X,X,X
LIZOSJT,X,X,X,O,X,X,X,O,X,X
LIOTJSZ,O,O,O,X,O,O,X,X,X,X
LIOTJZS,O,O,O,X,X,O,O,X,X,X
LIOTSJZ,O,O,O,X,O,O,X,X,X,X
LIOTSZJ,O,O,X,X,O,X,O,X,X,X
LIOTZJS,O,O,O,X,X,O,O,X,X,X
LIOTZSJ,O,X,O,X,O,X,O,X,X,X
LIOJTSZ,O,O,O,X,O,O,X,X,X,X
LIOJTZS,O,O,O,X,X,O,O,X,X,X
LIOJSTZ,O,O,X,X,O,O,X,O,X,X
LIOJSZT,X,X,X,X,X,X,X,O,X,X
LIOJZTS,O,X,O,X,X,O,O,X,X,X
LIOJZST,O,X,X,X,X,X,X,O,X,X
LIOSTJZ,O,O,X,X,O,O,X,X,X,X
LIOSTZJ,O,O,X,X,O,X,O,X,X,X
LIOSJTZ,O,O,X,X,O,O,X,O,X,X
LIOSJZT,X,X,X,X,X,X,X,O,X,X
LIOSZTJ,X,X,X,O,O,X,O,X,X,X
LIOSZJT,X,X,X,O,X,X,X,O,X,X
LIOZTJS,O,X,O,O,X,O,O,X,X,X
LIOZTSJ,O,X,O,O,O,X,O,X,X,X
LIOZJTS,O,X,O,O,X,O,O,X,X,X
LIOZJST,X,X,X,O,X,X,X,O,X,X
LIOZSTJ,X,X,X,O,O,X,O,X,X,X
LIOZSJT,X,X,X,O,X,X,X,O,X,X
LJTISZO,O,X,X,X,X,O,X,O,O,X
LJTISOZ,X,O,X,X,X,O,X,O,O,X
LJTIZSO,O,X,X,X,X,O,X,O,X,O
LJTIZOS,O,X,O,X,X,O,X,X,X,O
LJTIOSZ,O,O,O,X,O,O,X,X,X,X
LJTIOZS,O,O,O,X,X,O,O,X,X,X
LJTSIZO,O,X,X,X,X,O,X,O,O,X
LJTSIOZ,X,O,X,X,O,O,X,O,O,X
LJTSZIO,O,X,X,X,X,X,X,O,O,O
LJTSZOI,O,O,O,X,O,X,X,O,X,X
LJTSOIZ,O,O,O,X,O,X,X,O,O,X
LJTSOZI,O,O,O,X,O,X,X,O,X,X
LJTZISO,O,X,X,X,X,O,X,O,X,O
LJTZIOS,O,X,O,X,X,O,O,X,X,O
LJTZSIO,O,X,X,X,X,X,X,O,O,O
LJTZSOI,O,O,O,X,X,X,O,O,X,X
LJTZOIS,O,O,O,X,X,X,O,X,X,O
LJTZOSI,O,O,O,X,X,X,O,X,X,X
LJTOISZ,O,O,O,X,O,O,X,X,X,X
LJTOIZS,O,O,O,X,X,O,O,X,X,X
LJTOSIZ,O,O,O,X,O,X,X,X,O,X
LJTOSZI,O,O,O,X,O,X,X,X,X,X
LJTOZIS,O,O,O,X,X,X,O,X,X,O
LJTOZSI,O,O,O,X,X,X,O,X,X,X
LJITSZO,O,X,X,X,X,O,X,O,O,X
LJITSOZ,X,O,X,X,X,O,X,O,O,X
LJITZSO,O,X,X,X,X,O,X,O,X,O
LJITZOS,O,X,O,X,X,O,X,X,X,O
LJITOSZ,O,O,O,X,O,O,X,X,X,X
LJITOZS,O,O,O,X,X,O,O,X,X,X
LJISTZO,O,X,X,X,X,O,X,O,O,X
LJISTOZ,X,O,X,X,X,O,X,O,O,X
LJISZTO,O,X,X,O,X,X,X,O,X,X
LJISZOT,O,X,X,O,X,X,X,O,X,X
LJISOTZ,O,O,X,X,X,O,X,O,X,X
LJISOZT,X,X,X,X,X,X,X,O,X,X
LJIZTSO,O,X,X,O,X,O,X,O,X,O
LJIZTOS,O,X,O,O,X,O,X,X,X,O
LJIZSTO,O,X,X,O,X,X,X,O,X,X
LJIZSOT,O,X,X,O,X,X,X,O,X,X
LJIZOTS,O,X,O,O,X,O,X,X,X,X
LJIZOST,O,X,X,O,X,X,X,O,X,X
LJIOTSZ,O,O,O,X,O,O,X,X,X,X
LJIOTZS,O,O,O,X,X,O,O,X,X,X
LJIOSTZ,O,O,X,X,O,O,X,O,X,X
LJIOSZT,X,X,X,X,X,X,X,O,X,X
LJIOZTS,O,X,O,X,X,O,O,X,X,X
LJIOZST,O,X,X,X,X,X,X,O,X,X
LJSTIZO,O,X,X,X,X,O,X,O,O,X
LJSTIOZ,X,O,X,X,O,O,X,O,O,X
LJSTZIO,O,X,X,X,X,X,X,O,O,O
LJSTZOI,O,O,O,X,O,X,X,O,X,X
LJSTOIZ,O,O,O,X,O,X,X,O,O,X
LJSTOZI,O,O,O,X,O,X,X,O,X,X
LJSITZO,O,X,X,X,X,O,X,O,O,X
LJSITOZ,X,O,X,X,X,O,X,O,O,X
LJSIZTO,O,X,X,O,X,X,X,O,X,X
LJSIZOT,O,X,X,O,X,X,X,O,X,X
LJSIOTZ,O,O,X,X,X,O,X,O,X,X
LJSIOZT,X,X,X,X,X,X,X,O,X,X
LJSZTIO,O,X,X,X,X,X,X,O,O,O
LJSZTOI,O,O,O,X,X,X,X,O,X,X
LJSZITO,O,X,X,O,X,X,X,O,X,X
LJSZIOT,O,X,X,O,X,X,X,O,X,X
LJSZOTI,O,O,O,X,X,X,X,O,X,X
LJSZOIT,O,X,X,X,X,X,X,O,X,X
LJSOTIZ,O,O,O,X,O,X,X,O,O,X
LJSOTZI,O,O,O,X,O,X,X,O,X,X
LJSOITZ,O,O,X,X,O,X,X,O,X,X
LJSOIZT,X,X,X,X,X,X,X,O,X,X
LJSOZTI,O,O,O,X,X,X,X,O,X,X
LJSOZIT,O,X,X,X,X,X,X,O,X,X
LJZTISO,O,X,X,X,X,O,X,O,X,O
LJZTIOS,O,X,O,X,X,O,O,X,X,O
LJZTSIO,O,X,X,X,X,X,X,O,O,O
LJZTSOI,O,O,O,X,X,X,O,O,X,X
LJZTOIS,O,O,O,X,X,X,O,X,X,O
LJZTOSI,O,O,O,X,X,X,O,X,X,X
LJZITSO,O,X,X,O,X,O,X,O,X,O
LJZITOS,O,X,O,O,X,O,X,X,X,O
LJZISTO,O,X,X,O,X,X,X,O,X,X
LJZISOT,O,X,X,O,X,X,X,O,X,X
LJZIOTS,O,X,O,O,X,O,X,X,X,X
LJZIOST,O,X,X,O,X,X,X,O,X,X
LJZSTIO,O,X,X,X,X,X,X,O,O,O
LJZSTOI,O,O,O,X,X,X,X,O,X,X
LJZSITO,O,X,X,O,X,X,X,O,X,X
LJZSIOT,O,X,X,O,X,X,X,O,X,X
LJZSOTI,O,O,O,X,X,X,X,O,X,X
LJZSOIT,O,X,X,X,X,X,X,O,X,X
LJZOTIS,O,O,O,X,X,X,O,X,X,O
LJZOTSI,O,O,O,X,X,X,O,X,X,X
LJZOITS,O,X,O,X,X,X,O,X,X,X
LJZOIST,O,X,X,X,X,X,X,O,X,X
LJZOSTI,O,O,O,X,X,X,X,O,X,X
LJZOSIT,O,X,X,X,X,X,X,O,X,X
LJOTISZ,O,O,O,X,O,O,X,X,X,X
LJOTIZS,O,O,O,X,X,O,O,X,X,X
LJOTSIZ,O,O,O,X,O,X,X,X,O,X
LJOTSZI,O,O,O,X,O,X,X,X,X,X
LJOTZIS,O,O,O,X,X,X,O,X,X,O
LJOTZSI,O,O,O,X,X,X,O,X,X,X
LJOITSZ,O,O,O,X,O,O,X,X,X,X
LJOITZS,O,O,O,X,X,O,O,X,X,X
LJOISTZ,O,O,X,X,O,O,X,O,X,X
LJOISZT,X,X,X,X,X,X,X,O,X,X
LJOIZTS,O,X,O,X,X,O,O,X,X,X
LJOIZST,O,X,X,X,X,X,X,O,X,X
LJOSTIZ,O,O,O,X,O,X,X,O,O,X
LJOSTZI,O,O,O,X,O,X,X,O,X,X
LJOSITZ,O,O,X,X,O,X,X,O,X,X
LJOSIZT,X,X,X,X,X,X,X,O,X,X
LJOSZTI,O,O,O,X,X,X,X,O,X,X
LJOSZIT,O,X,X,X,X,X,X,O,X,X
LJOZTIS,O,O,O,X,X,X,O,X,X,O
LJOZTSI,O,O,O,X,X,X,O,X,X,X
LJOZITS,O,X,O,X,X,X,O,X,X,X
LJOZIST,O,X,X,X,X,X,X,O,X,X
LJOZSTI,O,O,O,X,X,X,X,O,X,X
LJOZSIT,O,X,X,X,X,X,X,O,X,X
LSTIJZO,O,X,X,X,X,O,X,O,O,X
LSTIJOZ,X,O,X,X,O,O,X,O,O,X
LSTIZJO,O,X,X,O,X,X,X,O,O,X
LSTIZOJ,O,X,X,O,X,X,X,X,X,X
LSTIOJZ,X,O,X,X,O,O,X,X,O,X
LSTIOZJ,X,O,X,X,O,X,O,X,X,X
LSTJIZO,O,X,X,X,X,O,X,O,O,X
LSTJIOZ,X,O,X,X,O,O,X,O,O,X
LSTJZIO,O,X,X,X,X,X,X,O,O,O
LSTJZOI,O,O,O,X,O,X,X,O,X,X
LSTJOIZ,O,O,O,X,O,X,X,O,O,X
LSTJOZI,O,O,O,X,O,X,X,O,X,X
LSTZIJO,O,X,X,O,X,X,X,O,O,O
LSTZIOJ,O,X,X,O,X,X,X,X,X,X
LSTZJIO,O,X,X,X,X,X,X,O,O,O
LSTZJOI,O,O,O,X,O,X,O,O,X,X
LSTZOIJ,O,O,O,X,O,X,O,X,X,X
LSTZOJI,O,O,O,X,O,X,O,O,X,X
LSTOIJZ,O,O,O,X,O,X,X,X,O,X
LSTOIZJ,O,O,X,X,O,X,O,X,X,X
LSTOJIZ,O,O,O,X,O,X,X,O,O,X
LSTOJZI,O,O,O,X,O,X,X,O,X,X
LSTOZIJ,O,O,O,X,O,X,O,X,X,X
LSTOZJI,O,O,O,X,O,X,O,O,X,X
LSITJZO,O,X,X,X,X,O,X,O,O,X
LSITJOZ,X,O,X,X,O,O,X,O,O,X
LSITZJO,O,X,X,O,X,X,X,O,O,X
LSITZOJ,O,X,X,O,X,X,X,X,X,X
LSITOJZ,X,O,X,X,O,O,X,X,O,X
LSITOZJ,X,O,X,X,O,X,O,X,X,X
LSIJTZO,O,X,X,X,X,O,X,O,O,X
LSIJTOZ,X,O,X,X,X,O,X,O,O,X
LSIJZTO,O,X,X,O,X,X,X,O,X,X
LSIJZOT,O,X,X,O,X,X,X,O,X,X
LSIJOTZ,O,O,X,X,X,O,X,O,X,X
LSIJOZT,X,X,X,X,X,X,X,O,X,X
LSIZTJO,X,X,X,O,X,X,X,O,X,X
LSIZTOJ,X,X,X,O,X,X,X,X,X,X
LSIZJTO,X,X,X,O,X,X,X,O,X,X
LSIZJOT,X,X,X,O,X,X,X,O,X,X
LSIZOTJ,X,X,X,O,X,X,X,X,X,X
LSIZOJT,X,X,X,O,X,X,X,O,X,X
LSIOTJZ,O,O,X,X,O,O,X,X,X,X
LSIOTZJ,O,O,X,X,O,X,O,X,X,X
LSIOJTZ,O,O,X,X,O,O,X,O,X,X
LSIOJZT,X,X,X,X,X,X,X,O,X,X
LSIOZTJ,X,X,X,O,O,X,O,X,X,X
LSIOZJT,X,X,X,O,X,X,X,O,X,X
LSJTIZO,O,X,X,X,X,O,X,O,O,X
LSJTIOZ,X,O,X,X,O,O,X,O,O,X
LSJTZIO,O,X,X,X,X,X,X,O,O,O
LSJTZOI,O,O,O,X,O,X,X,O,X,X
LSJTOIZ,O,O,O,X,O,X,X,O,O,X
LSJTOZI,O,O,O,X,O,X,X,O,X,X
LSJITZO,O,X,X,X,X,O,X,O,O,X
LSJITOZ,X,O,X,X,X,O,X,O,O,X
LSJIZTO,O,X,X,O,X,X,X,O,X,X
LSJIZOT,O,X,X,O,X,X,X,O,X,X
LSJIOTZ,O,O,X,X,X,O,X,O,X,X
LSJIOZT,X,X,X,X,X,X,X,O,X,X
LSJZTIO,O,X,X,X,X,X,X,O,O,O
LSJZTOI,O,O,O,X,X,X,X,O,X,X
LSJZITO,O,X,X,O,X,X,X,O,X,X
LSJZIOT,O,X,X,O,X,X,X,O,X,X
LSJZOTI,O,O,O,X,X,X,X,O,X,X
LSJZOIT,O,X,X,X,X,X,X,O,X,X
LSJOTIZ,O,O,O,X,O,X,X,O,O,X
LSJOTZI,O,O,O,X,O,X,X,O,X,X
LSJOITZ,O,O,X,X,O,X,X,O,X,X
LSJOIZT,X,X,X,X,X,X,X,O,X,X
LSJOZTI,O,O,O,X,X,X,X,O,X,X
LSJOZIT,O,X,X,X,X,X,X,O,X,X
LSZTIJO,X,X,X,O,X,X,X,O,O,O
LSZTIOJ,X,X,X,O,X,X,X,X,X,X
LSZTJIO,X,X,X,X,X,X,X,O,O,O
LSZTJOI,X,O,O,X,O,X,O,O,X,X
LSZTOIJ,X,O,O,X,O,X,O,X,X,X
LSZTOJI,X,O,O,X,O,X,O,O,X,X
LSZITJO,X,X,X,O,X,X,X,O,X,X
LSZITOJ,X,X,X,O,X,X,X,X,X,X
LSZIJTO,X,X,X,O,X,X,X,O,X,X
LSZIJOT,X,X,X,O,X,X,X,O,X,X
LSZIOTJ,X,X,X,O,X,X,X,X,X,X
LSZIOJT,X,X,X,O,X,X,X,O,X,X
LSZJTIO,O,X,X,X,X,X,X,O,O,O
LSZJTOI,O,O,O,X,X,X,X,O,X,X
LSZJITO,O,X,X,O,X,X,X,O,X,X
LSZJIOT,O,X,X,O,X,X,X,O,X,X
LSZJOTI,O,O,O,X,X,X,X,O,X,X
LSZJOIT,O,X,X,X,X,X,X,O,X,X
LSZOTIJ,X,O,O,X,O,X,O,X,X,X
LSZOTJI,X,O,O,X,O,X,O,O,X,X
LSZOITJ,X,X,X,O,O,X,O,X,X,X
LSZOIJT,X,X,X,O,X,X,X,O,X,X
LSZOJTI,X,O,O,X,X,X,X,O,X,X
LSZOJIT,X,X,X,X,X,X,X,O,X,X
LSOTIJZ,O,O,O,X,O,X,X,X,O,X
LSOTIZJ,O,O,X,X,O,X,O,X,X,X
LSOTJIZ,O,O,O,X,O,X,X,O,O,X
LSOTJZI,O,O,O,X,O,X,X,O,X,X
LSOTZIJ,O,O,O,X,O,X,O,X,X,X
LSOTZJI,O,O,O,X,O,X,O,O,X,X
LSOITJZ,O,O,X,X,O,X,X,X,X,X
LSOITZJ,O,O,X,X,O,X,O,X,X,X
LSOIJTZ,O,O,X,X,O,X,X,O,X,X
