sequence,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFxcBTeB?GiBlmBXoBSyB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFxcBTeB?lmBftB6tBGsB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFxcBGiB?/oBlmBzsB6tB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFxcBGiB?TjBlmBXoBSyB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFumB3iB?5oBihBFjBzsB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhF+iBKjB?3hB5oBlmBzsB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFzdBumB?lnBXtB5oBirB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFSiBTjB?xmBlmBGtBXtB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFTjBxmB?6mBGtB/sBFtB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFCeB3hB?xnBToBlmBWyB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhF6jBRiB?/mBFiBusBTtB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFzdB3hB?6sBOtB5oBlrB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFSjB3hB?xnBlmBusBTtB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFWjB3hB?xnBlmBCtBTtB,v115@1gB8FeA8BeB8EeD8FeE8AeA8CeG8Me06IvhFGeB3hB?xnBznBlmBSyB
TLZOJIS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLZOJSI,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLZOSIJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZOSJI,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLOIJSZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLOIJZS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLOISJZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOISZJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOIZJS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLOIZSJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOJISZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLOJIZS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLOJSIZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLOJSZI,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLOJZIS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLOJZSI,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLOSIJZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOSIZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOSJIZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLOSJZI,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLOSZIJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOSZJI,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLOZIJS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLOZISJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOZJIS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLOZJSI,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLOZSIJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOZSJI,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJILSZO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TJILSOZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TJILZSO,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X
TJILZOS,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
TJILOSZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJILOZS,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
TJISLZO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TJISLOZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TJISZLO,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TJISZOL,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X
TJISOLZ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TJISOZL,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TJIZLSO,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X
TJIZLOS,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
TJIZSLO,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TJIZSOL,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X
TJIZOLS,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X
TJIZOSL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TJIOLSZ,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
TJIOLZS,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X
TJIOSLZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TJIOSZL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TJIOZLS,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X
TJIOZSL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TJLISZO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TJLISOZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TJLIZSO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TJLIZOS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJLIOSZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJLIOZS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJLSIZO,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TJLSIOZ,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TJLSZIO,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TJLSZOI,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TJLSOIZ,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TJLSOZI,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TJLZISO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TJLZIOS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJLZSIO,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TJLZSOI,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TJLZOIS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJLZOSI,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X
TJLOISZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJLOIZS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJLOSIZ,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X
TJLOSZI,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X
TJLOZIS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJLOZSI,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X
TJSILZO,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TJSILOZ,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TJSIZLO,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TJSIZOL,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X
TJSIOLZ,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X
TJSIOZL,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X
TJSLIZO,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TJSLIOZ,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TJSLZIO,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TJSLZOI,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TJSLOIZ,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TJSLOZI,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TJSZILO,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TJSZIOL,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X
TJSZLIO,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TJSZLOI,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TJSZOIL,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TJSZOLI,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TJSOILZ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TJSOIZL,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TJSOLIZ,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TJSOLZI,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TJSOZIL,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TJSOZLI,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TJZILSO,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X
TJZILOS,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
TJZISLO,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TJZISOL,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X
TJZIOLS,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X
TJZIOSL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TJZLISO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TJZLIOS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJZLSIO,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TJZLSOI,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TJZLOIS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJZLOSI,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X
TJZSILO,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TJZSIOL,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X
TJZSLIO,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TJZSLOI,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TJZSOIL,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TJZSOLI,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TJZOILS,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X
TJZOISL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TJZOLIS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJZOLSI,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
TJZOSIL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TJZOSLI,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TJOILSZ,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
TJOILZS,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X
TJOISLZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TJOISZL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TJOIZLS,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X
TJOIZSL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TJOLISZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJOLIZS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJOLSIZ,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
TJOLSZI,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
TJOLZIS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJOLZSI,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
TJOSILZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TJOSIZL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TJOSLIZ,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TJOSLZI,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TJOSZIL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TJOSZLI,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TJOZILS,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X
TJOZISL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TJOZLIS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJOZLSI,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
TJOZSIL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TJOZSLI,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TSILJZO,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X
TSILJOZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TSILZJO,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X
TSILZOJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TSILOJZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TSILOZJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TSIJLZO,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TSIJLOZ,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TSIJZLO,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TSIJZOL,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X
TSIJOLZ,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X
TSIJOZL,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X
TSIZLJO,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X
TSIZLOJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TSIZJLO,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TSIZJOL,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X
TSIZOLJ,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TSIZOJL,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TSIOLJZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TSIOLZJ,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TSIOJLZ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TSIOJZL,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TSIOZLJ,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TSIOZJL,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TSLIJZO,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X
TSLIJOZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TSLIZJO,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X
TSLIZOJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TSLIOJZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TSLIOZJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TSLJIZO,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X
TSLJIOZ,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X
TSLJZIO,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X
TSLJZOI,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X
TSLJOIZ,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X
TSLJOZI,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X
TSLZIJO,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X
TSLZIOJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TSLZJIO,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X
TSLZJOI,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X
TSLZOIJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TSLZOJI,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TSLOIJZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TSLOIZJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TSLOJIZ,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TSLOJZI,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TSLOZIJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TSLOZJI,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TSJILZO,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TSJILOZ,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TSJIZLO,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TSJIZOL,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X
TSJIOLZ,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X
TSJIOZL,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X
TSJLIZO,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TSJLIOZ,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TSJLZIO,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TSJLZOI,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TSJLOIZ,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TSJLOZI,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TSJZILO,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TSJZIOL,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X
TSJZLIO,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TSJZLOI,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TSJZOIL,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TSJZOLI,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TSJOILZ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TSJOIZL,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TSJOLIZ,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TSJOLZI,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TSJOZIL,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TSJOZLI,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TSZILJO,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X
TSZILOJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TSZIJLO,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TSZIJOL,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X
TSZIOLJ,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TSZIOJL,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TSZLIJO,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X
TSZLIOJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TSZLJIO,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X
TSZLJOI,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X
TSZLOIJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TSZLOJI,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TSZJILO,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TSZJIOL,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X
TSZJLIO,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TSZJLOI,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TSZJOIL,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TSZJOLI,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TSZOILJ,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TSZOIJL,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TSZOLIJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TSZOLJI,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TSZOJIL,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TSZOJLI,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TSOILJZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TSOILZJ,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TSOIJLZ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TSOIJZL,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TSOIZLJ,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TSOIZJL,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TSOLIJZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TSOLIZJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TSOLJIZ,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TSOLJZI,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TSOLZIJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TSOLZJI,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TSOJILZ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TSOJIZL,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TSOJLIZ,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TSOJLZI,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TSOJZIL,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TSOJZLI,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TSOZILJ,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TSOZIJL,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TSOZLIJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TSOZLJI,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TSOZJIL,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TSOZJLI,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TZILJSO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TZILJOS,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
TZILSJO,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X
TZILSOJ,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TZILOJS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TZILOSJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TZIJLSO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TZIJLOS,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
TZIJSLO,O,O,X,O,O,X,X,X,X,X,X,X,X,O,X
TZIJSOL,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X
TZIJOLS,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X
TZIJOSL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TZISLJO,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X
TZISLOJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TZISJLO,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TZISJOL,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X
TZISOLJ,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TZISOJL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TZIOLJS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TZIOLSJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TZIOJLS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TZIOJSL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TZIOSLJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TZIOSJL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TZLIJSO,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X
TZLIJOS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TZLISJO,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X
TZLISOJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TZLIOJS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TZLIOSJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TZLJISO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TZLJIOS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TZLJSIO,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TZLJSOI,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TZLJOIS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TZLJOSI,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X
TZLSIJO,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X
TZLSIOJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TZLSJIO,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
TZLSJOI,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
TZLSOIJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TZLSOJI,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TZLOIJS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TZLOISJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TZLOJIS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TZLOJSI,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TZLOSIJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TZLOSJI,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TZJILSO,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X
TZJILOS,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
TZJISLO,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TZJISOL,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X
TZJIOLS,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X
TZJIOSL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TZJLISO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TZJLIOS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TZJLSIO,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TZJLSOI,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TZJLOIS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TZJLOSI,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X
TZJSILO,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TZJSIOL,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X
TZJSLIO,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TZJSLOI,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TZJSOIL,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TZJSOLI,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TZJOILS,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X
TZJOISL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TZJOLIS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TZJOLSI,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
TZJOSIL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TZJOSLI,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TZSILJO,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X
TZSILOJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TZSIJLO,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TZSIJOL,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X
TZSIOLJ,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
