sequence,v115@/gA8BeA8DeF8DeE8EeH8AeA8JeT6IvhF0bBxcB6jBm?iBXnBFtB,v115@/gA8BeA8DeF8DeE8EeH8AeA8JeT6IvhF0bBmcB5jBf?oBVsBatB,v115@/gA8BeA8DeF8DeE8EeH8AeA8JeT6IvhF0bBxcBXnBO?tB6tBlsB,v115@/gA8BeA8DeF8DeE8EeH8AeA8JeT6IvhF0bBxcBenBF?jB6oBftB
TZSOLIJ,O,O,X,X
TZSOLJI,O,O,X,X
TZSOJIL,O,O,O,O
TZSOJLI,O,O,O,O
TZOILJS,O,O,X,X
TZOILSJ,O,O,X,X
TZOIJLS,O,O,X,X
TZOIJSL,O,O,X,O
TZOISLJ,O,O,X,X
TZOISJL,O,O,O,X
TZOLIJS,O,O,X,X
TZOLISJ,O,O,X,X
TZOLJIS,O,O,X,X
TZOLJSI,O,O,X,X
TZOLSIJ,O,O,X,X
TZOLSJI,O,O,X,X
TZOJILS,O,O,X,X
TZOJISL,O,O,X,O
TZOJLIS,O,O,X,X
TZOJLSI,O,O,X,X
TZOJSIL,O,O,O,O
TZOJSLI,O,O,O,O
TZOSILJ,O,O,X,X
TZOSIJL,O,O,O,X
TZOSLIJ,O,O,X,X
TZOSLJI,O,O,X,X
TZOSJIL,O,O,O,O
TZOSJLI,O,O,O,O
TOILJSZ,O,O,X,X
TOILJZS,O,O,X,X
TOILSJZ,X,O,X,X
TOILSZJ,O,O,X,X
TOILZJS,O,O,X,X
TOILZSJ,O,O,X,X
TOIJLSZ,O,O,X,X
TOIJLZS,O,O,X,X
TOIJSLZ,O,O,X,O
TOIJSZL,O,O,X,O
TOIJZLS,O,O,X,X
TOIJZSL,O,O,X,O
TOISLJZ,O,O,X,X
TOISLZJ,O,O,X,X
TOISJLZ,O,O,O,X
TOISJZL,O,O,O,X
TOISZLJ,O,O,X,X
TOISZJL,O,O,O,X
TOIZLJS,O,O,X,X
TOIZLSJ,O,O,X,X
TOIZJLS,O,O,X,X
TOIZJSL,O,O,X,O
TOIZSLJ,O,O,X,X
TOIZSJL,O,O,O,X
TOLIJSZ,O,O,X,X
TOLIJZS,O,O,X,X
TOLISJZ,X,O,X,X
TOLISZJ,O,O,X,X
TOLIZJS,O,O,X,X
TOLIZSJ,O,O,X,X
TOLJISZ,O,O,X,X
TOLJIZS,O,O,X,X
TOLJSIZ,O,O,X,X
TOLJSZI,O,O,X,X
TOLJZIS,O,O,X,X
TOLJZSI,O,O,X,X
TOLSIJZ,X,O,X,X
TOLSIZJ,O,O,X,X
TOLSJIZ,O,O,X,X
TOLSJZI,O,O,X,X
TOLSZIJ,O,O,X,X
TOLSZJI,O,O,X,X
TOLZIJS,O,O,X,X
TOLZISJ,O,O,X,X
TOLZJIS,O,O,X,X
TOLZJSI,O,O,X,X
TOLZSIJ,O,O,X,X
TOLZSJI,O,O,X,X
TOJILSZ,O,O,X,X
TOJILZS,O,O,X,X
TOJISLZ,O,O,X,O
TOJISZL,O,O,X,O
TOJIZLS,O,O,X,X
TOJIZSL,O,O,X,O
TOJLISZ,O,O,X,X
TOJLIZS,O,O,X,X
TOJLSIZ,O,O,X,X
TOJLSZI,O,O,X,X
TOJLZIS,O,O,X,X
TOJLZSI,O,O,X,X
TOJSILZ,O,O,O,O
TOJSIZL,O,O,O,O
TOJSLIZ,O,O,O,O
TOJSLZI,O,O,O,O
TOJSZIL,O,O,O,O
TOJSZLI,O,O,O,O
TOJZILS,O,O,X,X
TOJZISL,O,O,X,O
TOJZLIS,O,O,X,X
TOJZLSI,O,O,X,X
TOJZSIL,O,O,O,O
TOJZSLI,O,O,O,O
TOSILJZ,O,O,X,X
TOSILZJ,O,O,X,X
TOSIJLZ,O,O,O,X
TOSIJZL,O,O,O,X
TOSIZLJ,O,O,X,X
TOSIZJL,O,O,O,X
TOSLIJZ,O,O,X,X
TOSLIZJ,O,O,X,X
TOSLJIZ,O,O,X,X
TOSLJZI,O,O,X,X
TOSLZIJ,O,O,X,X
TOSLZJI,O,O,X,X
TOSJILZ,O,O,O,O
TOSJIZL,O,O,O,O
TOSJLIZ,O,O,O,O
TOSJLZI,O,O,O,O
TOSJZIL,O,O,O,O
TOSJZLI,O,O,O,O
TOSZILJ,O,O,X,X
TOSZIJL,O,O,O,X
TOSZLIJ,O,O,X,X
TOSZLJI,O,O,X,X
TOSZJIL,O,O,O,O
TOSZJLI,O,O,O,O
TOZILJS,O,O,X,X
TOZILSJ,O,O,X,X
TOZIJLS,O,O,X,X
TOZIJSL,O,O,X,O
TOZISLJ,O,O,X,X
TOZISJL,O,O,O,X
TOZLIJS,O,O,X,X
TOZLISJ,O,O,X,X
TOZLJIS,O,O,X,X
TOZLJSI,O,O,X,X
TOZLSIJ,O,O,X,X
TOZLSJI,O,O,X,X
TOZJILS,O,O,X,X
TOZJISL,O,O,X,O
TOZJLIS,O,O,X,X
TOZJLSI,O,O,X,X
TOZJSIL,O,O,O,O
TOZJSLI,O,O,O,O
TOZSILJ,O,O,X,X
TOZSIJL,O,O,O,X
TOZSLIJ,O,O,X,X
TOZSLJI,O,O,X,X
TOZSJIL,O,O,O,O
TOZSJLI,O,O,O,O
ITLJSZO,O,O,X,X
ITLJSOZ,O,O,X,X
ITLJZSO,O,O,X,X
ITLJZOS,O,O,X,X
ITLJOSZ,O,O,X,X
ITLJOZS,O,O,X,X
ITLSJZO,X,O,X,X
ITLSJOZ,X,O,X,X
ITLSZJO,X,O,X,X
ITLSZOJ,O,O,X,X
ITLSOJZ,X,O,X,X
ITLSOZJ,O,O,X,X
ITLZJSO,O,O,X,X
ITLZJOS,O,O,X,X
ITLZSJO,X,O,X,X
ITLZSOJ,O,O,X,X
ITLZOJS,O,O,X,X
ITLZOSJ,O,O,X,X
ITLOJSZ,O,O,X,X
ITLOJZS,O,O,X,X
ITLOSJZ,X,O,X,X
ITLOSZJ,O,O,X,X
ITLOZJS,O,O,X,X
ITLOZSJ,O,O,X,X
ITJLSZO,O,O,X,X
ITJLSOZ,O,O,X,X
ITJLZSO,O,O,X,X
ITJLZOS,O,O,X,X
ITJLOSZ,O,O,X,X
ITJLOZS,O,O,X,X
ITJSLZO,O,O,X,O
ITJSLOZ,O,O,X,O
ITJSZLO,O,O,X,O
ITJSZOL,O,O,X,O
ITJSOLZ,O,O,X,O
ITJSOZL,O,O,X,O
ITJZLSO,O,O,X,X
ITJZLOS,O,O,X,X
ITJZSLO,O,O,X,O
ITJZSOL,O,O,X,O
ITJZOLS,O,O,X,X
ITJZOSL,O,O,X,O
ITJOLSZ,O,O,X,X
ITJOLZS,O,O,X,X
ITJOSLZ,O,O,X,O
ITJOSZL,O,O,X,O
ITJOZLS,O,O,X,X
ITJOZSL,O,O,X,O
ITSLJZO,O,O,X,X
ITSLJOZ,O,O,X,X
ITSLZJO,O,O,X,X
ITSLZOJ,O,O,X,X
ITSLOJZ,O,O,X,X
ITSLOZJ,O,O,X,X
ITSJLZO,O,O,O,X
ITSJLOZ,O,O,O,X
ITSJZLO,O,O,O,X
ITSJZOL,O,O,O,X
ITSJOLZ,O,O,O,X
ITSJOZL,O,O,O,X
ITSZLJO,O,O,X,X
ITSZLOJ,O,O,X,X
ITSZJLO,O,O,O,X
ITSZJOL,O,O,O,X
ITSZOLJ,O,O,X,X
ITSZOJL,O,O,O,X
ITSOLJZ,O,O,X,X
