sequence,v115@9gC8GeD8CeA8BeC8CeG8CeD8Jex6IvhFXcBdiBGeBU?jB6rBzqB,v115@9gC8GeD8CeA8BeC8CeG8CeD8Jex6IvhFXcBdiBCeBT?jB8qB+rB,v115@9gC8GeD8CeA8BeC8CeG8CeD8Jex6IvhFdiBzdB+jBU?hBXmBSwB,v115@9gC8GeD8CeA8BeC8CeG8CeD8Jex6IvhFdhBzcBGeBU?jBCrB3rB,v115@9gC8GeD8CeA8BeC8CeG8CeD8Jex6IvhFdhBfjB6jB8?mBzqBurB,v115@9gC8GeD8CeA8BeC8CeG8CeD8Jex6IvhFXcBdiBGeBU?jBCrBTrB,v115@9gC8GeD8CeA8BeC8CeG8CeD8Jex6IvhFdhBzcBSjBU?jB3mBWwB,v115@9gC8GeD8CeA8BeC8CeG8CeD8Jex6IvhFdhBGeBzhBU?jBCrB3rB,v115@9gC8GeD8CeA8BeC8CeG8CeD8Jex6IvhFzcBfjB6jB8?qBurBdrB,v115@9gC8GeD8CeA8BeC8CeG8CeD8Jex6IvhFXcBdiBSjBU?jBTmBWwB,v115@9gC8GeD8CeA8BeC8CeG8CeD8Jex6IvhFdiBfjB6jBU?hBTmBWwB
IZOJLTS,O,O,O,O,X,O,X,O,X,X,X
IZOJLST,O,O,X,O,X,O,X,X,X,X,X
IZOJSTL,O,O,O,X,O,X,X,X,X,X,X
IZOJSLT,O,O,X,X,O,X,X,X,O,X,X
IZOSTLJ,O,X,X,X,O,X,X,X,X,X,O
IZOSTJL,O,X,X,X,O,X,X,X,X,X,X
IZOSLTJ,O,X,X,X,O,X,X,X,X,X,O
IZOSLJT,O,O,X,X,O,X,X,X,O,X,X
IZOSJTL,O,O,X,X,O,X,X,X,X,X,X
IZOSJLT,O,O,X,X,O,X,X,X,O,X,X
IOTLJSZ,O,X,X,X,X,X,O,X,X,X,X
IOTLJZS,O,X,X,X,X,X,X,X,X,X,X
IOTLSJZ,O,X,X,X,O,X,O,X,X,X,X
IOTLSZJ,O,X,X,X,O,X,O,X,X,O,X
IOTLZJS,O,O,X,X,X,X,X,O,X,X,X
IOTLZSJ,O,X,X,X,O,X,X,X,X,X,X
IOTJLSZ,X,X,X,X,X,X,O,X,X,X,X
IOTJLZS,X,X,O,X,X,X,X,X,X,X,X
IOTJSLZ,X,X,X,X,O,X,X,X,X,X,X
IOTJSZL,O,X,O,X,O,X,X,X,X,X,X
IOTJZLS,O,X,O,X,X,X,X,O,X,X,X
IOTJZSL,O,X,O,X,O,X,X,O,X,X,X
IOTSLJZ,X,X,X,X,O,X,X,X,X,X,X
IOTSLZJ,O,X,X,X,O,X,X,X,X,O,O
IOTSJLZ,X,X,X,X,O,X,X,X,X,X,X
IOTSJZL,O,X,X,X,O,X,X,X,X,X,X
IOTSZLJ,O,X,X,X,O,X,X,X,X,X,O
IOTSZJL,O,X,X,X,O,O,X,O,X,X,X
IOTZLJS,O,O,X,X,X,X,X,O,X,X,X
IOTZLSJ,O,X,X,X,O,X,X,X,X,X,X
IOTZJLS,O,O,O,X,X,X,X,O,X,X,X
IOTZJSL,O,O,O,X,O,O,X,O,X,X,X
IOTZSLJ,O,X,X,X,O,X,X,X,X,X,O
IOTZSJL,O,X,X,X,O,O,X,O,X,X,X
IOLTJSZ,O,X,O,X,X,O,O,X,X,X,X
IOLTJZS,O,X,O,X,X,O,X,O,X,X,X
IOLTSJZ,O,X,X,X,O,O,O,X,X,X,X
IOLTSZJ,O,X,X,X,O,O,O,O,X,O,X
IOLTZJS,O,O,O,O,X,O,X,O,X,X,X
IOLTZSJ,O,X,X,O,O,O,X,O,X,X,X
IOLJTSZ,O,X,O,X,X,O,O,X,X,O,X
IOLJTZS,O,O,O,X,X,O,X,X,X,O,X
IOLJSTZ,O,X,O,X,X,O,O,X,X,O,X
IOLJSZT,X,X,O,X,X,X,X,X,X,X,X
IOLJZTS,O,O,O,X,X,O,X,X,X,O,X
IOLJZST,O,O,O,X,X,O,X,X,X,X,X
IOLSTJZ,O,X,X,O,O,O,O,X,X,X,X
IOLSTZJ,O,X,X,O,O,O,O,X,X,X,X
IOLSJTZ,O,X,X,X,O,O,X,X,X,X,X
IOLSJZT,X,X,X,X,O,X,X,X,X,X,X
IOLSZTJ,O,X,X,O,O,O,X,X,X,X,X
IOLSZJT,O,O,X,O,O,O,X,X,X,X,X
IOLZTJS,O,O,O,O,X,O,X,O,X,X,X
IOLZTSJ,O,X,X,O,O,O,X,O,X,X,X
IOLZJTS,O,O,O,O,X,O,X,O,X,X,X
IOLZJST,O,O,O,O,X,O,X,X,X,X,X
IOLZSTJ,O,X,X,O,O,O,X,X,X,X,X
IOLZSJT,O,O,X,O,O,O,X,X,X,X,X
IOJTLSZ,X,X,O,X,X,X,O,X,X,O,X
IOJTLZS,X,O,O,X,X,X,X,X,X,O,X
IOJTSLZ,X,X,X,X,O,X,X,X,X,O,O
IOJTSZL,O,X,O,X,O,X,X,X,X,O,O
IOJTZLS,O,O,O,X,X,X,X,X,X,O,X
IOJTZSL,O,O,O,X,O,X,X,X,X,O,O
IOJLTSZ,O,X,O,X,X,X,O,X,X,O,X
IOJLTZS,O,O,O,X,X,X,X,X,X,O,X
IOJLSTZ,O,X,O,X,X,X,O,X,X,O,X
IOJLSZT,X,X,O,X,X,X,X,X,X,X,X
IOJLZTS,O,O,O,X,X,X,X,X,X,O,X
IOJLZST,O,O,O,X,X,X,X,X,X,X,X
IOJSTLZ,X,X,X,X,O,X,O,X,X,O,O
IOJSTZL,O,X,O,X,O,X,O,X,X,O,O
IOJSLTZ,X,X,O,X,O,X,O,X,X,O,O
IOJSLZT,X,X,O,X,O,X,X,X,X,X,O
IOJSZTL,X,X,O,X,O,X,X,X,X,O,O
IOJSZLT,X,X,X,X,O,X,X,X,X,X,O
IOJZTLS,O,O,O,X,X,X,X,X,X,O,X
IOJZTSL,O,O,O,X,O,X,X,X,X,O,O
IOJZLTS,O,O,O,X,X,X,X,X,X,O,X
IOJZLST,O,O,O,X,X,X,X,X,X,X,X
IOJZSTL,O,O,O,X,O,X,X,X,X,O,O
IOJZSLT,O,O,X,X,O,X,X,X,X,X,O
IOSTLJZ,X,X,X,X,O,X,O,X,X,X,X
IOSTLZJ,O,X,X,X,O,X,O,X,X,O,O
IOSTJLZ,X,X,X,X,O,X,O,X,X,X,X
IOSTJZL,O,X,X,X,O,X,X,X,X,X,X
IOSTZLJ,O,X,X,X,O,X,O,X,X,X,O
IOSTZJL,O,X,X,X,O,O,X,X,X,X,X
IOSLTJZ,O,X,X,X,O,X,O,X,X,X,X
IOSLTZJ,O,X,X,X,O,X,O,X,X,X,O
IOSLJTZ,O,X,X,X,O,X,X,X,X,X,O
IOSLJZT,X,X,X,X,O,X,X,X,X,X,O
IOSLZTJ,O,X,X,X,O,X,X,X,X,X,O
IOSLZJT,O,O,X,X,O,X,X,X,O,X,X
IOSJTLZ,X,X,X,X,O,X,X,X,X,X,O
IOSJTZL,O,X,X,X,O,X,X,X,X,X,O
IOSJLTZ,X,X,X,X,O,X,X,X,X,X,O
IOSJLZT,X,X,X,X,O,X,X,X,X,X,O
IOSJZTL,X,X,X,X,O,X,X,X,X,X,O
IOSJZLT,X,X,X,X,O,X,X,X,X,X,O
IOSZTLJ,O,X,X,X,O,X,X,X,X,X,O
IOSZTJL,O,X,X,X,O,X,X,X,X,X,X
IOSZLTJ,O,X,X,X,O,X,X,X,X,X,O
IOSZLJT,O,O,X,X,O,X,X,X,O,X,X
IOSZJTL,O,O,X,X,O,X,X,X,X,X,X
IOSZJLT,O,O,X,X,O,X,X,X,O,X,X
IOZTLJS,O,O,X,X,X,X,X,O,X,X,X
IOZTLSJ,O,X,X,X,O,X,X,X,X,X,X
IOZTJLS,O,O,O,X,X,X,X,O,X,X,X
IOZTJSL,O,O,O,X,O,O,X,O,X,X,X
IOZTSLJ,O,X,X,X,O,X,X,X,X,X,O
IOZTSJL,O,X,X,X,O,O,X,O,X,X,X
IOZLTJS,O,O,X,O,X,O,X,O,X,X,X
IOZLTSJ,O,X,X,O,O,O,X,O,X,X,X
IOZLJTS,O,O,X,O,X,O,X,O,X,X,X
IOZLJST,O,O,X,O,X,O,X,X,X,X,X
IOZLSTJ,O,X,X,O,O,O,X,X,X,X,X
IOZLSJT,O,O,X,O,O,O,X,X,X,X,X
IOZJTLS,O,O,O,X,X,X,X,O,X,X,X
IOZJTSL,O,O,O,X,O,O,X,O,X,X,X
IOZJLTS,O,O,O,O,X,O,X,O,X,X,X
IOZJLST,O,O,X,O,X,O,X,X,X,X,X
IOZJSTL,O,O,O,X,O,X,X,X,X,X,X
IOZJSLT,O,O,X,X,O,X,X,X,O,X,X
IOZSTLJ,O,X,X,X,O,X,X,X,X,X,O
IOZSTJL,O,X,X,X,O,X,X,X,X,X,X
IOZSLTJ,O,X,X,X,O,X,X,X,X,X,O
IOZSLJT,O,O,X,X,O,X,X,X,O,X,X
IOZSJTL,O,O,X,X,O,X,X,X,X,X,X
IOZSJLT,O,O,X,X,O,X,X,X,O,X,X
LTIJSZO,O,X,O,X,X,O,O,X,X,O,X
LTIJSOZ,X,X,O,X,X,X,O,X,X,O,X
LTIJZSO,O,X,O,O,X,O,O,O,X,O,X
LTIJZOS,O,X,O,O,X,O,X,O,X,X,X
LTIJOSZ,X,X,O,X,X,X,O,X,X,O,X
LTIJOZS,X,X,O,X,X,X,X,O,X,O,X
LTISJZO,O,X,O,O,X,O,O,X,X,O,O
LTISJOZ,X,X,O,O,X,X,O,X,X,X,X
LTISZJO,O,X,O,O,X,O,X,O,X,O,O
LTISZOJ,O,X,X,O,X,O,O,O,X,O,O
LTISOJZ,X,X,X,O,X,X,O,X,X,X,X
LTISOZJ,O,X,X,O,X,O,O,O,X,O,O
LTIZJSO,O,O,O,O,X,O,O,O,X,X,X
LTIZJOS,O,O,O,O,X,O,X,O,X,X,X
LTIZSJO,O,X,O,O,X,O,X,O,X,O,O
LTIZSOJ,O,X,X,O,X,O,O,O,X,O,O
LTIZOJS,O,X,O,O,X,O,X,O,X,X,X
LTIZOSJ,O,X,X,O,X,O,X,O,X,X,X
LTIOJSZ,X,X,O,X,X,O,O,X,X,X,X
LTIOJZS,X,X,O,X,X,O,X,O,X,X,X
LTIOSJZ,X,X,X,X,X,O,O,X,X,X,X
LTIOSZJ,O,X,X,X,X,O,O,O,X,O,X
LTIOZJS,O,X,O,O,X,O,X,O,X,X,X
LTIOZSJ,O,X,X,O,X,O,X,O,X,X,X
LTJISZO,O,X,O,X,X,O,O,X,X,O,X
LTJISOZ,X,X,O,X,X,X,O,X,X,O,X
LTJIZSO,O,O,O,O,X,O,O,O,X,O,X
LTJIZOS,O,O,O,O,X,O,X,O,X,X,X
LTJIOSZ,X,X,O,X,X,X,O,X,X,O,X
LTJIOZS,X,X,O,X,X,X,X,O,X,O,X
LTJSIZO,O,X,O,X,X,O,O,X,X,O,X
LTJSIOZ,X,X,O,X,X,X,O,X,X,O,X
LTJSZIO,O,O,O,X,X,O,O,X,X,O,X
LTJSZOI,O,O,O,X,X,O,O,X,X,O,X
LTJSOIZ,X,X,O,X,X,X,O,X,X,O,X
LTJSOZI,X,X,O,X,X,X,O,X,X,O,X
LTJZISO,O,O,O,O,X,O,O,O,X,O,X
LTJZIOS,O,O,O,O,X,O,X,O,X,X,X
LTJZSIO,O,O,O,O,X,O,O,O,X,O,X
LTJZSOI,O,O,O,O,X,O,O,O,X,O,X
LTJZOIS,O,O,O,O,X,O,X,O,X,X,X
LTJZOSI,O,O,O,O,X,O,X,O,X,X,X
LTJOISZ,X,X,O,X,X,X,O,X,X,O,X
LTJOIZS,X,X,O,X,X,X,X,O,X,O,X
LTJOSIZ,X,X,O,X,X,X,O,X,X,O,X
LTJOSZI,X,X,O,X,X,X,O,X,X,O,X
LTJOZIS,X,O,O,X,X,X,X,O,X,O,X
LTJOZSI,X,O,O,X,X,X,X,O,X,O,X
LTSIJZO,O,X,O,O,X,O,O,X,X,O,O
LTSIJOZ,X,X,O,O,X,X,O,X,X,X,X
LTSIZJO,O,X,O,O,X,O,X,O,X,O,O
LTSIZOJ,O,X,X,O,X,O,O,O,X,O,O
LTSIOJZ,X,X,X,O,X,X,O,X,X,X,X
LTSIOZJ,O,X,X,O,X,O,O,O,X,O,O
LTSJIZO,O,X,O,O,X,O,O,X,X,O,O
LTSJIOZ,X,X,O,O,X,X,O,X,X,X,X
LTSJZIO,O,X,O,O,X,O,O,X,X,O,O
LTSJZOI,O,X,O,O,X,O,O,X,X,X,O
LTSJOIZ,X,X,O,O,X,X,O,X,X,X,X
LTSJOZI,X,X,O,O,X,X,O,X,X,X,X
LTSZIJO,O,X,O,O,X,O,X,O,X,O,O
LTSZIOJ,O,X,X,O,X,O,O,O,X,O,O
LTSZJIO,O,X,O,O,X,O,X,O,X,O,O
LTSZJOI,O,X,O,O,X,O,X,O,X,X,O
LTSZOIJ,O,X,X,O,X,O,O,O,X,O,O
LTSZOJI,O,X,X,O,X,O,O,O,X,X,O
LTSOIJZ,X,X,X,O,X,X,O,X,X,X,X
LTSOIZJ,O,X,X,O,X,O,O,O,X,O,O
LTSOJIZ,X,X,X,O,X,X,O,X,X,X,X
LTSOJZI,X,X,X,O,X,X,O,X,X,X,X
LTSOZIJ,O,X,X,O,X,O,O,O,X,O,O
LTSOZJI,O,X,X,O,X,O,O,O,X,X,O
LTZIJSO,O,O,O,O,X,O,O,O,X,X,X
LTZIJOS,O,O,O,O,X,O,X,O,X,X,X
LTZISJO,O,X,O,O,X,O,X,O,X,O,O
LTZISOJ,O,X,X,O,X,O,O,O,X,O,O
LTZIOJS,O,X,O,O,X,O,X,O,X,X,X
LTZIOSJ,O,X,X,O,X,O,X,O,X,X,X
LTZJISO,O,O,O,O,X,O,O,O,X,X,X
LTZJIOS,O,O,O,O,X,O,X,O,X,X,X
LTZJSIO,O,O,O,O,X,O,O,O,X,X,X
LTZJSOI,O,O,O,O,X,O,O,O,X,X,X
LTZJOIS,O,O,O,O,X,O,X,O,X,X,X
LTZJOSI,O,O,O,O,X,O,X,O,X,X,X
LTZSIJO,O,X,O,O,X,O,X,O,X,O,O
LTZSIOJ,O,X,X,O,X,O,O,O,X,O,O
LTZSJIO,O,X,O,O,X,O,X,O,X,O,O
LTZSJOI,O,X,O,O,X,O,X,O,X,X,O
LTZSOIJ,O,X,X,O,X,O,O,O,X,O,O
LTZSOJI,O,X,X,O,X,O,O,O,X,X,O
LTZOIJS,O,X,O,O,X,O,X,O,X,X,X
LTZOISJ,O,X,X,O,X,O,X,O,X,X,X
LTZOJIS,O,X,O,O,X,O,X,O,X,X,X
LTZOJSI,O,X,O,O,X,O,X,O,X,X,X
LTZOSIJ,O,X,X,O,X,O,X,O,X,X,X
LTZOSJI,O,X,X,O,X,O,X,O,X,X,X
LTOIJSZ,X,X,O,X,X,O,O,X,X,X,X
LTOIJZS,X,X,O,X,X,O,X,O,X,X,X
LTOISJZ,X,X,X,X,X,O,O,X,X,X,X
LTOISZJ,O,X,X,X,X,O,O,O,X,O,X
LTOIZJS,O,X,O,O,X,O,X,O,X,X,X
LTOIZSJ,O,X,X,O,X,O,X,O,X,X,X
LTOJISZ,X,X,O,X,X,O,O,X,X,X,X
LTOJIZS,X,X,O,X,X,O,X,O,X,X,X
LTOJSIZ,X,X,O,X,X,O,O,X,X,X,X
LTOJSZI,X,X,O,X,X,O,O,X,X,X,X
LTOJZIS,X,X,O,X,X,O,X,O,X,X,X
LTOJZSI,X,X,O,X,X,O,X,O,X,X,X
LTOSIJZ,X,X,X,X,X,O,O,X,X,X,X
LTOSIZJ,O,X,X,X,X,O,O,O,X,O,X
LTOSJIZ,X,X,X,X,X,O,O,X,X,X,X
LTOSJZI,X,X,X,X,X,O,O,X,X,X,X
LTOSZIJ,O,X,X,X,X,O,O,O,X,O,X
LTOSZJI,O,X,X,X,X,O,O,O,X,X,X
LTOZIJS,O,X,O,O,X,O,X,O,X,X,X
LTOZISJ,O,X,X,O,X,O,X,O,X,X,X
LTOZJIS,O,X,O,O,X,O,X,O,X,X,X
LTOZJSI,O,X,O,O,X,O,X,O,X,X,X
LTOZSIJ,O,X,X,O,X,O,X,O,X,X,X
LTOZSJI,O,X,X,O,X,O,X,O,X,X,X
LITJSZO,O,X,O,X,X,O,O,X,X,O,X
LITJSOZ,X,X,O,X,X,X,O,X,X,O,X
LITJZSO,O,X,O,O,X,O,O,O,X,O,X
LITJZOS,O,X,O,O,X,O,X,O,X,X,X
LITJOSZ,X,X,O,X,X,X,O,X,X,O,X
LITJOZS,X,X,O,X,X,X,X,O,X,O,X
LITSJZO,O,X,O,O,X,O,O,X,X,O,O
LITSJOZ,X,X,O,O,X,X,O,X,X,X,X
LITSZJO,O,X,O,O,X,O,X,O,X,O,O
LITSZOJ,O,X,X,O,X,O,O,O,X,O,O
LITSOJZ,X,X,X,O,X,X,O,X,X,X,X
LITSOZJ,O,X,X,O,X,O,O,O,X,O,O
LITZJSO,O,O,O,O,X,O,O,O,X,X,X
LITZJOS,O,O,O,O,X,O,X,O,X,X,X
LITZSJO,O,X,O,O,X,O,X,O,X,O,O
LITZSOJ,O,X,X,O,X,O,O,O,X,O,O
LITZOJS,O,X,O,O,X,O,X,O,X,X,X
LITZOSJ,O,X,X,O,X,O,X,O,X,X,X
LITOJSZ,X,X,O,X,X,O,O,X,X,X,X
LITOJZS,X,X,O,X,X,O,X,O,X,X,X
LITOSJZ,X,X,X,X,X,O,O,X,X,X,X
LITOSZJ,O,X,X,X,X,O,O,O,X,O,X
LITOZJS,O,X,O,O,X,O,X,O,X,X,X
LITOZSJ,O,X,X,O,X,O,X,O,X,X,X
LIJTSZO,O,X,O,X,X,O,O,X,X,O,O
LIJTSOZ,X,X,O,X,X,X,O,X,X,O,O
LIJTZSO,O,O,O,O,X,O,O,O,X,O,O
LIJTZOS,O,O,O,O,X,O,X,O,X,X,X
LIJTOSZ,X,X,O,X,X,X,O,X,X,O,X
LIJTOZS,X,X,O,X,X,X,X,O,X,O,X
LIJSTZO,O,X,O,O,X,O,O,X,X,O,O
LIJSTOZ,X,X,O,O,X,X,O,X,X,O,O
LIJSZTO,X,X,O,O,X,X,O,X,X,X,O
LIJSZOT,X,X,O,O,X,X,X,X,X,X,O
LIJSOTZ,X,X,O,X,X,X,O,X,X,O,O
LIJSOZT,X,X,O,X,X,X,X,X,X,X,O
LIJZTSO,O,O,O,O,X,O,O,O,X,O,O
LIJZTOS,O,O,O,O,X,O,X,O,X,X,X
LIJZSTO,O,O,O,O,X,O,O,O,X,X,O
LIJZSOT,X,X,O,O,X,O,X,X,X,X,O
LIJZOTS,O,O,O,O,X,O,X,O,X,O,X
LIJZOST,X,X,O,O,X,O,X,X,X,X,X
LIJOTSZ,X,X,O,X,X,O,O,X,X,O,X
LIJOTZS,X,X,O,X,X,O,X,X,X,O,X
LIJOSTZ,X,X,O,X,X,O,O,X,X,O,X
LIJOSZT,X,X,O,X,X,X,X,X,X,X,X
LIJOZTS,X,X,O,X,X,O,X,X,X,O,X
LIJOZST,X,X,O,X,X,O,X,X,X,X,X
LISTJZO,O,X,O,O,X,O,O,X,X,O,O
LISTJOZ,X,X,O,O,X,X,O,X,X,X,O
LISTZJO,O,X,O,O,X,O,X,O,O,O,O
LISTZOJ,O,X,X,O,X,O,O,O,X,O,O
LISTOJZ,X,X,X,O,O,X,O,X,X,X,X
LISTOZJ,O,X,X,O,O,O,O,O,X,O,O
LISJTZO,O,X,O,O,X,O,O,X,X,O,O
LISJTOZ,X,X,O,O,X,X,O,X,X,O,O
LISJZTO,X,X,O,O,X,X,O,X,O,X,O
LISJZOT,X,X,O,O,X,X,X,X,O,X,O
LISJOTZ,X,X,O,X,O,X,O,X,X,O,O
LISJOZT,X,X,O,X,O,X,X,X,X,X,O
LISZTJO,O,X,O,O,X,O,X,O,O,X,O
LISZTOJ,O,X,X,O,X,O,O,O,X,X,O
LISZJTO,O,O,O,O,X,O,X,O,O,X,O
LISZJOT,X,X,O,O,X,O,X,X,O,X,O
LISZOTJ,X,X,X,O,O,O,X,X,X,X,O
LISZOJT,X,X,X,O,O,O,X,X,O,X,X
LISOTJZ,X,X,X,O,O,O,O,X,X,X,X
LISOTZJ,O,X,X,O,O,O,O,X,X,X,O
LISOJTZ,X,X,X,X,O,O,X,X,X,X,O
LISOJZT,X,X,X,X,O,X,X,X,X,X,O
LISOZTJ,X,X,X,O,O,O,X,X,X,X,O
LISOZJT,X,X,X,O,O,O,X,X,O,X,X
LIZTJSO,O,O,O,O,X,O,O,O,X,X,X
LIZTJOS,O,O,O,O,X,O,X,O,X,X,X
LIZTSJO,O,X,O,O,X,O,X,O,X,O,O
LIZTSOJ,O,X,X,O,X,O,O,O,X,O,O
LIZTOJS,O,X,O,O,X,O,X,O,X,X,X
LIZTOSJ,O,X,X,O,X,O,X,O,X,X,X
LIZJTSO,O,O,O,O,X,O,O,O,X,O,X
LIZJTOS,O,O,O,O,X,O,X,O,X,X,X
LIZJSTO,O,O,O,O,X,O,O,O,O,X,X
LIZJSOT,X,O,O,O,X,O,X,X,O,X,X
LIZJOTS,O,O,O,O,X,O,X,O,X,O,X
LIZJOST,O,O,O,O,X,O,X,X,X,X,X
LIZSTJO,O,X,O,O,X,O,X,O,O,X,O
LIZSTOJ,O,X,X,O,X,O,O,O,X,X,O
LIZSJTO,O,O,O,O,X,O,X,O,O,X,O
LIZSJOT,X,X,O,O,X,O,X,X,O,X,X
LIZSOTJ,X,X,X,O,X,O,X,X,X,X,O
LIZSOJT,X,X,X,O,X,O,X,X,O,X,X
LIZOTJS,O,O,O,O,X,O,X,O,X,X,X
LIZOTSJ,O,X,X,O,X,O,X,O,X,X,X
LIZOJTS,O,O,O,O,X,O,X,O,X,X,X
LIZOJST,O,O,O,O,X,O,X,X,X,X,X
LIZOSTJ,O,X,X,O,X,O,X,X,X,X,X
LIZOSJT,O,O,X,O,X,O,X,X,X,X,X
LIOTJSZ,O,X,O,X,X,O,O,X,X,X,X
LIOTJZS,O,X,O,X,X,O,X,O,X,X,X
LIOTSJZ,O,X,X,X,O,O,O,X,X,X,X
LIOTSZJ,O,X,X,X,O,O,O,O,X,O,X
LIOTZJS,O,O,O,O,X,O,X,O,X,X,X
LIOTZSJ,O,X,X,O,O,O,X,O,X,X,X
LIOJTSZ,O,X,O,X,X,O,O,X,X,O,X
LIOJTZS,O,X,O,X,X,O,X,X,X,O,X
LIOJSTZ,O,X,O,X,X,O,O,X,X,O,X
LIOJSZT,X,X,O,X,X,X,X,X,X,X,X
LIOJZTS,O,O,O,X,X,O,X,X,X,O,X
LIOJZST,O,O,O,X,X,O,X,X,X,X,X
LIOSTJZ,O,X,X,O,O,O,O,X,X,X,X
LIOSTZJ,O,X,X,O,O,O,O,X,X,X,X
LIOSJTZ,O,X,X,X,O,O,X,X,X,X,X
LIOSJZT,X,X,X,X,O,X,X,X,X,X,X
LIOSZTJ,O,X,X,O,O,O,X,X,X,X,X
LIOSZJT,O,O,X,O,O,O,X,X,X,X,X
LIOZTJS,O,O,O,O,X,O,X,O,X,X,X
LIOZTSJ,O,X,X,O,O,O,X,O,X,X,X
LIOZJTS,O,O,O,O,X,O,X,O,X,X,X
LIOZJST,O,O,O,O,X,O,X,X,X,X,X
LIOZSTJ,O,X,X,O,O,O,X,X,X,X,X
LIOZSJT,O,O,X,O,O,O,X,X,X,X,X
LJTISZO,O,X,O,X,X,O,O,X,X,O,O
LJTISOZ,X,X,O,X,X,X,O,X,X,O,O
LJTIZSO,O,O,O,O,X,O,O,O,X,O,O
LJTIZOS,O,O,O,O,X,O,X,O,X,X,X
LJTIOSZ,X,X,O,X,X,X,O,X,X,O,X
LJTIOZS,X,X,O,X,X,X,X,O,X,O,X
LJTSIZO,O,X,O,X,X,O,O,X,X,O,O
LJTSIOZ,X,X,O,X,X,X,O,X,X,O,O
LJTSZIO,O,O,O,X,X,O,O,X,X,O,O
LJTSZOI,O,O,O,X,X,O,O,X,X,O,O
LJTSOIZ,X,X,O,X,X,X,O,X,X,O,O
LJTSOZI,X,X,O,X,X,X,O,X,X,O,O
LJTZISO,O,O,O,O,X,O,O,O,X,O,O
LJTZIOS,O,O,O,O,X,O,X,O,X,X,X
LJTZSIO,O,O,O,O,X,O,O,O,X,O,O
LJTZSOI,O,O,O,O,X,O,O,O,X,O,O
LJTZOIS,O,O,O,O,X,O,X,O,X,X,X
LJTZOSI,O,O,O,O,X,O,X,O,X,X,X
LJTOISZ,X,X,O,X,X,X,O,X,X,O,X
LJTOIZS,X,O,O,X,X,X,X,O,X,O,X
LJTOSIZ,X,X,O,X,X,X,O,X,X,O,X
LJTOSZI,X,O,O,X,X,X,O,X,X,O,X
LJTOZIS,X,O,O,X,X,X,X,O,X,O,X
LJTOZSI,X,O,O,X,X,X,X,O,X,O,X
LJITSZO,O,X,O,X,X,O,O,X,X,O,O
LJITSOZ,X,X,O,X,X,X,O,X,X,O,O
LJITZSO,O,O,O,O,X,O,O,O,X,O,O
LJITZOS,O,O,O,O,X,O,X,O,X,X,X
LJITOSZ,X,X,O,X,X,X,O,X,X,O,X
LJITOZS,X,X,O,X,X,X,X,O,X,O,X
LJISTZO,O,X,O,O,X,O,O,X,X,O,O
LJISTOZ,X,X,O,O,X,X,O,X,X,O,O
LJISZTO,X,X,O,O,X,X,O,X,X,X,O
LJISZOT,X,X,O,O,X,X,X,X,X,X,O
LJISOTZ,X,X,O,X,X,X,O,X,X,O,O
LJISOZT,X,X,O,X,X,X,X,X,X,X,O
LJIZTSO,O,O,O,O,X,O,O,O,X,O,O
LJIZTOS,O,O,O,O,X,O,X,O,X,X,X
LJIZSTO,O,O,O,O,X,O,O,O,X,X,O
LJIZSOT,X,X,O,O,X,O,X,X,X,X,O
LJIZOTS,O,O,O,O,X,O,X,O,X,O,X
LJIZOST,X,X,O,O,X,O,X,X,X,X,X
LJIOTSZ,X,X,O,X,X,O,O,X,X,O,X
LJIOTZS,X,X,O,X,X,O,X,X,X,O,X
LJIOSTZ,X,X,O,X,X,O,O,X,X,O,X
LJIOSZT,X,X,O,X,X,X,X,X,X,X,X
LJIOZTS,X,X,O,X,X,O,X,X,X,O,X
LJIOZST,X,X,O,X,X,O,X,X,X,X,X
LJSTIZO,O,X,O,O,X,O,O,X,X,O,O
LJSTIOZ,X,X,O,O,X,X,O,X,X,O,O
LJSTZIO,O,O,O,O,X,O,O,X,O,O,O
LJSTZOI,O,O,O,O,X,O,O,X,O,O,O
LJSTOIZ,X,X,O,O,X,X,O,X,X,O,O
LJSTOZI,X,X,O,O,X,X,O,X,O,O,O
LJSITZO,O,X,O,O,X,O,O,X,X,O,O
LJSITOZ,X,X,O,O,X,X,O,X,X,O,O
LJSIZTO,X,X,O,O,X,X,O,X,O,X,O
LJSIZOT,X,X,O,O,X,X,X,X,O,X,O
LJSIOTZ,X,X,O,X,X,X,O,X,X,O,O
LJSIOZT,X,X,O,X,X,X,X,X,O,X,O
LJSZTIO,X,O,O,O,X,X,O,X,O,X,O
LJSZTOI,X,O,O,O,X,X,O,X,O,X,O
LJSZITO,X,O,O,O,X,X,O,X,O,X,O
LJSZIOT,X,X,O,O,X,X,X,X,O,X,O
LJSZOTI,X,X,O,O,X,X,O,X,O,X,O
LJSZOIT,X,X,O,O,X,X,X,X,O,X,O
LJSOTIZ,X,X,O,O,X,X,O,X,X,O,O
LJSOTZI,X,X,O,O,X,X,O,X,O,O,O
LJSOITZ,X,X,O,X,X,X,O,X,X,O,O
LJSOIZT,X,X,O,X,X,X,X,X,O,X,O
LJSOZTI,X,X,O,O,X,X,O,X,O,X,O
LJSOZIT,X,X,O,O,X,X,X,X,O,X,O
LJZTISO,O,O,O,O,X,O,O,O,X,O,O
LJZTIOS,O,O,O,O,X,O,X,O,X,X,X
