sequence,v115@zgB8HeC8GeB8FeD8FeH8AeC8Jex7IvhF6iBTeBclBm?hBXmBFsB,v115@zgB8HeC8GeB8FeD8FeH8AeC8Jex7IvhF8hBGeBamB3?iBTlBFsB,v115@zgB8HeC8GeB8FeD8FeH8AeC8Je07IvhFxdBzhBCjBX?hB2qBFsB,v115@zgB8HeC8GeB8FeD8FeH8AeC8Je38IvhF5iBTeBclBy?mBllBmrB,v115@zgB8HeC8GeB8FeD8FeH8AeC8Jex7IvhFTeBclBXmBO?sB6sBlrB,v115@zgB8HeC8GeB8FeD8FeH8AeC8JeVBJvhFaiB5iBTeB0?gB2qBfsB,v115@zgB8HeC8GeB8FeD8FeH8AeC8JefCJvhFxdBUhBCjBT?lBmlBFsB,v115@zgB8HeC8GeB8FeD8FeH8AeC8Je3AJvhFcmBxiBmhBC?jBTlBFsB
LIOJSTZ,X,X,X,O,X,O,X,X
LIOJSZT,X,X,X,O,X,O,X,X
LIOJZTS,X,X,X,O,X,X,X,X
LIOJZST,X,X,X,O,X,X,X,X
LIOSTJZ,X,X,X,X,X,O,X,X
LIOSTZJ,X,O,X,X,X,O,X,X
LIOSJTZ,X,X,X,X,X,O,X,X
LIOSJZT,X,X,X,X,X,O,X,X
LIOSZTJ,X,X,X,X,X,O,X,X
LIOSZJT,X,X,X,X,X,O,X,X
LIOZTJS,O,O,X,X,X,X,X,X
LIOZTSJ,O,O,X,X,X,X,X,X
LIOZJTS,X,X,X,O,X,X,X,X
LIOZJST,X,X,X,O,X,X,X,X
LIOZSTJ,O,X,X,X,X,X,O,X
LIOZSJT,O,X,X,X,O,X,O,X
LJTISZO,X,O,X,O,X,X,O,X
LJTISOZ,X,X,O,O,X,X,X,X
LJTIZSO,X,O,X,O,X,X,X,X
LJTIZOS,X,O,O,O,X,X,X,X
LJTIOSZ,X,X,O,O,X,X,X,X
LJTIOZS,X,X,O,O,X,X,X,X
LJTSIZO,X,O,X,O,X,X,O,X
LJTSIOZ,X,X,O,O,X,X,X,X
LJTSZIO,X,O,X,O,X,X,O,X
LJTSZOI,X,O,O,O,X,X,O,X
LJTSOIZ,X,O,O,O,X,X,X,X
LJTSOZI,X,O,O,O,X,X,X,X
LJTZISO,X,O,X,O,X,X,X,X
LJTZIOS,X,O,O,O,X,X,X,X
LJTZSIO,X,O,X,O,X,X,O,X
LJTZSOI,X,O,O,O,X,X,O,X
LJTZOIS,X,O,O,O,X,X,X,X
LJTZOSI,X,O,O,O,X,X,X,X
LJTOISZ,X,O,O,O,X,X,X,X
LJTOIZS,X,O,O,O,X,X,X,X
LJTOSIZ,X,O,O,O,X,X,X,X
LJTOSZI,X,O,O,O,X,X,X,X
LJTOZIS,X,O,O,O,X,X,X,X
LJTOZSI,X,O,O,O,X,X,O,X
LJITSZO,X,O,X,O,X,X,O,X
LJITSOZ,X,X,O,O,X,X,X,X
LJITZSO,X,O,X,O,X,X,X,X
LJITZOS,X,O,O,O,X,X,X,X
LJITOSZ,X,X,O,O,X,X,X,X
LJITOZS,X,X,O,O,X,X,X,X
LJISTZO,X,X,X,O,X,O,X,X
LJISTOZ,X,X,O,O,X,O,X,X
LJISZTO,X,O,X,O,X,O,X,X
LJISZOT,X,O,X,O,X,O,X,X
LJISOTZ,X,X,X,O,X,O,X,X
LJISOZT,X,X,X,O,X,O,X,X
LJIZTSO,X,X,X,O,X,X,X,X
LJIZTOS,X,X,O,O,X,X,X,X
LJIZSTO,X,X,X,O,X,X,X,X
LJIZSOT,X,X,X,O,X,X,X,X
LJIZOTS,X,X,X,O,X,X,X,X
LJIZOST,X,X,X,O,X,X,X,X
LJIOTSZ,X,X,O,O,X,X,X,X
LJIOTZS,X,X,O,O,X,X,X,X
LJIOSTZ,X,X,X,O,X,O,X,X
LJIOSZT,X,X,X,O,X,O,X,X
LJIOZTS,X,X,X,O,X,X,X,X
LJIOZST,X,X,X,O,X,X,X,X
LJSTIZO,X,O,X,O,X,O,X,X
LJSTIOZ,X,X,O,O,X,O,X,X
LJSTZIO,X,O,X,O,X,O,X,X
LJSTZOI,X,O,O,O,X,O,X,X
LJSTOIZ,X,X,O,O,X,O,X,X
LJSTOZI,X,O,O,O,X,O,X,X
LJSITZO,X,X,X,O,X,O,X,X
LJSITOZ,X,X,O,O,X,O,X,X
LJSIZTO,X,O,X,O,X,O,X,X
LJSIZOT,X,O,X,O,X,O,X,X
LJSIOTZ,X,X,X,O,X,O,X,X
LJSIOZT,X,X,X,O,X,O,X,X
LJSZTIO,X,O,X,O,O,O,X,X
LJSZTOI,X,O,O,O,O,O,X,X
LJSZITO,X,O,X,O,O,O,X,X
LJSZIOT,X,O,X,O,O,O,X,X
LJSZOTI,X,O,X,O,O,O,X,X
LJSZOIT,X,O,X,O,O,O,X,X
LJSOTIZ,X,O,X,O,X,O,X,X
LJSOTZI,X,O,X,O,X,O,X,X
LJSOITZ,X,X,X,O,X,O,X,X
LJSOIZT,X,O,X,O,X,O,X,X
LJSOZTI,X,O,X,O,O,O,X,X
LJSOZIT,X,O,X,O,O,O,X,X
LJZTISO,X,O,X,O,X,X,X,X
LJZTIOS,X,O,O,O,X,X,X,X
LJZTSIO,X,O,X,O,X,X,X,X
LJZTSOI,X,O,O,O,X,X,X,X
LJZTOIS,X,O,O,O,X,X,X,X
LJZTOSI,X,X,O,O,X,X,X,X
LJZITSO,X,X,X,O,X,X,X,X
LJZITOS,X,X,O,O,X,X,X,X
LJZISTO,X,X,X,O,X,X,X,X
LJZISOT,X,X,X,O,X,X,X,X
LJZIOTS,X,X,X,O,X,X,X,X
LJZIOST,X,X,X,O,X,X,X,X
LJZSTIO,X,O,X,O,O,X,X,X
LJZSTOI,X,O,O,O,O,X,X,X
LJZSITO,X,O,X,O,O,X,X,X
LJZSIOT,X,O,X,O,O,X,X,X
LJZSOTI,X,O,X,O,O,X,X,X
LJZSOIT,X,O,X,O,O,X,X,X
LJZOTIS,X,X,O,O,X,X,X,X
LJZOTSI,X,X,O,O,X,X,X,X
LJZOITS,X,X,X,O,X,X,X,X
LJZOIST,X,X,X,O,X,X,X,X
LJZOSTI,X,X,X,O,O,X,X,X
LJZOSIT,X,X,X,O,O,X,X,X
LJOTISZ,X,O,O,O,X,X,X,X
LJOTIZS,X,O,O,O,X,X,X,X
LJOTSIZ,X,O,O,O,X,X,X,X
LJOTSZI,X,O,O,O,X,X,X,X
LJOTZIS,X,O,O,O,X,X,X,X
LJOTZSI,X,O,O,O,X,X,O,X
LJOITSZ,X,O,O,O,X,X,X,X
LJOITZS,X,O,O,O,X,X,X,X
LJOISTZ,X,X,X,O,X,O,X,X
LJOISZT,X,O,X,O,X,O,X,X
LJOIZTS,X,X,X,O,X,X,X,X
LJOIZST,X,X,X,O,X,X,X,X
LJOSTIZ,X,O,X,O,X,O,X,X
LJOSTZI,X,O,X,O,X,O,X,X
LJOSITZ,X,X,X,O,X,O,X,X
LJOSIZT,X,O,X,O,X,O,X,X
LJOSZTI,X,O,X,O,O,O,X,X
LJOSZIT,X,O,X,O,O,O,X,X
LJOZTIS,X,O,O,O,X,X,X,X
LJOZTSI,X,O,O,O,X,X,X,X
LJOZITS,X,X,X,O,X,X,X,X
LJOZIST,X,X,X,O,X,X,X,X
LJOZSTI,X,O,X,O,O,X,O,X
LJOZSIT,X,O,X,O,O,X,O,X
LSTIJZO,O,O,X,X,X,O,O,X
LSTIJOZ,O,X,O,X,X,O,X,X
LSTIZJO,O,O,X,X,X,X,O,X
LSTIZOJ,O,O,X,X,X,O,O,X
LSTIOJZ,O,X,O,X,X,O,X,X
LSTIOZJ,O,X,O,X,X,O,O,X
LSTJIZO,O,O,X,X,X,O,O,X
LSTJIOZ,O,X,O,X,X,O,X,X
LSTJZIO,O,O,X,X,X,O,O,X
LSTJZOI,O,O,O,X,X,O,O,X
LSTJOIZ,O,X,O,X,X,O,X,X
LSTJOZI,O,O,O,X,X,O,X,X
LSTZIJO,O,O,X,X,X,X,O,X
LSTZIOJ,O,O,X,X,X,O,O,X
LSTZJIO,O,O,X,X,X,X,O,X
LSTZJOI,O,O,X,X,X,X,O,X
LSTZOIJ,O,O,O,X,X,O,O,X
LSTZOJI,O,O,O,X,X,X,O,X
LSTOIJZ,O,X,O,X,X,O,X,X
LSTOIZJ,O,X,O,X,X,O,O,X
LSTOJIZ,O,X,O,X,X,O,X,X
LSTOJZI,O,O,O,X,X,O,X,X
LSTOZIJ,O,O,O,X,X,O,O,X
LSTOZJI,O,O,O,X,X,X,O,X
LSITJZO,X,X,X,X,X,O,O,X
LSITJOZ,X,X,O,X,X,O,X,X
LSITZJO,X,O,X,X,X,X,O,X
LSITZOJ,X,X,X,X,X,O,O,X
LSITOJZ,X,X,O,X,X,O,X,X
LSITOZJ,X,X,O,X,X,O,O,X
LSIJTZO,X,X,X,X,X,O,X,X
LSIJTOZ,X,X,O,X,X,O,X,X
LSIJZTO,X,O,X,X,X,O,X,X
LSIJZOT,X,O,X,X,X,O,X,X
LSIJOTZ,X,X,X,X,X,O,X,X
LSIJOZT,X,X,X,X,X,O,X,X
LSIZTJO,X,O,X,X,X,X,X,X
LSIZTOJ,X,X,X,X,X,O,X,X
LSIZJTO,X,O,X,X,X,O,X,X
LSIZJOT,X,O,X,X,X,O,X,X
LSIZOTJ,X,X,X,X,X,O,X,X
LSIZOJT,X,O,X,X,X,O,X,X
LSIOTJZ,X,X,X,X,X,O,X,X
LSIOTZJ,X,X,X,X,X,O,X,X
LSIOJTZ,X,X,X,X,X,O,X,X
LSIOJZT,X,X,X,X,X,O,X,X
LSIOZTJ,X,X,X,X,X,O,X,X
LSIOZJT,X,X,X,X,X,O,X,X
LSJTIZO,X,O,X,X,X,O,X,X
LSJTIOZ,X,X,O,X,X,O,X,X
LSJTZIO,O,O,X,X,X,O,X,X
LSJTZOI,O,O,O,X,X,O,X,X
LSJTOIZ,X,X,O,X,X,O,X,X
LSJTOZI,O,O,O,X,X,O,X,X
LSJITZO,X,X,X,X,X,O,X,X
LSJITOZ,X,X,O,X,X,O,X,X
LSJIZTO,O,O,X,X,X,O,X,X
LSJIZOT,O,O,X,X,X,O,X,X
LSJIOTZ,X,X,X,X,X,O,X,X
LSJIOZT,O,X,X,X,X,O,X,X
LSJZTIO,O,O,X,X,O,O,X,X
LSJZTOI,O,O,O,X,O,O,X,X
LSJZITO,O,O,X,X,O,O,X,X
LSJZIOT,O,O,X,X,O,O,X,X
LSJZOTI,O,O,X,X,O,O,X,X
LSJZOIT,O,O,X,X,O,O,X,X
LSJOTIZ,X,O,X,X,X,O,X,X
LSJOTZI,O,O,X,X,X,O,X,X
LSJOITZ,X,X,X,X,X,O,X,X
LSJOIZT,O,O,X,X,X,O,X,X
LSJOZTI,O,O,X,X,O,O,X,X
LSJOZIT,O,O,X,X,O,O,X,X
LSZTIJO,O,O,X,X,X,X,X,X
LSZTIOJ,O,X,X,X,X,O,X,X
LSZTJIO,O,O,X,X,X,X,X,X
LSZTJOI,O,O,X,X,X,X,X,X
LSZTOIJ,O,X,O,X,X,O,X,X
LSZTOJI,O,X,O,X,X,X,X,X
LSZITJO,O,O,X,X,X,X,X,X
LSZITOJ,O,X,X,X,X,O,X,X
LSZIJTO,O,O,X,X,O,O,X,X
LSZIJOT,O,O,X,X,O,O,X,X
LSZIOTJ,O,X,X,X,X,O,X,X
LSZIOJT,O,O,X,X,O,O,X,X
LSZJTIO,O,O,X,X,O,O,X,X
LSZJTOI,O,O,O,X,O,O,X,X
LSZJITO,O,O,X,X,O,O,X,X
LSZJIOT,O,O,X,X,O,O,X,X
LSZJOTI,O,O,X,X,O,O,X,X
LSZJOIT,O,O,X,X,O,O,X,X
LSZOTIJ,O,O,X,X,X,O,X,X
LSZOTJI,O,O,X,X,X,X,X,X
LSZOITJ,O,O,X,X,X,O,X,X
LSZOIJT,O,O,X,X,O,O,X,X
LSZOJTI,O,O,X,X,O,O,X,X
LSZOJIT,O,O,X,X,O,O,X,X
LSOTIJZ,O,O,X,X,X,O,X,X
LSOTIZJ,O,O,X,X,X,O,X,X
LSOTJIZ,O,O,X,X,X,O,X,X
LSOTJZI,O,O,X,X,X,O,X,X
LSOTZIJ,O,O,X,X,X,O,O,X
LSOTZJI,O,O,X,X,X,X,O,X
LSOITJZ,X,X,X,X,X,O,X,X
LSOITZJ,X,X,X,X,X,O,X,X
LSOIJTZ,X,X,X,X,X,O,X,X
LSOIJZT,X,O,X,X,X,O,X,X
LSOIZTJ,X,O,X,X,X,O,X,X
LSOIZJT,X,O,X,X,X,O,X,X
LSOJTIZ,X,O,X,X,X,O,X,X
LSOJTZI,O,O,X,X,X,O,X,X
LSOJITZ,X,X,X,X,X,O,X,X
LSOJIZT,O,O,X,X,X,O,X,X
LSOJZTI,O,O,X,X,O,O,X,X
LSOJZIT,O,O,X,X,O,O,X,X
LSOZTIJ,O,O,X,X,X,O,O,X
LSOZTJI,O,O,X,X,X,X,O,X
LSOZITJ,O,O,X,X,X,O,O,X
LSOZIJT,O,O,X,X,O,O,O,X
LSOZJTI,O,O,X,X,O,O,O,X
LSOZJIT,O,O,X,X,O,O,O,X
LZTIJSO,O,O,X,X,X,X,X,X
LZTIJOS,O,O,O,X,X,X,X,X
LZTISJO,X,O,X,X,X,X,O,O
LZTISOJ,O,X,X,X,X,X,O,O
LZTIOJS,O,O,O,X,X,X,X,X
LZTIOSJ,O,X,O,X,X,X,X,X
LZTJISO,O,O,X,X,X,X,X,X
LZTJIOS,O,O,O,X,X,X,X,X
LZTJSIO,O,O,X,X,X,X,O,X
LZTJSOI,O,O,O,X,X,X,O,X
LZTJOIS,O,O,O,X,X,X,X,X
LZTJOSI,O,X,O,X,X,X,X,X
LZTSIJO,X,O,X,X,X,X,O,O
LZTSIOJ,O,O,X,X,X,X,O,O
LZTSJIO,O,O,X,X,X,X,O,X
LZTSJOI,O,O,X,X,X,X,O,X
LZTSOIJ,O,O,O,X,X,X,O,X
LZTSOJI,O,O,O,X,X,X,O,X
LZTOIJS,O,O,O,X,X,X,X,X
LZTOISJ,O,X,O,X,X,X,O,X
LZTOJIS,O,O,O,X,X,X,X,X
LZTOJSI,O,X,O,X,X,X,O,X
LZTOSIJ,O,X,O,X,X,X,O,X
LZTOSJI,O,X,O,X,X,X,O,X
LZITJSO,O,O,X,X,X,X,X,X
LZITJOS,O,O,O,X,X,X,X,X
LZITSJO,X,O,X,X,X,X,O,X
LZITSOJ,O,X,X,X,X,X,O,X
LZITOJS,O,O,O,X,X,X,X,X
LZITOSJ,O,X,O,X,X,X,X,X
LZIJTSO,X,X,X,O,X,X,X,X
LZIJTOS,X,X,O,O,X,X,X,X
LZIJSTO,X,X,X,O,X,X,X,X
LZIJSOT,X,X,X,O,X,X,X,X
LZIJOTS,X,X,X,O,X,X,X,X
LZIJOST,X,X,X,O,X,X,X,X
LZISTJO,O,X,X,X,X,X,X,O
LZISTOJ,O,X,X,X,X,X,X,O
LZISJTO,O,X,X,X,O,X,X,O
LZISJOT,O,X,X,X,O,X,X,O
LZISOTJ,O,X,X,X,X,X,X,X
LZISOJT,O,X,X,X,O,X,X,O
LZIOTJS,O,X,X,X,X,X,X,X
LZIOTSJ,O,X,X,X,X,X,X,X
LZIOJTS,X,X,X,O,X,X,X,X
LZIOJST,X,X,X,O,X,X,X,X
LZIOSTJ,O,X,X,X,X,X,X,X
LZIOSJT,O,X,X,X,O,X,X,X
LZJTISO,X,O,X,O,X,X,X,X
LZJTIOS,X,O,O,O,X,X,X,X
LZJTSIO,X,O,X,O,X,X,X,X
LZJTSOI,X,O,O,O,X,X,X,X
LZJTOIS,X,O,O,O,X,X,X,X
LZJTOSI,X,X,O,O,X,X,X,X
LZJITSO,X,X,X,O,X,X,X,X
LZJITOS,X,X,O,O,X,X,X,X
LZJISTO,X,X,X,O,X,X,X,X
LZJISOT,X,X,X,O,X,X,X,X
LZJIOTS,X,X,X,O,X,X,X,X
LZJIOST,X,X,X,O,X,X,X,X
LZJSTIO,X,O,X,O,O,X,X,X
LZJSTOI,X,O,O,O,O,X,X,X
LZJSITO,X,O,X,O,O,X,X,X
LZJSIOT,X,O,X,O,O,X,X,X
LZJSOTI,X,O,X,O,O,X,X,X
LZJSOIT,X,O,X,O,O,X,X,X
LZJOTIS,X,X,O,O,X,X,X,X
LZJOTSI,X,X,O,O,X,X,X,X
LZJOITS,X,X,X,O,X,X,X,X
LZJOIST,X,X,X,O,X,X,X,X
LZJOSTI,X,X,X,O,O,X,X,X
LZJOSIT,X,X,X,O,O,X,X,X
LZSTIJO,O,O,X,X,X,X,X,O
LZSTIOJ,O,X,X,X,X,X,X,O
LZSTJIO,O,O,X,X,X,X,X,X
LZSTJOI,O,O,X,X,X,X,X,X
LZSTOIJ,O,X,O,X,X,X,X,X
LZSTOJI,O,X,O,X,X,X,X,X
LZSITJO,O,O,X,X,X,X,X,O
LZSITOJ,O,X,X,X,X,X,X,O
LZSIJTO,O,O,X,X,O,X,X,O
LZSIJOT,O,O,X,X,O,X,X,O
LZSIOTJ,O,X,X,X,X,X,X,X
LZSIOJT,O,O,X,X,O,X,X,O
LZSJTIO,O,O,X,X,O,X,X,X
LZSJTOI,O,O,O,X,O,X,X,X
LZSJITO,O,O,X,X,O,X,X,X
LZSJIOT,O,O,X,X,O,X,X,X
LZSJOTI,O,O,X,X,O,X,X,X
LZSJOIT,O,O,X,X,O,X,X,X
LZSOTIJ,O,X,X,X,X,X,X,X
LZSOTJI,O,X,X,X,X,X,X,X
LZSOITJ,O,X,X,X,X,X,X,X
LZSOIJT,O,O,X,X,O,X,X,X
LZSOJTI,O,O,X,X,O,X,X,X
LZSOJIT,O,O,X,X,O,X,X,X
LZOTIJS,O,X,O,X,X,X,X,X
LZOTISJ,O,X,O,X,X,X,O,X
LZOTJIS,O,X,O,X,X,X,X,X
LZOTJSI,O,X,O,X,X,X,O,X
LZOTSIJ,O,X,O,X,X,X,O,X
LZOTSJI,O,X,O,X,X,X,O,X
LZOITJS,O,X,X,X,X,X,X,X
LZOITSJ,O,X,X,X,X,X,X,X
LZOIJTS,X,X,X,O,X,X,X,X
LZOIJST,X,X,X,O,X,X,X,X
LZOISTJ,O,X,X,X,X,X,O,X
LZOISJT,O,X,X,X,O,X,O,X
LZOJTIS,X,X,O,O,X,X,X,X
LZOJTSI,X,X,O,O,X,X,X,X
LZOJITS,X,X,X,O,X,X,X,X
LZOJIST,X,X,X,O,X,X,X,X
LZOJSTI,X,X,X,O,O,X,O,X
LZOJSIT,X,X,X,O,O,X,O,X
LZOSTIJ,O,X,X,X,X,X,O,X
LZOSTJI,O,X,X,X,X,X,O,X
LZOSITJ,O,X,X,X,X,X,O,X
LZOSIJT,O,X,X,X,O,X,O,X
LZOSJTI,O,X,X,X,O,X,O,X
LZOSJIT,O,X,X,X,O,X,O,X
LOTIJSZ,X,O,O,X,X,X,X,X
LOTIJZS,O,O,O,X,X,X,X,X
LOTISJZ,O,O,O,X,X,X,X,X
LOTISZJ,O,O,O,X,X,X,O,X
LOTIZJS,O,O,O,X,X,X,X,X
LOTIZSJ,O,O,O,X,X,X,O,X
LOTJISZ,X,O,O,X,X,X,X,X
LOTJIZS,O,O,O,X,X,X,X,X
LOTJSIZ,O,O,O,X,X,X,X,X
LOTJSZI,O,O,O,X,X,X,X,X
LOTJZIS,O,O,O,X,X,X,X,X
LOTJZSI,O,O,O,X,X,X,O,X
LOTSIJZ,O,O,O,X,X,X,X,X
LOTSIZJ,O,O,O,X,X,X,O,X
LOTSJIZ,O,O,O,X,X,X,X,X
LOTSJZI,O,O,O,X,X,X,X,X
LOTSZIJ,O,O,O,X,X,X,O,X
LOTSZJI,O,O,O,X,X,X,O,X
LOTZIJS,O,O,O,X,X,X,X,X
LOTZISJ,O,O,O,X,X,X,O,X
LOTZJIS,O,O,O,X,X,X,X,X
LOTZJSI,O,O,O,X,X,X,O,X
LOTZSIJ,O,O,O,X,X,X,O,X
LOTZSJI,O,O,O,X,X,X,O,X
LOITJSZ,X,O,O,X,X,X,X,X
LOITJZS,O,O,O,X,X,X,X,X
LOITSJZ,X,O,O,X,X,X,X,X
LOITSZJ,O,O,O,X,X,X,O,X
LOITZJS,O,O,O,X,X,X,X,X
LOITZSJ,O,O,O,X,X,X,O,X
LOIJTSZ,X,O,O,O,X,X,X,X
LOIJTZS,X,O,O,O,X,X,X,X
LOIJSTZ,X,X,X,O,X,O,X,X
LOIJSZT,X,O,X,O,X,O,X,X
LOIJZTS,X,X,X,O,X,X,X,X
LOIJZST,X,X,X,O,X,X,X,X
LOISTJZ,X,X,X,X,X,O,X,X
LOISTZJ,X,O,X,X,X,O,X,X
LOISJTZ,X,X,X,X,X,O,X,X
LOISJZT,X,O,X,X,X,O,X,X
LOISZTJ,X,O,X,X,X,O,X,X
LOISZJT,X,O,X,X,X,O,X,X
LOIZTJS,O,O,X,X,X,X,X,X
LOIZTSJ,O,O,X,X,X,X,X,X
LOIZJTS,X,X,X,O,X,X,X,X
LOIZJST,X,X,X,O,X,X,X,X
LOIZSTJ,O,X,X,X,X,X,O,X
LOIZSJT,O,X,X,X,O,X,O,X
LOJTISZ,X,O,O,O,X,X,X,X
LOJTIZS,X,O,O,O,X,X,X,X
LOJTSIZ,X,O,O,O,X,X,X,X
LOJTSZI,X,O,O,O,X,X,X,X
LOJTZIS,X,O,O,O,X,X,X,X
LOJTZSI,X,O,O,O,X,X,O,X
LOJITSZ,X,O,O,O,X,X,X,X
LOJITZS,X,O,O,O,X,X,X,X
LOJISTZ,X,X,X,O,X,O,X,X
LOJISZT,X,O,X,O,X,O,X,X
LOJIZTS,X,X,X,O,X,X,X,X
LOJIZST,X,X,X,O,X,X,X,X
LOJSTIZ,X,O,X,O,X,O,X,X
LOJSTZI,X,O,X,O,X,O,X,X
LOJSITZ,X,X,X,O,X,O,X,X
LOJSIZT,X,O,X,O,X,O,X,X
LOJSZTI,X,O,X,O,O,O,X,X
LOJSZIT,X,O,X,O,O,O,X,X
LOJZTIS,X,O,O,O,X,X,X,X
LOJZTSI,X,O,O,O,X,X,X,X
LOJZITS,X,X,X,O,X,X,X,X
LOJZIST,X,X,X,O,X,X,X,X
LOJZSTI,X,O,X,O,O,X,O,X
LOJZSIT,X,O,X,O,O,X,O,X
LOSTIJZ,O,O,X,X,X,O,X,X
LOSTIZJ,O,O,X,X,X,O,X,X
LOSTJIZ,O,O,X,X,X,O,X,X
LOSTJZI,O,O,X,X,X,O,X,X
LOSTZIJ,O,O,X,X,X,O,O,X
LOSTZJI,O,O,X,X,X,X,O,X
LOSITJZ,X,X,X,X,X,O,X,X
LOSITZJ,X,O,X,X,X,O,X,X
LOSIJTZ,X,X,X,X,X,O,X,X
LOSIJZT,X,O,X,X,X,O,X,X
LOSIZTJ,X,O,X,X,X,O,X,X
LOSIZJT,X,O,X,X,X,O,X,X
LOSJTIZ,X,O,X,X,X,O,X,X
LOSJTZI,O,O,X,X,X,O,X,X
LOSJITZ,X,X,X,X,X,O,X,X
LOSJIZT,O,O,X,X,X,O,X,X
LOSJZTI,O,O,X,X,O,O,X,X
LOSJZIT,O,O,X,X,O,O,X,X
LOSZTIJ,O,O,X,X,X,O,O,X
LOSZTJI,O,O,X,X,X,X,O,X
LOSZITJ,O,O,X,X,X,O,O,X
LOSZIJT,O,O,X,X,O,O,O,X
LOSZJTI,O,O,X,X,O,O,O,X
LOSZJIT,O,O,X,X,O,O,O,X
LOZTIJS,O,O,O,X,X,X,X,X
LOZTISJ,O,O,O,X,X,X,O,X
LOZTJIS,O,O,O,X,X,X,X,X
LOZTJSI,O,O,O,X,X,X,O,X
LOZTSIJ,O,O,O,X,X,X,O,X
LOZTSJI,O,O,O,X,X,X,O,X
LOZITJS,O,O,X,X,X,X,X,X
LOZITSJ,O,O,X,X,X,X,X,X
LOZIJTS,X,X,X,O,X,X,X,X
LOZIJST,X,X,X,O,X,X,X,X
LOZISTJ,O,X,X,X,X,X,O,X
LOZISJT,O,X,X,X,O,X,O,X
LOZJTIS,X,O,O,O,X,X,X,X
LOZJTSI,X,O,O,O,X,X,X,X
LOZJITS,X,X,X,O,X,X,X,X
LOZJIST,X,X,X,O,X,X,X,X
LOZJSTI,X,O,X,O,O,X,O,X
LOZJSIT,X,O,X,O,O,X,O,X
LOZSTIJ,O,O,X,X,X,X,O,X
LOZSTJI,O,O,X,X,X,X,O,X
LOZSITJ,O,O,X,X,X,X,O,X
LOZSIJT,O,O,X,X,O,X,O,X
LOZSJTI,O,O,X,X,O,X,O,X
LOZSJIT,O,O,X,X,O,X,O,X
JTILSZO,X,O,X,O,X,X,X,X
JTILSOZ,X,X,O,O,X,X,X,X
JTILZSO,O,O,X,O,X,X,X,X
JTILZOS,O,O,O,O,X,X,X,X
JTILOSZ,X,X,O,O,X,X,X,X
JTILOZS,O,X,O,O,X,X,X,X
JTISLZO,X,O,X,X,X,O,X,X
JTISLOZ,X,X,X,X,X,O,X,X
JTISZLO,X,O,X,X,X,O,X,X
JTISZOL,X,O,X,X,X,O,X,X
JTISOLZ,X,O,X,X,X,O,X,X
JTISOZL,X,O,X,X,X,O,X,X
JTIZLSO,O,O,X,O,X,X,X,X
JTIZLOS,O,O,O,O,X,X,X,X
JTIZSLO,O,O,X,X,X,X,X,O
JTIZSOL,O,O,X,X,X,X,X,O
JTIZOLS,O,O,O,O,X,X,X,X
JTIZOSL,O,O,X,X,X,X,X,X
JTIOLSZ,X,O,O,O,X,X,X,X
JTIOLZS,O,O,O,O,X,X,X,X
JTIOSLZ,X,O,X,X,X,O,X,X
JTIOSZL,X,O,X,X,X,O,X,X
JTIOZLS,O,O,O,O,X,X,X,X
JTIOZSL,O,O,X,X,X,X,X,X
JTLISZO,X,O,X,O,X,X,O,X
JTLISOZ,X,X,O,O,X,X,X,X
JTLIZSO,O,O,X,O,X,X,X,X
JTLIZOS,O,O,O,O,X,X,X,X
JTLIOSZ,X,X,O,O,X,X,X,X
JTLIOZS,O,X,O,O,X,X,X,X
JTLSIZO,O,O,X,O,X,X,O,X
JTLSIOZ,O,X,O,O,X,X,X,X
JTLSZIO,O,O,X,O,X,X,O,X
JTLSZOI,O,O,O,O,X,X,O,X
JTLSOIZ,O,O,O,O,X,X,X,X
JTLSOZI,O,O,O,O,X,X,X,X
JTLZISO,O,O,X,O,X,X,X,X
JTLZIOS,O,O,O,O,X,X,X,X
JTLZSIO,O,O,X,O,X,X,O,X
JTLZSOI,O,O,O,O,X,X,O,X
JTLZOIS,O,O,O,O,X,X,X,X
JTLZOSI,O,O,O,O,X,X,X,X
JTLOISZ,X,O,O,O,X,X,X,X
JTLOIZS,O,O,O,O,X,X,X,X
JTLOSIZ,O,O,O,O,X,X,X,X
JTLOSZI,O,O,O,O,X,X,X,X
JTLOZIS,O,O,O,O,X,X,X,X
JTLOZSI,O,O,O,O,X,X,O,X
JTSILZO,O,O,X,X,X,O,X,X
JTSILOZ,O,X,X,X,X,O,X,X
JTSIZLO,O,O,X,X,X,O,X,X
JTSIZOL,O,O,X,X,X,O,X,X
JTSIOLZ,O,O,X,X,X,O,X,X
JTSIOZL,O,O,X,X,X,O,X,X
JTSLIZO,O,O,X,X,X,O,O,X
JTSLIOZ,O,X,O,X,X,O,X,X
JTSLZIO,O,O,X,X,X,O,O,X
JTSLZOI,O,O,O,X,X,O,O,X
JTSLOIZ,O,O,O,X,X,O,X,X
JTSLOZI,O,O,O,X,X,O,X,X
JTSZILO,O,O,X,X,O,O,X,X
JTSZIOL,O,O,X,X,O,O,X,X
JTSZLIO,O,O,X,X,O,O,O,X
JTSZLOI,O,O,O,X,O,O,O,X
JTSZOIL,O,O,X,X,O,O,X,X
JTSZOLI,O,O,O,X,O,O,X,X
JTSOILZ,O,O,X,X,X,O,X,X
JTSOIZL,O,O,X,X,X,O,X,X
