sequence,v115@5gB8GeC8HeD8FeE8AeH8JeO/IvhFxbBTeBCgB/mB0l?BlpB,v115@5gB8GeC8HeD8FeE8AeH8JeU7IvhFFcBTeBikBGmBRq?B/pB,v115@5gB8GeC8HeD8FeE8AeH8Jex6IvhFOhBTeBlfBclB/p?BSwB,v115@5gB8GeC8HeD8FeE8AeH8Jey/IvhFFcBTeBWmB0fB/p?BxvB,v115@5gB8GeC8HeD8FeE8AeH8JeZ/IvhFufB1gBTeBXhB8p?BSwB,v115@5gB8GeC8HeD8FeE8AeH8Jex7IvhFTeB/mB6pB0qBOp?BFqB
LZOITSJ,X,X,X,X,O,X
LZOIJTS,X,X,O,X,O,X
LZOIJST,O,X,O,X,O,X
LZOISTJ,O,X,O,X,O,O
LZOISJT,O,X,O,X,O,O
LZOJTIS,X,O,O,X,O,X
LZOJTSI,O,X,O,X,O,X
LZOJITS,X,O,O,X,O,X
LZOJIST,O,O,O,X,O,X
LZOJSTI,O,X,O,X,O,O
LZOJSIT,O,X,O,X,O,O
LZOSTIJ,O,X,O,X,O,O
LZOSTJI,O,X,O,X,O,O
LZOSITJ,O,X,O,X,O,O
LZOSIJT,O,X,O,X,O,O
LZOSJTI,O,X,O,X,O,O
LZOSJIT,O,X,O,X,O,O
LOTIJSZ,O,O,X,O,X,X
LOTIJZS,X,O,X,X,X,X
LOTISJZ,O,X,X,O,X,X
LOTISZJ,O,X,X,X,X,X
LOTIZJS,X,X,X,X,O,X
LOTIZSJ,X,X,X,X,O,X
LOTJISZ,O,O,X,X,X,X
LOTJIZS,X,O,X,X,X,X
LOTJSIZ,O,O,X,X,X,X
LOTJSZI,O,X,O,X,X,X
LOTJZIS,O,O,O,X,X,X
LOTJZSI,O,X,O,X,X,X
LOTSIJZ,O,X,X,O,X,X
LOTSIZJ,O,X,X,X,X,X
LOTSJIZ,O,X,X,X,X,X
LOTSJZI,O,X,O,X,X,X
LOTSZIJ,O,X,O,X,X,O
LOTSZJI,O,X,O,X,X,O
LOTZIJS,O,X,O,X,O,X
LOTZISJ,O,X,X,X,O,X
LOTZJIS,O,X,O,X,O,X
LOTZJSI,O,X,O,X,O,X
LOTZSIJ,O,X,O,X,O,O
LOTZSJI,O,X,O,X,O,O
LOITJSZ,O,O,X,O,X,X
LOITJZS,X,O,X,X,X,X
LOITSJZ,O,X,X,O,X,X
LOITSZJ,O,X,X,X,X,X
LOITZJS,X,X,X,X,O,X
LOITZSJ,X,X,X,X,O,X
LOIJTSZ,X,O,X,O,X,X
LOIJTZS,X,O,X,X,X,X
LOIJSTZ,X,O,X,O,X,X
LOIJSZT,X,O,O,O,X,X
LOIJZTS,X,O,O,X,O,X
LOIJZST,X,O,O,X,O,X
LOISTJZ,O,X,X,O,X,X
LOISTZJ,O,X,X,X,X,X
LOISJTZ,X,X,X,O,X,X
LOISJZT,X,X,O,O,X,X
LOISZTJ,O,X,O,X,O,O
LOISZJT,O,X,O,O,O,O
LOIZTJS,X,X,O,X,O,X
LOIZTSJ,X,X,X,X,O,X
LOIZJTS,X,X,O,X,O,X
LOIZJST,X,X,O,X,O,X
LOIZSTJ,X,X,O,X,O,O
LOIZSJT,X,X,O,X,O,O
LOJTISZ,X,O,X,X,X,X
LOJTIZS,X,O,X,X,X,X
LOJTSIZ,X,O,X,X,X,X
LOJTSZI,X,X,O,X,X,X
LOJTZIS,X,O,O,X,X,X
LOJTZSI,X,X,O,X,X,X
LOJITSZ,X,O,X,X,X,X
LOJITZS,X,O,X,X,X,X
LOJISTZ,X,O,X,X,X,X
LOJISZT,X,O,O,X,X,X
LOJIZTS,X,O,O,X,O,X
LOJIZST,X,O,O,X,O,X
LOJSTIZ,X,O,X,X,X,X
LOJSTZI,X,X,O,X,X,X
LOJSITZ,X,O,X,X,X,X
LOJSIZT,X,O,O,X,X,X
LOJSZTI,X,X,O,X,X,O
LOJSZIT,X,X,O,X,X,O
LOJZTIS,X,O,O,X,O,X
LOJZTSI,X,X,O,X,O,X
LOJZITS,X,O,O,X,O,X
LOJZIST,X,O,O,X,O,X
LOJZSTI,X,X,O,X,O,O
LOJZSIT,X,X,O,X,O,O
LOSTIJZ,O,X,X,O,X,X
LOSTIZJ,O,X,O,X,X,X
LOSTJIZ,O,X,X,X,X,X
LOSTJZI,O,X,O,X,X,X
LOSTZIJ,O,X,O,X,X,O
LOSTZJI,O,X,O,X,X,O
LOSITJZ,O,X,X,O,X,X
LOSITZJ,O,X,X,X,X,X
LOSIJTZ,X,X,X,O,X,X
LOSIJZT,X,X,O,O,X,X
LOSIZTJ,O,X,O,X,O,O
LOSIZJT,O,X,O,O,O,O
LOSJTIZ,X,O,X,X,X,X
LOSJTZI,X,X,O,X,X,X
LOSJITZ,X,O,X,O,X,X
LOSJIZT,X,O,O,O,X,X
LOSJZTI,X,X,O,X,X,O
LOSJZIT,X,X,O,X,X,O
LOSZTIJ,O,X,O,X,O,O
LOSZTJI,O,X,O,X,O,O
LOSZITJ,O,X,O,X,O,O
LOSZIJT,O,X,O,O,O,O
LOSZJTI,O,X,O,X,O,O
LOSZJIT,O,X,O,X,O,O
LOZTIJS,O,X,O,X,O,X
LOZTISJ,O,X,X,X,O,X
LOZTJIS,O,X,O,X,O,X
LOZTJSI,O,X,O,X,O,X
LOZTSIJ,O,X,O,X,O,O
LOZTSJI,O,X,O,X,O,O
LOZITJS,X,X,O,X,O,X
LOZITSJ,X,X,X,X,O,X
LOZIJTS,X,X,O,X,O,X
LOZIJST,O,X,O,X,O,X
LOZISTJ,O,X,O,X,O,O
LOZISJT,O,X,O,X,O,O
LOZJTIS,X,O,O,X,O,X
LOZJTSI,O,X,O,X,O,X
LOZJITS,X,O,O,X,O,X
LOZJIST,O,O,O,X,O,X
LOZJSTI,O,X,O,X,O,O
LOZJSIT,O,X,O,X,O,O
LOZSTIJ,O,X,O,X,O,O
LOZSTJI,O,X,O,X,O,O
LOZSITJ,O,X,O,X,O,O
LOZSIJT,O,X,O,X,O,O
LOZSJTI,O,X,O,X,O,O
LOZSJIT,O,X,O,X,O,O
JTILSZO,O,O,X,O,X,X
JTILSOZ,O,O,X,O,X,X
JTILZSO,X,O,X,X,X,X
JTILZOS,X,O,X,X,X,X
JTILOSZ,O,O,X,O,X,X
JTILOZS,X,O,X,X,X,X
JTISLZO,O,O,X,O,X,X
JTISLOZ,O,O,X,O,X,X
JTISZLO,X,X,X,O,X,X
JTISZOL,O,X,X,O,X,X
JTISOLZ,O,O,X,O,X,X
JTISOZL,O,X,X,O,X,X
JTIZLSO,O,O,X,X,X,X
JTIZLOS,O,O,X,X,X,X
JTIZSLO,O,X,X,O,X,X
JTIZSOL,O,X,X,O,X,X
JTIZOLS,O,O,X,X,X,X
JTIZOSL,O,X,X,O,X,X
JTIOLSZ,O,O,X,O,X,X
JTIOLZS,X,O,X,X,X,X
JTIOSLZ,O,O,X,O,X,X
JTIOSZL,O,X,X,O,X,X
JTIOZLS,O,O,X,X,X,X
JTIOZSL,O,X,X,O,X,X
JTLISZO,O,O,X,X,X,X
JTLISOZ,O,O,X,X,X,X
JTLIZSO,X,O,X,X,X,X
JTLIZOS,X,O,X,X,X,X
JTLIOSZ,O,O,X,X,X,X
JTLIOZS,X,O,X,X,X,X
JTLSIZO,O,O,X,X,X,X
JTLSIOZ,O,O,X,X,X,X
JTLSZIO,O,X,O,X,X,X
JTLSZOI,O,X,O,X,X,X
JTLSOIZ,O,O,X,X,X,X
JTLSOZI,O,X,O,X,X,X
JTLZISO,O,O,X,X,X,X
JTLZIOS,O,O,O,X,X,X
JTLZSIO,O,X,O,X,X,X
JTLZSOI,O,X,O,X,X,X
JTLZOIS,O,O,O,X,X,X
JTLZOSI,O,X,O,X,X,X
JTLOISZ,O,O,X,X,X,X
JTLOIZS,X,O,X,X,X,X
JTLOSIZ,O,O,X,X,X,X
JTLOSZI,O,X,O,X,X,X
JTLOZIS,O,O,O,X,X,X
JTLOZSI,O,X,O,X,X,X
JTSILZO,O,O,X,O,X,X
JTSILOZ,O,O,X,O,X,X
JTSIZLO,X,X,X,O,X,X
JTSIZOL,O,X,X,O,X,X
JTSIOLZ,O,O,X,O,X,X
JTSIOZL,O,X,X,O,X,X
JTSLIZO,O,O,X,X,X,X
JTSLIOZ,O,O,X,X,X,X
JTSLZIO,O,X,O,X,X,X
JTSLZOI,O,X,O,X,X,X
JTSLOIZ,O,O,X,X,X,X
JTSLOZI,O,X,O,X,X,X
JTSZILO,O,X,O,X,X,X
JTSZIOL,O,X,O,X,X,X
JTSZLIO,O,X,O,X,X,X
JTSZLOI,O,X,O,X,X,X
JTSZOIL,O,X,O,X,X,X
JTSZOLI,O,X,O,X,X,X
JTSOILZ,O,O,X,O,X,X
JTSOIZL,O,X,X,O,X,X
JTSOLIZ,O,O,X,X,X,X
JTSOLZI,O,X,O,X,X,X
JTSOZIL,O,X,O,X,X,X
JTSOZLI,O,X,O,X,X,X
JTZILSO,O,O,X,X,X,X
JTZILOS,O,O,X,X,X,X
JTZISLO,O,X,X,X,X,X
JTZISOL,O,X,X,X,X,X
JTZIOLS,O,O,X,X,X,X
JTZIOSL,O,X,O,X,X,X
JTZLISO,O,O,X,X,X,X
JTZLIOS,O,O,X,X,X,X
JTZLSIO,O,X,X,X,X,X
JTZLSOI,O,X,X,X,X,X
JTZLOIS,O,O,X,X,X,X
JTZLOSI,O,X,X,X,X,X
JTZSILO,O,X,O,X,X,X
JTZSIOL,O,X,O,X,X,X
JTZSLIO,O,X,O,X,X,X
JTZSLOI,O,X,O,X,X,X
JTZSOIL,O,X,O,X,X,X
JTZSOLI,O,X,O,X,X,X
JTZOILS,O,O,X,X,X,X
JTZOISL,O,X,O,X,X,X
JTZOLIS,O,O,X,X,X,X
JTZOLSI,O,X,X,X,X,X
JTZOSIL,O,X,O,X,X,X
JTZOSLI,O,X,O,X,X,X
JTOILSZ,O,O,X,O,X,X
JTOILZS,X,O,X,X,X,X
JTOISLZ,O,O,X,O,X,X
JTOISZL,O,X,X,O,X,X
JTOIZLS,O,O,X,X,X,X
JTOIZSL,O,X,X,O,X,X
JTOLISZ,O,O,X,X,X,X
JTOLIZS,X,O,X,X,X,X
JTOLSIZ,O,O,X,X,X,X
JTOLSZI,O,X,O,X,X,X
JTOLZIS,O,O,O,X,X,X
JTOLZSI,O,X,O,X,X,X
JTOSILZ,O,O,X,O,X,X
JTOSIZL,O,X,X,O,X,X
JTOSLIZ,O,O,X,X,X,X
JTOSLZI,O,X,O,X,X,X
JTOSZIL,O,X,O,X,X,X
JTOSZLI,O,X,O,X,X,X
JTOZILS,O,O,X,X,X,X
JTOZISL,O,X,O,X,X,X
JTOZLIS,O,O,X,X,X,X
JTOZLSI,O,X,X,X,X,X
JTOZSIL,O,X,O,X,X,X
JTOZSLI,O,X,O,X,X,X
JITLSZO,X,O,X,O,X,X
JITLSOZ,X,O,X,O,X,X
JITLZSO,X,O,X,X,X,X
JITLZOS,X,O,X,X,X,X
JITLOSZ,O,O,X,O,X,X
JITLOZS,X,O,X,X,X,X
JITSLZO,O,O,X,O,X,X
JITSLOZ,O,O,X,O,X,X
JITSZLO,X,X,X,O,X,X
JITSZOL,O,X,X,O,X,X
JITSOLZ,O,O,X,O,X,X
JITSOZL,O,X,X,O,X,X
JITZLSO,X,O,X,X,X,X
JITZLOS,X,O,X,X,X,X
JITZSLO,X,X,X,O,X,X
JITZSOL,X,X,X,O,X,X
JITZOLS,X,O,X,X,X,X
JITZOSL,O,X,X,O,X,X
JITOLSZ,O,O,X,O,X,X
JITOLZS,X,O,X,X,X,X
JITOSLZ,O,O,X,O,X,X
JITOSZL,O,X,X,O,X,X
JITOZLS,X,O,X,X,X,X
JITOZSL,O,X,X,O,X,X
JILTSZO,X,O,X,O,X,X
JILTSOZ,X,O,X,O,X,X
JILTZSO,X,O,X,X,X,X
JILTZOS,X,O,X,X,X,X
JILTOSZ,X,O,X,O,X,X
JILTOZS,X,O,X,X,X,X
JILSTZO,X,O,X,O,X,X
JILSTOZ,X,O,X,O,X,X
JILSZTO,X,O,O,O,X,X
JILSZOT,X,O,O,O,X,X
JILSOTZ,X,O,X,O,X,X
JILSOZT,X,O,O,O,X,X
JILZTSO,X,O,X,X,O,X
JILZTOS,X,O,O,X,O,X
JILZSTO,X,O,O,X,O,X
JILZSOT,X,O,O,X,O,X
JILZOTS,X,O,O,X,O,X
JILZOST,X,O,O,X,O,X
JILOTSZ,X,O,X,O,X,X
JILOTZS,X,O,X,X,X,X
JILOSTZ,X,O,X,O,X,X
JILOSZT,X,O,O,O,X,X
JILOZTS,X,O,O,X,O,X
JILOZST,X,O,O,X,O,X
JISTLZO,O,O,X,O,X,X
JISTLOZ,O,O,X,O,X,X
JISTZLO,X,X,X,O,X,X
JISTZOL,O,X,X,O,X,X
JISTOLZ,O,O,X,O,X,X
JISTOZL,O,X,X,O,X,X
JISLTZO,X,O,X,O,X,X
JISLTOZ,X,O,X,O,X,X
JISLZTO,X,O,O,O,X,X
JISLZOT,X,O,O,O,X,X
JISLOTZ,X,O,X,O,X,X
JISLOZT,X,O,O,O,X,X
JISZTLO,O,X,O,O,X,X
JISZTOL,O,X,O,O,X,X
JISZLTO,O,X,X,O,X,O
JISZLOT,O,X,O,O,X,O
JISZOTL,O,X,O,O,X,X
JISZOLT,O,X,O,O,X,O
JISOTLZ,O,O,X,O,X,X
JISOTZL,O,X,X,O,X,X
JISOLTZ,X,O,X,O,X,X
JISOLZT,X,O,O,O,X,X
JISOZTL,O,X,O,O,X,X
JISOZLT,O,X,O,O,X,O
JIZTLSO,X,O,X,X,O,X
JIZTLOS,X,O,X,X,O,X
JIZTSLO,X,X,X,O,X,X
JIZTSOL,X,X,X,O,O,X
JIZTOLS,X,O,X,X,O,X
JIZTOSL,X,X,O,O,O,X
JIZLTSO,X,O,X,X,O,X
JIZLTOS,X,O,X,X,O,X
JIZLSTO,X,O,X,X,O,X
JIZLSOT,X,O,X,X,O,X
JIZLOTS,X,O,X,X,O,X
JIZLOST,X,O,O,X,O,X
JIZSTLO,X,X,O,O,X,X
JIZSTOL,X,X,O,O,O,X
JIZSLTO,X,X,X,O,O,X
JIZSLOT,X,X,O,O,O,X
JIZSOTL,X,X,O,O,O,X
JIZSOLT,X,X,O,O,O,X
JIZOTLS,X,O,X,X,O,X
JIZOTSL,X,X,O,O,O,X
JIZOLTS,X,O,X,X,O,X
JIZOLST,X,O,O,X,O,X
JIZOSTL,X,X,O,O,O,X
JIZOSLT,X,X,O,O,O,X
JIOTLSZ,O,O,X,O,X,X
JIOTLZS,X,O,X,X,X,X
JIOTSLZ,O,O,X,O,X,X
JIOTSZL,O,X,X,O,X,X
JIOTZLS,X,O,X,X,X,X
JIOTZSL,O,X,X,O,X,X
JIOLTSZ,X,O,X,O,X,X
JIOLTZS,X,O,X,X,X,X
JIOLSTZ,X,O,X,O,X,X
JIOLSZT,X,O,O,O,X,X
JIOLZTS,X,O,O,X,O,X
JIOLZST,X,O,O,X,O,X
JIOSTLZ,O,O,X,O,X,X
JIOSTZL,O,X,X,O,X,X
JIOSLTZ,X,O,X,O,X,X
JIOSLZT,X,O,O,O,X,X
JIOSZTL,O,X,O,O,X,X
JIOSZLT,O,X,O,O,X,O
JIOZTLS,X,O,X,X,O,X
JIOZTSL,X,X,O,O,O,X
JIOZLTS,X,O,X,X,O,X
JIOZLST,X,O,O,X,O,X
JIOZSTL,X,X,O,O,O,X
JIOZSLT,X,X,O,O,O,X
JLTISZO,X,O,X,X,X,X
JLTISOZ,X,O,X,X,X,X
JLTIZSO,X,O,X,X,X,X
JLTIZOS,X,O,X,X,X,X
JLTIOSZ,X,O,X,X,X,X
JLTIOZS,X,O,X,X,X,X
JLTSIZO,X,O,X,X,X,X
JLTSIOZ,X,O,X,X,X,X
JLTSZIO,X,X,O,X,X,X
JLTSZOI,X,X,O,X,X,X
JLTSOIZ,X,O,X,X,X,X
JLTSOZI,X,X,O,X,X,X
JLTZISO,X,O,X,X,X,X
JLTZIOS,X,O,O,X,X,X
JLTZSIO,X,X,O,X,X,X
JLTZSOI,X,X,O,X,X,X
JLTZOIS,X,O,O,X,X,X
JLTZOSI,X,X,O,X,X,X
JLTOISZ,X,O,X,X,X,X
JLTOIZS,X,O,X,X,X,X
JLTOSIZ,X,O,X,X,X,X
JLTOSZI,X,X,O,X,X,X
JLTOZIS,X,O,O,X,X,X
JLTOZSI,X,X,O,X,X,X
JLITSZO,X,O,X,X,X,X
JLITSOZ,X,O,X,X,X,X
JLITZSO,X,O,X,X,X,X
JLITZOS,X,O,X,X,X,X
JLITOSZ,X,O,X,X,X,X
JLITOZS,X,O,X,X,X,X
JLISTZO,X,O,X,X,X,X
JLISTOZ,X,O,X,X,X,X
JLISZTO,X,O,O,X,X,X
JLISZOT,X,O,O,X,X,X
JLISOTZ,X,O,X,X,X,X
JLISOZT,X,O,O,X,X,X
JLIZTSO,X,O,X,X,O,X
JLIZTOS,X,O,O,X,O,X
JLIZSTO,X,O,O,X,O,X
JLIZSOT,X,O,O,X,O,X
JLIZOTS,X,O,O,X,O,X
JLIZOST,X,O,O,X,O,X
JLIOTSZ,X,O,X,X,X,X
JLIOTZS,X,O,X,X,X,X
JLIOSTZ,X,O,X,X,X,X
JLIOSZT,X,O,O,X,X,X
JLIOZTS,X,O,O,X,O,X
JLIOZST,X,O,O,X,O,X
JLSTIZO,X,O,X,X,X,X
JLSTIOZ,X,O,X,X,X,X
JLSTZIO,X,X,O,X,X,X
JLSTZOI,X,X,O,X,X,X
JLSTOIZ,X,O,X,X,X,X
JLSTOZI,X,X,O,X,X,X
JLSITZO,X,O,X,X,X,X
JLSITOZ,X,O,X,X,X,X
JLSIZTO,X,O,O,X,X,X
JLSIZOT,X,O,O,X,X,X
JLSIOTZ,X,O,X,X,X,X
JLSIOZT,X,O,O,X,X,X
JLSZTIO,X,X,O,X,X,O
JLSZTOI,X,X,O,X,X,O
JLSZITO,X,X,O,X,X,O
JLSZIOT,X,X,O,X,X,O
JLSZOTI,X,X,O,X,X,O
JLSZOIT,X,X,O,X,X,O
JLSOTIZ,X,O,X,X,X,X
JLSOTZI,X,X,O,X,X,X
JLSOITZ,X,O,X,X,X,X
JLSOIZT,X,O,O,X,X,X
JLSOZTI,X,X,O,X,X,O
JLSOZIT,X,X,O,X,X,O
JLZTISO,X,O,X,X,O,X
JLZTIOS,X,O,O,X,O,X
JLZTSIO,X,X,O,X,O,X
JLZTSOI,X,X,O,X,O,X
JLZTOIS,X,O,O,X,O,X
JLZTOSI,X,X,O,X,O,X
JLZITSO,X,O,X,X,O,X
JLZITOS,X,O,O,X,O,X
JLZISTO,X,O,O,X,O,X
JLZISOT,X,O,O,X,O,X
JLZIOTS,X,O,O,X,O,X
JLZIOST,X,O,O,X,O,X
JLZSTIO,X,X,O,X,O,O
JLZSTOI,X,X,O,X,O,O
JLZSITO,X,X,O,X,O,O
JLZSIOT,X,X,O,X,O,O
JLZSOTI,X,X,O,X,O,O
JLZSOIT,X,X,O,X,O,O
JLZOTIS,X,O,O,X,O,X
JLZOTSI,X,X,O,X,O,X
JLZOITS,X,O,O,X,O,X
JLZOIST,X,O,O,X,O,X
JLZOSTI,X,X,O,X,O,O
JLZOSIT,X,X,O,X,O,O
JLOTISZ,X,O,X,X,X,X
JLOTIZS,X,O,X,X,X,X
JLOTSIZ,X,O,X,X,X,X
JLOTSZI,X,X,O,X,X,X
JLOTZIS,X,O,O,X,X,X
JLOTZSI,X,X,O,X,X,X
JLOITSZ,X,O,X,X,X,X
JLOITZS,X,O,X,X,X,X
JLOISTZ,X,O,X,X,X,X
JLOISZT,X,O,O,X,X,X
JLOIZTS,X,O,O,X,O,X
JLOIZST,X,O,O,X,O,X
JLOSTIZ,X,O,X,X,X,X
JLOSTZI,X,X,O,X,X,X
JLOSITZ,X,O,X,X,X,X
JLOSIZT,X,O,O,X,X,X
JLOSZTI,X,X,O,X,X,O
JLOSZIT,X,X,O,X,X,O
JLOZTIS,X,O,O,X,O,X
JLOZTSI,X,X,O,X,O,X
JLOZITS,X,O,O,X,O,X
JLOZIST,X,O,O,X,O,X
JLOZSTI,X,X,O,X,O,O
JLOZSIT,X,X,O,X,O,O
JSTILZO,O,O,X,O,X,X
JSTILOZ,O,O,X,O,X,X
JSTIZLO,X,X,O,O,X,X
JSTIZOL,O,X,O,O,X,X
JSTIOLZ,O,O,X,O,X,X
JSTIOZL,O,X,O,O,X,X
JSTLIZO,O,O,X,X,X,X
JSTLIOZ,O,O,X,X,X,X
JSTLZIO,O,X,O,X,X,X
JSTLZOI,O,X,O,X,X,X
JSTLOIZ,O,O,X,X,X,X
JSTLOZI,O,X,O,X,X,X
JSTZILO,X,X,O,X,X,X
JSTZIOL,O,X,O,X,X,X
JSTZLIO,O,X,O,X,X,X
JSTZLOI,O,X,O,X,X,X
JSTZOIL,O,X,O,X,X,X
JSTZOLI,O,X,O,X,X,X
JSTOILZ,O,O,X,O,X,X
JSTOIZL,O,X,O,O,X,X
JSTOLIZ,O,O,X,X,X,X
JSTOLZI,O,X,O,X,X,X
JSTOZIL,O,X,O,X,X,X
JSTOZLI,O,X,O,X,X,X
JSITLZO,O,O,X,O,X,X
JSITLOZ,O,O,X,O,X,X
JSITZLO,X,X,X,O,X,X
JSITZOL,O,X,X,O,X,X
JSITOLZ,O,O,X,O,X,X
JSITOZL,O,X,X,O,X,X
JSILTZO,X,O,X,O,X,X
JSILTOZ,X,O,X,O,X,X
JSILZTO,X,O,O,O,X,X
JSILZOT,X,O,O,O,X,X
JSILOTZ,X,O,X,O,X,X
JSILOZT,X,O,O,O,X,X
JSIZTLO,O,X,O,O,X,X
JSIZTOL,O,X,O,O,X,X
JSIZLTO,O,X,X,O,X,O
JSIZLOT,O,X,O,O,X,O
JSIZOTL,O,X,O,O,X,X
JSIZOLT,O,X,O,O,X,O
JSIOTLZ,O,O,X,O,X,X
JSIOTZL,O,X,X,O,X,X
JSIOLTZ,X,O,X,O,X,X
JSIOLZT,X,O,O,O,X,X
JSIOZTL,O,X,O,O,X,X
JSIOZLT,O,X,O,O,X,O
JSLTIZO,X,O,X,X,X,X
JSLTIOZ,X,O,X,X,X,X
JSLTZIO,X,X,O,X,X,X
JSLTZOI,X,X,O,X,X,X
JSLTOIZ,X,O,X,X,X,X
JSLTOZI,X,X,O,X,X,X
JSLITZO,X,O,X,O,X,X
JSLITOZ,X,O,X,O,X,X
JSLIZTO,X,O,O,O,X,X
JSLIZOT,X,O,O,O,X,X
JSLIOTZ,X,O,X,O,X,X
JSLIOZT,X,O,O,O,X,X
JSLZTIO,X,X,O,X,X,O
JSLZTOI,X,X,O,X,X,O
JSLZITO,X,X,O,X,X,O
JSLZIOT,X,X,O,X,X,O
JSLZOTI,X,X,O,X,X,O
JSLZOIT,X,X,O,X,X,O
JSLOTIZ,X,O,X,X,X,X
JSLOTZI,X,X,O,X,X,X
JSLOITZ,X,O,X,O,X,X
JSLOIZT,X,O,O,O,X,X
JSLOZTI,X,X,O,X,X,O
JSLOZIT,X,X,O,X,X,O
JSZTILO,O,X,O,X,X,X
JSZTIOL,O,X,O,X,X,X
JSZTLIO,O,X,O,X,X,X
JSZTLOI,O,X,O,X,X,X
JSZTOIL,O,X,O,X,X,X
JSZTOLI,O,X,O,X,X,X
JSZITLO,O,X,O,X,X,X
JSZITOL,O,X,O,X,X,X
JSZILTO,O,X,X,X,X,O
JSZILOT,O,X,O,X,X,O
JSZIOTL,O,X,O,X,X,X
JSZIOLT,O,X,O,X,X,O
JSZLTIO,O,X,O,X,X,O
JSZLTOI,O,X,O,X,X,O
JSZLITO,O,X,O,X,X,O
JSZLIOT,O,X,O,X,X,O
JSZLOTI,O,X,O,X,X,O
JSZLOIT,O,X,O,X,X,O
JSZOTIL,O,X,O,X,X,X
JSZOTLI,O,X,O,X,X,X
JSZOITL,O,X,O,X,X,X
JSZOILT,O,X,O,X,X,O
JSZOLTI,O,X,O,X,X,O
JSZOLIT,O,X,O,X,X,O
JSOTILZ,O,O,X,O,X,X
JSOTIZL,O,X,O,O,X,X
JSOTLIZ,O,O,X,X,X,X
JSOTLZI,O,X,O,X,X,X
JSOTZIL,O,X,O,X,X,X
JSOTZLI,O,X,O,X,X,X
JSOITLZ,O,O,X,O,X,X
JSOITZL,O,X,X,O,X,X
JSOILTZ,X,O,X,O,X,X
JSOILZT,X,O,O,O,X,X
JSOIZTL,O,X,O,O,X,X
JSOIZLT,O,X,O,O,X,O
JSOLTIZ,X,O,X,X,X,X
JSOLTZI,X,X,O,X,X,X
JSOLITZ,X,O,X,O,X,X
JSOLIZT,X,O,O,O,X,X
JSOLZTI,X,X,O,X,X,O
JSOLZIT,X,X,O,X,X,O
JSOZTIL,O,X,O,X,X,X
JSOZTLI,O,X,O,X,X,X
JSOZITL,O,X,O,X,X,X
JSOZILT,O,X,O,X,X,O
JSOZLTI,O,X,O,X,X,O
JSOZLIT,O,X,O,X,X,O
JZTILSO,O,O,X,X,O,X
JZTILOS,O,O,X,X,O,X
JZTISLO,O,X,X,X,X,X
JZTISOL,O,X,X,X,O,X
JZTIOLS,O,O,X,X,O,X
JZTIOSL,O,X,O,X,O,X
JZTLISO,O,O,X,X,O,X
JZTLIOS,O,O,X,X,O,X
JZTLSIO,O,X,X,X,O,X
JZTLSOI,O,X,X,X,O,X
JZTLOIS,O,O,X,X,O,X
JZTLOSI,O,X,X,X,O,X
JZTSILO,O,X,O,X,X,X
JZTSIOL,O,X,O,X,O,X
JZTSLIO,O,X,O,X,X,X
JZTSLOI,O,X,O,X,X,X
JZTSOIL,O,X,O,X,O,X
JZTSOLI,O,X,O,X,X,X
JZTOILS,O,O,X,X,O,X
JZTOISL,O,X,O,X,O,X
JZTOLIS,O,O,X,X,O,X
JZTOLSI,O,X,X,X,O,X
JZTOSIL,O,X,O,X,O,X
JZTOSLI,O,X,O,X,X,X
JZITLSO,X,O,X,X,O,X
JZITLOS,X,O,X,X,O,X
JZITSLO,X,X,X,X,X,X
JZITSOL,X,X,X,X,O,X
JZITOLS,X,O,X,X,O,X
JZITOSL,X,X,O,X,O,X
JZILTSO,X,O,X,X,O,X
JZILTOS,X,O,X,X,O,X
JZILSTO,X,O,X,X,O,X
JZILSOT,X,O,X,X,O,X
JZILOTS,X,O,X,X,O,X
JZILOST,X,O,O,X,O,X
JZISTLO,X,X,O,X,X,X
JZISTOL,X,X,O,X,O,X
JZISLTO,X,X,X,X,O,X
JZISLOT,X,X,O,X,O,X
JZISOTL,X,X,O,X,O,X
JZISOLT,X,X,O,X,O,X
JZIOTLS,X,O,X,X,O,X
JZIOTSL,X,X,O,X,O,X
JZIOLTS,X,O,X,X,O,X
JZIOLST,X,O,O,X,O,X
JZIOSTL,X,X,O,X,O,X
JZIOSLT,X,X,O,X,O,X
JZLTISO,X,O,X,X,O,X
JZLTIOS,X,O,O,X,O,X
JZLTSIO,O,X,O,X,O,X
JZLTSOI,O,X,O,X,O,X
JZLTOIS,X,O,O,X,O,X
JZLTOSI,O,X,O,X,O,X
JZLITSO,X,O,X,X,O,X
JZLITOS,X,O,O,X,O,X
JZLISTO,O,O,O,X,O,X
JZLISOT,O,O,O,X,O,X
JZLIOTS,X,O,O,X,O,X
JZLIOST,O,O,O,X,O,X
JZLSTIO,O,X,O,X,O,O
JZLSTOI,O,X,O,X,O,O
JZLSITO,O,X,O,X,O,O
JZLSIOT,O,X,O,X,O,O
JZLSOTI,O,X,O,X,O,O
JZLSOIT,O,X,O,X,O,O
JZLOTIS,X,O,O,X,O,X
JZLOTSI,O,X,O,X,O,X
JZLOITS,X,O,O,X,O,X
JZLOIST,O,O,O,X,O,X
JZLOSTI,O,X,O,X,O,O
JZLOSIT,O,X,O,X,O,O
JZSTILO,O,X,O,X,X,X
