sequence,v115@1gB8HeB8FeC8GeF8CeH8BeA8JeT6IvhFxcB6jBXhBF?nB8sBmsB,v115@1gB8HeB8FeC8GeF8CeH8BeA8JeT6IvhFxcB6jBXhBl?iBUnBetB,v115@1gB8HeB8FeC8GeF8CeH8BeA8JeT6IvhFxcB6jBVmBU?iBetB3sB,v115@1gB8HeB8FeC8GeF8CeH8BeA8JeT6IvhFehBCdBxiBU?nBFoBXtB,v115@1gB8HeB8FeC8GeF8CeH8BeA8JeT6IvhFehBRdBCiB/?sBFoBctB,v115@1gB8HeB8FeC8GeF8CeH8BeA8JeT6IvhFxcB6jBVmB3?iBetBUsB,v115@1gB8HeB8FeC8GeF8CeH8BeA8JeT6IvhF0cBxdBVmBG?jB/sBatB,v115@1gB8HeB8FeC8GeF8CeH8BeA8JeT6IvhFicBWjBRmBF?oBUnBXtB,v115@1gB8HeB8FeC8GeF8CeH8BeA8JeT6IvhF2hBXeBcoBR?mBqsBFsB,v115@1gB8HeB8FeC8GeF8CeH8BeA8JeT6IvhFxcB+jBVmBa?nBftB8sB,v115@1gB8HeB8FeC8GeF8CeH8BeA8JeT6IvhF0hBxiBXhBS?oBmsBlsB
LJZTOIS,X,O,O,O,X,O,X,X,X,X,X
LJZTOSI,X,O,O,O,X,O,X,X,X,X,X
LJZITSO,X,O,X,O,X,X,X,X,O,X,X
LJZITOS,X,O,X,O,X,X,X,X,O,X,X
LJZISTO,X,X,X,X,X,X,X,X,O,X,X
LJZISOT,X,X,X,O,X,X,X,X,O,X,X
LJZIOTS,X,O,X,O,X,X,X,X,O,X,O
LJZIOST,X,X,X,O,X,X,X,X,O,X,O
LJZSTIO,O,O,X,O,O,X,X,X,X,X,X
LJZSTOI,O,O,X,O,O,X,X,X,X,X,X
LJZSITO,X,O,X,X,X,X,X,X,O,X,X
LJZSIOT,O,O,X,O,X,X,X,X,O,X,X
LJZSOTI,O,O,X,O,O,X,X,X,X,X,X
LJZSOIT,O,O,X,O,X,X,X,X,O,X,X
LJZOTIS,X,O,O,O,X,O,X,X,X,X,X
LJZOTSI,X,O,O,O,X,O,X,X,X,X,X
LJZOITS,X,O,X,O,X,X,X,X,O,X,O
LJZOIST,X,X,X,O,X,X,X,X,O,X,O
LJZOSTI,O,O,X,O,O,X,X,X,X,X,X
LJZOSIT,O,O,X,O,X,X,X,X,O,X,X
LJOTISZ,X,O,O,X,X,O,X,X,X,X,X
LJOTIZS,X,O,O,X,X,O,O,X,X,X,X
LJOTSIZ,X,O,O,X,O,O,X,X,X,O,X
LJOTSZI,X,O,O,X,O,O,X,X,X,O,X
LJOTZIS,X,O,O,O,X,O,O,X,X,X,X
LJOTZSI,X,O,O,O,X,O,O,X,X,X,X
LJOITSZ,X,O,O,X,X,O,X,X,X,X,X
LJOITZS,X,O,O,X,X,O,O,X,O,X,X
LJOISTZ,X,O,X,X,O,X,X,X,X,X,X
LJOISZT,X,O,X,X,X,X,X,X,O,X,X
LJOIZTS,X,O,X,X,X,X,X,X,O,X,X
LJOIZST,X,X,X,X,X,X,X,X,O,X,X
LJOSTIZ,X,O,O,X,O,O,X,X,X,O,X
LJOSTZI,O,O,O,X,O,O,X,X,X,O,X
LJOSITZ,X,O,X,X,O,X,X,X,X,X,X
LJOSIZT,O,O,X,X,X,X,X,X,X,X,X
LJOSZTI,O,O,X,X,O,X,X,X,X,X,X
LJOSZIT,O,O,X,X,X,X,X,X,X,X,X
LJOZTIS,X,O,O,O,X,O,X,X,X,X,X
LJOZTSI,X,O,O,O,X,O,X,X,X,X,X
LJOZITS,X,O,X,O,X,X,X,X,O,X,O
LJOZIST,X,X,X,O,X,X,X,X,O,X,O
LJOZSTI,O,O,X,O,O,X,X,X,X,X,X
LJOZSIT,O,O,X,O,X,X,X,X,O,X,X
LSTIJZO,X,X,X,X,O,X,X,X,X,O,X
LSTIJOZ,X,X,X,X,O,X,X,X,X,O,X
LSTIZJO,O,X,X,X,X,X,X,X,X,X,X
LSTIZOJ,O,X,X,X,X,X,X,X,X,X,X
LSTIOJZ,X,O,O,X,O,O,X,X,X,O,X
LSTIOZJ,O,X,X,X,X,X,X,X,X,X,X
LSTJIZO,X,O,X,X,O,O,X,X,X,O,X
LSTJIOZ,X,O,O,X,O,O,X,X,X,O,X
LSTJZIO,O,O,O,X,O,O,X,X,X,O,X
LSTJZOI,O,O,O,X,O,O,X,X,X,O,X
LSTJOIZ,X,O,O,X,O,O,X,X,X,O,X
LSTJOZI,O,O,O,X,O,O,X,X,X,O,X
LSTZIJO,O,X,X,X,X,X,X,X,X,X,X
LSTZIOJ,O,X,X,X,X,X,X,X,X,X,X
LSTZJIO,O,X,X,X,O,X,X,X,X,O,X
LSTZJOI,O,X,X,X,O,X,X,X,X,O,X
LSTZOIJ,O,X,X,X,X,X,X,X,X,X,X
LSTZOJI,O,X,X,X,O,X,X,X,X,O,X
LSTOIJZ,X,O,O,X,O,O,X,X,X,O,X
LSTOIZJ,O,X,X,X,X,X,X,X,X,X,X
LSTOJIZ,X,O,O,X,O,O,X,X,X,O,X
LSTOJZI,O,O,O,X,O,O,X,X,X,O,X
LSTOZIJ,O,X,X,X,X,X,X,X,X,X,X
LSTOZJI,O,X,X,X,O,X,X,X,X,O,X
LSITJZO,X,X,X,X,O,X,X,X,X,X,X
LSITJOZ,X,X,X,X,O,X,X,X,X,X,X
LSITZJO,O,X,X,X,X,X,X,X,X,X,X
LSITZOJ,O,X,X,X,X,X,X,X,X,X,X
LSITOJZ,X,O,X,X,O,X,X,X,X,X,X
LSITOZJ,O,X,X,X,X,X,X,X,X,X,X
LSIJTZO,X,O,X,X,O,X,X,X,X,X,X
LSIJTOZ,X,O,X,X,O,X,X,X,X,X,X
LSIJZTO,X,O,X,X,X,X,X,X,O,X,X
LSIJZOT,X,O,X,X,X,X,X,X,O,X,X
LSIJOTZ,X,O,X,X,O,X,X,X,X,X,X
LSIJOZT,O,O,X,X,X,X,X,X,O,X,X
LSIZTJO,O,X,X,X,X,X,X,X,O,X,X
LSIZTOJ,O,X,X,X,X,X,X,X,O,X,X
LSIZJTO,X,O,X,X,X,X,X,X,O,X,X
LSIZJOT,O,O,X,X,X,X,X,X,O,X,X
LSIZOTJ,O,X,X,X,X,X,X,X,O,X,X
LSIZOJT,O,O,X,X,X,X,X,X,O,X,X
LSIOTJZ,X,O,X,X,O,X,X,X,X,X,X
LSIOTZJ,O,X,X,X,X,X,X,X,X,X,X
LSIOJTZ,X,O,X,X,O,X,X,X,X,X,X
LSIOJZT,O,O,X,X,X,X,X,X,O,X,X
LSIOZTJ,O,X,X,X,X,X,X,X,O,X,X
LSIOZJT,O,O,X,X,X,X,X,X,O,X,X
LSJTIZO,X,O,X,X,O,O,X,X,X,O,X
LSJTIOZ,X,O,O,X,O,O,X,X,X,O,X
LSJTZIO,O,O,O,X,O,O,X,X,X,O,X
LSJTZOI,O,O,O,X,O,O,X,X,X,O,X
LSJTOIZ,X,O,O,X,O,O,X,X,X,O,X
LSJTOZI,O,O,O,X,O,O,X,X,X,O,X
LSJITZO,X,O,X,X,O,X,X,X,X,X,X
LSJITOZ,X,O,X,X,O,X,X,X,X,X,X
LSJIZTO,X,O,X,X,X,X,X,X,X,X,X
LSJIZOT,X,O,X,X,X,X,X,X,X,X,X
LSJIOTZ,X,O,X,X,O,X,X,X,X,X,X
LSJIOZT,O,O,X,X,X,X,X,X,X,X,X
LSJZTIO,O,O,X,X,O,X,X,X,X,X,X
LSJZTOI,O,O,X,X,O,X,X,X,X,X,X
LSJZITO,X,O,X,X,X,X,X,X,X,X,X
LSJZIOT,O,O,X,X,X,X,X,X,X,X,X
LSJZOTI,O,O,X,X,O,X,X,X,X,X,X
LSJZOIT,O,O,X,X,X,X,X,X,X,X,X
LSJOTIZ,X,O,O,X,O,O,X,X,X,O,X
LSJOTZI,O,O,O,X,O,O,X,X,X,O,X
LSJOITZ,X,O,X,X,O,X,X,X,X,X,X
LSJOIZT,O,O,X,X,X,X,X,X,X,X,X
LSJOZTI,O,O,X,X,O,X,X,X,X,X,X
LSJOZIT,O,O,X,X,X,X,X,X,X,X,X
LSZTIJO,O,X,X,X,X,X,X,X,O,X,X
LSZTIOJ,O,X,X,X,X,X,X,X,O,X,X
LSZTJIO,O,X,X,X,O,X,X,X,X,X,X
LSZTJOI,O,X,X,X,O,X,X,X,X,X,X
LSZTOIJ,O,X,X,X,X,X,X,X,O,X,X
LSZTOJI,O,X,X,X,O,X,X,X,X,X,X
LSZITJO,O,X,X,X,X,X,X,X,O,X,X
LSZITOJ,O,X,X,X,X,X,X,X,O,X,X
LSZIJTO,X,O,X,X,X,X,X,X,O,X,X
LSZIJOT,O,O,X,X,X,X,X,X,O,X,X
LSZIOTJ,O,X,X,X,X,X,X,X,O,X,X
LSZIOJT,O,O,X,X,X,X,X,X,O,X,X
LSZJTIO,O,O,X,X,O,X,X,X,X,X,X
LSZJTOI,O,O,X,X,O,X,X,X,X,X,X
LSZJITO,X,O,X,X,X,X,X,X,O,X,X
LSZJIOT,O,O,X,X,X,X,X,X,O,X,X
LSZJOTI,O,O,X,X,O,X,X,X,X,X,X
LSZJOIT,O,O,X,X,X,X,X,X,O,X,X
LSZOTIJ,O,X,X,X,X,X,X,X,O,X,X
LSZOTJI,O,X,X,X,O,X,X,X,X,X,X
LSZOITJ,O,X,X,X,X,X,X,X,O,X,X
LSZOIJT,O,O,X,X,X,X,X,X,O,X,X
LSZOJTI,O,O,X,X,O,X,X,X,X,X,X
LSZOJIT,O,O,X,X,X,X,X,X,O,X,X
LSOTIJZ,X,O,O,X,O,O,X,X,X,O,X
LSOTIZJ,O,X,X,X,X,X,X,X,X,X,X
LSOTJIZ,X,O,O,X,O,O,X,X,X,O,X
LSOTJZI,O,O,O,X,O,O,X,X,X,O,X
LSOTZIJ,O,X,X,X,X,X,X,X,X,X,X
LSOTZJI,O,X,X,X,O,X,X,X,X,O,X
LSOITJZ,X,O,X,X,O,X,X,X,X,X,X
LSOITZJ,O,X,X,X,X,X,X,X,X,X,X
LSOIJTZ,X,O,X,X,O,X,X,X,X,X,X
LSOIJZT,O,O,X,X,X,X,X,X,O,X,X
LSOIZTJ,O,X,X,X,X,X,X,X,O,X,X
LSOIZJT,O,O,X,X,X,X,X,X,O,X,X
LSOJTIZ,X,O,O,X,O,O,X,X,X,O,X
LSOJTZI,O,O,O,X,O,O,X,X,X,O,X
LSOJITZ,X,O,X,X,O,X,X,X,X,X,X
LSOJIZT,O,O,X,X,X,X,X,X,X,X,X
LSOJZTI,O,O,X,X,O,X,X,X,X,X,X
LSOJZIT,O,O,X,X,X,X,X,X,X,X,X
LSOZTIJ,O,X,X,X,X,X,X,X,O,X,X
LSOZTJI,O,X,X,X,O,X,X,X,X,X,X
LSOZITJ,O,X,X,X,X,X,X,X,O,X,X
LSOZIJT,O,O,X,X,X,X,X,X,O,X,X
LSOZJTI,O,O,X,X,O,X,X,X,X,X,X
LSOZJIT,O,O,X,X,X,X,X,X,O,X,X
LZTIJSO,X,X,X,O,X,X,X,X,O,X,X
LZTIJOS,X,X,X,O,X,X,X,X,O,X,X
LZTISJO,X,X,X,X,X,X,X,X,O,X,X
LZTISOJ,X,X,X,X,X,X,X,X,O,X,X
LZTIOJS,X,X,O,O,X,O,X,X,O,X,X
LZTIOSJ,X,X,X,X,X,X,X,X,O,X,X
LZTJISO,X,O,O,O,X,X,X,X,X,X,X
LZTJIOS,X,O,O,O,X,O,X,X,X,X,X
LZTJSIO,X,O,O,O,X,O,X,X,X,X,X
LZTJSOI,X,O,O,O,X,O,X,X,X,X,X
LZTJOIS,X,O,O,O,X,O,X,X,X,X,X
LZTJOSI,X,O,O,O,X,O,X,X,X,X,X
LZTSIJO,O,X,X,X,X,X,X,X,O,X,X
LZTSIOJ,O,X,X,X,X,X,X,X,O,X,X
LZTSJIO,O,X,X,X,X,X,X,X,X,X,X
LZTSJOI,O,X,X,X,X,X,X,X,X,X,X
LZTSOIJ,O,X,X,X,X,X,X,X,O,X,X
LZTSOJI,O,X,X,X,X,X,X,X,X,X,X
LZTOIJS,X,X,O,O,X,O,X,X,O,X,X
LZTOISJ,X,X,X,X,X,X,X,X,O,X,X
LZTOJIS,X,O,O,O,X,O,X,X,X,X,X
LZTOJSI,X,O,O,O,X,O,X,X,X,X,X
LZTOSIJ,O,X,X,X,X,X,X,X,O,X,X
LZTOSJI,O,X,X,X,X,X,X,X,X,X,X
LZITJSO,X,X,X,X,X,X,X,X,O,X,X
LZITJOS,X,X,X,X,X,X,X,X,O,X,X
LZITSJO,X,X,X,X,X,X,X,X,O,X,X
LZITSOJ,X,X,X,X,X,X,X,X,O,X,X
LZITOJS,X,X,X,X,X,X,X,X,O,X,X
LZITOSJ,X,X,X,X,X,X,X,X,O,X,X
LZIJTSO,X,O,X,X,X,X,X,X,O,X,X
LZIJTOS,X,O,X,O,X,X,X,X,O,X,X
LZIJSTO,X,X,X,X,X,X,X,X,O,X,X
LZIJSOT,X,X,X,O,X,X,X,X,O,X,X
LZIJOTS,X,O,X,O,X,X,X,X,O,X,X
LZIJOST,X,X,X,O,X,X,X,X,O,X,X
LZISTJO,O,X,X,X,X,X,X,X,O,X,X
LZISTOJ,O,X,X,X,X,X,X,X,O,X,X
LZISJTO,X,X,X,X,X,X,X,X,O,X,X
LZISJOT,O,X,X,X,X,X,X,X,O,X,X
LZISOTJ,O,X,X,X,X,X,X,X,O,X,X
LZISOJT,O,X,X,X,X,X,X,X,O,X,X
LZIOTJS,X,X,X,X,X,X,X,X,O,X,X
LZIOTSJ,X,X,X,X,X,X,X,X,O,X,O
LZIOJTS,X,O,X,O,X,X,X,X,O,X,O
LZIOJST,X,X,X,O,X,X,X,X,O,X,O
LZIOSTJ,O,X,X,X,X,X,X,X,O,X,O
LZIOSJT,O,X,X,X,X,X,X,X,O,X,O
LZJTISO,X,O,O,O,X,X,X,X,X,X,X
LZJTIOS,X,O,O,O,X,O,X,X,X,X,X
LZJTSIO,X,O,O,O,X,O,X,X,X,X,X
LZJTSOI,X,O,O,O,X,O,X,X,X,X,X
LZJTOIS,X,O,O,O,X,O,X,X,X,X,X
LZJTOSI,X,O,O,O,X,O,X,X,X,X,X
LZJITSO,X,O,X,O,X,X,X,X,O,X,X
LZJITOS,X,O,X,O,X,X,X,X,O,X,X
LZJISTO,X,X,X,X,X,X,X,X,O,X,X
LZJISOT,X,X,X,O,X,X,X,X,O,X,X
LZJIOTS,X,O,X,O,X,X,X,X,O,X,O
LZJIOST,X,X,X,O,X,X,X,X,O,X,O
LZJSTIO,O,O,X,O,O,X,X,X,X,X,X
LZJSTOI,O,O,X,O,O,X,X,X,X,X,X
LZJSITO,X,O,X,X,X,X,X,X,O,X,X
LZJSIOT,O,O,X,O,X,X,X,X,O,X,X
LZJSOTI,O,O,X,O,O,X,X,X,X,X,X
LZJSOIT,O,O,X,O,X,X,X,X,O,X,X
LZJOTIS,X,O,O,O,X,O,X,X,X,X,X
LZJOTSI,X,O,O,O,X,O,X,X,X,X,X
LZJOITS,X,O,X,O,X,X,X,X,O,X,O
LZJOIST,X,X,X,O,X,X,X,X,O,X,O
LZJOSTI,O,O,X,O,O,X,X,X,X,X,X
LZJOSIT,O,O,X,O,X,X,X,X,O,X,X
LZSTIJO,O,X,X,X,X,X,X,X,O,X,X
LZSTIOJ,O,X,X,X,X,X,X,X,O,X,X
LZSTJIO,O,X,X,X,O,X,X,X,X,X,X
LZSTJOI,O,X,X,X,O,X,X,X,X,X,X
LZSTOIJ,O,X,X,X,X,X,X,X,O,X,X
LZSTOJI,O,X,X,X,O,X,X,X,X,X,X
LZSITJO,O,X,X,X,X,X,X,X,O,X,X
LZSITOJ,O,X,X,X,X,X,X,X,O,X,X
LZSIJTO,X,X,X,X,X,X,X,X,O,X,X
LZSIJOT,O,X,X,X,X,X,X,X,O,X,X
LZSIOTJ,O,X,X,X,X,X,X,X,O,X,X
LZSIOJT,O,O,X,X,X,X,X,X,O,X,X
LZSJTIO,O,O,X,X,O,X,X,X,X,X,X
LZSJTOI,O,O,X,X,O,X,X,X,X,X,X
LZSJITO,X,O,X,X,X,X,X,X,O,X,X
LZSJIOT,O,O,X,X,X,X,X,X,O,X,X
LZSJOTI,O,O,X,X,O,X,X,X,X,X,X
LZSJOIT,O,O,X,X,X,X,X,X,O,X,X
LZSOTIJ,O,X,X,X,X,X,X,X,O,X,X
LZSOTJI,O,X,X,X,O,X,X,X,X,X,X
LZSOITJ,O,X,X,X,X,X,X,X,O,X,X
LZSOIJT,O,O,X,X,X,X,X,X,O,X,X
LZSOJTI,O,O,X,X,O,X,X,X,X,X,X
LZSOJIT,O,O,X,X,X,X,X,X,O,X,X
LZOTIJS,X,X,O,O,X,O,X,X,O,X,X
LZOTISJ,X,X,X,X,X,X,X,X,O,X,X
LZOTJIS,X,O,O,O,X,O,X,X,X,X,X
LZOTJSI,X,O,O,O,X,O,X,X,X,X,X
LZOTSIJ,O,X,X,X,X,X,X,X,O,X,X
LZOTSJI,O,X,X,X,X,X,X,X,X,X,X
LZOITJS,X,X,X,X,X,X,X,X,O,X,X
LZOITSJ,X,X,X,X,X,X,X,X,O,X,O
LZOIJTS,X,O,X,O,X,X,X,X,O,X,O
LZOIJST,X,X,X,O,X,X,X,X,O,X,O
LZOISTJ,O,X,X,X,X,X,X,X,O,X,O
LZOISJT,O,X,X,X,X,X,X,X,O,X,O
LZOJTIS,X,O,O,O,X,O,X,X,X,X,X
LZOJTSI,X,O,O,O,X,O,X,X,X,X,X
LZOJITS,X,O,X,O,X,X,X,X,O,X,O
LZOJIST,X,X,X,O,X,X,X,X,O,X,O
LZOJSTI,O,O,X,O,O,X,X,X,X,X,X
LZOJSIT,O,O,X,O,X,X,X,X,O,X,X
LZOSTIJ,O,X,X,X,X,X,X,X,O,X,X
LZOSTJI,O,X,X,X,O,X,X,X,X,X,X
LZOSITJ,O,X,X,X,X,X,X,X,O,X,X
LZOSIJT,O,O,X,X,X,X,X,X,O,X,X
LZOSJTI,O,O,X,X,O,X,X,X,X,X,X
LZOSJIT,O,O,X,X,X,X,X,X,O,X,X
LOTIJSZ,X,X,O,X,X,O,X,X,X,X,X
LOTIJZS,X,X,O,X,X,O,X,O,O,X,X
LOTISJZ,X,X,O,X,X,O,X,X,X,O,X
LOTISZJ,X,X,X,X,X,X,X,O,X,X,X
LOTIZJS,X,X,O,X,X,O,X,O,O,X,X
LOTIZSJ,X,X,X,X,X,X,X,O,O,X,X
LOTJISZ,X,O,O,X,X,O,X,X,X,X,X
LOTJIZS,X,O,O,X,X,O,O,X,X,X,X
LOTJSIZ,X,O,O,X,O,O,X,X,X,O,X
LOTJSZI,X,O,O,X,O,O,X,X,X,O,X
LOTJZIS,X,O,O,O,X,O,O,X,X,X,X
LOTJZSI,X,O,O,O,X,O,O,X,X,X,X
LOTSIJZ,X,O,O,X,O,O,O,X,X,O,X
LOTSIZJ,O,X,X,X,X,X,O,X,X,X,X
LOTSJIZ,X,O,O,X,O,O,O,X,X,O,X
LOTSJZI,O,O,O,X,O,O,O,X,X,O,X
LOTSZIJ,O,X,X,X,X,X,O,X,X,X,X
LOTSZJI,O,X,X,X,O,X,O,X,X,O,X
LOTZIJS,X,X,O,O,X,O,O,X,O,X,X
LOTZISJ,X,X,X,X,X,X,O,X,O,X,X
LOTZJIS,X,O,O,O,X,O,O,X,X,X,X
LOTZJSI,X,O,O,O,X,O,O,X,X,X,X
LOTZSIJ,O,X,X,X,X,X,O,X,O,X,X
LOTZSJI,O,X,X,X,X,X,O,X,X,O,X
LOITJSZ,X,X,O,X,X,O,X,X,X,X,X
LOITJZS,X,X,O,X,X,O,X,O,O,X,X
LOITSJZ,X,X,O,X,X,O,X,X,X,X,X
LOITSZJ,X,X,X,X,X,X,X,O,X,X,X
LOITZJS,X,X,O,X,X,O,X,O,O,X,X
LOITZSJ,X,X,X,X,X,X,X,O,O,X,X
LOIJTSZ,X,O,O,X,X,O,X,X,X,X,X
LOIJTZS,X,O,O,X,X,O,X,O,O,X,X
LOIJSTZ,X,O,X,X,O,X,X,X,X,X,X
LOIJSZT,X,O,X,X,X,X,X,X,O,X,X
LOIJZTS,X,O,X,X,X,X,X,X,O,X,X
LOIJZST,X,X,X,X,X,X,X,X,O,X,X
LOISTJZ,X,O,X,X,O,X,X,X,X,X,X
LOISTZJ,O,X,X,X,X,X,X,O,X,X,X
LOISJTZ,X,O,X,X,O,X,X,X,X,X,X
LOISJZT,O,O,X,X,X,X,X,X,O,X,X
LOISZTJ,O,X,X,X,X,X,X,X,O,X,X
LOISZJT,O,O,X,X,X,X,X,X,O,X,X
LOIZTJS,X,X,X,X,X,X,X,O,O,X,X
LOIZTSJ,X,X,X,X,X,X,X,O,O,X,X
LOIZJTS,X,O,X,X,X,X,X,X,O,X,X
LOIZJST,X,X,X,X,X,X,X,X,O,X,X
LOIZSTJ,O,X,X,X,X,X,X,X,O,X,X
LOIZSJT,O,X,X,X,X,X,X,X,O,X,X
LOJTISZ,X,O,O,X,X,O,X,X,X,X,X
LOJTIZS,X,O,O,X,X,O,O,X,X,X,X
LOJTSIZ,X,O,O,X,O,O,X,X,X,O,X
LOJTSZI,X,O,O,X,O,O,X,X,X,O,X
LOJTZIS,X,O,O,O,X,O,O,X,X,X,X
LOJTZSI,X,O,O,O,X,O,O,X,X,X,X
LOJITSZ,X,O,O,X,X,O,X,X,X,X,X
LOJITZS,X,O,O,X,X,O,O,X,O,X,X
LOJISTZ,X,O,X,X,O,X,X,X,X,X,X
LOJISZT,X,O,X,X,X,X,X,X,O,X,X
LOJIZTS,X,O,X,X,X,X,X,X,O,X,X
LOJIZST,X,X,X,X,X,X,X,X,O,X,X
LOJSTIZ,X,O,O,X,O,O,X,X,X,O,X
LOJSTZI,O,O,O,X,O,O,X,X,X,O,X
LOJSITZ,X,O,X,X,O,X,X,X,X,X,X
LOJSIZT,O,O,X,X,X,X,X,X,X,X,X
LOJSZTI,O,O,X,X,O,X,X,X,X,X,X
LOJSZIT,O,O,X,X,X,X,X,X,X,X,X
LOJZTIS,X,O,O,O,X,O,X,X,X,X,X
LOJZTSI,X,O,O,O,X,O,X,X,X,X,X
LOJZITS,X,O,X,O,X,X,X,X,O,X,O
LOJZIST,X,X,X,O,X,X,X,X,O,X,O
LOJZSTI,O,O,X,O,O,X,X,X,X,X,X
LOJZSIT,O,O,X,O,X,X,X,X,O,X,X
LOSTIJZ,X,O,O,X,O,O,X,X,X,O,X
LOSTIZJ,O,X,X,X,X,X,X,X,X,X,X
LOSTJIZ,X,O,O,X,O,O,X,X,X,O,X
LOSTJZI,O,O,O,X,O,O,X,X,X,O,X
LOSTZIJ,O,X,X,X,X,X,X,X,X,X,X
LOSTZJI,O,X,X,X,O,X,X,X,X,O,X
LOSITJZ,X,O,X,X,O,X,X,X,X,X,X
LOSITZJ,O,X,X,X,X,X,X,X,X,X,X
LOSIJTZ,X,O,X,X,O,X,X,X,X,X,X
LOSIJZT,O,O,X,X,X,X,X,X,O,X,X
LOSIZTJ,O,X,X,X,X,X,X,X,O,X,X
LOSIZJT,O,O,X,X,X,X,X,X,O,X,X
LOSJTIZ,X,O,O,X,O,O,X,X,X,O,X
LOSJTZI,O,O,O,X,O,O,X,X,X,O,X
LOSJITZ,X,O,X,X,O,X,X,X,X,X,X
LOSJIZT,O,O,X,X,X,X,X,X,X,X,X
LOSJZTI,O,O,X,X,O,X,X,X,X,X,X
LOSJZIT,O,O,X,X,X,X,X,X,X,X,X
LOSZTIJ,O,X,X,X,X,X,X,X,O,X,X
LOSZTJI,O,X,X,X,O,X,X,X,X,X,X
LOSZITJ,O,X,X,X,X,X,X,X,O,X,X
LOSZIJT,O,O,X,X,X,X,X,X,O,X,X
LOSZJTI,O,O,X,X,O,X,X,X,X,X,X
LOSZJIT,O,O,X,X,X,X,X,X,O,X,X
LOZTIJS,X,X,O,O,X,O,X,X,O,X,X
LOZTISJ,X,X,X,X,X,X,X,X,O,X,X
LOZTJIS,X,O,O,O,X,O,X,X,X,X,X
LOZTJSI,X,O,O,O,X,O,X,X,X,X,X
LOZTSIJ,O,X,X,X,X,X,X,X,O,X,X
LOZTSJI,O,X,X,X,X,X,X,X,X,X,X
LOZITJS,X,X,X,X,X,X,X,X,O,X,X
LOZITSJ,X,X,X,X,X,X,X,X,O,X,O
LOZIJTS,X,O,X,O,X,X,X,X,O,X,O
LOZIJST,X,X,X,O,X,X,X,X,O,X,O
LOZISTJ,O,X,X,X,X,X,X,X,O,X,O
LOZISJT,O,X,X,X,X,X,X,X,O,X,O
LOZJTIS,X,O,O,O,X,O,X,X,X,X,X
LOZJTSI,X,O,O,O,X,O,X,X,X,X,X
LOZJITS,X,O,X,O,X,X,X,X,O,X,O
LOZJIST,X,X,X,O,X,X,X,X,O,X,O
LOZJSTI,O,O,X,O,O,X,X,X,X,X,X
LOZJSIT,O,O,X,O,X,X,X,X,O,X,X
LOZSTIJ,O,X,X,X,X,X,X,X,O,X,X
LOZSTJI,O,X,X,X,O,X,X,X,X,X,X
LOZSITJ,O,X,X,X,X,X,X,X,O,X,X
LOZSIJT,O,O,X,X,X,X,X,X,O,X,X
LOZSJTI,O,O,X,X,O,X,X,X,X,X,X
LOZSJIT,O,O,X,X,X,X,X,X,O,X,X
JTILSZO,X,O,X,X,X,O,X,X,X,X,X
JTILSOZ,X,O,O,X,X,O,X,X,X,X,X
JTILZSO,X,X,O,X,X,X,X,O,X,X,X
JTILZOS,X,O,O,X,X,O,O,O,X,X,X
JTILOSZ,X,O,O,X,X,O,X,X,X,X,X
JTILOZS,X,O,O,X,X,O,O,O,X,X,X
JTISLZO,X,O,X,X,X,O,X,X,X,O,X
JTISLOZ,X,O,O,X,X,O,X,X,X,O,X
JTISZLO,X,O,X,X,X,O,X,X,X,X,X
JTISZOL,X,O,X,X,X,O,O,X,X,X,X
JTISOLZ,X,O,O,X,X,O,X,X,X,O,X
JTISOZL,X,O,X,X,X,O,O,X,X,X,X
JTIZLSO,X,X,O,O,X,X,X,O,X,X,X
JTIZLOS,X,O,O,O,X,O,O,O,X,X,X
JTIZSLO,X,X,O,O,X,X,X,O,X,X,X
JTIZSOL,X,X,O,O,X,X,O,O,X,X,X
JTIZOLS,X,O,O,O,X,O,O,O,X,X,X
JTIZOSL,X,X,O,O,X,X,O,O,X,X,X
JTIOLSZ,X,O,O,X,X,O,X,X,X,X,X
JTIOLZS,X,O,O,X,X,O,O,O,X,X,X
JTIOSLZ,X,O,O,X,X,O,X,X,X,O,X
JTIOSZL,X,O,X,X,X,O,O,X,X,X,X
JTIOZLS,X,O,O,O,X,O,O,O,X,X,X
JTIOZSL,X,X,O,O,X,X,O,O,X,X,X
JTLISZO,X,O,X,X,X,O,X,X,X,X,X
JTLISOZ,X,O,O,X,X,O,X,X,X,X,X
JTLIZSO,X,X,O,X,X,X,X,X,X,X,X
JTLIZOS,X,O,O,X,X,O,O,X,X,X,X
JTLIOSZ,X,O,O,X,X,O,X,X,X,X,X
JTLIOZS,X,O,O,X,X,O,O,X,X,X,X
JTLSIZO,X,O,X,X,O,O,X,X,X,O,X
JTLSIOZ,X,O,O,X,O,O,X,X,X,O,X
JTLSZIO,X,O,O,X,O,O,X,X,X,O,X
JTLSZOI,X,O,O,X,O,O,X,X,X,O,X
JTLSOIZ,X,O,O,X,O,O,X,X,X,O,X
JTLSOZI,X,O,O,X,O,O,X,X,X,O,X
JTLZISO,X,O,O,O,X,X,X,X,X,X,X
JTLZIOS,X,O,O,O,X,O,O,X,X,X,X
JTLZSIO,X,O,O,O,X,O,X,X,X,X,X
JTLZSOI,X,O,O,O,X,O,X,X,X,X,X
JTLZOIS,X,O,O,O,X,O,O,X,X,X,X
JTLZOSI,X,O,O,O,X,O,O,X,X,X,X
