sequence,v115@6gC8GeC8FeD8AeA8CeF8DeE8JeZ/IvhFqfBmbBzcBF?mBXqB0qB,v115@6gC8GeC8FeD8AeA8CeF8DeE8Jei6IvhFRcBckBlgB3?hBeqBzqB,v115@6gC8GeC8FeD8AeA8CeF8DeE8JeZ/IvhFqfBmbBzcBF?mB0qBXqB,v115@6gC8GeC8FeD8AeA8CeF8DeE8JeZ/IvhFFbB8gBzcBf?lBOrBSvB,v115@6gC8GeC8FeD8AeA8CeF8DeE8JeZ/IvhFXcB8hBzfBa?rBGlBVvB,v115@6gC8GeC8FeD8AeA8CeF8DeE8JeZ/IvhF3bBzcBUlBF?mBupByvB,v115@6gC8GeC8FeD8AeA8CeF8DeE8JeZ/IvhFmcBflBlgBc?mBqqBzpB,v115@6gC8GeC8FeD8AeA8CeF8DeE8Jei7IvhFOkBRhB3hBF?lBzqB0pB
LIOJTSZ,O,X,O,O,X,X,X,X
LIOJTZS,O,X,O,O,X,X,X,X
LIOJSTZ,O,X,X,O,X,X,X,X
LIOJSZT,X,X,X,O,X,X,X,X
LIOJZTS,X,X,O,O,X,X,X,X
LIOJZST,X,X,X,O,O,X,X,X
LIOSTJZ,O,X,O,X,X,X,X,X
LIOSTZJ,O,X,O,O,X,X,X,X
LIOSJTZ,O,X,X,O,X,X,X,X
LIOSJZT,X,X,X,O,X,X,X,X
LIOSZTJ,O,X,O,O,O,X,X,X
LIOSZJT,X,X,X,O,O,X,X,X
LIOZTJS,O,X,O,X,O,O,X,X
LIOZTSJ,O,X,O,O,O,O,X,X
LIOZJTS,X,X,O,X,X,X,X,X
LIOZJST,X,X,X,O,O,X,X,X
LIOZSTJ,O,X,O,O,O,X,X,X
LIOZSJT,X,X,X,O,O,X,X,X
LJTISZO,O,X,X,O,X,X,X,X
LJTISOZ,O,X,O,O,X,X,X,X
LJTIZSO,X,O,O,O,X,X,X,X
LJTIZOS,O,O,O,O,X,X,X,X
LJTIOSZ,O,X,O,O,X,X,X,X
LJTIOZS,O,X,O,O,X,X,X,X
LJTSIZO,X,O,X,O,X,X,X,X
LJTSIOZ,O,X,O,O,X,X,X,X
LJTSZIO,X,O,X,O,X,X,X,X
LJTSZOI,X,O,X,O,X,X,X,X
LJTSOIZ,O,X,O,O,X,X,X,X
LJTSOZI,X,X,X,O,X,X,X,X
LJTZISO,X,O,X,O,X,X,X,X
LJTZIOS,O,O,O,O,X,X,X,X
LJTZSIO,X,O,X,O,X,X,X,X
LJTZSOI,X,O,X,O,X,X,X,X
LJTZOIS,O,O,O,O,X,X,X,X
LJTZOSI,X,O,X,O,X,X,X,X
LJTOISZ,O,X,O,O,X,X,X,X
LJTOIZS,O,X,O,O,X,X,X,X
LJTOSIZ,O,X,O,O,X,X,X,X
LJTOSZI,X,X,X,O,X,X,X,X
LJTOZIS,O,X,O,O,X,X,X,X
LJTOZSI,X,X,X,O,X,X,X,X
LJITSZO,O,X,X,O,X,X,X,X
LJITSOZ,O,X,O,O,X,X,X,X
LJITZSO,X,X,O,O,X,X,X,X
LJITZOS,O,X,O,O,X,X,X,X
LJITOSZ,O,X,O,O,X,X,X,X
LJITOZS,O,X,O,O,X,X,X,X
LJISTZO,O,X,X,O,X,X,X,X
LJISTOZ,O,X,X,O,X,X,X,X
LJISZTO,X,X,X,O,X,X,O,X
LJISZOT,X,X,X,O,X,X,X,X
LJISOTZ,O,X,X,O,X,X,X,X
LJISOZT,X,X,X,O,X,X,X,X
LJIZTSO,X,X,O,O,X,X,X,X
LJIZTOS,X,X,O,O,X,X,X,X
LJIZSTO,X,X,X,O,X,X,O,X
LJIZSOT,X,X,X,O,O,X,X,X
LJIZOTS,X,X,O,O,X,X,X,X
LJIZOST,X,X,X,O,O,X,X,X
LJIOTSZ,O,X,O,O,X,X,X,X
LJIOTZS,O,X,O,O,X,X,X,X
LJIOSTZ,O,X,X,O,X,X,X,X
LJIOSZT,X,X,X,O,X,X,X,X
LJIOZTS,X,X,O,O,X,X,X,X
LJIOZST,X,X,X,O,O,X,X,X
LJSTIZO,O,O,X,O,X,X,X,X
LJSTIOZ,O,X,X,O,X,X,X,X
LJSTZIO,O,O,X,O,X,X,X,X
LJSTZOI,O,O,X,O,X,X,X,X
LJSTOIZ,O,X,X,O,X,X,X,X
LJSTOZI,O,X,X,O,X,X,X,X
LJSITZO,O,X,X,O,X,X,X,X
LJSITOZ,O,X,X,O,X,X,X,X
LJSIZTO,X,O,X,O,X,X,O,X
LJSIZOT,X,O,X,O,X,X,X,X
LJSIOTZ,O,X,X,O,X,X,X,X
LJSIOZT,X,X,X,O,X,X,X,X
LJSZTIO,X,O,X,O,X,X,O,X
LJSZTOI,X,O,X,O,X,X,X,X
LJSZITO,X,O,X,O,X,X,O,X
LJSZIOT,X,O,X,O,X,X,X,X
LJSZOTI,X,O,X,O,X,X,X,X
LJSZOIT,X,O,X,O,X,X,X,X
LJSOTIZ,O,X,X,O,X,X,X,X
LJSOTZI,O,X,X,O,X,X,X,X
LJSOITZ,O,X,X,O,X,X,X,X
LJSOIZT,X,X,X,O,X,X,X,X
LJSOZTI,X,X,X,O,X,X,X,X
LJSOZIT,X,X,X,O,X,X,X,X
LJZTISO,X,O,O,O,X,X,X,X
LJZTIOS,X,O,O,O,X,X,X,X
LJZTSIO,X,O,O,O,X,X,X,X
LJZTSOI,X,O,O,O,X,X,X,X
LJZTOIS,X,O,O,O,X,X,X,X
LJZTOSI,X,O,O,O,X,X,X,X
LJZITSO,X,O,O,O,X,X,X,X
LJZITOS,X,O,O,O,X,X,X,X
LJZISTO,X,O,X,O,X,X,O,X
LJZISOT,X,O,X,O,O,X,X,X
LJZIOTS,X,O,O,O,X,X,X,X
LJZIOST,X,O,X,O,O,X,X,X
LJZSTIO,X,O,X,O,X,X,O,X
LJZSTOI,X,O,X,O,X,X,X,X
LJZSITO,X,O,X,O,X,X,O,X
LJZSIOT,X,O,X,O,O,X,X,X
LJZSOTI,X,O,X,O,X,X,X,X
LJZSOIT,X,O,X,O,O,X,X,X
LJZOTIS,X,O,O,O,X,X,X,X
LJZOTSI,X,O,O,O,X,X,X,X
LJZOITS,X,O,O,O,X,X,X,X
LJZOIST,X,O,X,O,O,X,X,X
LJZOSTI,X,O,X,O,X,X,X,X
LJZOSIT,X,O,X,O,O,X,X,X
LJOTISZ,O,X,O,O,X,X,X,O
LJOTIZS,O,O,O,O,X,X,X,O
LJOTSIZ,O,O,O,O,X,X,X,O
LJOTSZI,X,O,X,O,X,X,X,X
LJOTZIS,O,O,O,O,X,X,X,O
LJOTZSI,X,O,X,O,X,X,X,X
LJOITSZ,O,X,O,O,X,X,X,X
LJOITZS,O,X,O,O,X,X,X,X
LJOISTZ,O,X,X,O,X,X,X,X
LJOISZT,X,X,X,O,X,X,X,X
LJOIZTS,X,X,O,O,X,X,X,X
LJOIZST,X,X,X,O,O,X,X,X
LJOSTIZ,O,O,X,O,X,X,X,X
LJOSTZI,O,O,X,O,X,X,X,X
LJOSITZ,O,X,X,O,X,X,X,X
LJOSIZT,X,O,X,O,X,X,X,X
LJOSZTI,X,O,X,O,X,X,X,X
LJOSZIT,X,O,X,O,X,X,X,X
LJOZTIS,X,O,O,O,X,X,X,X
LJOZTSI,X,O,O,O,X,X,X,X
LJOZITS,X,O,O,O,X,X,X,X
LJOZIST,X,O,X,O,O,X,X,X
LJOZSTI,X,O,X,O,X,X,X,X
LJOZSIT,X,O,X,O,O,X,X,X
LSTIJZO,O,X,X,O,X,X,X,X
LSTIJOZ,O,X,O,O,X,X,X,X
LSTIZJO,O,X,O,O,X,X,X,X
LSTIZOJ,O,X,O,O,X,X,X,X
LSTIOJZ,O,X,O,X,X,X,X,X
LSTIOZJ,O,X,O,O,X,X,X,X
LSTJIZO,O,X,X,O,X,X,X,X
LSTJIOZ,O,X,O,O,X,X,X,X
LSTJZIO,O,X,X,O,X,X,X,X
LSTJZOI,O,X,X,O,X,X,X,X
LSTJOIZ,O,X,O,O,X,X,X,X
LSTJOZI,O,X,X,O,X,X,X,X
LSTZIJO,O,X,X,O,X,X,X,X
LSTZIOJ,O,X,X,O,X,X,X,X
LSTZJIO,O,X,X,O,X,X,X,X
LSTZJOI,O,X,X,O,X,X,X,X
LSTZOIJ,O,X,X,O,X,X,X,X
LSTZOJI,O,X,X,O,X,X,X,X
LSTOIJZ,O,X,O,X,X,X,X,X
LSTOIZJ,O,X,O,O,X,X,X,X
LSTOJIZ,O,X,O,X,X,X,X,X
LSTOJZI,O,X,X,X,X,X,X,X
LSTOZIJ,O,X,X,O,X,X,X,X
LSTOZJI,O,X,X,O,X,X,X,X
LSITJZO,O,X,X,O,X,X,X,X
LSITJOZ,O,X,O,O,X,X,X,X
LSITZJO,O,X,O,O,X,X,X,X
LSITZOJ,O,X,O,O,X,X,X,X
LSITOJZ,O,X,O,X,X,X,X,X
LSITOZJ,O,X,O,O,X,X,X,X
LSIJTZO,O,X,X,O,X,X,X,X
LSIJTOZ,O,X,X,O,X,X,X,X
LSIJZTO,X,O,X,O,X,X,O,X
LSIJZOT,X,O,X,O,X,X,X,X
LSIJOTZ,O,X,X,O,X,X,X,X
LSIJOZT,X,X,X,O,X,X,X,X
LSIZTJO,O,O,O,O,X,X,O,X
LSIZTOJ,O,O,O,O,O,X,X,X
LSIZJTO,X,O,X,O,X,X,O,X
LSIZJOT,X,O,X,O,O,X,X,X
LSIZOTJ,O,O,O,O,O,X,X,X
LSIZOJT,X,O,X,O,O,X,X,X
LSIOTJZ,O,X,O,X,X,X,X,X
LSIOTZJ,O,X,O,O,X,X,X,X
LSIOJTZ,O,X,X,O,X,X,X,X
LSIOJZT,X,O,X,O,X,X,X,X
LSIOZTJ,O,O,O,O,O,X,X,X
LSIOZJT,X,O,X,O,O,X,X,X
LSJTIZO,O,O,X,O,X,X,X,X
LSJTIOZ,O,X,X,O,X,X,X,X
LSJTZIO,O,O,X,O,X,X,X,X
LSJTZOI,O,O,X,O,X,X,X,X
LSJTOIZ,O,X,X,O,X,X,X,X
LSJTOZI,O,X,X,O,X,X,X,X
LSJITZO,O,X,X,O,X,X,X,X
LSJITOZ,O,X,X,O,X,X,X,X
LSJIZTO,X,O,X,O,X,X,O,X
LSJIZOT,X,O,X,O,X,X,X,X
LSJIOTZ,O,X,X,O,X,X,X,X
LSJIOZT,X,X,X,O,X,X,X,X
LSJZTIO,X,O,X,O,X,X,O,X
LSJZTOI,X,O,X,O,X,X,X,X
LSJZITO,X,O,X,O,X,X,O,X
LSJZIOT,X,O,X,O,X,X,X,X
LSJZOTI,X,O,X,O,X,X,X,X
LSJZOIT,X,O,X,O,X,X,X,X
LSJOTIZ,O,X,X,O,X,X,X,X
LSJOTZI,O,X,X,O,X,X,X,X
LSJOITZ,O,X,X,O,X,X,X,X
LSJOIZT,X,X,X,O,X,X,X,X
LSJOZTI,X,X,X,O,X,X,X,X
LSJOZIT,X,X,X,O,X,X,X,X
LSZTIJO,O,O,O,O,X,X,O,X
LSZTIOJ,O,O,O,O,O,X,X,X
LSZTJIO,O,O,O,O,X,X,O,X
LSZTJOI,O,O,O,O,X,X,X,X
LSZTOIJ,O,X,O,O,O,X,X,X
LSZTOJI,O,X,O,O,X,X,X,X
LSZITJO,O,O,O,O,X,X,O,X
LSZITOJ,O,O,O,O,O,X,X,X
LSZIJTO,X,O,X,O,X,X,O,X
LSZIJOT,X,O,X,O,O,X,X,X
LSZIOTJ,O,O,O,O,O,X,X,X
LSZIOJT,X,O,X,O,O,X,X,X
LSZJTIO,X,O,X,O,X,X,O,X
LSZJTOI,X,O,X,O,X,X,X,X
LSZJITO,X,O,X,O,X,X,O,X
LSZJIOT,X,O,X,O,O,X,X,X
LSZJOTI,X,O,X,O,X,X,X,X
LSZJOIT,X,O,X,O,O,X,X,X
LSZOTIJ,O,O,O,O,O,X,X,X
LSZOTJI,O,X,O,O,X,X,X,X
LSZOITJ,O,O,O,O,O,X,X,X
LSZOIJT,X,O,X,O,O,X,X,X
LSZOJTI,X,O,X,O,X,X,X,X
LSZOJIT,X,O,X,O,O,X,X,X
LSOTIJZ,O,X,O,X,X,X,X,X
LSOTIZJ,O,X,O,O,X,X,X,X
LSOTJIZ,O,X,O,X,X,X,X,X
LSOTJZI,O,X,X,X,X,X,X,X
LSOTZIJ,O,X,X,O,X,X,X,X
LSOTZJI,O,X,X,O,X,X,X,X
LSOITJZ,O,X,O,X,X,X,X,X
LSOITZJ,O,X,O,O,X,X,X,X
LSOIJTZ,O,X,X,O,X,X,X,X
LSOIJZT,X,O,X,O,X,X,X,X
LSOIZTJ,O,O,O,O,O,X,X,X
LSOIZJT,X,O,X,O,O,X,X,X
LSOJTIZ,O,O,X,O,X,X,X,X
LSOJTZI,O,O,X,O,X,X,X,X
LSOJITZ,O,X,X,O,X,X,X,X
LSOJIZT,X,O,X,O,X,X,X,X
LSOJZTI,X,O,X,O,X,X,X,X
LSOJZIT,X,O,X,O,X,X,X,X
LSOZTIJ,O,O,O,O,O,X,X,X
LSOZTJI,O,X,O,O,X,X,X,X
LSOZITJ,O,O,O,O,O,X,X,X
LSOZIJT,X,O,X,O,O,X,X,X
LSOZJTI,X,O,X,O,X,X,X,X
LSOZJIT,X,O,X,O,O,X,X,X
LZTIJSO,X,X,O,X,O,O,X,X
LZTIJOS,O,X,O,X,O,O,X,X
LZTISJO,O,X,O,O,O,O,X,X
LZTISOJ,O,X,O,O,O,O,X,X
LZTIOJS,O,X,O,X,O,O,X,X
LZTIOSJ,O,X,O,O,O,O,X,X
LZTJISO,X,O,O,X,O,X,X,X
LZTJIOS,O,O,O,X,O,X,X,X
LZTJSIO,X,O,O,X,O,X,X,X
LZTJSOI,X,O,O,X,O,X,X,X
LZTJOIS,O,O,O,X,O,X,X,X
LZTJOSI,X,O,O,X,O,X,X,X
LZTSIJO,X,O,O,O,O,O,X,X
LZTSIOJ,X,O,O,O,O,O,X,X
LZTSJIO,X,O,O,O,O,X,X,X
LZTSJOI,X,O,O,O,O,X,X,X
LZTSOIJ,X,X,O,O,O,O,X,X
LZTSOJI,X,X,O,O,O,X,X,X
LZTOIJS,O,X,O,X,O,O,X,X
LZTOISJ,O,X,O,O,O,O,X,X
LZTOJIS,O,O,O,X,O,X,X,X
LZTOJSI,X,O,O,X,O,X,X,X
LZTOSIJ,X,O,O,O,O,O,X,X
LZTOSJI,X,X,O,O,O,X,X,X
LZITJSO,X,X,O,X,O,O,X,X
LZITJOS,O,X,O,X,O,O,X,X
LZITSJO,O,X,O,O,O,O,X,X
LZITSOJ,O,X,O,O,O,O,X,X
LZITOJS,O,X,O,X,O,O,X,X
LZITOSJ,O,X,O,O,O,O,X,X
LZIJTSO,X,O,O,O,X,X,X,X
LZIJTOS,X,O,O,O,X,X,X,X
LZIJSTO,X,O,X,O,X,X,O,X
LZIJSOT,X,O,X,O,O,X,X,X
LZIJOTS,X,O,O,O,X,X,X,X
LZIJOST,X,O,X,O,O,X,X,X
LZISTJO,O,O,O,O,X,X,O,X
LZISTOJ,O,O,O,O,O,X,X,X
LZISJTO,X,O,X,O,X,X,O,X
LZISJOT,X,O,X,O,O,X,X,X
LZISOTJ,O,O,O,O,O,X,X,X
LZISOJT,X,O,X,O,O,X,X,X
LZIOTJS,O,X,O,X,O,O,X,X
LZIOTSJ,O,X,O,O,O,O,X,X
LZIOJTS,X,O,O,X,X,X,X,X
LZIOJST,X,O,X,O,O,X,X,X
LZIOSTJ,O,O,O,O,O,X,X,X
LZIOSJT,X,O,X,O,O,X,X,X
LZJTISO,X,O,O,O,X,X,X,X
LZJTIOS,X,O,O,O,X,X,X,X
LZJTSIO,X,O,O,O,X,X,X,X
LZJTSOI,X,O,O,O,X,X,X,X
LZJTOIS,X,O,O,O,X,X,X,X
LZJTOSI,X,O,O,O,X,X,X,X
LZJITSO,X,O,O,O,X,X,X,X
LZJITOS,X,O,O,O,X,X,X,X
LZJISTO,X,O,X,O,X,X,O,X
LZJISOT,X,O,X,O,O,X,X,X
LZJIOTS,X,O,O,O,X,X,X,X
LZJIOST,X,O,X,O,O,X,X,X
LZJSTIO,X,O,X,O,X,X,O,X
LZJSTOI,X,O,X,O,X,X,X,X
LZJSITO,X,O,X,O,X,X,O,X
LZJSIOT,X,O,X,O,O,X,X,X
LZJSOTI,X,O,X,O,X,X,X,X
LZJSOIT,X,O,X,O,O,X,X,X
LZJOTIS,X,O,O,O,X,X,X,X
LZJOTSI,X,O,O,O,X,X,X,X
LZJOITS,X,O,O,O,X,X,X,X
LZJOIST,X,O,X,O,O,X,X,X
LZJOSTI,X,O,X,O,X,X,X,X
LZJOSIT,X,O,X,O,O,X,X,X
LZSTIJO,O,O,O,O,X,X,O,X
LZSTIOJ,O,O,O,O,O,X,X,X
LZSTJIO,O,O,O,O,X,X,O,X
LZSTJOI,O,O,O,O,X,X,X,X
LZSTOIJ,O,X,O,O,O,X,X,X
LZSTOJI,O,X,O,O,X,X,X,X
LZSITJO,O,O,O,O,X,X,O,X
LZSITOJ,O,O,O,O,O,X,X,X
LZSIJTO,X,O,X,O,X,X,O,X
LZSIJOT,X,O,X,O,O,X,X,X
LZSIOTJ,O,O,O,O,O,X,X,X
LZSIOJT,X,O,X,O,O,X,X,X
LZSJTIO,X,O,X,O,X,X,O,X
LZSJTOI,X,O,X,O,X,X,X,X
LZSJITO,X,O,X,O,X,X,O,X
LZSJIOT,X,O,X,O,O,X,X,X
LZSJOTI,X,O,X,O,X,X,X,X
LZSJOIT,X,O,X,O,O,X,X,X
LZSOTIJ,O,O,O,O,O,X,X,X
LZSOTJI,O,X,O,O,X,X,X,X
LZSOITJ,O,O,O,O,O,X,X,X
LZSOIJT,X,O,X,O,O,X,X,X
LZSOJTI,X,O,X,O,X,X,X,X
LZSOJIT,X,O,X,O,O,X,X,X
LZOTIJS,O,X,O,X,O,O,X,X
LZOTISJ,O,X,O,O,O,O,X,X
LZOTJIS,O,O,O,X,O,X,X,X
LZOTJSI,X,O,O,X,O,X,X,X
LZOTSIJ,X,O,O,O,O,O,X,X
LZOTSJI,X,X,O,O,O,X,X,X
LZOITJS,O,X,O,X,O,O,X,X
LZOITSJ,O,X,O,O,O,O,X,X
LZOIJTS,X,O,O,X,X,X,X,X
LZOIJST,X,O,X,O,O,X,X,X
LZOISTJ,O,O,O,O,O,X,X,X
LZOISJT,X,O,X,O,O,X,X,X
LZOJTIS,X,O,O,X,X,X,X,X
LZOJTSI,X,O,O,X,X,X,X,X
LZOJITS,X,O,O,X,X,X,X,X
LZOJIST,X,O,X,O,O,X,X,X
LZOJSTI,X,O,X,O,X,X,X,X
LZOJSIT,X,O,X,O,O,X,X,X
LZOSTIJ,O,O,O,O,O,X,X,X
LZOSTJI,O,X,O,O,X,X,X,X
LZOSITJ,O,O,O,O,O,X,X,X
LZOSIJT,X,O,X,O,O,X,X,X
LZOSJTI,X,O,X,O,X,X,X,X
LZOSJIT,X,O,X,O,O,X,X,X
LOTIJSZ,O,X,O,X,X,X,X,O
LOTIJZS,O,X,O,X,O,X,X,O
LOTISJZ,O,X,O,X,X,X,X,O
LOTISZJ,O,X,O,O,O,X,X,X
LOTIZJS,O,X,O,X,O,O,X,O
LOTIZSJ,O,X,O,O,O,O,X,X
LOTJISZ,O,X,O,X,X,X,X,O
LOTJIZS,O,X,O,X,O,X,X,O
LOTJSIZ,O,X,O,X,X,X,X,O
LOTJSZI,O,X,X,X,X,X,X,X
LOTJZIS,O,X,O,X,O,X,X,O
LOTJZSI,X,X,X,X,O,X,X,X
LOTSIJZ,O,X,O,X,X,X,X,O
LOTSIZJ,O,X,O,O,O,X,X,X
LOTSJIZ,O,X,O,X,X,X,X,O
LOTSJZI,O,X,X,X,X,X,X,X
LOTSZIJ,O,X,X,O,O,X,X,X
LOTSZJI,O,X,X,O,O,X,X,X
LOTZIJS,O,X,O,X,O,O,X,O
LOTZISJ,O,X,O,O,O,O,X,X
LOTZJIS,O,X,O,X,O,X,X,O
LOTZJSI,X,X,O,X,O,X,X,X
LOTZSIJ,X,X,O,O,O,O,X,X
LOTZSJI,X,X,O,O,O,X,X,X
LOITJSZ,O,X,O,X,X,X,X,O
LOITJZS,O,X,O,X,O,X,X,O
LOITSJZ,O,X,O,X,X,X,X,O
LOITSZJ,O,X,O,O,O,X,X,X
LOITZJS,O,X,O,X,O,O,X,O
LOITZSJ,O,X,O,O,O,O,X,X
LOIJTSZ,O,X,O,O,X,X,X,O
LOIJTZS,O,X,O,O,X,X,X,O
LOIJSTZ,O,X,X,O,X,X,X,X
LOIJSZT,X,X,X,O,X,X,X,X
LOIJZTS,X,X,O,O,X,X,X,X
LOIJZST,X,X,X,O,O,X,X,X
LOISTJZ,O,X,O,X,X,X,X,O
LOISTZJ,O,X,O,O,X,X,X,X
LOISJTZ,O,X,X,O,X,X,X,X
LOISJZT,X,X,X,O,X,X,X,X
LOISZTJ,O,X,O,O,O,X,X,X
LOISZJT,X,X,X,O,O,X,X,X
LOIZTJS,O,X,O,X,O,O,X,O
LOIZTSJ,O,X,O,O,O,O,X,X
LOIZJTS,X,X,O,X,X,X,X,X
LOIZJST,X,X,X,O,O,X,X,X
LOIZSTJ,O,X,O,O,O,X,X,X
LOIZSJT,X,X,X,O,O,X,X,X
LOJTISZ,O,X,O,O,X,X,X,O
LOJTIZS,O,O,O,O,X,X,X,O
LOJTSIZ,O,O,O,O,X,X,X,O
LOJTSZI,X,O,X,O,X,X,X,X
LOJTZIS,O,O,O,O,X,X,X,O
LOJTZSI,X,O,X,O,X,X,X,X
LOJITSZ,O,X,O,O,X,X,X,X
LOJITZS,O,X,O,O,X,X,X,X
LOJISTZ,O,X,X,O,X,X,X,X
LOJISZT,X,X,X,O,X,X,X,X
LOJIZTS,X,X,O,O,X,X,X,X
LOJIZST,X,X,X,O,O,X,X,X
LOJSTIZ,O,O,X,O,X,X,X,X
LOJSTZI,O,O,X,O,X,X,X,X
LOJSITZ,O,X,X,O,X,X,X,X
LOJSIZT,X,O,X,O,X,X,X,X
LOJSZTI,X,O,X,O,X,X,X,X
LOJSZIT,X,O,X,O,X,X,X,X
LOJZTIS,X,O,O,O,X,X,X,X
LOJZTSI,X,O,O,O,X,X,X,X
LOJZITS,X,O,O,O,X,X,X,X
LOJZIST,X,O,X,O,O,X,X,X
LOJZSTI,X,O,X,O,X,X,X,X
LOJZSIT,X,O,X,O,O,X,X,X
LOSTIJZ,O,X,O,X,X,X,X,X
LOSTIZJ,O,X,O,O,X,X,X,X
LOSTJIZ,O,X,O,X,X,X,X,X
LOSTJZI,O,X,X,X,X,X,X,X
LOSTZIJ,O,X,X,O,X,X,X,X
LOSTZJI,O,X,X,O,X,X,X,X
LOSITJZ,O,X,O,X,X,X,X,X
LOSITZJ,O,X,O,O,X,X,X,X
LOSIJTZ,O,X,X,O,X,X,X,X
LOSIJZT,X,O,X,O,X,X,X,X
LOSIZTJ,O,O,O,O,O,X,X,X
LOSIZJT,X,O,X,O,O,X,X,X
LOSJTIZ,O,O,X,O,X,X,X,X
LOSJTZI,O,O,X,O,X,X,X,X
LOSJITZ,O,X,X,O,X,X,X,X
LOSJIZT,X,O,X,O,X,X,X,X
LOSJZTI,X,O,X,O,X,X,X,X
LOSJZIT,X,O,X,O,X,X,X,X
LOSZTIJ,O,O,O,O,O,X,X,X
LOSZTJI,O,X,O,O,X,X,X,X
LOSZITJ,O,O,O,O,O,X,X,X
LOSZIJT,X,O,X,O,O,X,X,X
LOSZJTI,X,O,X,O,X,X,X,X
LOSZJIT,X,O,X,O,O,X,X,X
LOZTIJS,O,X,O,X,O,O,X,X
LOZTISJ,O,X,O,O,O,O,X,X
LOZTJIS,O,O,O,X,O,X,X,X
LOZTJSI,X,O,O,X,O,X,X,X
LOZTSIJ,X,O,O,O,O,O,X,X
LOZTSJI,X,X,O,O,O,X,X,X
LOZITJS,O,X,O,X,O,O,X,X
LOZITSJ,O,X,O,O,O,O,X,X
LOZIJTS,X,O,O,X,X,X,X,X
LOZIJST,X,O,X,O,O,X,X,X
LOZISTJ,O,O,O,O,O,X,X,X
LOZISJT,X,O,X,O,O,X,X,X
LOZJTIS,X,O,O,X,X,X,X,X
LOZJTSI,X,O,O,X,X,X,X,X
LOZJITS,X,O,O,X,X,X,X,X
LOZJIST,X,O,X,O,O,X,X,X
LOZJSTI,X,O,X,O,X,X,X,X
LOZJSIT,X,O,X,O,O,X,X,X
LOZSTIJ,O,O,O,O,O,X,X,X
LOZSTJI,O,X,O,O,X,X,X,X
LOZSITJ,O,O,O,O,O,X,X,X
LOZSIJT,X,O,X,O,O,X,X,X
LOZSJTI,X,O,X,O,X,X,X,X
LOZSJIT,X,O,X,O,O,X,X,X
JTILSZO,O,X,X,O,X,X,X,X
JTILSOZ,O,X,O,O,X,X,X,X
JTILZSO,X,O,O,O,O,X,X,X
JTILZOS,O,O,O,O,O,X,X,X
JTILOSZ,O,X,O,O,X,X,X,X
JTILOZS,O,X,O,O,O,X,X,X
JTISLZO,O,O,X,X,X,X,X,X
JTISLOZ,O,X,O,X,X,X,X,X
JTISZLO,O,O,X,O,X,X,O,X
JTISZOL,O,O,X,O,X,X,O,X
JTISOLZ,O,X,O,X,X,X,X,X
JTISOZL,O,O,X,O,X,X,X,X
JTIZLSO,X,O,X,X,O,O,X,X
JTIZLOS,O,O,O,X,O,O,X,X
JTIZSLO,X,O,X,O,X,O,O,X
JTIZSOL,X,O,X,O,X,O,O,X
JTIZOLS,O,O,O,X,O,O,X,X
JTIZOSL,X,X,X,O,X,O,X,X
JTIOLSZ,O,X,O,O,X,X,X,X
JTIOLZS,O,X,O,O,O,X,X,X
JTIOSLZ,O,X,O,X,X,X,X,X
JTIOSZL,O,X,X,O,X,X,X,X
JTIOZLS,O,O,O,X,O,O,X,X
JTIOZSL,X,X,X,O,X,O,X,X
JTLISZO,O,X,X,O,X,X,X,X
JTLISOZ,O,X,O,O,X,X,X,X
JTLIZSO,X,O,O,O,O,X,X,X
JTLIZOS,O,O,O,O,O,X,X,X
JTLIOSZ,O,X,O,O,X,X,X,X
JTLIOZS,O,X,O,O,O,X,X,X
JTLSIZO,O,O,X,O,X,X,X,X
JTLSIOZ,O,X,O,O,X,X,X,X
JTLSZIO,O,O,X,O,X,X,X,X
JTLSZOI,O,O,X,O,X,X,X,X
JTLSOIZ,O,X,O,O,X,X,X,X
JTLSOZI,O,X,X,O,X,X,X,X
JTLZISO,X,O,X,O,O,X,X,X
JTLZIOS,O,O,O,O,O,X,X,X
JTLZSIO,X,O,X,O,O,X,X,X
JTLZSOI,X,O,X,O,O,X,X,X
JTLZOIS,O,O,O,O,O,X,X,X
JTLZOSI,X,O,X,O,O,X,X,X
JTLOISZ,O,X,O,O,X,X,X,X
JTLOIZS,O,X,O,O,O,X,X,X
JTLOSIZ,O,X,O,O,X,X,X,X
JTLOSZI,O,X,X,O,X,X,X,X
JTLOZIS,O,X,O,O,O,X,X,X
JTLOZSI,X,X,X,O,O,X,X,X
JTSILZO,O,O,X,X,X,X,X,X
JTSILOZ,O,X,O,X,X,X,X,X
JTSIZLO,O,O,X,O,X,X,O,X
JTSIZOL,O,O,X,O,X,X,O,X
JTSIOLZ,O,X,O,X,X,X,X,X
JTSIOZL,O,O,X,O,X,X,X,X
JTSLIZO,O,O,X,X,X,X,X,X
JTSLIOZ,O,X,O,X,X,X,X,X
JTSLZIO,O,O,X,X,X,X,X,X
JTSLZOI,O,O,X,X,X,X,X,X
JTSLOIZ,O,X,O,X,X,X,X,X
JTSLOZI,O,X,X,X,X,X,X,X
JTSZILO,O,O,X,O,X,X,O,X
JTSZIOL,O,O,X,O,X,X,O,X
JTSZLIO,O,O,X,O,X,X,O,X
JTSZLOI,O,O,X,O,X,X,X,X
JTSZOIL,O,O,X,O,X,X,O,X
JTSZOLI,O,O,X,O,X,X,X,X
