sequence,v115@0gC8GeC8GeD8FeE8DeG8MeZ/IvhFicB9iBTeBfnB8s?B+tB,v115@0gC8GeC8GeD8FeE8DeG8MeZ/IvhFTcBeiBtiB6jB/t?B0sB,v115@0gC8GeC8GeD8FeE8DeG8MeZ/IvhF/hBaiBGeBUjB9s?BTtB,v115@0gC8GeC8GeD8FeE8DeG8MeZ/IvhFTcB0dBdnBSoBGt?BXtB,v115@0gC8GeC8GeD8FeE8DeG8MeZ/IvhFicBTeBfnBGoBUt?B9sB,v115@0gC8GeC8GeD8FeE8DeG8MeZ/IvhFTcB/iBGeBNoBUn?BSyB,v115@0gC8GeC8GeD8FeE8DeG8MeZ/IvhFmcB6jB0hB3nBTt?BtsB,v115@0gC8GeC8GeD8FeE8DeG8MeZ/IvhFTcBXeBdnBCtB+t?B0sB,v115@0gC8GeC8GeD8FeE8DeG8MeZ/IvhFTcBcjBXiBtsB+t?BisB
LTZOISJ,X,X,X,X,X,O,X,X,X
LTZOJIS,X,X,X,X,X,O,X,X,X
LTZOJSI,X,X,X,X,X,O,X,X,X
LTZOSIJ,X,X,X,X,X,O,X,X,X
LTZOSJI,X,X,X,X,X,O,X,X,X
LTOIJSZ,X,X,X,O,X,X,X,O,X
LTOIJZS,X,X,X,O,X,O,X,O,X
LTOISJZ,X,X,O,X,X,X,X,O,X
LTOISZJ,X,X,O,X,X,O,X,X,X
LTOIZJS,X,X,O,X,X,O,X,O,X
LTOIZSJ,X,X,O,X,X,O,X,X,X
LTOJISZ,X,X,X,O,X,X,X,O,X
LTOJIZS,X,X,X,O,X,O,X,O,X
LTOJSIZ,X,X,X,O,X,X,X,X,X
LTOJSZI,X,X,X,O,X,X,X,X,X
LTOJZIS,X,X,X,O,X,O,X,X,X
LTOJZSI,X,X,X,O,X,O,X,X,X
LTOSIJZ,X,X,O,X,X,X,X,O,X
LTOSIZJ,X,X,O,X,X,O,X,X,X
LTOSJIZ,X,X,O,X,X,X,X,X,X
LTOSJZI,X,X,O,X,X,X,X,X,X
LTOSZIJ,X,X,O,X,X,O,X,X,X
LTOSZJI,X,X,O,X,X,O,X,X,X
LTOZIJS,X,X,O,X,X,O,X,O,X
LTOZISJ,X,X,O,X,X,O,X,X,X
LTOZJIS,X,X,O,X,X,O,X,X,X
LTOZJSI,X,X,O,X,X,O,X,X,X
LTOZSIJ,X,X,O,X,X,O,X,X,X
LTOZSJI,X,X,O,X,X,O,X,X,X
LITJSZO,O,X,X,O,X,X,X,O,X
LITJSOZ,X,X,X,O,X,X,X,O,X
LITJZSO,O,X,X,O,X,O,X,O,X
LITJZOS,X,X,X,O,X,O,X,O,X
LITJOSZ,X,X,X,O,X,X,X,O,X
LITJOZS,X,X,X,O,X,O,X,O,X
LITSJZO,O,X,O,X,X,X,X,O,X
LITSJOZ,X,X,O,X,X,X,X,O,X
LITSZJO,X,X,O,X,O,O,X,X,X
LITSZOJ,X,X,O,X,X,O,X,X,X
LITSOJZ,X,X,O,X,X,X,X,O,X
LITSOZJ,X,X,O,X,X,O,X,X,X
LITZJSO,X,X,O,X,X,O,X,O,X
LITZJOS,X,X,X,X,X,O,X,O,X
LITZSJO,X,X,O,X,O,O,X,X,X
LITZSOJ,X,X,O,X,X,O,X,X,X
LITZOJS,X,X,X,X,X,O,X,O,X
LITZOSJ,X,X,X,X,X,O,X,X,X
LITOJSZ,X,X,X,O,X,X,X,O,X
LITOJZS,X,X,X,O,X,O,X,O,X
LITOSJZ,X,X,O,X,X,X,X,O,X
LITOSZJ,X,X,O,X,X,O,X,X,X
LITOZJS,X,X,O,X,X,O,X,O,X
LITOZSJ,X,X,O,X,X,O,X,X,X
LIJTSZO,O,X,X,O,X,X,X,O,O
LIJTSOZ,X,X,X,O,X,X,X,O,O
LIJTZSO,O,X,X,O,X,O,X,O,O
LIJTZOS,X,X,X,O,X,O,X,O,X
LIJTOSZ,X,X,X,O,X,X,X,O,X
LIJTOZS,X,X,X,O,X,O,X,O,X
LIJSTZO,O,O,X,O,X,X,X,X,X
LIJSTOZ,X,O,X,O,X,X,X,X,X
LIJSZTO,O,X,X,X,O,X,X,X,X
LIJSZOT,O,X,X,X,O,X,X,X,X
LIJSOTZ,X,O,X,X,X,X,X,X,X
LIJSOZT,O,X,X,X,X,X,X,X,X
LIJZTSO,O,X,X,O,X,O,X,X,O
LIJZTOS,O,X,X,O,X,O,X,X,X
LIJZSTO,O,O,X,X,O,O,X,X,X
LIJZSOT,O,O,X,X,O,O,X,X,X
LIJZOTS,O,X,X,X,X,O,X,X,X
LIJZOST,O,O,X,X,X,O,X,X,X
LIJOTSZ,X,X,X,O,X,X,X,O,X
LIJOTZS,X,X,X,O,X,O,X,O,X
LIJOSTZ,X,O,X,X,X,X,X,X,X
LIJOSZT,O,X,X,X,X,X,X,X,X
LIJOZTS,O,X,X,X,X,O,X,X,X
LIJOZST,O,O,X,X,X,O,X,X,X
LISTJZO,O,O,O,X,X,X,X,O,X
LISTJOZ,X,O,O,X,X,X,X,O,X
LISTZJO,X,O,O,X,O,O,X,X,X
LISTZOJ,X,X,O,X,X,O,X,X,X
LISTOJZ,X,O,O,X,X,X,X,O,X
LISTOZJ,X,X,O,X,X,O,X,X,X
LISJTZO,O,O,O,X,X,X,X,X,X
LISJTOZ,X,O,O,X,X,X,X,X,X
LISJZTO,O,X,X,X,O,X,X,X,X
LISJZOT,O,X,X,X,O,X,X,X,X
LISJOTZ,X,O,X,X,X,X,X,X,X
LISJOZT,O,X,X,X,X,X,X,X,X
LISZTJO,X,O,O,X,O,O,X,X,X
LISZTOJ,X,X,O,X,X,O,X,X,X
LISZJTO,O,X,X,X,O,O,X,X,X
LISZJOT,O,X,X,X,O,O,X,X,X
LISZOTJ,X,X,X,X,X,O,X,X,X
LISZOJT,X,X,X,X,O,O,X,X,X
LISOTJZ,X,O,O,X,X,X,X,O,X
LISOTZJ,X,X,O,X,X,O,X,X,X
LISOJTZ,X,O,X,X,X,X,X,X,X
LISOJZT,O,X,X,X,X,X,X,X,X
LISOZTJ,X,X,X,X,X,O,X,X,X
LISOZJT,X,X,X,X,O,O,X,X,X
LIZTJSO,X,X,X,X,X,O,X,O,X
LIZTJOS,X,X,X,X,X,O,X,O,X
LIZTSJO,X,X,X,X,O,O,X,X,X
LIZTSOJ,X,X,X,X,X,O,X,X,X
LIZTOJS,X,X,X,X,X,O,X,O,X
LIZTOSJ,X,X,X,X,X,O,X,X,X
LIZJTSO,O,X,X,X,X,O,X,X,X
LIZJTOS,X,X,X,X,X,O,X,X,X
LIZJSTO,O,O,X,X,O,O,X,X,X
LIZJSOT,O,O,X,X,O,O,X,X,X
LIZJOTS,X,X,X,X,X,O,X,X,X
LIZJOST,O,O,X,X,O,O,X,X,X
LIZSTJO,X,O,X,X,O,O,X,X,X
LIZSTOJ,X,O,X,X,X,O,X,X,X
LIZSJTO,O,O,X,X,O,O,X,X,X
LIZSJOT,O,O,X,X,O,O,X,X,X
LIZSOTJ,X,O,X,X,X,O,X,X,X
LIZSOJT,X,O,X,X,O,O,X,X,X
LIZOTJS,X,X,X,X,X,O,X,O,X
LIZOTSJ,X,X,X,X,X,O,O,X,X
LIZOJTS,X,X,X,X,X,O,X,X,X
LIZOJST,X,O,X,X,X,O,O,X,X
LIZOSTJ,X,X,X,X,X,O,O,X,X
LIZOSJT,X,O,X,X,O,O,O,X,X
LIOTJSZ,X,X,X,O,X,X,X,O,X
LIOTJZS,X,X,X,O,X,O,X,O,X
LIOTSJZ,X,X,O,X,X,X,X,O,X
LIOTSZJ,X,X,O,X,X,O,O,X,X
LIOTZJS,X,X,O,X,X,O,X,O,X
LIOTZSJ,X,X,O,X,X,O,O,X,X
LIOJTSZ,X,X,X,O,X,X,X,O,X
LIOJTZS,X,X,X,O,X,O,X,O,X
LIOJSTZ,X,O,X,X,X,X,X,X,X
LIOJSZT,O,X,X,X,X,X,O,X,X
LIOJZTS,X,X,X,X,X,O,X,X,X
LIOJZST,O,O,X,X,X,O,O,X,X
LIOSTJZ,X,X,O,X,X,X,X,O,X
LIOSTZJ,X,X,O,X,X,O,O,X,X
LIOSJTZ,X,O,X,X,X,X,X,X,X
LIOSJZT,O,X,X,X,X,X,O,X,X
LIOSZTJ,X,X,X,X,X,O,O,X,X
LIOSZJT,X,X,X,X,O,O,O,X,X
LIOZTJS,X,X,X,X,X,O,X,O,X
LIOZTSJ,X,X,X,X,X,O,O,X,X
LIOZJTS,X,X,X,X,X,O,X,X,X
LIOZJST,X,O,X,X,X,O,O,X,X
LIOZSTJ,X,X,X,X,X,O,O,X,X
LIOZSJT,X,O,X,X,O,O,O,X,X
LJTISZO,O,X,X,O,X,X,X,O,O
LJTISOZ,X,X,X,O,X,X,X,O,O
LJTIZSO,O,X,X,O,X,O,X,O,O
LJTIZOS,X,X,X,O,X,O,X,O,X
LJTIOSZ,X,X,X,O,X,X,X,O,X
LJTIOZS,X,X,X,O,X,O,X,O,X
LJTSIZO,O,X,X,O,X,X,X,X,O
LJTSIOZ,X,X,X,O,X,X,X,X,O
LJTSZIO,O,X,X,O,X,X,X,X,O
LJTSZOI,O,X,X,O,X,X,X,X,O
LJTSOIZ,X,X,X,O,X,X,X,X,O
LJTSOZI,X,X,X,O,X,X,X,X,O
LJTZISO,O,X,X,O,X,O,X,X,O
LJTZIOS,X,X,X,O,X,O,X,X,X
LJTZSIO,O,X,X,O,X,O,X,X,O
LJTZSOI,O,X,X,O,X,O,X,X,O
LJTZOIS,X,X,X,O,X,O,X,X,X
LJTZOSI,X,X,X,O,X,O,X,X,X
LJTOISZ,X,X,X,O,X,X,X,O,X
LJTOIZS,X,X,X,O,X,O,X,O,X
LJTOSIZ,X,X,X,O,X,X,X,X,X
LJTOSZI,X,X,X,O,X,X,X,X,X
LJTOZIS,X,X,X,O,X,O,X,X,X
LJTOZSI,X,X,X,O,X,O,X,X,X
LJITSZO,O,X,X,O,X,X,X,O,O
LJITSOZ,X,X,X,O,X,X,X,O,O
LJITZSO,O,X,X,O,X,O,X,O,O
LJITZOS,X,X,X,O,X,O,X,O,X
LJITOSZ,X,X,X,O,X,X,X,O,X
LJITOZS,X,X,X,O,X,O,X,O,X
LJISTZO,O,O,X,O,X,X,X,X,X
LJISTOZ,X,O,X,O,X,X,X,X,X
LJISZTO,O,X,X,X,O,X,X,X,X
LJISZOT,O,X,X,X,O,X,X,X,X
LJISOTZ,X,O,X,X,X,X,X,X,X
LJISOZT,O,X,X,X,X,X,X,X,X
LJIZTSO,O,X,X,O,X,O,X,X,O
LJIZTOS,O,X,X,O,X,O,X,X,X
LJIZSTO,O,O,X,X,O,O,X,X,X
LJIZSOT,O,O,X,X,O,O,X,X,X
LJIZOTS,O,X,X,X,X,O,X,X,X
LJIZOST,O,O,X,X,X,O,X,X,X
LJIOTSZ,X,X,X,O,X,X,X,O,X
LJIOTZS,X,X,X,O,X,O,X,O,X
LJIOSTZ,X,O,X,X,X,X,X,X,X
LJIOSZT,O,X,X,X,X,X,X,X,X
LJIOZTS,O,X,X,X,X,O,X,X,X
LJIOZST,O,O,X,X,X,O,X,X,X
LJSTIZO,O,O,X,O,X,X,X,X,X
LJSTIOZ,X,O,X,O,X,X,X,X,X
LJSTZIO,O,O,X,O,X,X,X,X,X
LJSTZOI,O,O,X,O,X,X,X,X,X
LJSTOIZ,X,O,X,O,X,X,X,X,X
LJSTOZI,X,O,X,O,X,X,X,X,X
LJSITZO,O,O,X,O,X,X,X,X,X
LJSITOZ,X,O,X,O,X,X,X,X,X
LJSIZTO,O,X,X,X,O,X,X,X,X
LJSIZOT,O,X,X,X,O,X,X,X,X
LJSIOTZ,X,O,X,X,X,X,X,X,X
LJSIOZT,O,X,X,X,X,X,X,X,X
LJSZTIO,O,X,X,X,O,X,X,X,X
LJSZTOI,O,X,X,X,X,X,X,X,X
LJSZITO,O,X,X,X,O,X,X,X,X
LJSZIOT,O,X,X,X,O,X,X,X,X
LJSZOTI,O,X,X,X,X,X,X,X,X
LJSZOIT,O,X,X,X,O,X,X,X,X
LJSOTIZ,X,O,X,X,X,X,X,X,X
LJSOTZI,X,O,X,X,X,X,X,X,X
LJSOITZ,X,O,X,X,X,X,X,X,X
LJSOIZT,O,X,X,X,X,X,X,X,X
LJSOZTI,O,X,X,X,X,X,X,X,X
LJSOZIT,O,X,X,X,X,X,X,X,X
LJZTISO,O,X,X,O,X,O,X,X,O
LJZTIOS,O,X,X,O,X,O,X,X,X
LJZTSIO,O,X,X,O,X,O,X,X,O
LJZTSOI,O,X,X,O,X,O,X,X,O
LJZTOIS,O,X,X,O,X,O,X,X,X
LJZTOSI,O,X,X,O,X,O,X,X,X
LJZITSO,O,X,X,O,X,O,X,X,O
LJZITOS,O,X,X,O,X,O,X,X,X
LJZISTO,O,O,X,X,O,O,X,X,X
LJZISOT,O,O,X,X,O,O,X,X,X
LJZIOTS,O,X,X,X,X,O,X,X,X
LJZIOST,O,O,X,X,X,O,X,X,X
LJZSTIO,O,O,X,X,O,O,X,X,X
LJZSTOI,O,O,X,X,X,O,X,X,X
LJZSITO,O,O,X,X,O,O,X,X,X
LJZSIOT,O,O,X,X,O,O,X,X,X
LJZSOTI,O,O,X,X,X,O,X,X,X
LJZSOIT,O,O,X,X,O,O,X,X,X
LJZOTIS,O,X,X,X,X,O,X,X,X
LJZOTSI,O,X,X,X,X,O,X,X,X
LJZOITS,O,X,X,X,X,O,X,X,X
LJZOIST,O,O,X,X,X,O,X,X,X
LJZOSTI,O,O,X,X,X,O,X,X,X
LJZOSIT,O,O,X,X,X,O,X,X,X
LJOTISZ,X,X,X,O,X,X,X,O,X
LJOTIZS,X,X,X,O,X,O,X,O,X
LJOTSIZ,X,X,X,O,X,X,X,X,X
LJOTSZI,X,X,X,O,X,X,X,X,X
LJOTZIS,X,X,X,O,X,O,X,X,X
LJOTZSI,X,X,X,O,X,O,X,X,X
LJOITSZ,X,X,X,O,X,X,X,O,X
LJOITZS,X,X,X,O,X,O,X,O,X
LJOISTZ,X,O,X,X,X,X,X,X,X
LJOISZT,O,X,X,X,X,X,X,X,X
LJOIZTS,O,X,X,X,X,O,X,X,X
LJOIZST,O,O,X,X,X,O,X,X,X
LJOSTIZ,X,O,X,X,X,X,X,X,X
LJOSTZI,X,O,X,X,X,X,X,X,X
LJOSITZ,X,O,X,X,X,X,X,X,X
LJOSIZT,O,X,X,X,X,X,X,X,X
LJOSZTI,O,X,X,X,X,X,X,X,X
LJOSZIT,O,X,X,X,X,X,X,X,X
LJOZTIS,O,X,X,X,X,O,X,X,X
LJOZTSI,O,X,X,X,X,O,X,X,X
LJOZITS,O,X,X,X,X,O,X,X,X
LJOZIST,O,O,X,X,X,O,X,X,X
LJOZSTI,O,O,X,X,X,O,X,X,X
LJOZSIT,O,O,X,X,X,O,X,X,X
LSTIJZO,O,O,O,X,X,X,X,O,X
LSTIJOZ,X,O,O,X,X,X,X,O,X
LSTIZJO,X,O,O,X,O,O,X,X,X
LSTIZOJ,X,X,O,X,X,O,X,X,X
LSTIOJZ,X,O,O,X,X,X,X,O,X
LSTIOZJ,X,X,O,X,X,O,X,X,X
LSTJIZO,O,O,O,X,X,X,X,X,X
LSTJIOZ,X,O,O,X,X,X,X,X,X
LSTJZIO,O,O,O,X,X,X,X,X,X
LSTJZOI,O,O,O,X,X,X,X,X,X
LSTJOIZ,X,O,O,X,X,X,X,X,X
LSTJOZI,X,O,O,X,X,X,X,X,X
LSTZIJO,X,O,O,X,O,O,X,X,X
LSTZIOJ,X,X,O,X,X,O,X,X,X
LSTZJIO,X,O,O,X,O,O,X,X,X
LSTZJOI,X,O,O,X,X,O,X,X,X
LSTZOIJ,X,X,O,X,X,O,X,X,X
LSTZOJI,X,X,O,X,X,O,X,X,X
LSTOIJZ,X,O,O,X,X,X,X,O,X
LSTOIZJ,X,X,O,X,X,O,X,X,X
LSTOJIZ,X,O,O,X,X,X,X,X,X
LSTOJZI,X,O,O,X,X,X,X,X,X
LSTOZIJ,X,X,O,X,X,O,X,X,X
LSTOZJI,X,X,O,X,X,O,X,X,X
LSITJZO,O,O,O,X,X,X,X,O,X
LSITJOZ,X,O,O,X,X,X,X,O,X
LSITZJO,X,O,O,X,O,O,X,X,X
LSITZOJ,X,X,O,X,X,O,X,X,X
LSITOJZ,X,O,O,X,X,X,X,O,X
LSITOZJ,X,X,O,X,X,O,X,X,X
LSIJTZO,O,O,O,X,X,X,X,X,X
LSIJTOZ,X,O,O,X,X,X,X,X,X
LSIJZTO,O,X,X,X,O,X,X,X,X
LSIJZOT,O,X,X,X,O,X,X,X,X
LSIJOTZ,X,O,X,X,X,X,X,X,X
LSIJOZT,O,X,X,X,X,X,X,X,X
LSIZTJO,X,O,O,X,O,O,X,X,X
LSIZTOJ,X,X,O,X,X,O,X,X,X
LSIZJTO,O,X,X,X,O,O,X,X,X
LSIZJOT,O,X,X,X,O,O,X,X,X
LSIZOTJ,X,X,X,X,X,O,X,X,X
LSIZOJT,X,X,X,X,O,O,X,X,X
LSIOTJZ,X,O,O,X,X,X,X,O,X
LSIOTZJ,X,X,O,X,X,O,X,X,X
LSIOJTZ,X,O,X,X,X,X,X,X,X
LSIOJZT,O,X,X,X,X,X,X,X,X
LSIOZTJ,X,X,X,X,X,O,X,X,X
LSIOZJT,X,X,X,X,O,O,X,X,X
LSJTIZO,O,O,O,X,X,X,X,X,X
LSJTIOZ,X,O,O,X,X,X,X,X,X
LSJTZIO,O,O,O,X,X,X,X,X,X
LSJTZOI,O,O,O,X,X,X,X,X,X
LSJTOIZ,X,O,O,X,X,X,X,X,X
LSJTOZI,X,O,O,X,X,X,X,X,X
LSJITZO,O,O,O,X,X,X,X,X,X
LSJITOZ,X,O,O,X,X,X,X,X,X
LSJIZTO,O,X,X,X,O,X,X,X,X
LSJIZOT,O,X,X,X,O,X,X,X,X
LSJIOTZ,X,O,X,X,X,X,X,X,X
LSJIOZT,O,X,X,X,X,X,X,X,X
LSJZTIO,O,X,X,X,O,X,X,X,X
LSJZTOI,O,X,X,X,X,X,X,X,X
LSJZITO,O,X,X,X,O,X,X,X,X
LSJZIOT,O,X,X,X,O,X,X,X,X
LSJZOTI,O,X,X,X,X,X,X,X,X
LSJZOIT,O,X,X,X,O,X,X,X,X
LSJOTIZ,X,O,X,X,X,X,X,X,X
LSJOTZI,X,O,X,X,X,X,X,X,X
LSJOITZ,X,O,X,X,X,X,X,X,X
LSJOIZT,O,X,X,X,X,X,X,X,X
LSJOZTI,O,X,X,X,X,X,X,X,X
LSJOZIT,O,X,X,X,X,X,X,X,X
LSZTIJO,X,O,O,X,O,O,X,X,X
LSZTIOJ,X,X,O,X,X,O,X,X,X
LSZTJIO,X,O,O,X,O,O,X,X,X
LSZTJOI,X,O,O,X,X,O,X,X,X
LSZTOIJ,X,X,O,X,X,O,X,X,X
LSZTOJI,X,X,O,X,X,O,X,X,X
LSZITJO,X,O,O,X,O,O,X,X,X
LSZITOJ,X,X,O,X,X,O,X,X,X
LSZIJTO,O,X,X,X,O,O,X,X,X
LSZIJOT,O,X,X,X,O,O,X,X,X
LSZIOTJ,X,X,X,X,X,O,X,X,X
LSZIOJT,X,X,X,X,O,O,X,X,X
LSZJTIO,O,X,X,X,O,O,X,X,X
LSZJTOI,O,X,X,X,X,O,X,X,X
LSZJITO,O,X,X,X,O,O,X,X,X
LSZJIOT,O,X,X,X,O,O,X,X,X
LSZJOTI,O,X,X,X,X,O,X,X,X
LSZJOIT,O,X,X,X,O,O,X,X,X
LSZOTIJ,X,X,X,X,X,O,X,X,X
LSZOTJI,X,X,X,X,X,O,X,X,X
LSZOITJ,X,X,X,X,X,O,X,X,X
LSZOIJT,X,X,X,X,O,O,X,X,X
LSZOJTI,X,X,X,X,X,O,X,X,X
LSZOJIT,X,X,X,X,O,O,X,X,X
LSOTIJZ,X,O,O,X,X,X,X,O,X
LSOTIZJ,X,X,O,X,X,O,X,X,X
LSOTJIZ,X,O,O,X,X,X,X,X,X
LSOTJZI,X,O,O,X,X,X,X,X,X
LSOTZIJ,X,X,O,X,X,O,X,X,X
LSOTZJI,X,X,O,X,X,O,X,X,X
LSOITJZ,X,O,O,X,X,X,X,O,X
LSOITZJ,X,X,O,X,X,O,X,X,X
LSOIJTZ,X,O,X,X,X,X,X,X,X
LSOIJZT,O,X,X,X,X,X,X,X,X
LSOIZTJ,X,X,X,X,X,O,X,X,X
LSOIZJT,X,X,X,X,O,O,X,X,X
LSOJTIZ,X,O,X,X,X,X,X,X,X
LSOJTZI,X,O,X,X,X,X,X,X,X
LSOJITZ,X,O,X,X,X,X,X,X,X
LSOJIZT,O,X,X,X,X,X,X,X,X
LSOJZTI,O,X,X,X,X,X,X,X,X
LSOJZIT,O,X,X,X,X,X,X,X,X
LSOZTIJ,X,X,X,X,X,O,X,X,X
LSOZTJI,X,X,X,X,X,O,X,X,X
LSOZITJ,X,X,X,X,X,O,X,X,X
LSOZIJT,X,X,X,X,O,O,X,X,X
LSOZJTI,X,X,X,X,X,O,X,X,X
LSOZJIT,X,X,X,X,O,O,X,X,X
LZTIJSO,X,X,X,X,X,O,X,O,X
LZTIJOS,X,X,X,X,X,O,X,O,X
LZTISJO,X,X,X,X,O,O,X,X,X
LZTISOJ,X,X,X,X,X,O,X,X,X
LZTIOJS,X,X,X,X,X,O,X,O,X
LZTIOSJ,X,X,X,X,X,O,X,X,X
LZTJISO,X,X,X,X,X,O,X,X,X
LZTJIOS,X,X,X,X,X,O,X,X,X
LZTJSIO,X,X,X,X,X,O,X,X,X
LZTJSOI,X,X,X,X,X,O,X,X,X
LZTJOIS,X,X,X,X,X,O,X,X,X
LZTJOSI,X,X,X,X,X,O,X,X,X
LZTSIJO,X,X,X,X,O,O,X,X,X
LZTSIOJ,X,X,X,X,X,O,X,X,X
LZTSJIO,X,X,X,X,O,O,X,X,X
LZTSJOI,X,X,X,X,X,O,X,X,X
LZTSOIJ,X,X,X,X,X,O,X,X,X
LZTSOJI,X,X,X,X,X,O,X,X,X
LZTOIJS,X,X,X,X,X,O,X,O,X
LZTOISJ,X,X,X,X,X,O,X,X,X
LZTOJIS,X,X,X,X,X,O,X,X,X
LZTOJSI,X,X,X,X,X,O,X,X,X
LZTOSIJ,X,X,X,X,X,O,X,X,X
LZTOSJI,X,X,X,X,X,O,X,X,X
LZITJSO,X,X,X,X,X,O,X,O,X
LZITJOS,X,X,X,X,X,O,X,O,X
LZITSJO,X,X,X,X,O,O,X,X,X
LZITSOJ,X,X,X,X,X,O,X,X,X
LZITOJS,X,X,X,X,X,O,X,O,X
LZITOSJ,X,X,X,X,X,O,X,X,X
LZIJTSO,O,X,X,X,X,O,X,X,X
LZIJTOS,X,X,X,X,X,O,X,X,X
LZIJSTO,O,O,X,X,O,O,X,X,X
LZIJSOT,O,O,X,X,O,O,X,X,X
LZIJOTS,X,X,X,X,X,O,X,X,X
LZIJOST,O,O,X,X,O,O,X,X,X
LZISTJO,X,O,X,X,O,O,X,X,X
LZISTOJ,X,O,X,X,X,O,X,X,X
LZISJTO,O,O,X,X,O,O,X,X,X
LZISJOT,O,O,X,X,O,O,X,X,X
LZISOTJ,X,O,X,X,X,O,X,X,X
LZISOJT,X,O,X,X,O,O,X,X,X
LZIOTJS,X,X,X,X,X,O,X,O,X
LZIOTSJ,X,X,X,X,X,O,O,X,X
LZIOJTS,X,X,X,X,X,O,X,X,X
LZIOJST,X,O,X,X,X,O,O,X,X
LZIOSTJ,X,X,X,X,X,O,O,X,X
LZIOSJT,X,O,X,X,O,O,O,X,X
LZJTISO,O,X,X,X,X,O,X,X,X
LZJTIOS,X,X,X,X,X,O,X,X,X
LZJTSIO,O,X,X,X,X,O,X,X,X
LZJTSOI,O,X,X,X,X,O,X,X,X
LZJTOIS,X,X,X,X,X,O,X,X,X
LZJTOSI,X,X,X,X,X,O,X,X,X
LZJITSO,O,X,X,X,X,O,X,X,X
LZJITOS,X,X,X,X,X,O,X,X,X
LZJISTO,O,O,X,X,O,O,X,X,X
LZJISOT,O,O,X,X,O,O,X,X,X
LZJIOTS,X,X,X,X,X,O,X,X,X
LZJIOST,O,O,X,X,O,O,X,X,X
LZJSTIO,O,O,X,X,O,O,X,X,X
LZJSTOI,O,O,X,X,X,O,X,X,X
LZJSITO,O,O,X,X,O,O,X,X,X
LZJSIOT,O,O,X,X,O,O,X,X,X
LZJSOTI,O,O,X,X,X,O,X,X,X
LZJSOIT,O,O,X,X,O,O,X,X,X
LZJOTIS,X,X,X,X,X,O,X,X,X
LZJOTSI,X,X,X,X,X,O,X,X,X
LZJOITS,X,X,X,X,X,O,X,X,X
LZJOIST,O,O,X,X,O,O,X,X,X
LZJOSTI,O,O,X,X,X,O,X,X,X
LZJOSIT,O,O,X,X,O,O,X,X,X
LZSTIJO,X,O,X,X,O,O,X,X,X
LZSTIOJ,X,O,X,X,X,O,X,X,X
LZSTJIO,X,O,X,X,O,O,X,X,X
LZSTJOI,X,O,X,X,X,O,X,X,X
LZSTOIJ,X,O,X,X,X,O,X,X,X
LZSTOJI,X,O,X,X,X,O,X,X,X
LZSITJO,X,O,X,X,O,O,X,X,X
LZSITOJ,X,O,X,X,X,O,X,X,X
LZSIJTO,O,O,X,X,O,O,X,X,X
LZSIJOT,O,O,X,X,O,O,X,X,X
LZSIOTJ,X,O,X,X,X,O,X,X,X
LZSIOJT,X,O,X,X,O,O,X,X,X
LZSJTIO,O,O,X,X,O,O,X,X,X
LZSJTOI,O,O,X,X,X,O,X,X,X
LZSJITO,O,O,X,X,O,O,X,X,X
LZSJIOT,O,O,X,X,O,O,X,X,X
LZSJOTI,O,O,X,X,X,O,X,X,X
LZSJOIT,O,O,X,X,O,O,X,X,X
LZSOTIJ,X,O,X,X,X,O,X,X,X
LZSOTJI,X,O,X,X,X,O,X,X,X
LZSOITJ,X,O,X,X,X,O,X,X,X
LZSOIJT,X,O,X,X,O,O,X,X,X
LZSOJTI,X,O,X,X,X,O,X,X,X
LZSOJIT,X,O,X,X,O,O,X,X,X
LZOTIJS,X,X,X,X,X,O,X,O,X
LZOTISJ,X,X,X,X,X,O,O,X,X
LZOTJIS,X,X,X,X,X,O,X,X,X
LZOTJSI,X,X,X,X,X,O,X,X,X
LZOTSIJ,X,X,X,X,X,O,O,X,X
LZOTSJI,X,X,X,X,X,O,X,X,X
LZOITJS,X,X,X,X,X,O,X,O,X
LZOITSJ,X,X,X,X,X,O,O,X,X
LZOIJTS,X,X,X,X,X,O,X,X,X
LZOIJST,X,O,X,X,X,O,O,X,X
LZOISTJ,X,X,X,X,X,O,O,X,X
LZOISJT,X,O,X,X,O,O,O,X,X
LZOJTIS,X,X,X,X,X,O,X,X,X
LZOJTSI,X,X,X,X,X,O,X,X,X
LZOJITS,X,X,X,X,X,O,X,X,X
LZOJIST,X,O,X,X,X,O,O,X,X
LZOJSTI,X,O,X,X,X,O,X,X,X
LZOJSIT,X,O,X,X,X,O,O,X,X
LZOSTIJ,X,X,X,X,X,O,O,X,X
LZOSTJI,X,X,X,X,X,O,X,X,X
LZOSITJ,X,X,X,X,X,O,O,X,X
LZOSIJT,X,O,X,X,O,O,O,X,X
LZOSJTI,X,O,X,X,X,O,X,X,X
LZOSJIT,X,O,X,X,O,O,O,X,X
LOTIJSZ,X,X,X,O,X,X,X,O,X
LOTIJZS,X,X,X,O,X,O,X,O,X
LOTISJZ,X,X,O,X,X,X,X,O,X
LOTISZJ,X,X,O,X,X,O,O,X,X
LOTIZJS,X,X,O,X,X,O,X,O,X
LOTIZSJ,X,X,O,X,X,O,O,X,X
LOTJISZ,X,X,X,O,X,X,X,O,X
LOTJIZS,X,X,X,O,X,O,X,O,X
LOTJSIZ,X,X,X,O,X,X,X,X,X
LOTJSZI,X,X,X,O,X,X,X,X,X
LOTJZIS,X,X,X,O,X,O,X,X,X
