sequence,v115@9gC8GeD8FeD8DeH8AeC8Jex6IvhFXcBOiB6jBcmBzi?BFsB,v115@9gC8GeD8FeD8DeH8AeC8Jex6IvhFXcB6jBcmBmiBTi?BFsB,v115@9gC8GeD8FeD8DeH8AeC8Jex6IvhFXcBKiBzdB+jBcm?BFsB,v115@9gC8GeD8FeD8DeH8AeC8Jex6IvhFXcB6jBFiB8nBTm?BOsB,v115@9gC8GeD8FeD8DeH8AeC8Jex6IvhFXdBTeBamBWoB0h?BFsB,v115@9gC8GeD8FeD8DeH8AeC8Jex6IvhFTeBFhB3mBCoBcn?BmrB,v115@9gC8GeD8FeD8DeH8AeC8Jex6IvhFmcBCeBFhBTjB3m?BcsB,v115@9gC8GeD8FeD8DeH8AeC8Jex6IvhFCeB/nBTjB0mBFm?BmrB
TSLJZOI,X,X,X,X,X,X,X,X
TSLJOIZ,X,X,X,X,X,X,X,X
TSLJOZI,X,X,X,X,X,X,X,X
TSLZIJO,X,X,X,X,X,X,X,X
TSLZIOJ,X,X,X,X,X,O,X,X
TSLZJIO,X,X,X,X,X,X,X,X
TSLZJOI,X,X,X,X,X,X,X,X
TSLZOIJ,X,X,X,X,X,O,X,X
TSLZOJI,X,X,X,X,X,O,X,X
TSLOIJZ,X,X,X,X,X,X,X,X
TSLOIZJ,X,X,X,X,X,O,X,X
TSLOJIZ,X,X,X,X,X,X,X,X
TSLOJZI,X,X,X,X,X,X,X,X
TSLOZIJ,X,X,X,X,X,O,X,X
TSLOZJI,X,X,X,X,X,O,X,X
TSJILZO,X,X,X,X,X,X,X,X
TSJILOZ,X,X,X,X,X,X,X,X
TSJIZLO,X,X,X,X,X,X,X,X
TSJIZOL,X,X,X,X,X,X,X,X
TSJIOLZ,X,X,X,X,X,X,X,X
TSJIOZL,X,X,X,X,X,X,X,X
TSJLIZO,X,X,X,X,X,X,X,X
TSJLIOZ,X,X,X,X,X,X,X,X
TSJLZIO,X,X,X,X,X,X,X,X
TSJLZOI,X,X,X,X,X,X,X,X
TSJLOIZ,X,X,X,X,X,X,X,X
TSJLOZI,X,X,X,X,X,X,X,X
TSJZILO,X,X,X,X,X,X,X,X
TSJZIOL,X,X,X,X,X,X,X,X
TSJZLIO,X,X,X,X,X,X,X,X
TSJZLOI,X,X,X,X,X,X,X,X
TSJZOIL,X,X,X,X,X,X,X,X
TSJZOLI,X,X,X,X,X,X,X,X
TSJOILZ,X,X,X,X,X,X,X,X
TSJOIZL,X,X,X,X,X,X,X,X
TSJOLIZ,X,X,X,X,X,X,X,X
TSJOLZI,X,X,X,X,X,X,X,X
TSJOZIL,X,X,X,X,X,X,X,X
TSJOZLI,X,X,X,X,X,X,X,X
TSZILJO,X,X,X,X,X,X,O,X
TSZILOJ,X,X,X,X,X,X,X,X
TSZIJLO,X,X,X,X,X,X,O,X
TSZIJOL,X,X,X,X,X,X,O,X
TSZIOLJ,X,X,X,X,X,X,O,X
TSZIOJL,X,X,X,X,X,X,O,X
TSZLIJO,X,X,X,X,X,X,O,X
TSZLIOJ,X,X,X,X,X,X,X,X
TSZLJIO,X,X,X,X,X,X,O,X
TSZLJOI,X,X,X,X,X,X,X,X
TSZLOIJ,X,X,X,X,X,X,X,X
TSZLOJI,X,X,X,X,X,X,X,X
TSZJILO,X,X,X,X,X,X,O,X
TSZJIOL,X,X,X,X,X,X,O,X
TSZJLIO,X,X,X,X,X,X,O,X
TSZJLOI,X,X,X,X,X,X,X,X
TSZJOIL,X,X,X,X,X,X,O,X
TSZJOLI,X,X,X,X,X,X,O,X
TSZOILJ,X,X,X,X,X,X,O,X
TSZOIJL,X,X,X,X,X,X,O,X
TSZOLIJ,X,X,X,X,X,X,O,X
TSZOLJI,X,X,X,X,X,X,O,X
TSZOJIL,X,X,X,X,X,X,O,X
TSZOJLI,X,X,X,X,X,X,O,X
TSOILJZ,X,X,X,X,X,X,X,X
TSOILZJ,X,X,X,X,X,X,X,X
TSOIJLZ,X,X,X,X,X,X,X,X
