sequence,v115@zgB8HeB8EeF8CeE8FeD8FeC8Je08IvhFxdBlgBOrBX?lBSvBzrB,v115@zgB8HeB8EeF8CeE8FeD8FeC8Je08IvhFxdBlgBKrBf?sBTlBWvB,v115@zgB8HeB8EeF8CeE8FeD8FeC8Je/AJvhFxdBlhB8qBG?mBzpBywB,v115@zgB8HeB8EeF8CeE8FeD8FeC8JeT7IvhFxdBlhB3lBW?vBirB0rB,v115@zgB8HeB8EeF8CeE8FeD8FeC8Jex9IvhF0gBlhBXlBO?rBSvBzrB,v115@zgB8HeB8EeF8CeE8FeD8FeC8Jex9IvhF0gBlhBXlBS?vBmrBTrB,v115@zgB8HeB8EeF8CeE8FeD8FeC8Je08IvhFxdBlgBTmBG?qBywBXqB,v115@zgB8HeB8EeF8CeE8FeD8FeC8Jex9IvhFlgB3hB6qB0?mBzpB2wB,v115@zgB8HeB8EeF8CeE8FeD8FeC8JeT7IvhF0cBxdB/mB1?qBWvBywB,v115@zgB8HeB8EeF8CeE8FeD8FeC8Jex9IvhF0gBlhBTlBK?rBfsBWvB,v115@zgB8HeB8EeF8CeE8FeD8FeC8Je/AJvhFFcBxdBumB8?qBzpBywB,v115@zgB8HeB8EeF8CeE8FeD8FeC8Je1BJvhFxdB0gBfsBT?lBKrBWvB
IZTOSJL,X,X,O,X,O,X,X,X,X,O,X,X
IZLTJSO,X,X,O,X,O,O,X,X,X,O,X,X
IZLTJOS,X,X,X,X,O,O,X,X,X,X,X,X
IZLTSJO,X,X,O,X,O,O,X,X,O,O,O,X
IZLTSOJ,X,X,O,X,O,O,X,X,O,O,O,X
IZLTOJS,X,X,X,X,O,O,X,X,X,X,X,X
IZLTOSJ,X,X,O,X,O,O,X,X,O,X,X,X
IZLJTSO,O,X,O,O,O,O,X,X,O,X,O,X
IZLJTOS,O,X,X,X,O,O,X,X,O,X,X,X
IZLJSTO,O,O,O,O,X,O,X,X,X,X,O,X
IZLJSOT,X,O,X,O,X,X,X,X,X,X,O,X
IZLJOTS,O,X,X,X,X,O,O,X,O,X,X,X
IZLJOST,X,X,X,X,X,X,O,X,X,X,O,X
IZLSTJO,X,O,O,X,O,O,X,X,X,X,O,X
IZLSTOJ,X,O,O,X,O,O,X,X,X,X,O,X
IZLSJTO,X,O,O,X,X,X,X,X,X,X,O,X
IZLSJOT,X,O,X,X,X,X,X,X,X,X,X,X
IZLSOTJ,X,O,O,X,X,X,X,X,X,X,O,X
IZLSOJT,X,O,X,X,X,X,X,X,X,X,X,X
IZLOTJS,X,X,X,X,O,O,O,X,X,X,X,X
IZLOTSJ,X,X,O,X,O,O,O,X,O,X,X,X
IZLOJTS,O,X,X,X,O,X,O,X,O,X,X,X
IZLOJST,O,X,X,X,X,X,O,X,X,X,X,X
IZLOSTJ,X,X,O,X,O,X,O,X,X,X,O,X
IZLOSJT,X,X,X,X,X,X,O,X,X,X,X,X
IZJTLSO,O,X,X,X,O,O,X,X,X,O,X,X
IZJTLOS,O,X,X,X,O,O,X,X,X,O,X,X
IZJTSLO,O,O,O,X,O,O,X,O,O,O,O,O
IZJTSOL,X,X,O,O,X,X,X,O,O,O,O,O
IZJTOLS,O,X,X,X,O,O,X,X,X,O,X,X
IZJTOSL,X,X,X,O,O,X,X,X,O,O,X,X
IZJLTSO,O,X,X,O,O,O,X,X,O,O,O,X
IZJLTOS,O,X,X,X,O,O,X,X,O,X,X,X
IZJLSTO,O,O,X,O,X,O,X,X,X,X,O,X
IZJLSOT,X,O,X,O,X,X,X,X,X,X,O,X
IZJLOTS,O,X,X,X,X,O,O,X,O,X,X,X
IZJLOST,X,X,X,X,X,X,O,X,X,X,O,X
IZJSTLO,O,O,O,X,X,O,X,O,X,O,O,O
IZJSTOL,X,X,O,O,X,X,X,O,X,O,O,O
IZJSLTO,O,O,X,O,X,X,X,X,X,X,O,O
IZJSLOT,X,O,X,O,X,X,X,X,X,X,X,X
IZJSOTL,X,X,X,O,X,X,X,X,X,X,O,O
IZJSOLT,X,O,X,O,X,X,X,X,X,X,X,X
IZJOTLS,O,X,X,X,X,O,X,X,X,X,X,X
IZJOTSL,X,X,X,O,X,X,X,X,O,O,O,X
IZJOLTS,O,X,X,X,X,X,X,X,O,X,O,X
IZJOLST,X,X,X,X,X,X,X,X,X,X,O,X
IZJOSTL,X,X,X,O,X,X,X,X,X,X,O,X
IZJOSLT,X,O,X,O,X,X,X,X,X,X,O,X
IZSTLJO,X,O,O,X,O,O,X,O,X,O,O,O
IZSTLOJ,X,O,O,X,O,O,X,X,X,O,X,O
IZSTJLO,X,O,O,X,O,O,X,O,X,O,O,O
IZSTJOL,X,X,O,X,X,X,X,O,X,O,O,O
IZSTOLJ,X,X,X,X,O,X,X,O,X,O,X,O
IZSTOJL,X,X,O,X,O,X,X,O,X,O,O,O
IZSLTJO,X,O,O,X,O,O,X,X,X,X,O,O
IZSLTOJ,X,O,O,X,O,O,X,X,X,X,X,O
IZSLJTO,X,O,X,X,X,X,X,X,X,X,X,O
IZSLJOT,X,O,X,X,X,X,X,X,X,X,X,X
IZSLOTJ,X,O,X,X,X,X,X,X,X,X,X,X
IZSLOJT,X,O,X,X,X,X,X,X,X,X,X,X
IZSJTLO,O,O,O,X,X,X,X,O,X,X,O,O
IZSJTOL,X,X,O,X,X,X,X,O,X,X,O,O
IZSJLTO,O,O,X,X,X,X,X,X,X,X,O,O
IZSJLOT,X,O,X,X,X,X,X,X,X,X,X,X
IZSJOTL,X,X,X,X,X,X,X,X,X,X,O,O
IZSJOLT,X,O,X,X,X,X,X,X,X,X,X,X
IZSOTLJ,X,X,O,X,X,X,X,X,X,X,O,O
IZSOTJL,X,X,O,X,X,X,X,X,X,X,O,O
IZSOLTJ,X,O,O,X,X,X,X,X,X,X,O,X
IZSOLJT,X,O,X,X,X,X,X,X,X,X,X,X
IZSOJTL,X,X,O,X,X,X,X,X,X,X,O,O
IZSOJLT,X,O,X,X,X,X,X,X,X,X,X,X
IZOTLJS,X,X,X,X,O,O,X,X,X,X,X,X
IZOTLSJ,X,X,O,X,O,O,X,X,X,X,X,X
IZOTJLS,O,X,X,X,O,O,X,X,X,X,X,X
IZOTJSL,O,X,O,O,O,X,X,X,X,O,O,X
IZOTSLJ,X,X,O,X,O,X,X,O,X,O,O,X
IZOTSJL,X,X,O,X,O,X,X,O,X,O,O,X
IZOLTJS,X,X,O,X,O,O,X,X,X,X,X,X
IZOLTSJ,X,X,O,X,O,O,X,X,O,X,O,X
IZOLJTS,O,X,O,X,O,X,X,X,O,X,O,X
IZOLJST,O,X,O,X,X,X,X,X,X,X,O,X
IZOLSTJ,X,X,O,X,O,X,X,X,X,X,O,X
IZOLSJT,X,X,O,X,X,X,X,X,X,X,O,X
IZOJTLS,O,X,X,X,O,X,X,X,X,X,X,X
IZOJTSL,O,X,O,O,O,X,X,O,O,X,O,X
IZOJLTS,O,X,X,X,X,X,X,X,O,X,O,X
IZOJLST,O,X,X,X,X,X,X,X,X,X,O,X
IZOJSTL,O,X,O,O,X,X,X,O,X,X,O,X
IZOJSLT,O,O,X,O,X,X,X,X,X,X,O,X
IZOSTLJ,X,X,O,X,O,X,X,O,X,X,O,X
IZOSTJL,X,X,O,X,O,X,X,O,X,X,O,X
IZOSLTJ,X,O,O,X,X,X,X,X,X,X,O,X
IZOSLJT,X,O,X,X,X,X,X,X,X,X,X,X
IZOSJTL,O,X,O,X,X,X,X,O,X,X,O,X
IZOSJLT,O,O,X,X,X,X,X,X,X,X,O,X
IOTLJSZ,O,X,O,O,X,X,X,X,O,X,X,X
IOTLJZS,O,X,X,X,O,X,X,X,O,X,O,X
IOTLSJZ,X,X,O,X,X,X,X,O,O,X,X,X
IOTLSZJ,X,X,O,X,O,X,X,O,O,X,X,X
IOTLZJS,X,X,O,X,O,O,X,X,X,X,X,X
IOTLZSJ,X,X,O,X,O,O,X,X,O,X,O,X
IOTJLSZ,O,X,O,O,X,X,X,O,O,X,X,X
IOTJLZS,O,X,X,X,O,X,X,X,O,X,O,X
IOTJSLZ,X,X,O,O,X,X,X,O,O,X,X,X
IOTJSZL,O,X,O,O,X,X,X,O,O,X,X,O
IOTJZLS,O,X,X,X,O,X,X,X,X,X,X,X
IOTJZSL,O,X,X,O,O,X,X,O,O,X,O,X
IOTSLJZ,X,X,O,X,X,X,X,O,X,X,X,X
IOTSLZJ,X,X,O,X,O,X,X,O,X,X,O,X
IOTSJLZ,X,X,O,O,X,X,X,O,X,X,X,X
IOTSJZL,X,X,O,O,X,X,X,O,X,X,O,X
IOTSZLJ,X,X,O,X,O,X,X,O,X,X,O,O
IOTSZJL,X,X,O,X,O,X,X,O,X,X,O,O
IOTZLJS,X,X,X,X,O,O,X,X,X,X,X,X
IOTZLSJ,X,X,O,X,O,O,X,X,X,X,X,X
IOTZJLS,O,X,X,X,O,O,X,X,X,X,X,X
IOTZJSL,O,X,O,O,O,X,X,X,X,O,O,X
IOTZSLJ,X,X,O,X,O,X,X,O,X,O,O,X
IOTZSJL,X,X,O,X,O,X,X,O,X,O,O,X
IOLTJSZ,O,X,O,O,X,X,O,X,O,X,X,X
IOLTJZS,O,X,X,X,O,X,O,X,O,X,O,X
IOLTSJZ,X,X,O,X,X,X,X,O,O,X,X,X
IOLTSZJ,X,X,O,X,O,X,O,O,O,X,X,X
IOLTZJS,X,X,O,X,O,O,O,X,X,X,X,X
IOLTZSJ,X,X,O,X,O,O,O,X,O,X,O,X
IOLJTSZ,O,X,O,O,X,X,O,O,O,X,X,X
IOLJTZS,O,X,X,X,O,O,O,X,O,X,O,X
IOLJSTZ,O,X,O,O,X,X,O,O,O,X,X,X
IOLJSZT,O,X,X,O,X,X,O,X,X,X,O,X
IOLJZTS,O,X,O,X,O,O,O,X,O,X,O,X
IOLJZST,O,X,O,X,X,X,O,X,X,X,O,X
IOLSTJZ,X,X,O,X,X,X,X,O,O,X,X,X
IOLSTZJ,X,X,O,X,O,X,O,O,O,X,O,X
IOLSJTZ,O,X,O,X,X,X,O,O,O,X,X,X
IOLSJZT,O,X,X,X,X,X,O,X,X,X,O,X
IOLSZTJ,X,X,O,X,O,X,O,X,X,X,O,X
IOLSZJT,X,X,O,X,X,X,O,X,X,X,O,X
IOLZTJS,X,X,O,X,O,O,O,X,X,X,X,X
IOLZTSJ,X,X,O,X,O,O,O,X,O,X,O,X
IOLZJTS,O,X,O,X,O,X,O,X,O,X,O,X
IOLZJST,O,X,O,X,X,X,O,X,X,X,O,X
IOLZSTJ,X,X,O,X,O,X,O,X,X,X,O,X
IOLZSJT,X,X,O,X,X,X,O,X,X,X,O,X
IOJTLSZ,O,X,O,O,X,X,X,O,O,X,X,X
IOJTLZS,O,X,X,X,O,O,X,X,O,X,O,X
IOJTSLZ,X,X,O,O,X,X,X,O,O,X,X,X
IOJTSZL,O,X,O,O,X,X,X,O,O,X,X,O
IOJTZLS,O,X,X,X,O,O,X,X,X,X,X,X
IOJTZSL,O,X,X,O,O,X,X,O,O,O,O,X
IOJLTSZ,O,X,O,O,X,X,O,O,O,X,X,X
IOJLTZS,O,X,X,X,O,O,O,X,O,X,O,X
IOJLSTZ,O,X,O,O,X,X,O,O,O,X,X,X
IOJLSZT,O,X,X,O,X,X,O,X,X,X,O,X
IOJLZTS,O,X,O,X,O,O,O,X,O,X,O,X
IOJLZST,O,X,O,X,X,X,O,X,X,X,O,X
IOJSTLZ,X,X,O,O,X,X,X,O,O,X,X,X
IOJSTZL,O,X,O,O,X,X,X,O,O,X,O,O
IOJSLTZ,O,O,O,O,X,X,X,O,O,X,X,X
IOJSLZT,O,O,X,O,X,X,X,X,X,X,O,X
IOJSZTL,O,X,O,O,X,X,X,O,X,X,O,O
IOJSZLT,O,O,X,O,X,X,X,X,X,X,O,X
IOJZTLS,O,X,X,X,O,O,X,X,X,X,X,X
IOJZTSL,O,X,O,O,O,X,X,O,O,O,O,X
IOJZLTS,O,X,X,X,X,X,X,X,O,X,O,X
IOJZLST,O,X,X,X,X,X,X,X,X,X,O,X
IOJZSTL,O,X,O,O,X,X,X,O,X,X,O,X
IOJZSLT,O,O,X,O,X,X,X,X,X,X,O,X
IOSTLJZ,X,X,O,X,X,X,X,O,X,X,X,X
IOSTLZJ,X,X,O,X,O,X,X,O,X,X,O,X
IOSTJLZ,X,X,O,O,X,X,X,O,X,X,X,X
IOSTJZL,X,X,O,O,X,X,X,O,X,X,O,X
IOSTZLJ,X,X,O,X,O,X,X,O,X,X,O,O
IOSTZJL,X,X,O,X,O,X,X,O,X,X,O,O
IOSLTJZ,X,X,O,X,X,X,X,O,O,X,X,X
IOSLTZJ,X,O,O,X,O,X,X,O,O,X,O,X
IOSLJTZ,O,O,O,X,X,X,X,O,O,X,X,X
IOSLJZT,O,O,X,X,X,X,X,X,X,X,O,X
IOSLZTJ,X,O,O,X,O,X,X,X,X,X,O,X
IOSLZJT,X,O,O,X,X,X,X,X,X,X,O,X
IOSJTLZ,X,X,O,O,X,X,X,O,O,X,X,X
IOSJTZL,O,X,O,O,X,X,X,O,O,X,O,O
IOSJLTZ,O,O,O,O,X,X,X,O,O,X,X,X
IOSJLZT,O,O,X,O,X,X,X,X,X,X,O,X
IOSJZTL,O,X,O,O,X,X,X,O,X,X,O,O
IOSJZLT,O,O,X,O,X,X,X,X,X,X,O,X
IOSZTLJ,X,X,O,X,O,X,X,O,X,X,O,O
IOSZTJL,X,X,O,X,O,X,X,O,X,X,O,O
IOSZLTJ,X,O,O,X,X,X,X,X,X,X,O,X
IOSZLJT,X,O,X,X,X,X,X,X,X,X,X,X
IOSZJTL,O,X,O,X,X,X,X,O,X,X,O,O
IOSZJLT,O,O,X,X,X,X,X,X,X,X,O,X
IOZTLJS,X,X,X,X,O,O,X,X,X,X,X,X
IOZTLSJ,X,X,O,X,O,O,X,X,X,X,X,X
IOZTJLS,O,X,X,X,O,O,X,X,X,X,X,X
IOZTJSL,O,X,O,O,O,X,X,X,X,O,O,X
IOZTSLJ,X,X,O,X,O,X,X,O,X,O,O,X
IOZTSJL,X,X,O,X,O,X,X,O,X,O,O,X
IOZLTJS,X,X,O,X,O,O,X,X,X,X,X,X
IOZLTSJ,X,X,O,X,O,O,X,X,O,X,O,X
IOZLJTS,O,X,O,X,O,X,X,X,O,X,O,X
IOZLJST,O,X,O,X,X,X,X,X,X,X,O,X
IOZLSTJ,X,X,O,X,O,X,X,X,X,X,O,X
IOZLSJT,X,X,O,X,X,X,X,X,X,X,O,X
IOZJTLS,O,X,X,X,O,X,X,X,X,X,X,X
IOZJTSL,O,X,O,O,O,X,X,O,O,X,O,X
IOZJLTS,O,X,X,X,X,X,X,X,O,X,O,X
IOZJLST,O,X,X,X,X,X,X,X,X,X,O,X
IOZJSTL,O,X,O,O,X,X,X,O,X,X,O,X
IOZJSLT,O,O,X,O,X,X,X,X,X,X,O,X
IOZSTLJ,X,X,O,X,O,X,X,O,X,X,O,X
IOZSTJL,X,X,O,X,O,X,X,O,X,X,O,X
IOZSLTJ,X,O,O,X,X,X,X,X,X,X,O,X
IOZSLJT,X,O,X,X,X,X,X,X,X,X,X,X
IOZSJTL,O,X,O,X,X,X,X,O,X,X,O,X
IOZSJLT,O,O,X,X,X,X,X,X,X,X,O,X
LTIJSZO,O,X,O,O,X,O,X,X,O,X,X,O
LTIJSOZ,X,X,X,O,X,X,X,X,O,X,X,X
LTIJZSO,O,X,X,O,O,O,X,X,O,X,O,X
LTIJZOS,O,X,X,X,O,O,X,X,O,X,X,X
LTIJOSZ,O,X,X,O,X,X,O,X,O,X,X,X
LTIJOZS,O,X,X,X,X,O,O,X,O,X,X,X
LTISJZO,X,O,O,X,X,X,X,O,O,X,X,X
LTISJOZ,X,X,X,X,X,X,X,O,O,X,X,X
LTISZJO,X,O,O,X,O,O,X,O,O,X,X,O
LTISZOJ,X,O,O,X,O,O,X,X,O,X,X,O
LTISOJZ,X,X,X,X,X,X,X,O,O,X,X,X
LTISOZJ,X,O,O,X,X,X,X,O,O,X,X,X
LTIZJSO,X,X,O,X,O,O,X,X,X,O,X,X
LTIZJOS,X,X,X,X,O,O,X,X,X,X,X,X
LTIZSJO,X,X,O,X,O,O,X,X,O,O,O,X
LTIZSOJ,X,X,O,X,O,O,X,X,O,O,O,X
LTIZOJS,X,X,X,X,O,O,X,X,X,X,X,X
LTIZOSJ,X,X,O,X,O,O,X,X,O,X,X,X
LTIOJSZ,O,X,X,O,X,X,O,X,O,X,X,X
LTIOJZS,O,X,X,X,O,X,O,X,O,X,X,X
LTIOSJZ,X,X,X,X,X,X,X,X,O,X,X,X
LTIOSZJ,X,X,O,X,O,X,O,X,O,X,X,X
LTIOZJS,X,X,X,X,O,O,O,X,X,X,X,X
LTIOZSJ,X,X,X,X,O,O,O,X,O,X,X,X
LTJISZO,O,O,O,O,X,O,X,O,O,X,X,O
LTJISOZ,X,O,X,O,X,X,X,O,O,X,X,X
LTJIZSO,O,X,X,O,O,O,X,X,O,X,O,X
LTJIZOS,O,X,X,X,O,O,X,X,O,X,X,X
LTJIOSZ,O,X,X,O,X,X,O,X,O,X,X,X
LTJIOZS,O,X,X,X,X,O,O,X,O,X,X,X
LTJSIZO,O,O,O,O,X,O,X,O,O,X,X,O
LTJSIOZ,X,O,X,O,X,X,X,O,O,X,X,X
LTJSZIO,O,O,O,O,X,O,X,O,O,X,X,O
LTJSZOI,O,O,O,O,X,O,X,O,O,X,X,O
LTJSOIZ,O,O,X,O,X,X,X,O,O,X,X,X
LTJSOZI,O,O,X,O,X,X,X,O,O,X,X,X
LTJZISO,O,X,X,O,O,O,X,X,O,X,O,X
LTJZIOS,O,X,X,X,O,O,X,X,O,X,X,X
LTJZSIO,O,O,X,O,O,O,X,X,O,X,O,X
LTJZSOI,O,O,X,O,O,O,X,X,O,X,O,X
LTJZOIS,O,X,X,X,O,O,X,X,O,X,X,X
LTJZOSI,O,X,X,X,O,O,X,X,O,X,X,X
LTJOISZ,O,X,X,O,X,X,O,X,O,X,X,X
LTJOIZS,O,X,X,X,X,O,O,X,O,X,X,X
LTJOSIZ,O,O,X,O,X,X,O,X,O,X,X,X
LTJOSZI,O,O,X,O,X,X,O,X,O,X,X,X
LTJOZIS,O,X,X,X,X,O,O,X,O,X,X,X
LTJOZSI,O,X,X,X,X,O,O,X,O,X,X,X
LTSIJZO,X,O,O,X,X,X,X,O,O,X,X,X
LTSIJOZ,X,O,X,X,X,X,X,O,O,X,X,X
LTSIZJO,X,O,O,X,O,O,X,O,O,X,X,O
LTSIZOJ,X,O,O,X,O,O,X,X,O,X,X,O
LTSIOJZ,X,X,X,X,X,X,X,O,O,X,X,X
LTSIOZJ,X,O,O,X,X,X,X,O,O,X,X,X
LTSJIZO,O,O,O,X,X,X,X,O,O,X,X,X
LTSJIOZ,X,O,X,X,X,X,X,O,O,X,X,X
LTSJZIO,O,O,O,X,X,X,X,O,O,X,X,X
LTSJZOI,O,O,O,X,X,X,X,O,O,X,X,X
LTSJOIZ,O,O,X,X,X,X,X,O,O,X,X,X
LTSJOZI,O,O,X,X,X,X,X,O,O,X,X,X
LTSZIJO,X,O,O,X,O,O,X,O,O,X,X,O
LTSZIOJ,X,O,O,X,O,O,X,X,O,X,X,O
LTSZJIO,X,O,O,X,O,O,X,O,O,X,X,O
LTSZJOI,X,O,O,X,O,O,X,O,O,X,X,O
LTSZOIJ,X,O,O,X,O,O,X,X,O,X,X,O
LTSZOJI,X,O,O,X,O,O,X,X,O,X,X,O
LTSOIJZ,X,X,X,X,X,X,X,O,O,X,X,X
LTSOIZJ,X,O,O,X,X,X,X,O,O,X,X,X
LTSOJIZ,X,X,X,X,X,X,X,O,O,X,X,X
LTSOJZI,X,X,X,X,X,X,X,O,O,X,X,X
LTSOZIJ,X,O,O,X,X,X,X,O,O,X,X,X
LTSOZJI,X,O,O,X,X,X,X,O,O,X,X,X
LTZIJSO,X,X,O,X,O,O,X,X,X,O,X,X
LTZIJOS,X,X,X,X,O,O,X,X,X,O,X,X
LTZISJO,X,X,O,X,O,O,X,X,O,O,O,X
LTZISOJ,X,X,O,X,O,O,X,X,O,O,O,X
LTZIOJS,X,X,X,X,O,O,X,X,X,X,X,X
LTZIOSJ,X,X,O,X,O,O,X,X,O,X,X,X
LTZJISO,O,X,O,X,O,O,X,X,X,O,O,X
LTZJIOS,O,X,X,X,O,O,X,X,X,O,X,X
LTZJSIO,O,X,O,X,O,O,X,X,X,O,O,X
LTZJSOI,O,X,O,X,O,O,X,X,X,O,O,X
LTZJOIS,O,X,X,X,O,O,X,X,X,O,X,X
LTZJOSI,O,X,X,X,O,O,X,X,X,O,X,X
LTZSIJO,X,O,O,X,O,O,X,X,O,O,O,X
LTZSIOJ,X,O,O,X,O,O,X,X,O,O,O,X
LTZSJIO,X,O,O,X,O,O,X,X,O,O,O,X
LTZSJOI,X,O,O,X,O,O,X,X,O,O,O,X
LTZSOIJ,X,O,O,X,O,O,X,X,O,O,O,X
LTZSOJI,X,O,O,X,O,O,X,X,O,O,X,X
LTZOIJS,X,X,X,X,O,O,X,X,X,X,X,X
LTZOISJ,X,X,O,X,O,O,X,X,O,X,X,X
LTZOJIS,X,X,X,X,O,O,X,X,X,O,X,X
LTZOJSI,X,X,X,X,O,O,X,X,X,O,X,X
LTZOSIJ,X,X,O,X,O,O,X,X,O,O,X,X
LTZOSJI,X,X,O,X,O,O,X,X,O,O,X,X
LTOIJSZ,O,X,X,O,X,X,O,X,O,X,X,X
LTOIJZS,O,X,X,X,O,X,O,X,O,X,X,X
LTOISJZ,X,X,X,X,X,X,X,X,O,X,X,X
LTOISZJ,X,X,O,X,O,X,O,X,O,X,X,X
LTOIZJS,X,X,X,X,O,O,O,X,X,X,X,X
LTOIZSJ,X,X,X,X,O,O,O,X,O,X,X,X
LTOJISZ,O,X,X,O,X,X,O,X,O,X,X,X
LTOJIZS,O,X,X,X,O,X,O,X,O,X,X,X
LTOJSIZ,O,X,X,X,X,X,O,X,O,X,X,X
LTOJSZI,O,X,X,X,X,X,O,X,O,X,X,X
LTOJZIS,O,X,X,X,O,X,O,X,O,X,X,X
LTOJZSI,O,X,X,X,O,X,O,X,O,X,X,X
LTOSIJZ,X,X,X,X,X,X,X,X,O,X,X,X
LTOSIZJ,X,O,O,X,O,X,O,X,O,X,X,X
LTOSJIZ,X,X,X,X,X,X,X,X,O,X,X,X
LTOSJZI,X,X,X,X,X,X,X,X,O,X,X,X
LTOSZIJ,X,O,O,X,O,X,O,X,O,X,X,X
LTOSZJI,X,O,O,X,O,X,O,X,O,X,X,X
LTOZIJS,X,X,X,X,O,O,O,X,X,X,X,X
LTOZISJ,X,X,X,X,O,O,O,X,O,X,X,X
LTOZJIS,X,X,X,X,O,O,O,X,X,X,X,X
LTOZJSI,X,X,X,X,O,O,O,X,X,X,X,X
LTOZSIJ,X,X,X,X,O,O,O,X,O,X,X,X
LTOZSJI,X,X,X,X,O,O,O,X,O,X,X,X
LITJSZO,O,X,O,O,X,O,X,X,O,X,X,O
LITJSOZ,X,X,X,O,X,X,X,X,O,X,X,X
LITJZSO,O,X,X,O,O,O,X,X,O,X,O,X
LITJZOS,O,X,X,X,O,O,X,X,O,X,X,X
LITJOSZ,O,X,X,O,X,X,O,X,O,X,X,X
LITJOZS,O,X,X,X,X,O,O,X,O,X,X,X
LITSJZO,X,O,O,X,X,X,X,O,O,X,X,X
LITSJOZ,X,X,X,X,X,X,X,O,O,X,X,X
LITSZJO,X,O,O,X,O,O,X,O,O,X,X,O
LITSZOJ,X,O,O,X,O,O,X,X,O,X,X,O
LITSOJZ,X,X,X,X,X,X,X,O,O,X,X,X
LITSOZJ,X,O,O,X,X,X,X,O,O,X,X,X
LITZJSO,X,X,O,X,O,O,X,X,X,O,X,X
LITZJOS,X,X,X,X,O,O,X,X,X,X,X,X
LITZSJO,X,X,O,X,O,O,X,X,O,O,O,X
LITZSOJ,X,X,O,X,O,O,X,X,O,O,O,X
LITZOJS,X,X,X,X,O,O,X,X,X,X,X,X
LITZOSJ,X,X,O,X,O,O,X,X,O,X,X,X
LITOJSZ,O,X,X,O,X,X,O,X,O,X,X,X
LITOJZS,O,X,X,X,O,X,O,X,O,X,X,X
LITOSJZ,X,X,X,X,X,X,X,X,O,X,X,X
LITOSZJ,X,X,O,X,O,X,O,X,O,X,X,X
LITOZJS,X,X,X,X,O,O,O,X,X,X,X,X
LITOZSJ,X,X,X,X,O,O,O,X,O,X,X,X
LIJTSZO,O,O,O,O,X,O,X,O,O,X,X,O
LIJTSOZ,X,O,X,O,X,X,X,O,O,X,X,X
LIJTZSO,O,X,X,O,O,O,X,X,O,O,O,X
LIJTZOS,O,X,X,X,O,O,X,X,O,X,X,X
LIJTOSZ,O,X,X,O,X,X,O,X,O,X,X,X
LIJTOZS,O,X,X,X,X,O,O,X,O,X,X,X
LIJSTZO,O,O,O,O,X,O,X,O,O,X,X,O
LIJSTOZ,X,O,X,O,X,X,X,O,O,X,X,X
LIJSZTO,O,O,X,O,X,O,X,X,X,X,O,O
LIJSZOT,X,O,X,O,X,X,X,X,X,X,O,X
LIJSOTZ,X,O,X,O,X,X,O,X,O,X,X,X
LIJSOZT,X,O,X,O,X,X,O,X,X,X,X,X
LIJZTSO,O,X,O,O,O,O,X,X,O,O,O,X
LIJZTOS,O,X,X,X,O,O,X,X,O,X,X,X
LIJZSTO,O,O,O,O,X,O,X,X,X,X,O,X
LIJZSOT,X,O,X,O,X,X,X,X,X,X,O,X
LIJZOTS,O,X,X,X,X,O,O,X,O,X,X,X
LIJZOST,X,X,X,X,X,X,O,X,X,X,O,X
LIJOTSZ,O,X,X,O,X,X,O,X,O,X,X,X
LIJOTZS,O,X,X,X,O,O,O,X,O,X,O,X
LIJOSTZ,O,X,X,O,X,X,O,X,O,X,X,X
LIJOSZT,O,X,X,O,X,X,O,X,X,X,O,X
LIJOZTS,O,X,X,X,O,O,O,X,O,X,O,X
LIJOZST,O,X,X,X,X,X,O,X,X,X,O,X
LISTJZO,X,O,O,X,X,X,X,O,O,X,X,X
LISTJOZ,X,O,X,X,X,X,X,O,O,X,X,X
LISTZJO,X,O,O,X,O,O,X,O,O,X,O,O
LISTZOJ,X,O,O,X,O,O,X,X,O,X,X,O
LISTOJZ,X,X,X,X,X,X,X,O,O,X,X,X
LISTOZJ,X,O,O,X,X,X,X,O,O,X,X,X
LISJTZO,O,O,O,O,X,O,X,O,O,X,X,O
LISJTOZ,X,O,X,O,X,X,X,O,O,X,X,X
LISJZTO,O,O,X,O,X,O,X,X,X,X,O,O
LISJZOT,X,O,X,O,X,X,X,X,X,X,O,X
LISJOTZ,X,O,X,O,X,X,O,X,O,X,X,X
LISJOZT,X,O,X,O,X,X,O,X,X,X,X,X
LISZTJO,X,O,O,X,O,O,X,X,X,X,O,O
LISZTOJ,X,O,O,X,O,O,X,X,X,X,O,O
LISZJTO,X,O,O,X,X,X,X,X,X,X,O,O
LISZJOT,X,O,X,X,X,X,X,X,X,X,X,X
LISZOTJ,X,O,O,X,X,X,X,X,X,X,O,X
LISZOJT,X,O,X,X,X,X,X,X,X,X,X,X
LISOTJZ,X,X,O,X,X,X,X,X,O,X,X,X
LISOTZJ,X,O,O,X,O,X,O,X,O,X,O,X
LISOJTZ,O,O,O,X,X,X,O,X,O,X,X,X
LISOJZT,O,O,X,X,X,X,O,X,X,X,X,X
LISOZTJ,X,O,O,X,O,X,O,X,X,X,O,X
LISOZJT,X,O,X,X,X,X,O,X,X,X,X,X
LIZTJSO,X,X,O,X,O,O,X,X,X,O,X,X
LIZTJOS,X,X,X,X,O,O,X,X,X,X,X,X
LIZTSJO,X,X,O,X,O,O,X,X,O,O,O,X
LIZTSOJ,X,X,O,X,O,O,X,X,O,O,O,X
LIZTOJS,X,X,X,X,O,O,X,X,X,X,X,X
