sequence,v115@1gB8FeA8BeB8EeD8EeF8DeF8DeA8Je06IvhFxcBTeB?lmBatBXsBGsB,v115@1gB8FeA8BeB8EeD8EeF8DeF8DeA8Je06IvhFxcBTeB?lmBmsB3sBCsB,v115@1gB8FeA8BeB8EeD8EeF8DeF8DeA8Je06IvhFxcB3hB?FjB6sBOtBzrB,v115@1gB8FeA8BeB8EeD8EeF8DeF8DeA8Je06IvhFxdBXjB?lmBmsB6rBTsB,v115@1gB8FeA8BeB8EeD8EeF8DeF8DeA8Je06IvhFxcBTeB?1mBatBGsBXsB,v115@1gB8FeA8BeB8EeD8EeF8DeF8DeA8Je06IvhFXdBFjB?xmB6rBOtBTsB,v115@1gB8FeA8BeB8EeD8EeF8DeF8DeA8Je06IvhFmcBTeB?1mBfoBSsBRxB,v115@1gB8FeA8BeB8EeD8EeF8DeF8DeA8Je06IvhFxcBTeB?1mBSsBetBXsB,v115@1gB8FeA8BeB8EeD8EeF8DeF8DeA8Je06IvhFViBGeB?ZoBThBXnBSxB,v115@1gB8FeA8BeB8EeD8EeF8DeF8DeA8Je06IvhF/iBGeB?ZoBlmBTsB6rB,v115@1gB8FeA8BeB8EeD8EeF8DeF8DeA8Je06IvhFqiBTeB?3hB2sBlmBRxB,v115@1gB8FeA8BeB8EeD8EeF8DeF8DeA8Je06IvhFSiBTeB?xmBetBlmBXsB
IZTOLJS,O,X,X,X,O,X,X,X,X,X,X,X
IZTOLSJ,O,X,X,X,O,O,O,X,X,O,X,X
IZTOJLS,O,O,X,X,O,X,X,O,X,X,O,X
IZTOJSL,X,O,X,X,X,O,O,O,X,O,O,X
IZTOSLJ,O,X,O,X,O,O,O,X,X,O,X,X
IZTOSJL,X,X,X,X,X,O,O,X,X,O,X,X
IZLTJSO,X,X,X,X,O,X,O,X,O,X,X,X
IZLTJOS,O,O,X,X,O,X,X,O,X,X,X,O
IZLTSJO,O,X,O,X,X,O,O,X,O,X,X,X
IZLTSOJ,O,X,O,X,O,O,O,X,O,X,X,X
IZLTOJS,O,X,X,X,O,X,X,X,X,X,X,X
IZLTOSJ,O,X,X,X,O,O,O,X,X,X,X,X
IZLJTSO,X,X,X,X,O,X,O,X,O,X,O,X
IZLJTOS,X,O,X,X,O,X,X,O,X,X,O,O
IZLJSTO,X,X,X,X,X,X,X,X,O,X,O,O
IZLJSOT,X,X,X,X,O,X,X,O,O,X,O,O
IZLJOTS,O,O,X,X,O,X,X,O,X,X,O,O
IZLJOST,O,X,X,X,O,X,X,O,O,X,O,O
IZLSTJO,O,X,O,X,X,O,O,X,O,X,X,X
IZLSTOJ,O,X,O,X,X,O,O,X,O,X,X,X
IZLSJTO,X,X,O,X,X,X,X,X,O,X,O,X
IZLSJOT,O,X,X,X,X,X,X,X,O,X,O,O
IZLSOTJ,O,X,O,X,O,X,O,X,O,X,X,X
IZLSOJT,O,X,X,X,O,X,X,X,O,X,X,X
IZLOTJS,O,X,X,X,O,X,X,X,X,X,X,X
IZLOTSJ,O,X,X,X,O,X,O,X,X,O,X,X
IZLOJTS,O,O,X,X,O,X,X,O,X,X,O,O
IZLOJST,O,X,X,X,O,X,X,O,O,X,O,O
IZLOSTJ,O,X,X,X,O,X,O,X,O,X,X,X
IZLOSJT,O,X,X,X,O,X,X,X,O,X,X,X
IZJTLSO,X,X,X,X,O,X,O,O,O,X,O,X
IZJTLOS,O,O,X,X,O,X,X,O,X,X,O,X
IZJTSLO,X,O,X,O,X,O,O,X,X,X,O,O
IZJTSOL,X,O,X,O,X,O,O,O,X,X,O,O
IZJTOLS,O,O,X,X,O,X,X,O,X,X,O,X
IZJTOSL,X,O,X,X,X,O,O,O,X,X,O,O
IZJLTSO,X,X,X,X,O,X,O,O,O,X,O,X
IZJLTOS,X,O,X,X,O,X,X,O,X,X,O,O
IZJLSTO,X,X,X,X,X,X,X,X,O,X,O,O
IZJLSOT,X,X,X,X,O,X,X,O,O,X,O,O
IZJLOTS,O,O,X,X,O,X,X,O,X,X,O,O
IZJLOST,O,X,X,X,O,X,X,O,O,X,O,O
IZJSTLO,X,X,X,O,X,O,O,X,X,X,O,O
IZJSTOL,X,O,X,O,X,O,O,O,X,X,O,O
IZJSLTO,X,X,O,X,X,X,X,X,O,X,O,O
IZJSLOT,O,X,X,X,O,X,X,O,O,X,O,O
IZJSOTL,X,O,X,X,X,X,O,O,X,X,O,O
IZJSOLT,X,X,X,X,X,X,X,O,X,X,O,O
IZJOTLS,O,O,X,X,O,X,X,O,X,X,O,X
IZJOTSL,X,O,X,X,X,X,O,O,X,O,O,O
IZJOLTS,O,O,X,X,O,X,X,O,X,X,O,X
IZJOLST,O,X,X,X,O,X,X,O,O,X,O,O
IZJOSTL,X,O,X,X,X,X,O,O,X,X,O,O
IZJOSLT,X,X,X,X,X,X,X,O,X,X,O,O
IZSTLJO,O,X,O,X,X,O,O,X,X,X,X,X
IZSTLOJ,O,X,O,X,O,O,O,X,X,X,X,X
IZSTJLO,X,X,X,O,X,O,O,X,X,X,O,X
IZSTJOL,X,O,X,O,X,O,O,O,X,X,O,X
IZSTOLJ,O,X,O,X,O,O,O,X,X,X,X,X
IZSTOJL,X,X,X,X,X,O,O,X,X,X,X,X
IZSLTJO,O,X,O,X,X,O,O,X,O,X,X,X
IZSLTOJ,O,X,O,X,X,O,O,X,O,X,X,X
IZSLJTO,X,X,O,X,X,X,X,X,O,X,O,X
IZSLJOT,O,X,X,X,X,X,X,X,O,X,O,O
IZSLOTJ,O,X,O,X,O,X,O,X,O,X,X,X
IZSLOJT,O,X,X,X,O,X,X,X,O,X,X,X
IZSJTLO,X,X,X,O,X,O,O,X,X,X,O,O
IZSJTOL,X,O,X,O,X,O,O,O,X,X,O,O
IZSJLTO,X,X,O,X,X,X,X,X,O,X,O,O
IZSJLOT,O,X,X,X,O,X,X,O,O,X,O,O
IZSJOTL,X,O,X,X,X,X,O,O,X,X,O,O
IZSJOLT,X,X,X,X,X,X,X,O,X,X,O,O
IZSOTLJ,O,X,O,X,O,O,O,X,X,O,X,X
IZSOTJL,X,X,X,X,X,O,O,X,X,O,X,X
IZSOLTJ,O,X,O,X,O,X,O,X,X,X,X,X
IZSOLJT,O,X,O,X,O,X,X,X,X,X,X,X
IZSOJTL,X,O,X,X,X,X,O,O,X,X,O,X
IZSOJLT,X,X,O,X,X,X,X,O,X,X,O,X
IZOTLJS,O,X,X,X,O,X,X,X,X,X,X,X
IZOTLSJ,O,X,X,X,O,O,O,X,X,O,X,X
IZOTJLS,O,O,X,X,O,X,X,O,X,X,O,X
IZOTJSL,X,O,X,X,X,O,O,O,X,O,O,X
IZOTSLJ,O,X,O,X,O,O,O,X,X,O,X,X
IZOTSJL,X,X,X,X,X,O,O,X,X,O,X,X
IZOLTJS,O,X,X,X,O,X,X,X,X,X,X,X
IZOLTSJ,O,X,O,X,O,O,O,X,X,O,X,X
IZOLJTS,O,O,X,X,O,X,X,O,X,X,O,O
IZOLJST,O,X,X,X,O,X,X,O,O,X,O,O
IZOLSTJ,O,X,O,X,O,O,O,X,O,X,X,X
IZOLSJT,O,X,O,X,O,X,X,X,O,X,X,X
IZOJTLS,O,O,X,X,O,X,X,O,X,X,O,X
IZOJTSL,X,O,X,X,X,O,O,O,X,O,O,O
IZOJLTS,O,O,X,X,O,X,X,O,X,X,O,X
IZOJLST,O,X,X,X,O,X,X,O,O,X,O,O
IZOJSTL,X,O,X,X,X,O,O,O,X,X,O,O
IZOJSLT,X,X,O,X,X,X,X,O,X,X,O,O
IZOSTLJ,O,X,O,X,O,O,O,X,X,O,X,X
IZOSTJL,X,X,X,X,X,O,O,X,X,O,X,X
IZOSLTJ,O,X,O,X,O,O,O,X,X,X,X,X
IZOSLJT,O,X,O,X,O,X,X,X,X,X,X,X
IZOSJTL,X,O,X,X,X,O,O,O,X,X,O,X
IZOSJLT,X,X,O,X,X,X,X,O,X,X,O,X
IOTLJSZ,X,X,X,X,O,X,X,X,X,X,X,X
IOTLJZS,O,X,X,X,O,X,X,X,X,X,X,X
IOTLSJZ,O,X,X,X,X,X,O,X,X,O,X,X
IOTLSZJ,O,X,X,X,O,O,O,X,X,O,X,X
IOTLZJS,O,X,X,X,O,X,X,X,X,X,X,X
IOTLZSJ,O,X,X,X,O,O,O,X,X,O,X,X
IOTJLSZ,X,X,X,X,X,X,X,X,X,X,O,X
IOTJLZS,X,O,X,X,X,X,X,O,X,X,O,X
IOTJSLZ,X,X,X,X,X,X,O,X,X,O,O,X
IOTJSZL,X,O,X,X,X,O,O,O,X,O,O,X
IOTJZLS,O,O,X,X,O,X,X,O,X,X,O,X
IOTJZSL,X,O,X,X,X,O,O,O,X,O,O,X
IOTSLJZ,X,X,O,X,X,X,O,X,X,O,X,X
IOTSLZJ,X,X,O,X,X,O,O,X,X,O,X,X
IOTSJLZ,X,X,X,X,X,X,O,X,X,O,X,X
IOTSJZL,X,X,X,X,X,O,O,X,X,O,X,X
IOTSZLJ,O,X,O,X,O,O,O,X,X,O,X,X
IOTSZJL,X,X,X,X,X,O,O,X,X,O,X,X
IOTZLJS,O,X,X,X,O,X,X,X,X,X,X,X
IOTZLSJ,O,X,X,X,O,O,O,X,X,O,X,X
IOTZJLS,O,O,X,X,O,X,X,O,X,X,O,X
IOTZJSL,X,O,X,X,X,O,O,O,X,O,O,X
IOTZSLJ,O,X,O,X,O,O,O,X,X,O,X,X
IOTZSJL,X,X,X,X,X,O,O,X,X,O,X,X
IOLTJSZ,X,X,X,X,O,X,X,X,X,X,X,X
IOLTJZS,O,X,X,X,O,X,X,X,X,X,X,X
IOLTSJZ,O,X,O,X,X,X,O,X,X,O,X,X
IOLTSZJ,O,X,O,X,O,O,O,X,X,O,X,X
IOLTZJS,O,X,X,X,O,X,X,X,X,X,X,X
IOLTZSJ,O,X,O,X,O,O,O,X,X,O,X,X
IOLJTSZ,X,X,X,X,O,X,X,X,X,X,O,X
IOLJTZS,X,X,X,X,O,X,X,X,X,X,O,O
IOLJSTZ,X,X,X,X,X,X,X,X,O,X,O,X
IOLJSZT,X,X,X,X,O,X,X,X,O,X,O,O
IOLJZTS,O,X,X,X,O,X,X,X,X,X,O,O
IOLJZST,O,X,X,X,O,X,X,X,O,X,O,O
IOLSTJZ,O,X,O,X,X,X,O,X,O,X,X,X
IOLSTZJ,O,X,O,X,X,O,O,X,O,X,X,X
IOLSJTZ,X,X,O,X,X,X,X,X,O,X,X,X
IOLSJZT,O,X,O,X,X,X,X,X,O,X,X,X
IOLSZTJ,O,X,O,X,O,O,O,X,O,X,X,X
IOLSZJT,O,X,O,X,O,X,X,X,O,X,X,X
IOLZTJS,O,X,X,X,O,X,X,X,X,X,X,X
IOLZTSJ,O,X,O,X,O,O,O,X,X,O,X,X
IOLZJTS,O,O,X,X,O,X,X,O,X,X,O,O
IOLZJST,O,X,X,X,O,X,X,O,O,X,O,O
IOLZSTJ,O,X,O,X,O,O,O,X,O,X,X,X
IOLZSJT,O,X,O,X,O,X,X,X,O,X,X,X
IOJTLSZ,X,X,X,X,X,X,X,O,X,X,O,X
IOJTLZS,X,O,X,X,X,X,X,O,X,X,O,X
IOJTSLZ,X,O,X,X,X,X,O,X,X,O,O,O
IOJTSZL,X,O,X,X,X,O,O,O,X,O,O,O
IOJTZLS,X,O,X,X,X,X,X,O,X,X,O,X
IOJTZSL,X,O,X,X,X,O,O,O,X,O,O,O
IOJLTSZ,X,X,X,X,X,X,X,O,X,X,O,X
IOJLTZS,X,X,X,X,O,X,X,O,X,X,O,X
IOJLSTZ,X,X,X,X,X,X,X,X,O,X,O,O
IOJLSZT,X,X,X,X,O,X,X,O,O,X,O,O
IOJLZTS,X,O,X,X,O,X,X,O,X,X,O,X
IOJLZST,X,X,X,X,O,X,X,O,O,X,O,O
IOJSTLZ,X,X,X,X,X,X,O,X,X,X,O,O
IOJSTZL,X,X,X,X,X,O,O,X,X,X,O,O
IOJSLTZ,X,X,O,X,X,X,X,X,X,X,O,O
IOJSLZT,X,X,O,X,X,X,X,X,X,X,O,O
IOJSZTL,X,O,X,X,X,O,O,O,X,X,O,O
IOJSZLT,X,X,O,X,X,X,X,O,X,X,O,O
IOJZTLS,O,O,X,X,O,X,X,O,X,X,O,X
IOJZTSL,X,O,X,X,X,O,O,O,X,O,O,O
IOJZLTS,O,O,X,X,O,X,X,O,X,X,O,X
IOJZLST,O,X,X,X,O,X,X,O,O,X,O,O
IOJZSTL,X,O,X,X,X,O,O,O,X,X,O,O
IOJZSLT,X,X,O,X,X,X,X,O,X,X,O,O
IOSTLJZ,X,X,O,X,X,X,O,X,X,O,X,X
IOSTLZJ,X,X,O,X,X,O,O,X,X,O,X,X
IOSTJLZ,X,X,X,X,X,X,O,X,X,O,X,X
IOSTJZL,X,X,X,X,X,O,O,X,X,O,X,X
IOSTZLJ,X,X,O,X,X,O,O,X,X,O,X,X
IOSTZJL,X,X,X,X,X,O,O,X,X,O,X,X
IOSLTJZ,X,X,O,X,X,X,O,X,X,X,X,X
IOSLTZJ,O,X,O,X,X,O,O,X,X,X,X,X
IOSLJTZ,X,X,O,X,X,X,X,X,X,X,X,X
IOSLJZT,O,X,O,X,X,X,X,X,X,X,X,X
IOSLZTJ,O,X,O,X,X,O,O,X,X,X,X,X
IOSLZJT,O,X,O,X,X,X,X,X,X,X,X,X
IOSJTLZ,X,X,X,X,X,X,O,X,X,X,O,X
IOSJTZL,X,X,X,X,X,O,O,X,X,X,O,X
IOSJLTZ,X,X,O,X,X,X,X,X,X,X,O,X
IOSJLZT,X,X,O,X,X,X,X,X,X,X,O,X
IOSJZTL,X,X,X,X,X,O,O,X,X,X,O,X
IOSJZLT,X,X,O,X,X,X,X,X,X,X,O,X
IOSZTLJ,O,X,O,X,O,O,O,X,X,O,X,X
IOSZTJL,X,X,X,X,X,O,O,X,X,O,X,X
IOSZLTJ,O,X,O,X,O,O,O,X,X,X,X,X
IOSZLJT,O,X,O,X,O,X,X,X,X,X,X,X
IOSZJTL,X,O,X,X,X,O,O,O,X,X,O,X
IOSZJLT,X,X,O,X,X,X,X,O,X,X,O,X
IOZTLJS,O,X,X,X,O,X,X,X,X,X,X,X
IOZTLSJ,O,X,X,X,O,O,O,X,X,O,X,X
IOZTJLS,O,O,X,X,O,X,X,O,X,X,O,X
IOZTJSL,X,O,X,X,X,O,O,O,X,O,O,X
IOZTSLJ,O,X,O,X,O,O,O,X,X,O,X,X
IOZTSJL,X,X,X,X,X,O,O,X,X,O,X,X
IOZLTJS,O,X,X,X,O,X,X,X,X,X,X,X
IOZLTSJ,O,X,O,X,O,O,O,X,X,O,X,X
IOZLJTS,O,O,X,X,O,X,X,O,X,X,O,O
IOZLJST,O,X,X,X,O,X,X,O,O,X,O,O
IOZLSTJ,O,X,O,X,O,O,O,X,O,X,X,X
IOZLSJT,O,X,O,X,O,X,X,X,O,X,X,X
IOZJTLS,O,O,X,X,O,X,X,O,X,X,O,X
IOZJTSL,X,O,X,X,X,O,O,O,X,O,O,O
IOZJLTS,O,O,X,X,O,X,X,O,X,X,O,X
IOZJLST,O,X,X,X,O,X,X,O,O,X,O,O
IOZJSTL,X,O,X,X,X,O,O,O,X,X,O,O
IOZJSLT,X,X,O,X,X,X,X,O,X,X,O,O
IOZSTLJ,O,X,O,X,O,O,O,X,X,O,X,X
IOZSTJL,X,X,X,X,X,O,O,X,X,O,X,X
IOZSLTJ,O,X,O,X,O,O,O,X,X,X,X,X
IOZSLJT,O,X,O,X,O,X,X,X,X,X,X,X
IOZSJTL,X,O,X,X,X,O,O,O,X,X,O,X
IOZSJLT,X,X,O,X,X,X,X,O,X,X,O,X
LTIJSZO,X,X,X,X,O,X,O,X,O,X,X,X
LTIJSOZ,X,X,X,X,O,X,O,X,O,X,X,X
LTIJZSO,X,X,X,X,O,X,O,X,O,X,X,X
LTIJZOS,O,O,X,X,O,X,X,O,X,X,X,X
LTIJOSZ,X,X,X,X,O,X,X,X,X,X,X,X
LTIJOZS,O,O,X,X,O,X,X,O,X,X,X,X
LTISJZO,O,X,O,X,X,X,O,X,O,X,X,X
LTISJOZ,O,X,X,X,X,X,O,X,O,X,X,X
LTISZJO,O,X,O,X,X,O,O,X,O,X,X,X
LTISZOJ,O,X,O,X,O,O,O,X,O,X,X,X
LTISOJZ,O,X,X,X,X,X,O,X,O,X,X,X
LTISOZJ,O,X,O,X,O,X,O,X,O,X,X,X
LTIZJSO,X,X,X,X,O,X,O,X,O,X,X,X
LTIZJOS,O,O,X,X,O,X,X,O,X,X,X,X
LTIZSJO,O,X,O,X,X,O,O,X,O,X,X,X
LTIZSOJ,O,X,O,X,O,O,O,X,O,X,X,X
LTIZOJS,O,X,X,X,O,X,X,X,X,X,X,X
LTIZOSJ,O,X,X,X,O,O,O,X,X,X,X,X
LTIOJSZ,X,X,X,X,O,X,X,X,X,X,X,X
LTIOJZS,O,X,X,X,O,X,X,X,X,X,X,X
LTIOSJZ,O,X,X,X,X,X,O,X,X,X,X,X
LTIOSZJ,O,X,X,X,O,O,O,X,X,X,X,X
LTIOZJS,O,X,X,X,O,X,X,X,X,X,X,X
LTIOZSJ,O,X,X,X,O,O,O,X,X,X,X,X
LTJISZO,X,X,X,X,O,X,O,O,O,X,X,X
LTJISOZ,X,X,X,X,O,X,O,O,O,X,X,X
LTJIZSO,X,X,X,X,O,X,O,O,O,X,X,X
LTJIZOS,O,O,X,X,O,X,X,O,X,X,X,X
LTJIOSZ,X,X,X,X,O,X,X,O,X,X,X,X
LTJIOZS,O,O,X,X,O,X,X,O,X,X,X,X
LTJSIZO,O,O,O,O,O,X,X,O,O,X,X,X
LTJSIOZ,O,O,X,O,O,X,X,O,O,X,X,X
LTJSZIO,O,O,O,O,O,X,X,O,O,X,X,X
LTJSZOI,O,O,O,O,O,X,X,O,X,X,X,X
LTJSOIZ,O,O,X,O,O,X,X,O,X,X,X,X
LTJSOZI,O,O,X,O,O,X,X,O,X,X,X,X
LTJZISO,X,X,X,X,O,X,O,O,O,X,X,X
LTJZIOS,O,O,X,X,O,X,X,O,X,X,X,X
LTJZSIO,O,O,O,O,O,X,X,O,O,X,X,X
LTJZSOI,O,O,O,O,O,X,X,O,X,X,X,X
LTJZOIS,O,O,X,X,O,X,X,O,X,X,X,X
LTJZOSI,O,O,X,X,O,X,X,O,X,X,X,X
LTJOISZ,X,X,X,X,O,X,X,O,X,X,X,X
LTJOIZS,O,O,X,X,O,X,X,O,X,X,X,X
LTJOSIZ,O,O,X,X,O,X,X,O,X,X,X,X
LTJOSZI,O,O,X,X,O,X,X,O,X,X,X,X
LTJOZIS,O,O,X,X,O,X,X,O,X,X,X,X
LTJOZSI,O,O,X,X,O,X,X,O,X,X,X,X
LTSIJZO,O,X,O,X,X,X,X,X,O,X,X,X
LTSIJOZ,O,X,X,X,X,X,X,X,O,X,X,X
LTSIZJO,O,X,O,X,X,X,X,X,O,X,X,X
LTSIZOJ,O,X,O,X,O,X,X,X,O,X,X,X
LTSIOJZ,O,X,X,X,X,X,X,X,O,X,X,X
LTSIOZJ,O,X,O,X,O,X,X,X,O,X,X,X
LTSJIZO,O,X,O,O,O,X,X,X,O,X,X,X
LTSJIOZ,O,X,X,O,O,X,X,X,O,X,X,X
LTSJZIO,O,X,O,O,O,X,X,X,O,X,X,X
LTSJZOI,O,X,O,O,O,X,X,X,X,X,X,X
LTSJOIZ,O,X,X,O,O,X,X,X,X,X,X,X
LTSJOZI,O,X,X,O,O,X,X,X,X,X,X,X
LTSZIJO,O,X,O,X,X,O,X,X,O,X,X,X
LTSZIOJ,O,X,O,X,O,O,X,X,O,X,X,X
LTSZJIO,O,X,O,O,O,X,X,X,O,X,X,X
LTSZJOI,O,X,O,O,O,X,X,X,X,X,X,X
LTSZOIJ,O,X,O,X,O,X,X,X,O,X,X,X
LTSZOJI,O,X,O,X,O,X,X,X,X,X,X,X
LTSOIJZ,O,X,X,X,X,X,X,X,O,X,X,X
LTSOIZJ,O,X,O,X,O,X,X,X,O,X,X,X
LTSOJIZ,O,X,X,X,O,X,X,X,X,X,X,X
LTSOJZI,O,X,X,X,O,X,X,X,X,X,X,X
LTSOZIJ,O,X,O,X,O,X,X,X,O,X,X,X
LTSOZJI,O,X,O,X,O,X,X,X,X,X,X,X
LTZIJSO,X,X,X,X,O,X,O,X,O,X,X,X
LTZIJOS,O,O,X,X,O,X,X,O,X,X,X,X
LTZISJO,O,X,O,X,X,O,O,X,O,X,X,X
LTZISOJ,O,X,O,X,O,O,O,X,O,X,X,X
LTZIOJS,O,X,X,X,O,X,X,X,X,X,X,X
LTZIOSJ,O,X,X,X,O,O,O,X,X,X,X,X
LTZJISO,X,X,X,X,O,X,O,O,O,X,X,X
LTZJIOS,O,O,X,X,O,X,X,O,X,X,X,X
LTZJSIO,O,O,O,O,O,X,X,O,O,X,X,X
LTZJSOI,O,O,O,O,O,X,X,O,X,X,X,X
LTZJOIS,O,O,X,X,O,X,X,O,X,X,X,X
LTZJOSI,O,O,X,X,O,X,X,O,X,X,X,X
LTZSIJO,O,X,O,X,X,O,X,X,O,X,X,X
LTZSIOJ,O,X,O,X,O,O,X,X,O,X,X,X
LTZSJIO,O,X,O,O,O,X,X,X,O,X,X,X
LTZSJOI,O,X,O,O,O,X,X,X,X,X,X,X
LTZSOIJ,O,X,O,X,O,X,X,X,O,X,X,X
LTZSOJI,O,X,O,X,O,X,X,X,X,X,X,X
LTZOIJS,O,X,X,X,O,X,X,X,X,X,X,X
LTZOISJ,O,X,X,X,O,O,O,X,X,O,X,X
LTZOJIS,O,X,X,X,O,X,X,X,X,X,X,X
LTZOJSI,O,X,X,X,O,X,X,X,X,X,X,X
LTZOSIJ,O,X,O,X,O,O,X,X,X,O,X,X
LTZOSJI,O,X,O,X,O,X,X,X,X,X,X,X
LTOIJSZ,X,X,X,X,O,X,X,X,X,X,X,X
LTOIJZS,O,X,X,X,O,X,X,X,X,X,X,X
LTOISJZ,O,X,X,X,X,X,O,X,X,O,X,X
LTOISZJ,O,X,X,X,O,O,O,X,X,O,X,X
LTOIZJS,O,X,X,X,O,X,X,X,X,X,X,X
LTOIZSJ,O,X,X,X,O,O,O,X,X,O,X,X
LTOJISZ,X,X,X,X,O,X,X,X,X,X,X,X
LTOJIZS,O,X,X,X,O,X,X,X,X,X,X,X
LTOJSIZ,O,X,X,X,O,X,X,X,X,X,X,X
LTOJSZI,O,X,X,X,O,X,X,X,X,X,X,X
LTOJZIS,O,X,X,X,O,X,X,X,X,X,X,X
LTOJZSI,O,X,X,X,O,X,X,X,X,X,X,X
LTOSIJZ,O,X,X,X,X,X,X,X,X,O,X,X
LTOSIZJ,O,X,O,X,O,X,X,X,X,O,X,X
LTOSJIZ,O,X,X,X,O,X,X,X,X,X,X,X
LTOSJZI,O,X,X,X,O,X,X,X,X,X,X,X
LTOSZIJ,O,X,O,X,O,O,X,X,X,O,X,X
LTOSZJI,O,X,O,X,O,X,X,X,X,X,X,X
LTOZIJS,O,X,X,X,O,X,X,X,X,X,X,X
LTOZISJ,O,X,X,X,O,O,O,X,X,O,X,X
LTOZJIS,O,X,X,X,O,X,X,X,X,X,X,X
LTOZJSI,O,X,X,X,O,X,X,X,X,X,X,X
LTOZSIJ,O,X,O,X,O,O,X,X,X,O,X,X
LTOZSJI,O,X,O,X,O,X,X,X,X,X,X,X
LITJSZO,X,X,X,X,O,X,O,X,O,X,X,X
LITJSOZ,X,X,X,X,O,X,O,X,O,X,X,X
LITJZSO,X,X,X,X,O,X,O,X,O,X,X,X
LITJZOS,O,O,X,X,O,X,X,O,X,X,X,O
LITJOSZ,X,X,X,X,O,X,X,X,X,X,X,X
LITJOZS,O,O,X,X,O,X,X,O,X,X,X,O
LITSJZO,O,X,O,X,X,X,O,X,O,X,X,X
LITSJOZ,O,X,X,X,X,X,O,X,O,X,X,X
LITSZJO,O,X,O,X,X,O,O,X,O,X,X,X
LITSZOJ,O,X,O,X,O,O,O,X,O,X,X,X
LITSOJZ,O,X,X,X,X,X,O,X,O,X,X,X
LITSOZJ,O,X,O,X,O,X,O,X,O,X,X,X
LITZJSO,X,X,X,X,O,X,O,X,O,X,X,X
LITZJOS,O,O,X,X,O,X,X,O,X,X,X,O
LITZSJO,O,X,O,X,X,O,O,X,O,X,X,X
LITZSOJ,O,X,O,X,O,O,O,X,O,X,X,X
LITZOJS,O,X,X,X,O,X,X,X,X,X,X,X
LITZOSJ,O,X,X,X,O,O,O,X,X,X,X,X
LITOJSZ,X,X,X,X,O,X,X,X,X,X,X,X
LITOJZS,O,X,X,X,O,X,X,X,X,X,X,X
LITOSJZ,O,X,X,X,X,X,O,X,X,X,X,X
LITOSZJ,O,X,X,X,O,O,O,X,X,X,X,X
LITOZJS,O,X,X,X,O,X,X,X,X,X,X,X
LITOZSJ,O,X,X,X,O,O,O,X,X,X,X,X
LIJTSZO,X,X,X,X,O,X,O,X,O,X,O,X
LIJTSOZ,X,X,X,X,O,X,O,X,O,X,O,X
LIJTZSO,X,X,X,X,O,X,O,X,O,X,O,X
LIJTZOS,X,O,X,X,O,X,X,O,X,X,O,O
LIJTOSZ,X,X,X,X,O,X,X,X,X,X,O,X
LIJTOZS,X,O,X,X,O,X,X,O,X,X,O,O
LIJSTZO,X,X,X,X,X,X,X,X,O,X,O,O
LIJSTOZ,X,X,X,X,X,X,X,X,O,X,O,O
LIJSZTO,X,X,X,X,X,X,X,X,O,X,O,O
LIJSZOT,X,X,X,X,O,X,X,O,O,X,O,O
LIJSOTZ,X,X,X,X,X,X,X,X,O,X,O,O
LIJSOZT,X,X,X,X,O,X,X,O,O,X,O,O
LIJZTSO,X,X,X,X,O,X,O,X,O,X,O,X
LIJZTOS,X,O,X,X,O,X,X,O,X,X,O,O
LIJZSTO,X,X,X,X,X,X,X,X,O,X,O,O
LIJZSOT,X,X,X,X,O,X,X,O,O,X,O,O
LIJZOTS,O,O,X,X,O,X,X,O,X,X,O,O
LIJZOST,O,X,X,X,O,X,X,O,O,X,O,O
LIJOTSZ,X,X,X,X,O,X,X,X,X,X,O,X
LIJOTZS,X,X,X,X,O,X,X,O,X,X,O,O
LIJOSTZ,X,X,X,X,X,X,X,X,O,X,O,O
LIJOSZT,X,X,X,X,O,X,X,O,O,X,O,O
LIJOZTS,O,O,X,X,O,X,X,O,X,X,O,O
LIJOZST,O,X,X,X,O,X,X,O,O,X,O,O
LISTJZO,O,X,O,X,X,X,O,X,O,X,X,X
LISTJOZ,O,X,X,X,X,X,O,X,O,X,X,X
LISTZJO,O,X,O,X,X,O,O,X,O,X,X,X
LISTZOJ,O,X,O,X,X,O,O,X,O,X,X,X
LISTOJZ,O,X,X,X,X,X,O,X,O,X,X,X
LISTOZJ,O,X,O,X,X,X,O,X,O,X,X,X
LISJTZO,X,X,O,X,X,X,X,X,O,X,O,X
LISJTOZ,X,X,X,X,X,X,X,X,O,X,O,X
LISJZTO,X,X,O,X,X,X,X,X,O,X,O,X
LISJZOT,O,X,X,X,X,X,X,X,O,X,O,O
LISJOTZ,X,X,X,X,X,X,X,X,O,X,O,X
LISJOZT,O,X,X,X,X,X,X,X,O,X,O,O
LISZTJO,O,X,O,X,X,O,O,X,O,X,X,X
LISZTOJ,O,X,O,X,X,O,O,X,O,X,X,X
LISZJTO,X,X,O,X,X,X,X,X,O,X,O,X
LISZJOT,O,X,X,X,X,X,X,X,O,X,O,O
LISZOTJ,O,X,O,X,O,X,O,X,O,X,X,X
LISZOJT,O,X,X,X,O,X,X,X,O,X,X,X
LISOTJZ,O,X,X,X,X,X,O,X,O,X,X,X
LISOTZJ,O,X,O,X,X,X,O,X,O,X,X,X
LISOJTZ,X,X,X,X,X,X,X,X,O,X,X,X
LISOJZT,O,X,X,X,X,X,X,X,O,X,X,X
LISOZTJ,O,X,O,X,O,X,O,X,O,X,X,X
