sequence,v115@5gD8GeC8FeF8FeE8CeD8JeO/IvhFxbBflB0gBlhBzq?BCsB,v115@5gD8GeC8FeF8FeE8CeD8Jex6IvhF0cBTfBlgB/qBOr?BCsB,v115@5gD8GeC8FeF8FeE8CeD8Jex6IvhFTfB0gBlhB/qBOr?BCsB,v115@5gD8GeC8FeF8FeE8CeD8Jex6IvhFTfB0gBlhB2qBCs?BXrB,v115@5gD8GeC8FeF8FeE8CeD8Jex6IvhF0cBTfBlgB2qBCs?BXrB,v115@5gD8GeC8FeF8FeE8CeD8JeO/IvhFxbBzfBfmBlhB0q?BCsB,v115@5gD8GeC8FeF8FeE8CeD8Jex6IvhF0cBTfBlgB/qBKr?BWxB,v115@5gD8GeC8FeF8FeE8CeD8JeO/IvhF8fBqgBlhB/qBxr?BTrB,v115@5gD8GeC8FeF8FeE8CeD8JeO/IvhFflB0gBlhB6qBxr?BTrB,v115@5gD8GeC8FeF8FeE8CeD8Jem6IvhFCcBTfBlhB/qBxr?BUrB,v115@5gD8GeC8FeF8FeE8CeD8JeT6IvhFxbBykBfmBWsB0q?BlrB,v115@5gD8GeC8FeF8FeE8CeD8Jex6IvhF0cBTfB/qBFmBCs?BmqB,v115@5gD8GeC8FeF8FeE8CeD8JeT6IvhF1hBmkBCmBxrB/q?BUrB,v115@5gD8GeC8FeF8FeE8CeD8JeT6IvhF2gB3hBxkBFmB0q?BCsB,v115@5gD8GeC8FeF8FeE8CeD8Je06IvhF2kBlhB3lBxrB6q?BTrB,v115@5gD8GeC8FeF8FeE8CeD8JeK/IvhFfgBxbBzgB+rBUn?BlqB,v115@5gD8GeC8FeF8FeE8CeD8JeT/IvhF0gBlhBmfB3lBxr?BSwB,v115@5gD8GeC8FeF8FeE8CeD8JeO/IvhF8fBCcBTlBxrBXr?BlrB,v115@5gD8GeC8FeF8FeE8CeD8Jex7IvhFmfBfmBlhBTfB0q?BCsB
ZJSTILO,O,O,X,X,X,O,X,O,O,X,O,X,X,X,O,X,X,X,O
ZJSTIOL,O,O,X,X,O,O,O,X,O,X,X,X,X,O,O,X,X,X,O
ZJSTLIO,O,O,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,O
ZJSTLOI,O,O,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,O
ZJSTOIL,O,O,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,O
ZJSTOLI,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O
ZJSITLO,O,O,X,X,X,O,X,O,O,X,O,X,X,X,O,X,X,X,O
ZJSITOL,O,O,X,X,X,O,X,X,O,X,X,X,X,O,O,X,X,X,O
ZJSILTO,O,X,X,X,X,O,X,O,O,X,O,X,X,X,O,X,X,X,O
ZJSILOT,O,X,X,X,X,O,X,O,X,X,O,X,X,O,X,X,X,X,X
ZJSIOTL,O,O,X,X,X,O,O,X,O,X,X,X,X,O,O,X,X,X,X
ZJSIOLT,O,O,X,X,X,O,O,O,X,X,O,X,X,O,X,X,X,X,X
ZJSLTIO,O,O,X,X,X,O,O,O,O,X,O,X,X,X,X,X,X,X,O
ZJSLTOI,O,O,X,O,X,O,O,O,O,X,O,X,X,X,X,X,X,X,O
ZJSLITO,O,X,X,X,X,O,O,O,O,X,O,X,X,X,O,X,X,X,O
ZJSLIOT,O,X,X,X,X,O,O,O,X,X,O,X,X,O,X,X,X,X,X
ZJSLOTI,O,O,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,O
ZJSLOIT,O,O,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X
ZJSOTIL,O,O,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,O
ZJSOTLI,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O
ZJSOITL,O,O,X,O,O,O,O,X,O,X,X,X,X,O,O,X,X,O,X
ZJSOILT,O,O,X,O,X,O,O,O,X,X,O,O,X,O,X,X,X,O,X
ZJSOLTI,O,O,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,O
ZJSOLIT,O,O,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,O,X
ZJOTILS,X,X,X,O,O,O,O,X,X,X,X,X,O,X,X,X,X,O,X
ZJOTISL,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X
ZJOTLIS,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X
ZJOTLSI,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJOTSIL,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJOTSLI,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJOITLS,X,X,X,O,O,O,O,X,X,X,X,X,O,X,X,X,X,O,X
ZJOITSL,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X
ZJOILTS,X,O,X,O,O,O,O,X,X,X,X,X,O,X,X,X,X,O,X
ZJOILST,X,O,X,O,O,O,O,X,X,X,X,O,O,X,X,X,X,O,X
ZJOISTL,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X
ZJOISLT,X,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X,O,X
ZJOLTIS,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X
ZJOLTSI,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
ZJOLITS,X,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X
ZJOLIST,X,O,X,O,O,O,O,X,X,X,O,O,X,X,X,X,X,O,X
ZJOLSTI,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,O
ZJOLSIT,O,O,X,O,O,O,O,X,X,X,O,O,X,X,X,X,X,O,X
ZJOSTIL,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O
ZJOSTLI,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
ZJOSITL,O,O,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,O,X
ZJOSILT,O,O,X,O,X,O,O,O,X,X,O,O,X,X,X,X,X,O,X
ZJOSLTI,O,O,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,O
ZJOSLIT,O,O,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,O,X
ZSTILJO,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,O
ZSTILOJ,X,O,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X
ZSTIJLO,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,O
ZSTIJOL,O,O,X,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,O
ZSTIOLJ,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSTIOJL,O,O,O,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,O
ZSTLIJO,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O
ZSTLIOJ,O,O,O,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,O
ZSTLJIO,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,O
ZSTLJOI,O,X,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,O
ZSTLOIJ,O,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O
ZSTLOJI,O,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O
ZSTJILO,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,O
ZSTJIOL,O,O,X,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,O
ZSTJLIO,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,O
ZSTJLOI,O,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,O
ZSTJOIL,O,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O
ZSTJOLI,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O
ZSTOILJ,X,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ZSTOIJL,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O
ZSTOLIJ,X,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ZSTOLJI,X,X,O,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X
ZSTOJIL,O,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O
ZSTOJLI,O,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,O
ZSITLJO,O,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,O
ZSITLOJ,X,O,X,X,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X
ZSITJLO,O,X,X,X,X,O,X,O,O,O,X,X,X,X,O,X,X,X,O
ZSITJOL,O,O,X,X,X,O,O,X,O,O,X,X,X,O,O,X,X,X,O
ZSITOLJ,X,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
ZSITOJL,O,O,O,X,X,O,O,X,O,O,X,X,X,O,X,X,X,X,O
ZSILTJO,O,X,X,X,X,O,X,O,O,O,X,X,X,O,X,X,X,X,O
ZSILTOJ,O,X,O,X,X,O,X,O,X,O,O,X,X,O,X,X,X,X,O
ZSILJTO,O,X,X,X,X,O,X,O,O,O,X,X,X,O,X,X,X,X,O
ZSILJOT,O,X,X,X,X,O,X,O,X,O,O,X,X,O,X,X,X,X,X
ZSILOTJ,X,X,O,X,X,O,X,O,X,O,O,X,X,O,X,X,X,X,X
ZSILOJT,O,X,O,X,X,O,X,O,X,O,O,X,X,O,X,X,X,X,X
ZSIJTLO,O,X,X,X,X,O,X,O,O,O,X,X,X,X,O,X,X,X,O
ZSIJTOL,O,X,X,X,X,O,X,X,O,O,X,X,X,O,O,X,X,X,O
ZSIJLTO,O,X,X,X,X,O,X,O,O,O,X,X,X,X,O,X,X,X,O
ZSIJLOT,O,X,X,X,X,O,X,O,X,O,O,X,X,O,X,X,X,X,X
ZSIJOTL,O,X,X,X,X,O,X,X,O,O,X,X,X,O,O,X,X,X,X
ZSIJOLT,O,X,X,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X
ZSIOTLJ,X,O,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X
ZSIOTJL,X,O,O,X,X,O,O,X,O,O,X,X,X,O,X,X,X,X,X
ZSIOLTJ,X,O,O,X,X,O,O,O,X,O,O,O,X,O,X,X,X,X,X
ZSIOLJT,X,O,O,X,X,O,O,O,X,O,O,O,X,O,X,X,X,X,X
ZSIOJTL,O,O,O,X,X,O,O,X,O,O,X,X,X,O,X,X,X,X,X
ZSIOJLT,O,O,O,X,X,O,O,O,X,O,X,O,X,O,X,X,X,X,X
ZSLTIJO,O,O,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,O
ZSLTIOJ,O,O,O,X,X,O,O,O,X,X,O,O,X,O,X,X,X,X,O
ZSLTJIO,O,O,X,X,X,O,O,O,O,X,X,X,X,O,X,X,X,X,O
ZSLTJOI,O,O,O,X,X,O,O,O,O,X,X,O,X,X,X,X,X,X,O
ZSLTOIJ,O,O,O,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,O
ZSLTOJI,O,O,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,O
ZSLITJO,O,O,X,X,X,O,O,O,O,X,X,X,X,O,X,X,X,X,O
ZSLITOJ,O,O,O,X,X,O,O,O,X,X,O,X,X,O,X,X,X,X,O
ZSLIJTO,O,X,X,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,O
ZSLIJOT,O,X,X,X,X,O,X,O,X,X,O,X,X,O,X,X,X,X,X
ZSLIOTJ,X,O,O,X,X,O,O,O,X,X,O,O,X,O,X,X,X,X,X
ZSLIOJT,O,O,O,X,X,O,O,O,X,X,O,O,X,O,X,X,X,X,X
ZSLJTIO,O,O,X,X,O,O,O,O,O,X,O,X,X,O,X,X,X,X,O
ZSLJTOI,O,O,O,X,O,O,O,O,O,X,O,X,X,X,X,X,X,X,O
ZSLJITO,O,O,X,X,O,O,X,O,O,X,O,X,X,O,X,X,X,X,O
ZSLJIOT,O,O,X,X,O,O,X,O,X,X,O,X,X,O,X,X,X,X,X
ZSLJOTI,O,O,O,X,O,O,O,O,X,X,O,X,X,X,X,X,X,X,O
ZSLJOIT,O,O,O,X,O,O,O,O,X,X,O,O,X,O,X,X,X,X,X
ZSLOTIJ,O,O,O,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,O
ZSLOTJI,O,O,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,O
ZSLOITJ,O,O,O,X,X,O,O,O,X,X,O,O,X,O,X,X,X,X,X
ZSLOIJT,O,O,O,X,O,O,O,O,X,X,O,O,X,O,X,X,X,X,X
ZSLOJTI,O,O,O,X,O,O,O,O,X,X,O,X,X,X,X,X,X,X,O
ZSLOJIT,O,O,O,X,O,O,O,O,X,X,O,O,X,O,X,X,X,X,X
ZSJTILO,O,O,X,X,X,O,X,O,O,X,O,X,X,X,O,X,X,X,O
ZSJTIOL,O,O,X,X,O,O,O,X,O,X,X,X,X,O,O,X,X,X,O
ZSJTLIO,O,O,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,O
ZSJTLOI,O,O,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X,O
ZSJTOIL,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,O
ZSJTOLI,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O
ZSJITLO,O,O,X,X,X,O,X,O,O,O,O,X,X,X,O,X,X,X,O
ZSJITOL,O,O,X,X,X,O,X,X,O,O,X,X,X,O,O,X,X,X,O
ZSJILTO,O,X,X,X,X,O,X,O,O,O,O,X,X,X,O,X,X,X,O
ZSJILOT,O,X,X,X,X,O,X,O,X,O,O,X,X,O,X,X,X,X,X
ZSJIOTL,O,O,X,X,X,O,O,X,O,O,X,X,X,O,O,X,X,X,X
ZSJIOLT,O,O,X,X,X,O,O,O,X,O,O,X,X,O,X,X,X,X,X
ZSJLTIO,O,O,X,X,X,O,O,O,O,X,O,X,X,X,X,X,X,X,O
ZSJLTOI,O,O,O,X,X,O,O,O,O,X,O,X,X,X,X,X,X,X,O
ZSJLITO,O,X,X,X,X,O,O,O,O,X,O,X,X,X,O,X,X,X,O
ZSJLIOT,O,X,X,X,X,O,O,O,X,X,O,X,X,O,X,X,X,X,X
ZSJLOTI,O,O,O,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,O
ZSJLOIT,O,O,O,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X
ZSJOTIL,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,O
ZSJOTLI,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O
ZSJOITL,O,O,O,X,O,O,O,X,O,X,X,X,X,O,O,X,X,O,X
ZSJOILT,O,O,O,X,X,O,O,O,X,X,O,O,X,O,X,X,X,O,X
ZSJOLTI,O,O,O,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,O
ZSJOLIT,O,O,O,X,X,O,O,O,X,X,O,X,X,X,X,X,X,O,X
ZSOTILJ,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ZSOTIJL,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O
ZSOTLIJ,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ZSOTLJI,O,X,O,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X
ZSOTJIL,O,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O
ZSOTJLI,O,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,O
ZSOITLJ,O,O,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,O,X
ZSOITJL,O,O,O,X,X,O,O,X,O,O,X,X,X,O,X,X,X,O,X
ZSOILTJ,O,O,O,X,X,O,O,O,X,O,O,O,X,X,X,X,X,O,X
ZSOILJT,O,O,O,X,O,O,O,O,X,O,O,O,X,O,X,X,X,O,X
ZSOIJTL,O,O,O,X,O,O,O,X,O,O,X,X,X,O,X,X,X,O,X
ZSOIJLT,O,O,O,X,X,O,O,O,X,O,X,O,X,O,X,X,X,O,X
ZSOLTIJ,O,O,O,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,O
ZSOLTJI,O,O,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,O
ZSOLITJ,O,O,O,X,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X
ZSOLIJT,O,O,O,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X
ZSOLJTI,O,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O
ZSOLJIT,O,O,O,X,O,O,O,O,X,X,O,O,X,X,X,X,X,O,X
ZSOJTIL,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,O
ZSOJTLI,O,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,O
ZSOJITL,O,O,O,X,O,O,O,X,O,O,X,X,X,O,X,X,X,O,X
ZSOJILT,O,O,O,X,X,O,O,O,X,O,X,O,X,O,X,X,X,O,X
ZSOJLTI,O,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O
ZSOJLIT,O,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X
ZOTILJS,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,O,X
ZOTILSJ,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
ZOTIJLS,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,O,O,X
ZOTIJSL,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,O,X
ZOTISLJ,X,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,O,X
ZOTISJL,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,O,X
ZOTLIJS,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZOTLISJ,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
ZOTLJIS,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X
ZOTLJSI,X,O,X,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
ZOTLSIJ,X,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ZOTLSJI,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZOTJILS,X,X,X,O,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X
ZOTJISL,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X
ZOTJLIS,X,X,X,O,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X
ZOTJLSI,X,O,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
ZOTJSIL,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZOTJSLI,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZOTSILJ,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ZOTSIJL,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZOTSLIJ,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZOTSLJI,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZOTSJIL,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZOTSJLI,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZOITLJS,X,O,X,X,O,X,X,X,X,O,X,X,X,O,X,X,O,O,X
ZOITLSJ,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
ZOITJLS,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,O,O,X
ZOITJSL,X,O,X,X,O,O,O,X,X,X,X,X,X,O,X,X,O,O,X
ZOITSLJ,X,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,O,X
ZOITSJL,X,O,X,X,X,X,O,X,X,O,X,X,X,O,X,X,O,O,X
ZOILTJS,X,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,O,O,X
ZOILTSJ,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
ZOILJTS,X,O,X,O,O,O,O,X,X,X,X,X,X,O,X,X,X,O,X
ZOILJST,X,O,X,O,O,O,O,X,X,X,X,O,X,O,X,X,X,O,X
ZOILSTJ,X,O,O,X,X,O,O,X,X,X,X,O,X,O,X,X,X,O,X
ZOILSJT,X,O,O,X,O,O,O,X,X,X,X,O,X,O,X,X,X,O,X
ZOIJTLS,X,X,X,O,O,O,O,X,X,O,X,X,X,X,X,X,O,O,X
ZOIJTSL,X,O,X,O,O,O,O,X,X,X,X,X,X,O,X,X,O,O,X
ZOIJLTS,X,O,X,O,O,O,O,X,X,X,X,X,X,O,X,X,X,O,X
ZOIJLST,X,O,X,O,O,O,O,X,X,X,X,O,X,O,X,X,X,O,X
ZOIJSTL,X,O,X,O,O,O,O,X,X,O,X,X,X,O,X,X,X,O,X
ZOIJSLT,X,O,X,O,X,O,O,O,X,O,X,O,X,O,X,X,X,O,X
ZOISTLJ,X,O,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,O,X
ZOISTJL,X,O,O,X,X,O,O,X,X,O,X,X,X,O,X,X,O,O,X
ZOISLTJ,X,O,O,X,X,O,O,O,X,O,X,O,X,O,X,X,X,O,X
ZOISLJT,X,O,O,X,O,O,O,O,X,O,X,O,X,O,X,X,X,O,X
ZOISJTL,X,O,O,X,O,O,O,X,X,O,X,X,X,O,X,X,X,O,X
ZOISJLT,X,O,O,X,X,O,O,O,X,O,X,O,X,O,X,X,X,O,X
ZOLTIJS,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
ZOLTISJ,O,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X
ZOLTJIS,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X
ZOLTJSI,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
ZOLTSIJ,O,O,O,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X
ZOLTSJI,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZOLITJS,X,O,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X,O,X
ZOLITSJ,X,O,X,X,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X
ZOLIJTS,X,O,X,O,O,O,O,X,X,X,O,X,X,O,X,X,X,O,X
ZOLIJST,X,O,X,O,O,O,O,X,X,X,O,O,X,O,X,X,X,O,X
ZOLISTJ,X,O,O,X,X,O,O,X,X,X,O,O,X,O,X,X,X,O,X
ZOLISJT,X,O,O,X,O,O,O,X,X,X,O,O,X,O,X,X,X,O,X
ZOLJTIS,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X
ZOLJTSI,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
ZOLJITS,X,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X
ZOLJIST,X,O,X,O,O,O,O,X,X,X,O,O,X,X,X,X,X,O,X
ZOLJSTI,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,O
ZOLJSIT,O,O,X,O,O,O,O,X,X,X,O,O,X,X,X,X,X,O,X
ZOLSTIJ,O,O,O,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,O
ZOLSTJI,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,O
ZOLSITJ,O,O,O,X,X,O,O,X,X,X,O,O,X,O,X,X,X,X,X
ZOLSIJT,O,O,O,X,O,O,O,X,X,X,O,O,X,O,X,X,X,X,X
ZOLSJTI,O,O,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,O
ZOLSJIT,O,O,O,X,O,O,O,X,X,X,O,O,X,O,X,X,X,O,X
ZOJTILS,X,X,X,O,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X
ZOJTISL,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X
ZOJTLIS,X,X,X,O,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X
ZOJTLSI,X,O,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
ZOJTSIL,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZOJTSLI,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZOJITLS,X,X,X,O,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X
ZOJITSL,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X
ZOJILTS,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X
ZOJILST,X,O,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X
ZOJISTL,X,O,X,O,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X
ZOJISLT,X,O,X,O,X,O,O,O,X,O,X,O,X,X,X,X,X,O,X
ZOJLTIS,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X
ZOJLTSI,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
ZOJLITS,X,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X
ZOJLIST,X,O,X,O,O,O,O,X,X,X,O,O,X,X,X,X,X,O,X
ZOJLSTI,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,O
ZOJLSIT,O,O,X,O,O,O,O,X,X,X,O,O,X,X,X,X,X,O,X
ZOJSTIL,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O
ZOJSTLI,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O
ZOJSITL,O,O,X,O,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X
ZOJSILT,O,O,X,O,X,O,O,O,X,O,O,O,X,X,X,X,X,O,X
ZOJSLTI,O,O,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,O
ZOJSLIT,O,O,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,O,X
ZOSTILJ,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ZOSTIJL,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O
ZOSTLIJ,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ZOSTLJI,O,X,O,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X
ZOSTJIL,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O
ZOSTJLI,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O
ZOSITLJ,O,O,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,O,X
ZOSITJL,O,O,O,X,X,O,O,X,X,O,X,X,X,O,X,X,X,O,X
ZOSILTJ,O,O,O,X,X,O,O,O,X,O,O,O,X,X,X,X,X,O,X
ZOSILJT,O,O,O,X,O,O,O,O,X,O,O,O,X,O,X,X,X,O,X
ZOSIJTL,O,O,O,X,O,O,O,X,X,O,X,X,X,O,X,X,X,O,X
ZOSIJLT,O,O,O,X,X,O,O,O,X,O,X,O,X,O,X,X,X,O,X
ZOSLTIJ,O,O,O,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,O
ZOSLTJI,O,O,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,O
