sequence,v115@zgC8GeC8GeC8EeA8AeD8CeB8AeD8DeB8JeuAJvhFzd?B5jBlhBKrBXnBUsB,v115@zgC8GeC8GeC8EeA8AeD8CeB8AeD8DeB8Jez7IvhFuh?B5jBliBarB8rB3sB,v115@zgC8GeC8GeC8EeA8AeD8CeB8AeD8DeB8JeuAJvhF3c?BzdB5jBVnBKrBUsB,v115@zgC8GeC8GeC8EeA8AeD8CeB8AeD8DeB8JeuAJvhFzd?B5jB/rBFnBirBUsB,v115@zgC8GeC8GeC8EeA8AeD8CeB8AeD8DeB8JeWBJvhFid?B5jB3iBFmBUsBTrB,v115@zgC8GeC8GeC8EeA8AeD8CeB8AeD8DeB8JeC8IvhFmd?B5jBXhBTiBcrBVxB,v115@zgC8GeC8GeC8EeA8AeD8CeB8AeD8DeB8JeuAJvhFch?BidB5jBFnBTrB3sB,v115@zgC8GeC8GeC8EeA8AeD8CeB8AeD8DeB8JeuBJvhF5j?BzgBliB8rBarB3sB,v115@zgC8GeC8GeC8EeA8AeD8CeB8AeD8DeB8JeWBJvhFid?B5jBUmBFnB3sBTrB,v115@zgC8GeC8GeC8EeA8AeD8CeB8AeD8DeB8JeC8IvhF5j?BXhBFnBTrBOsB8sB,v115@zgC8GeC8GeC8EeA8AeD8CeB8AeD8DeB8JeF9IvhF8i?B5jBzgBfnBarBWxB
IZOTJSL,X,X,O,O,O,O,O,O,O,X,O
IZOTSLJ,X,X,O,X,O,O,O,X,O,O,X
IZOTSJL,X,X,O,X,O,O,O,O,O,O,X
IZOLTJS,O,O,O,X,X,X,O,O,X,X,X
IZOLTSJ,X,O,O,X,X,X,O,X,X,X,X
IZOLJTS,O,O,O,X,X,X,O,O,X,X,X
IZOLJST,O,O,X,X,X,X,X,X,X,X,O
IZOLSTJ,O,O,X,X,X,X,X,X,X,X,X
IZOLSJT,O,O,X,X,X,X,X,X,X,X,X
IZOJTLS,X,O,O,X,X,O,O,O,X,X,X
IZOJTSL,X,X,O,O,X,O,O,O,O,X,O
IZOJLTS,O,O,O,X,X,X,O,O,X,X,X
IZOJLST,O,O,X,X,X,X,X,X,X,X,O
IZOJSTL,X,X,X,O,X,X,O,O,X,X,O
IZOJSLT,O,X,X,X,X,X,X,X,X,X,O
IZOSTLJ,X,X,O,X,O,X,O,X,X,O,X
IZOSTJL,X,X,X,O,O,X,O,O,X,O,X
IZOSLTJ,O,X,X,X,O,X,X,X,X,O,X
IZOSLJT,O,X,X,X,X,X,X,X,X,X,X
IZOSJTL,X,X,X,O,X,X,O,O,X,X,O
IZOSJLT,O,X,X,X,X,X,X,X,X,X,O
IOTLJSZ,O,X,O,O,X,X,X,X,X,X,X
IOTLJZS,O,X,O,X,X,O,O,X,X,X,X
IOTLSJZ,O,X,O,X,X,X,X,X,X,O,X
IOTLSZJ,O,X,O,X,X,X,O,X,X,O,X
IOTLZJS,O,X,O,X,X,O,O,X,X,X,X
IOTLZSJ,X,X,O,X,X,O,O,X,X,X,X
IOTJLSZ,O,X,O,O,X,X,X,X,X,X,X
IOTJLZS,O,X,O,X,X,O,O,X,X,X,X
IOTJSLZ,O,X,O,O,X,X,X,X,X,O,X
IOTJSZL,X,X,O,O,X,O,X,X,X,O,O
IOTJZLS,X,X,X,X,X,O,O,X,X,X,X
IOTJZSL,X,X,O,O,O,O,O,X,X,X,O
IOTSLJZ,O,X,O,O,X,X,X,X,X,O,X
IOTSLZJ,O,X,O,X,X,X,O,X,X,O,X
IOTSJLZ,O,X,O,O,X,X,X,X,X,O,X
IOTSJZL,X,X,O,O,X,O,X,X,X,O,X
IOTSZLJ,X,X,X,X,O,O,O,X,X,O,X
IOTSZJL,X,X,O,O,O,O,O,X,X,O,X
IOTZLJS,X,O,O,X,X,O,O,O,X,X,X
IOTZLSJ,X,O,O,X,X,O,O,X,X,X,X
IOTZJLS,X,O,O,X,X,O,O,O,X,X,X
IOTZJSL,X,X,O,O,O,O,O,O,O,X,O
IOTZSLJ,X,X,O,X,O,O,O,X,O,O,X
IOTZSJL,X,X,O,X,O,O,O,O,O,O,X
IOLTJSZ,O,X,O,O,X,X,X,X,X,X,X
IOLTJZS,O,X,O,X,X,O,O,X,X,X,X
IOLTSJZ,O,X,O,X,X,X,X,X,X,O,X
IOLTSZJ,O,X,O,X,X,X,O,X,X,O,X
IOLTZJS,O,O,O,X,X,O,O,X,X,X,X
IOLTZSJ,X,O,O,X,X,O,O,X,X,X,X
IOLJTSZ,O,X,O,O,X,X,X,X,X,X,X
IOLJTZS,O,X,O,X,X,O,X,X,X,X,X
IOLJSTZ,O,X,O,O,X,X,X,X,X,X,X
IOLJSZT,O,X,X,X,X,X,X,X,X,X,O
IOLJZTS,O,O,O,X,X,X,O,X,X,X,X
IOLJZST,O,O,X,X,X,X,X,X,X,X,O
IOLSTJZ,O,X,O,O,X,X,X,X,X,O,X
IOLSTZJ,O,X,O,X,X,X,X,X,X,O,X
IOLSJTZ,O,X,O,O,X,X,X,X,X,O,X
IOLSJZT,O,X,X,X,X,X,X,X,X,X,X
IOLSZTJ,O,O,X,X,X,X,X,X,X,O,X
IOLSZJT,O,O,X,X,X,X,X,X,X,X,X
IOLZTJS,O,O,O,X,X,X,O,O,X,X,X
IOLZTSJ,X,O,O,X,X,X,O,X,X,X,X
IOLZJTS,O,O,O,X,X,X,O,O,X,X,X
IOLZJST,O,O,X,X,X,X,X,X,X,X,O
IOLZSTJ,O,O,X,X,X,X,X,X,X,X,X
IOLZSJT,O,O,X,X,X,X,X,X,X,X,X
IOJTLSZ,O,X,O,O,X,X,X,X,X,X,X
IOJTLZS,O,X,O,X,X,O,O,X,X,X,X
IOJTSLZ,O,X,O,O,X,X,X,X,X,O,X
IOJTSZL,X,X,O,O,X,O,X,X,X,O,O
IOJTZLS,X,X,X,X,X,O,O,X,X,X,X
IOJTZSL,X,X,O,O,X,O,O,X,X,X,O
IOJLTSZ,O,X,O,O,X,X,X,X,X,X,X
IOJLTZS,O,X,O,X,X,O,X,X,X,X,X
IOJLSTZ,O,X,O,O,X,X,X,X,X,X,X
IOJLSZT,O,X,X,X,X,X,X,X,X,X,O
IOJLZTS,O,X,O,X,X,X,O,X,X,X,X
IOJLZST,O,X,X,X,X,X,X,X,X,X,O
IOJSTLZ,O,X,O,O,X,X,X,X,X,O,X
IOJSTZL,X,X,O,O,X,O,X,X,X,O,O
IOJSLTZ,O,X,O,O,X,X,X,X,X,O,X
IOJSLZT,O,X,X,X,X,X,X,X,X,X,O
IOJSZTL,X,X,X,O,X,X,O,X,X,X,O
IOJSZLT,O,X,X,X,X,X,X,X,X,X,O
IOJZTLS,X,X,O,X,X,O,O,O,X,X,X
IOJZTSL,X,X,O,O,X,O,O,O,X,X,O
IOJZLTS,O,X,O,X,X,X,O,O,X,X,X
IOJZLST,O,X,X,X,X,X,X,X,X,X,O
IOJZSTL,X,X,X,O,X,X,O,O,X,X,O
IOJZSLT,O,X,X,X,X,X,X,X,X,X,O
IOSTLJZ,O,X,O,O,X,X,X,X,X,O,X
IOSTLZJ,O,X,O,X,X,X,O,X,X,O,X
IOSTJLZ,O,X,O,O,X,X,X,X,X,O,X
IOSTJZL,X,X,O,O,X,O,X,X,X,O,X
IOSTZLJ,X,X,X,X,O,O,O,X,X,O,X
IOSTZJL,X,X,O,O,O,O,O,X,X,O,X
IOSLTJZ,O,X,O,O,X,X,X,X,X,O,X
IOSLTZJ,O,X,O,X,X,X,X,X,X,O,X
IOSLJTZ,O,X,O,O,X,X,X,X,X,O,X
IOSLJZT,O,X,X,X,X,X,X,X,X,X,X
IOSLZTJ,O,X,X,X,O,X,X,X,X,O,X
IOSLZJT,O,X,X,X,X,X,X,X,X,X,X
IOSJTLZ,O,X,O,O,X,X,X,X,X,O,X
IOSJTZL,X,X,O,O,X,O,X,X,X,O,O
IOSJLTZ,O,X,O,O,X,X,X,X,X,O,X
IOSJLZT,O,X,X,X,X,X,X,X,X,X,O
IOSJZTL,X,X,X,O,X,X,O,X,X,X,O
IOSJZLT,O,X,X,X,X,X,X,X,X,X,O
IOSZTLJ,X,X,O,X,O,X,O,X,X,O,X
IOSZTJL,X,X,X,O,O,X,O,O,X,O,X
IOSZLTJ,O,X,X,X,O,X,X,X,X,O,X
IOSZLJT,O,X,X,X,X,X,X,X,X,X,X
IOSZJTL,X,X,X,O,X,X,O,O,X,X,O
IOSZJLT,O,X,X,X,X,X,X,X,X,X,O
IOZTLJS,X,O,O,X,X,O,O,O,X,X,X
IOZTLSJ,X,O,O,X,X,O,O,X,X,X,X
IOZTJLS,X,O,O,X,X,O,O,O,X,X,X
IOZTJSL,X,X,O,O,O,O,O,O,O,X,O
IOZTSLJ,X,X,O,X,O,O,O,X,O,O,X
IOZTSJL,X,X,O,X,O,O,O,O,O,O,X
IOZLTJS,O,O,O,X,X,X,O,O,X,X,X
IOZLTSJ,X,O,O,X,X,X,O,X,X,X,X
IOZLJTS,O,O,O,X,X,X,O,O,X,X,X
IOZLJST,O,O,X,X,X,X,X,X,X,X,O
IOZLSTJ,O,O,X,X,X,X,X,X,X,X,X
IOZLSJT,O,O,X,X,X,X,X,X,X,X,X
IOZJTLS,X,O,O,X,X,O,O,O,X,X,X
IOZJTSL,X,X,O,O,X,O,O,O,O,X,O
IOZJLTS,O,O,O,X,X,X,O,O,X,X,X
IOZJLST,O,O,X,X,X,X,X,X,X,X,O
IOZJSTL,X,X,X,O,X,X,O,O,X,X,O
IOZJSLT,O,X,X,X,X,X,X,X,X,X,O
IOZSTLJ,X,X,O,X,O,X,O,X,X,O,X
IOZSTJL,X,X,X,O,O,X,O,O,X,O,X
IOZSLTJ,O,X,X,X,O,X,X,X,X,O,X
IOZSLJT,O,X,X,X,X,X,X,X,X,X,X
IOZSJTL,X,X,X,O,X,X,O,O,X,X,O
IOZSJLT,O,X,X,X,X,X,X,X,X,X,O
LTIJSZO,O,X,O,O,X,X,X,X,X,X,X
LTIJSOZ,O,X,O,O,X,X,X,X,X,X,X
LTIJZSO,X,X,O,X,O,O,X,X,X,X,X
LTIJZOS,O,X,O,X,X,X,X,X,X,X,X
LTIJOSZ,O,X,O,O,X,X,X,X,X,X,X
LTIJOZS,O,X,O,X,X,O,X,X,X,X,X
LTISJZO,O,X,O,X,X,X,X,X,X,X,X
LTISJOZ,O,X,O,X,X,X,X,X,X,X,X
LTISZJO,O,X,O,X,O,X,X,X,X,X,X
LTISZOJ,O,X,O,X,O,X,X,X,X,X,X
LTISOJZ,O,X,O,X,X,X,X,X,X,X,X
LTISOZJ,O,X,O,X,X,X,X,X,X,X,X
LTIZJSO,X,O,O,X,O,O,X,X,O,X,X
LTIZJOS,O,O,O,X,X,X,X,O,X,X,X
LTIZSJO,X,O,O,X,O,O,X,X,O,X,X
LTIZSOJ,X,O,O,X,O,O,X,X,O,X,X
LTIZOJS,O,O,O,X,X,O,X,O,X,X,X
LTIZOSJ,X,O,O,X,X,O,X,X,X,X,X
LTIOJSZ,O,X,O,O,X,X,X,X,X,X,X
LTIOJZS,O,X,O,X,X,O,X,X,X,X,X
LTIOSJZ,O,X,O,X,X,X,X,X,X,X,X
LTIOSZJ,O,X,O,X,X,X,X,X,X,X,X
LTIOZJS,O,O,O,X,X,O,X,X,X,X,X
LTIOZSJ,X,O,O,X,X,O,X,X,X,X,X
LTJISZO,O,X,O,O,X,X,X,X,X,X,X
LTJISOZ,O,X,O,O,X,X,X,X,X,X,X
LTJIZSO,X,X,O,X,O,O,X,X,X,X,X
LTJIZOS,O,X,O,X,X,X,X,X,X,X,X
LTJIOSZ,O,X,O,O,X,X,X,X,X,X,X
LTJIOZS,O,X,O,X,X,O,X,X,X,X,X
LTJSIZO,O,X,O,O,X,X,X,X,X,X,X
LTJSIOZ,O,X,O,O,X,X,X,X,X,X,X
LTJSZIO,O,X,O,X,X,X,X,X,X,X,X
LTJSZOI,O,X,O,X,X,X,X,X,X,X,X
LTJSOIZ,O,X,O,O,X,X,X,X,X,X,X
LTJSOZI,O,X,O,X,X,X,X,X,X,X,X
LTJZISO,X,X,O,X,O,O,X,X,X,X,X
LTJZIOS,O,X,O,X,X,X,X,X,X,X,X
LTJZSIO,X,X,O,X,O,O,X,X,X,X,X
LTJZSOI,X,X,O,X,O,O,X,X,X,X,X
LTJZOIS,O,X,O,X,X,X,X,X,X,X,X
LTJZOSI,X,X,O,X,X,X,X,X,X,X,X
LTJOISZ,O,X,O,O,X,X,X,X,X,X,X
LTJOIZS,O,X,O,X,X,O,X,X,X,X,X
LTJOSIZ,O,X,O,O,X,X,X,X,X,X,X
LTJOSZI,O,X,O,X,X,X,X,X,X,X,X
LTJOZIS,O,X,O,X,X,O,X,X,X,X,X
LTJOZSI,X,X,O,X,X,O,X,X,X,X,X
LTSIJZO,O,X,O,X,X,X,X,X,X,X,X
LTSIJOZ,O,X,O,X,X,X,X,X,X,X,X
LTSIZJO,O,X,O,X,O,X,X,X,X,X,X
LTSIZOJ,O,X,O,X,O,X,X,X,X,X,X
LTSIOJZ,O,X,O,X,X,X,X,X,X,X,X
LTSIOZJ,O,X,O,X,X,X,X,X,X,X,X
LTSJIZO,O,X,O,X,X,X,X,X,X,X,X
LTSJIOZ,O,X,O,X,X,X,X,X,X,X,X
LTSJZIO,O,X,O,X,X,X,X,X,X,X,X
LTSJZOI,O,X,O,X,X,X,X,X,X,X,X
LTSJOIZ,O,X,O,X,X,X,X,X,X,X,X
LTSJOZI,O,X,O,X,X,X,X,X,X,X,X
LTSZIJO,O,X,O,X,X,X,X,X,X,X,X
LTSZIOJ,O,X,O,X,X,X,X,X,X,X,X
LTSZJIO,O,X,O,X,X,X,X,X,X,X,X
LTSZJOI,O,X,O,X,X,X,X,X,X,X,X
LTSZOIJ,O,X,O,X,X,X,X,X,X,X,X
LTSZOJI,O,X,O,X,X,X,X,X,X,X,X
LTSOIJZ,O,X,O,X,X,X,X,X,X,X,X
LTSOIZJ,O,X,O,X,X,X,X,X,X,X,X
LTSOJIZ,O,X,O,X,X,X,X,X,X,X,X
LTSOJZI,O,X,O,X,X,X,X,X,X,X,X
LTSOZIJ,O,X,O,X,X,X,X,X,X,X,X
LTSOZJI,O,X,O,X,X,X,X,X,X,X,X
LTZIJSO,X,O,O,X,O,O,X,X,O,X,X
LTZIJOS,O,O,O,X,X,X,X,O,X,X,X
LTZISJO,X,O,O,X,O,O,X,X,O,X,X
LTZISOJ,X,O,O,X,O,O,X,X,O,X,X
LTZIOJS,O,O,O,X,X,O,X,O,X,X,X
LTZIOSJ,X,O,O,X,X,O,X,X,X,X,X
LTZJISO,X,O,O,X,O,O,X,X,O,X,X
LTZJIOS,O,O,O,X,X,X,X,O,X,X,X
LTZJSIO,X,O,O,X,O,O,X,X,X,X,X
LTZJSOI,X,O,O,X,O,O,X,X,X,X,X
LTZJOIS,O,O,O,X,X,X,X,O,X,X,X
LTZJOSI,X,O,O,X,X,X,X,X,X,X,X
LTZSIJO,X,O,O,X,O,O,X,X,X,X,X
LTZSIOJ,X,O,O,X,O,O,X,X,X,X,X
LTZSJIO,X,O,O,X,O,O,X,X,X,X,X
LTZSJOI,X,O,O,X,O,O,X,X,X,X,X
LTZSOIJ,X,O,O,X,O,O,X,X,X,X,X
LTZSOJI,X,O,O,X,O,O,X,X,X,X,X
LTZOIJS,O,O,O,X,X,O,X,O,X,X,X
LTZOISJ,X,O,O,X,X,O,X,X,X,X,X
LTZOJIS,O,O,O,X,X,O,X,O,X,X,X
LTZOJSI,X,O,O,X,X,O,X,X,X,X,X
LTZOSIJ,X,O,O,X,X,O,X,X,X,X,X
LTZOSJI,X,O,O,X,X,O,X,X,X,X,X
LTOIJSZ,O,X,O,O,X,X,X,X,X,X,X
LTOIJZS,O,X,O,X,X,O,X,X,X,X,X
LTOISJZ,O,X,O,X,X,X,X,X,X,X,X
LTOISZJ,O,X,O,X,X,X,X,X,X,X,X
LTOIZJS,O,O,O,X,X,O,X,X,X,X,X
LTOIZSJ,X,O,O,X,X,O,X,X,X,X,X
LTOJISZ,O,X,O,O,X,X,X,X,X,X,X
LTOJIZS,O,X,O,X,X,O,X,X,X,X,X
LTOJSIZ,O,X,O,O,X,X,X,X,X,X,X
LTOJSZI,O,X,O,X,X,X,X,X,X,X,X
LTOJZIS,O,X,O,X,X,O,X,X,X,X,X
LTOJZSI,X,X,O,X,X,O,X,X,X,X,X
LTOSIJZ,O,X,O,X,X,X,X,X,X,X,X
LTOSIZJ,O,X,O,X,X,X,X,X,X,X,X
LTOSJIZ,O,X,O,X,X,X,X,X,X,X,X
LTOSJZI,O,X,O,X,X,X,X,X,X,X,X
LTOSZIJ,O,X,O,X,X,X,X,X,X,X,X
LTOSZJI,O,X,O,X,X,X,X,X,X,X,X
LTOZIJS,O,O,O,X,X,O,X,X,X,X,X
LTOZISJ,X,O,O,X,X,O,X,X,X,X,X
LTOZJIS,O,O,O,X,X,O,X,X,X,X,X
LTOZJSI,X,O,O,X,X,O,X,X,X,X,X
LTOZSIJ,X,O,O,X,X,O,X,X,X,X,X
LTOZSJI,X,O,O,X,X,O,X,X,X,X,X
LITJSZO,O,X,O,O,X,X,X,X,X,X,X
LITJSOZ,O,X,O,O,X,X,X,X,X,X,X
LITJZSO,X,X,O,X,O,O,X,X,X,X,X
LITJZOS,O,X,O,X,X,X,X,X,X,X,X
LITJOSZ,O,X,O,O,X,X,X,X,X,X,X
LITJOZS,O,X,O,X,X,O,X,X,X,X,X
LITSJZO,O,X,O,X,X,X,X,X,X,X,X
LITSJOZ,O,X,O,X,X,X,X,X,X,X,X
LITSZJO,O,X,O,X,O,X,X,X,X,X,X
LITSZOJ,O,X,O,X,O,X,X,X,X,X,X
LITSOJZ,O,X,O,X,X,X,X,X,X,X,X
LITSOZJ,O,X,O,X,X,X,X,X,X,X,X
LITZJSO,X,O,O,X,O,O,X,X,O,X,X
LITZJOS,O,O,O,X,X,X,X,O,X,X,X
LITZSJO,X,O,O,X,O,O,X,X,O,X,X
LITZSOJ,X,O,O,X,O,O,X,X,O,X,X
LITZOJS,O,O,O,X,X,O,X,O,X,X,X
LITZOSJ,X,O,O,X,X,O,X,X,X,X,X
LITOJSZ,O,X,O,O,X,X,X,X,X,X,X
LITOJZS,O,X,O,X,X,O,X,X,X,X,X
LITOSJZ,O,X,O,X,X,X,X,X,X,X,X
LITOSZJ,O,X,O,X,X,X,X,X,X,X,X
LITOZJS,O,O,O,X,X,O,X,X,X,X,X
LITOZSJ,X,O,O,X,X,O,X,X,X,X,X
LIJTSZO,O,X,O,O,X,X,X,X,X,X,X
LIJTSOZ,O,X,O,O,X,X,X,X,X,X,X
LIJTZSO,X,X,O,X,X,O,X,X,X,X,X
LIJTZOS,O,X,O,X,X,X,X,X,X,X,X
LIJTOSZ,O,X,O,O,X,X,X,X,X,X,X
LIJTOZS,O,X,O,X,X,O,X,X,X,X,X
LIJSTZO,O,X,O,O,X,X,X,X,X,X,X
LIJSTOZ,O,X,O,O,X,X,X,X,X,X,X
LIJSZTO,O,X,O,X,X,X,X,X,X,X,O
LIJSZOT,O,X,X,X,X,X,X,X,X,X,O
LIJSOTZ,O,X,O,O,X,X,X,X,X,X,X
LIJSOZT,O,X,X,X,X,X,X,X,X,X,O
LIJZTSO,X,O,O,X,X,X,X,X,X,X,X
LIJZTOS,O,O,O,X,X,X,X,X,X,X,X
LIJZSTO,O,O,O,X,X,X,X,X,X,X,O
LIJZSOT,O,O,X,X,X,X,X,X,X,X,O
LIJZOTS,O,O,O,X,X,X,X,X,X,X,X
LIJZOST,O,O,X,X,X,X,X,X,X,X,O
LIJOTSZ,O,X,O,O,X,X,X,X,X,X,X
LIJOTZS,O,X,O,X,X,O,X,X,X,X,X
LIJOSTZ,O,X,O,O,X,X,X,X,X,X,X
LIJOSZT,O,X,X,X,X,X,X,X,X,X,O
LIJOZTS,O,O,O,X,X,X,O,X,X,X,X
LIJOZST,O,O,X,X,X,X,X,X,X,X,O
LISTJZO,O,X,O,O,X,X,X,X,X,X,X
LISTJOZ,O,X,O,O,X,X,X,X,X,X,X
LISTZJO,O,X,O,X,O,X,X,X,X,X,X
LISTZOJ,O,X,O,X,O,X,X,X,X,X,X
LISTOJZ,O,X,O,O,X,X,X,X,X,X,X
LISTOZJ,O,X,O,X,X,X,X,X,X,X,X
LISJTZO,O,X,O,O,X,X,X,X,X,X,X
LISJTOZ,O,X,O,O,X,X,X,X,X,X,X
LISJZTO,O,X,O,X,O,X,X,X,X,X,X
LISJZOT,O,X,X,X,X,X,X,X,X,X,X
LISJOTZ,O,X,O,O,X,X,X,X,X,X,X
LISJOZT,O,X,X,X,X,X,X,X,X,X,X
LISZTJO,O,O,O,X,O,X,X,X,X,X,X
LISZTOJ,O,O,O,X,O,X,X,X,X,X,X
LISZJTO,O,O,O,X,O,X,X,X,X,X,X
LISZJOT,O,O,X,X,X,X,X,X,X,X,X
LISZOTJ,O,O,X,X,O,X,X,X,X,X,X
LISZOJT,O,O,X,X,X,X,X,X,X,X,X
LISOTJZ,O,X,O,O,X,X,X,X,X,X,X
LISOTZJ,O,X,O,X,X,X,X,X,X,X,X
LISOJTZ,O,X,O,O,X,X,X,X,X,X,X
LISOJZT,O,X,X,X,X,X,X,X,X,X,X
LISOZTJ,O,O,X,X,O,X,X,X,X,X,X
LISOZJT,O,O,X,X,X,X,X,X,X,X,X
LIZTJSO,X,O,O,X,O,X,X,X,O,X,X
LIZTJOS,O,O,O,X,X,X,X,O,X,X,X
LIZTSJO,X,O,O,X,O,X,X,X,O,X,X
LIZTSOJ,X,O,O,X,O,X,X,X,O,X,X
LIZTOJS,O,O,O,X,X,X,X,O,X,X,X
LIZTOSJ,X,O,O,X,X,X,X,X,X,X,X
LIZJTSO,X,O,O,X,X,X,X,X,O,X,X
LIZJTOS,O,O,O,X,X,X,X,O,X,X,X
LIZJSTO,O,O,O,X,X,X,X,X,X,X,O
LIZJSOT,O,O,X,X,X,X,X,X,X,X,O
LIZJOTS,O,O,O,X,X,X,X,O,X,X,X
LIZJOST,O,O,X,X,X,X,X,X,X,X,O
LIZSTJO,O,O,O,X,O,X,X,X,X,X,X
LIZSTOJ,O,O,O,X,O,X,X,X,X,X,X
LIZSJTO,O,O,O,X,O,X,X,X,X,X,X
LIZSJOT,O,O,X,X,X,X,X,X,X,X,X
LIZSOTJ,O,O,X,X,O,X,X,X,X,X,X
LIZSOJT,O,O,X,X,X,X,X,X,X,X,X
LIZOTJS,O,O,O,X,X,X,X,O,X,X,X
LIZOTSJ,X,O,O,X,X,X,X,X,X,X,X
LIZOJTS,O,O,O,X,X,X,X,O,X,X,X
LIZOJST,O,O,X,X,X,X,X,X,X,X,O
LIZOSTJ,O,O,X,X,X,X,X,X,X,X,X
LIZOSJT,O,O,X,X,X,X,X,X,X,X,X
LIOTJSZ,O,X,O,O,X,X,X,X,X,X,X
LIOTJZS,O,X,O,X,X,O,O,X,X,X,X
LIOTSJZ,O,X,O,X,X,X,X,X,X,O,X
LIOTSZJ,O,X,O,X,X,X,O,X,X,O,X
LIOTZJS,O,O,O,X,X,O,O,X,X,X,X
LIOTZSJ,X,O,O,X,X,O,O,X,X,X,X
LIOJTSZ,O,X,O,O,X,X,X,X,X,X,X
LIOJTZS,O,X,O,X,X,O,X,X,X,X,X
LIOJSTZ,O,X,O,O,X,X,X,X,X,X,X
LIOJSZT,O,X,X,X,X,X,X,X,X,X,O
LIOJZTS,O,O,O,X,X,X,O,X,X,X,X
LIOJZST,O,O,X,X,X,X,X,X,X,X,O
LIOSTJZ,O,X,O,O,X,X,X,X,X,O,X
LIOSTZJ,O,X,O,X,X,X,X,X,X,O,X
LIOSJTZ,O,X,O,O,X,X,X,X,X,O,X
LIOSJZT,O,X,X,X,X,X,X,X,X,X,X
LIOSZTJ,O,O,X,X,X,X,X,X,X,O,X
LIOSZJT,O,O,X,X,X,X,X,X,X,X,X
LIOZTJS,O,O,O,X,X,X,O,O,X,X,X
LIOZTSJ,X,O,O,X,X,X,O,X,X,X,X
LIOZJTS,O,O,O,X,X,X,O,O,X,X,X
LIOZJST,O,O,X,X,X,X,X,X,X,X,O
LIOZSTJ,O,O,X,X,X,X,X,X,X,X,X
LIOZSJT,O,O,X,X,X,X,X,X,X,X,X
LJTISZO,O,X,O,O,X,X,X,X,X,X,X
LJTISOZ,O,X,O,O,X,X,X,X,X,X,X
LJTIZSO,X,X,O,X,X,O,X,X,X,X,X
LJTIZOS,O,X,O,X,X,X,X,X,X,X,X
LJTIOSZ,O,X,O,O,X,X,X,X,X,X,X
LJTIOZS,O,X,O,X,X,O,X,X,X,X,X
LJTSIZO,O,X,O,O,X,X,X,X,X,X,X
LJTSIOZ,O,X,O,O,X,X,X,X,X,X,X
LJTSZIO,O,X,O,X,X,X,X,X,X,X,X
LJTSZOI,O,X,O,X,X,X,X,X,X,X,X
LJTSOIZ,O,X,O,O,X,X,X,X,X,X,X
LJTSOZI,O,X,O,X,X,X,X,X,X,X,X
LJTZISO,X,X,O,X,X,O,X,X,X,X,X
LJTZIOS,O,X,O,X,X,X,X,X,X,X,X
LJTZSIO,X,X,O,X,X,O,X,X,X,X,X
LJTZSOI,X,X,O,X,X,O,X,X,X,X,X
LJTZOIS,O,X,O,X,X,X,X,X,X,X,X
LJTZOSI,X,X,O,X,X,X,X,X,X,X,X
LJTOISZ,O,X,O,O,X,X,X,X,X,X,X
LJTOIZS,O,X,O,X,X,O,X,X,X,X,X
LJTOSIZ,O,X,O,O,X,X,X,X,X,X,X
LJTOSZI,O,X,O,X,X,X,X,X,X,X,X
LJTOZIS,O,X,O,X,X,O,X,X,X,X,X
LJTOZSI,X,X,O,X,X,O,X,X,X,X,X
LJITSZO,O,X,O,O,X,X,X,X,X,X,X
LJITSOZ,O,X,O,O,X,X,X,X,X,X,X
LJITZSO,X,X,O,X,X,O,X,X,X,X,X
LJITZOS,O,X,O,X,X,X,X,X,X,X,X
LJITOSZ,O,X,O,O,X,X,X,X,X,X,X
LJITOZS,O,X,O,X,X,O,X,X,X,X,X
LJISTZO,O,X,O,O,X,X,X,X,X,X,X
LJISTOZ,O,X,O,O,X,X,X,X,X,X,X
LJISZTO,O,X,O,X,X,X,X,X,X,X,O
LJISZOT,O,X,X,X,X,X,X,X,X,X,O
LJISOTZ,O,X,O,O,X,X,X,X,X,X,X
LJISOZT,O,X,X,X,X,X,X,X,X,X,O
LJIZTSO,X,O,O,X,X,X,X,X,X,X,X
LJIZTOS,O,O,O,X,X,X,X,X,X,X,X
LJIZSTO,O,O,O,X,X,X,X,X,X,X,O
LJIZSOT,O,O,X,X,X,X,X,X,X,X,O
LJIZOTS,O,O,O,X,X,X,X,X,X,X,X
LJIZOST,O,O,X,X,X,X,X,X,X,X,O
LJIOTSZ,O,X,O,O,X,X,X,X,X,X,X
LJIOTZS,O,X,O,X,X,O,X,X,X,X,X
LJIOSTZ,O,X,O,O,X,X,X,X,X,X,X
LJIOSZT,O,X,X,X,X,X,X,X,X,X,O
LJIOZTS,O,O,O,X,X,X,O,X,X,X,X
LJIOZST,O,O,X,X,X,X,X,X,X,X,O
LJSTIZO,O,X,O,O,X,X,X,X,X,X,X
LJSTIOZ,O,X,O,O,X,X,X,X,X,X,X
LJSTZIO,O,X,O,X,X,X,X,X,X,X,X
LJSTZOI,O,X,O,X,X,X,X,X,X,X,X
LJSTOIZ,O,X,O,O,X,X,X,X,X,X,X
LJSTOZI,O,X,O,X,X,X,X,X,X,X,X
LJSITZO,O,X,O,O,X,X,X,X,X,X,X
LJSITOZ,O,X,O,O,X,X,X,X,X,X,X
LJSIZTO,O,X,O,X,X,X,X,X,X,X,O
LJSIZOT,O,X,X,X,X,X,X,X,X,X,O
LJSIOTZ,O,X,O,O,X,X,X,X,X,X,X
LJSIOZT,O,X,X,X,X,X,X,X,X,X,O
