sequence,v115@RhA8GeF8AeE8JeT/IvhFmgBRiBSoBXlBUnBFrB,v115@RhA8GeF8AeE8Jem/IvhFzgBfnBxiB0kBCoBFrB,v115@RhA8GeF8AeE8JemAJvhFfnB6nBTjBxkB0kBFrB,v115@RhA8GeF8AeE8Je/EJvhFRgBGiBTjBilBUnBFrB,v115@RhA8GeF8AeE8Je/EJvhFalBzgBGjBRnBUnBFrB,v115@RhA8GeF8AeE8Jex/IvhFylBzhBGjB0kB3nBFrB,v115@RhA8GeF8AeE8JeT/IvhFylBGjBRnBXlBUnBFrB,v115@RhA8GeF8AeE8Jei/IvhFRhBGjBzkBfrB0rBlsB,v115@RhA8GeF8AeE8JemAJvhFzhBSoBxkB0kB3nBFrB,v115@RhA8GeF8AeE8Je/EJvhFUgBFhBxiBzmBCoBmqB,v115@RhA8GeF8AeE8Je6HJvhFTjBxkBmmBlkB3lBcrB
TLOSIZJ,X,O,X,O,X,X,X,X,X,X,X
TLOSJIZ,X,X,X,X,X,X,X,O,X,X,X
TLOSJZI,X,X,X,X,X,X,X,O,X,X,X
TLOSZIJ,X,O,X,O,X,X,X,O,X,X,X
TLOSZJI,X,O,X,O,X,X,X,O,X,X,X
TLOZIJS,O,X,X,X,X,O,X,X,X,X,X
TLOZISJ,X,X,X,X,X,X,X,X,X,X,X
TLOZJIS,O,X,X,X,X,O,X,X,X,X,X
TLOZJSI,X,O,X,O,X,X,X,X,X,X,X
TLOZSIJ,X,O,X,O,X,X,X,X,X,X,X
TLOZSJI,X,O,X,O,X,X,X,X,X,X,X
TJILSZO,X,X,X,X,X,X,X,O,X,X,X
TJILSOZ,X,X,X,X,X,X,X,O,X,X,X
TJILZSO,X,X,X,X,X,X,X,X,X,X,X
TJILZOS,X,X,X,X,X,X,X,X,X,X,X
TJILOSZ,X,X,X,X,X,X,O,O,O,X,X
TJILOZS,X,X,X,X,X,X,O,X,O,X,X
TJISLZO,X,X,X,X,X,X,X,O,X,X,X
TJISLOZ,X,X,O,X,O,X,X,O,X,X,X
TJISZLO,X,X,X,X,X,X,X,X,X,X,X
TJISZOL,X,X,X,X,X,X,X,X,X,X,X
TJISOLZ,X,X,O,X,O,X,X,O,X,X,X
TJISOZL,X,X,X,X,X,X,X,X,X,X,X
TJIZLSO,X,X,X,X,X,X,X,X,X,X,X
TJIZLOS,X,X,X,X,X,X,X,X,X,X,X
TJIZSLO,X,X,X,X,X,X,X,X,X,X,X
TJIZSOL,X,X,X,X,X,X,X,X,X,X,X
TJIZOLS,X,X,X,X,X,X,X,X,X,X,X
TJIZOSL,X,X,X,X,X,X,X,X,X,X,X
TJIOLSZ,X,X,X,X,X,X,O,O,O,X,X
TJIOLZS,X,X,X,X,X,X,O,X,O,X,X
TJIOSLZ,X,X,O,X,O,X,X,X,X,X,X
TJIOSZL,X,X,X,X,X,X,X,X,X,X,X
TJIOZLS,X,X,X,X,X,X,X,X,X,X,X
TJIOZSL,X,X,X,X,X,X,X,X,X,X,X
TJLISZO,X,X,X,X,X,X,X,O,X,X,X
TJLISOZ,O,X,X,X,X,O,X,O,X,X,X
TJLIZSO,X,X,X,X,X,X,X,X,X,X,X
TJLIZOS,X,X,X,X,X,X,X,X,X,X,X
TJLIOSZ,O,X,X,X,X,O,O,O,O,X,X
TJLIOZS,O,X,X,X,X,O,O,X,O,X,X
TJLSIZO,X,X,X,X,X,X,X,O,X,X,X
TJLSIOZ,O,X,X,X,X,O,X,O,X,X,X
TJLSZIO,O,X,X,X,X,O,X,O,X,X,X
TJLSZOI,O,X,X,X,X,O,X,X,X,X,X
