sequence,v115@8gA8IeA8BeB8BeB8AeA8CeE8AeB8AeH8JeO/IvhF8f?BfhB6hBTdBZjBlpB,v115@8gA8IeA8BeB8BeB8AeA8CeE8AeB8AeH8Jei6IvhFGc?BTdBZjB3fBUhBlpB,v115@8gA8IeA8BeB8BeB8AeA8CeE8AeB8AeH8JeO/IvhF8f?BzbBRdB3hBaoBlpB,v115@8gA8IeA8BeB8BeB8AeA8CeE8AeB8AeH8JeO/IvhF8f?BzbBSiBZjB3hBlpB,v115@8gA8IeA8BeB8BeB8AeA8CeE8AeB8AeH8Je2/IvhFSh?BTdBZjB3fBUhBlpB,v115@8gA8IeA8BeB8BeB8AeA8CeE8AeB8AeH8Jez7IvhFGd?BZjB3hB0kBikBlpB,v115@8gA8IeA8BeB8BeB8AeA8CeE8AeB8AeH8JeSBJvhFTd?BZjBlfBUhB/pBmpB
TLZOSIJ,O,O,O,O,X,X,X
TLZOSJI,O,O,O,O,X,X,X
TLOIJSZ,X,X,X,X,O,X,X
TLOIJZS,X,X,O,O,O,X,X
TLOISJZ,O,O,O,X,O,X,O
TLOISZJ,O,O,O,O,X,X,O
TLOIZJS,O,O,O,O,O,X,X
TLOIZSJ,O,O,O,O,X,X,X
TLOJISZ,X,X,X,X,O,X,X
TLOJIZS,X,X,O,O,O,X,X
TLOJSIZ,X,X,X,X,O,X,X
TLOJSZI,X,X,X,X,X,X,X
TLOJZIS,X,X,O,O,O,X,X
TLOJZSI,X,X,O,O,X,X,X
TLOSIJZ,O,O,O,X,O,X,O
TLOSIZJ,O,O,O,O,X,X,O
TLOSJIZ,O,O,O,X,O,X,O
TLOSJZI,O,O,O,X,X,X,X
TLOSZIJ,O,O,O,O,X,X,O
TLOSZJI,O,O,O,O,X,X,X
TLOZIJS,O,O,O,O,O,X,X
TLOZISJ,O,O,O,O,X,X,X
TLOZJIS,O,O,O,O,O,X,X
TLOZJSI,O,O,O,O,X,X,X
TLOZSIJ,O,O,O,O,X,X,X
TLOZSJI,O,O,O,O,X,X,X
TJILSZO,X,X,X,X,X,X,X
TJILSOZ,X,X,X,X,O,X,X
TJILZSO,X,X,X,O,X,X,X
TJILZOS,X,X,X,O,O,X,X
TJILOSZ,X,X,X,X,O,X,X
TJILOZS,X,X,X,O,O,X,X
TJISLZO,O,O,X,X,X,X,X
TJISLOZ,O,O,X,X,O,X,X
TJISZLO,O,O,X,X,X,O,X
TJISZOL,O,O,X,X,X,O,X
TJISOLZ,O,O,X,X,O,X,X
TJISOZL,O,O,X,X,X,O,X
TJIZLSO,O,O,X,O,X,X,X
TJIZLOS,O,O,X,O,O,X,X
TJIZSLO,O,O,X,O,X,O,X
TJIZSOL,O,O,X,O,X,O,X
TJIZOLS,O,O,X,O,O,X,X
TJIZOSL,O,O,X,O,X,X,X
TJIOLSZ,X,X,X,X,O,X,X
TJIOLZS,X,X,X,O,O,X,X
TJIOSLZ,O,O,X,X,O,X,X
TJIOSZL,O,O,X,X,X,X,X
TJIOZLS,O,O,X,O,O,X,X
TJIOZSL,O,O,X,O,X,X,X
TJLISZO,X,X,O,X,X,X,X
TJLISOZ,X,X,O,X,O,X,X
TJLIZSO,X,X,O,O,X,X,X
TJLIZOS,X,X,O,O,O,X,X
TJLIOSZ,X,X,X,X,O,X,X
TJLIOZS,X,X,O,O,O,X,X
TJLSIZO,X,X,O,X,X,X,X
TJLSIOZ,X,X,O,X,O,X,X
TJLSZIO,X,X,O,X,X,X,X
TJLSZOI,X,X,O,X,X,X,X
TJLSOIZ,X,X,O,X,O,X,X
TJLSOZI,X,X,O,X,X,X,X
TJLZISO,X,X,O,O,X,X,X
TJLZIOS,X,X,O,O,O,X,X
TJLZSIO,X,X,O,O,X,X,X
TJLZSOI,X,X,O,O,X,X,X
TJLZOIS,X,X,O,O,O,X,X
TJLZOSI,X,X,O,O,X,X,X
TJLOISZ,X,X,X,X,O,X,X
TJLOIZS,X,X,O,O,O,X,X
TJLOSIZ,X,X,X,X,O,X,X
TJLOSZI,X,X,X,X,X,X,X
TJLOZIS,X,X,O,O,O,X,X
TJLOZSI,X,X,O,O,X,X,X
TJSILZO,O,O,X,X,X,X,X
TJSILOZ,O,O,X,X,O,X,X
TJSIZLO,O,O,O,X,X,O,X
TJSIZOL,O,O,O,X,X,O,X
TJSIOLZ,O,O,X,X,O,X,X
TJSIOZL,O,O,O,X,X,O,X
TJSLIZO,O,O,O,X,X,X,X
TJSLIOZ,O,O,O,X,O,X,X
TJSLZIO,O,O,O,X,X,X,X
TJSLZOI,O,O,O,X,X,X,X
TJSLOIZ,O,O,O,X,O,X,X
