sequence,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8JeR8IvhFGeBlgB?UiBaoBXmBTsB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8JeR8IvhFCeBlgB?UiBOoBXmBTsB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8JeG8IvhF6iBTeB?lgBZnBXmB8sB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8Je37IvhFRdBSjB?zlBFnB8sBmrB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8JeR8IvhFSiBTeB?lgBXmBOsB8sB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8Je37IvhFRdBSjB?lhBzlBOsB8sB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8JeWCJvhFcjBlgB?xmBzlBinB3sB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8JeZCJvhFGeBlgB?cmBziBCmB3sB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8JeR8IvhFcjBlgB?GiBXmBKsBzsB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8JeR8IvhFqiBTeB?lgBXmB2sBUsB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8JeR8IvhF+iBTeB?lgBXmB8sBasB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8JeR9IvhFSjBlgB?3hBOsB8sBzqB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8JelAJvhFcmBxiB?XjB2sBCmBTsB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8Je+BJvhFlgBxiB?XjBKsBzqB0sB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8Je+BJvhFlgBxiB?0iBKsBzqBXtB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8Je+BJvhFxdBlgB?XjBKsB0sBzqB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8JeT+IvhFxgBOnB?0iBCmBFmB3sB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8JeR8IvhF+iBTeB?lgBXmBysBUsB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8Je+BJvhFxdBlgB?0iBKsBXtBzqB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8JeT+IvhFxgB0iB?ulBimBFnB3sB,v115@zgC8GeB8HeC8FeD8BeA8CeG8BeB8JeF8IvhFxdB6lB?cmBXjB2sBTsB
ZSITJOL,O,O,O,X,O,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,O
ZSITOLJ,O,O,O,X,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O,O
ZSITOJL,O,O,O,X,O,X,O,O,X,X,O,X,O,X,X,X,X,X,X,O,O
ZSILTJO,O,O,O,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O
ZSILTOJ,O,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O
ZSILJTO,O,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O
ZSILJOT,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
ZSILOTJ,X,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O
ZSILOJT,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X
ZSIJTLO,O,O,O,X,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O
ZSIJTOL,O,O,O,X,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O
ZSIJLTO,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ZSIJLOT,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSIJOTL,O,X,O,X,O,X,O,O,X,X,O,X,X,X,X,X,O,X,X,O,O
ZSIJOLT,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X
ZSIOTLJ,X,X,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,O
ZSIOTJL,X,X,O,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O,O
ZSIOLTJ,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
ZSIOLJT,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X
ZSIOJTL,O,X,O,X,O,X,O,O,X,X,O,X,X,X,X,X,O,X,X,O,X
ZSIOJLT,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X
ZSLTIJO,O,O,O,X,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,O
ZSLTIOJ,O,O,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O,O
ZSLTJIO,O,O,O,X,O,O,X,X,O,X,O,O,X,X,X,O,X,X,X,X,O
ZSLTJOI,O,O,O,X,O,O,X,X,O,X,O,O,X,X,X,O,X,X,X,X,O
ZSLTOIJ,O,O,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O,O
ZSLTOJI,O,X,O,O,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,O
ZSLITJO,O,O,O,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O
ZSLITOJ,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O
ZSLIJTO,O,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O
ZSLIJOT,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O
ZSLIOTJ,X,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O
ZSLIOJT,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X
ZSLJTIO,O,O,O,X,O,O,X,X,O,X,O,O,X,X,X,O,X,X,X,X,O
ZSLJTOI,O,O,O,X,O,O,X,X,O,X,O,O,X,X,X,O,X,X,X,X,O
ZSLJITO,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O
ZSLJIOT,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
ZSLJOTI,O,O,O,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O
ZSLJOIT,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
ZSLOTIJ,O,O,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O,O
ZSLOTJI,O,X,O,O,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,O
ZSLOITJ,X,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O
ZSLOIJT,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X
ZSLOJTI,O,X,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O
ZSLOJIT,O,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O
ZSJTILO,O,O,O,X,O,O,O,X,O,O,O,O,O,X,X,X,X,X,X,X,O
ZSJTIOL,O,O,O,X,O,O,O,O,X,X,O,O,O,X,X,X,X,X,X,X,O
ZSJTLIO,O,O,O,X,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,O
ZSJTLOI,O,O,O,X,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
ZSJTOIL,O,O,O,X,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,O
ZSJTOLI,X,O,O,X,O,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X
ZSJITLO,O,O,O,X,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O
ZSJITOL,O,O,O,X,O,O,O,O,X,X,O,O,O,X,X,X,X,X,X,X,O
ZSJILTO,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O
ZSJILOT,O,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
ZSJIOTL,O,X,O,X,O,X,O,O,X,X,O,O,X,X,X,X,O,X,X,O,O
ZSJIOLT,O,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X,O,X,X,O,X
ZSJLTIO,O,O,O,X,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,O
ZSJLTOI,O,O,O,X,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,O
ZSJLITO,O,O,O,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O
ZSJLIOT,O,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O
ZSJLOTI,O,O,O,X,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,O
ZSJLOIT,O,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O
ZSJOTIL,O,O,O,X,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,O
ZSJOTLI,X,O,O,X,O,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X
ZSJOITL,O,O,O,X,O,O,X,O,X,X,O,O,X,X,X,X,O,X,X,O,O
ZSJOILT,O,O,O,X,O,O,X,O,X,X,X,O,X,X,X,X,O,X,X,O,X
ZSJOLTI,X,O,O,X,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
ZSJOLIT,X,O,O,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
ZSOTILJ,O,O,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O,O
ZSOTIJL,O,O,O,X,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,O,O
ZSOTLIJ,O,O,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X
ZSOTLJI,O,O,O,O,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X
ZSOTJIL,O,O,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O
ZSOTJLI,O,O,O,O,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X
ZSOITLJ,O,O,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,O
ZSOITJL,O,O,O,X,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,O,O
ZSOILTJ,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
ZSOILJT,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X
ZSOIJTL,O,O,O,X,O,O,O,O,X,X,O,X,X,X,X,X,O,X,X,O,X
ZSOIJLT,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X
ZSOLTIJ,O,O,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X
ZSOLTJI,O,O,O,O,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X
ZSOLITJ,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
ZSOLIJT,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X
ZSOLJTI,O,O,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
ZSOLJIT,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
ZSOJTIL,O,O,O,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O
ZSOJTLI,O,O,O,O,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X
ZSOJITL,O,O,O,X,O,O,X,O,X,X,O,X,X,X,X,X,O,X,X,O,O
ZSOJILT,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X
ZSOJLTI,O,O,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
ZSOJLIT,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
ZOTILJS,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZOTILSJ,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZOTIJLS,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZOTIJSL,O,O,O,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZOTISLJ,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZOTISJL,O,O,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZOTLIJS,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZOTLISJ,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZOTLJIS,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZOTLJSI,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZOTLSIJ,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZOTLSJI,O,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZOTJILS,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZOTJISL,O,O,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZOTJLIS,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZOTJLSI,O,O,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZOTJSIL,O,O,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O
ZOTJSLI,O,O,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
ZOTSILJ,O,O,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O
ZOTSIJL,O,O,O,X,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O
ZOTSLIJ,O,O,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZOTSLJI,O,O,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
ZOTSJIL,O,O,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O
ZOTSJLI,O,O,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZOITLJS,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZOITLSJ,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZOITJLS,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZOITJSL,O,O,O,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZOITSLJ,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZOITSJL,O,O,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZOILTJS,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ZOILTSJ,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZOILJTS,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ZOILJST,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ZOILSTJ,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZOILSJT,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
ZOIJTLS,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZOIJTSL,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZOIJLTS,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZOIJLST,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZOIJSTL,O,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZOIJSLT,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZOISTLJ,O,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X
ZOISTJL,O,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X
ZOISLTJ,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ZOISLJT,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
ZOISJTL,O,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X
ZOISJLT,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
ZOLTIJS,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZOLTISJ,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZOLTJIS,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZOLTJSI,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZOLTSIJ,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZOLTSJI,O,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZOLITJS,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ZOLITSJ,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZOLIJTS,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ZOLIJST,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ZOLISTJ,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZOLISJT,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
ZOLJTIS,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZOLJTSI,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZOLJITS,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZOLJIST,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZOLJSTI,O,O,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X
ZOLJSIT,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZOLSTIJ,O,O,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZOLSTJI,O,O,O,O,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
ZOLSITJ,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZOLSIJT,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ZOLSJTI,O,O,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZOLSJIT,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZOJTILS,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZOJTISL,O,O,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZOJTLIS,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZOJTLSI,O,O,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZOJTSIL,O,O,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O
ZOJTSLI,O,O,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
ZOJITLS,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZOJITSL,O,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZOJILTS,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZOJILST,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZOJISTL,O,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZOJISLT,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZOJLTIS,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZOJLTSI,O,O,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZOJLITS,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZOJLIST,O,O,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZOJLSTI,O,O,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
ZOJLSIT,O,O,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZOJSTIL,O,O,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O
ZOJSTLI,O,O,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
ZOJSITL,O,O,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O
ZOJSILT,O,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZOJSLTI,O,O,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
ZOJSLIT,O,O,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZOSTILJ,O,O,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O,O
ZOSTIJL,O,O,O,X,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,O,O
ZOSTLIJ,O,O,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X
ZOSTLJI,O,O,O,O,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X
ZOSTJIL,O,O,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O
ZOSTJLI,O,O,O,O,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X
ZOSITLJ,O,O,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,O
ZOSITJL,O,O,O,X,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,O,O
ZOSILTJ,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
ZOSILJT,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X
ZOSIJTL,O,O,O,X,O,O,O,O,X,X,O,X,X,X,X,X,O,X,X,O,X
ZOSIJLT,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X
ZOSLTIJ,O,O,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X
ZOSLTJI,O,O,O,O,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X
ZOSLITJ,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
ZOSLIJT,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X
ZOSLJTI,O,O,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
ZOSLJIT,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
ZOSJTIL,O,O,O,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O
ZOSJTLI,O,O,O,O,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X
ZOSJITL,O,O,O,X,O,O,X,O,X,X,O,X,X,X,X,X,O,X,X,O,O
ZOSJILT,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X
ZOSJLTI,O,O,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
ZOSJLIT,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
OTILJSZ,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTILJZS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTILSJZ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OTILSZJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTILZJS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
OTILZSJ,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTIJLSZ,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OTIJLZS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
OTIJSLZ,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTIJSZL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTIJZLS,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTIJZSL,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTISLJZ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OTISLZJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTISJLZ,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OTISJZL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OTISZLJ,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
OTISZJL,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
OTIZLJS,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTIZLSJ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTIZJLS,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTIZJSL,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTIZSLJ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTIZSJL,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTLIJSZ,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OTLIJZS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
OTLISJZ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OTLISZJ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTLIZJS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
OTLIZSJ,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTLJISZ,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OTLJIZS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
OTLJSIZ,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OTLJSZI,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
OTLJZIS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTLJZSI,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
OTLSIJZ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OTLSIZJ,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
