sequence,v115@7gB8GeC8GeD8AeA8CeE8AeB8AeE8JeT6IvhFOgBxcB?FhB8mB6pBfrB,v115@7gB8GeC8GeD8AeA8CeE8AeB8AeE8JeT7IvhFxcB/kB?mhBllBcrB6pB,v115@7gB8GeC8GeD8AeA8CeE8AeB8AeE8Je2/IvhFfhBxcB?zhBUgB6pBFrB,v115@7gB8GeC8GeD8AeA8CeE8AeB8AeE8Jex6IvhFTcBOiB?/kBllBcrBCqB,v115@7gB8GeC8GeD8AeA8CeE8AeB8AeE8JeO/IvhFTbBXdB?5kBylB0hBFrB,v115@7gB8GeC8GeD8AeA8CeE8AeB8AeE8Je07IvhFxcB/kB?2lBzhBFrB6pB,v115@7gB8GeC8GeD8AeA8CeE8AeB8AeE8JeK/IvhFfhBxcB?UgBzhBupBFrB,v115@7gB8GeC8GeD8AeA8CeE8AeB8AeE8JeOAJvhFxcBTfB?FhB8mBfrB6pB,v115@7gB8GeC8GeD8AeA8CeE8AeB8AeE8JeT6IvhFxbBXdB?6pB0lBlmBmqB,v115@7gB8GeC8GeD8AeA8CeE8AeB8AeE8JeR7IvhFOiB6lB?lkBTmB/pBcrB,v115@7gB8GeC8GeD8AeA8CeE8AeB8AeE8JeOAJvhFxcB/kB?8mBzlB6pBFrB,v115@7gB8GeC8GeD8AeA8CeE8AeB8AeE8JeT8IvhFOiBxfB?/kBllBcrBCqB,v115@7gB8GeC8GeD8AeA8CeE8AeB8AeE8JeT/IvhF/lBRhB?mgBFiBcrB6pB
LTZSIJO,O,X,X,X,O,X,X,X,O,X,X,X,X
LTZSIOJ,O,X,X,X,O,X,O,X,O,X,X,X,X
LTZSJIO,O,X,X,X,X,X,X,X,O,X,X,X,X
LTZSJOI,O,X,O,X,X,X,O,X,O,X,X,X,X
LTZSOIJ,O,X,O,X,O,X,O,X,O,X,X,X,X
LTZSOJI,O,X,O,X,X,X,O,X,O,X,X,X,X
LTZOIJS,O,X,O,X,O,X,X,X,O,X,X,X,X
LTZOISJ,O,X,O,X,O,X,O,X,O,X,X,X,X
LTZOJIS,O,X,O,X,X,X,X,X,O,O,X,X,X
LTZOJSI,O,X,O,X,X,X,O,X,O,O,X,X,X
LTZOSIJ,O,X,O,X,O,X,O,X,O,X,X,X,X
LTZOSJI,O,X,O,X,X,X,O,X,O,X,X,X,X
LTOIJSZ,O,X,O,X,O,O,O,X,X,O,X,X,X
LTOIJZS,O,X,O,X,O,O,X,X,X,O,X,X,X
LTOISJZ,O,X,O,X,O,O,O,X,O,X,X,X,X
LTOISZJ,X,X,O,X,O,X,O,X,O,X,X,X,X
LTOIZJS,O,X,O,X,O,X,X,X,O,X,X,X,X
LTOIZSJ,O,X,O,X,O,X,O,X,O,X,X,X,X
LTOJISZ,O,X,O,X,O,O,O,X,X,O,X,X,X
LTOJIZS,O,X,O,X,O,O,X,X,X,O,X,X,X
LTOJSIZ,O,X,O,X,O,O,O,X,O,O,X,X,X
LTOJSZI,O,X,O,X,X,O,O,X,O,O,X,X,X
LTOJZIS,O,X,O,X,X,O,X,X,O,O,X,X,X
LTOJZSI,O,X,O,X,X,O,O,X,O,O,X,X,X
LTOSIJZ,O,X,O,X,O,O,O,X,O,X,X,X,X
LTOSIZJ,X,X,O,X,O,X,O,X,O,X,X,X,X
LTOSJIZ,O,X,O,X,O,O,O,X,O,O,X,X,X
LTOSJZI,O,X,O,X,X,O,O,X,O,O,X,X,X
LTOSZIJ,O,X,O,X,O,X,O,X,O,X,X,X,X
LTOSZJI,O,X,O,X,X,X,O,X,O,X,X,X,X
LTOZIJS,O,X,O,X,O,X,X,X,O,X,X,X,X
LTOZISJ,O,X,O,X,O,X,O,X,O,X,X,X,X
LTOZJIS,O,X,O,X,X,X,X,X,O,O,X,X,X
LTOZJSI,O,X,O,X,X,X,O,X,O,O,X,X,X
LTOZSIJ,O,X,O,X,O,X,O,X,O,X,X,X,X
LTOZSJI,O,X,O,X,X,X,O,X,O,X,X,X,X
LITJSZO,X,X,X,X,O,X,X,X,X,X,X,X,X
LITJSOZ,X,X,O,X,O,X,X,X,X,X,X,X,X
LITJZSO,X,X,X,X,O,X,X,X,X,X,X,X,X
LITJZOS,X,X,X,X,O,X,X,X,X,X,X,X,X
LITJOSZ,O,X,O,X,O,X,O,X,X,O,X,X,X
LITJOZS,O,X,O,X,O,X,X,X,X,O,X,X,X
LITSJZO,X,X,X,X,O,X,X,X,X,X,X,X,X
LITSJOZ,O,X,O,X,O,X,X,X,O,X,X,X,X
LITSZJO,X,X,X,X,O,X,X,X,O,X,X,X,X
LITSZOJ,X,X,X,X,O,X,O,X,O,X,X,X,X
LITSOJZ,O,X,O,X,O,O,O,X,O,X,X,X,X
LITSOZJ,X,X,O,X,O,X,O,X,O,X,X,X,X
LITZJSO,X,X,X,X,O,X,X,X,O,X,X,X,X
LITZJOS,O,X,X,X,O,X,X,X,O,X,X,X,X
LITZSJO,O,X,X,X,O,X,X,X,O,X,X,X,X
LITZSOJ,O,X,X,X,O,X,O,X,O,X,X,X,X
LITZOJS,O,X,O,X,O,X,X,X,O,X,X,X,X
LITZOSJ,O,X,O,X,O,X,O,X,O,X,X,X,X
LITOJSZ,O,X,O,X,O,O,O,X,X,O,X,X,X
LITOJZS,O,X,O,X,O,O,X,X,X,O,X,X,X
LITOSJZ,O,X,O,X,O,O,O,X,O,X,X,X,X
LITOSZJ,X,X,O,X,O,X,O,X,O,X,X,X,X
LITOZJS,O,X,O,X,O,X,X,X,O,X,X,X,X
LITOZSJ,O,X,O,X,O,X,O,X,O,X,X,X,X
LIJTSZO,X,X,X,X,O,X,X,X,X,X,X,X,X
LIJTSOZ,X,X,O,X,O,X,X,X,X,X,X,X,X
LIJTZSO,X,X,X,X,O,X,X,X,X,X,X,X,X
LIJTZOS,X,X,X,X,O,X,X,X,X,X,X,X,X
LIJTOSZ,O,X,O,X,O,X,O,X,X,O,X,X,X
LIJTOZS,O,X,O,X,O,X,X,X,X,O,X,X,X
LIJSTZO,X,X,X,X,O,X,X,X,X,X,X,X,X
LIJSTOZ,O,X,X,X,O,X,X,X,X,X,X,X,X
LIJSZTO,O,O,X,X,X,X,X,X,X,X,X,X,X
LIJSZOT,O,X,X,X,O,X,X,X,X,X,X,X,X
LIJSOTZ,O,X,X,X,O,X,X,X,X,X,X,X,X
LIJSOZT,O,X,X,X,O,X,X,X,X,X,X,X,X
LIJZTSO,X,O,X,X,X,X,X,X,X,X,X,X,X
LIJZTOS,O,O,X,X,X,X,X,X,X,X,X,X,X
LIJZSTO,O,O,X,X,X,X,X,X,X,X,X,X,X
LIJZSOT,O,X,X,X,O,X,X,X,X,X,X,X,X
LIJZOTS,O,X,X,X,X,X,X,X,X,X,X,X,X
LIJZOST,O,X,X,X,O,X,X,X,X,X,X,X,X
LIJOTSZ,O,X,O,X,O,X,O,X,X,O,X,X,X
LIJOTZS,O,X,O,X,X,X,X,X,X,O,X,X,X
LIJOSTZ,O,X,X,X,O,X,X,X,X,X,X,X,X
LIJOSZT,O,X,X,X,O,X,X,X,X,X,X,X,X
LIJOZTS,O,X,X,X,X,X,X,X,X,X,X,X,X
LIJOZST,O,X,X,X,O,X,X,X,X,X,X,X,X
LISTJZO,X,X,X,X,O,X,X,X,X,X,X,X,X
LISTJOZ,O,X,X,X,O,X,X,X,O,X,X,X,X
LISTZJO,X,X,X,X,O,X,X,X,O,X,X,X,X
LISTZOJ,X,X,X,X,O,X,X,X,O,X,X,X,X
LISTOJZ,O,X,O,X,O,O,O,X,O,X,X,X,X
LISTOZJ,X,X,O,X,O,X,O,X,O,X,X,X,X
LISJTZO,X,X,X,X,O,X,X,X,X,X,X,X,X
LISJTOZ,O,X,X,X,O,X,X,X,O,X,X,X,X
LISJZTO,O,O,X,X,X,X,X,X,X,X,X,X,X
LISJZOT,O,X,X,X,O,X,X,X,X,X,X,X,X
LISJOTZ,O,X,X,X,O,X,X,X,O,X,X,X,X
LISJOZT,O,X,X,X,O,X,X,X,X,X,X,X,X
LISZTJO,O,O,X,X,X,X,X,X,X,X,X,X,X
LISZTOJ,O,X,X,X,X,X,X,X,O,X,X,X,X
LISZJTO,O,O,X,X,X,X,X,X,X,X,X,X,X
LISZJOT,O,X,X,X,O,X,X,X,X,X,X,X,X
LISZOTJ,O,X,X,X,X,X,X,X,O,X,X,X,X
LISZOJT,O,X,X,X,O,X,X,X,X,X,O,X,X
LISOTJZ,O,X,O,X,O,O,O,X,O,X,X,X,X
LISOTZJ,X,X,O,X,X,X,O,X,O,X,X,X,X
LISOJTZ,O,X,X,X,O,X,X,X,O,X,X,X,X
LISOJZT,O,X,X,X,O,X,X,X,X,X,X,X,X
LISOZTJ,O,X,X,X,X,X,X,X,O,X,X,X,X
LISOZJT,O,X,X,X,O,X,X,X,X,X,X,X,X
LIZTJSO,X,O,X,X,X,X,X,X,O,X,X,X,X
LIZTJOS,O,O,X,X,X,X,X,X,O,X,X,X,X
LIZTSJO,O,O,X,X,X,X,X,X,O,X,X,X,X
LIZTSOJ,O,X,X,X,X,X,O,X,O,X,X,X,X
LIZTOJS,O,X,O,X,X,X,X,X,O,X,X,X,X
LIZTOSJ,O,X,O,X,X,X,O,X,O,X,X,X,X
LIZJTSO,X,O,X,X,X,X,X,X,X,X,X,X,X
LIZJTOS,O,O,X,X,X,X,X,X,X,X,X,X,X
LIZJSTO,O,O,X,X,X,X,X,X,X,X,X,X,X
LIZJSOT,O,X,X,X,O,X,X,X,X,X,X,X,X
LIZJOTS,O,X,X,X,X,X,X,X,X,X,X,X,X
LIZJOST,O,X,X,X,O,X,X,X,X,X,X,X,X
LIZSTJO,O,O,X,X,X,X,X,X,X,X,X,X,X
LIZSTOJ,O,X,X,X,X,X,X,X,X,X,X,X,X
LIZSJTO,O,O,X,X,X,X,X,X,X,X,X,X,X
LIZSJOT,O,X,X,X,O,X,X,X,X,X,X,X,X
LIZSOTJ,O,X,X,X,X,X,O,X,X,X,X,X,X
LIZSOJT,O,X,X,X,O,X,O,X,X,X,O,X,X
LIZOTJS,O,X,O,X,X,X,X,X,O,X,X,X,X
LIZOTSJ,O,X,O,X,X,X,O,X,O,X,X,X,X
LIZOJTS,O,X,X,X,X,X,X,X,X,X,X,X,X
LIZOJST,O,X,X,X,O,X,X,X,X,X,O,X,X
LIZOSTJ,O,X,X,X,X,X,O,X,X,X,X,X,X
LIZOSJT,O,X,X,X,O,X,O,X,X,X,O,X,X
LIOTJSZ,O,X,O,X,O,O,O,X,X,O,X,X,X
LIOTJZS,O,X,O,X,X,O,X,X,X,O,X,X,X
LIOTSJZ,O,X,O,X,O,O,O,X,O,X,X,X,X
LIOTSZJ,X,X,O,X,X,X,O,X,O,X,X,X,X
LIOTZJS,O,X,O,X,X,X,X,X,O,X,X,X,X
LIOTZSJ,O,X,O,X,X,X,O,X,O,X,X,X,X
LIOJTSZ,O,X,O,X,O,X,O,X,X,O,X,X,X
LIOJTZS,O,X,O,X,X,X,X,X,X,O,X,X,X
LIOJSTZ,O,X,X,X,O,X,X,X,X,X,X,X,X
LIOJSZT,O,X,X,X,O,X,X,X,X,X,X,X,X
LIOJZTS,O,X,X,X,X,X,X,X,X,X,X,X,X
LIOJZST,O,X,X,X,O,X,X,X,X,X,X,X,X
LIOSTJZ,O,X,O,X,O,O,O,X,O,X,X,X,X
LIOSTZJ,X,X,O,X,X,X,O,X,O,X,X,X,X
LIOSJTZ,O,X,X,X,O,X,X,X,O,X,X,X,X
LIOSJZT,O,X,X,X,O,X,X,X,X,X,X,X,X
LIOSZTJ,O,X,X,X,X,X,X,X,O,X,X,X,X
LIOSZJT,O,X,X,X,O,X,X,X,X,X,X,X,X
LIOZTJS,O,X,O,X,X,X,X,X,O,X,X,X,X
LIOZTSJ,O,X,O,X,X,X,O,X,O,X,X,X,X
LIOZJTS,O,X,X,X,X,X,X,X,X,X,X,X,X
LIOZJST,O,X,X,X,O,X,X,X,X,X,X,X,X
LIOZSTJ,O,X,X,X,X,X,O,X,X,X,X,X,X
LIOZSJT,O,X,X,X,O,X,O,X,X,X,X,X,X
LJTISZO,X,X,X,X,O,X,X,X,X,X,X,X,X
LJTISOZ,X,X,O,X,O,X,X,X,X,X,X,X,X
LJTIZSO,X,X,X,X,O,X,X,X,X,X,X,X,X
LJTIZOS,X,X,X,X,O,X,X,X,X,X,X,O,X
LJTIOSZ,O,X,O,X,O,X,O,X,X,O,X,X,X
LJTIOZS,O,X,O,X,O,X,X,X,X,O,X,X,X
LJTSIZO,X,X,X,X,O,X,X,X,X,X,X,X,X
LJTSIOZ,O,X,O,X,O,X,X,X,O,X,X,X,X
LJTSZIO,O,X,X,X,X,X,X,X,O,X,X,X,X
LJTSZOI,O,X,O,X,X,X,O,X,O,X,X,X,X
LJTSOIZ,O,X,O,X,X,X,O,X,O,O,X,X,X
LJTSOZI,O,X,O,X,X,X,O,X,O,O,X,X,X
LJTZISO,X,X,X,X,X,X,X,X,O,X,X,X,X
LJTZIOS,O,X,X,X,X,X,X,X,O,X,X,X,X
LJTZSIO,O,X,X,X,X,X,X,X,O,X,X,X,X
LJTZSOI,O,X,O,X,X,X,O,X,O,X,X,X,X
LJTZOIS,O,X,O,X,X,X,X,X,O,O,X,X,X
LJTZOSI,O,X,O,X,X,X,O,X,O,O,X,X,X
LJTOISZ,O,X,O,X,X,X,O,X,X,O,X,X,X
LJTOIZS,O,X,O,X,X,X,X,X,X,O,X,X,X
LJTOSIZ,O,X,O,X,X,X,O,X,O,O,X,X,X
LJTOSZI,O,X,O,X,X,X,O,X,O,O,X,X,X
LJTOZIS,O,X,O,X,X,X,X,X,O,O,X,X,X
LJTOZSI,O,X,O,X,X,X,O,X,O,O,X,X,X
LJITSZO,X,X,X,X,O,X,X,X,X,X,X,X,X
LJITSOZ,X,X,O,X,O,X,X,X,X,X,X,X,X
LJITZSO,X,X,X,X,O,X,X,X,X,X,X,X,X
LJITZOS,X,X,X,X,O,X,X,X,X,X,X,X,X
LJITOSZ,O,X,O,X,O,X,O,X,X,O,X,X,X
LJITOZS,O,X,O,X,O,X,X,X,X,O,X,X,X
LJISTZO,X,X,X,X,O,X,X,X,X,X,X,X,X
LJISTOZ,O,X,X,X,O,X,X,X,X,X,X,X,X
LJISZTO,O,O,X,X,X,X,X,X,X,X,X,X,X
LJISZOT,O,X,X,X,O,X,X,X,X,X,X,X,X
LJISOTZ,O,X,X,X,O,X,X,X,X,X,X,X,X
LJISOZT,O,X,X,X,O,X,X,X,X,X,X,X,X
LJIZTSO,X,O,X,X,X,X,X,X,X,X,X,X,X
LJIZTOS,O,O,X,X,X,X,X,X,X,X,X,X,X
LJIZSTO,O,O,X,X,X,X,X,X,X,X,X,X,X
LJIZSOT,O,X,X,X,O,X,X,X,X,X,X,X,X
LJIZOTS,O,X,X,X,X,X,X,X,X,X,X,X,X
LJIZOST,O,X,X,X,O,X,X,X,X,X,X,X,X
LJIOTSZ,O,X,O,X,O,X,O,X,X,O,X,X,X
LJIOTZS,O,X,O,X,X,X,X,X,X,O,X,X,X
LJIOSTZ,O,X,X,X,O,X,X,X,X,X,X,X,X
LJIOSZT,O,X,X,X,O,X,X,X,X,X,X,X,X
LJIOZTS,O,X,X,X,X,X,X,X,X,X,X,X,X
LJIOZST,O,X,X,X,O,X,X,X,X,X,X,X,X
LJSTIZO,X,X,X,X,O,X,X,X,X,X,X,X,X
LJSTIOZ,O,X,O,X,O,X,X,X,O,X,X,X,X
LJSTZIO,O,X,X,X,X,X,X,X,O,X,X,X,X
LJSTZOI,O,X,O,X,X,X,X,X,O,X,X,X,X
LJSTOIZ,O,X,O,X,X,X,X,X,O,O,X,X,X
LJSTOZI,O,X,O,X,X,X,X,X,O,O,X,X,X
LJSITZO,X,X,X,X,O,X,X,X,X,X,X,X,X
LJSITOZ,O,X,X,X,O,X,X,X,O,X,X,X,X
LJSIZTO,O,O,X,O,X,X,X,X,X,X,X,X,X
LJSIZOT,O,X,X,O,O,X,X,X,X,X,X,X,X
LJSIOTZ,O,X,X,X,O,X,X,X,O,X,X,X,X
LJSIOZT,O,X,X,X,O,X,X,X,X,X,X,X,X
LJSZTIO,O,O,X,O,X,X,X,O,X,X,X,X,X
LJSZTOI,O,O,X,O,X,X,X,O,X,X,X,X,X
LJSZITO,O,O,X,O,X,X,X,X,X,X,X,X,X
LJSZIOT,O,X,X,O,X,X,X,X,X,X,X,X,X
LJSZOTI,O,X,X,O,X,X,X,O,X,X,X,X,X
LJSZOIT,O,X,X,O,X,X,X,X,X,X,X,X,X
LJSOTIZ,O,X,O,X,X,O,X,X,O,O,X,X,X
LJSOTZI,O,X,O,X,X,O,X,X,O,O,X,X,X
LJSOITZ,O,X,X,X,O,X,X,X,O,X,X,X,X
LJSOIZT,O,X,X,X,O,X,X,X,X,X,X,X,X
LJSOZTI,O,X,X,X,X,X,X,O,X,X,O,X,X
LJSOZIT,O,X,X,X,X,X,X,X,X,X,O,X,X
LJZTISO,X,O,X,X,X,X,X,X,O,X,X,X,X
LJZTIOS,O,O,X,X,X,X,X,X,O,X,X,O,X
LJZTSIO,O,O,X,O,X,X,X,X,O,X,X,X,X
LJZTSOI,O,O,O,O,X,X,O,X,O,X,X,X,X
LJZTOIS,O,O,O,X,X,X,X,X,O,O,X,O,X
LJZTOSI,O,O,O,O,X,X,O,X,O,O,X,X,X
LJZITSO,X,O,X,X,X,X,X,X,X,X,X,X,X
LJZITOS,O,O,X,X,X,X,X,X,X,X,X,X,X
LJZISTO,O,O,X,X,X,X,X,X,X,X,X,X,X
LJZISOT,O,X,X,X,X,X,X,X,X,X,X,X,X
LJZIOTS,O,X,X,X,X,X,X,X,X,X,X,X,X
LJZIOST,O,X,X,X,X,X,X,X,X,X,X,X,X
LJZSTIO,O,O,X,O,X,X,X,O,X,X,X,X,X
LJZSTOI,O,O,X,O,X,X,X,O,X,X,X,X,X
LJZSITO,O,O,X,O,X,X,X,X,X,X,X,X,X
LJZSIOT,O,X,X,O,X,X,X,X,X,X,X,X,X
LJZSOTI,O,X,X,O,X,X,O,O,X,X,X,X,X
LJZSOIT,O,X,X,O,X,X,O,X,X,X,X,X,X
LJZOTIS,O,X,O,X,X,X,X,X,O,O,X,O,X
LJZOTSI,O,X,O,O,X,X,X,X,O,O,X,X,X
LJZOITS,O,X,X,X,X,X,X,X,X,X,X,X,X
LJZOIST,O,X,X,X,X,X,X,X,X,X,X,X,X
LJZOSTI,O,X,X,O,X,X,O,O,X,X,X,X,X
LJZOSIT,O,X,X,O,X,X,O,X,X,X,X,X,X
LJOTISZ,O,X,O,X,X,X,O,X,X,O,X,X,X
LJOTIZS,O,X,O,X,X,X,X,X,X,O,X,X,X
LJOTSIZ,O,X,O,X,X,X,O,X,O,O,X,X,X
LJOTSZI,O,X,O,X,X,X,O,X,O,O,X,X,X
LJOTZIS,O,X,O,X,X,X,X,X,O,O,X,X,X
LJOTZSI,O,X,O,X,X,X,O,X,O,O,X,X,X
LJOITSZ,O,X,O,X,O,X,O,X,X,O,X,X,X
LJOITZS,O,X,O,X,X,X,X,X,X,O,X,X,X
LJOISTZ,O,X,X,X,O,X,X,X,X,X,X,X,X
LJOISZT,O,X,X,X,O,X,X,X,X,X,X,X,X
LJOIZTS,O,X,X,X,X,X,X,X,X,X,X,X,X
LJOIZST,O,X,X,X,O,X,X,X,X,X,X,X,X
LJOSTIZ,O,X,O,X,X,O,X,X,O,O,X,X,X
LJOSTZI,O,X,O,X,X,O,X,X,O,O,X,X,X
LJOSITZ,O,X,X,X,O,X,X,X,O,X,X,X,X
LJOSIZT,O,X,X,X,O,X,X,X,X,X,X,X,X
LJOSZTI,O,X,X,X,X,X,X,O,X,X,O,X,X
LJOSZIT,O,X,X,X,X,X,X,X,X,X,O,X,X
LJOZTIS,O,X,O,X,X,X,X,X,O,O,X,X,X
LJOZTSI,O,X,O,X,X,X,X,X,O,O,X,X,X
LJOZITS,O,X,X,X,X,X,X,X,X,X,X,X,X
LJOZIST,O,X,X,X,X,X,X,X,X,X,O,X,X
LJOZSTI,O,X,X,X,X,X,O,O,X,X,O,X,X
LJOZSIT,O,X,X,X,X,X,O,X,X,X,O,X,X
LSTIJZO,X,X,X,X,O,X,X,X,X,X,X,X,X
LSTIJOZ,O,X,O,X,O,X,X,X,O,X,X,X,X
LSTIZJO,X,X,X,X,O,X,X,X,O,X,X,X,X
LSTIZOJ,X,X,X,X,O,X,O,X,O,X,X,X,X
LSTIOJZ,O,X,O,X,O,O,O,X,O,X,X,X,X
LSTIOZJ,X,X,O,X,O,X,O,X,O,X,X,X,X
LSTJIZO,X,X,X,X,O,X,X,X,X,X,X,X,X
LSTJIOZ,O,X,O,X,O,X,X,X,O,X,X,X,X
LSTJZIO,O,X,X,X,X,X,X,X,O,X,X,X,X
LSTJZOI,O,X,O,X,X,O,O,X,O,X,X,X,X
LSTJOIZ,O,X,O,X,O,O,O,X,O,O,X,X,X
LSTJOZI,O,X,O,X,X,O,O,X,O,O,X,X,X
LSTZIJO,O,X,X,X,O,X,X,X,O,X,X,X,X
LSTZIOJ,O,X,X,X,O,X,O,X,O,X,X,X,X
LSTZJIO,O,X,X,X,X,X,X,X,O,X,X,X,X
LSTZJOI,O,X,O,X,X,X,O,X,O,X,X,X,X
LSTZOIJ,O,X,O,X,O,X,O,X,O,X,X,X,X
LSTZOJI,O,X,O,X,X,X,O,X,O,X,X,X,X
LSTOIJZ,O,X,O,X,O,O,O,X,O,X,X,X,X
LSTOIZJ,X,X,O,X,O,X,O,X,O,X,X,X,X
LSTOJIZ,O,X,O,X,O,O,O,X,O,O,X,X,X
LSTOJZI,O,X,O,X,X,O,O,X,O,O,X,X,X
LSTOZIJ,O,X,O,X,O,X,O,X,O,X,X,X,X
LSTOZJI,O,X,O,X,X,X,O,X,O,X,X,X,X
LSITJZO,X,X,X,X,O,X,X,X,X,X,X,X,X
LSITJOZ,O,X,X,X,O,X,X,X,O,X,X,X,X
LSITZJO,X,X,X,X,O,X,X,X,O,X,X,X,X
LSITZOJ,X,X,X,X,O,X,X,X,O,X,X,X,X
LSITOJZ,O,X,O,X,O,O,O,X,O,X,X,X,X
LSITOZJ,X,X,O,X,O,X,O,X,O,X,X,X,X
LSIJTZO,X,X,X,X,O,X,X,X,X,X,X,X,X
LSIJTOZ,O,X,X,X,O,X,X,X,O,X,X,X,X
LSIJZTO,O,O,X,O,X,X,X,X,X,X,X,X,X
LSIJZOT,O,X,X,O,O,X,X,X,X,X,X,X,X
LSIJOTZ,O,X,X,X,O,X,X,X,O,X,X,X,X
LSIJOZT,O,X,X,X,O,X,X,X,X,X,X,X,X
LSIZTJO,O,O,X,O,X,X,X,X,X,X,X,X,X
LSIZTOJ,O,X,X,O,X,X,X,X,O,X,X,X,X
LSIZJTO,O,O,X,O,X,X,X,X,X,X,X,X,X
LSIZJOT,O,X,X,O,O,X,X,X,X,X,X,X,X
LSIZOTJ,O,X,X,X,X,X,X,X,O,X,X,X,X
LSIZOJT,O,X,X,O,O,X,X,X,X,X,O,X,X
LSIOTJZ,O,X,O,X,O,O,O,X,O,X,X,X,X
LSIOTZJ,X,X,O,X,X,X,O,X,O,X,X,X,X
LSIOJTZ,O,X,X,X,O,X,X,X,O,X,X,X,X
LSIOJZT,O,X,X,X,O,X,X,X,X,X,X,X,X
LSIOZTJ,O,X,X,X,X,X,X,X,O,X,X,X,O
LSIOZJT,O,X,X,X,O,X,X,X,X,X,X,X,O
LSJTIZO,X,X,X,X,O,X,X,X,X,X,X,X,X
LSJTIOZ,O,X,O,X,O,X,X,X,O,X,X,X,X
LSJTZIO,O,X,X,X,X,X,X,X,O,X,X,X,X
LSJTZOI,O,X,O,X,X,X,X,X,O,X,X,X,X
LSJTOIZ,O,X,O,X,X,X,X,X,O,O,X,X,X
LSJTOZI,O,X,O,X,X,X,X,X,O,O,X,X,X
LSJITZO,X,X,X,X,O,X,X,X,X,X,X,X,X
LSJITOZ,O,X,X,X,O,X,X,X,O,X,X,X,X
LSJIZTO,O,O,X,O,X,X,X,X,X,X,X,X,X
LSJIZOT,O,X,X,O,O,X,X,X,X,X,X,X,X
LSJIOTZ,O,X,X,X,O,X,X,X,O,X,X,X,X
LSJIOZT,O,X,X,X,O,X,X,X,X,X,X,X,X
LSJZTIO,O,O,X,O,X,X,X,O,X,X,X,X,X
LSJZTOI,O,O,X,O,X,X,X,O,X,X,X,X,X
LSJZITO,O,O,X,O,X,X,X,X,X,X,X,X,X
LSJZIOT,O,X,X,O,X,X,X,X,X,X,X,X,X
LSJZOTI,O,X,X,O,X,X,X,O,X,X,X,X,X
LSJZOIT,O,X,X,O,X,X,X,X,X,X,X,X,X
LSJOTIZ,O,X,O,X,X,O,X,X,O,O,X,X,X
LSJOTZI,O,X,O,X,X,O,X,X,O,O,X,X,X
LSJOITZ,O,X,X,X,O,X,X,X,O,X,X,X,X
LSJOIZT,O,X,X,X,O,X,X,X,X,X,X,X,X
LSJOZTI,O,X,X,X,X,X,X,O,X,X,O,X,X
LSJOZIT,O,X,X,X,X,X,X,X,X,X,O,X,X
LSZTIJO,O,O,X,O,X,X,X,O,O,X,X,X,X
LSZTIOJ,O,X,X,O,X,X,O,O,O,X,X,X,X
LSZTJIO,O,O,X,O,X,X,X,O,O,X,X,X,X
LSZTJOI,O,O,X,O,X,X,O,O,O,X,X,X,X
LSZTOIJ,O,X,X,O,X,X,O,O,O,X,X,X,X
LSZTOJI,O,O,X,O,X,X,O,O,O,X,X,X,X
LSZITJO,O,O,X,O,X,X,X,X,X,X,X,X,X
LSZITOJ,O,X,X,O,X,X,X,X,O,X,X,X,X
LSZIJTO,O,O,X,O,X,X,X,X,X,X,X,X,X
LSZIJOT,O,X,X,O,O,X,X,X,X,X,X,X,X
LSZIOTJ,O,X,X,X,X,X,O,X,O,X,X,X,O
LSZIOJT,O,X,X,O,O,X,O,X,X,X,O,X,O
LSZJTIO,O,O,X,O,X,X,X,O,X,X,X,X,X
LSZJTOI,O,O,X,O,X,X,X,O,X,X,X,X,X
LSZJITO,O,O,X,O,X,X,X,X,X,X,X,X,X
LSZJIOT,O,X,X,O,X,X,X,X,X,X,X,X,X
LSZJOTI,O,X,X,O,X,X,O,O,X,X,X,X,X
LSZJOIT,O,X,X,O,X,X,O,X,X,X,X,X,X
LSZOTIJ,O,X,X,O,X,X,O,O,O,X,X,X,X
LSZOTJI,O,X,X,O,X,X,O,O,O,X,X,X,X
LSZOITJ,O,X,X,X,X,X,O,X,O,X,X,X,O
LSZOIJT,O,X,X,O,O,X,O,X,X,X,O,X,O
LSZOJTI,O,X,X,O,X,X,O,O,X,X,O,X,X
LSZOJIT,O,X,X,O,X,X,O,X,X,X,O,X,X
LSOTIJZ,O,X,O,X,O,O,O,X,O,X,X,X,X
LSOTIZJ,X,X,O,X,X,X,O,X,O,X,X,X,X
LSOTJIZ,O,X,O,X,X,O,O,X,O,O,X,X,X
LSOTJZI,O,X,O,X,X,O,O,X,O,O,X,X,X
LSOTZIJ,O,X,O,X,X,X,O,X,O,X,X,X,X
LSOTZJI,O,X,O,X,X,X,O,X,O,X,X,X,X
LSOITJZ,O,X,O,X,O,O,O,X,O,X,X,X,X
LSOITZJ,X,X,O,X,X,X,O,X,O,X,X,X,X
LSOIJTZ,O,X,X,X,O,X,X,X,O,X,X,X,X
LSOIJZT,O,X,X,X,O,X,X,X,X,X,X,X,X
LSOIZTJ,O,X,X,X,X,X,X,X,O,X,X,X,O
LSOIZJT,O,X,X,X,O,X,X,X,X,X,X,X,O
LSOJTIZ,O,X,O,X,X,O,X,X,O,O,X,X,X
LSOJTZI,O,X,O,X,X,O,X,X,O,O,X,X,X
LSOJITZ,O,X,X,X,O,X,X,X,O,X,X,X,X
LSOJIZT,O,X,X,X,O,X,X,X,X,X,X,X,X
