sequence,v115@zgA8GeC8FeD8GeC8GeE8AeF8Je5/IvhFmbBCdBTgB/?nB0mBlqB,v115@zgA8GeC8FeD8GeC8GeE8AeF8Jez6IvhFWhBxcB/nBC?lB0mBlqB,v115@zgA8GeC8FeD8GeC8GeE8AeF8JeR7IvhFFdBzfBfmB0?hBSsBGqB,v115@zgA8GeC8FeD8GeC8GeE8AeF8Je5/IvhF/hBFdBOlB0?gBTnBCrB,v115@zgA8GeC8FeD8GeC8GeE8AeF8Jex8IvhFflBlgBumB8?qBTsBCqB,v115@zgA8GeC8FeD8GeC8GeE8AeF8JeC7IvhF8kBRhBXhBT?iBWsBlqB,v115@zgA8GeC8FeD8GeC8GeE8AeF8JeWAJvhFxbB/mBUiBC?lBTnBlqB,v115@zgA8GeC8FeD8GeC8GeE8AeF8Je5/IvhFOgB8gB3hBT?nBCnBlqB,v115@zgA8GeC8FeD8GeC8GeE8AeF8JeR7IvhFqkBTgBlhB8?qBXsBGsB,v115@zgA8GeC8FeD8GeC8GeE8AeF8JefAJvhFzgBUiBCiBW?qBxrBlqB
IOSZTJL,O,O,X,X,O,X,X,O,X,X
IOSZLTJ,O,O,X,X,X,X,X,X,X,X
IOSZLJT,O,O,X,X,X,X,X,O,X,X
IOSZJTL,X,O,X,X,O,X,X,O,X,O
IOSZJLT,O,O,X,X,O,X,X,O,X,O
IOZTLJS,O,X,X,O,X,X,X,X,X,X
IOZTLSJ,O,X,X,O,X,X,X,X,X,X
IOZTJLS,O,X,X,O,X,X,X,X,X,X
IOZTJSL,O,X,X,X,X,X,X,X,X,O
IOZTSLJ,O,X,X,X,X,X,X,O,X,X
IOZTSJL,O,X,X,X,X,X,X,O,X,X
IOZLTJS,X,X,X,O,X,X,X,X,X,X
IOZLTSJ,X,X,X,O,X,X,X,X,X,X
IOZLJTS,X,X,X,O,X,X,X,X,X,X
IOZLJST,X,X,X,O,X,X,X,X,X,O
IOZLSTJ,X,X,X,O,X,X,X,X,X,X
IOZLSJT,X,X,X,O,X,X,X,X,X,X
IOZJTLS,X,X,X,O,X,X,X,X,X,X
IOZJTSL,X,X,X,X,O,X,X,X,X,O
IOZJLTS,X,X,X,O,X,X,X,X,X,X
IOZJLST,X,X,X,O,O,X,X,X,X,O
IOZJSTL,X,X,X,X,O,X,X,X,X,O
IOZJSLT,O,X,X,X,O,X,X,X,X,O
IOZSTLJ,O,X,X,X,X,X,X,O,X,X
IOZSTJL,O,X,X,X,O,X,X,O,X,X
IOZSLTJ,O,X,X,X,X,X,X,X,X,X
IOZSLJT,O,X,X,X,X,X,X,O,X,X
IOZSJTL,X,X,X,X,O,X,X,O,X,O
IOZSJLT,O,X,X,X,O,X,X,O,X,O
LTIJSZO,X,O,O,O,X,X,O,X,X,X
LTIJSOZ,X,O,O,O,X,X,O,X,X,X
LTIJZSO,X,X,O,O,X,X,O,O,X,X
LTIJZOS,X,X,O,X,X,X,X,X,X,X
LTIJOSZ,X,O,O,O,X,X,O,X,X,X
LTIJOZS,X,X,O,X,X,X,X,X,X,X
LTISJZO,X,O,O,O,X,X,O,X,X,X
LTISJOZ,O,O,O,O,X,X,O,X,X,X
LTISZJO,O,O,O,O,X,X,O,O,X,X
LTISZOJ,O,O,O,X,X,X,O,X,X,X
LTISOJZ,O,O,O,O,X,X,O,X,X,X
LTISOZJ,O,O,O,X,X,X,O,X,X,X
LTIZJSO,O,O,O,O,X,X,X,O,X,X
LTIZJOS,X,O,O,X,X,X,X,X,X,X
LTIZSJO,O,O,O,O,X,X,X,O,X,X
LTIZSOJ,O,O,O,X,X,X,X,X,X,X
LTIZOJS,O,O,X,X,X,X,X,X,X,X
LTIZOSJ,O,O,O,X,X,X,X,X,X,X
LTIOJSZ,O,O,X,O,X,X,X,X,X,X
LTIOJZS,O,X,X,O,X,X,X,X,X,X
LTIOSJZ,O,O,X,O,X,X,X,X,X,X
LTIOSZJ,O,O,X,O,X,X,X,O,X,X
LTIOZJS,O,O,X,O,X,X,X,X,X,X
LTIOZSJ,O,O,X,O,X,X,X,X,X,X
LTJISZO,X,O,O,O,X,X,O,X,X,X
LTJISOZ,X,O,O,O,X,X,O,X,X,X
LTJIZSO,X,X,O,O,X,O,O,O,X,X
LTJIZOS,X,X,O,X,X,O,X,X,X,X
LTJIOSZ,X,O,O,O,X,X,O,X,X,X
LTJIOZS,X,X,O,X,X,X,X,X,X,X
LTJSIZO,X,O,O,O,X,X,O,X,X,X
LTJSIOZ,X,O,O,O,X,X,O,X,X,X
LTJSZIO,X,O,O,O,X,X,O,X,X,X
LTJSZOI,X,O,O,X,X,X,O,X,X,X
LTJSOIZ,X,O,O,O,X,X,O,X,X,X
LTJSOZI,X,O,O,X,X,X,O,X,X,X
LTJZISO,X,O,O,O,X,O,O,O,X,X
LTJZIOS,X,O,O,X,X,O,X,X,X,X
LTJZSIO,X,O,O,O,X,O,O,O,X,X
LTJZSOI,X,O,O,X,X,X,O,X,X,X
LTJZOIS,X,O,O,X,X,O,X,X,X,X
LTJZOSI,X,O,O,X,X,X,X,X,X,X
LTJOISZ,X,O,O,O,X,X,O,X,X,X
LTJOIZS,X,X,O,X,X,X,X,X,X,X
LTJOSIZ,X,O,O,O,X,X,O,X,X,X
LTJOSZI,X,O,O,X,X,X,O,X,X,X
LTJOZIS,X,O,O,X,X,X,X,X,X,X
LTJOZSI,X,O,O,X,X,X,X,X,X,X
LTSIJZO,X,O,O,O,X,X,O,X,X,X
LTSIJOZ,O,O,O,O,X,X,O,X,X,X
LTSIZJO,O,O,O,O,X,X,O,O,X,X
LTSIZOJ,O,O,O,X,X,X,O,X,O,X
LTSIOJZ,O,O,O,O,X,X,O,X,X,X
LTSIOZJ,O,O,O,X,X,X,O,X,X,X
LTSJIZO,X,O,O,O,X,X,O,X,X,X
LTSJIOZ,O,O,O,O,X,X,O,X,X,X
LTSJZIO,X,O,O,O,X,X,O,X,X,X
LTSJZOI,X,O,O,X,X,X,O,X,O,X
LTSJOIZ,O,O,O,O,X,X,O,X,X,X
LTSJOZI,O,O,O,X,X,X,O,X,X,X
LTSZIJO,O,O,O,O,X,X,O,O,X,X
LTSZIOJ,O,O,O,X,X,X,O,X,O,X
LTSZJIO,O,O,O,O,X,X,O,O,X,X
LTSZJOI,O,O,O,X,X,X,O,X,O,X
LTSZOIJ,O,O,O,X,X,X,O,X,O,X
LTSZOJI,O,O,O,X,X,X,O,X,O,X
LTSOIJZ,O,O,O,O,X,X,O,X,X,X
LTSOIZJ,O,O,O,X,X,X,O,X,X,X
LTSOJIZ,O,O,O,O,X,X,O,X,X,X
LTSOJZI,O,O,O,X,X,X,O,X,X,X
LTSOZIJ,O,O,X,X,X,X,O,X,O,X
LTSOZJI,O,O,X,X,X,X,O,X,O,X
LTZIJSO,O,O,O,O,X,O,X,O,X,X
LTZIJOS,X,O,O,X,X,O,X,X,X,X
LTZISJO,O,O,O,O,X,X,X,O,X,X
LTZISOJ,O,O,O,X,X,X,X,X,X,X
LTZIOJS,O,O,X,X,X,X,X,X,O,X
LTZIOSJ,O,O,O,X,X,X,X,X,O,X
LTZJISO,O,O,O,O,X,O,O,O,X,X
LTZJIOS,X,O,O,X,X,O,X,X,X,X
LTZJSIO,O,O,O,O,X,O,O,O,X,X
LTZJSOI,O,O,O,X,X,X,O,X,X,X
LTZJOIS,X,O,O,X,X,O,X,X,O,X
LTZJOSI,X,O,O,X,X,X,X,X,O,X
LTZSIJO,O,O,O,O,X,X,O,O,X,X
LTZSIOJ,O,O,O,X,X,X,O,X,O,X
LTZSJIO,O,O,O,O,X,O,O,O,X,X
LTZSJOI,O,O,O,X,X,X,O,X,O,X
LTZSOIJ,O,O,O,X,X,X,O,X,O,X
LTZSOJI,O,O,O,X,X,X,O,X,O,X
LTZOIJS,O,O,X,X,X,X,X,X,O,X
LTZOISJ,O,O,O,X,X,X,X,X,O,X
LTZOJIS,O,O,O,X,X,O,X,X,O,X
LTZOJSI,O,O,O,X,X,X,X,X,O,X
LTZOSIJ,O,O,O,X,X,X,X,X,O,X
LTZOSJI,O,O,O,X,X,X,X,X,O,X
LTOIJSZ,O,O,X,O,X,X,X,X,X,X
LTOIJZS,O,X,X,O,X,X,X,X,X,X
LTOISJZ,O,O,X,O,X,X,X,X,X,X
LTOISZJ,O,O,X,O,X,X,X,O,X,X
LTOIZJS,O,O,X,O,X,X,X,X,X,X
LTOIZSJ,O,O,X,O,X,X,X,X,X,X
LTOJISZ,O,O,O,O,X,X,O,X,X,X
LTOJIZS,O,X,O,O,X,X,X,X,X,X
LTOJSIZ,O,O,O,O,X,X,O,X,X,X
LTOJSZI,O,O,O,O,X,X,O,X,X,X
LTOJZIS,O,O,O,O,X,X,X,X,X,X
LTOJZSI,O,O,O,O,X,X,X,X,X,X
LTOSIJZ,O,O,O,O,X,X,O,X,X,X
LTOSIZJ,O,O,O,O,X,X,O,O,X,X
LTOSJIZ,O,O,O,O,X,X,O,X,X,X
LTOSJZI,O,O,O,O,X,X,O,X,X,X
LTOSZIJ,O,O,X,O,X,X,O,O,X,X
LTOSZJI,O,O,X,O,X,X,O,O,X,X
LTOZIJS,O,O,X,O,X,X,X,X,X,X
LTOZISJ,O,O,O,O,X,X,X,X,X,X
LTOZJIS,O,O,O,O,X,X,X,X,X,X
LTOZJSI,O,O,O,O,X,X,X,X,X,X
LTOZSIJ,O,O,O,O,X,X,X,X,X,X
LTOZSJI,O,O,O,O,X,X,X,X,X,X
LITJSZO,X,X,O,O,X,X,X,X,X,X
LITJSOZ,X,X,O,O,X,X,X,X,X,X
LITJZSO,X,X,O,O,X,X,X,O,X,X
LITJZOS,X,X,O,X,X,X,X,X,X,X
LITJOSZ,X,X,O,O,X,X,X,X,X,X
LITJOZS,X,X,O,X,X,X,X,X,X,X
LITSJZO,X,O,O,O,X,X,X,X,X,X
LITSJOZ,O,O,O,O,X,X,X,X,X,X
LITSZJO,O,O,O,O,X,X,X,O,X,X
LITSZOJ,O,O,O,X,X,X,X,X,X,X
LITSOJZ,O,O,O,O,X,X,X,X,X,X
LITSOZJ,O,O,O,X,X,X,X,X,X,X
LITZJSO,O,X,O,O,X,X,X,O,X,X
LITZJOS,X,X,O,X,X,X,X,X,X,X
LITZSJO,O,X,O,O,X,X,X,O,X,X
LITZSOJ,O,X,O,X,X,X,X,X,X,X
LITZOJS,O,X,X,X,X,X,X,X,X,X
LITZOSJ,O,X,O,X,X,X,X,X,X,X
LITOJSZ,O,X,X,O,X,X,X,X,X,X
LITOJZS,O,X,X,O,X,X,X,X,X,X
LITOSJZ,O,X,X,O,X,X,X,X,X,X
LITOSZJ,O,X,X,O,X,X,X,O,X,X
LITOZJS,O,X,X,O,X,X,X,X,X,X
LITOZSJ,O,X,X,O,X,X,X,X,X,X
LIJTSZO,X,X,O,O,X,X,O,X,X,X
LIJTSOZ,X,X,O,O,X,X,X,X,X,X
LIJTZSO,X,X,O,O,X,X,X,X,X,X
LIJTZOS,X,X,O,X,X,X,X,X,X,X
LIJTOSZ,X,X,O,O,X,X,X,X,X,X
LIJTOZS,X,X,O,X,X,X,X,X,X,X
LIJSTZO,X,X,O,O,X,X,O,X,X,X
LIJSTOZ,O,O,O,O,X,X,X,X,X,X
LIJSZTO,O,X,O,O,X,X,O,X,X,X
LIJSZOT,O,O,O,X,X,X,O,X,X,O
LIJSOTZ,X,O,O,O,X,X,X,X,X,X
LIJSOZT,X,O,O,X,X,X,O,X,X,O
LIJZTSO,X,X,O,O,X,X,X,X,X,X
LIJZTOS,X,X,O,X,X,X,X,X,X,X
LIJZSTO,X,X,X,O,X,X,O,X,X,X
LIJZSOT,X,X,X,X,X,X,O,X,X,O
LIJZOTS,X,X,O,X,X,X,X,X,X,X
LIJZOST,X,X,X,X,X,X,X,X,X,O
LIJOTSZ,X,X,O,O,X,X,X,X,X,X
LIJOTZS,X,X,O,O,X,X,X,X,X,X
LIJOSTZ,X,O,O,O,X,X,X,X,X,X
LIJOSZT,X,O,O,O,X,X,O,X,X,O
LIJOZTS,X,X,O,O,X,X,X,X,X,X
LIJOZST,X,X,O,O,X,X,X,X,X,O
LISTJZO,X,O,O,O,X,X,O,X,X,X
LISTJOZ,O,O,O,O,X,X,X,X,X,X
LISTZJO,O,O,O,O,X,X,O,X,X,X
LISTZOJ,O,O,O,X,X,X,X,X,O,X
LISTOJZ,O,O,O,O,X,X,X,X,X,X
LISTOZJ,O,O,O,X,X,X,X,X,X,X
LISJTZO,X,X,O,O,X,X,O,X,X,X
LISJTOZ,O,O,O,O,X,X,X,X,X,X
LISJZTO,O,O,O,O,X,X,O,X,X,X
LISJZOT,O,O,O,X,X,X,O,X,X,X
LISJOTZ,X,O,O,O,X,X,X,X,X,X
LISJOZT,X,O,O,X,X,X,O,X,X,X
LISZTJO,O,O,O,O,X,X,O,X,X,X
LISZTOJ,O,O,O,X,X,X,O,X,O,X
LISZJTO,O,O,O,O,X,X,O,X,X,X
LISZJOT,O,O,O,X,X,X,O,X,X,X
LISZOTJ,O,O,O,X,X,X,X,X,O,X
LISZOJT,O,O,X,X,X,X,O,X,O,X
LISOTJZ,O,O,O,O,X,X,X,X,X,X
LISOTZJ,O,O,O,X,X,X,X,X,X,X
LISOJTZ,X,O,X,O,X,X,X,X,X,X
LISOJZT,X,O,X,X,X,X,O,X,X,X
LISOZTJ,O,O,O,X,X,X,X,X,X,X
LISOZJT,O,O,X,X,X,X,O,X,X,X
LIZTJSO,O,X,O,O,X,X,X,X,X,X
LIZTJOS,X,X,O,X,X,X,X,X,X,X
LIZTSJO,O,X,O,O,X,X,X,X,X,X
LIZTSOJ,O,X,O,X,X,X,X,X,X,X
LIZTOJS,O,X,X,X,X,X,X,X,O,X
LIZTOSJ,O,X,O,X,X,X,X,X,O,X
LIZJTSO,X,X,O,O,X,X,X,X,X,X
LIZJTOS,X,X,O,X,X,X,X,X,X,X
LIZJSTO,O,O,X,O,X,X,X,X,X,X
LIZJSOT,O,O,X,X,X,X,X,X,X,O
LIZJOTS,X,X,O,X,X,X,X,X,X,X
LIZJOST,X,O,X,X,X,X,X,X,X,O
LIZSTJO,O,O,O,O,X,X,X,X,X,X
LIZSTOJ,O,O,O,X,X,X,X,X,O,X
LIZSJTO,O,O,O,O,X,X,X,X,X,X
LIZSJOT,O,O,O,X,X,X,X,X,X,X
LIZSOTJ,O,O,O,X,X,X,X,X,O,X
LIZSOJT,O,O,X,X,X,X,X,X,O,X
LIZOTJS,X,X,X,X,X,X,X,X,O,X
LIZOTSJ,X,X,O,X,X,X,X,X,O,X
LIZOJTS,X,X,X,X,X,X,X,X,O,X
LIZOJST,X,O,X,X,X,X,X,X,O,O
LIZOSTJ,X,O,X,X,X,X,X,X,O,X
LIZOSJT,X,O,X,X,X,X,X,X,O,X
LIOTJSZ,X,X,X,O,X,X,X,X,X,X
LIOTJZS,X,X,X,O,X,X,X,X,X,X
LIOTSJZ,X,X,X,O,X,X,X,X,X,X
LIOTSZJ,X,X,X,O,X,X,X,O,X,X
LIOTZJS,X,X,X,O,X,X,X,X,X,X
LIOTZSJ,X,X,X,O,X,X,X,X,X,X
LIOJTSZ,X,X,X,O,X,X,X,X,X,X
LIOJTZS,X,X,X,O,X,X,X,X,X,X
LIOJSTZ,X,O,X,O,X,X,X,X,X,X
LIOJSZT,X,O,X,O,O,X,X,X,X,O
LIOJZTS,X,X,X,O,X,X,X,X,X,X
LIOJZST,X,X,X,O,O,X,X,X,X,O
LIOSTJZ,O,O,X,O,X,X,X,X,X,X
LIOSTZJ,O,O,X,O,X,X,X,O,X,X
LIOSJTZ,X,O,X,O,X,X,X,X,X,X
LIOSJZT,X,O,X,O,O,X,X,X,X,X
LIOSZTJ,O,O,X,O,X,X,X,X,X,X
LIOSZJT,O,O,X,O,X,X,X,O,X,X
LIOZTJS,X,X,X,O,X,X,X,X,X,X
LIOZTSJ,X,X,X,O,X,X,X,X,X,X
LIOZJTS,X,X,X,O,X,X,X,X,X,X
LIOZJST,X,O,X,O,X,X,X,X,X,O
LIOZSTJ,X,O,X,O,X,X,X,X,X,X
LIOZSJT,X,O,X,O,X,X,X,X,X,X
LJTISZO,X,X,O,O,X,X,O,X,X,X
LJTISOZ,X,X,O,O,X,X,X,X,X,X
LJTIZSO,X,X,O,O,X,O,X,X,X,X
LJTIZOS,X,X,O,X,X,O,X,X,X,X
LJTIOSZ,X,X,O,O,X,X,X,X,X,X
LJTIOZS,X,X,O,X,X,X,X,X,X,X
LJTSIZO,X,X,O,O,X,X,O,X,X,X
LJTSIOZ,X,O,O,O,X,X,X,X,X,X
LJTSZIO,X,X,O,O,X,X,O,X,X,X
LJTSZOI,X,X,O,X,X,X,O,X,X,X
LJTSOIZ,X,O,O,O,X,X,X,X,X,X
LJTSOZI,X,O,O,X,X,X,X,X,X,X
LJTZISO,X,X,O,O,X,O,X,X,X,X
LJTZIOS,X,X,O,X,X,O,X,X,X,X
LJTZSIO,X,X,O,O,X,O,X,X,X,X
LJTZSOI,X,X,O,X,X,X,X,X,X,X
LJTZOIS,X,X,O,X,X,O,X,X,X,X
LJTZOSI,X,X,O,X,X,X,X,X,X,X
LJTOISZ,X,X,O,O,X,X,X,X,X,X
LJTOIZS,X,X,O,X,X,X,X,X,X,X
LJTOSIZ,X,O,O,O,X,X,X,X,X,X
LJTOSZI,X,O,O,X,X,X,X,X,X,X
LJTOZIS,X,X,O,X,X,X,X,X,X,X
LJTOZSI,X,X,O,X,X,X,X,X,X,X
LJITSZO,X,X,O,O,X,X,O,X,X,X
LJITSOZ,X,X,O,O,X,X,X,X,X,X
LJITZSO,X,X,O,O,X,O,X,X,X,X
LJITZOS,X,X,O,X,X,O,X,X,X,X
LJITOSZ,X,X,O,O,X,X,X,X,X,X
LJITOZS,X,X,O,X,X,X,X,X,X,X
LJISTZO,X,X,O,O,X,X,O,X,X,X
LJISTOZ,O,O,O,O,X,X,X,X,X,X
LJISZTO,O,X,O,O,X,X,O,X,X,X
LJISZOT,O,O,O,X,X,X,O,X,X,O
LJISOTZ,X,O,O,O,X,X,X,X,X,X
LJISOZT,X,O,O,X,X,X,O,X,X,O
LJIZTSO,X,X,O,O,X,O,X,X,X,X
LJIZTOS,X,X,O,X,X,O,X,X,X,X
LJIZSTO,X,X,X,O,X,O,O,X,X,X
LJIZSOT,X,X,X,X,X,O,O,X,X,O
LJIZOTS,X,X,O,X,X,O,X,X,X,X
LJIZOST,X,X,X,X,X,O,X,X,X,O
LJIOTSZ,X,X,O,O,X,X,X,X,X,X
LJIOTZS,X,X,O,O,X,X,X,X,X,X
LJIOSTZ,X,O,O,O,X,X,X,X,X,X
LJIOSZT,X,O,O,O,X,X,O,X,X,O
LJIOZTS,X,X,O,O,X,X,X,X,X,X
LJIOZST,X,X,O,O,X,X,X,X,X,O
LJSTIZO,X,O,O,O,X,X,O,X,X,X
LJSTIOZ,O,O,O,O,X,X,X,X,X,X
LJSTZIO,X,O,O,O,X,X,O,X,X,X
LJSTZOI,X,O,O,X,X,X,O,X,O,X
LJSTOIZ,O,O,O,O,X,X,X,X,X,X
LJSTOZI,O,O,O,X,X,X,X,X,X,X
LJSITZO,X,X,O,O,X,X,O,X,X,X
LJSITOZ,O,O,O,O,X,X,X,X,X,X
LJSIZTO,O,O,O,O,X,X,O,X,X,X
LJSIZOT,O,O,O,X,X,X,O,X,X,O
LJSIOTZ,X,O,O,O,X,X,X,X,X,X
LJSIOZT,X,O,O,X,X,X,O,X,X,O
LJSZTIO,O,O,O,O,X,X,O,X,X,X
LJSZTOI,O,O,O,X,O,X,O,X,O,X
LJSZITO,O,O,O,O,X,X,O,X,X,X
LJSZIOT,O,O,O,X,X,X,O,X,X,X
LJSZOTI,X,O,O,X,X,X,O,X,O,X
LJSZOIT,O,O,O,X,X,X,O,X,O,X
LJSOTIZ,X,O,O,O,X,X,X,X,X,X
LJSOTZI,X,O,O,X,X,X,X,X,X,X
LJSOITZ,X,O,O,O,X,X,X,X,X,X
LJSOIZT,X,O,O,X,X,X,O,X,X,X
LJSOZTI,X,O,O,X,X,X,O,X,X,X
LJSOZIT,X,O,O,X,X,X,O,X,X,X
LJZTISO,X,X,O,O,X,O,X,X,X,X
LJZTIOS,X,X,O,X,X,O,X,X,X,X
LJZTSIO,X,O,O,O,X,O,X,X,X,X
LJZTSOI,X,O,O,X,X,X,X,X,X,X
LJZTOIS,X,X,O,X,X,O,X,X,O,X
LJZTOSI,X,O,O,X,X,X,X,X,O,X
LJZITSO,X,X,O,O,X,O,X,X,X,X
LJZITOS,X,X,O,X,X,O,X,X,X,X
LJZISTO,X,O,X,O,X,O,O,X,X,X
LJZISOT,X,O,X,X,X,O,O,X,X,X
LJZIOTS,X,X,O,X,X,O,X,X,X,X
LJZIOST,X,O,X,X,X,O,X,X,X,X
LJZSTIO,X,O,O,O,X,O,O,X,X,X
LJZSTOI,X,O,O,X,O,X,O,X,O,X
LJZSITO,X,O,O,O,X,O,O,X,X,X
LJZSIOT,X,O,O,X,X,O,O,X,X,X
LJZSOTI,X,O,O,X,X,X,O,X,O,X
LJZSOIT,X,O,O,X,X,X,O,X,O,X
LJZOTIS,X,X,O,X,X,O,X,X,O,X
LJZOTSI,X,O,O,X,X,X,X,X,O,X
LJZOITS,X,X,O,X,X,O,X,X,O,X
LJZOIST,X,O,O,X,X,O,X,X,O,X
LJZOSTI,X,O,O,X,X,X,X,X,O,X
LJZOSIT,X,O,O,X,X,X,X,X,O,X
LJOTISZ,X,X,O,O,X,X,X,X,X,X
LJOTIZS,X,X,O,O,X,X,X,X,X,X
LJOTSIZ,X,O,O,O,X,X,X,X,X,X
LJOTSZI,X,O,O,O,X,X,X,X,X,X
LJOTZIS,X,X,O,O,X,X,X,X,X,X
LJOTZSI,X,X,O,O,X,X,X,X,X,X
LJOITSZ,X,X,O,O,X,X,X,X,X,X
LJOITZS,X,X,O,O,X,X,X,X,X,X
LJOISTZ,X,O,O,O,X,X,X,X,X,X
LJOISZT,X,O,O,O,X,X,O,X,X,X
LJOIZTS,X,X,O,O,X,X,X,X,X,X
LJOIZST,X,X,O,O,X,X,X,X,X,X
LJOSTIZ,X,O,O,O,X,X,X,X,X,X
LJOSTZI,X,O,O,O,X,X,X,X,X,X
LJOSITZ,X,O,O,O,X,X,X,X,X,X
LJOSIZT,X,O,O,O,X,X,O,X,X,X
LJOSZTI,X,O,O,O,X,X,O,X,X,X
LJOSZIT,X,O,O,O,X,X,O,X,X,X
LJOZTIS,X,X,O,O,X,X,X,X,X,X
LJOZTSI,X,O,O,O,X,X,X,X,X,X
LJOZITS,X,X,O,O,X,X,X,X,X,X
LJOZIST,X,O,O,O,X,X,X,X,X,X
LJOZSTI,X,O,O,O,X,X,X,X,X,X
LJOZSIT,X,O,O,O,X,X,X,X,X,X
LSTIJZO,X,O,O,O,X,X,O,X,X,X
LSTIJOZ,O,O,O,O,X,X,O,X,X,X
LSTIZJO,O,O,O,O,X,X,O,X,X,X
LSTIZOJ,O,O,O,X,X,X,O,X,O,X
LSTIOJZ,O,O,O,O,X,X,O,X,X,X
LSTIOZJ,O,O,O,X,X,X,O,X,X,X
LSTJIZO,X,O,O,O,X,X,O,X,X,X
LSTJIOZ,O,O,O,O,X,X,O,X,X,X
LSTJZIO,X,O,O,O,X,X,O,X,X,X
LSTJZOI,X,O,O,X,X,X,O,X,O,X
LSTJOIZ,O,O,O,O,X,X,O,X,X,X
LSTJOZI,O,O,O,X,X,X,O,X,X,X
LSTZIJO,O,O,O,O,X,X,O,X,X,X
LSTZIOJ,O,O,O,X,X,X,O,X,O,X
LSTZJIO,O,O,O,O,X,X,O,X,X,X
LSTZJOI,O,O,O,X,X,X,O,X,O,X
LSTZOIJ,O,O,O,X,X,X,O,X,O,X
LSTZOJI,O,O,O,X,X,X,O,X,O,X
LSTOIJZ,O,O,O,O,X,X,O,X,X,X
LSTOIZJ,O,O,O,X,X,X,O,X,X,X
LSTOJIZ,O,O,O,O,X,X,O,X,X,X
LSTOJZI,O,O,O,X,X,X,O,X,X,X
LSTOZIJ,O,O,X,X,X,X,O,X,O,X
LSTOZJI,O,O,X,X,X,X,O,X,O,X
LSITJZO,X,O,O,O,X,X,O,X,X,X
LSITJOZ,O,O,O,O,X,X,X,X,X,X
LSITZJO,O,O,O,O,X,X,O,X,X,X
LSITZOJ,O,O,O,X,X,X,X,X,O,X
LSITOJZ,O,O,O,O,X,X,X,X,X,X
LSITOZJ,O,O,O,X,X,X,X,X,X,X
LSIJTZO,X,X,O,O,X,X,O,X,X,X
LSIJTOZ,O,O,O,O,X,X,X,X,X,X
LSIJZTO,O,O,O,O,X,X,O,X,X,X
LSIJZOT,O,O,O,X,X,X,O,X,X,X
LSIJOTZ,X,O,O,O,X,X,X,X,X,X
LSIJOZT,X,O,O,X,X,X,O,X,X,X
LSIZTJO,O,O,O,O,X,X,O,X,X,X
LSIZTOJ,O,O,O,X,X,X,O,X,O,X
LSIZJTO,O,O,O,O,X,X,O,X,X,X
LSIZJOT,O,O,O,X,X,X,O,X,X,X
LSIZOTJ,O,O,O,X,X,X,X,X,O,X
LSIZOJT,O,O,X,X,X,X,O,X,O,X
LSIOTJZ,O,O,O,O,X,X,X,X,X,X
LSIOTZJ,O,O,O,X,X,X,X,X,X,X
LSIOJTZ,X,O,X,O,X,X,X,X,X,X
LSIOJZT,X,O,X,X,X,X,O,X,X,X
LSIOZTJ,O,O,O,X,X,X,X,X,X,X
LSIOZJT,O,O,X,X,X,X,O,X,X,X
LSJTIZO,X,O,O,O,X,X,O,X,X,X
LSJTIOZ,O,O,O,O,X,X,X,X,X,X
LSJTZIO,X,O,O,O,X,X,O,X,X,X
LSJTZOI,X,O,O,X,X,X,O,X,O,X
LSJTOIZ,O,O,O,O,X,X,X,X,X,X
LSJTOZI,O,O,O,X,X,X,X,X,X,X
LSJITZO,X,X,O,O,X,X,O,X,X,X
LSJITOZ,O,O,O,O,X,X,X,X,X,X
LSJIZTO,O,O,O,O,X,X,O,X,X,X
LSJIZOT,O,O,O,X,X,X,O,X,X,X
LSJIOTZ,X,O,O,O,X,X,X,X,X,X
LSJIOZT,X,O,O,X,X,X,O,X,X,X
LSJZTIO,O,O,O,O,X,X,O,X,X,X
LSJZTOI,O,O,O,X,O,X,O,X,O,X
LSJZITO,O,O,O,O,X,X,O,X,X,X
LSJZIOT,O,O,O,X,X,X,O,X,X,X
LSJZOTI,X,O,O,X,X,X,O,X,O,X
LSJZOIT,O,O,O,X,X,X,O,X,O,X
LSJOTIZ,X,O,O,O,X,X,X,X,X,X
LSJOTZI,X,O,O,X,X,X,X,X,X,X
LSJOITZ,X,O,O,O,X,X,X,X,X,X
LSJOIZT,X,O,O,X,X,X,O,X,X,X
LSJOZTI,X,O,O,X,X,X,O,X,X,X
LSJOZIT,X,O,O,X,X,X,O,X,X,X
LSZTIJO,O,O,O,O,X,X,O,X,X,X
LSZTIOJ,O,O,O,X,X,X,O,X,O,X
LSZTJIO,O,O,O,O,X,X,O,X,X,X
LSZTJOI,O,O,O,X,O,X,O,X,O,X
LSZTOIJ,O,O,O,X,X,X,O,X,O,X
LSZTOJI,O,O,O,X,O,X,O,X,O,X
LSZITJO,O,O,O,O,X,X,O,X,X,X
LSZITOJ,O,O,O,X,X,X,O,X,O,X
LSZIJTO,O,O,O,O,X,X,O,X,X,X
LSZIJOT,O,O,O,X,X,X,O,X,X,X
LSZIOTJ,O,O,O,X,X,X,X,X,O,X
LSZIOJT,O,O,X,X,X,X,O,X,O,X
LSZJTIO,O,O,O,O,X,X,O,X,X,X
LSZJTOI,O,O,O,X,O,X,O,X,O,X
LSZJITO,O,O,O,O,X,X,O,X,X,X
LSZJIOT,O,O,O,X,X,X,O,X,X,X
LSZJOTI,X,O,O,X,X,X,O,X,O,X
LSZJOIT,O,O,O,X,X,X,O,X,O,X
