sequence,v115@zgA8IeA8IeA8EeC8AeB8BeI8BeE8JeR7IvhF3cB1iB?6jBzfBWmB0qB,v115@zgA8IeA8IeA8EeC8AeB8BeI8BeE8JeF7IvhF0cBxdB?flBGjBCmBzqB,v115@zgA8IeA8IeA8EeC8AeB8BeI8BeE8Jez6IvhFRcB1iB?6jBWmBUlBXrB,v115@zgA8IeA8IeA8EeC8AeB8BeI8BeE8JeqAJvhFxdBzfB?lhBGjBUlBXrB,v115@zgA8IeA8IeA8EeC8AeB8BeI8BeE8Jez6IvhF0dB6jB?lhBRlB+lBXrB,v115@zgA8IeA8IeA8EeC8AeB8BeI8BeE8Jez6IvhFxdBlhB?GjBUlBfrBCrB,v115@zgA8IeA8IeA8EeC8AeB8BeI8BeE8JeWAJvhF0dB6jB?lhBRlBTlBXrB,v115@zgA8IeA8IeA8EeC8AeB8BeI8BeE8Jez6IvhFFcBxdB?3hBGjBUlBqqB,v115@zgA8IeA8IeA8EeC8AeB8BeI8BeE8Jez6IvhFqgBxdB?lhBGjBUlBXrB,v115@zgA8IeA8IeA8EeC8AeB8BeI8BeE8Jeq/IvhFxdB0gB?lhBGjBTlBXrB,v115@zgA8IeA8IeA8EeC8AeB8BeI8BeE8Jeq/IvhFTbBXhB?xiBlhBGjB0qB
IZSLOTJ,X,O,X,X,O,X,X,O,X,X,O
IZSLOJT,X,X,X,X,X,X,X,O,X,X,O
IZSJTLO,X,O,X,X,X,O,O,O,X,X,X
IZSJTOL,X,O,X,X,X,O,X,X,X,X,X
IZSJLTO,X,O,X,X,X,O,O,O,X,X,X
IZSJLOT,X,O,X,X,X,O,X,O,X,X,O
IZSJOTL,X,O,X,X,X,O,X,X,X,X,X
IZSJOLT,X,O,X,X,X,O,X,O,X,X,X
IZSOTLJ,X,O,X,X,O,X,X,X,X,X,X
IZSOTJL,X,O,X,X,X,O,X,X,X,X,X
IZSOLTJ,X,O,X,X,O,X,X,O,X,X,O
IZSOLJT,X,X,X,X,X,X,X,O,X,X,O
IZSOJTL,X,X,X,X,X,O,X,X,X,X,X
IZSOJLT,X,X,X,X,X,O,X,X,X,X,X
IZOTLJS,O,X,O,X,O,X,O,X,X,X,X
IZOTLSJ,O,X,O,X,O,X,X,X,X,X,X
IZOTJLS,O,X,O,X,O,X,O,X,X,X,X
IZOTJSL,O,X,O,X,X,X,X,X,X,X,X
IZOTSLJ,O,X,O,X,O,X,X,X,X,X,X
IZOTSJL,O,X,X,X,X,X,X,X,X,X,X
IZOLTJS,O,X,O,X,O,X,O,O,X,X,X
IZOLTSJ,O,X,O,X,O,X,X,X,X,X,O
IZOLJTS,O,X,O,X,O,X,O,O,X,X,X
IZOLJST,O,X,X,X,X,X,X,O,X,X,O
IZOLSTJ,O,O,X,X,O,X,X,O,X,X,O
IZOLSJT,O,X,X,X,X,X,X,O,X,X,O
IZOJTLS,O,X,O,X,O,X,O,O,X,X,X
IZOJTSL,O,X,O,X,X,O,X,X,X,X,X
IZOJLTS,O,X,O,X,O,X,O,O,X,X,X
IZOJLST,O,X,X,X,X,O,X,O,X,X,X
IZOJSTL,O,X,O,X,X,O,X,X,X,X,X
IZOJSLT,O,X,X,X,X,O,X,O,X,X,X
IZOSTLJ,O,O,X,X,O,X,X,X,X,X,X
IZOSTJL,O,O,X,X,X,O,X,X,X,X,X
IZOSLTJ,O,O,X,X,O,X,X,X,X,X,O
IZOSLJT,O,X,X,X,X,X,X,X,X,X,O
IZOSJTL,O,X,X,X,X,O,X,X,X,X,X
IZOSJLT,O,X,X,X,X,O,X,X,X,X,X
IOTLJSZ,O,X,X,O,O,X,X,X,X,X,X
IOTLJZS,O,X,X,O,O,X,O,X,X,X,X
IOTLSJZ,O,X,X,X,O,X,X,X,X,X,X
IOTLSZJ,O,X,X,X,O,X,X,X,X,X,X
IOTLZJS,O,X,X,X,O,X,O,X,X,X,X
IOTLZSJ,O,X,X,X,O,X,X,X,X,X,X
IOTJLSZ,O,X,X,O,O,X,X,X,X,X,X
IOTJLZS,O,X,X,O,O,X,O,X,X,X,X
IOTJSLZ,O,X,X,O,X,X,X,X,X,X,X
IOTJSZL,O,X,X,X,X,X,X,X,X,X,X
IOTJZLS,O,X,X,O,O,X,O,X,X,X,X
IOTJZSL,O,X,X,X,X,X,X,X,X,X,X
IOTSLJZ,O,X,X,X,O,X,X,X,X,X,X
IOTSLZJ,O,X,X,X,O,X,X,X,X,X,X
IOTSJLZ,O,X,X,X,X,X,X,X,X,X,X
IOTSJZL,O,X,X,X,X,X,X,X,X,X,X
IOTSZLJ,O,X,X,X,O,X,X,X,X,X,X
IOTSZJL,X,X,X,X,X,X,X,X,X,X,X
IOTZLJS,O,X,X,X,O,X,O,X,X,X,X
IOTZLSJ,O,X,X,X,O,X,X,X,X,X,X
IOTZJLS,O,X,X,X,O,X,O,X,X,X,X
IOTZJSL,O,X,X,X,X,X,X,X,X,X,X
IOTZSLJ,O,X,X,X,O,X,X,X,X,X,X
IOTZSJL,O,X,X,X,X,X,X,X,X,X,X
IOLTJSZ,O,X,X,O,O,X,X,X,X,X,X
IOLTJZS,O,X,X,O,O,X,O,X,X,X,X
IOLTSJZ,O,X,X,X,O,X,X,X,X,X,O
IOLTSZJ,O,X,X,X,O,X,X,X,X,X,O
IOLTZJS,O,X,X,X,O,X,O,X,X,X,X
IOLTZSJ,O,X,X,X,O,X,X,X,X,X,X
IOLJTSZ,O,X,X,O,O,X,X,X,X,X,X
IOLJTZS,O,X,X,O,O,X,O,X,X,X,X
IOLJSTZ,O,X,X,O,X,X,X,X,X,X,O
IOLJSZT,X,X,X,X,X,X,X,X,X,X,O
IOLJZTS,O,X,X,O,O,X,O,X,X,X,X
IOLJZST,O,X,X,X,X,X,X,X,X,X,X
IOLSTJZ,O,X,X,X,O,X,X,X,X,X,O
IOLSTZJ,O,X,X,X,O,X,X,X,X,X,O
IOLSJTZ,O,X,X,X,X,X,X,X,X,X,O
IOLSJZT,X,X,X,X,X,X,X,X,X,X,O
IOLSZTJ,O,X,X,X,O,X,X,X,X,X,O
IOLSZJT,O,X,X,X,X,X,X,X,X,X,O
IOLZTJS,O,X,X,X,O,X,O,X,X,X,X
IOLZTSJ,O,X,X,X,O,X,X,X,X,X,O
IOLZJTS,O,X,X,X,O,X,O,X,X,X,X
IOLZJST,O,X,X,X,X,X,X,X,X,X,O
IOLZSTJ,O,X,X,X,O,X,X,X,X,X,O
IOLZSJT,O,X,X,X,X,X,X,X,X,X,O
IOJTLSZ,O,X,X,O,O,X,X,X,X,X,X
IOJTLZS,O,X,X,O,O,X,O,X,X,X,X
IOJTSLZ,O,X,X,O,X,X,X,X,X,X,X
IOJTSZL,O,X,X,X,X,X,X,X,X,X,X
IOJTZLS,O,X,X,O,O,X,O,X,X,X,X
IOJTZSL,O,X,X,X,X,X,X,X,X,X,X
IOJLTSZ,O,X,X,O,O,X,X,X,X,X,X
IOJLTZS,O,X,X,O,O,X,O,X,X,X,X
IOJLSTZ,O,X,X,O,X,X,X,X,X,X,X
IOJLSZT,X,X,X,X,X,X,X,X,X,X,X
IOJLZTS,O,X,X,O,O,X,O,X,X,X,X
IOJLZST,O,X,X,X,X,X,X,X,X,X,X
IOJSTLZ,O,X,X,O,X,X,X,X,X,X,X
IOJSTZL,O,X,X,X,X,X,X,X,X,X,X
IOJSLTZ,O,X,X,O,X,X,X,X,X,X,X
IOJSLZT,X,X,X,X,X,X,X,X,X,X,X
IOJSZTL,O,X,X,X,X,X,X,X,X,X,X
IOJSZLT,X,X,X,X,X,X,X,X,X,X,X
IOJZTLS,O,X,X,O,O,X,O,X,X,X,X
IOJZTSL,O,X,X,X,X,X,X,X,X,X,X
IOJZLTS,O,X,X,O,O,X,O,X,X,X,X
IOJZLST,O,X,X,X,X,X,X,X,X,X,X
IOJZSTL,O,X,X,X,X,X,X,X,X,X,X
IOJZSLT,O,X,X,X,X,X,X,X,X,X,X
IOSTLJZ,O,X,X,X,O,X,X,X,X,X,X
IOSTLZJ,O,X,X,X,O,X,X,X,X,X,X
IOSTJLZ,O,X,X,X,X,X,X,X,X,X,X
IOSTJZL,O,X,X,X,X,X,X,X,X,X,X
IOSTZLJ,O,X,X,X,O,X,X,X,X,X,X
IOSTZJL,X,X,X,X,X,X,X,X,X,X,X
IOSLTJZ,O,X,X,X,O,X,X,X,X,X,O
IOSLTZJ,O,X,X,X,O,X,X,X,X,X,O
IOSLJTZ,O,X,X,X,X,X,X,X,X,X,O
IOSLJZT,X,X,X,X,X,X,X,X,X,X,O
IOSLZTJ,O,X,X,X,O,X,X,X,X,X,O
IOSLZJT,O,X,X,X,X,X,X,X,X,X,O
IOSJTLZ,O,X,X,X,X,X,X,X,X,X,X
IOSJTZL,O,X,X,X,X,X,X,X,X,X,X
IOSJLTZ,O,X,X,X,X,X,X,X,X,X,X
IOSJLZT,X,X,X,X,X,X,X,X,X,X,X
IOSJZTL,O,X,X,X,X,X,X,X,X,X,X
IOSJZLT,X,X,X,X,X,X,X,X,X,X,X
IOSZTLJ,O,X,X,X,O,X,X,X,X,X,X
IOSZTJL,O,X,X,X,X,X,X,X,X,X,X
IOSZLTJ,O,X,X,X,O,X,X,X,X,X,X
IOSZLJT,O,X,X,X,X,X,X,X,X,X,X
IOSZJTL,O,X,X,X,X,X,X,X,X,X,X
IOSZJLT,O,X,X,X,X,X,X,X,X,X,X
IOZTLJS,O,X,X,X,O,X,O,X,X,X,X
IOZTLSJ,O,X,X,X,O,X,X,X,X,X,X
IOZTJLS,O,X,X,X,O,X,O,X,X,X,X
IOZTJSL,O,X,X,X,X,X,X,X,X,X,X
IOZTSLJ,O,X,X,X,O,X,X,X,X,X,X
IOZTSJL,O,X,X,X,X,X,X,X,X,X,X
IOZLTJS,O,X,X,X,O,X,O,X,X,X,X
IOZLTSJ,O,X,X,X,O,X,X,X,X,X,O
IOZLJTS,O,X,X,X,O,X,O,X,X,X,X
IOZLJST,O,X,X,X,X,X,X,X,X,X,O
IOZLSTJ,O,X,X,X,O,X,X,X,X,X,O
IOZLSJT,O,X,X,X,X,X,X,X,X,X,O
IOZJTLS,O,X,X,X,O,X,O,X,X,X,X
IOZJTSL,O,X,X,X,X,X,X,X,X,X,X
IOZJLTS,O,X,X,X,O,X,O,X,X,X,X
IOZJLST,O,X,X,X,X,X,X,X,X,X,X
IOZJSTL,O,X,X,X,X,X,X,X,X,X,X
IOZJSLT,O,X,X,X,X,X,X,X,X,X,X
IOZSTLJ,O,X,X,X,O,X,X,X,X,X,X
IOZSTJL,O,X,X,X,X,X,X,X,X,X,X
IOZSLTJ,O,X,X,X,O,X,X,X,X,X,O
IOZSLJT,O,X,X,X,X,X,X,X,X,X,O
IOZSJTL,O,X,X,X,X,X,X,X,X,X,X
IOZSJLT,O,X,X,X,X,X,X,X,X,X,X
LTIJSZO,O,X,O,X,O,X,O,X,O,O,X
LTIJSOZ,O,X,X,O,O,X,X,X,X,X,X
LTIJZSO,O,X,O,X,O,X,O,X,O,O,X
LTIJZOS,X,X,O,O,O,X,O,X,O,O,X
LTIJOSZ,O,X,X,O,O,X,X,X,X,X,X
LTIJOZS,O,X,O,O,O,X,O,X,O,O,X
LTISJZO,O,X,O,X,O,X,O,X,X,X,X
LTISJOZ,O,X,X,X,O,X,X,X,X,X,X
LTISZJO,O,X,O,X,O,X,O,X,X,X,X
LTISZOJ,O,X,O,X,O,X,X,X,X,X,X
LTISOJZ,O,X,X,X,O,X,X,X,X,X,O
LTISOZJ,O,X,X,X,O,X,X,X,X,X,O
LTIZJSO,O,X,O,X,O,X,O,X,O,O,X
LTIZJOS,O,X,O,X,O,X,O,X,O,O,X
LTIZSJO,O,X,O,X,O,X,O,X,X,X,X
LTIZSOJ,O,X,O,X,O,X,X,X,X,X,O
LTIZOJS,O,X,O,X,O,X,O,X,O,X,X
LTIZOSJ,O,X,O,X,O,X,X,X,X,X,O
LTIOJSZ,O,X,X,O,O,X,X,X,X,X,X
LTIOJZS,O,X,O,O,O,X,O,X,X,X,X
LTIOSJZ,O,X,X,X,O,X,X,X,X,X,O
LTIOSZJ,O,X,X,X,O,X,X,X,X,X,O
LTIOZJS,O,X,O,X,O,X,O,X,X,X,X
LTIOZSJ,O,X,O,X,O,X,X,X,X,X,X
LTJISZO,O,O,O,X,O,X,O,X,O,O,X
LTJISOZ,O,O,X,O,O,X,X,X,X,X,X
LTJIZSO,O,O,O,X,O,X,O,X,O,O,X
LTJIZOS,X,X,O,O,O,X,O,X,O,O,X
LTJIOSZ,O,X,X,O,O,X,X,X,X,X,X
LTJIOZS,O,X,O,O,O,X,O,X,O,O,X
LTJSIZO,O,O,O,X,X,X,X,X,O,O,X
LTJSIOZ,O,O,X,O,X,X,X,X,X,X,X
LTJSZIO,O,O,O,X,X,X,X,X,O,O,X
LTJSZOI,O,O,O,X,X,X,X,X,O,O,X
LTJSOIZ,O,O,X,O,X,X,X,X,X,X,X
LTJSOZI,O,O,X,O,X,X,X,X,X,X,X
LTJZISO,O,O,O,X,O,X,O,X,O,O,X
LTJZIOS,O,X,O,O,O,X,O,X,O,O,X
LTJZSIO,O,O,O,X,X,X,X,X,O,O,X
LTJZSOI,O,O,O,X,X,X,X,X,O,O,X
LTJZOIS,O,X,O,O,X,X,X,X,O,O,X
LTJZOSI,O,X,O,O,X,X,X,X,O,O,X
LTJOISZ,O,X,X,O,X,X,X,X,X,X,X
LTJOIZS,O,X,O,O,X,X,X,X,O,O,X
LTJOSIZ,O,X,X,O,X,X,X,X,X,X,X
LTJOSZI,O,X,X,O,X,X,X,X,X,X,X
LTJOZIS,O,X,O,O,X,X,X,X,O,O,X
LTJOZSI,O,X,O,O,X,X,X,X,O,O,X
LTSIJZO,O,O,O,X,O,X,O,X,X,X,X
LTSIJOZ,O,O,X,X,O,X,X,X,X,X,X
LTSIZJO,O,O,O,X,O,X,O,X,X,X,X
LTSIZOJ,O,O,O,X,O,X,X,X,X,X,X
LTSIOJZ,O,X,X,X,O,X,X,X,X,X,O
LTSIOZJ,O,X,X,X,O,X,X,X,X,X,O
LTSJIZO,O,O,O,X,X,X,X,X,O,O,X
LTSJIOZ,O,O,X,O,X,X,X,X,X,X,X
LTSJZIO,O,O,O,X,X,X,X,X,O,O,X
LTSJZOI,O,O,O,X,X,X,X,X,O,O,X
LTSJOIZ,O,O,X,O,X,X,X,X,X,X,X
LTSJOZI,O,O,X,O,X,X,X,X,X,X,X
LTSZIJO,O,O,O,X,O,X,O,X,X,X,X
LTSZIOJ,O,O,O,X,O,X,X,X,X,X,X
LTSZJIO,O,O,O,X,X,X,X,X,O,O,X
LTSZJOI,O,O,O,X,X,X,X,X,O,O,X
LTSZOIJ,O,O,O,X,X,X,X,X,X,X,X
LTSZOJI,O,O,O,X,X,X,X,X,O,X,X
LTSOIJZ,O,X,X,X,X,X,X,X,X,X,O
LTSOIZJ,O,X,X,X,X,X,X,X,X,X,O
LTSOJIZ,O,O,X,O,X,X,X,X,X,X,X
LTSOJZI,O,O,X,O,X,X,X,X,X,X,X
LTSOZIJ,O,O,X,X,X,X,X,X,X,X,X
LTSOZJI,O,O,X,X,X,X,X,X,X,X,X
LTZIJSO,O,X,O,X,O,X,O,X,O,O,X
LTZIJOS,O,X,O,X,O,X,O,X,O,O,X
LTZISJO,O,O,O,X,O,X,O,X,X,X,X
LTZISOJ,O,O,O,X,O,X,X,X,X,X,O
LTZIOJS,O,X,O,X,O,X,O,X,O,X,X
LTZIOSJ,O,X,O,X,O,X,X,X,X,X,O
LTZJISO,O,O,O,X,O,X,O,X,O,O,X
LTZJIOS,O,X,O,O,O,X,O,X,O,O,X
LTZJSIO,O,O,O,X,X,X,X,X,O,O,X
LTZJSOI,O,O,O,X,X,X,X,X,O,O,X
LTZJOIS,O,X,O,O,X,X,X,X,O,O,X
LTZJOSI,O,X,O,O,X,X,X,X,O,O,X
LTZSIJO,O,O,O,X,O,X,O,X,X,X,X
LTZSIOJ,O,O,O,X,O,X,X,X,X,X,O
LTZSJIO,O,O,O,X,X,X,X,X,O,O,X
LTZSJOI,O,O,O,X,X,X,X,X,O,O,X
LTZSOIJ,O,O,O,X,X,X,X,X,X,X,O
LTZSOJI,O,O,O,X,X,X,X,X,O,X,X
LTZOIJS,O,X,O,X,O,X,O,X,O,X,X
LTZOISJ,O,X,O,X,O,X,X,X,X,X,O
LTZOJIS,O,X,O,O,X,X,X,X,O,O,X
LTZOJSI,O,X,O,O,X,X,X,X,O,O,X
LTZOSIJ,O,X,O,X,X,X,X,X,X,X,O
LTZOSJI,O,X,O,X,X,X,X,X,O,X,X
LTOIJSZ,O,X,X,O,O,X,X,X,X,X,X
LTOIJZS,O,X,O,O,O,X,O,X,X,X,X
LTOISJZ,O,X,X,X,O,X,X,X,X,X,O
LTOISZJ,O,X,X,X,O,X,X,X,X,X,O
LTOIZJS,O,X,O,X,O,X,O,X,X,X,X
LTOIZSJ,O,X,O,X,O,X,X,X,X,X,X
LTOJISZ,O,X,X,O,X,X,X,X,X,X,X
LTOJIZS,O,X,O,O,X,X,X,X,O,O,X
LTOJSIZ,O,X,X,O,X,X,X,X,X,X,X
LTOJSZI,O,X,X,O,X,X,X,X,X,X,X
LTOJZIS,O,X,O,O,X,X,X,X,O,O,X
LTOJZSI,O,X,O,O,X,X,X,X,O,O,X
LTOSIJZ,O,X,X,X,X,X,X,X,X,X,O
LTOSIZJ,O,X,X,X,X,X,X,X,X,X,O
LTOSJIZ,O,X,X,O,X,X,X,X,X,X,X
LTOSJZI,O,X,X,O,X,X,X,X,X,X,X
LTOSZIJ,O,X,X,X,X,X,X,X,X,X,X
LTOSZJI,O,X,X,X,X,X,X,X,X,X,X
LTOZIJS,O,X,O,X,O,X,O,X,O,X,X
LTOZISJ,O,X,O,X,O,X,X,X,X,X,X
LTOZJIS,O,X,O,O,X,X,X,X,O,O,X
LTOZJSI,O,X,O,O,X,X,X,X,O,O,X
LTOZSIJ,O,X,O,X,X,X,X,X,X,X,X
LTOZSJI,O,X,O,X,X,X,X,X,O,X,X
LITJSZO,O,X,O,X,O,X,O,X,O,O,X
LITJSOZ,O,X,X,O,O,X,X,X,X,X,X
LITJZSO,O,X,O,X,O,X,O,X,O,O,X
LITJZOS,X,X,O,O,O,X,O,X,O,O,X
LITJOSZ,O,X,X,O,O,X,X,X,X,X,X
LITJOZS,O,X,O,O,O,X,O,X,O,O,X
LITSJZO,O,X,O,X,O,X,O,X,X,X,X
LITSJOZ,O,X,X,X,O,X,X,X,X,X,X
LITSZJO,O,X,O,X,O,X,O,X,X,X,X
LITSZOJ,O,X,O,X,O,X,X,X,X,X,X
LITSOJZ,O,X,X,X,O,X,X,X,X,X,O
LITSOZJ,O,X,X,X,O,X,X,X,X,X,O
LITZJSO,O,X,O,X,O,X,O,X,O,O,X
LITZJOS,O,X,O,X,O,X,O,X,O,O,X
LITZSJO,O,X,O,X,O,X,O,X,X,X,X
LITZSOJ,O,X,O,X,O,X,X,X,X,X,O
LITZOJS,O,X,O,X,O,X,O,X,O,X,X
LITZOSJ,O,X,O,X,O,X,X,X,X,X,O
LITOJSZ,O,X,X,O,O,X,X,X,X,X,X
LITOJZS,O,X,O,O,O,X,O,X,X,X,X
LITOSJZ,O,X,X,X,O,X,X,X,X,X,O
LITOSZJ,O,X,X,X,O,X,X,X,X,X,O
LITOZJS,O,X,O,X,O,X,O,X,X,X,X
LITOZSJ,O,X,O,X,O,X,X,X,X,X,X
LIJTSZO,O,O,O,X,O,X,O,X,O,O,X
LIJTSOZ,O,O,X,O,O,X,X,X,X,X,X
LIJTZSO,O,O,O,X,O,X,O,X,O,O,X
LIJTZOS,X,X,O,O,O,X,O,X,O,O,X
LIJTOSZ,O,X,X,O,O,X,X,X,X,X,X
LIJTOZS,O,X,O,O,O,X,O,X,O,O,X
LIJSTZO,O,O,X,X,X,X,O,X,O,O,X
LIJSTOZ,O,O,X,O,X,X,X,X,X,X,X
LIJSZTO,X,O,X,X,X,X,O,X,O,O,X
LIJSZOT,X,O,X,X,X,X,X,X,O,X,X
LIJSOTZ,X,O,X,O,X,X,X,X,X,X,O
LIJSOZT,X,O,X,X,X,X,X,X,X,X,O
LIJZTSO,O,O,O,X,O,X,O,X,O,O,X
LIJZTOS,X,X,O,O,O,X,O,X,O,O,X
LIJZSTO,X,O,X,X,X,X,O,X,O,O,X
LIJZSOT,X,O,X,X,X,X,X,X,O,X,O
LIJZOTS,X,X,O,O,O,X,O,X,O,O,X
LIJZOST,X,O,X,X,X,X,X,X,O,X,O
LIJOTSZ,O,X,X,O,O,X,X,X,X,X,X
LIJOTZS,O,X,X,O,O,X,O,X,O,O,X
LIJOSTZ,O,O,X,O,X,X,X,X,X,X,O
LIJOSZT,X,O,X,X,X,X,X,X,X,X,O
LIJOZTS,O,X,X,O,O,X,O,X,O,O,X
LIJOZST,X,O,X,X,X,X,X,X,O,X,X
LISTJZO,X,O,X,X,O,X,O,X,X,X,X
LISTJOZ,X,O,X,X,O,X,X,X,X,X,X
LISTZJO,X,O,X,X,O,X,O,X,X,X,X
LISTZOJ,X,O,X,X,O,X,X,X,X,X,X
LISTOJZ,X,X,X,X,O,X,X,X,X,X,O
LISTOZJ,X,X,X,X,O,X,X,X,X,X,O
LISJTZO,X,O,X,X,X,X,O,X,X,X,X
LISJTOZ,X,O,X,X,X,X,X,X,X,X,X
LISJZTO,X,O,X,X,X,X,O,X,X,X,X
LISJZOT,X,O,X,X,X,X,X,X,X,X,X
LISJOTZ,X,O,X,X,X,X,X,X,X,X,O
LISJOZT,X,O,X,X,X,X,X,X,X,X,O
LISZTJO,X,O,X,X,O,X,O,X,X,X,X
LISZTOJ,X,O,X,X,O,X,X,X,X,X,O
LISZJTO,X,O,X,X,X,X,O,X,X,X,X
LISZJOT,X,O,X,X,X,X,X,X,X,X,O
LISZOTJ,X,O,X,X,O,X,X,X,X,X,O
LISZOJT,X,X,X,X,X,X,X,X,X,X,O
LISOTJZ,X,X,X,X,O,X,X,X,X,X,O
LISOTZJ,X,X,X,X,O,X,X,X,X,X,O
LISOJTZ,X,X,X,X,X,X,X,X,X,X,O
LISOJZT,X,X,X,X,X,X,X,X,X,X,O
LISOZTJ,X,X,X,X,O,X,X,X,X,X,O
LISOZJT,X,X,X,X,X,X,X,X,X,X,O
LIZTJSO,O,X,O,X,O,X,O,X,O,O,X
LIZTJOS,O,X,O,X,O,X,O,X,O,O,X
LIZTSJO,O,O,O,X,O,X,O,X,X,X,X
LIZTSOJ,O,O,O,X,O,X,X,X,X,X,O
LIZTOJS,O,X,O,X,O,X,O,X,O,X,X
LIZTOSJ,O,X,O,X,O,X,X,X,X,X,O
LIZJTSO,O,O,O,X,O,X,O,X,O,O,X
LIZJTOS,O,X,O,X,O,X,O,X,O,O,X
LIZJSTO,O,O,X,X,X,X,O,X,O,O,X
LIZJSOT,X,O,X,X,X,X,X,X,O,X,O
LIZJOTS,O,X,O,X,O,X,O,X,O,O,X
LIZJOST,O,O,X,X,X,X,X,X,O,X,O
LIZSTJO,X,O,X,X,O,X,O,X,X,X,X
LIZSTOJ,X,O,X,X,O,X,X,X,X,X,O
LIZSJTO,X,O,X,X,X,X,O,X,X,X,X
LIZSJOT,X,O,X,X,X,X,X,X,X,X,O
LIZSOTJ,X,O,X,X,O,X,X,X,X,X,O
LIZSOJT,X,X,X,X,X,X,X,X,X,X,O
LIZOTJS,O,X,O,X,O,X,O,X,O,X,X
LIZOTSJ,O,X,O,X,O,X,X,X,X,X,O
LIZOJTS,O,X,O,X,O,X,O,X,O,X,X
LIZOJST,O,X,X,X,X,X,X,X,O,X,O
LIZOSTJ,O,O,X,X,O,X,X,X,X,X,O
LIZOSJT,O,X,X,X,X,X,X,X,X,X,O
LIOTJSZ,O,X,X,O,O,X,X,X,X,X,X
LIOTJZS,O,X,X,O,O,X,O,X,X,X,X
LIOTSJZ,O,X,X,X,O,X,X,X,X,X,O
LIOTSZJ,O,X,X,X,O,X,X,X,X,X,O
LIOTZJS,O,X,X,X,O,X,O,X,X,X,X
LIOTZSJ,O,X,X,X,O,X,X,X,X,X,X
LIOJTSZ,O,X,X,O,O,X,X,X,X,X,X
LIOJTZS,O,X,X,O,O,X,O,X,X,X,X
LIOJSTZ,O,X,X,O,X,X,X,X,X,X,O
LIOJSZT,X,X,X,X,X,X,X,X,X,X,O
LIOJZTS,O,X,X,O,O,X,O,X,X,X,X
LIOJZST,O,X,X,X,X,X,X,X,X,X,X
LIOSTJZ,O,X,X,X,O,X,X,X,X,X,O
LIOSTZJ,O,X,X,X,O,X,X,X,X,X,O
LIOSJTZ,O,X,X,X,X,X,X,X,X,X,O
LIOSJZT,X,X,X,X,X,X,X,X,X,X,O
LIOSZTJ,O,X,X,X,O,X,X,X,X,X,O
LIOSZJT,O,X,X,X,X,X,X,X,X,X,O
LIOZTJS,O,X,X,X,O,X,O,X,X,X,X
LIOZTSJ,O,X,X,X,O,X,X,X,X,X,O
LIOZJTS,O,X,X,X,O,X,O,X,X,X,X
LIOZJST,O,X,X,X,X,X,X,X,X,X,O
LIOZSTJ,O,X,X,X,O,X,X,X,X,X,O
LIOZSJT,O,X,X,X,X,X,X,X,X,X,O
LJTISZO,O,O,O,X,O,X,O,X,O,O,X
LJTISOZ,O,O,X,O,O,X,X,X,X,X,X
LJTIZSO,O,O,O,X,O,X,O,X,O,O,X
LJTIZOS,X,X,O,O,O,X,O,X,O,O,X
LJTIOSZ,O,X,X,O,O,X,X,X,X,X,X
LJTIOZS,O,X,O,O,O,X,O,X,O,O,X
LJTSIZO,O,O,O,X,X,X,X,X,O,O,X
LJTSIOZ,O,O,X,O,X,X,X,X,X,X,X
LJTSZIO,O,O,O,X,X,X,X,X,O,O,X
LJTSZOI,O,O,O,X,X,X,X,X,O,O,X
LJTSOIZ,O,O,X,O,X,X,X,X,X,X,X
LJTSOZI,O,O,X,O,X,X,X,X,X,X,X
LJTZISO,O,O,O,X,O,X,O,X,O,O,X
LJTZIOS,O,X,O,O,O,X,O,X,O,O,X
LJTZSIO,O,O,O,X,X,X,X,X,O,O,X
LJTZSOI,O,O,O,X,X,X,X,X,O,O,X
LJTZOIS,O,X,O,O,X,X,X,X,O,O,X
LJTZOSI,O,X,O,O,X,X,X,X,O,O,X
LJTOISZ,O,X,X,O,X,X,X,X,X,X,X
LJTOIZS,O,X,O,O,X,X,X,X,O,O,X
LJTOSIZ,O,X,X,O,X,X,X,X,X,X,X
LJTOSZI,O,X,X,O,X,X,X,X,X,X,X
LJTOZIS,O,X,O,O,X,X,X,X,O,O,X
LJTOZSI,O,X,O,O,X,X,X,X,O,O,X
LJITSZO,O,O,O,X,O,X,O,X,O,O,X
LJITSOZ,O,O,X,O,O,X,X,X,X,X,X
LJITZSO,O,O,O,X,O,X,O,X,O,O,X
LJITZOS,X,X,O,O,O,X,O,X,O,O,X
LJITOSZ,O,X,X,O,O,X,X,X,X,X,X
LJITOZS,O,X,O,O,O,X,O,X,O,O,X
LJISTZO,O,O,X,X,X,X,O,X,O,O,X
LJISTOZ,O,O,X,O,X,X,X,X,X,X,X
LJISZTO,X,O,X,X,X,X,O,O,O,O,X
LJISZOT,X,O,X,X,X,X,X,O,O,X,X
LJISOTZ,X,O,X,O,X,X,X,X,X,X,O
LJISOZT,X,O,X,X,X,X,X,X,X,X,O
LJIZTSO,O,O,O,X,O,X,O,O,O,O,X
LJIZTOS,X,X,O,O,O,X,O,O,O,O,X
LJIZSTO,X,O,X,X,X,O,O,O,O,O,X
LJIZSOT,X,O,X,X,X,O,X,O,O,X,O
LJIZOTS,X,X,O,O,O,X,O,O,O,O,X
LJIZOST,X,O,X,X,X,O,X,O,O,X,O
LJIOTSZ,O,X,X,O,O,X,X,X,X,X,X
LJIOTZS,O,X,X,O,O,X,O,X,O,O,X
