sequence,v115@5gD8GeC8FeD8EeE8BeA8BeE8JeZ/IvhFCbB0cBNlB+?pBXmBzqB,v115@5gD8GeC8FeD8EeE8BeA8BeE8JeO/IvhF8fBqgBthB/?qBZmBTpB,v115@5gD8GeC8FeD8EeE8BeA8BeE8Jem7IvhFthBZkBflB0?gB6pBzqB,v115@5gD8GeC8FeD8EeE8BeA8BeE8Jez6IvhFtgB0cB6pB/?qBOrBZkB,v115@5gD8GeC8FeD8EeE8BeA8BeE8JeZ/IvhFqfBmbBthB0?gB3pBzqB,v115@5gD8GeC8FeD8EeE8BeA8BeE8Jem7IvhFthBZkBzfBf?mB6pB0qB,v115@5gD8GeC8FeD8EeE8BeA8BeE8JeZ/IvhFthBzfBarB8?lB3pBGqB,v115@5gD8GeC8FeD8EeE8BeA8BeE8JeO/IvhFXbBZhBthBS?lBTpB0qB,v115@5gD8GeC8FeD8EeE8BeA8BeE8JeX7IvhF0cB2kBNmBx?pBqqBTpB,v115@5gD8GeC8FeD8EeE8BeA8BeE8Je6/IvhFTbBZkB3hB8?pBtqBOrB,v115@5gD8GeC8FeD8EeE8BeA8BeE8Je06IvhFthB2kB3lBZ?mBTpB6qB,v115@5gD8GeC8FeD8EeE8BeA8BeE8JeZ/IvhFzaBthB3gBa?mB+pB0qB,v115@5gD8GeC8FeD8EeE8BeA8BeE8Jei6IvhF+gBZhBthB3?fBTpB0qB,v115@5gD8GeC8FeD8EeE8BeA8BeE8Jex6IvhFehBthB0fBK?pBXlBzqB,v115@5gD8GeC8FeD8EeE8BeA8BeE8JecAJvhFthBTfBuqBZ?mBikB3pB,v115@5gD8GeC8FeD8EeE8BeA8BeE8JeT7IvhFZhBthBOkB0?fBqqB3pB,v115@5gD8GeC8FeD8EeE8BeA8BeE8JeK/IvhFRbBthBUgBe?rB3lBTpB,v115@5gD8GeC8FeD8EeE8BeA8BeE8JeZ/IvhFufBthBTgB8?qB3pBarB,v115@5gD8GeC8FeD8EeE8BeA8BeE8Je//IvhFcgBthBKpBu?qBZmBzpB,v115@5gD8GeC8FeD8EeE8BeA8BeE8JeK/IvhFRbBthB3gBe?rBUlBTpB,v115@5gD8GeC8FeD8EeE8BeA8BeE8JeK/IvhFfgBRhBcmB9?qBTpBmqB,v115@5gD8GeC8FeD8EeE8BeA8BeE8JeX7IvhFthB2kBarBx?pB8qBTpB,v115@5gD8GeC8FeD8EeE8BeA8BeE8JeO/IvhFthBflB0gBZ?mB6qBTpB,v115@5gD8GeC8FeD8EeE8BeA8BeE8JeT6IvhFegBtgB0cBK?pBRqBXrB,v115@5gD8GeC8FeD8EeE8BeA8BeE8Je//IvhF0cBKpBxlB9?lBerBzpB,v115@5gD8GeC8FeD8EeE8BeA8BeE8Jei6IvhF0cB3fBxlBT?pBmqBtqB,v115@5gD8GeC8FeD8EeE8BeA8BeE8Jez7IvhFthBUgBerBx?pB/pBipB,v115@5gD8GeC8FeD8EeE8BeA8BeE8JeK/IvhFzbBthBUgBe?rBxpB3pB,v115@5gD8GeC8FeD8EeE8BeA8BeE8Jem6IvhFtgB0cBikBR?qBXrBTpB,v115@5gD8GeC8FeD8EeE8BeA8BeE8JeK/IvhFRgB3hBUgB9?qBOrBTpB
SOZLITJ,X,O,O,X,O,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O
SOZLIJT,X,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O
SOZLJTI,X,O,X,X,O,X,X,O,X,X,X,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
SOZLJIT,X,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
SOZJTIL,O,O,O,X,O,X,X,O,X,X,O,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
SOZJTLI,O,O,O,X,O,X,X,O,X,X,O,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
SOZJITL,O,O,O,X,X,X,X,X,X,X,O,X,O,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X
SOZJILT,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
SOZJLTI,X,O,X,X,O,X,X,O,X,X,O,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
SOZJLIT,O,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
ZTILJSO,X,X,X,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZTILJOS,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZTILSJO,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
ZTILSOJ,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ZTILOJS,X,X,X,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZTILOSJ,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZTIJLSO,O,X,X,X,X,X,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZTIJLOS,O,X,X,X,X,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZTIJSLO,O,X,X,X,X,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZTIJSOL,X,X,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZTIJOLS,O,X,X,X,X,X,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZTIJOSL,X,X,X,X,X,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZTISLJO,X,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZTISLOJ,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZTISJLO,X,X,O,X,X,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZTISJOL,X,X,O,X,X,O,X,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZTISOLJ,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZTISOJL,X,X,O,X,X,O,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZTIOLJS,X,X,X,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZTIOLSJ,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZTIOJLS,X,X,X,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZTIOJSL,X,X,X,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZTIOSLJ,X,X,O,X,X,O,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZTIOSJL,X,X,O,X,X,O,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZTLIJSO,X,X,X,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZTLIJOS,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZTLISJO,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X
ZTLISOJ,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ZTLIOJS,X,X,X,X,X,X,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZTLIOSJ,X,X,X,X,X,O,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZTLJISO,O,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZTLJIOS,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZTLJSIO,O,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZTLJSOI,X,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZTLJOIS,O,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZTLJOSI,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZTLSIJO,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ZTLSIOJ,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZTLSJIO,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZTLSJOI,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZTLSOIJ,X,X,X,X,X,O,O,O,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZTLSOJI,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZTLOIJS,X,X,X,X,X,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZTLOISJ,X,X,X,X,X,O,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZTLOJIS,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZTLOJSI,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZTLOSIJ,X,X,X,X,X,O,X,O,X,O,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZTLOSJI,X,X,X,X,X,O,X,O,X,X,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZTJILSO,O,X,X,X,X,X,X,O,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZTJILOS,O,X,X,X,X,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZTJISLO,O,X,X,X,X,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ZTJISOL,O,X,X,X,X,O,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ZTJIOLS,O,X,X,X,X,X,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZTJIOSL,X,X,X,X,X,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZTJLISO,O,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZTJLIOS,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZTJLSIO,O,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZTJLSOI,X,X,X,O,X,X,X,O,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZTJLOIS,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZTJLOSI,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZTJSILO,O,X,X,O,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZTJSIOL,O,X,X,X,X,O,X,X,X,O,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZTJSLIO,O,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZTJSLOI,O,X,X,O,X,O,X,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZTJSOIL,O,X,X,X,X,O,X,X,X,O,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZTJSOLI,O,X,X,O,X,O,X,X,X,X,X,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZTJOILS,O,X,X,X,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZTJOISL,X,X,X,X,X,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZTJOLIS,O,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZTJOLSI,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
ZTJOSIL,X,X,X,X,X,O,X,O,X,O,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZTJOSLI,X,X,X,X,X,O,X,O,X,X,X,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZTSILJO,X,O,O,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZTSILOJ,X,X,X,X,O,O,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZTSIJLO,O,O,O,X,X,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ZTSIJOL,O,X,O,X,X,O,X,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
ZTSIOLJ,X,X,O,X,O,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZTSIOJL,X,X,O,X,X,O,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZTSLIJO,X,O,O,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZTSLIOJ,X,X,X,X,O,O,O,O,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZTSLJIO,O,O,O,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ZTSLJOI,O,O,X,X,O,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZTSLOIJ,X,O,X,X,O,O,O,O,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZTSLOJI,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZTSJILO,O,O,O,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ZTSJIOL,O,X,O,X,X,O,X,X,X,O,X,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
ZTSJLIO,O,O,O,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ZTSJLOI,O,O,X,X,X,O,X,X,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZTSJOIL,O,X,O,X,X,O,X,X,X,O,X,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
ZTSJOLI,O,O,X,X,X,O,X,X,X,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZTSOILJ,X,O,O,X,O,O,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZTSOIJL,X,O,O,X,O,O,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZTSOLIJ,X,O,O,X,O,O,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZTSOLJI,X,O,O,X,O,O,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZTSOJIL,O,O,O,X,O,O,X,O,X,O,O,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
ZTSOJLI,O,O,O,X,O,O,X,O,X,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZTOILJS,X,X,X,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZTOILSJ,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZTOIJLS,X,X,X,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZTOIJSL,X,O,O,X,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZTOISLJ,X,O,O,X,O,O,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZTOISJL,X,O,O,X,O,O,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZTOLIJS,X,X,X,X,X,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZTOLISJ,X,X,X,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZTOLJIS,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZTOLJSI,X,O,O,X,O,X,X,O,X,X,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZTOLSIJ,X,O,O,X,O,O,X,O,X,O,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
ZTOLSJI,X,O,O,X,O,O,X,O,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZTOJILS,O,X,X,X,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZTOJISL,X,O,O,X,O,O,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZTOJLIS,O,X,X,X,X,X,X,O,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZTOJLSI,X,O,O,X,O,X,X,O,X,X,O,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZTOJSIL,X,O,O,X,O,O,X,O,X,O,O,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
ZTOJSLI,X,O,O,X,O,O,X,O,X,X,O,O,O,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X
ZTOSILJ,X,O,O,X,O,O,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZTOSIJL,X,O,O,X,O,O,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
ZTOSLIJ,X,O,O,X,O,O,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZTOSLJI,X,O,O,X,O,O,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
ZTOSJIL,X,O,O,X,O,O,X,O,X,O,O,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
ZTOSJLI,X,O,O,X,O,O,X,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
ZITLJSO,X,X,X,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZITLJOS,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZITLSJO,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
ZITLSOJ,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ZITLOJS,X,X,X,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZITLOSJ,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZITJLSO,O,X,X,X,X,X,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZITJLOS,O,X,X,X,X,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZITJSLO,O,X,X,X,X,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZITJSOL,X,X,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZITJOLS,O,X,X,X,X,X,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZITJOSL,X,X,X,X,X,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZITSLJO,X,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZITSLOJ,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZITSJLO,X,X,O,X,X,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZITSJOL,X,X,O,X,X,O,X,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZITSOLJ,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZITSOJL,X,X,O,X,X,O,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZITOLJS,X,X,X,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZITOLSJ,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZITOJLS,X,X,X,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZITOJSL,X,X,X,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZITOSLJ,X,X,O,X,X,O,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZITOSJL,X,X,O,X,X,O,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZILTJSO,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
ZILTJOS,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
ZILTSJO,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X
ZILTSOJ,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
ZILTOJS,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZILTOSJ,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZILJTSO,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
ZILJTOS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
ZILJSTO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X
ZILJSOT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ZILJOTS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ZILJOST,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZILSTJO,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X
ZILSTOJ,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
ZILSJTO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X
ZILSJOT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ZILSOTJ,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
ZILSOJT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ZILOTJS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZILOTSJ,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZILOJTS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ZILOJST,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZILOSTJ,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
ZILOSJT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ZIJTLSO,O,X,X,X,X,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZIJTLOS,O,X,X,X,X,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
