sequence,v115@7gB8GeC8FeD8CeA8AeE8CeG8JeT6IvhFxbBXdBigB0?kBFmB2uB,v115@7gB8GeC8FeD8CeA8AeE8CeG8Je2/IvhFzbBFdBcmBx?kB3kByuB,v115@7gB8GeC8FeD8CeA8AeE8CeG8JeT6IvhFxbBXdBOpB8?pBFmBiqB,v115@7gB8GeC8FeD8CeA8AeE8CeG8JeT6IvhFygBFdBcmBx?kBXlB2uB,v115@7gB8GeC8FeD8CeA8AeE8CeG8Jei6IvhFzbBFdBcmBx?kBmpB3pB,v115@7gB8GeC8FeD8CeA8AeE8CeG8Jex7IvhFXdBckBigBF?mBzpBOpB,v115@7gB8GeC8FeD8CeA8AeE8CeG8Jei6IvhFFdBRgBcmB3?gBOpBzpB,v115@7gB8GeC8FeD8CeA8AeE8CeG8Jex7IvhFXdBTfBigBF?mB0kB2uB,v115@7gB8GeC8FeD8CeA8AeE8CeG8JeX9IvhFZkBUgBamBl?fBGhBzpB,v115@7gB8GeC8FeD8CeA8AeE8CeG8Jez6IvhFXdBamBFlB0?pBZkBGrB,v115@7gB8GeC8FeD8CeA8AeE8CeG8Je+/IvhFKgBXdBUhBZ?kBFmBzpB,v115@7gB8GeC8FeD8CeA8AeE8CeG8Je2AJvhFXdBTfBxlBF?mBipB0pB,v115@7gB8GeC8FeD8CeA8AeE8CeG8Je2/IvhFXdBUhBxkBa?qBFmBTpB,v115@7gB8GeC8FeD8CeA8AeE8CeG8JeX9IvhFTfBxlBclBO?mBikB1uB,v115@7gB8GeC8FeD8CeA8AeE8CeG8JeO/IvhFXdBRgBlgBc?mBaqBTpB,v115@7gB8GeC8FeD8CeA8AeE8CeG8JeX9IvhFTfBxlBOmBi?pBcqBlpB,v115@7gB8GeC8FeD8CeA8AeE8CeG8JeO/IvhFXdBRgBcmBF?lBTpBiqB
TJSILZO,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TJSILOZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TJSIZLO,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TJSIZOL,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TJSIOLZ,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
TJSIOZL,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TJSLIZO,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TJSLIOZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TJSLZIO,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TJSLZOI,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TJSLOIZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TJSLOZI,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TJSZILO,O,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X
TJSZIOL,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TJSZLIO,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
TJSZLOI,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TJSZOIL,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TJSZOLI,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TJSOILZ,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
TJSOIZL,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TJSOLIZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TJSOLZI,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TJSOZIL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSOZLI,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TJZILSO,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TJZILOS,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TJZISLO,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TJZISOL,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TJZIOLS,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TJZIOSL,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TJZLISO,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X
TJZLIOS,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X
TJZLSIO,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
TJZLSOI,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TJZLOIS,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X
TJZLOSI,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TJZSILO,O,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X
TJZSIOL,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TJZSLIO,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
TJZSLOI,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TJZSOIL,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TJZSOLI,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TJZOILS,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TJZOISL,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TJZOLIS,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X
TJZOLSI,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TJZOSIL,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TJZOSLI,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TJOILSZ,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
TJOILZS,X,X,X,O,O,X,O,O,X,X,X,X,X,O,X,X,X
TJOISLZ,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
TJOISZL,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TJOIZLS,X,X,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X
TJOIZSL,X,X,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X
TJOLISZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TJOLIZS,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
TJOLSIZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TJOLSZI,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
TJOLZIS,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
TJOLZSI,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
TJOSILZ,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
TJOSIZL,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TJOSLIZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TJOSLZI,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
TJOSZIL,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TJOSZLI,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
TJOZILS,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TJOZISL,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TJOZLIS,O,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X
TJOZLSI,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
TJOZSIL,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TJOZSLI,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
TSILJZO,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TSILJOZ,O,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TSILZJO,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TSILZOJ,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TSILOJZ,O,X,X,X,X,O,X,O,X,X,X,O,X,O,X,O,X
TSILOZJ,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X
TSIJLZO,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TSIJLOZ,O,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TSIJZLO,O,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X
TSIJZOL,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TSIJOLZ,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
TSIJOZL,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TSIZLJO,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TSIZLOJ,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TSIZJLO,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TSIZJOL,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TSIZOLJ,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TSIZOJL,X,X,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X
TSIOLJZ,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
TSIOLZJ,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X
TSIOJLZ,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
TSIOJZL,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TSIOZLJ,X,X,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X
TSIOZJL,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TSLIJZO,O,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X
TSLIJOZ,O,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TSLIZJO,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TSLIZOJ,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TSLIOJZ,O,X,X,X,X,O,X,O,X,X,X,O,X,O,X,O,X
TSLIOZJ,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X
TSLJIZO,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TSLJIOZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TSLJZIO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TSLJZOI,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TSLJOIZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TSLJOZI,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TSLZIJO,O,O,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TSLZIOJ,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X
TSLZJIO,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TSLZJOI,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TSLZOIJ,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TSLZOJI,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
TSLOIJZ,O,X,X,X,X,O,X,O,X,X,X,O,X,O,X,O,X
TSLOIZJ,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X
TSLOJIZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TSLOJZI,O,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
TSLOZIJ,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TSLOZJI,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TSJILZO,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TSJILOZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TSJIZLO,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TSJIZOL,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TSJIOLZ,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
TSJIOZL,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TSJLIZO,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TSJLIOZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TSJLZIO,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TSJLZOI,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TSJLOIZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TSJLOZI,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TSJZILO,O,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X
TSJZIOL,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TSJZLIO,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
TSJZLOI,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TSJZOIL,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TSJZOLI,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TSJOILZ,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
TSJOIZL,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TSJOLIZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TSJOLZI,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TSJOZIL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TSJOZLI,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TSZILJO,O,O,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X
TSZILOJ,X,O,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X
TSZIJLO,O,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X
TSZIJOL,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TSZIOLJ,X,O,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X
TSZIOJL,X,X,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X
TSZLIJO,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X
TSZLIOJ,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X
TSZLJIO,O,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X
TSZLJOI,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TSZLOIJ,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TSZLOJI,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
TSZJILO,O,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X
TSZJIOL,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TSZJLIO,O,X,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X
TSZJLOI,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TSZJOIL,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TSZJOLI,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TSZOILJ,X,O,X,X,X,O,O,X,X,O,X,X,X,O,X,X,X
TSZOIJL,X,X,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X
TSZOLIJ,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TSZOLJI,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
TSZOJIL,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TSZOJLI,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X
TSOILJZ,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,O
TSOILZJ,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X
TSOIJLZ,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,O
TSOIJZL,O,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O
TSOIZLJ,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X
TSOIZJL,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O
TSOLIJZ,O,X,X,X,X,O,X,O,X,X,X,X,X,O,O,X,O
TSOLIZJ,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X
TSOLJIZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,O
TSOLJZI,O,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
TSOLZIJ,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TSOLZJI,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TSOJILZ,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,O
TSOJIZL,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O
TSOJLIZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,O
TSOJLZI,O,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X
TSOJZIL,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
TSOJZLI,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
TSOZILJ,X,X,X,X,X,O,O,X,O,X,X,X,X,O,X,X,X
TSOZIJL,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O
TSOZLIJ,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TSOZLJI,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TSOZJIL,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O
TSOZJLI,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TZILJSO,X,O,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X
TZILJOS,X,O,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X
TZILSJO,X,O,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X
TZILSOJ,X,O,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X
TZILOJS,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TZILOSJ,X,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X
TZIJLSO,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TZIJLOS,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TZIJSLO,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TZIJSOL,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TZIJOLS,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TZIJOSL,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TZISLJO,X,O,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X
TZISLOJ,X,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
TZISJLO,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TZISJOL,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TZISOLJ,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
TZISOJL,X,X,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X
TZIOLJS,X,O,X,O,O,X,O,X,X,O,X,X,X,O,X,X,X
TZIOLSJ,X,O,X,O,X,X,O,X,X,O,X,X,X,O,X,X,X
TZIOJLS,X,O,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X
TZIOJSL,X,X,X,O,O,X,O,X,X,X,X,X,O,O,X,X,X
TZIOSLJ,X,O,X,O,X,X,O,X,X,O,X,X,X,O,X,X,X
TZIOSJL,X,X,X,O,O,X,X,X,X,X,X,X,O,O,X,X,X
TZLIJSO,O,O,X,O,O,X,O,O,X,O,X,X,X,X,X,X,X
TZLIJOS,O,O,X,O,O,X,O,O,X,O,X,X,X,X,X,X,X
TZLISJO,O,O,X,O,X,X,O,O,O,O,X,X,X,X,X,X,X
TZLISOJ,X,O,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X
TZLIOJS,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X
TZLIOSJ,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X
TZLJISO,O,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X
TZLJIOS,O,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X
TZLJSIO,O,X,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X
TZLJSOI,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TZLJOIS,O,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X
TZLJOSI,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TZLSIJO,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X
TZLSIOJ,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X
TZLSJIO,O,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X
TZLSJOI,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TZLSOIJ,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TZLSOJI,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
TZLOIJS,X,O,X,O,O,O,O,X,X,O,X,X,X,X,X,X,X
TZLOISJ,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X
TZLOJIS,X,O,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X
TZLOJSI,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X
TZLOSIJ,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TZLOSJI,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
TZJILSO,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TZJILOS,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TZJISLO,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TZJISOL,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TZJIOLS,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TZJIOSL,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TZJLISO,O,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X
TZJLIOS,O,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X
TZJLSIO,O,X,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X
TZJLSOI,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TZJLOIS,O,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X
TZJLOSI,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TZJSILO,O,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X
TZJSIOL,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TZJSLIO,O,X,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X
TZJSLOI,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TZJSOIL,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TZJSOLI,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TZJOILS,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TZJOISL,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TZJOLIS,O,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X
TZJOLSI,O,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X
TZJOSIL,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TZJOSLI,O,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X
TZSILJO,O,O,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X
TZSILOJ,X,O,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X
TZSIJLO,O,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X
TZSIJOL,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TZSIOLJ,X,O,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X
TZSIOJL,X,X,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X
TZSLIJO,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X
TZSLIOJ,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X
TZSLJIO,O,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X
TZSLJOI,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TZSLOIJ,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TZSLOJI,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
TZSJILO,O,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X
TZSJIOL,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TZSJLIO,O,X,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X
TZSJLOI,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TZSJOIL,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TZSJOLI,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TZSOILJ,X,O,X,X,X,O,O,X,X,O,X,X,X,O,X,X,X
TZSOIJL,X,X,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X
TZSOLIJ,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TZSOLJI,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
TZSOJIL,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TZSOJLI,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X
TZOILJS,X,O,X,O,O,O,O,X,X,O,X,X,X,O,X,X,X
TZOILSJ,X,O,X,X,X,O,O,X,X,O,X,X,X,O,X,X,X
TZOIJLS,X,O,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X
TZOIJSL,X,X,X,O,O,X,O,X,X,X,X,X,O,O,X,X,X
TZOISLJ,X,O,X,X,X,O,O,X,X,O,X,X,X,O,X,X,X
TZOISJL,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X
TZOLIJS,X,O,X,O,O,O,O,X,X,O,X,X,X,X,X,X,X
TZOLISJ,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X
TZOLJIS,X,O,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X
TZOLJSI,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X
TZOLSIJ,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TZOLSJI,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
TZOJILS,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TZOJISL,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TZOJLIS,X,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X
TZOJLSI,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X
TZOJSIL,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TZOJSLI,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X
TZOSILJ,X,O,X,X,X,O,O,X,X,O,X,X,X,O,X,X,X
TZOSIJL,X,X,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X
TZOSLIJ,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TZOSLJI,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
