sequence,v115@9gD8FeD8FeC8EeH8AeC8Jex6IvhFTcB0dB6jB2nBXm?BFsB,v115@9gD8FeD8FeC8EeH8AeC8Jex6IvhFicBzdB+jBUiBXm?BFsB,v115@9gD8FeD8FeC8EeH8AeC8Jex6IvhF0cB6jBemBziBXi?BFsB,v115@9gD8FeD8FeC8EeH8AeC8Jex6IvhF2hBCeBTjBUiBXm?BFsB,v115@9gD8FeD8FeC8EeH8AeC8Jex6IvhFCeBmhBTjBXmBcs?BlrB,v115@9gD8FeD8FeC8EeH8AeC8Jex6IvhFTcB6jBmiBXiBVr?BcsB,v115@9gD8FeD8FeC8EeH8AeC8Jex6IvhF/hBGeBUjBVrBTn?BasB
TZILSJO,X,X,X,X,X,X,X
TZILSOJ,X,X,X,X,X,X,X
TZILOJS,X,X,X,X,X,O,X
TZILOSJ,X,X,X,X,X,X,X
TZIJLSO,X,X,X,X,X,X,X
TZIJLOS,X,O,X,X,X,O,X
TZIJSLO,X,X,X,X,X,X,X
TZIJSOL,X,X,X,X,X,X,X
TZIJOLS,X,O,X,X,X,O,X
TZIJOSL,X,X,X,X,X,X,X
TZISLJO,X,X,X,X,X,X,X
TZISLOJ,X,X,X,X,X,X,X
TZISJLO,X,X,X,X,X,X,X
TZISJOL,X,X,X,X,X,X,X
TZISOLJ,X,X,X,X,X,X,X
TZISOJL,X,X,X,X,X,X,X
TZIOLJS,X,X,X,X,X,O,X
TZIOLSJ,X,X,X,X,X,X,X
TZIOJLS,X,X,X,X,X,O,X
TZIOJSL,X,X,X,X,X,X,X
TZIOSLJ,X,X,X,X,X,X,X
TZIOSJL,X,X,X,X,X,X,X
TZLIJSO,X,X,X,X,X,X,X
TZLIJOS,X,O,X,X,X,O,X
TZLISJO,X,X,X,X,X,X,X
TZLISOJ,X,X,X,X,X,X,X
TZLIOJS,X,X,X,X,X,O,X
TZLIOSJ,X,X,X,X,X,X,X
TZLJISO,X,X,X,X,X,X,X
TZLJIOS,X,O,X,X,X,O,X
TZLJSIO,X,X,X,X,X,X,X
TZLJSOI,X,X,X,X,X,X,X
TZLJOIS,X,O,X,X,X,O,X
TZLJOSI,X,X,X,X,X,O,X
TZLSIJO,X,X,X,X,X,X,X
TZLSIOJ,X,X,X,X,X,X,X
TZLSJIO,X,X,X,X,X,X,X
TZLSJOI,X,X,X,X,X,X,X
TZLSOIJ,X,X,X,X,X,X,X
TZLSOJI,X,X,X,X,X,X,X
TZLOIJS,X,X,X,X,X,O,X
TZLOISJ,X,X,X,X,X,X,X
TZLOJIS,X,X,X,X,X,O,X
TZLOJSI,X,X,X,X,X,O,X
TZLOSIJ,X,X,X,X,X,X,X
TZLOSJI,X,X,X,X,X,X,X
TZJILSO,X,X,X,X,X,X,X
TZJILOS,X,O,X,X,X,O,X
TZJISLO,X,X,X,X,X,X,X
TZJISOL,X,X,X,X,X,X,X
TZJIOLS,X,O,X,X,X,O,X
TZJIOSL,X,X,X,X,X,X,X
TZJLISO,X,X,X,X,X,X,X
TZJLIOS,X,O,X,X,X,O,X
TZJLSIO,X,X,X,X,X,X,X
