sequence,v115@7gB8GeE8FeE8DeF8AeA8BeC8JeT6IvhFxbBXdBigBu?qBFnB0rB,v115@7gB8GeE8FeE8DeF8AeA8BeC8JeT6IvhFxbBXdBmgB6?qBFnB0rB,v115@7gB8GeE8FeE8DeF8AeA8BeC8JeT6IvhFOgB0cB5lBK?mBFnBXsB,v115@7gB8GeE8FeE8DeF8AeA8BeC8JeT6IvhFOgBXdB5lBK?mBFnB0rB,v115@7gB8GeE8FeE8DeF8AeA8BeC8JeT6IvhFibBFdB3gB5?mB8qBOsB,v115@7gB8GeE8FeE8DeF8AeA8BeC8Je2/IvhFRbBCdB3gBV?nB8qBzrB,v115@7gB8GeE8FeE8DeF8AeA8BeC8Jex6IvhFXdBmfBzgBF?nBCrB0rB,v115@7gB8GeE8FeE8DeF8AeA8BeC8Jex6IvhF0cBmfBzgBF?nBCrBXsB,v115@7gB8GeE8FeE8DeF8AeA8BeC8Jei6IvhFTcBUgB/rBF?nB5lBOsB,v115@7gB8GeE8FeE8DeF8AeA8BeC8Jei6IvhFFdBRgBWnB3?gB8qBzrB,v115@7gB8GeE8FeE8DeF8AeA8BeC8JeT6IvhFZhB/lBWnB8?rB6qBFsB,v115@7gB8GeE8FeE8DeF8AeA8BeC8Jei6IvhFFdBUgBxmBX?mBzrBuqB
TLOZSJI,O,O,X,X,O,O,O,O,X,X,X,X
TJILSZO,O,X,O,O,X,O,X,X,X,O,X,X
TJILSOZ,O,X,O,O,X,X,O,X,X,X,X,X
TJILZSO,O,X,O,O,O,O,X,X,X,O,X,X
TJILZOS,O,X,O,O,O,O,X,X,X,O,X,X
TJILOSZ,O,X,O,O,X,X,O,O,X,X,X,X
TJILOZS,O,X,O,O,O,O,O,O,X,O,X,X
TJISLZO,O,X,X,X,X,O,X,X,X,O,X,X
TJISLOZ,O,X,X,X,X,X,O,X,X,X,X,X
TJISZLO,X,X,X,X,O,X,X,X,X,X,O,X
TJISZOL,O,X,X,X,O,X,X,X,X,X,O,X
TJISOLZ,O,X,X,X,X,X,X,X,X,X,X,X
TJISOZL,O,X,X,X,O,X,X,X,X,X,O,X
TJIZLSO,X,X,X,X,O,O,X,X,X,O,X,X
TJIZLOS,X,X,X,X,O,O,X,X,X,O,X,X
TJIZSLO,X,X,X,X,O,O,X,X,X,O,X,X
TJIZSOL,X,X,X,X,O,O,X,X,X,X,X,X
TJIZOLS,X,X,X,X,O,O,X,X,X,O,X,X
TJIZOSL,X,X,X,X,O,X,X,X,X,X,X,X
TJIOLSZ,O,X,O,O,X,O,X,X,X,X,X,X
TJIOLZS,O,X,O,O,O,O,X,X,X,O,X,X
TJIOSLZ,O,X,X,X,X,O,X,X,X,X,X,X
TJIOSZL,O,X,X,X,O,X,X,X,X,X,O,X
TJIOZLS,X,X,X,X,O,O,X,X,X,X,X,X
TJIOZSL,X,X,X,X,O,X,X,X,X,X,X,X
TJLISZO,O,O,O,O,X,O,X,X,X,O,X,X
TJLISOZ,O,O,O,O,X,X,O,X,X,X,X,X
TJLIZSO,O,O,O,O,O,O,X,X,X,O,X,X
TJLIZOS,O,O,O,O,O,O,X,X,X,O,X,X
TJLIOSZ,O,O,O,O,X,X,O,O,X,X,X,X
TJLIOZS,O,O,O,O,O,O,O,O,X,O,X,X
TJLSIZO,O,O,X,O,X,O,X,X,X,O,X,X
TJLSIOZ,O,O,X,O,X,X,O,X,X,X,X,X
TJLSZIO,O,O,X,X,X,O,X,X,X,O,X,X
TJLSZOI,O,O,X,X,X,O,O,X,X,X,X,X
TJLSOIZ,O,O,X,O,X,X,O,O,X,X,X,X
TJLSOZI,O,O,X,X,X,X,O,O,X,X,X,X
TJLZISO,O,O,O,X,O,O,X,X,X,O,X,X
TJLZIOS,O,O,O,X,O,O,X,X,X,O,X,X
TJLZSIO,O,O,X,X,O,O,X,X,X,O,X,X
TJLZSOI,O,O,X,X,O,O,O,X,X,X,X,X
TJLZOIS,O,O,O,X,O,O,O,O,X,O,X,X
TJLZOSI,O,O,X,X,O,O,O,O,X,X,X,X
TJLOISZ,O,O,O,O,X,X,O,O,X,O,X,X
TJLOIZS,O,O,O,O,O,O,O,O,X,O,X,O
TJLOSIZ,O,O,X,O,X,X,O,O,X,O,X,X
TJLOSZI,O,O,X,X,X,X,O,O,X,O,X,X
TJLOZIS,O,O,O,X,O,O,O,O,X,O,X,O
TJLOZSI,O,O,X,X,O,O,O,O,X,O,X,X
TJSILZO,O,X,X,X,X,O,X,X,X,O,X,X
TJSILOZ,O,X,X,X,X,X,O,X,X,X,X,X
TJSIZLO,X,X,X,X,O,X,X,X,X,X,O,X
TJSIZOL,O,X,X,X,O,X,X,X,X,X,O,X
TJSIOLZ,O,O,X,X,X,X,X,X,X,X,X,X
TJSIOZL,O,X,X,X,O,X,X,X,X,X,O,X
TJSLIZO,O,O,X,O,X,O,X,X,X,O,X,X
TJSLIOZ,O,O,X,O,X,X,O,X,X,X,X,X
TJSLZIO,O,O,X,X,X,O,X,X,X,O,X,X
TJSLZOI,O,O,X,X,X,O,O,X,X,X,X,X
TJSLOIZ,O,O,X,O,X,X,O,O,X,X,X,X
TJSLOZI,O,O,X,X,X,X,O,O,X,X,X,X
TJSZILO,X,X,X,X,O,O,X,X,X,O,X,X
TJSZIOL,O,X,X,X,O,O,X,X,X,X,X,X
TJSZLIO,O,X,X,X,O,O,X,X,X,O,X,X
TJSZLOI,O,X,X,X,O,O,O,X,X,X,X,X
TJSZOIL,O,X,X,X,O,O,X,X,X,X,X,X
TJSZOLI,O,X,X,X,O,O,X,X,X,X,X,X
TJSOILZ,O,O,X,X,X,X,X,X,X,X,X,X
TJSOIZL,O,X,X,X,O,X,X,X,X,X,O,X
TJSOLIZ,O,O,X,O,X,X,O,X,X,X,X,X
TJSOLZI,O,O,X,X,X,X,O,X,X,X,X,X
TJSOZIL,O,X,X,X,O,X,X,X,X,X,X,X
TJSOZLI,O,X,X,X,O,X,X,X,X,X,X,X
