sequence,v115@zgB8HeC8GeD8FeE8CeA8AeE8CeB8Je07IvhFlcBGeB?ymB5nB/oBzrB,v115@zgB8HeC8GeD8FeE8CeA8AeE8CeB8Jex7IvhFTeBUhB?FiBGoBXnBSxB,v115@zgB8HeC8GeD8FeE8CeA8AeE8CeB8Je07IvhFmcB5jB?1mBziBCsB3sB,v115@zgB8HeC8GeD8FeE8CeA8AeE8CeB8Jel7IvhFUdBajB?5jBThBGsBXsB,v115@zgB8HeC8GeD8FeE8CeA8AeE8CeB8Je07IvhFmdB5jB?lmB3nB6rBTsB,v115@zgB8HeC8GeD8FeE8CeA8AeE8CeB8Jex7IvhFUhBFiB?XjB6oBTnBWxB,v115@zgB8HeC8GeD8FeE8CeA8AeE8CeB8Je07IvhFzdB5jB?umBihBXsBlsB
LSTOJZI,O,X,O,X,X,X,X
LSTOZIJ,O,X,O,O,X,X,X
LSTOZJI,O,X,O,X,X,X,X
LSITJZO,O,X,O,O,O,X,X
LSITJOZ,O,X,O,O,O,X,X
LSITZJO,O,X,O,X,O,X,X
LSITZOJ,O,X,O,X,O,X,X
LSITOJZ,O,X,O,X,O,X,X
LSITOZJ,O,X,O,O,O,X,X
LSIJTZO,O,X,X,O,O,X,O
LSIJTOZ,O,X,X,O,O,X,O
LSIJZTO,O,O,X,O,X,O,O
LSIJZOT,O,O,X,O,X,X,X
LSIJOTZ,O,X,X,O,X,X,X
LSIJOZT,O,O,X,O,X,X,X
LSIZTJO,O,O,O,X,O,O,X
LSIZTOJ,O,X,O,X,O,O,X
LSIZJTO,O,O,O,X,X,O,O
LSIZJOT,O,O,X,X,X,X,X
LSIZOTJ,O,X,O,X,X,X,X
LSIZOJT,O,X,X,X,X,X,X
LSIOTJZ,O,X,O,X,X,X,X
LSIOTZJ,O,X,O,O,X,X,X
LSIOJTZ,O,X,X,X,X,X,X
LSIOJZT,O,X,X,X,X,X,X
LSIOZTJ,O,X,O,O,X,X,X
LSIOZJT,O,X,X,X,X,X,X
LSJTIZO,O,X,X,O,O,X,X
LSJTIOZ,O,X,X,O,O,X,X
LSJTZIO,O,O,X,X,O,O,X
LSJTZOI,O,O,X,X,X,O,X
LSJTOIZ,X,X,X,O,X,X,X
LSJTOZI,O,O,X,O,X,X,X
LSJITZO,O,X,X,O,O,X,O
LSJITOZ,O,X,X,O,O,X,O
LSJIZTO,O,O,X,O,X,O,O
LSJIZOT,O,O,X,O,X,X,X
LSJIOTZ,O,X,X,O,X,X,X
LSJIOZT,O,O,X,O,X,X,X
LSJZTIO,O,O,X,X,X,O,X
LSJZTOI,O,O,X,X,X,O,X
LSJZITO,O,O,X,X,X,O,O
LSJZIOT,O,O,X,X,X,X,X
LSJZOTI,O,O,X,X,X,X,X
LSJZOIT,O,O,X,X,X,X,X
LSJOTIZ,O,X,X,O,X,X,X
LSJOTZI,O,O,X,O,X,X,X
LSJOITZ,O,X,X,O,X,X,X
LSJOIZT,O,O,X,O,X,X,X
LSJOZTI,O,O,X,O,X,X,X
LSJOZIT,O,O,X,O,X,X,X
LSZTIJO,O,O,O,X,O,O,X
LSZTIOJ,O,X,O,X,O,O,X
LSZTJIO,O,O,O,X,O,O,X
LSZTJOI,O,O,O,X,X,O,X
LSZTOIJ,O,X,O,X,X,O,X
LSZTOJI,O,X,O,X,X,O,X
LSZITJO,O,O,O,X,O,O,X
LSZITOJ,O,X,O,X,O,O,X
LSZIJTO,O,O,O,X,X,O,O
LSZIJOT,O,O,X,X,X,X,X
LSZIOTJ,O,X,O,X,X,X,X
LSZIOJT,O,X,X,X,X,X,X
LSZJTIO,O,O,X,X,X,O,X
LSZJTOI,O,O,X,X,X,O,X
LSZJITO,O,O,O,X,X,O,O
LSZJIOT,O,O,X,X,X,X,X
LSZJOTI,O,O,X,X,X,X,X
LSZJOIT,O,O,X,X,X,X,X
LSZOTIJ,O,X,O,X,X,X,X
LSZOTJI,O,X,O,X,X,X,X
LSZOITJ,O,X,O,X,X,X,X
LSZOIJT,O,X,X,X,X,X,X
LSZOJTI,O,X,X,X,X,X,X
LSZOJIT,O,X,X,X,X,X,X
LSOTIJZ,O,X,O,X,X,X,X
LSOTIZJ,O,X,O,O,X,X,X
LSOTJIZ,O,X,O,X,X,X,X
LSOTJZI,O,X,O,X,X,X,X
LSOTZIJ,O,X,O,O,X,X,X
LSOTZJI,O,X,O,X,X,X,X
LSOITJZ,O,X,O,X,X,X,X
LSOITZJ,O,X,O,O,X,X,X
LSOIJTZ,O,X,X,X,X,X,X
LSOIJZT,O,X,X,X,X,X,X
LSOIZTJ,O,X,O,O,X,X,X
LSOIZJT,O,X,X,X,X,X,X
LSOJTIZ,O,X,X,X,X,X,X
LSOJTZI,O,X,X,X,X,X,X
LSOJITZ,O,X,X,X,X,X,X
LSOJIZT,O,X,X,X,X,X,X
LSOJZTI,O,X,X,X,X,X,X
LSOJZIT,O,X,X,X,X,X,X
LSOZTIJ,O,X,O,O,X,X,X
LSOZTJI,O,X,O,X,X,X,X
LSOZITJ,O,X,O,O,X,X,X
LSOZIJT,O,X,X,X,X,X,X
LSOZJTI,O,X,X,X,X,X,X
LSOZJIT,O,X,X,X,X,X,X
LZTIJSO,O,O,O,O,X,X,X
LZTIJOS,X,O,O,O,X,X,X
LZTISJO,O,O,O,X,O,O,X
LZTISOJ,O,X,O,X,O,O,X
LZTIOJS,X,O,O,O,X,X,X
LZTIOSJ,O,X,O,O,X,X,X
LZTJISO,O,O,O,O,X,X,X
LZTJIOS,X,O,O,O,X,X,X
LZTJSIO,O,O,O,X,X,X,X
LZTJSOI,O,O,O,X,X,X,X
LZTJOIS,X,O,O,O,X,X,X
LZTJOSI,X,O,O,O,X,X,X
LZTSIJO,O,O,O,X,O,O,X
LZTSIOJ,O,X,O,X,O,O,X
LZTSJIO,O,O,O,X,O,O,X
LZTSJOI,O,O,O,X,X,O,X
LZTSOIJ,O,X,O,X,X,O,X
LZTSOJI,O,X,O,X,X,O,X
LZTOIJS,O,O,O,O,X,X,X
LZTOISJ,O,X,O,O,X,X,X
LZTOJIS,O,O,O,O,X,X,X
LZTOJSI,O,O,O,X,X,X,X
LZTOSIJ,O,X,O,O,X,X,X
LZTOSJI,O,X,O,X,X,X,X
LZITJSO,O,O,O,O,X,X,X
LZITJOS,X,O,O,O,X,X,X
LZITSJO,O,O,O,X,O,O,X
LZITSOJ,O,X,O,X,O,O,X
LZITOJS,X,O,O,O,X,X,X
LZITOSJ,O,X,O,O,X,X,X
LZIJTSO,O,O,O,O,X,O,X
LZIJTOS,X,O,O,O,X,X,X
LZIJSTO,O,O,O,O,X,O,X
LZIJSOT,O,O,X,O,X,X,X
LZIJOTS,X,O,O,O,X,X,X
LZIJOST,X,O,X,O,X,X,X
LZISTJO,O,O,O,X,O,O,X
LZISTOJ,O,X,O,X,O,O,X
LZISJTO,O,O,O,X,X,O,O
LZISJOT,O,O,X,X,X,X,X
LZISOTJ,O,X,O,X,X,X,X
LZISOJT,O,X,X,X,X,X,X
LZIOTJS,O,O,O,O,X,X,X
LZIOTSJ,O,X,O,O,X,X,X
LZIOJTS,O,O,O,O,X,X,X
LZIOJST,O,O,X,X,X,X,X
LZIOSTJ,O,X,O,O,X,X,X
LZIOSJT,O,X,X,X,X,X,X
LZJTISO,O,O,O,O,X,O,X
LZJTIOS,X,O,O,O,X,X,X
LZJTSIO,O,O,O,X,X,O,X
LZJTSOI,O,O,O,X,X,O,X
LZJTOIS,X,O,O,O,X,X,X
LZJTOSI,X,O,O,O,X,X,X
LZJITSO,O,O,O,O,X,O,X
LZJITOS,X,O,O,O,X,X,X
LZJISTO,O,O,O,O,X,O,X
LZJISOT,O,O,X,O,X,X,X
LZJIOTS,X,O,O,O,X,X,X
LZJIOST,X,O,X,O,X,X,X
LZJSTIO,O,O,X,X,X,O,X
LZJSTOI,O,O,X,X,X,O,X
LZJSITO,O,O,O,X,X,O,X
LZJSIOT,O,O,X,X,X,X,X
LZJSOTI,O,O,X,X,X,X,X
LZJSOIT,X,O,X,X,X,X,X
LZJOTIS,X,O,O,O,X,X,X
LZJOTSI,X,O,O,O,X,X,X
LZJOITS,X,O,O,O,X,X,X
LZJOIST,X,O,X,O,X,X,X
LZJOSTI,X,O,X,O,X,X,X
LZJOSIT,X,O,X,O,X,X,X
LZSTIJO,O,O,O,X,O,O,X
LZSTIOJ,O,X,O,X,O,O,X
LZSTJIO,O,O,O,X,O,O,X
LZSTJOI,O,O,O,X,X,O,X
LZSTOIJ,O,X,O,X,X,O,X
LZSTOJI,O,X,O,X,X,O,X
LZSITJO,O,O,O,X,O,O,X
LZSITOJ,O,X,O,X,O,O,X
LZSIJTO,O,O,O,X,X,O,O
LZSIJOT,O,O,X,X,X,X,X
LZSIOTJ,O,X,O,X,X,X,X
LZSIOJT,O,X,X,X,X,X,X
LZSJTIO,O,O,X,X,X,O,X
LZSJTOI,O,O,X,X,X,O,X
LZSJITO,O,O,O,X,X,O,O
LZSJIOT,O,O,X,X,X,X,X
LZSJOTI,O,O,X,X,X,X,X
LZSJOIT,O,O,X,X,X,X,X
LZSOTIJ,O,X,O,X,X,X,X
LZSOTJI,O,X,O,X,X,X,X
LZSOITJ,O,X,O,X,X,X,X
LZSOIJT,O,X,X,X,X,X,X
LZSOJTI,O,X,X,X,X,X,X
LZSOJIT,O,X,X,X,X,X,X
LZOTIJS,O,O,O,O,X,X,X
LZOTISJ,O,X,O,O,X,X,X
LZOTJIS,O,O,O,O,X,X,X
LZOTJSI,O,O,O,X,X,X,X
LZOTSIJ,O,X,O,O,X,X,X
LZOTSJI,O,X,O,X,X,X,X
LZOITJS,O,O,O,O,X,X,X
LZOITSJ,O,X,O,O,X,X,X
LZOIJTS,O,O,O,O,X,X,X
LZOIJST,O,O,X,X,X,X,X
LZOISTJ,O,X,O,O,X,X,X
LZOISJT,O,X,X,X,X,X,X
LZOJTIS,O,O,O,O,X,X,X
LZOJTSI,O,O,O,X,X,X,X
LZOJITS,O,O,O,O,X,X,X
LZOJIST,O,O,X,X,X,X,X
LZOJSTI,O,O,X,X,X,X,X
LZOJSIT,O,O,X,X,X,X,X
LZOSTIJ,O,X,O,O,X,X,X
LZOSTJI,O,X,O,X,X,X,X
LZOSITJ,O,X,O,O,X,X,X
LZOSIJT,O,X,X,X,X,X,X
LZOSJTI,O,X,X,X,X,X,X
LZOSJIT,O,X,X,X,X,X,X
LOTIJSZ,O,X,O,O,X,X,X
LOTIJZS,O,X,O,O,X,X,X
LOTISJZ,O,X,O,X,X,X,X
LOTISZJ,O,X,O,O,X,X,X
LOTIZJS,O,X,O,O,X,X,X
LOTIZSJ,O,X,O,O,X,X,X
LOTJISZ,O,X,O,O,X,X,X
LOTJIZS,O,X,O,O,X,X,X
LOTJSIZ,O,X,O,O,X,X,X
LOTJSZI,O,X,O,O,X,X,X
LOTJZIS,O,X,O,O,X,X,X
LOTJZSI,O,X,O,O,X,X,X
LOTSIJZ,O,X,O,X,X,X,X
LOTSIZJ,O,X,O,O,X,X,X
LOTSJIZ,O,X,O,X,X,X,X
LOTSJZI,O,X,O,X,X,X,X
LOTSZIJ,O,X,O,O,X,X,X
LOTSZJI,O,X,O,X,X,X,X
LOTZIJS,O,X,O,O,X,X,X
LOTZISJ,O,X,O,O,X,X,X
LOTZJIS,O,X,O,O,X,X,X
LOTZJSI,O,X,O,X,X,X,X
LOTZSIJ,O,X,O,O,X,X,X
LOTZSJI,O,X,O,X,X,X,X
LOITJSZ,O,X,O,O,X,X,X
LOITJZS,O,X,O,O,X,X,X
LOITSJZ,O,X,O,X,X,X,X
LOITSZJ,O,X,O,O,X,X,X
LOITZJS,O,X,O,O,X,X,X
LOITZSJ,O,X,O,O,X,X,X
LOIJTSZ,O,X,O,O,X,X,X
LOIJTZS,O,O,O,O,X,X,X
LOIJSTZ,O,X,X,O,X,X,X
LOIJSZT,O,O,X,O,X,X,X
LOIJZTS,O,O,O,O,X,X,X
LOIJZST,O,O,X,O,X,X,X
LOISTJZ,O,X,O,X,X,X,X
LOISTZJ,O,X,O,O,X,X,X
LOISJTZ,O,X,X,X,X,X,X
LOISJZT,O,X,X,X,X,X,X
LOISZTJ,O,X,O,O,X,X,X
LOISZJT,O,X,X,X,X,X,X
LOIZTJS,O,O,O,O,X,X,X
LOIZTSJ,O,X,O,O,X,X,X
LOIZJTS,O,O,O,O,X,X,X
LOIZJST,O,O,X,X,X,X,X
LOIZSTJ,O,X,O,O,X,X,X
LOIZSJT,O,X,X,X,X,X,X
LOJTISZ,O,X,O,O,X,X,X
LOJTIZS,O,O,O,O,X,X,X
LOJTSIZ,O,X,O,O,X,X,X
LOJTSZI,O,O,O,O,X,X,X
LOJTZIS,O,O,O,O,X,X,X
LOJTZSI,O,O,O,O,X,X,X
LOJITSZ,O,X,O,O,X,X,X
LOJITZS,O,O,O,O,X,X,X
LOJISTZ,O,X,X,O,X,X,X
LOJISZT,O,O,X,O,X,X,X
LOJIZTS,O,O,O,O,X,X,X
LOJIZST,O,O,X,O,X,X,X
LOJSTIZ,O,X,X,O,X,X,X
LOJSTZI,O,O,X,O,X,X,X
LOJSITZ,O,X,X,O,X,X,X
LOJSIZT,O,O,X,O,X,X,X
LOJSZTI,O,O,X,O,X,X,X
LOJSZIT,O,O,X,O,X,X,X
LOJZTIS,O,O,O,O,X,X,X
LOJZTSI,O,O,O,O,X,X,X
LOJZITS,O,O,O,O,X,X,X
LOJZIST,O,O,X,O,X,X,X
LOJZSTI,O,O,X,O,X,X,X
LOJZSIT,O,O,X,O,X,X,X
LOSTIJZ,O,X,O,X,X,X,X
LOSTIZJ,O,X,O,O,X,X,X
LOSTJIZ,O,X,O,X,X,X,X
LOSTJZI,O,X,O,X,X,X,X
LOSTZIJ,O,X,O,O,X,X,X
LOSTZJI,O,X,O,X,X,X,X
LOSITJZ,O,X,O,X,X,X,X
LOSITZJ,O,X,O,O,X,X,X
LOSIJTZ,O,X,X,X,X,X,X
LOSIJZT,O,X,X,X,X,X,X
LOSIZTJ,O,X,O,O,X,X,X
LOSIZJT,O,X,X,X,X,X,X
LOSJTIZ,O,X,X,X,X,X,X
LOSJTZI,O,X,X,X,X,X,X
LOSJITZ,O,X,X,X,X,X,X
LOSJIZT,O,X,X,X,X,X,X
LOSJZTI,O,X,X,X,X,X,X
LOSJZIT,O,X,X,X,X,X,X
LOSZTIJ,O,X,O,O,X,X,X
LOSZTJI,O,X,O,X,X,X,X
LOSZITJ,O,X,O,O,X,X,X
LOSZIJT,O,X,X,X,X,X,X
LOSZJTI,O,X,X,X,X,X,X
LOSZJIT,O,X,X,X,X,X,X
LOZTIJS,O,O,O,O,X,X,X
LOZTISJ,O,X,O,O,X,X,X
LOZTJIS,O,O,O,O,X,X,X
LOZTJSI,O,O,O,X,X,X,X
LOZTSIJ,O,X,O,O,X,X,X
LOZTSJI,O,X,O,X,X,X,X
LOZITJS,O,O,O,O,X,X,X
LOZITSJ,O,X,O,O,X,X,X
LOZIJTS,O,O,O,O,X,X,X
LOZIJST,O,O,X,X,X,X,X
LOZISTJ,O,X,O,O,X,X,X
LOZISJT,O,X,X,X,X,X,X
LOZJTIS,O,O,O,O,X,X,X
LOZJTSI,O,O,O,X,X,X,X
LOZJITS,O,O,O,O,X,X,X
LOZJIST,O,O,X,X,X,X,X
LOZJSTI,O,O,X,X,X,X,X
LOZJSIT,O,O,X,X,X,X,X
LOZSTIJ,O,X,O,O,X,X,X
LOZSTJI,O,X,O,X,X,X,X
LOZSITJ,O,X,O,O,X,X,X
LOZSIJT,O,X,X,X,X,X,X
LOZSJTI,O,X,X,X,X,X,X
LOZSJIT,O,X,X,X,X,X,X
JTILSZO,X,X,O,O,X,X,X
JTILSOZ,X,X,O,O,X,X,X
JTILZSO,X,O,O,O,X,X,X
JTILZOS,X,O,O,O,X,X,X
JTILOSZ,X,X,O,O,X,X,X
JTILOZS,X,O,O,O,X,X,X
JTISLZO,X,X,X,O,O,X,X
JTISLOZ,X,X,X,O,O,X,X
JTISZLO,X,X,X,O,O,O,X
JTISZOL,X,X,O,O,O,O,X
JTISOLZ,X,X,X,O,O,X,X
JTISOZL,X,X,O,O,O,X,X
JTIZLSO,X,O,O,O,X,O,X
JTIZLOS,X,O,O,O,X,X,X
JTIZSLO,X,X,X,O,O,O,X
JTIZSOL,X,O,O,O,O,O,X
JTIZOLS,X,O,O,O,X,X,X
JTIZOSL,X,O,O,O,X,O,X
JTIOLSZ,X,X,O,O,X,X,X
JTIOLZS,X,O,O,O,X,X,X
JTIOSLZ,X,X,X,O,X,X,X
JTIOSZL,X,X,O,O,X,X,X
JTIOZLS,X,O,O,O,X,X,X
JTIOZSL,X,O,O,O,X,X,X
JTLISZO,X,X,O,O,X,X,X
JTLISOZ,X,X,O,O,X,X,X
JTLIZSO,X,O,O,O,X,X,X
JTLIZOS,X,O,O,O,X,X,X
JTLIOSZ,X,X,O,O,X,X,X
JTLIOZS,X,O,O,O,X,X,X
JTLSIZO,X,X,O,O,X,X,X
JTLSIOZ,X,X,O,O,X,X,X
JTLSZIO,X,O,O,X,X,X,X
JTLSZOI,X,O,O,X,X,X,X
JTLSOIZ,X,X,O,O,X,X,X
JTLSOZI,X,O,O,O,X,X,X
JTLZISO,X,O,O,O,X,X,X
JTLZIOS,X,O,O,O,X,X,X
JTLZSIO,X,O,O,X,X,X,X
JTLZSOI,X,O,O,X,X,X,X
JTLZOIS,X,O,O,O,X,X,X
JTLZOSI,X,O,O,O,X,X,X
JTLOISZ,X,X,O,O,X,X,X
JTLOIZS,X,O,O,O,X,X,X
JTLOSIZ,X,X,O,O,X,X,X
JTLOSZI,X,O,O,O,X,X,X
JTLOZIS,X,O,O,O,X,X,X
JTLOZSI,X,O,O,O,X,X,X
JTSILZO,X,X,X,O,O,X,X
JTSILOZ,X,X,X,O,O,X,X
JTSIZLO,X,X,X,O,O,O,X
JTSIZOL,X,X,O,O,O,O,X
JTSIOLZ,X,X,X,O,O,X,X
JTSIOZL,X,X,O,O,O,X,X
JTSLIZO,X,X,X,O,O,X,X
JTSLIOZ,X,X,X,O,O,X,X
JTSLZIO,X,X,X,X,O,O,X
JTSLZOI,X,X,X,X,X,O,X
JTSLOIZ,X,X,X,O,X,X,X
JTSLOZI,X,X,X,O,X,X,X
JTSZILO,X,X,X,X,O,O,X
JTSZIOL,X,O,O,X,O,O,X
JTSZLIO,X,X,X,X,O,O,X
JTSZLOI,X,X,X,X,X,O,X
JTSZOIL,X,O,O,X,O,O,X
JTSZOLI,X,O,X,X,X,O,X
JTSOILZ,X,X,X,O,O,X,X
JTSOIZL,X,X,O,O,O,X,X
JTSOLIZ,X,X,X,O,X,X,X
JTSOLZI,X,X,X,O,X,X,X
JTSOZIL,X,O,O,O,O,O,X
JTSOZLI,X,O,X,O,X,O,X
JTZILSO,X,O,O,O,X,O,X
JTZILOS,X,O,O,O,X,X,X
JTZISLO,X,X,X,O,O,O,X
JTZISOL,X,O,O,O,O,O,X
JTZIOLS,X,O,O,O,X,X,X
JTZIOSL,X,O,O,O,X,O,X
JTZLISO,X,O,O,O,X,O,X
JTZLIOS,X,O,O,O,X,X,X
JTZLSIO,X,O,O,X,X,O,X
JTZLSOI,X,O,O,X,X,O,X
JTZLOIS,X,O,O,O,X,X,X
JTZLOSI,X,O,O,O,X,X,X
JTZSILO,X,X,X,X,O,O,X
JTZSIOL,X,O,O,X,O,O,X
JTZSLIO,X,X,X,X,O,O,X
JTZSLOI,X,X,X,X,X,O,X
JTZSOIL,X,O,O,X,O,O,X
JTZSOLI,X,O,X,X,X,O,X
JTZOILS,X,O,O,O,X,X,X
JTZOISL,X,O,O,O,X,O,X
JTZOLIS,X,O,O,O,X,X,X
JTZOLSI,X,O,X,O,X,X,X
JTZOSIL,X,O,O,O,X,O,X
JTZOSLI,X,O,X,O,X,O,X
JTOILSZ,X,X,O,O,X,X,X
JTOILZS,X,O,O,O,X,X,X
JTOISLZ,X,X,X,O,X,X,X
JTOISZL,X,X,O,O,X,X,X
JTOIZLS,X,O,O,O,X,X,X
JTOIZSL,X,O,O,O,X,X,X
JTOLISZ,X,X,X,O,X,X,X
JTOLIZS,X,O,O,O,X,X,X
JTOLSIZ,X,X,X,O,X,X,X
JTOLSZI,X,O,X,O,X,X,X
JTOLZIS,X,O,O,O,X,X,X
JTOLZSI,X,O,X,O,X,X,X
JTOSILZ,X,X,X,O,X,X,X
JTOSIZL,X,X,O,O,X,X,X
JTOSLIZ,X,X,X,O,X,X,X
JTOSLZI,X,X,X,O,X,X,X
JTOSZIL,X,O,O,O,X,X,X
JTOSZLI,X,O,X,O,X,X,X
JTOZILS,X,O,O,O,X,X,X
JTOZISL,X,O,O,O,X,X,X
JTOZLIS,X,O,O,O,X,X,X
JTOZLSI,X,O,X,O,X,X,X
JTOZSIL,X,O,O,O,X,X,X
JTOZSLI,X,O,X,O,X,X,X
JITLSZO,X,X,O,O,X,X,X
JITLSOZ,X,X,O,O,X,X,X
JITLZSO,X,O,O,O,X,X,X
JITLZOS,X,O,O,O,X,X,X
JITLOSZ,X,X,O,O,X,X,X
JITLOZS,X,O,O,O,X,X,X
JITSLZO,X,X,X,O,O,X,X
JITSLOZ,X,X,X,O,O,X,X
JITSZLO,X,X,X,O,O,O,X
JITSZOL,X,X,O,O,O,O,X
JITSOLZ,X,X,X,O,O,X,X
JITSOZL,X,X,O,O,O,X,X
JITZLSO,X,O,O,O,X,O,X
JITZLOS,X,O,O,O,X,X,X
JITZSLO,X,X,X,O,O,O,X
JITZSOL,X,O,O,O,O,O,X
JITZOLS,X,O,O,O,X,X,X
JITZOSL,X,O,O,O,X,O,X
JITOLSZ,X,X,O,O,X,X,X
JITOLZS,X,O,O,O,X,X,X
JITOSLZ,X,X,X,O,X,X,X
JITOSZL,X,X,O,O,X,X,X
JITOZLS,X,O,O,O,X,X,X
JITOZSL,X,O,O,O,X,X,X
JILTSZO,O,X,O,O,X,X,X
JILTSOZ,O,X,O,O,X,X,X
JILTZSO,O,O,O,O,X,X,X
JILTZOS,X,O,O,O,X,X,X
JILTOSZ,X,X,O,O,X,X,X
JILTOZS,X,O,O,O,X,X,X
JILSTZO,O,X,X,O,X,X,X
JILSTOZ,O,X,X,O,X,X,X
JILSZTO,O,O,X,O,X,O,X
JILSZOT,O,O,X,O,X,X,X
JILSOTZ,O,X,X,O,X,X,X
JILSOZT,O,O,X,O,X,X,X
JILZTSO,O,O,O,O,X,O,X
JILZTOS,X,O,O,O,X,X,X
JILZSTO,O,O,O,O,X,O,X
JILZSOT,O,O,X,O,X,X,X
JILZOTS,X,O,O,O,X,X,X
JILZOST,X,O,X,O,X,X,X
JILOTSZ,X,X,O,O,X,X,X
JILOTZS,X,O,O,O,X,X,X
JILOSTZ,X,X,X,O,X,X,X
JILOSZT,X,O,X,O,X,X,X
JILOZTS,X,O,O,O,X,X,X
JILOZST,X,O,X,O,X,X,X
JISTLZO,O,X,X,O,O,X,O
JISTLOZ,O,X,X,O,O,X,O
JISTZLO,O,X,X,O,O,O,O
JISTZOL,O,X,X,O,O,O,O
JISTOLZ,O,X,X,O,O,X,O
JISTOZL,O,X,X,O,O,X,O
JISLTZO,O,X,X,O,O,X,O
JISLTOZ,O,X,X,O,O,X,O
JISLZTO,O,O,X,O,X,O,O
JISLZOT,O,O,X,O,X,X,X
JISLOTZ,O,X,X,O,X,X,X
JISLOZT,O,O,X,O,X,X,X
JISZTLO,O,X,X,O,O,O,O
JISZTOL,O,O,X,O,O,O,O
JISZLTO,O,O,X,O,X,O,O
JISZLOT,O,O,X,O,X,X,X
JISZOTL,O,O,X,O,X,O,O
JISZOLT,O,O,X,O,X,X,X
JISOTLZ,O,X,X,O,O,X,O
JISOTZL,O,X,X,O,O,X,O
JISOLTZ,O,X,X,O,X,X,X
JISOLZT,O,O,X,O,X,X,X
JISOZTL,O,O,X,O,X,O,O
JISOZLT,O,O,X,O,X,X,X
JIZTLSO,X,O,O,O,X,O,X
JIZTLOS,X,O,O,O,X,X,X
JIZTSLO,O,X,X,O,O,O,X
JIZTSOL,O,O,O,O,O,O,X
JIZTOLS,X,O,O,O,X,X,X
JIZTOSL,X,O,O,O,X,O,X
JIZLTSO,O,O,O,O,X,O,X
JIZLTOS,X,O,O,O,X,X,X
JIZLSTO,O,O,O,O,X,O,X
JIZLSOT,O,O,X,O,X,X,X
JIZLOTS,X,O,O,O,X,X,X
JIZLOST,X,O,X,O,X,X,X
JIZSTLO,O,X,X,O,O,O,O
JIZSTOL,O,O,O,O,O,O,O
JIZSLTO,O,O,O,O,X,O,O
JIZSLOT,O,O,X,O,X,X,X
JIZSOTL,O,O,X,O,X,O,O
JIZSOLT,O,O,X,O,X,X,X
JIZOTLS,X,O,O,O,X,X,X
JIZOTSL,O,O,O,O,X,O,X
JIZOLTS,O,O,O,O,X,X,X
JIZOLST,O,O,X,O,X,X,X
JIZOSTL,O,O,X,O,X,O,X
JIZOSLT,O,O,X,O,X,X,X
JIOTLSZ,X,X,O,O,X,X,X
JIOTLZS,X,O,O,O,X,X,X
JIOTSLZ,X,X,X,O,X,X,X
JIOTSZL,X,X,O,O,X,X,X
JIOTZLS,X,O,O,O,X,X,X
JIOTZSL,X,O,O,O,X,X,X
JIOLTSZ,O,X,O,O,X,X,X
JIOLTZS,O,O,O,O,X,X,X
JIOLSTZ,O,X,X,O,X,X,X
JIOLSZT,O,O,X,O,X,X,X
JIOLZTS,O,O,O,O,X,X,X
JIOLZST,O,O,X,O,X,X,X
JIOSTLZ,O,X,X,O,X,X,X
JIOSTZL,O,X,X,O,X,X,X
JIOSLTZ,O,X,X,O,X,X,X
JIOSLZT,O,O,X,O,X,X,X
JIOSZTL,O,O,X,O,X,O,X
JIOSZLT,O,O,X,O,X,X,X
JIOZTLS,X,O,O,O,X,X,X
JIOZTSL,O,O,O,O,X,O,X
JIOZLTS,O,O,O,O,X,X,X
JIOZLST,O,O,X,O,X,X,X
JIOZSTL,O,O,X,O,X,O,X
JIOZSLT,O,O,X,O,X,X,X
JLTISZO,O,X,O,O,X,X,X
JLTISOZ,O,X,O,O,X,X,X
JLTIZSO,O,O,O,O,X,X,X
JLTIZOS,X,O,O,O,X,X,X
JLTIOSZ,X,X,O,O,X,X,X
JLTIOZS,X,O,O,O,X,X,X
JLTSIZO,O,X,O,O,X,X,X
JLTSIOZ,O,X,O,O,X,X,X
JLTSZIO,O,O,O,X,X,X,X
JLTSZOI,O,O,O,X,X,X,X
JLTSOIZ,X,X,O,O,X,X,X
JLTSOZI,O,O,O,O,X,X,X
JLTZISO,O,O,O,O,X,X,X
JLTZIOS,X,O,O,O,X,X,X
JLTZSIO,O,O,O,X,X,X,X
JLTZSOI,O,O,O,X,X,X,X
JLTZOIS,X,O,O,O,X,X,X
JLTZOSI,X,O,O,O,X,X,X
JLTOISZ,X,X,O,O,X,X,X
JLTOIZS,X,O,O,O,X,X,X
JLTOSIZ,X,X,O,O,X,X,X
JLTOSZI,X,O,O,O,X,X,X
JLTOZIS,X,O,O,O,X,X,X
JLTOZSI,X,O,O,O,X,X,X
JLITSZO,O,X,O,O,X,X,X
JLITSOZ,O,X,O,O,X,X,X
JLITZSO,O,O,O,O,X,X,X
JLITZOS,X,O,O,O,X,X,X
JLITOSZ,X,X,O,O,X,X,X
JLITOZS,X,O,O,O,X,X,X
JLISTZO,O,X,X,O,X,X,X
JLISTOZ,O,X,X,O,X,X,X
JLISZTO,O,O,X,O,X,O,X
JLISZOT,O,O,X,O,X,X,X
JLISOTZ,O,X,X,O,X,X,X
JLISOZT,O,O,X,O,X,X,X
JLIZTSO,O,O,O,O,X,O,X
JLIZTOS,X,O,O,O,X,X,X
JLIZSTO,O,O,O,O,X,O,X
JLIZSOT,O,O,X,O,X,X,X
JLIZOTS,X,O,O,O,X,X,X
