sequence,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8Jem6Iv?hF/iBajB5jB0fBFqBzsB,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8Je//Iv?hFagBmdB5jB0iBFqBzsB,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8Jem6Iv?hFxdB0fB6nBTjBFqBXtB,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8Je2/Iv?hFxiBzfB0iBStBFqBXtB,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8JeT6Iv?hFegB/iB5jB8sBFqBatB,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8JeT6Iv?hFegBxdB0iBStBFqBXtB,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8JeT6Iv?hF/iB6oBWqB8sBZlBFtB,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8Je2/Iv?hFxiBzfBXjBStBFqB0sB,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8Jem6Iv?hF0fBxiB6nBTjBFqBXtB,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8JeT6Iv?hF/iBFeBWqBCtBZlBctB,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8Jem6Iv?hFxdB0fB6nBToBFqBXtB,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8Je2/Iv?hFxiBzfBXjBctB6sBFqB,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8JeT6Iv?hFegBxdBXjBStBFqB0sB,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8Je//Iv?hFagBxdBTjBWtBFqB0sB,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8Je//Iv?hFagBxiBTjBWtBFqB0sB,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8Jei6Iv?hFzfBxiBGoBXoBFqB0sB,v115@2gC8GeC8DeA8BeD8CeA8CeC8CeB8AeD8BeA8Jex9Iv?hF6nBUlBToBlkBXtBmpB
ZJTLSIO,X,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
ZJTLSOI,X,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
ZJTLOIS,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
ZJTLOSI,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
ZJTSILO,O,O,X,X,O,X,X,X,O,X,X,O,X,X,O,X,X
ZJTSIOL,X,O,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X
ZJTSLIO,O,O,O,X,O,O,O,X,X,X,X,X,X,X,O,X,X
ZJTSLOI,X,O,O,X,O,O,O,X,X,X,X,X,X,O,X,X,X
ZJTSOIL,X,O,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X
ZJTSOLI,X,O,O,X,O,O,O,X,X,X,X,X,X,O,X,X,X
ZJTOILS,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,O,X
ZJTOISL,O,O,X,X,O,O,X,X,X,X,X,O,X,O,X,X,X
ZJTOLIS,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X
ZJTOLSI,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
ZJTOSIL,O,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X
ZJTOSLI,O,O,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X
ZJITLSO,X,O,X,O,O,X,X,O,O,X,X,O,X,X,X,X,X
ZJITLOS,X,X,X,O,O,O,X,O,X,X,X,O,X,X,X,X,X
ZJITSLO,O,O,X,O,O,X,X,X,O,X,X,O,X,X,O,X,X
ZJITSOL,X,O,X,O,O,O,X,X,O,X,X,O,X,X,X,X,X
ZJITOLS,X,X,X,O,O,O,X,O,X,X,X,O,X,X,X,O,X
ZJITOSL,O,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X
ZJILTSO,X,O,O,O,X,X,O,O,O,X,X,O,X,X,X,X,X
ZJILTOS,X,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X
ZJILSTO,O,O,O,O,X,X,O,O,O,X,X,O,X,X,X,X,X
ZJILSOT,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
ZJILOTS,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZJILOST,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
ZJISTLO,O,O,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X
ZJISTOL,X,O,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X
ZJISLTO,O,O,O,O,X,X,O,X,O,X,X,O,X,X,X,X,X
ZJISLOT,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
ZJISOTL,O,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X
ZJISOLT,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
ZJIOTLS,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
ZJIOTSL,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
ZJIOLTS,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZJIOLST,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
ZJIOSTL,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
ZJIOSLT,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
ZJLTISO,X,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X
ZJLTIOS,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X
ZJLTSIO,X,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X
ZJLTSOI,X,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X
ZJLTOIS,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X
ZJLTOSI,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X
ZJLITSO,X,O,O,O,X,O,O,O,O,O,X,O,X,X,X,X,X
ZJLITOS,X,X,X,O,X,O,O,O,X,O,X,O,X,X,X,X,X
ZJLISTO,O,O,O,O,X,X,O,O,O,O,X,O,X,X,X,X,X
ZJLISOT,O,O,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X
ZJLIOTS,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X
ZJLIOST,O,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X
ZJLSTIO,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZJLSTOI,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZJLSITO,O,O,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X
ZJLSIOT,O,O,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X
ZJLSOTI,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZJLSOIT,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZJLOTIS,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZJLOTSI,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O
ZJLOITS,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZJLOIST,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZJLOSTI,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZJLOSIT,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZJSTILO,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZJSTIOL,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZJSTLIO,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZJSTLOI,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZJSTOIL,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJSTOLI,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZJSITLO,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X
ZJSITOL,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X
ZJSILTO,O,O,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X
ZJSILOT,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
ZJSIOTL,O,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X
ZJSIOLT,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
ZJSLTIO,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZJSLTOI,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZJSLITO,O,O,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X
ZJSLIOT,O,O,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X
ZJSLOTI,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZJSLOIT,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZJSOTIL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJSOTLI,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZJSOITL,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZJSOILT,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
ZJSOLTI,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZJSOLIT,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZJOTILS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJOTISL,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ZJOTLIS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZJOTLSI,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZJOTSIL,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ZJOTSLI,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
ZJOITLS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ZJOITSL,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
ZJOILTS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZJOILST,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
ZJOISTL,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
ZJOISLT,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
ZJOLTIS,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZJOLTSI,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O
ZJOLITS,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZJOLIST,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZJOLSTI,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZJOLSIT,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZJOSTIL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJOSTLI,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZJOSITL,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZJOSILT,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
ZJOSLTI,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZJOSLIT,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZSTILJO,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZSTILOJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSTIJLO,O,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X
ZSTIJOL,O,O,O,X,O,O,X,X,O,X,X,O,X,X,X,X,X
ZSTIOLJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSTIOJL,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZSTLIJO,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
ZSTLIOJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSTLJIO,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X
ZSTLJOI,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
ZSTLOIJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSTLOJI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSTJILO,O,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X
ZSTJIOL,O,O,O,X,O,O,X,X,O,X,X,O,X,X,X,X,X
ZSTJLIO,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X
ZSTJLOI,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
ZSTJOIL,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
ZSTJOLI,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
ZSTOILJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSTOIJL,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZSTOLIJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSTOLJI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSTOJIL,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZSTOJLI,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSITLJO,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZSITLOJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSITJLO,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X
ZSITJOL,O,O,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X
ZSITOLJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSITOJL,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZSILTJO,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSILTOJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSILJTO,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
ZSILJOT,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
ZSILOTJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSILOJT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSIJTLO,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X
ZSIJTOL,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X
ZSIJLTO,O,O,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X
ZSIJLOT,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
ZSIJOTL,O,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X
ZSIJOLT,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
ZSIOTLJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSIOTJL,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSIOLTJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSIOLJT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSIOJTL,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZSIOJLT,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZSLTIJO,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZSLTIOJ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSLTJIO,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
ZSLTJOI,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
ZSLTOIJ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSLTOJI,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSLITJO,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZSLITOJ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSLIJTO,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
ZSLIJOT,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
ZSLIOTJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSLIOJT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSLJTIO,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZSLJTOI,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZSLJITO,O,O,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X
ZSLJIOT,O,O,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X
ZSLJOTI,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZSLJOIT,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZSLOTIJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ZSLOTJI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ZSLOITJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSLOIJT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSLOJTI,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZSLOJIT,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZSJTILO,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZSJTIOL,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZSJTLIO,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZSJTLOI,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZSJTOIL,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSJTOLI,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZSJITLO,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X
ZSJITOL,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X
ZSJILTO,O,O,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X
ZSJILOT,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
ZSJIOTL,O,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X
ZSJIOLT,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
ZSJLTIO,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZSJLTOI,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZSJLITO,O,O,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X
ZSJLIOT,O,O,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X
ZSJLOTI,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZSJLOIT,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZSJOTIL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSJOTLI,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZSJOITL,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZSJOILT,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
ZSJOLTI,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZSJOLIT,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZSOTILJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSOTIJL,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSOTLIJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSOTLJI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSOTJIL,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSOTJLI,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSOITLJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSOITJL,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSOILTJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSOILJT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSOIJTL,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZSOIJLT,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZSOLTIJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ZSOLTJI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ZSOLITJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSOLIJT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSOLJTI,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZSOLJIT,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZSOJTIL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSOJTLI,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZSOJITL,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZSOJILT,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
ZSOJLTI,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZSOJLIT,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZOTILJS,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ZOTILSJ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ZOTIJLS,O,O,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X
ZOTIJSL,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X
ZOTISLJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZOTISJL,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZOTLIJS,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
ZOTLISJ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
ZOTLJIS,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
ZOTLJSI,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O
ZOTLSIJ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
ZOTLSJI,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
ZOTJILS,O,O,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X
ZOTJISL,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X
ZOTJLIS,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X
ZOTJLSI,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X
ZOTJSIL,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZOTJSLI,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X
ZOTSILJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZOTSIJL,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZOTSLIJ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ZOTSLJI,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ZOTSJIL,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZOTSJLI,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
ZOITLJS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZOITLSJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZOITJLS,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X
ZOITJSL,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X
ZOITSLJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZOITSJL,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZOILTJS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZOILTSJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ZOILJTS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZOILJST,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZOILSTJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZOILSJT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZOIJTLS,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ZOIJTSL,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ZOIJLTS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZOIJLST,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZOIJSTL,O,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
ZOIJSLT,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZOISTLJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZOISTJL,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZOISLTJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZOISLJT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZOISJTL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZOISJLT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZOLTIJS,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
ZOLTISJ,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
ZOLTJIS,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
ZOLTJSI,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O
ZOLTSIJ,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
ZOLTSJI,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
ZOLITJS,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
ZOLITSJ,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
ZOLIJTS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZOLIJST,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZOLISTJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZOLISJT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZOLJTIS,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZOLJTSI,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
ZOLJITS,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZOLJIST,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZOLJSTI,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZOLJSIT,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZOLSTIJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ZOLSTJI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ZOLSITJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
