sequence,v115@3gC8GeB8GeD8DeF8CeG8MeZ/IvhFufBcgB9iBTeBXo?BSyB,v115@3gC8GeB8GeD8DeF8CeG8MeZ/IvhFCbB9jBXgB0iBus?BTtB,v115@3gC8GeB8GeD8DeF8CeG8MeZ/IvhFCbB9iBTeBXgB8s?B+tB,v115@3gC8GeB8GeD8DeF8CeG8MeZ/IvhFufBcgB9iB/oBzs?B6tB,v115@3gC8GeB8GeD8DeF8CeG8MeZ/IvhFGbB3dBcjBzfBqs?B9tB,v115@3gC8GeB8GeD8DeF8CeG8MeZ/IvhFqfBTbB3dBcjBts?B+tB,v115@3gC8GeB8GeD8DeF8CeG8Mex6IvhF9iBOkBXgB6oB8s?BTtB,v115@3gC8GeB8GeD8DeF8CeG8MeZ/IvhFqfBTbB3dB9jBUo?BWyB,v115@3gC8GeB8GeD8DeF8CeG8MeZ/IvhFCbB9jBXgB0iBGt?BzsB,v115@3gC8GeB8GeD8DeF8CeG8MeZ/IvhFCbBTeBXgBGoBUt?B9sB,v115@3gC8GeB8GeD8DeF8CeG8MeZ/IvhFWgB9iB6oBXgB8s?BTtB
IZOSTJL,X,O,X,O,X,X,X,X,X,X,X
IZOSLTJ,X,O,X,X,X,X,X,X,O,X,X
IZOSLJT,X,O,X,X,X,X,X,X,X,O,X
IZOSJTL,X,O,X,O,X,X,X,X,X,O,X
IZOSJLT,X,O,X,X,X,X,X,X,X,O,X
IOTLJSZ,X,X,X,X,O,X,X,X,X,X,X
IOTLJZS,X,X,X,X,O,X,X,X,X,X,X
IOTLSJZ,O,O,X,X,O,X,X,X,X,X,X
IOTLSZJ,O,O,X,O,O,X,X,X,X,X,X
IOTLZJS,O,X,X,O,O,X,X,X,X,X,X
IOTLZSJ,O,O,X,O,O,X,X,X,X,X,X
IOTJLSZ,X,X,X,X,O,X,X,X,X,X,X
IOTJLZS,X,X,X,X,O,X,X,X,X,X,X
IOTJSLZ,X,O,X,X,X,X,X,X,X,X,X
IOTJSZL,X,O,X,O,X,X,X,X,X,X,X
IOTJZLS,X,X,X,O,X,X,X,X,X,X,O
IOTJZSL,X,O,X,O,X,X,X,X,X,X,X
IOTSLJZ,X,O,X,X,X,X,X,X,X,X,X
IOTSLZJ,X,O,X,O,X,X,X,X,X,X,X
IOTSJLZ,X,O,X,X,X,X,X,X,X,X,X
IOTSJZL,X,O,X,O,X,X,X,X,X,X,X
IOTSZLJ,X,O,X,O,X,X,X,X,X,X,X
IOTSZJL,X,O,X,O,X,X,X,X,X,X,X
IOTZLJS,O,X,X,O,X,X,X,X,X,X,O
IOTZLSJ,O,O,X,O,X,X,X,X,X,X,X
IOTZJLS,O,X,X,O,X,X,X,X,X,X,O
IOTZJSL,X,O,X,O,X,X,X,X,X,X,X
IOTZSLJ,X,O,X,O,X,X,X,X,X,X,X
IOTZSJL,X,O,X,O,X,X,X,X,X,X,X
IOLTJSZ,X,X,X,X,O,O,X,X,X,X,X
IOLTJZS,X,X,X,X,O,O,X,O,X,X,X
IOLTSJZ,O,O,X,X,O,X,X,X,X,X,X
IOLTSZJ,O,O,X,O,O,X,X,X,X,X,X
IOLTZJS,O,X,X,O,O,X,X,X,X,X,X
IOLTZSJ,O,O,X,O,O,X,X,X,X,X,X
IOLJTSZ,X,X,X,X,O,O,X,X,X,X,X
IOLJTZS,X,X,X,X,O,O,X,O,X,X,X
IOLJSTZ,X,X,X,X,O,O,X,X,X,X,X
IOLJSZT,X,X,X,X,X,X,X,O,X,X,X
IOLJZTS,X,X,X,X,O,O,X,O,X,X,X
IOLJZST,X,X,X,X,X,X,X,O,X,X,X
IOLSTJZ,O,O,X,X,O,X,X,X,X,X,X
IOLSTZJ,O,O,X,X,O,X,X,X,X,X,X
IOLSJTZ,X,O,X,X,O,O,X,X,X,X,X
IOLSJZT,X,O,X,X,X,X,X,O,X,X,X
IOLSZTJ,O,O,X,X,X,X,X,X,X,X,X
IOLSZJT,O,O,X,X,X,X,X,X,X,X,X
IOLZTJS,O,X,X,O,O,X,X,X,X,X,X
IOLZTSJ,O,O,X,O,O,X,X,X,X,X,X
IOLZJTS,O,X,X,O,O,O,X,O,X,X,X
IOLZJST,O,X,X,X,X,X,X,O,X,X,X
IOLZSTJ,O,O,X,X,X,X,X,X,X,X,X
IOLZSJT,O,O,X,X,X,X,X,X,X,X,X
IOJTLSZ,X,X,X,X,O,O,X,X,X,X,X
IOJTLZS,X,X,X,X,O,O,X,X,X,X,X
IOJTSLZ,X,O,X,X,X,X,X,X,O,X,X
IOJTSZL,X,O,X,O,X,X,X,X,O,X,X
IOJTZLS,X,X,X,O,X,O,X,X,X,X,O
IOJTZSL,X,O,X,O,X,O,X,X,O,X,X
IOJLTSZ,X,X,X,X,O,O,X,X,X,X,X
IOJLTZS,X,X,X,X,O,O,X,O,X,X,X
IOJLSTZ,X,X,X,X,O,O,X,X,X,X,X
IOJLSZT,X,X,X,X,X,X,X,O,X,X,X
IOJLZTS,X,X,X,X,O,O,X,O,X,X,X
IOJLZST,X,X,X,X,X,X,X,O,X,X,X
IOJSTLZ,X,O,X,X,X,X,X,X,O,X,X
IOJSTZL,X,O,X,X,X,X,X,X,O,X,X
IOJSLTZ,X,O,X,X,O,X,X,X,O,X,X
IOJSLZT,X,O,O,X,X,X,X,X,O,X,X
IOJSZTL,X,O,O,X,X,X,X,X,O,X,X
IOJSZLT,X,O,O,X,X,X,X,X,O,X,X
IOJZTLS,X,X,O,O,X,X,X,O,X,X,O
IOJZTSL,X,O,O,O,X,X,X,O,O,X,X
IOJZLTS,X,X,X,O,O,X,X,O,X,X,X
IOJZLST,X,X,X,X,X,X,X,O,X,X,X
IOJZSTL,X,O,O,O,X,X,X,X,O,X,X
IOJZSLT,X,O,O,X,X,X,X,X,O,X,X
IOSTLJZ,X,O,X,X,X,X,X,X,X,X,X
IOSTLZJ,X,O,X,O,X,X,X,X,X,X,X
IOSTJLZ,X,O,X,X,X,X,X,X,X,X,X
IOSTJZL,X,O,X,O,X,X,X,X,X,X,X
IOSTZLJ,X,O,X,O,X,X,X,X,X,X,X
IOSTZJL,X,O,X,O,X,X,X,X,X,X,X
IOSLTJZ,X,O,X,X,O,X,X,X,X,X,X
IOSLTZJ,X,O,X,X,O,X,X,X,X,X,X
IOSLJTZ,X,O,X,X,O,X,X,X,O,X,X
IOSLJZT,X,O,O,X,X,X,X,X,O,X,X
IOSLZTJ,X,O,X,X,X,X,X,X,O,X,X
IOSLZJT,X,O,X,X,X,X,X,X,X,O,X
IOSJTLZ,X,O,X,X,X,X,X,X,O,X,X
IOSJTZL,X,O,X,X,X,X,X,X,O,X,X
IOSJLTZ,X,O,X,X,O,X,X,X,O,X,X
IOSJLZT,X,O,O,X,X,X,X,X,O,X,X
IOSJZTL,X,O,O,X,X,X,X,X,O,X,X
IOSJZLT,X,O,O,X,X,X,X,X,O,X,X
IOSZTLJ,X,O,X,O,X,X,X,X,O,X,X
IOSZTJL,X,O,X,O,X,X,X,X,X,X,X
IOSZLTJ,X,O,X,X,X,X,X,X,O,X,X
IOSZLJT,X,O,X,X,X,X,X,X,X,O,X
IOSZJTL,X,O,X,O,X,X,X,X,X,O,X
IOSZJLT,X,O,X,X,X,X,X,X,X,O,X
IOZTLJS,O,X,X,O,X,X,X,X,X,X,O
IOZTLSJ,O,O,X,O,X,X,X,X,X,X,X
IOZTJLS,O,X,X,O,X,X,X,X,X,X,O
IOZTJSL,X,O,X,O,X,X,X,X,X,X,X
IOZTSLJ,X,O,X,O,X,X,X,X,O,X,X
IOZTSJL,X,O,X,O,X,X,X,X,X,X,X
IOZLTJS,O,X,X,O,O,X,X,X,X,X,X
IOZLTSJ,O,O,X,O,O,X,X,X,X,X,X
IOZLJTS,O,X,X,O,O,X,X,X,X,X,X
IOZLJST,O,X,X,X,X,X,X,X,X,X,X
IOZLSTJ,O,O,X,X,X,X,X,X,X,X,X
IOZLSJT,O,O,X,X,X,X,X,X,X,X,X
IOZJTLS,O,X,X,O,X,X,X,X,X,X,O
IOZJTSL,X,O,X,O,X,X,X,X,X,X,X
IOZJLTS,O,X,X,O,O,X,X,X,X,X,X
IOZJLST,O,X,X,X,X,X,X,X,X,X,X
IOZJSTL,X,O,X,O,X,X,X,X,X,O,X
IOZJSLT,X,O,X,X,X,X,X,X,X,O,X
IOZSTLJ,X,O,X,O,X,X,X,X,O,X,X
IOZSTJL,X,O,X,O,X,X,X,X,X,X,X
IOZSLTJ,X,O,X,X,X,X,X,X,O,X,X
IOZSLJT,X,O,X,X,X,X,X,X,X,O,X
IOZSJTL,X,O,X,O,X,X,X,X,X,O,X
IOZSJLT,X,O,X,X,X,X,X,X,X,O,X
LTIJSZO,O,X,X,X,O,O,X,X,X,X,X
LTIJSOZ,O,X,X,X,X,O,X,X,X,X,X
LTIJZSO,O,X,X,X,O,O,X,O,X,X,O
LTIJZOS,O,X,X,X,O,O,X,O,X,X,O
LTIJOSZ,X,X,X,X,O,O,X,X,X,X,X
LTIJOZS,X,X,X,X,O,O,X,O,X,X,X
LTISJZO,O,X,X,X,O,X,X,X,X,X,X
LTISJOZ,O,X,X,X,X,X,X,X,X,X,X
LTISZJO,O,X,X,X,O,X,X,X,X,X,X
LTISZOJ,O,X,X,X,O,X,X,X,X,X,X
LTISOJZ,O,X,X,X,O,X,X,X,X,X,X
LTISOZJ,O,X,X,X,O,X,X,X,X,X,X
LTIZJSO,O,X,X,X,O,X,X,X,X,X,O
LTIZJOS,O,X,X,O,O,X,X,X,X,X,O
LTIZSJO,O,X,X,X,O,X,X,X,X,X,O
LTIZSOJ,O,X,X,X,O,X,X,X,X,X,X
LTIZOJS,O,X,X,O,O,X,X,X,X,X,O
LTIZOSJ,O,X,X,O,O,X,X,X,X,X,X
LTIOJSZ,X,X,X,X,O,O,X,X,X,X,X
LTIOJZS,X,X,X,X,O,O,X,O,X,X,X
LTIOSJZ,O,X,X,X,O,X,X,X,X,X,X
LTIOSZJ,O,X,X,O,O,X,X,X,X,X,X
LTIOZJS,O,X,X,O,O,X,X,X,X,X,X
LTIOZSJ,O,X,X,O,O,X,X,X,X,X,X
LTJISZO,O,X,X,X,O,O,X,X,X,X,X
LTJISOZ,O,X,X,X,X,O,X,X,X,X,X
LTJIZSO,O,X,X,X,O,O,X,O,X,X,O
LTJIZOS,O,X,X,X,O,O,X,O,X,X,O
LTJIOSZ,X,X,X,X,O,O,X,X,X,X,X
LTJIOZS,X,X,X,X,O,O,X,O,X,X,X
LTJSIZO,O,X,X,X,O,O,O,X,X,X,X
LTJSIOZ,O,X,X,X,X,O,X,X,X,X,X
LTJSZIO,O,X,X,X,O,O,O,X,X,X,X
LTJSZOI,O,X,X,X,O,O,O,X,X,X,X
LTJSOIZ,O,X,X,X,X,O,X,X,X,X,X
LTJSOZI,O,X,X,X,X,O,X,X,X,X,X
LTJZISO,O,X,X,X,O,O,O,O,X,X,O
LTJZIOS,O,X,X,X,O,O,X,O,X,X,O
LTJZSIO,O,X,X,X,O,O,O,O,X,X,O
LTJZSOI,O,X,X,X,O,O,O,O,X,X,X
LTJZOIS,O,X,X,X,O,O,X,O,X,X,O
LTJZOSI,O,X,X,X,O,O,O,O,X,X,X
LTJOISZ,X,X,X,X,O,O,X,X,X,X,X
LTJOIZS,X,X,X,X,O,O,X,O,X,X,X
LTJOSIZ,X,X,X,X,O,O,X,X,X,X,X
LTJOSZI,X,X,X,X,O,O,X,X,X,X,X
LTJOZIS,X,X,X,X,O,O,X,O,X,X,X
LTJOZSI,X,X,X,X,O,O,X,O,X,X,X
LTSIJZO,O,X,X,X,O,X,X,X,X,X,X
LTSIJOZ,O,X,X,X,X,X,X,X,X,X,X
LTSIZJO,O,X,X,X,O,X,X,X,X,X,X
LTSIZOJ,O,X,X,X,O,X,X,X,X,X,X
LTSIOJZ,O,X,X,X,O,X,X,X,X,X,X
LTSIOZJ,O,X,X,X,O,X,X,X,X,X,X
LTSJIZO,O,X,X,X,O,X,O,X,X,X,X
LTSJIOZ,O,X,X,X,X,X,X,X,X,X,X
LTSJZIO,O,X,X,X,O,X,O,X,X,X,X
LTSJZOI,O,X,X,X,O,X,O,X,X,X,X
LTSJOIZ,O,X,X,X,X,X,X,X,X,X,X
LTSJOZI,O,X,X,X,X,X,X,X,X,X,X
LTSZIJO,O,X,X,X,O,X,O,X,X,X,X
LTSZIOJ,O,X,X,X,O,X,X,X,X,X,X
LTSZJIO,O,X,X,X,O,X,O,X,X,X,X
LTSZJOI,O,X,X,X,O,X,O,X,X,X,X
LTSZOIJ,O,X,X,X,O,X,X,X,X,X,X
LTSZOJI,O,X,X,X,O,X,O,X,X,X,X
LTSOIJZ,O,X,X,X,O,X,X,X,X,X,X
LTSOIZJ,O,X,X,X,O,X,X,X,X,X,X
LTSOJIZ,O,X,X,X,O,X,X,X,X,X,X
LTSOJZI,O,X,X,X,O,X,X,X,X,X,X
LTSOZIJ,O,X,X,X,O,X,X,X,X,X,X
LTSOZJI,O,X,X,X,O,X,X,X,X,X,X
LTZIJSO,O,X,X,X,O,X,O,X,X,X,O
LTZIJOS,O,X,X,O,O,X,X,X,X,X,O
LTZISJO,O,X,X,X,O,X,O,X,X,X,O
LTZISOJ,O,X,X,X,O,X,X,X,X,X,X
LTZIOJS,O,X,X,O,O,X,X,X,X,X,O
LTZIOSJ,O,X,X,O,O,X,X,X,X,X,X
LTZJISO,O,X,X,X,O,X,O,X,X,X,O
LTZJIOS,O,X,X,O,O,X,X,X,X,X,O
LTZJSIO,O,X,X,X,O,X,O,X,X,X,O
LTZJSOI,O,X,X,X,O,X,O,X,X,X,X
LTZJOIS,O,X,X,O,O,X,X,X,X,X,O
LTZJOSI,O,X,X,O,O,X,O,X,X,X,X
LTZSIJO,O,X,X,X,O,X,O,X,X,X,O
LTZSIOJ,O,X,X,X,O,X,X,X,X,X,X
LTZSJIO,O,X,X,X,O,X,O,X,X,X,O
LTZSJOI,O,X,X,X,O,X,O,X,X,X,X
LTZSOIJ,O,X,X,X,O,X,X,X,X,X,X
LTZSOJI,O,X,X,X,O,X,O,X,X,X,X
LTZOIJS,O,X,X,O,O,X,X,X,X,X,O
LTZOISJ,O,X,X,O,O,X,X,X,X,X,X
LTZOJIS,O,X,X,O,O,X,X,X,X,X,O
LTZOJSI,O,X,X,O,O,X,O,X,X,X,X
LTZOSIJ,O,X,X,O,O,X,X,X,X,X,X
LTZOSJI,O,X,X,O,O,X,O,X,X,X,X
LTOIJSZ,X,X,X,X,O,O,X,X,X,X,X
LTOIJZS,X,X,X,X,O,O,X,O,X,X,X
LTOISJZ,O,X,X,X,O,X,X,X,X,X,X
LTOISZJ,O,X,X,O,O,X,X,X,X,X,X
LTOIZJS,O,X,X,O,O,X,X,X,X,X,X
LTOIZSJ,O,X,X,O,O,X,X,X,X,X,X
LTOJISZ,X,X,X,X,O,O,X,X,X,X,X
LTOJIZS,X,X,X,X,O,O,X,O,X,X,X
LTOJSIZ,X,X,X,X,O,O,X,X,X,X,X
LTOJSZI,X,X,X,X,O,O,X,X,X,X,X
LTOJZIS,X,X,X,X,O,O,X,O,X,X,X
LTOJZSI,X,X,X,X,O,O,X,O,X,X,X
LTOSIJZ,O,X,X,X,O,X,X,X,X,X,X
LTOSIZJ,O,X,X,O,O,X,X,X,X,X,X
LTOSJIZ,O,X,X,X,O,X,X,X,X,X,X
LTOSJZI,O,X,X,X,O,X,X,X,X,X,X
LTOSZIJ,O,X,X,O,O,X,X,X,X,X,X
LTOSZJI,O,X,X,O,O,X,X,X,X,X,X
LTOZIJS,O,X,X,O,O,X,X,X,X,X,X
LTOZISJ,O,X,X,O,O,X,X,X,X,X,X
LTOZJIS,O,X,X,O,O,X,X,X,X,X,X
LTOZJSI,O,X,X,O,O,X,X,X,X,X,X
LTOZSIJ,O,X,X,O,O,X,X,X,X,X,X
LTOZSJI,O,X,X,O,O,X,X,X,X,X,X
LITJSZO,O,X,X,X,O,O,X,X,X,X,X
LITJSOZ,O,X,X,X,X,O,X,X,X,X,X
LITJZSO,O,X,X,X,O,O,X,O,X,X,O
LITJZOS,O,X,X,X,O,O,X,O,X,X,O
LITJOSZ,X,X,X,X,O,O,X,X,X,X,X
LITJOZS,X,X,X,X,O,O,X,O,X,X,X
LITSJZO,O,X,X,X,O,X,X,X,X,X,X
LITSJOZ,O,X,X,X,X,X,X,X,X,X,X
LITSZJO,O,X,X,X,O,X,X,X,X,X,X
LITSZOJ,O,X,X,X,O,X,X,X,X,X,X
LITSOJZ,O,X,X,X,O,X,X,X,X,X,X
LITSOZJ,O,X,X,X,O,X,X,X,X,X,X
LITZJSO,O,X,X,X,O,X,X,X,X,X,O
LITZJOS,O,X,X,O,O,X,X,X,X,X,O
LITZSJO,O,X,X,X,O,X,X,X,X,X,O
LITZSOJ,O,X,X,X,O,X,X,X,X,X,X
LITZOJS,O,X,X,O,O,X,X,X,X,X,O
LITZOSJ,O,X,X,O,O,X,X,X,X,X,X
LITOJSZ,X,X,X,X,O,O,X,X,X,X,X
LITOJZS,X,X,X,X,O,O,X,O,X,X,X
LITOSJZ,O,X,X,X,O,X,X,X,X,X,X
LITOSZJ,O,X,X,O,O,X,X,X,X,X,X
LITOZJS,O,X,X,O,O,X,X,X,X,X,X
LITOZSJ,O,X,X,O,O,X,X,X,X,X,X
LIJTSZO,O,X,X,X,O,O,X,X,O,X,X
LIJTSOZ,O,X,X,X,X,O,X,X,O,X,X
LIJTZSO,O,X,X,X,O,O,X,O,O,X,O
LIJTZOS,O,X,X,X,O,O,X,O,X,X,O
LIJTOSZ,X,X,X,X,O,O,X,X,X,X,X
LIJTOZS,X,X,X,X,O,O,X,O,X,X,X
LIJSTZO,O,X,O,X,O,O,X,X,O,X,X
LIJSTOZ,O,X,X,X,X,O,X,X,O,X,X
LIJSZTO,O,X,O,X,X,X,X,O,O,X,X
LIJSZOT,O,X,O,X,X,X,X,O,O,X,X
LIJSOTZ,X,X,X,X,X,O,X,X,O,X,X
LIJSOZT,X,X,O,X,X,X,X,O,O,X,X
LIJZTSO,O,X,O,X,O,O,X,O,O,X,O
LIJZTOS,O,X,O,X,O,O,X,O,X,X,O
LIJZSTO,O,X,O,X,X,X,X,O,O,X,X
LIJZSOT,O,X,O,X,X,X,X,O,O,X,X
LIJZOTS,O,X,X,X,X,O,X,O,X,X,X
LIJZOST,O,X,X,X,X,X,X,O,X,X,X
LIJOTSZ,X,X,X,X,O,O,X,X,X,X,X
LIJOTZS,X,X,X,X,O,O,X,O,X,X,X
LIJOSTZ,X,X,X,X,O,O,X,X,X,X,X
LIJOSZT,X,X,X,X,X,X,X,O,X,X,X
LIJOZTS,X,X,X,X,O,O,X,O,X,X,X
LIJOZST,X,X,X,X,X,X,X,O,X,X,X
LISTJZO,O,X,O,X,O,X,X,X,O,X,X
LISTJOZ,O,X,X,X,X,X,X,X,O,X,X
LISTZJO,O,O,X,X,O,X,X,X,O,O,X
LISTZOJ,O,O,X,X,O,X,X,X,O,X,X
LISTOJZ,O,O,X,X,O,X,X,X,X,X,X
LISTOZJ,O,O,X,X,O,X,X,X,X,X,X
LISJTZO,O,X,O,X,O,O,X,X,O,X,X
LISJTOZ,O,X,X,X,X,O,X,X,O,X,X
LISJZTO,O,O,O,X,X,X,X,O,O,O,X
LISJZOT,O,X,O,X,X,X,X,O,O,O,X
LISJOTZ,X,O,X,X,X,O,X,X,O,X,X
LISJOZT,X,O,O,X,X,X,X,O,O,X,X
LISZTJO,O,O,X,X,X,X,X,X,O,O,X
LISZTOJ,O,O,X,X,X,X,X,X,O,X,X
LISZJTO,O,O,O,X,X,X,X,X,O,O,X
LISZJOT,O,X,O,X,X,X,X,X,O,O,X
LISZOTJ,O,O,X,X,X,X,X,X,O,X,X
LISZOJT,O,O,X,X,X,X,X,X,X,O,X
LISOTJZ,O,O,X,X,O,X,X,X,X,X,X
LISOTZJ,O,O,X,X,O,X,X,X,X,X,X
LISOJTZ,X,O,X,X,O,O,X,X,O,X,X
LISOJZT,X,O,O,X,X,X,X,O,O,X,X
LISOZTJ,O,O,X,X,X,X,X,X,O,X,X
LISOZJT,O,O,X,X,X,X,X,X,X,O,X
LIZTJSO,O,X,X,X,O,X,X,X,X,X,O
LIZTJOS,O,X,X,O,O,X,X,X,X,X,O
LIZTSJO,O,O,X,X,O,X,X,X,O,X,O
LIZTSOJ,O,O,X,X,O,X,X,X,O,X,X
LIZTOJS,O,X,X,O,O,X,X,X,X,X,O
LIZTOSJ,O,X,X,O,O,X,X,X,X,X,X
LIZJTSO,O,X,X,X,O,O,X,O,X,X,O
LIZJTOS,O,X,X,O,O,O,X,O,X,X,O
LIZJSTO,O,X,X,X,X,X,X,O,X,O,X
LIZJSOT,O,X,X,X,X,X,X,O,X,O,X
LIZJOTS,O,X,X,O,X,O,X,O,X,X,X
LIZJOST,O,X,X,X,X,X,X,O,X,X,X
LIZSTJO,O,O,X,X,X,X,X,X,O,O,X
LIZSTOJ,O,O,X,X,X,X,X,X,O,X,X
LIZSJTO,O,O,X,X,X,X,X,X,O,O,X
LIZSJOT,O,X,X,X,X,X,X,X,X,O,X
LIZSOTJ,O,O,X,X,X,X,X,X,O,X,X
LIZSOJT,O,X,X,X,X,X,X,X,X,O,X
LIZOTJS,O,X,X,O,O,X,X,X,X,X,X
LIZOTSJ,O,X,X,O,O,X,X,X,X,X,X
LIZOJTS,O,X,X,O,O,O,X,O,X,X,X
LIZOJST,O,X,X,X,X,X,X,O,X,X,X
LIZOSTJ,O,X,X,X,X,X,X,X,X,X,X
LIZOSJT,O,X,X,X,X,X,X,X,X,X,X
LIOTJSZ,X,X,X,X,O,O,X,X,X,X,X
LIOTJZS,X,X,X,X,O,O,X,O,X,X,X
LIOTSJZ,O,O,X,X,O,X,X,X,X,X,X
LIOTSZJ,O,O,X,O,O,X,X,X,X,X,X
LIOTZJS,O,X,X,O,O,X,X,X,X,X,X
LIOTZSJ,O,O,X,O,O,X,X,X,X,X,X
LIOJTSZ,X,X,X,X,O,O,X,X,X,X,X
LIOJTZS,X,X,X,X,O,O,X,O,X,X,X
LIOJSTZ,X,X,X,X,O,O,X,X,X,X,X
LIOJSZT,X,X,X,X,X,X,X,O,X,X,X
LIOJZTS,X,X,X,X,O,O,X,O,X,X,X
LIOJZST,X,X,X,X,X,X,X,O,X,X,X
LIOSTJZ,O,O,X,X,O,X,X,X,X,X,X
LIOSTZJ,O,O,X,X,O,X,X,X,X,X,X
LIOSJTZ,X,O,X,X,O,O,X,X,X,X,X
LIOSJZT,X,O,X,X,X,X,X,O,X,X,X
LIOSZTJ,O,O,X,X,X,X,X,X,X,X,X
LIOSZJT,O,O,X,X,X,X,X,X,X,X,X
LIOZTJS,O,X,X,O,O,X,X,X,X,X,X
LIOZTSJ,O,O,X,O,O,X,X,X,X,X,X
LIOZJTS,O,X,X,O,O,O,X,O,X,X,X
LIOZJST,O,X,X,X,X,X,X,O,X,X,X
LIOZSTJ,O,O,X,X,X,X,X,X,X,X,X
LIOZSJT,O,O,X,X,X,X,X,X,X,X,X
LJTISZO,O,X,X,X,O,O,X,X,O,X,X
LJTISOZ,O,X,X,X,X,O,X,X,O,X,X
LJTIZSO,O,X,X,X,O,O,X,O,O,X,O
LJTIZOS,O,X,X,X,O,O,X,O,X,X,O
LJTIOSZ,X,X,X,X,O,O,X,X,X,X,X
LJTIOZS,X,X,X,X,O,O,X,O,X,X,X
LJTSIZO,O,X,X,X,O,O,O,X,O,X,X
LJTSIOZ,O,X,X,X,X,O,X,X,O,X,X
LJTSZIO,O,X,X,X,O,O,O,X,O,X,X
LJTSZOI,O,X,X,X,O,O,O,X,O,X,X
LJTSOIZ,O,X,X,X,X,O,X,X,O,X,X
LJTSOZI,O,X,X,X,X,O,X,X,O,X,X
LJTZISO,O,X,X,X,O,O,O,O,O,X,O
LJTZIOS,O,X,X,X,O,O,X,O,X,X,O
LJTZSIO,O,X,X,X,O,O,O,O,O,X,O
LJTZSOI,O,X,X,X,O,O,O,O,O,X,X
LJTZOIS,O,X,X,X,O,O,X,O,X,X,O
LJTZOSI,O,X,X,X,O,O,O,O,X,X,X
LJTOISZ,X,X,X,X,O,O,X,X,X,X,X
LJTOIZS,X,X,X,X,O,O,X,O,X,X,X
LJTOSIZ,X,X,X,X,O,O,X,X,X,X,X
LJTOSZI,X,X,X,X,O,O,X,X,X,X,X
LJTOZIS,X,X,X,X,O,O,X,O,X,X,X
LJTOZSI,X,X,X,X,O,O,X,O,X,X,X
LJITSZO,O,X,X,X,O,O,X,X,O,X,X
LJITSOZ,O,X,X,X,X,O,X,X,O,X,X
LJITZSO,O,X,X,X,O,O,X,O,O,X,O
LJITZOS,O,X,X,X,O,O,X,O,X,X,O
LJITOSZ,X,X,X,X,O,O,X,X,X,X,X
LJITOZS,X,X,X,X,O,O,X,O,X,X,X
LJISTZO,O,X,O,X,O,O,X,X,O,X,X
LJISTOZ,O,X,X,X,X,O,X,X,O,X,X
LJISZTO,O,X,O,X,X,X,X,O,O,X,X
LJISZOT,O,X,O,X,X,X,X,O,O,X,X
LJISOTZ,X,X,X,X,X,O,X,X,O,X,X
LJISOZT,X,X,O,X,X,X,X,O,O,X,X
LJIZTSO,O,X,O,X,O,O,X,O,O,X,O
LJIZTOS,O,X,O,X,O,O,X,O,X,X,O
LJIZSTO,O,X,O,X,X,X,X,O,O,X,X
LJIZSOT,O,X,O,X,X,X,X,O,O,X,X
LJIZOTS,O,X,X,X,X,O,X,O,X,X,X
LJIZOST,O,X,X,X,X,X,X,O,X,X,X
LJIOTSZ,X,X,X,X,O,O,X,X,X,X,X
LJIOTZS,X,X,X,X,O,O,X,O,X,X,X
LJIOSTZ,X,X,X,X,O,O,X,X,X,X,X
LJIOSZT,X,X,X,X,X,X,X,O,X,X,X
LJIOZTS,X,X,X,X,O,O,X,O,X,X,X
LJIOZST,X,X,X,X,X,X,X,O,X,X,X
LJSTIZO,O,X,O,X,O,O,O,X,O,X,X
LJSTIOZ,O,X,X,X,X,O,X,X,O,X,X
LJSTZIO,O,X,O,X,O,O,O,X,O,X,X
LJSTZOI,O,X,O,X,O,O,O,X,O,X,X
LJSTOIZ,O,X,X,X,X,O,X,X,O,X,X
LJSTOZI,O,X,X,X,X,O,X,X,O,X,X
LJSITZO,O,X,O,X,O,O,O,X,O,X,X
LJSITOZ,O,X,X,X,X,O,X,X,O,X,X
LJSIZTO,O,X,O,X,X,X,O,O,O,X,X
LJSIZOT,O,X,O,X,X,X,X,O,O,X,X
LJSIOTZ,X,X,X,X,X,O,X,X,O,X,X
LJSIOZT,X,X,O,X,X,X,X,O,O,X,X
LJSZTIO,O,X,O,X,X,X,O,O,O,X,X
LJSZTOI,O,X,O,X,X,X,O,O,O,X,X
LJSZITO,O,X,O,X,X,X,O,O,O,X,X
LJSZIOT,O,X,O,X,X,X,X,O,O,X,X
LJSZOTI,O,X,O,X,X,X,X,O,O,X,X
LJSZOIT,O,X,O,X,X,X,X,O,O,X,X
LJSOTIZ,X,X,X,X,X,O,X,X,O,X,X
LJSOTZI,X,X,X,X,X,O,X,X,O,X,X
LJSOITZ,X,X,X,X,X,O,X,X,O,X,X
LJSOIZT,X,X,O,X,X,X,X,O,O,X,X
LJSOZTI,X,X,O,X,X,X,X,O,O,X,X
LJSOZIT,X,X,O,X,X,X,X,O,O,X,X
LJZTISO,O,X,O,X,O,O,O,O,O,X,O
LJZTIOS,O,X,O,X,O,O,X,O,X,X,O
LJZTSIO,O,X,O,X,O,O,O,O,O,X,O
LJZTSOI,O,X,O,X,O,O,O,O,O,X,X
LJZTOIS,O,X,O,X,O,O,X,O,X,X,O
LJZTOSI,O,X,O,X,O,O,O,O,X,X,X
LJZITSO,O,X,O,X,O,O,X,O,O,X,O
LJZITOS,O,X,O,X,O,O,X,O,X,X,O
