sequence,v115@6gC8GeC8AeA8EeC8AeB8CeF8DeD8JeZ/IvhFzaBaiB?FhB0lB+rB3qB,v115@6gC8GeC8AeA8EeC8AeB8CeF8DeD8JeZ/IvhFahBzcB?FgBfrBurBUqB,v115@6gC8GeC8AeA8EeC8AeB8CeF8DeD8JeZ/IvhFzaBUcB?aiB1lB+rB3qB,v115@6gC8GeC8AeA8EeC8AeB8CeF8DeD8JeZ/IvhFzaBaiB?llBcrBGrB3qB,v115@6gC8GeC8AeA8EeC8AeB8CeF8DeD8JeZ/IvhFGbByhB?UgBlmB3qBTrB,v115@6gC8GeC8AeA8EeC8AeB8CeF8DeD8JeZ/IvhFCbBmcB?TgB0hB/rB1vB,v115@6gC8GeC8AeA8EeC8AeB8CeF8DeD8JeZ/IvhFGbB/hB?aiBllBTrBUqB,v115@6gC8GeC8AeA8EeC8AeB8CeF8DeD8JeZ/IvhFahBFgB?zhBfrBurBUqB,v115@6gC8GeC8AeA8EeC8AeB8CeF8DeD8JeZ/IvhFGbByhB?llB3mBUqBTrB,v115@6gC8GeC8AeA8EeC8AeB8CeF8DeD8JeZ/IvhFmcB0hB?llBTrBfqB6qB,v115@6gC8GeC8AeA8EeC8AeB8CeF8DeD8JeZ/IvhFfgBlbB?8lBzhBurByvB
TJLZSIO,O,X,O,X,X,X,X,X,X,X,X
TJLZSOI,O,X,O,X,X,X,X,X,X,X,X
TJLZOIS,O,X,O,O,X,X,X,X,X,X,X
TJLZOSI,O,X,O,X,X,X,X,X,X,X,X
TJLOISZ,O,X,O,X,X,O,X,X,X,X,X
TJLOIZS,O,X,O,O,X,X,X,X,X,X,X
TJLOSIZ,O,X,O,X,X,O,X,X,X,X,X
TJLOSZI,X,X,O,X,X,O,X,X,X,X,X
TJLOZIS,O,X,O,O,X,X,X,X,X,X,X
TJLOZSI,O,X,O,X,X,X,X,X,X,X,X
TJSILZO,X,O,O,X,O,O,X,X,O,X,X
TJSILOZ,O,O,O,X,X,X,X,O,X,X,X
TJSIZLO,X,O,O,X,O,O,X,X,O,X,X
TJSIZOL,X,O,O,X,O,O,X,X,O,X,X
TJSIOLZ,O,O,O,X,X,O,X,O,X,X,X
TJSIOZL,X,O,O,X,X,O,X,X,X,X,X
TJSLIZO,X,O,O,X,O,O,X,X,O,X,X
TJSLIOZ,O,O,O,X,X,X,X,O,X,X,X
TJSLZIO,X,O,O,X,O,O,X,X,X,X,X
TJSLZOI,X,O,O,X,O,O,X,X,X,X,X
TJSLOIZ,O,O,O,X,X,X,X,O,X,X,X
