sequence,v115@1gD8GeA8GeC8GeD8CeB8AeE8AeC8Je06IvhFidB+jB?ZkBThB3iBFsB,v115@1gD8GeA8GeC8GeD8CeB8AeE8AeC8Je06IvhFOiBXeB?ZkBThBSoBFsB,v115@1gD8GeA8GeC8GeD8CeB8AeE8AeC8Je06IvhFXdB6jB?ZkB2mBziBFsB,v115@1gD8GeA8GeC8GeD8CeB8AeE8AeC8Je06IvhFTeBZkB?/mBFiBCoBOsB,v115@1gD8GeA8GeC8GeD8CeB8AeE8AeC8Jex9IvhFifB/mB?FiBTjBcsBOpB,v115@1gD8GeA8GeC8GeD8CeB8AeE8AeC8Je06IvhFTeBZkB?ihBWoBXiBFsB,v115@1gD8GeA8GeC8GeD8CeB8AeE8AeC8Je06IvhFViBZkB?/mBTjBOsBCtB
TJZISLO,O,O,O,X,X,O,X
TJZISOL,O,X,O,X,X,O,X
TJZIOLS,O,O,O,X,X,O,X
TJZIOSL,O,X,O,X,X,O,X
TJZLISO,X,O,O,X,X,O,X
TJZLIOS,X,O,O,X,X,O,X
TJZLSIO,O,O,O,X,X,X,X
TJZLSOI,O,O,O,X,X,X,X
TJZLOIS,X,X,O,X,X,O,X
TJZLOSI,O,O,O,X,X,X,X
TJZSILO,O,X,O,X,X,X,X
TJZSIOL,O,X,O,X,X,X,X
TJZSLIO,O,O,O,X,X,X,X
TJZSLOI,O,O,O,X,X,X,X
TJZSOIL,O,X,O,X,X,X,X
TJZSOLI,O,X,O,X,X,X,X
TJZOILS,O,O,O,X,X,O,X
TJZOISL,O,X,O,X,X,O,X
TJZOLIS,X,O,O,X,X,O,X
TJZOLSI,O,O,O,X,X,X,X
TJZOSIL,O,X,O,X,X,X,X
TJZOSLI,O,O,O,X,X,X,X
TJOILSZ,O,O,O,X,X,O,X
TJOILZS,O,O,O,X,X,O,X
TJOISLZ,O,O,O,X,X,O,X
TJOISZL,O,O,O,X,X,O,X
TJOIZLS,O,O,O,X,X,O,X
TJOIZSL,O,O,O,X,X,O,X
TJOLISZ,O,O,O,X,X,O,X
TJOLIZS,O,O,O,X,X,O,X
TJOLSIZ,O,O,O,X,X,O,X
TJOLSZI,O,O,O,X,X,X,X
TJOLZIS,X,O,O,X,X,O,X
TJOLZSI,O,O,O,X,X,X,X
TJOSILZ,O,O,O,X,X,O,X
TJOSIZL,O,O,O,X,X,O,X
TJOSLIZ,O,O,O,X,X,O,X
TJOSLZI,O,O,O,X,X,X,X
TJOSZIL,O,X,O,X,X,X,X
TJOSZLI,O,O,O,X,X,X,X
TJOZILS,O,O,O,X,X,O,X
TJOZISL,O,O,O,X,X,O,X
TJOZLIS,X,O,O,X,X,O,X
TJOZLSI,O,O,O,X,X,X,X
TJOZSIL,O,X,O,X,X,X,X
TJOZSLI,O,O,O,X,X,X,X
TSILJZO,X,O,O,O,X,O,X
TSILJOZ,X,O,O,O,X,O,X
TSILZJO,X,O,O,O,X,O,X
TSILZOJ,X,O,O,O,X,X,X
TSILOJZ,X,O,O,O,X,X,X
TSILOZJ,X,O,O,O,O,X,X
TSIJLZO,O,O,O,O,X,O,O
TSIJLOZ,O,O,O,O,X,O,O
TSIJZLO,O,O,O,O,X,O,O
TSIJZOL,O,X,O,X,X,O,O
TSIJOLZ,O,X,O,X,X,O,O
TSIJOZL,O,X,O,X,X,O,O
TSIZLJO,X,O,O,O,X,O,X
TSIZLOJ,X,O,O,O,X,X,X
TSIZJLO,O,O,O,O,X,O,O
TSIZJOL,O,X,O,X,X,O,O
TSIZOLJ,X,O,O,O,X,X,X
TSIZOJL,O,O,O,X,X,X,O
TSIOLJZ,X,O,O,O,X,X,X
TSIOLZJ,X,O,O,O,O,X,X
TSIOJLZ,O,O,O,X,X,X,O
