sequence,v115@2gA8IeA8EeB8BeB8CeF8CeG8CeC8Jem6IvhFxdB0fB?lhB3iBTmBywB,v115@2gA8IeA8EeB8BeB8CeF8CeG8CeC8Jei6IvhFxdBzfB?lhB3iB0mB2wB,v115@2gA8IeA8EeB8BeB8CeF8CeG8CeC8JeT6IvhFegBxdB?lhB3iBirB0rB,v115@2gA8IeA8EeB8BeB8CeF8CeG8CeC8JeT6IvhFegBxcB?XeBFnB0rBirB,v115@2gA8IeA8EeB8BeB8CeF8CeG8CeC8Jem6IvhFTcBxdB?0fBliB3mBywB,v115@2gA8IeA8EeB8BeB8CeF8CeG8CeC8Jey/IvhFTcBxdB?liB0fBmrB3rB,v115@2gA8IeA8EeB8BeB8CeF8CeG8CeC8Jem6IvhFCdBXeB?0fBVnBZmBzrB,v115@2gA8IeA8EeB8BeB8CeF8CeG8CeC8Jei6IvhFxcBXeB?zfBVnB0mB2wB,v115@2gA8IeA8EeB8BeB8CeF8CeG8CeC8Jey/IvhFxdBlhB?3iB0fBmrBTrB,v115@2gA8IeA8EeB8BeB8CeF8CeG8CeC8Jey/IvhFxdBlhB?3iB0fBOrBzrB,v115@2gA8IeA8EeB8BeB8CeF8CeG8CeC8Jei6IvhFXeBzfB?WnBZmB8rBFsB
LJTOZSI,X,O,O,O,O,O,X,O,X,X,X
LJITSZO,X,X,O,X,O,O,X,O,O,X,X
LJITSOZ,X,X,O,X,O,O,X,O,O,X,X
LJITZSO,X,X,X,X,O,O,X,O,X,X,X
LJITZOS,X,X,X,X,O,O,X,X,X,X,X
LJITOSZ,X,X,O,X,X,O,X,O,X,X,X
LJITOZS,X,X,X,X,O,O,X,X,X,X,X
LJISTZO,O,X,O,X,X,O,X,O,O,O,X
LJISTOZ,X,O,O,X,X,O,X,O,O,X,X
LJISZTO,O,X,O,X,O,X,X,O,O,X,X
LJISZOT,O,X,O,X,O,X,X,O,X,X,X
LJISOTZ,X,O,O,X,X,O,X,O,O,X,X
LJISOZT,X,O,O,X,O,X,X,O,X,X,X
LJIZTSO,O,X,X,X,O,O,X,X,X,X,X
LJIZTOS,X,X,X,X,O,O,X,X,X,X,X
LJIZSTO,O,X,O,X,O,X,X,X,O,X,X
LJIZSOT,O,X,O,X,O,X,X,X,X,X,X
LJIZOTS,X,X,X,X,O,X,X,X,X,X,X
LJIZOST,O,X,O,X,O,X,X,X,X,X,X
LJIOTSZ,X,O,O,X,X,O,X,X,X,X,X
LJIOTZS,X,X,X,X,X,O,X,X,X,X,X
LJIOSTZ,X,O,O,X,X,X,X,X,O,X,X
LJIOSZT,X,O,O,X,X,X,X,X,X,X,X
LJIOZTS,X,X,X,X,O,X,X,X,X,X,X
LJIOZST,X,O,O,X,O,X,X,X,X,X,X
LJSTIZO,O,X,O,X,O,O,X,O,O,O,X
LJSTIOZ,X,O,O,O,O,O,X,O,O,X,X
LJSTZIO,O,X,O,O,O,O,X,O,O,O,X
LJSTZOI,O,X,O,O,O,O,X,X,O,O,X
LJSTOIZ,X,O,O,O,O,O,X,O,O,X,X
LJSTOZI,X,O,O,O,O,O,X,O,O,X,X
LJSITZO,O,X,O,X,X,O,X,O,O,O,X
LJSITOZ,X,O,O,X,X,O,X,O,O,X,X
LJSIZTO,O,X,O,X,O,X,X,O,O,X,X
LJSIZOT,O,X,O,X,O,X,X,O,X,X,X
LJSIOTZ,X,O,O,O,X,O,X,O,O,X,X
LJSIOZT,X,O,O,O,O,X,X,O,X,X,X
LJSZTIO,O,X,O,O,O,O,X,O,O,X,X
LJSZTOI,O,X,O,O,O,O,X,X,O,X,X
LJSZITO,O,X,O,X,O,X,X,O,O,X,X
LJSZIOT,O,X,O,O,O,X,X,O,X,X,X
LJSZOTI,O,X,O,O,O,O,X,X,X,X,X
LJSZOIT,O,X,O,O,O,X,X,X,X,X,X
LJSOTIZ,X,O,O,O,O,O,X,O,O,X,O
LJSOTZI,X,O,O,O,O,O,X,O,O,X,X
LJSOITZ,X,O,O,O,X,O,X,O,O,X,O
LJSOIZT,X,O,O,O,O,X,X,O,X,X,O
LJSOZTI,X,O,O,O,O,O,X,O,X,X,X
LJSOZIT,X,O,O,O,O,X,X,O,X,X,O
LJZTISO,O,X,X,O,O,O,X,O,X,X,X
LJZTIOS,X,X,X,O,O,O,X,X,X,X,X
LJZTSIO,O,X,O,O,O,O,X,O,O,X,X
LJZTSOI,O,X,O,O,O,O,X,X,O,X,X
LJZTOIS,X,X,X,O,O,O,X,X,X,X,X
LJZTOSI,O,X,O,O,O,O,X,X,X,X,X
LJZITSO,O,X,X,X,O,O,X,X,X,X,X
LJZITOS,X,X,X,X,O,O,X,X,X,X,X
LJZISTO,O,X,O,X,O,X,X,X,O,X,X
LJZISOT,O,X,O,X,O,X,X,X,X,X,X
LJZIOTS,X,X,X,X,O,X,X,X,X,X,X
LJZIOST,O,X,O,X,O,X,X,X,X,X,X
LJZSTIO,O,X,O,O,O,O,X,O,O,X,X
LJZSTOI,O,X,O,O,O,O,X,X,O,X,X
LJZSITO,O,X,O,X,O,X,X,O,O,X,X
LJZSIOT,O,X,O,O,O,X,X,O,X,X,X
LJZSOTI,O,X,O,O,O,O,X,X,X,X,X
LJZSOIT,O,X,O,O,O,X,X,X,X,X,X
LJZOTIS,X,X,X,O,O,O,X,X,X,X,X
LJZOTSI,O,X,O,O,O,O,X,X,X,X,X
LJZOITS,X,X,X,X,O,X,X,X,X,X,X
LJZOIST,O,X,O,X,O,X,X,X,X,X,X
LJZOSTI,O,X,O,O,O,X,X,X,X,X,X
LJZOSIT,O,X,O,O,O,X,X,X,X,X,X
LJOTISZ,X,O,O,X,X,O,X,O,X,X,O
LJOTIZS,X,X,X,X,O,O,X,O,X,X,O
LJOTSIZ,X,O,O,O,X,O,X,O,O,O,O
LJOTSZI,X,O,O,O,X,O,X,O,O,O,X
LJOTZIS,X,X,X,O,O,O,X,O,X,X,X
LJOTZSI,X,O,O,O,O,O,X,O,X,X,X
LJOITSZ,X,O,O,X,X,O,X,O,X,X,O
LJOITZS,X,X,X,X,X,O,X,O,X,X,O
LJOISTZ,X,O,O,X,X,X,X,O,O,O,O
LJOISZT,X,O,O,X,X,X,X,O,X,X,O
LJOIZTS,X,X,X,X,O,X,X,X,X,X,O
LJOIZST,X,O,O,X,O,X,X,X,X,X,O
LJOSTIZ,X,O,O,O,X,O,X,O,O,O,O
LJOSTZI,X,O,O,O,X,O,X,O,O,O,X
LJOSITZ,X,O,O,O,X,O,X,O,O,O,O
LJOSIZT,X,O,O,O,X,X,X,O,X,X,O
LJOSZTI,X,O,O,O,X,O,X,O,X,X,X
LJOSZIT,X,O,O,O,X,X,X,O,X,X,O
LJOZTIS,X,X,X,O,O,O,X,O,X,X,X
LJOZTSI,X,O,O,O,O,O,X,O,X,X,X
LJOZITS,X,X,X,X,O,X,X,X,X,X,O
LJOZIST,X,O,O,X,O,X,X,X,X,X,O
LJOZSTI,X,O,O,O,O,X,X,O,X,X,X
LJOZSIT,X,O,O,O,O,X,X,O,X,X,O
LSTIJZO,O,X,O,X,O,X,X,O,O,O,X
LSTIJOZ,X,X,O,O,O,X,X,O,O,X,X
LSTIZJO,O,X,O,X,O,X,O,X,O,O,X
LSTIZOJ,O,X,X,X,O,X,O,O,O,O,X
LSTIOJZ,X,O,O,X,O,X,X,O,X,X,X
LSTIOZJ,O,O,X,X,O,O,X,O,O,O,X
LSTJIZO,O,X,O,X,O,X,X,O,O,O,X
LSTJIOZ,X,X,O,O,O,X,X,O,O,X,X
LSTJZIO,O,X,O,O,O,X,O,O,O,O,X
LSTJZOI,O,X,O,O,O,X,O,X,O,O,X
LSTJOIZ,X,X,O,O,O,X,X,O,O,X,X
LSTJOZI,X,X,O,O,O,X,X,X,O,X,X
LSTZIJO,O,X,O,X,O,X,O,X,O,O,X
LSTZIOJ,O,X,X,X,O,X,O,O,O,O,X
LSTZJIO,O,X,O,X,O,X,O,X,O,O,X
LSTZJOI,O,X,O,X,O,X,O,X,O,O,X
LSTZOIJ,O,X,X,X,O,X,O,X,O,O,X
LSTZOJI,O,X,X,X,O,X,O,X,O,O,X
LSTOIJZ,X,O,O,X,O,X,X,O,X,X,X
LSTOIZJ,O,O,X,X,O,O,X,O,O,O,X
LSTOJIZ,X,O,O,X,O,O,X,O,X,X,X
LSTOJZI,X,O,O,X,O,O,X,O,X,X,X
LSTOZIJ,O,O,X,X,O,O,O,O,O,O,X
LSTOZJI,O,O,X,X,O,O,O,O,O,O,X
LSITJZO,O,X,O,X,O,X,X,O,O,O,X
LSITJOZ,X,X,O,X,O,X,X,O,O,X,X
LSITZJO,O,X,O,X,O,X,X,X,O,O,X
LSITZOJ,O,X,X,X,O,X,X,O,O,O,X
LSITOJZ,X,O,O,X,O,X,X,O,X,X,X
LSITOZJ,O,O,X,X,O,O,X,O,O,O,X
LSIJTZO,O,X,O,X,X,O,X,O,O,O,X
LSIJTOZ,X,O,O,X,X,O,X,O,O,X,X
LSIJZTO,O,X,O,X,O,X,X,O,O,X,X
LSIJZOT,O,X,O,X,O,X,X,O,X,X,X
LSIJOTZ,X,O,O,O,X,X,X,O,O,X,X
LSIJOZT,X,O,O,O,O,X,X,O,X,X,X
LSIZTJO,O,X,O,X,O,X,X,X,O,O,X
LSIZTOJ,O,X,X,X,O,X,X,O,O,O,X
LSIZJTO,O,X,O,X,O,X,X,O,O,X,X
LSIZJOT,O,X,O,X,O,X,X,O,X,X,X
LSIZOTJ,O,X,X,X,O,X,X,O,X,X,X
LSIZOJT,O,X,X,X,O,X,X,O,X,X,X
LSIOTJZ,X,O,O,X,O,X,X,O,X,X,X
LSIOTZJ,O,O,X,X,O,X,X,O,O,O,X
LSIOJTZ,X,O,O,X,X,X,X,O,O,X,X
LSIOJZT,X,O,O,X,O,X,X,O,X,X,X
LSIOZTJ,O,O,X,X,O,X,X,O,X,X,X
LSIOZJT,O,O,X,X,O,X,X,O,X,X,X
LSJTIZO,O,X,O,X,O,O,X,O,O,O,X
LSJTIOZ,X,O,O,O,O,O,X,O,O,X,X
LSJTZIO,O,X,O,O,O,O,X,O,O,O,X
LSJTZOI,O,X,O,O,O,O,X,X,O,O,X
LSJTOIZ,X,O,O,O,O,O,X,O,O,X,X
LSJTOZI,X,O,O,O,O,O,X,O,O,X,X
LSJITZO,O,X,O,X,X,O,X,O,O,O,X
LSJITOZ,X,O,O,X,X,O,X,O,O,X,X
LSJIZTO,O,X,O,X,O,X,X,O,O,X,X
LSJIZOT,O,X,O,X,O,X,X,O,X,X,X
LSJIOTZ,X,O,O,O,X,O,X,O,O,X,X
LSJIOZT,X,O,O,O,O,X,X,O,X,X,X
LSJZTIO,O,X,O,O,O,O,X,O,O,X,X
LSJZTOI,O,X,O,O,O,O,X,X,O,X,X
LSJZITO,O,X,O,X,O,X,X,O,O,X,X
LSJZIOT,O,X,O,O,O,X,X,O,X,X,X
LSJZOTI,O,X,O,O,O,O,X,X,X,X,X
LSJZOIT,O,X,O,O,O,X,X,X,X,X,X
LSJOTIZ,X,O,O,O,O,O,X,O,O,X,O
LSJOTZI,X,O,O,O,O,O,X,O,O,X,X
LSJOITZ,X,O,O,O,X,O,X,O,O,X,O
LSJOIZT,X,O,O,O,O,X,X,O,X,X,O
LSJOZTI,X,O,O,O,O,O,X,O,X,X,X
LSJOZIT,X,O,O,O,O,X,X,O,X,X,O
LSZTIJO,O,X,O,O,O,X,O,X,O,O,X
LSZTIOJ,O,X,X,X,O,X,O,O,O,O,X
LSZTJIO,O,X,O,O,O,X,O,X,O,O,X
LSZTJOI,O,X,O,O,O,X,O,X,O,O,X
LSZTOIJ,O,X,X,X,O,X,O,X,O,O,X
LSZTOJI,O,X,X,X,O,X,O,X,O,O,X
LSZITJO,O,X,O,X,O,X,X,X,O,O,X
LSZITOJ,O,X,X,X,O,X,X,O,O,O,X
LSZIJTO,O,X,O,X,O,X,X,O,O,X,X
LSZIJOT,O,X,O,O,O,X,X,O,X,X,X
LSZIOTJ,O,X,X,X,O,X,X,O,X,X,X
LSZIOJT,O,X,X,X,O,X,X,O,X,X,X
LSZJTIO,O,X,O,O,O,X,O,O,O,X,X
LSZJTOI,O,X,O,O,O,X,O,X,O,X,X
LSZJITO,O,X,O,X,O,X,X,O,O,X,X
LSZJIOT,O,X,O,O,O,X,X,O,X,X,X
LSZJOTI,O,X,O,O,O,X,X,X,X,X,X
LSZJOIT,O,X,O,O,O,X,X,X,X,X,X
LSZOTIJ,O,X,X,X,O,X,X,X,X,X,X
LSZOTJI,O,X,X,X,O,X,X,X,X,X,X
LSZOITJ,O,X,X,X,O,X,X,X,X,X,X
LSZOIJT,O,X,X,X,O,X,X,X,X,X,X
LSZOJTI,O,X,X,X,O,X,X,X,X,X,X
LSZOJIT,O,X,X,X,O,X,X,X,X,X,X
LSOTIJZ,X,O,O,X,O,X,X,O,X,O,X
LSOTIZJ,O,O,X,X,O,O,X,O,O,O,X
LSOTJIZ,X,O,O,X,O,O,X,O,X,O,O
LSOTJZI,X,O,O,X,O,O,X,O,X,O,X
LSOTZIJ,O,O,X,X,O,O,X,O,O,O,X
LSOTZJI,O,O,X,X,O,O,X,O,O,O,X
LSOITJZ,X,O,O,X,O,X,X,O,X,O,X
LSOITZJ,O,O,X,X,O,X,X,O,O,O,X
LSOIJTZ,X,O,O,X,X,X,X,O,O,O,O
LSOIJZT,X,O,O,X,O,X,X,O,X,X,O
LSOIZTJ,O,O,X,X,O,X,X,O,X,O,X
LSOIZJT,O,O,X,X,O,X,X,O,X,X,X
LSOJTIZ,X,O,O,X,O,O,X,O,O,O,O
LSOJTZI,X,O,O,X,O,O,X,O,O,O,X
LSOJITZ,X,O,O,X,X,X,X,O,O,O,O
LSOJIZT,X,O,O,X,O,X,X,O,X,X,O
LSOJZTI,X,O,O,X,O,X,X,O,X,X,X
LSOJZIT,X,O,O,X,O,X,X,O,X,X,O
LSOZTIJ,O,O,X,X,O,X,X,O,X,O,X
LSOZTJI,O,O,X,X,O,X,X,O,X,O,X
LSOZITJ,O,O,X,X,O,X,X,O,X,O,X
LSOZIJT,O,O,X,X,O,X,X,O,X,X,X
LSOZJTI,O,O,X,X,O,X,X,O,X,X,X
LSOZJIT,O,O,X,X,O,X,X,O,X,X,O
LZTIJSO,O,X,X,X,O,X,O,X,X,X,X
LZTIJOS,X,X,X,X,O,X,O,X,X,X,X
LZTISJO,O,X,X,X,O,X,O,X,X,X,X
LZTISOJ,O,X,X,X,O,X,O,O,X,X,X
LZTIOJS,X,X,X,X,O,O,O,X,X,X,X
LZTIOSJ,X,X,X,X,O,O,O,X,X,X,X
LZTJISO,O,X,X,O,O,X,O,X,X,X,X
LZTJIOS,X,X,X,O,O,X,O,X,X,X,X
LZTJSIO,O,X,O,O,O,X,O,X,X,X,X
LZTJSOI,O,X,O,O,O,X,O,X,X,X,X
LZTJOIS,X,X,X,O,O,X,O,X,X,X,X
LZTJOSI,O,X,O,O,O,X,O,X,X,X,X
LZTSIJO,O,X,O,O,O,X,O,X,O,O,X
LZTSIOJ,O,X,X,X,O,X,O,O,O,O,X
LZTSJIO,O,X,O,O,O,X,O,X,O,O,X
LZTSJOI,O,X,O,O,O,X,O,X,O,O,X
LZTSOIJ,O,X,X,X,O,X,O,X,O,O,X
LZTSOJI,O,X,X,X,O,X,O,X,O,O,X
LZTOIJS,X,X,X,X,O,O,O,X,X,X,X
LZTOISJ,X,X,X,X,O,O,O,X,X,X,X
LZTOJIS,X,X,X,X,O,O,O,X,X,X,X
LZTOJSI,O,X,X,X,O,O,O,X,X,X,X
LZTOSIJ,O,X,X,X,O,O,O,X,X,X,X
LZTOSJI,O,X,X,X,O,O,O,X,X,X,X
LZITJSO,O,X,X,X,O,X,X,X,X,X,X
LZITJOS,X,X,X,X,O,X,X,X,X,X,X
LZITSJO,O,X,X,X,O,X,X,X,X,X,X
LZITSOJ,O,X,X,X,O,X,X,X,X,X,X
LZITOJS,X,X,X,X,O,O,X,X,X,X,X
LZITOSJ,X,X,X,X,O,O,X,X,X,X,X
LZIJTSO,O,X,X,X,O,O,X,X,X,X,X
LZIJTOS,X,X,X,X,O,O,X,X,X,X,X
LZIJSTO,O,X,O,X,O,X,X,X,O,X,X
LZIJSOT,O,X,O,X,O,X,X,X,X,X,X
LZIJOTS,X,X,X,X,O,X,X,X,X,X,X
LZIJOST,O,X,O,X,O,X,X,X,X,X,X
LZISTJO,O,X,O,X,O,X,X,X,O,O,X
LZISTOJ,O,X,X,X,O,X,X,X,O,O,X
LZISJTO,O,X,O,X,O,X,X,X,O,X,X
LZISJOT,O,X,O,X,O,X,X,X,X,X,X
LZISOTJ,O,X,X,X,O,X,X,X,X,X,X
LZISOJT,O,X,X,X,O,X,X,X,X,X,X
LZIOTJS,X,X,X,X,O,X,X,X,X,X,X
LZIOTSJ,X,X,X,X,O,X,X,X,X,X,X
LZIOJTS,X,X,X,X,O,X,X,X,X,X,X
LZIOJST,O,X,X,X,O,X,X,X,X,X,X
LZIOSTJ,O,X,X,X,O,X,X,X,X,X,X
LZIOSJT,O,X,X,X,O,X,X,X,X,X,X
LZJTISO,O,X,X,O,O,O,O,O,X,X,X
LZJTIOS,X,X,X,O,O,O,O,X,X,X,X
LZJTSIO,O,X,O,O,O,O,O,O,O,X,X
LZJTSOI,O,X,O,O,O,O,O,X,O,X,X
LZJTOIS,X,X,X,O,O,O,O,X,X,X,X
LZJTOSI,O,X,O,O,O,O,O,X,X,X,X
LZJITSO,O,X,X,X,O,O,X,X,X,X,X
LZJITOS,X,X,X,X,O,O,X,X,X,X,X
LZJISTO,O,X,O,X,O,X,X,X,O,X,X
LZJISOT,O,X,O,X,O,X,X,X,X,X,X
LZJIOTS,X,X,X,X,O,X,X,X,X,X,X
LZJIOST,O,X,O,X,O,X,X,X,X,X,X
LZJSTIO,O,X,O,O,O,O,O,O,O,X,X
LZJSTOI,O,X,O,O,O,O,O,X,O,X,X
LZJSITO,O,X,O,X,O,X,X,O,O,X,X
LZJSIOT,O,X,O,O,O,X,X,O,X,X,X
LZJSOTI,O,X,O,O,O,O,X,X,X,X,X
LZJSOIT,O,X,O,O,O,X,X,X,X,X,X
LZJOTIS,X,X,X,O,O,O,O,X,X,X,X
LZJOTSI,O,X,O,O,O,O,O,X,X,X,X
LZJOITS,X,X,X,X,O,X,X,X,X,X,X
LZJOIST,O,X,O,X,O,X,X,X,X,X,X
LZJOSTI,O,X,O,O,O,X,X,X,X,X,X
LZJOSIT,O,X,O,O,O,X,X,X,X,X,X
LZSTIJO,O,X,O,O,O,X,O,X,O,O,X
LZSTIOJ,O,X,X,X,O,X,O,O,O,O,X
LZSTJIO,O,X,O,O,O,X,O,X,O,O,X
LZSTJOI,O,X,O,O,O,X,O,X,O,O,X
LZSTOIJ,O,X,X,X,O,X,O,X,O,O,X
LZSTOJI,O,X,X,X,O,X,O,X,O,O,X
LZSITJO,O,X,O,X,O,X,X,X,O,O,X
LZSITOJ,O,X,X,X,O,X,X,O,O,O,X
LZSIJTO,O,X,O,X,O,X,X,O,O,X,X
LZSIJOT,O,X,O,O,O,X,X,O,X,X,X
LZSIOTJ,O,X,X,X,O,X,X,O,X,X,X
LZSIOJT,O,X,X,X,O,X,X,O,X,X,X
LZSJTIO,O,X,O,O,O,X,O,O,O,X,X
LZSJTOI,O,X,O,O,O,X,O,X,O,X,X
LZSJITO,O,X,O,X,O,X,X,O,O,X,X
LZSJIOT,O,X,O,O,O,X,X,O,X,X,X
LZSJOTI,O,X,O,O,O,X,X,X,X,X,X
LZSJOIT,O,X,O,O,O,X,X,X,X,X,X
LZSOTIJ,O,X,X,X,O,X,X,X,X,X,X
LZSOTJI,O,X,X,X,O,X,X,X,X,X,X
LZSOITJ,O,X,X,X,O,X,X,X,X,X,X
LZSOIJT,O,X,X,X,O,X,X,X,X,X,X
LZSOJTI,O,X,X,X,O,X,X,X,X,X,X
LZSOJIT,O,X,X,X,O,X,X,X,X,X,X
LZOTIJS,X,X,X,X,O,O,O,X,X,X,X
LZOTISJ,X,X,X,X,O,O,O,X,X,X,X
LZOTJIS,X,X,X,X,O,O,O,X,X,X,X
LZOTJSI,O,X,X,X,O,O,O,X,X,X,X
LZOTSIJ,O,X,X,X,O,O,O,X,X,O,X
LZOTSJI,O,X,X,X,O,O,O,X,X,O,X
LZOITJS,X,X,X,X,O,X,X,X,X,X,X
LZOITSJ,X,X,X,X,O,X,X,X,X,X,X
LZOIJTS,X,X,X,X,O,X,X,X,X,X,X
LZOIJST,O,X,X,X,O,X,X,X,X,X,X
LZOISTJ,O,X,X,X,O,X,X,X,X,O,X
LZOISJT,O,X,X,X,O,X,X,X,X,X,X
LZOJTIS,X,X,X,X,O,O,O,X,X,X,X
LZOJTSI,O,X,X,X,O,O,O,X,X,X,X
LZOJITS,X,X,X,X,O,X,X,X,X,X,X
LZOJIST,O,X,X,X,O,X,X,X,X,X,X
LZOJSTI,O,X,X,X,O,X,X,X,X,X,X
LZOJSIT,O,X,X,X,O,X,X,X,X,X,X
LZOSTIJ,O,X,X,X,O,X,X,X,X,O,X
LZOSTJI,O,X,X,X,O,X,X,X,X,O,X
LZOSITJ,O,X,X,X,O,X,X,X,X,O,X
LZOSIJT,O,X,X,X,O,X,X,X,X,X,X
LZOSJTI,O,X,X,X,O,X,X,X,X,X,X
LZOSJIT,O,X,X,X,O,X,X,X,X,X,X
LOTIJSZ,X,O,X,X,X,O,X,O,X,X,X
LOTIJZS,X,X,X,X,O,O,X,O,X,X,X
LOTISJZ,X,O,X,X,O,X,X,O,X,O,X
LOTISZJ,X,O,X,X,O,O,O,O,X,O,X
LOTIZJS,X,X,X,X,O,O,O,X,X,X,X
LOTIZSJ,X,X,X,X,O,O,O,O,X,X,X
LOTJISZ,X,O,O,X,X,O,X,O,X,X,O
LOTJIZS,X,X,X,X,O,O,X,O,X,X,O
LOTJSIZ,X,O,O,X,X,O,X,O,X,O,O
LOTJSZI,X,O,O,X,X,O,O,O,X,O,X
LOTJZIS,X,X,X,X,O,O,O,O,X,X,X
LOTJZSI,X,O,O,X,O,O,O,O,X,X,X
LOTSIJZ,X,O,O,X,O,X,X,O,X,O,X
LOTSIZJ,O,O,X,X,O,O,O,O,O,O,X
LOTSJIZ,X,O,O,X,O,O,X,O,X,O,O
LOTSJZI,X,O,O,X,O,O,O,O,X,O,X
LOTSZIJ,O,O,X,X,O,O,O,O,O,O,X
LOTSZJI,O,O,X,X,O,O,O,O,O,O,X
LOTZIJS,X,X,X,X,O,O,O,X,X,X,X
LOTZISJ,X,X,X,X,O,O,O,O,X,X,X
LOTZJIS,X,X,X,X,O,O,O,O,X,X,X
LOTZJSI,O,X,X,X,O,O,O,O,X,X,X
LOTZSIJ,O,O,X,X,O,O,O,O,X,O,X
LOTZSJI,O,O,X,X,O,O,O,O,X,O,X
LOITJSZ,X,O,X,X,X,O,X,O,X,X,X
LOITJZS,X,X,X,X,O,O,X,O,X,X,X
LOITSJZ,X,O,X,X,O,X,X,O,X,O,X
LOITSZJ,X,O,X,X,O,O,X,O,X,O,X
LOITZJS,X,X,X,X,O,O,X,X,X,X,X
LOITZSJ,X,X,X,X,O,O,X,O,X,X,X
LOIJTSZ,X,O,O,X,X,O,X,O,X,X,O
LOIJTZS,X,X,X,X,X,O,X,O,X,X,O
LOIJSTZ,X,O,O,X,X,X,X,O,O,O,O
LOIJSZT,X,O,O,X,X,X,X,O,X,X,O
LOIJZTS,X,X,X,X,O,X,X,X,X,X,O
LOIJZST,X,O,O,X,O,X,X,X,X,X,O
LOISTJZ,X,O,O,X,X,X,X,O,X,O,X
LOISTZJ,O,O,X,X,O,X,X,O,O,O,X
LOISJTZ,X,O,O,X,X,X,X,O,O,O,O
LOISJZT,X,O,O,X,O,X,X,O,X,X,O
LOISZTJ,O,O,X,X,O,X,X,O,X,O,X
LOISZJT,O,O,X,X,O,X,X,O,X,X,X
LOIZTJS,X,X,X,X,O,X,X,X,X,X,X
LOIZTSJ,X,X,X,X,O,X,X,X,X,X,X
LOIZJTS,X,X,X,X,O,X,X,X,X,X,X
LOIZJST,O,O,X,X,O,X,X,X,X,X,X
LOIZSTJ,O,O,X,X,O,X,X,X,X,O,X
LOIZSJT,O,O,X,X,O,X,X,X,X,X,X
LOJTISZ,X,O,O,X,X,O,X,O,X,X,O
LOJTIZS,X,X,X,X,O,O,X,O,X,X,O
LOJTSIZ,X,O,O,X,X,O,X,O,O,O,O
LOJTSZI,X,O,O,X,X,O,X,O,O,O,X
LOJTZIS,X,X,X,X,O,O,X,O,X,X,X
LOJTZSI,X,O,O,X,O,O,X,O,X,X,X
LOJITSZ,X,O,O,X,X,O,X,O,X,X,O
LOJITZS,X,X,X,X,X,O,X,O,X,X,O
LOJISTZ,X,O,O,X,X,X,X,O,O,O,O
LOJISZT,X,O,O,X,X,X,X,O,X,X,O
LOJIZTS,X,X,X,X,O,X,X,X,X,X,O
LOJIZST,X,O,O,X,O,X,X,X,X,X,O
LOJSTIZ,X,O,O,X,X,O,X,O,O,O,O
LOJSTZI,X,O,O,X,X,O,X,O,O,O,X
LOJSITZ,X,O,O,X,X,O,X,O,O,O,O
LOJSIZT,X,O,O,X,X,X,X,O,X,X,O
LOJSZTI,X,O,O,X,X,O,X,O,X,X,X
LOJSZIT,X,O,O,X,X,X,X,O,X,X,O
LOJZTIS,X,X,X,X,O,O,X,O,X,X,X
LOJZTSI,X,O,O,X,O,O,X,O,X,X,X
LOJZITS,X,X,X,X,O,X,X,X,X,X,O
LOJZIST,X,O,O,X,O,X,X,X,X,X,O
LOJZSTI,X,O,O,X,O,X,X,O,X,X,X
LOJZSIT,X,O,O,X,O,X,X,O,X,X,O
LOSTIJZ,X,O,O,X,O,X,X,O,X,O,X
LOSTIZJ,O,O,X,X,O,O,X,O,O,O,X
LOSTJIZ,X,O,O,X,O,O,X,O,X,O,O
LOSTJZI,X,O,O,X,O,O,X,O,X,O,X
LOSTZIJ,O,O,X,X,O,O,X,O,O,O,X
LOSTZJI,O,O,X,X,O,O,X,O,O,O,X
LOSITJZ,X,O,O,X,O,X,X,O,X,O,X
LOSITZJ,O,O,X,X,O,X,X,O,O,O,X
LOSIJTZ,X,O,O,X,X,X,X,O,O,O,O
LOSIJZT,X,O,O,X,O,X,X,O,X,X,O
LOSIZTJ,O,O,X,X,O,X,X,O,X,O,X
LOSIZJT,O,O,X,X,O,X,X,O,X,X,X
LOSJTIZ,X,O,O,X,O,O,X,O,O,O,O
LOSJTZI,X,O,O,X,O,O,X,O,O,O,X
LOSJITZ,X,O,O,X,X,X,X,O,O,O,O
LOSJIZT,X,O,O,X,O,X,X,O,X,X,O
LOSJZTI,X,O,O,X,O,X,X,O,X,X,X
LOSJZIT,X,O,O,X,O,X,X,O,X,X,O
LOSZTIJ,O,O,X,X,O,X,X,O,X,O,X
LOSZTJI,O,O,X,X,O,X,X,O,X,O,X
LOSZITJ,O,O,X,X,O,X,X,O,X,O,X
LOSZIJT,O,O,X,X,O,X,X,O,X,X,X
LOSZJTI,O,O,X,X,O,X,X,O,X,X,X
LOSZJIT,O,O,X,X,O,X,X,O,X,X,O
LOZTIJS,X,X,X,X,O,O,O,X,X,X,X
LOZTISJ,X,X,X,X,O,O,O,O,X,X,X
LOZTJIS,X,X,X,X,O,O,O,O,X,X,X
LOZTJSI,O,X,X,X,O,O,O,O,X,X,X
LOZTSIJ,O,O,X,X,O,O,O,O,X,O,X
LOZTSJI,O,O,X,X,O,O,O,O,X,O,X
LOZITJS,X,X,X,X,O,X,X,X,X,X,X
LOZITSJ,X,X,X,X,O,X,X,X,X,X,X
LOZIJTS,X,X,X,X,O,X,X,X,X,X,X
LOZIJST,O,O,X,X,O,X,X,X,X,X,X
LOZISTJ,O,O,X,X,O,X,X,X,X,O,X
LOZISJT,O,O,X,X,O,X,X,X,X,X,X
