sequence,v115@zgB8GeD8FeC8GeC8GeG8AeC8Jem7IvhFCdBZjBclBT?iBXmBFsB,v115@zgB8GeD8FeC8GeC8GeG8AeC8Jex7IvhFyhBzdBclBX?mBmnBFsB,v115@zgB8GeD8FeC8GeC8GeG8AeC8Jel7IvhFRdBXhB8mBz?iB2qBisB,v115@zgB8GeD8FeC8GeC8GeG8AeC8Jel7IvhFchBZjB6nBX?iBTlBmrB,v115@zgB8GeD8FeC8GeC8GeG8AeC8Jex7IvhFamBFiB8nBT?lBfsBmsB,v115@zgB8GeD8FeC8GeC8GeG8AeC8Jem9IvhFRhBfoBTgB0?hByqBFsB,v115@zgB8GeD8FeC8GeC8GeG8AeC8Jex8IvhFyiB3gBcmBm?nBTlBFsB,v115@zgB8GeD8FeC8GeC8GeG8AeC8JefCJvhF6iBZjBUhBT?lBmlBFsB,v115@zgB8GeD8FeC8GeC8GeG8AeC8JeR9IvhFFhBTiBeoB0?lBfsBiqB,v115@zgB8GeD8FeC8GeC8GeG8AeC8Je8CJvhF3gBzhBmgBy?sBxqBFsB
IOSZTJL,O,X,X,X,X,X,X,O,X,X
IOSZLTJ,X,X,X,X,O,X,X,O,X,O
IOSZLJT,O,X,X,X,O,X,X,O,X,O
IOSZJTL,O,X,X,X,X,X,X,X,X,X
IOSZJLT,O,X,X,X,X,X,X,O,X,X
IOZTLJS,O,X,X,O,X,X,X,X,X,X
IOZTLSJ,O,X,X,X,O,X,X,O,X,X
IOZTJLS,O,O,X,O,X,X,X,X,X,X
IOZTJSL,O,O,X,O,X,X,X,O,X,X
IOZTSLJ,O,X,X,X,X,X,X,O,X,X
IOZTSJL,O,X,X,X,X,X,X,O,X,X
IOZLTJS,X,X,X,O,X,X,X,X,X,X
IOZLTSJ,X,X,X,X,O,X,X,O,X,O
IOZLJTS,X,X,X,O,X,X,X,X,X,X
IOZLJST,X,X,X,O,O,X,X,X,X,O
IOZLSTJ,X,X,X,X,O,X,X,O,X,O
IOZLSJT,X,X,X,X,O,X,X,O,X,O
IOZJTLS,O,O,X,O,X,X,X,X,X,X
IOZJTSL,O,X,X,O,X,X,X,O,X,X
IOZJLTS,X,O,X,O,X,X,X,X,X,X
IOZJLST,X,O,X,O,O,X,X,X,X,X
IOZJSTL,O,O,X,O,X,X,X,X,X,X
IOZJSLT,O,O,X,O,X,X,X,O,X,X
IOZSTLJ,O,O,X,X,O,X,X,O,X,X
IOZSTJL,O,O,X,X,X,X,X,O,X,X
IOZSLTJ,X,O,X,X,O,X,X,O,X,O
IOZSLJT,O,O,X,X,O,X,X,O,X,O
IOZSJTL,O,O,X,X,X,X,X,X,X,X
IOZSJLT,O,O,X,X,X,X,X,O,X,X
LTIJSZO,X,X,O,O,X,O,X,O,X,X
LTIJSOZ,X,X,O,X,X,O,X,X,X,X
LTIJZSO,X,X,O,O,X,X,X,X,X,X
LTIJZOS,X,X,O,O,X,X,X,X,X,X
LTIJOSZ,X,X,O,X,X,X,X,X,X,X
LTIJOZS,X,X,O,O,X,X,X,X,X,X
LTISJZO,O,X,X,O,X,O,X,O,X,X
LTISJOZ,X,X,X,X,X,O,X,X,X,X
LTISZJO,O,X,X,X,X,O,X,O,X,X
LTISZOJ,O,X,X,X,X,X,X,O,X,O
LTISOJZ,O,X,X,X,X,O,X,X,X,X
LTISOZJ,O,X,X,X,X,X,X,O,X,O
LTIZJSO,X,O,O,O,X,X,X,X,X,X
LTIZJOS,O,O,O,O,X,X,X,X,X,X
LTIZSJO,X,X,O,X,X,O,X,O,X,X
LTIZSOJ,X,X,O,X,X,X,X,O,X,O
LTIZOJS,O,X,O,X,X,X,X,X,X,X
LTIZOSJ,O,X,O,X,X,X,X,X,X,O
LTIOJSZ,O,X,O,O,X,X,X,X,X,X
LTIOJZS,O,X,O,O,X,X,X,X,X,X
LTIOSJZ,O,X,O,O,X,O,X,X,X,X
LTIOSZJ,O,X,O,X,X,X,X,O,X,O
LTIOZJS,O,X,O,O,X,X,X,X,X,X
LTIOZSJ,O,X,O,X,X,X,X,O,X,O
LTJISZO,X,X,O,O,X,O,O,O,X,X
LTJISOZ,X,X,O,X,X,O,X,X,X,X
LTJIZSO,X,O,O,O,X,X,O,X,X,X
LTJIZOS,X,O,O,O,X,X,O,X,X,X
LTJIOSZ,X,X,O,X,X,X,X,X,X,X
LTJIOZS,X,O,O,O,X,X,O,X,X,X
LTJSIZO,X,O,O,O,X,O,O,O,X,X
LTJSIOZ,X,O,O,X,X,O,X,X,X,X
LTJSZIO,X,O,O,O,X,O,O,O,X,X
LTJSZOI,X,O,O,X,X,X,O,X,X,X
LTJSOIZ,X,O,O,X,X,O,X,X,X,X
LTJSOZI,X,O,O,X,X,X,X,X,X,X
LTJZISO,X,O,O,O,X,X,O,X,X,X
LTJZIOS,X,O,O,O,X,X,O,X,X,X
LTJZSIO,X,O,O,O,X,X,O,X,X,X
LTJZSOI,X,O,O,X,X,X,O,X,X,X
LTJZOIS,X,O,O,O,X,X,O,X,X,X
LTJZOSI,X,O,O,X,X,X,O,X,X,X
LTJOISZ,X,X,O,X,X,X,X,X,X,X
LTJOIZS,X,O,O,O,X,X,O,X,X,X
LTJOSIZ,X,O,O,X,X,X,X,X,X,X
LTJOSZI,X,O,O,X,X,X,X,X,X,X
LTJOZIS,X,O,O,O,X,X,O,X,X,X
LTJOZSI,X,O,O,X,X,X,O,X,X,X
LTSIJZO,O,O,X,O,X,O,X,O,X,X
LTSIJOZ,X,O,X,X,X,O,X,X,X,X
LTSIZJO,O,O,X,X,X,O,X,O,X,X
LTSIZOJ,O,O,X,X,X,X,X,O,X,X
LTSIOJZ,O,X,X,X,X,O,X,X,X,X
LTSIOZJ,O,X,X,X,X,X,X,O,X,X
LTSJIZO,O,O,O,O,X,O,X,O,X,X
LTSJIOZ,X,O,O,X,X,O,X,X,X,X
LTSJZIO,O,O,O,O,X,O,X,O,X,X
LTSJZOI,O,O,O,X,X,X,X,X,X,X
LTSJOIZ,X,O,O,X,X,O,X,X,X,X
LTSJOZI,X,O,O,X,X,X,X,X,X,X
LTSZIJO,O,O,O,X,X,O,X,O,X,X
LTSZIOJ,O,O,O,X,O,X,X,O,X,X
LTSZJIO,O,O,X,X,X,O,X,O,X,X
LTSZJOI,O,O,X,X,O,X,X,X,X,X
LTSZOIJ,O,O,O,X,O,X,X,O,X,X
LTSZOJI,O,O,X,X,O,X,X,X,X,X
LTSOIJZ,O,X,O,X,X,O,X,X,X,X
LTSOIZJ,O,X,O,X,X,X,X,O,X,X
LTSOJIZ,O,O,O,X,X,O,X,X,X,X
LTSOJZI,O,O,O,X,X,X,X,X,X,X
LTSOZIJ,O,O,O,X,X,X,X,O,X,X
LTSOZJI,O,O,X,X,X,X,X,X,X,X
LTZIJSO,X,O,O,O,X,X,O,X,X,X
LTZIJOS,O,O,O,O,X,X,O,X,X,X
LTZISJO,X,X,O,X,X,O,O,O,X,X
LTZISOJ,X,X,O,X,X,X,X,O,X,O
LTZIOJS,O,X,O,X,X,X,X,X,X,X
LTZIOSJ,O,X,O,X,X,X,X,X,X,O
LTZJISO,X,O,O,O,X,X,O,X,X,X
LTZJIOS,O,O,O,O,X,X,O,X,X,X
LTZJSIO,X,O,O,O,X,X,O,X,X,X
LTZJSOI,X,O,O,X,X,X,O,X,X,X
LTZJOIS,O,O,O,O,X,X,O,X,X,X
LTZJOSI,O,O,O,X,X,X,O,X,X,X
LTZSIJO,X,X,O,X,X,O,O,O,X,X
LTZSIOJ,X,X,O,X,O,X,X,O,X,X
LTZSJIO,X,X,O,X,X,O,O,O,X,X
LTZSJOI,X,X,O,X,O,X,O,X,X,X
LTZSOIJ,X,X,O,X,O,X,X,O,X,X
LTZSOJI,X,X,O,X,O,X,X,X,X,X
LTZOIJS,O,X,O,X,X,X,X,X,X,X
LTZOISJ,O,X,O,X,X,X,X,X,X,X
LTZOJIS,O,X,O,X,X,X,X,X,X,X
LTZOJSI,O,X,O,X,X,X,X,X,X,X
LTZOSIJ,O,X,O,X,X,X,X,X,X,X
LTZOSJI,O,X,O,X,X,X,X,X,X,X
LTOIJSZ,O,X,O,O,X,X,X,X,X,X
LTOIJZS,O,X,O,O,X,X,X,X,X,X
LTOISJZ,O,X,O,O,X,O,X,X,X,X
LTOISZJ,O,X,O,X,X,X,X,O,X,X
LTOIZJS,O,X,O,O,X,X,X,X,X,X
LTOIZSJ,O,X,O,X,X,X,X,O,X,X
LTOJISZ,O,X,O,O,X,X,X,X,X,X
LTOJIZS,O,X,O,O,X,X,X,X,X,X
LTOJSIZ,O,X,O,O,X,X,X,X,X,X
LTOJSZI,O,X,O,O,X,X,X,X,X,X
LTOJZIS,O,X,O,O,X,X,X,X,X,X
LTOJZSI,O,X,O,O,X,X,X,X,X,X
LTOSIJZ,O,X,O,O,X,O,X,X,X,X
LTOSIZJ,O,X,O,X,X,X,X,O,X,X
LTOSJIZ,O,X,O,O,X,O,X,X,X,X
LTOSJZI,O,X,O,O,X,X,X,X,X,X
LTOSZIJ,O,X,O,X,X,X,X,O,X,X
LTOSZJI,O,X,X,X,X,X,X,X,X,X
LTOZIJS,O,X,O,O,X,X,X,X,X,X
LTOZISJ,O,X,O,X,X,X,X,O,X,X
LTOZJIS,O,X,O,O,X,X,X,X,X,X
LTOZJSI,O,X,O,O,X,X,X,X,X,X
LTOZSIJ,O,X,O,X,X,X,X,O,X,X
LTOZSJI,O,X,O,X,X,X,X,O,X,X
LITJSZO,X,X,O,O,X,O,X,O,X,X
LITJSOZ,X,X,O,X,X,O,X,X,X,X
LITJZSO,X,X,O,O,X,X,X,X,X,X
LITJZOS,X,X,O,O,X,X,X,X,X,X
LITJOSZ,X,X,O,X,X,X,X,X,X,X
LITJOZS,X,X,O,O,X,X,X,X,X,X
LITSJZO,O,X,X,O,X,O,X,O,X,X
LITSJOZ,X,X,X,X,X,O,X,X,X,X
LITSZJO,O,X,X,X,X,O,X,O,X,X
LITSZOJ,O,X,X,X,X,X,X,O,X,O
LITSOJZ,O,X,X,X,X,O,X,X,X,X
LITSOZJ,O,X,X,X,X,X,X,O,X,O
LITZJSO,X,O,O,O,X,X,X,X,X,X
LITZJOS,O,O,O,O,X,X,X,X,X,X
LITZSJO,X,X,O,X,X,O,X,O,X,X
LITZSOJ,X,X,O,X,X,X,X,O,X,O
LITZOJS,O,X,O,X,X,X,X,X,X,X
LITZOSJ,O,X,O,X,X,X,X,X,X,O
LITOJSZ,O,X,O,O,X,X,X,X,X,X
LITOJZS,O,X,O,O,X,X,X,X,X,X
LITOSJZ,O,X,O,O,X,O,X,X,X,X
LITOSZJ,O,X,O,X,X,X,X,O,X,O
LITOZJS,O,X,O,O,X,X,X,X,X,X
LITOZSJ,O,X,O,X,X,X,X,O,X,O
LIJTSZO,X,X,O,O,X,O,X,X,X,X
LIJTSOZ,X,X,O,X,X,O,X,X,X,X
LIJTZSO,X,X,O,O,X,X,X,X,X,X
LIJTZOS,X,X,O,O,X,X,X,X,X,X
LIJTOSZ,X,X,O,X,X,X,X,X,X,X
LIJTOZS,X,X,O,O,X,X,X,X,X,X
LIJSTZO,X,X,O,O,X,O,X,X,X,X
LIJSTOZ,X,X,O,X,X,O,X,X,X,X
LIJSZTO,X,X,X,O,X,O,X,X,X,X
LIJSZOT,X,X,X,X,X,O,X,X,X,O
LIJSOTZ,X,X,O,X,X,O,X,X,X,X
LIJSOZT,X,X,X,X,X,O,X,X,X,O
LIJZTSO,X,X,O,O,X,X,X,X,X,X
LIJZTOS,O,X,O,O,X,X,X,X,X,X
LIJZSTO,O,X,O,O,X,X,X,X,X,X
LIJZSOT,O,X,O,X,X,X,X,X,X,O
LIJZOTS,X,X,O,O,X,X,X,X,X,X
LIJZOST,X,X,O,X,X,X,X,X,X,O
LIJOTSZ,X,X,O,O,X,X,X,X,X,X
LIJOTZS,X,X,O,O,X,X,X,X,X,X
LIJOSTZ,X,X,O,O,X,X,X,X,X,X
LIJOSZT,X,X,O,O,X,X,X,X,X,O
LIJOZTS,X,X,O,O,X,X,X,X,X,X
LIJOZST,X,X,O,O,X,X,X,X,X,O
LISTJZO,O,X,X,O,X,O,X,X,X,X
LISTJOZ,X,X,X,X,X,O,X,X,X,X
LISTZJO,O,X,X,X,X,O,X,X,X,X
LISTZOJ,O,X,X,X,X,X,X,X,X,O
LISTOJZ,O,X,X,X,X,O,X,X,X,X
LISTOZJ,O,X,X,X,X,X,X,X,X,O
LISJTZO,X,X,X,O,X,O,X,X,X,X
LISJTOZ,X,X,X,X,X,O,X,X,X,X
LISJZTO,O,X,X,O,X,O,X,X,X,X
LISJZOT,O,X,X,X,X,O,X,X,X,O
LISJOTZ,X,X,X,X,X,O,X,X,X,X
LISJOZT,X,X,X,X,X,O,X,X,X,O
LISZTJO,O,X,X,X,X,X,X,X,X,X
LISZTOJ,O,X,X,X,O,X,X,X,X,O
LISZJTO,O,X,X,X,X,O,X,X,X,X
LISZJOT,O,X,X,X,X,O,X,X,X,O
LISZOTJ,X,X,X,X,X,X,X,X,X,O
LISZOJT,O,X,X,X,X,X,X,X,X,O
LISOTJZ,X,X,X,O,X,X,X,X,X,X
LISOTZJ,X,X,X,X,X,X,X,X,X,O
LISOJTZ,X,X,X,O,X,O,X,X,X,X
LISOJZT,X,X,X,O,X,O,X,X,X,O
LISOZTJ,X,X,X,X,X,X,X,X,X,O
LISOZJT,O,X,X,X,X,X,X,X,X,O
LIZTJSO,X,O,O,O,X,X,X,X,X,X
LIZTJOS,O,O,O,O,X,X,X,X,X,X
LIZTSJO,X,X,O,X,X,O,X,X,X,X
LIZTSOJ,X,X,O,X,X,X,X,X,X,O
LIZTOJS,O,X,O,X,X,X,X,X,X,X
LIZTOSJ,O,X,O,X,X,X,X,X,X,O
LIZJTSO,X,X,O,O,X,X,X,X,X,X
LIZJTOS,O,O,O,O,X,X,X,X,X,X
LIZJSTO,O,O,O,O,X,X,X,X,X,X
LIZJSOT,O,O,O,X,X,X,X,X,X,O
LIZJOTS,X,O,O,O,X,X,X,X,X,X
LIZJOST,X,O,O,X,X,X,X,X,X,O
LIZSTJO,O,O,O,X,X,X,X,X,X,X
LIZSTOJ,O,O,O,X,O,X,X,X,X,O
LIZSJTO,O,O,O,X,X,O,X,X,X,X
LIZSJOT,O,O,O,X,X,O,X,X,X,O
LIZSOTJ,X,O,O,X,X,X,X,X,X,O
LIZSOJT,O,O,O,X,X,X,X,X,X,O
LIZOTJS,X,X,O,O,X,X,X,X,X,X
LIZOTSJ,X,X,O,X,X,X,X,X,X,O
LIZOJTS,X,X,O,O,X,X,X,X,X,X
LIZOJST,X,X,O,O,X,X,X,X,X,O
LIZOSTJ,X,X,O,X,X,X,X,X,X,O
LIZOSJT,X,X,O,X,X,X,X,X,X,O
LIOTJSZ,X,X,O,O,X,X,X,X,X,X
LIOTJZS,X,X,O,O,X,X,X,X,X,X
LIOTSJZ,X,X,O,O,X,O,X,X,X,X
LIOTSZJ,X,X,O,X,O,X,X,X,X,O
LIOTZJS,X,X,O,O,X,X,X,X,X,X
LIOTZSJ,X,X,O,X,O,X,X,O,X,O
LIOJTSZ,X,X,O,O,X,X,X,X,X,X
LIOJTZS,X,X,O,O,X,X,X,X,X,X
LIOJSTZ,X,X,O,O,X,X,X,X,X,X
LIOJSZT,X,X,O,O,O,X,X,X,X,O
LIOJZTS,X,X,O,O,X,X,X,X,X,X
LIOJZST,X,X,O,O,O,X,X,X,X,O
LIOSTJZ,X,X,O,O,X,X,X,X,X,X
LIOSTZJ,X,X,O,X,O,X,X,X,X,O
LIOSJTZ,X,X,O,O,X,O,X,X,X,X
LIOSJZT,X,X,O,O,O,O,X,X,X,O
LIOSZTJ,X,X,O,X,O,X,X,X,X,O
LIOSZJT,X,X,O,X,O,X,X,X,X,O
LIOZTJS,X,X,O,O,X,X,X,X,X,X
LIOZTSJ,X,X,O,X,O,X,X,O,X,O
LIOZJTS,X,X,O,O,X,X,X,X,X,X
LIOZJST,X,X,O,O,O,X,X,X,X,O
LIOZSTJ,X,X,O,X,O,X,X,O,X,O
LIOZSJT,X,X,O,X,O,X,X,O,X,O
LJTISZO,X,X,O,O,X,O,X,X,X,X
LJTISOZ,X,X,O,X,X,O,X,X,X,X
LJTIZSO,X,X,O,O,X,X,O,X,X,X
LJTIZOS,X,X,O,O,X,X,X,X,X,X
LJTIOSZ,X,X,O,X,X,X,X,X,X,X
LJTIOZS,X,X,O,O,X,X,X,X,X,X
LJTSIZO,X,X,O,O,X,O,X,X,X,X
LJTSIOZ,X,X,O,X,X,O,X,X,X,X
LJTSZIO,X,X,O,O,X,O,X,X,X,X
LJTSZOI,X,X,O,X,X,X,X,X,X,X
LJTSOIZ,X,X,O,X,X,O,X,X,X,X
LJTSOZI,X,X,O,X,X,X,X,X,X,X
LJTZISO,X,X,O,O,X,X,O,X,X,X
LJTZIOS,X,O,O,O,X,X,X,X,X,X
LJTZSIO,X,X,O,O,X,X,O,X,X,X
LJTZSOI,X,X,O,X,X,X,O,X,X,X
LJTZOIS,X,O,O,O,X,X,X,X,X,X
LJTZOSI,X,O,O,X,X,X,X,X,X,X
LJTOISZ,X,X,O,X,X,X,X,X,X,X
LJTOIZS,X,X,O,O,X,X,X,X,X,X
LJTOSIZ,X,X,O,X,X,X,X,X,X,X
LJTOSZI,X,X,O,X,X,X,X,X,X,X
LJTOZIS,X,O,O,O,X,X,X,X,X,X
LJTOZSI,X,O,O,X,X,X,X,X,X,X
LJITSZO,X,X,O,O,X,O,X,X,X,X
LJITSOZ,X,X,O,X,X,O,X,X,X,X
LJITZSO,X,X,O,O,X,X,O,X,X,X
LJITZOS,X,X,O,O,X,X,X,X,X,X
LJITOSZ,X,X,O,X,X,X,X,X,X,X
LJITOZS,X,X,O,O,X,X,X,X,X,X
LJISTZO,X,X,O,O,X,O,X,X,X,X
LJISTOZ,X,X,O,X,X,O,X,X,X,X
LJISZTO,X,X,X,O,X,O,O,X,X,X
LJISZOT,X,X,X,X,X,O,O,X,X,O
LJISOTZ,X,X,O,X,X,O,X,X,X,X
LJISOZT,X,X,X,X,X,O,X,X,X,O
LJIZTSO,X,X,O,O,X,X,O,X,X,X
LJIZTOS,O,O,O,O,X,X,X,X,X,X
LJIZSTO,O,X,O,O,X,X,O,X,X,X
LJIZSOT,O,O,O,X,X,X,O,X,X,O
LJIZOTS,X,O,O,O,X,X,X,X,X,X
LJIZOST,X,O,O,X,X,X,O,X,X,O
LJIOTSZ,X,X,O,O,X,X,X,X,X,X
LJIOTZS,X,X,O,O,X,X,X,X,X,X
LJIOSTZ,X,X,O,O,X,X,X,X,X,X
LJIOSZT,X,X,O,O,X,X,X,X,X,O
LJIOZTS,X,O,O,O,X,X,X,X,X,X
LJIOZST,X,O,O,O,X,X,O,X,X,O
LJSTIZO,X,X,O,O,X,O,X,X,X,X
LJSTIOZ,X,X,O,X,X,O,X,X,X,X
LJSTZIO,X,O,O,O,X,O,X,X,X,X
LJSTZOI,X,O,O,X,X,X,X,X,X,X
LJSTOIZ,X,X,O,X,X,O,X,X,O,X
LJSTOZI,X,O,O,X,X,X,X,X,O,X
LJSITZO,X,X,O,O,X,O,X,X,X,X
LJSITOZ,X,X,O,X,X,O,X,X,X,X
LJSIZTO,X,O,X,O,X,O,O,X,X,X
LJSIZOT,X,O,X,X,X,O,O,X,X,X
LJSIOTZ,X,X,O,X,X,O,X,X,X,X
LJSIOZT,X,O,X,X,X,O,X,X,X,X
LJSZTIO,X,O,O,O,X,O,O,X,X,X
LJSZTOI,X,O,O,X,O,X,O,X,O,X
LJSZITO,X,O,O,O,X,O,O,X,X,X
LJSZIOT,X,O,O,X,X,O,O,X,X,X
LJSZOTI,X,O,O,X,X,X,O,X,O,X
LJSZOIT,X,O,O,X,X,X,O,X,O,X
LJSOTIZ,X,X,O,X,X,O,X,X,O,X
LJSOTZI,X,O,O,X,X,X,X,X,O,X
LJSOITZ,X,X,O,X,X,O,X,X,O,X
LJSOIZT,X,O,O,X,X,O,X,X,O,X
LJSOZTI,X,O,O,X,X,X,X,X,O,X
LJSOZIT,X,O,O,X,X,X,X,X,O,X
LJZTISO,X,O,O,O,X,X,O,X,X,X
LJZTIOS,O,O,O,O,X,X,X,X,X,X
LJZTSIO,X,O,O,O,X,X,O,X,X,X
LJZTSOI,X,O,O,X,X,X,O,X,O,X
LJZTOIS,O,O,O,O,X,X,X,X,X,X
LJZTOSI,O,O,O,X,X,X,X,X,X,X
LJZITSO,X,X,O,O,X,X,O,X,X,X
LJZITOS,O,O,O,O,X,X,X,X,X,X
LJZISTO,O,O,O,O,X,X,O,X,X,X
LJZISOT,O,O,O,X,X,X,O,X,X,O
LJZIOTS,X,O,O,O,X,X,X,X,X,X
LJZIOST,X,O,O,X,X,X,O,X,X,O
LJZSTIO,O,O,O,O,X,X,O,X,X,X
LJZSTOI,O,O,O,X,O,X,O,X,O,X
LJZSITO,O,O,O,O,X,X,O,X,X,X
LJZSIOT,O,O,O,X,X,X,O,X,X,X
LJZSOTI,X,O,O,X,X,X,O,X,O,X
LJZSOIT,O,O,O,X,X,X,O,X,O,X
LJZOTIS,X,O,O,O,X,X,X,X,X,X
LJZOTSI,X,O,O,X,X,X,X,X,X,X
LJZOITS,X,O,O,O,X,X,X,X,X,X
LJZOIST,X,O,O,X,X,X,O,X,X,X
LJZOSTI,X,O,O,X,X,X,O,X,X,X
LJZOSIT,X,O,O,X,X,X,O,X,X,X
LJOTISZ,X,X,O,O,X,X,X,X,X,X
LJOTIZS,X,X,O,O,X,X,X,X,X,X
LJOTSIZ,X,X,O,O,X,X,X,X,X,X
LJOTSZI,X,X,O,O,X,X,X,X,X,X
LJOTZIS,X,O,O,O,X,X,X,X,X,X
LJOTZSI,X,O,O,O,X,X,X,X,X,X
LJOITSZ,X,X,O,O,X,X,X,X,X,X
LJOITZS,X,X,O,O,X,X,X,X,X,X
LJOISTZ,X,X,O,O,X,X,X,X,X,X
LJOISZT,X,X,O,O,X,X,X,X,X,X
LJOIZTS,X,O,O,O,X,X,X,X,X,X
LJOIZST,X,O,O,O,X,X,O,X,X,X
LJOSTIZ,X,X,O,O,X,X,X,X,X,X
LJOSTZI,X,O,O,O,X,X,X,X,X,X
LJOSITZ,X,X,O,O,X,X,X,X,X,X
LJOSIZT,X,O,O,O,X,X,X,X,X,X
LJOSZTI,X,O,O,O,X,X,X,X,X,X
LJOSZIT,X,O,O,O,X,X,X,X,X,X
LJOZTIS,X,O,O,O,X,X,X,X,X,X
LJOZTSI,X,O,O,O,X,X,X,X,X,X
LJOZITS,X,O,O,O,X,X,X,X,X,X
LJOZIST,X,O,O,O,X,X,O,X,X,X
LJOZSTI,X,O,O,O,X,X,O,X,X,X
LJOZSIT,X,O,O,O,X,X,O,X,X,X
LSTIJZO,O,O,X,O,X,O,X,X,X,X
LSTIJOZ,X,O,X,X,X,O,X,X,X,X
LSTIZJO,O,O,X,X,X,O,X,X,X,X
LSTIZOJ,O,O,X,X,X,X,X,X,X,X
LSTIOJZ,O,X,X,X,X,O,X,X,X,X
LSTIOZJ,O,X,X,X,X,X,X,X,X,X
LSTJIZO,O,O,O,O,X,O,X,X,X,X
LSTJIOZ,X,O,O,X,X,O,X,X,X,X
LSTJZIO,O,O,O,O,X,O,X,X,X,X
LSTJZOI,O,O,O,X,X,X,X,X,X,X
LSTJOIZ,X,O,O,X,X,O,X,X,O,X
LSTJOZI,X,O,O,X,X,X,X,X,O,X
LSTZIJO,O,O,O,X,X,O,X,X,X,X
LSTZIOJ,O,O,O,X,O,X,X,X,X,X
LSTZJIO,O,O,X,X,X,O,X,X,X,X
LSTZJOI,O,O,X,X,O,X,X,X,X,X
LSTZOIJ,O,O,O,X,O,X,X,X,X,X
LSTZOJI,O,O,X,X,O,X,X,X,X,X
LSTOIJZ,O,X,O,X,X,O,X,X,X,X
LSTOIZJ,O,X,O,X,X,X,X,X,X,X
LSTOJIZ,O,O,O,X,X,O,X,X,X,X
LSTOJZI,O,O,O,X,X,X,X,X,X,X
LSTOZIJ,O,O,O,X,X,X,X,X,X,X
LSTOZJI,O,O,X,X,X,X,X,X,X,X
LSITJZO,O,O,X,O,X,O,X,X,X,X
LSITJOZ,X,O,X,X,X,O,X,X,X,X
LSITZJO,O,O,X,X,X,O,X,X,X,X
LSITZOJ,O,O,X,X,X,X,X,X,X,O
LSITOJZ,O,X,X,X,X,O,X,X,X,X
LSITOZJ,O,X,X,X,X,X,X,X,X,O
LSIJTZO,X,X,X,O,X,O,X,X,X,X
LSIJTOZ,X,X,X,X,X,O,X,X,X,X
LSIJZTO,O,O,X,O,X,O,X,X,X,X
LSIJZOT,O,O,X,X,X,O,X,X,X,O
LSIJOTZ,X,X,X,X,X,O,X,X,X,X
LSIJOZT,X,O,X,X,X,O,X,X,X,O
LSIZTJO,O,O,X,X,X,X,X,X,X,X
LSIZTOJ,O,O,X,X,O,X,X,X,X,O
LSIZJTO,O,O,X,X,X,O,X,X,X,X
LSIZJOT,O,O,X,X,X,O,X,X,X,O
LSIZOTJ,X,O,X,X,X,X,X,X,X,O
LSIZOJT,O,O,X,X,X,X,X,X,X,O
LSIOTJZ,X,X,X,O,X,X,X,X,X,X
LSIOTZJ,X,X,X,X,X,X,X,X,X,O
LSIOJTZ,X,X,X,O,X,O,X,X,X,X
LSIOJZT,X,X,X,O,X,O,X,X,X,O
LSIOZTJ,X,X,X,X,X,X,X,X,X,O
LSIOZJT,O,X,X,X,X,X,X,X,X,O
LSJTIZO,X,O,O,O,X,O,X,X,X,X
LSJTIOZ,X,O,O,X,X,O,X,X,X,X
LSJTZIO,X,O,O,O,X,O,X,X,X,X
LSJTZOI,X,O,O,X,X,X,X,X,X,X
LSJTOIZ,X,O,O,X,X,O,X,X,O,X
LSJTOZI,X,O,O,X,X,X,X,X,O,X
LSJITZO,X,X,O,O,X,O,X,X,X,X
LSJITOZ,X,X,O,X,X,O,X,X,X,X
LSJIZTO,O,O,X,O,X,O,X,X,X,X
LSJIZOT,O,O,X,X,X,O,X,X,X,X
LSJIOTZ,X,X,O,X,X,O,X,X,X,X
LSJIOZT,X,O,X,X,X,O,X,X,X,X
LSJZTIO,O,O,O,O,X,O,X,X,X,X
LSJZTOI,X,O,O,X,O,X,X,X,O,X
LSJZITO,O,O,O,O,X,O,X,X,X,X
LSJZIOT,O,O,O,X,X,O,X,X,X,X
LSJZOTI,X,O,O,X,X,X,X,X,O,X
LSJZOIT,O,O,O,X,X,X,X,X,O,X
LSJOTIZ,X,X,O,X,X,O,X,X,O,X
LSJOTZI,X,O,O,X,X,X,X,X,O,X
LSJOITZ,X,X,O,X,X,O,X,X,O,X
LSJOIZT,X,O,O,X,X,O,X,X,O,X
LSJOZTI,X,O,O,X,X,X,X,X,O,X
LSJOZIT,X,O,O,X,X,X,X,X,O,X
LSZTIJO,O,O,O,X,X,O,X,X,X,X
LSZTIOJ,O,O,O,X,O,X,X,X,X,X
LSZTJIO,O,O,O,X,X,O,X,X,X,X
LSZTJOI,O,O,O,X,O,X,X,X,O,X
LSZTOIJ,O,O,O,X,O,X,X,X,X,X
LSZTOJI,O,O,O,X,O,X,X,X,X,X
LSZITJO,O,O,O,X,X,X,X,X,X,X
LSZITOJ,O,O,O,X,O,X,X,X,X,O
LSZIJTO,O,O,O,X,X,O,X,X,X,X
LSZIJOT,O,O,O,X,X,O,X,X,X,O
LSZIOTJ,X,O,O,X,X,X,X,X,X,O
LSZIOJT,O,O,O,X,X,X,X,X,X,O
LSZJTIO,O,O,O,X,X,O,X,X,X,X
LSZJTOI,O,O,O,X,O,X,X,X,O,X
LSZJITO,O,O,O,X,X,O,X,X,X,X
LSZJIOT,O,O,O,X,X,O,X,X,X,X
LSZJOTI,X,O,O,X,X,X,X,X,O,X
LSZJOIT,O,O,O,X,X,X,X,X,O,X
