sequence,v115@zgA8IeB8HeB8HeD8AeK8BeB8JeaAJvhFFcBxdBfmBG?nBToBUsB,v115@zgA8IeB8HeB8HeD8AeK8BeB8JeU7IvhFRcBfjB6jBl?hBmlBTsB,v115@zgA8IeB8HeB8HeD8AeK8BeB8JeR7IvhFFdBXeBTgBO?mBStBUsB,v115@zgA8IeB8HeB8HeD8AeK8BeB8JeF7IvhFxcB6jB3gBc?mBmnBTsB,v115@zgA8IeB8HeB8HeD8AeK8BeB8JeaAJvhFzbBRdB+jBU?iBFmB3sB,v115@zgA8IeB8HeB8HeD8AeK8BeB8JeF7IvhFxcBTeB3gBW?oBimBUsB,v115@zgA8IeB8HeB8HeD8AeK8BeB8JeF7IvhFXcBxdBSnBT?jBmlBUsB,v115@zgA8IeB8HeB8HeD8AeK8BeB8JeU7IvhFFcBxdBzhBS?oBmlB3sB,v115@zgA8IeB8HeB8HeD8AeK8BeB8JeR7IvhFFeBTgBOmBX?nBStBUsB,v115@zgA8IeB8HeB8HeD8AeK8BeB8JeR7IvhFfiB8iB+jBi?gBFmBTsB,v115@zgA8IeB8HeB8HeD8AeK8BeB8JeR7IvhFfjB6jBTgBO?mBVsBUsB,v115@zgA8IeB8HeB8HeD8AeK8BeB8JeaAJvhFzbB+jBRiB3?iBFmBUsB
IZTOSLJ,X,O,X,O,X,X,X,X,X,X,X,X
IZTOSJL,X,X,X,O,X,X,X,X,X,X,X,X
IZLTJSO,X,X,X,O,O,X,X,O,X,X,X,X
IZLTJOS,X,X,X,O,O,X,X,O,X,X,X,X
IZLTSJO,X,O,X,O,X,X,X,X,X,X,X,X
IZLTSOJ,X,O,X,O,X,X,X,X,X,X,X,X
IZLTOJS,X,X,X,O,O,X,X,O,O,X,X,X
IZLTOSJ,X,X,X,O,X,X,X,X,X,X,X,X
IZLJTSO,X,O,O,O,O,X,X,O,X,O,X,X
IZLJTOS,X,X,O,O,O,X,X,O,X,O,X,X
IZLJSTO,X,O,O,O,O,X,X,O,X,O,X,X
IZLJSOT,X,O,O,O,X,X,X,X,X,X,X,X
IZLJOTS,X,X,O,O,O,X,X,O,X,O,X,X
IZLJOST,X,X,O,O,X,X,X,O,X,X,X,X
IZLSTJO,X,O,O,O,X,X,X,X,X,X,X,X
IZLSTOJ,X,O,O,O,X,X,X,X,X,X,X,X
IZLSJTO,X,O,O,O,X,X,X,O,X,X,X,X
IZLSJOT,X,O,X,O,X,X,X,X,X,X,X,X
IZLSOTJ,X,O,O,O,X,X,X,X,X,X,X,X
IZLSOJT,X,O,O,O,X,X,X,O,X,X,X,X
IZLOTJS,X,X,X,O,X,X,X,O,O,X,X,X
IZLOTSJ,X,X,X,O,X,X,X,X,X,X,X,X
IZLOJTS,X,X,O,O,X,X,X,O,O,X,X,X
IZLOJST,X,X,O,O,X,X,X,O,O,X,X,X
IZLOSTJ,X,X,O,O,X,X,X,X,X,X,X,X
IZLOSJT,X,X,O,O,X,X,X,O,X,X,X,X
IZJTLSO,X,O,O,O,O,X,X,O,X,O,X,X
IZJTLOS,X,X,O,O,O,X,X,O,X,O,X,X
IZJTSLO,X,O,O,O,O,X,X,X,X,O,X,X
IZJTSOL,X,O,X,O,O,X,X,X,X,X,X,X
IZJTOLS,X,X,O,O,O,X,X,O,X,O,X,X
IZJTOSL,X,O,X,O,O,X,X,O,X,X,X,X
IZJLTSO,X,O,O,O,O,X,X,O,X,O,X,X
IZJLTOS,X,X,O,O,O,X,X,O,X,O,X,X
IZJLSTO,X,O,O,O,O,X,X,O,X,O,X,X
IZJLSOT,X,O,O,O,X,X,X,X,X,X,X,X
IZJLOTS,X,X,O,O,O,X,X,O,X,O,X,X
IZJLOST,X,O,O,O,X,X,X,O,X,X,X,X
IZJSTLO,X,O,O,O,O,X,X,X,X,O,X,X
IZJSTOL,X,O,X,O,O,X,X,X,X,X,X,X
IZJSLTO,X,O,O,O,O,X,X,X,X,O,X,X
IZJSLOT,X,O,O,O,X,X,X,X,X,X,X,X
IZJSOTL,X,O,X,O,X,X,X,X,X,X,X,X
IZJSOLT,X,O,X,O,X,X,X,X,X,X,X,X
IZJOTLS,X,O,O,O,O,X,X,O,X,O,X,X
IZJOTSL,X,O,X,O,O,X,X,O,X,X,X,X
IZJOLTS,X,X,O,O,O,X,X,O,X,O,X,X
IZJOLST,X,O,O,O,X,X,X,O,X,X,X,X
IZJOSTL,X,O,X,O,X,X,X,O,X,X,X,X
IZJOSLT,X,O,X,O,X,X,X,X,X,X,X,X
IZSTLJO,X,O,X,O,X,X,X,X,X,X,X,X
IZSTLOJ,X,O,X,O,X,X,X,X,X,X,X,X
IZSTJLO,X,O,X,O,X,X,X,X,X,X,X,X
IZSTJOL,X,X,X,O,X,X,X,X,X,X,X,X
IZSTOLJ,X,O,X,O,X,X,X,X,X,X,X,X
IZSTOJL,X,X,X,O,X,X,X,X,X,X,X,X
IZSLTJO,X,O,X,O,X,X,X,X,X,X,X,X
IZSLTOJ,X,O,X,O,X,X,X,X,X,X,X,X
IZSLJTO,X,O,X,O,X,X,X,X,X,X,X,X
IZSLJOT,X,O,X,O,X,X,X,X,X,X,X,X
IZSLOTJ,X,O,X,O,X,X,X,X,X,X,X,X
IZSLOJT,X,O,X,O,X,X,X,X,X,X,X,X
IZSJTLO,X,O,X,O,X,X,X,X,X,X,X,X
IZSJTOL,X,O,X,O,X,X,X,X,X,X,X,X
IZSJLTO,X,O,X,O,X,X,X,X,X,X,X,X
IZSJLOT,X,O,X,O,X,X,X,X,X,X,X,X
IZSJOTL,X,X,X,O,X,X,X,X,X,X,X,X
IZSJOLT,X,O,X,O,X,X,X,X,X,X,X,X
IZSOTLJ,X,X,X,O,X,X,X,X,X,X,X,X
IZSOTJL,X,X,X,O,X,X,X,X,X,X,X,X
IZSOLTJ,X,O,X,O,X,X,X,X,X,X,X,X
IZSOLJT,X,O,X,O,X,X,X,X,X,X,X,X
IZSOJTL,X,X,X,O,X,X,X,X,X,X,X,X
IZSOJLT,X,X,X,O,X,X,X,X,X,X,X,X
IZOTLJS,X,X,X,O,X,X,X,X,X,X,X,X
IZOTLSJ,X,X,X,O,X,X,X,X,X,X,X,X
IZOTJLS,X,X,X,O,X,X,X,O,X,X,X,X
IZOTJSL,X,X,X,O,X,X,X,O,X,X,X,X
IZOTSLJ,X,O,X,O,X,X,X,X,X,X,X,X
IZOTSJL,X,X,X,O,X,X,X,X,X,X,X,X
IZOLTJS,X,X,X,O,X,X,X,O,O,X,X,X
IZOLTSJ,X,X,X,O,X,X,X,X,X,X,X,X
IZOLJTS,X,X,O,O,X,X,X,O,O,X,X,X
IZOLJST,X,X,O,O,X,X,X,O,O,X,X,X
IZOLSTJ,X,X,O,O,X,X,X,X,X,X,X,X
IZOLSJT,X,X,O,O,X,X,X,O,X,X,X,X
IZOJTLS,X,X,O,O,X,X,X,O,X,X,X,X
IZOJTSL,X,X,O,O,X,X,X,O,X,X,O,X
IZOJLTS,X,X,O,O,X,X,X,O,O,X,X,X
IZOJLST,X,X,O,O,X,X,X,O,O,X,X,X
IZOJSTL,X,X,O,O,X,X,X,O,X,X,X,X
IZOJSLT,X,X,O,O,X,X,X,X,O,X,X,X
IZOSTLJ,X,X,X,O,X,X,X,X,X,X,X,X
IZOSTJL,X,X,X,O,X,X,X,X,X,X,X,X
IZOSLTJ,X,O,X,O,X,X,X,X,X,X,X,X
IZOSLJT,X,O,X,O,X,X,X,X,X,X,X,X
IZOSJTL,X,X,X,O,X,X,X,O,X,X,X,X
IZOSJLT,X,X,X,O,X,X,X,X,X,X,X,X
IOTLJSZ,O,X,O,X,X,X,O,X,O,O,X,X
IOTLJZS,X,X,O,X,X,X,O,X,O,O,X,X
IOTLSJZ,O,X,O,X,X,X,O,X,O,O,X,X
IOTLSZJ,O,X,O,X,X,X,X,X,X,X,X,X
IOTLZJS,X,X,X,X,X,X,O,X,O,X,X,X
IOTLZSJ,X,X,X,X,X,X,X,X,X,X,X,X
IOTJLSZ,O,X,O,X,X,X,O,X,O,O,O,X
IOTJLZS,X,X,O,X,X,X,O,O,O,O,X,X
IOTJSLZ,O,X,O,X,X,X,O,X,O,X,O,X
IOTJSZL,O,X,O,X,X,X,O,O,X,X,O,X
IOTJZLS,X,X,O,X,X,X,O,O,X,O,X,X
IOTJZSL,X,X,O,X,X,X,O,O,X,X,O,X
IOTSLJZ,O,X,X,X,X,X,O,X,X,X,O,X
IOTSLZJ,O,X,X,X,X,X,X,X,X,X,X,X
IOTSJLZ,O,X,X,X,X,X,X,X,X,X,O,X
IOTSJZL,X,X,X,X,X,X,X,X,X,X,O,X
IOTSZLJ,O,X,X,X,X,X,X,X,X,X,X,X
IOTSZJL,O,X,X,X,X,X,X,X,X,X,X,X
IOTZLJS,X,X,X,X,X,X,O,X,X,X,X,X
IOTZLSJ,X,X,X,X,X,X,X,X,X,X,X,X
IOTZJLS,X,X,X,X,X,X,X,O,X,X,X,X
IOTZJSL,X,X,X,X,X,X,X,O,X,X,X,X
IOTZSLJ,X,X,X,X,X,X,X,X,X,X,X,X
IOTZSJL,X,X,X,X,X,X,X,X,X,X,X,X
IOLTJSZ,O,X,O,X,X,X,O,O,O,X,X,X
IOLTJZS,X,X,O,X,X,X,O,O,O,X,X,X
IOLTSJZ,O,X,O,X,X,X,O,X,O,X,X,X
IOLTSZJ,O,X,O,X,X,X,X,X,X,X,X,X
IOLTZJS,X,X,X,X,X,X,O,O,O,X,X,X
IOLTZSJ,X,X,X,X,X,X,X,X,X,X,X,X
IOLJTSZ,O,X,O,X,X,X,O,O,O,X,O,X
IOLJTZS,X,X,O,X,X,X,O,O,O,X,X,X
IOLJSTZ,O,X,O,X,X,X,O,O,O,X,X,X
IOLJSZT,O,X,O,X,X,X,O,O,O,X,X,X
IOLJZTS,X,X,O,X,X,X,O,O,O,O,X,X
IOLJZST,O,X,O,X,X,X,O,O,O,X,X,X
IOLSTJZ,O,X,O,X,X,X,O,X,O,X,O,X
IOLSTZJ,O,X,O,X,X,X,X,X,X,X,X,X
IOLSJTZ,O,X,O,X,X,X,O,O,O,X,X,X
IOLSJZT,O,X,O,X,X,X,O,O,O,X,X,X
IOLSZTJ,O,X,O,X,X,X,X,X,X,X,X,X
IOLSZJT,O,X,O,X,X,X,X,O,X,X,X,X
IOLZTJS,X,X,X,X,X,X,O,O,O,X,X,X
IOLZTSJ,X,X,X,X,X,X,X,X,X,X,X,X
IOLZJTS,X,X,O,X,X,X,O,O,O,X,X,X
IOLZJST,O,X,O,X,X,X,O,O,O,X,X,X
IOLZSTJ,O,X,O,X,X,X,X,X,X,X,X,X
IOLZSJT,O,X,O,X,X,X,X,O,X,X,X,X
IOJTLSZ,O,X,O,X,X,X,O,O,O,O,O,X
IOJTLZS,X,X,O,X,X,X,O,O,O,O,X,X
IOJTSLZ,O,X,O,X,X,X,O,X,O,X,O,X
IOJTSZL,O,X,O,X,X,X,O,O,X,X,O,X
IOJTZLS,X,X,O,X,X,X,O,O,X,O,X,X
IOJTZSL,X,X,O,X,X,X,O,O,X,X,O,X
IOJLTSZ,O,X,O,X,X,X,O,O,O,X,O,X
IOJLTZS,X,X,O,X,X,X,O,O,O,X,X,X
IOJLSTZ,O,X,O,X,X,X,O,O,O,X,X,X
IOJLSZT,O,X,O,X,X,X,O,O,O,X,X,X
IOJLZTS,X,X,O,X,X,X,O,O,O,O,X,X
IOJLZST,O,X,O,X,X,X,O,O,O,X,X,X
IOJSTLZ,O,X,O,X,X,X,O,X,O,X,O,X
IOJSTZL,O,X,O,X,X,X,O,O,X,X,O,X
IOJSLTZ,O,X,O,X,X,X,O,X,O,X,X,X
IOJSLZT,O,X,O,X,X,X,O,X,O,X,X,X
IOJSZTL,O,X,O,X,X,X,O,O,X,X,X,X
IOJSZLT,O,X,O,X,X,X,X,X,O,X,X,X
IOJZTLS,X,X,O,X,X,X,O,O,X,O,X,X
IOJZTSL,X,X,O,X,X,X,O,O,X,X,O,X
IOJZLTS,X,X,O,X,X,X,O,O,O,O,X,X
IOJZLST,O,X,O,X,X,X,O,O,O,X,X,X
IOJZSTL,O,X,O,X,X,X,O,O,X,X,X,X
IOJZSLT,O,X,O,X,X,X,X,X,O,X,X,X
IOSTLJZ,O,X,X,X,X,X,O,X,X,X,O,X
IOSTLZJ,O,X,X,X,X,X,X,X,X,X,X,X
IOSTJLZ,O,X,X,X,X,X,X,X,X,X,O,X
IOSTJZL,X,X,X,X,X,X,X,X,X,X,O,X
IOSTZLJ,O,X,X,X,X,X,X,X,X,X,X,X
IOSTZJL,O,X,X,X,X,X,X,X,X,X,X,X
IOSLTJZ,O,X,O,X,X,X,O,X,O,X,O,X
IOSLTZJ,O,X,O,X,X,X,X,X,X,X,X,X
IOSLJTZ,O,X,O,X,X,X,O,X,O,X,X,X
IOSLJZT,O,X,O,X,X,X,O,X,O,X,X,X
IOSLZTJ,O,X,O,X,X,X,X,X,X,X,X,X
IOSLZJT,O,X,O,X,X,X,X,X,X,X,X,X
IOSJTLZ,O,X,O,X,X,X,O,X,O,X,O,X
IOSJTZL,O,X,O,X,X,X,O,O,X,X,O,X
IOSJLTZ,O,X,O,X,X,X,O,X,O,X,X,X
IOSJLZT,O,X,O,X,X,X,O,X,O,X,X,X
IOSJZTL,O,X,O,X,X,X,O,O,X,X,X,X
IOSJZLT,O,X,O,X,X,X,X,X,O,X,X,X
IOSZTLJ,O,X,X,X,X,X,X,X,X,X,X,X
IOSZTJL,O,X,X,X,X,X,X,X,X,X,X,X
IOSZLTJ,O,X,X,X,X,X,X,X,X,X,X,X
IOSZLJT,O,X,X,X,X,X,X,X,X,X,X,X
IOSZJTL,O,X,X,X,X,X,X,O,X,X,X,X
IOSZJLT,O,X,X,X,X,X,X,X,X,X,X,X
IOZTLJS,X,X,X,X,X,X,O,X,X,X,X,X
IOZTLSJ,X,X,X,X,X,X,X,X,X,X,X,X
IOZTJLS,X,X,X,X,X,X,X,O,X,X,X,X
IOZTJSL,X,X,X,X,X,X,X,O,X,X,X,X
IOZTSLJ,X,X,X,X,X,X,X,X,X,X,X,X
IOZTSJL,X,X,X,X,X,X,X,X,X,X,X,X
IOZLTJS,X,X,X,X,X,X,O,O,O,X,X,X
IOZLTSJ,X,X,X,X,X,X,X,X,X,X,X,X
IOZLJTS,X,X,O,X,X,X,O,O,O,X,X,X
IOZLJST,O,X,O,X,X,X,O,O,O,X,X,X
IOZLSTJ,O,X,O,X,X,X,X,X,X,X,X,X
IOZLSJT,O,X,O,X,X,X,X,O,X,X,X,X
IOZJTLS,X,X,O,X,X,X,O,O,X,X,X,X
IOZJTSL,X,X,O,X,X,X,O,O,X,X,O,X
IOZJLTS,X,X,O,X,X,X,O,O,O,X,X,X
IOZJLST,O,X,O,X,X,X,O,O,O,X,X,X
IOZJSTL,O,X,O,X,X,X,O,O,X,X,X,X
IOZJSLT,O,X,O,X,X,X,X,X,O,X,X,X
IOZSTLJ,O,X,X,X,X,X,X,X,X,X,X,X
IOZSTJL,O,X,X,X,X,X,X,X,X,X,X,X
IOZSLTJ,O,X,X,X,X,X,X,X,X,X,X,X
IOZSLJT,O,X,X,X,X,X,X,X,X,X,X,X
IOZSJTL,O,X,X,X,X,X,X,O,X,X,X,X
IOZSJLT,O,X,X,X,X,X,X,X,X,X,X,X
LTIJSZO,X,O,O,O,X,X,O,O,X,O,X,X
LTIJSOZ,X,O,O,X,X,O,O,X,O,O,X,O
LTIJZSO,X,O,O,O,O,X,O,O,X,O,X,X
LTIJZOS,X,X,O,O,O,O,X,O,X,O,X,O
LTIJOSZ,X,X,O,X,X,O,O,X,O,O,X,O
LTIJOZS,X,X,X,O,O,O,O,O,O,O,X,O
LTISJZO,X,O,O,O,X,X,O,X,X,O,X,X
LTISJOZ,X,O,O,X,X,X,O,X,O,O,X,X
LTISZJO,X,O,O,O,X,X,X,X,X,O,X,X
LTISZOJ,X,O,O,O,X,X,X,X,X,X,X,X
LTISOJZ,X,X,O,X,X,X,X,X,O,O,X,X
LTISOZJ,X,O,O,X,X,X,X,X,X,X,X,X
LTIZJSO,X,X,X,O,O,X,O,O,X,O,X,X
LTIZJOS,X,X,X,O,O,X,X,O,X,O,X,X
LTIZSJO,X,O,X,O,X,X,X,X,X,O,X,X
LTIZSOJ,X,O,X,O,X,X,X,X,X,X,X,X
LTIZOJS,X,X,X,O,O,X,X,O,O,X,X,X
LTIZOSJ,X,X,X,O,X,X,X,X,X,X,X,X
LTIOJSZ,X,X,O,X,X,X,O,O,O,O,X,O
LTIOJZS,X,X,O,X,O,X,O,O,O,O,X,O
LTIOSJZ,X,X,O,X,X,X,O,X,O,O,X,X
LTIOSZJ,X,X,O,X,X,X,X,X,X,X,X,X
LTIOZJS,X,X,X,X,O,X,O,O,O,X,X,X
LTIOZSJ,X,X,X,X,X,X,X,X,X,X,X,X
LTJISZO,O,O,O,O,X,O,O,O,X,O,X,X
LTJISOZ,O,O,O,X,X,O,O,X,O,O,X,O
LTJIZSO,X,O,O,O,O,X,O,O,X,O,X,X
LTJIZOS,X,X,O,O,O,O,X,O,X,O,X,O
LTJIOSZ,X,X,O,X,X,O,O,X,O,O,X,O
LTJIOZS,X,X,O,O,O,O,O,O,O,O,X,O
LTJSIZO,O,O,O,O,X,O,O,O,X,O,X,X
LTJSIOZ,O,O,O,X,X,O,O,X,O,O,O,O
LTJSZIO,O,O,O,O,O,O,O,O,X,O,X,X
LTJSZOI,O,O,O,O,O,O,O,X,O,O,O,X
LTJSOIZ,O,O,O,X,X,O,O,X,O,O,O,O
LTJSOZI,O,O,O,O,O,O,O,X,O,O,O,X
LTJZISO,X,O,O,O,O,X,O,O,X,O,X,X
LTJZIOS,X,X,O,O,O,O,X,O,X,O,X,O
LTJZSIO,X,O,O,O,O,X,O,O,X,O,X,X
LTJZSOI,X,O,O,O,O,X,O,X,O,O,X,X
LTJZOIS,X,X,O,O,O,O,O,O,O,O,X,O
LTJZOSI,X,O,O,X,O,X,O,O,O,O,X,X
LTJOISZ,O,X,O,X,X,O,O,O,O,O,O,O
LTJOIZS,X,X,O,O,O,O,O,O,O,O,X,O
LTJOSIZ,O,O,O,X,X,O,O,O,O,O,O,O
LTJOSZI,O,O,O,O,O,O,O,O,O,O,O,X
LTJOZIS,X,X,O,O,O,O,O,O,O,O,X,O
LTJOZSI,X,O,O,X,O,X,O,O,O,O,X,X
LTSIJZO,X,O,O,O,X,O,O,X,X,O,X,X
LTSIJOZ,X,O,O,X,X,O,O,X,O,O,O,X
LTSIZJO,O,O,O,O,X,O,X,X,X,O,X,X
LTSIZOJ,O,O,O,O,X,X,X,X,X,X,X,X
LTSIOJZ,O,X,O,X,X,O,X,X,O,O,O,X
LTSIOZJ,O,O,O,X,X,X,X,X,X,X,X,X
LTSJIZO,X,O,O,O,X,O,O,X,X,O,X,X
LTSJIOZ,X,O,O,X,X,O,O,X,O,O,O,O
LTSJZIO,O,O,O,O,O,O,O,X,X,O,X,X
LTSJZOI,O,O,O,O,O,O,O,X,O,O,O,X
LTSJOIZ,O,O,O,X,X,O,O,X,O,O,O,O
LTSJOZI,O,O,O,O,O,O,O,X,O,O,O,X
LTSZIJO,O,O,O,O,X,O,X,X,X,O,X,X
LTSZIOJ,O,O,O,O,X,X,X,X,X,X,X,X
LTSZJIO,O,O,O,O,O,O,X,X,X,O,X,X
LTSZJOI,O,O,O,O,O,O,X,X,O,O,O,X
LTSZOIJ,O,O,O,O,X,X,X,X,X,X,X,X
LTSZOJI,O,O,X,O,O,X,X,X,O,X,O,X
LTSOIJZ,O,X,O,X,X,O,O,X,O,O,O,X
LTSOIZJ,O,O,O,X,X,X,X,X,X,X,X,X
LTSOJIZ,O,O,O,X,X,O,O,X,O,O,O,O
LTSOJZI,O,O,O,O,O,O,O,X,O,O,O,X
LTSOZIJ,O,O,O,O,X,X,X,X,X,X,X,X
LTSOZJI,O,O,X,O,O,X,X,X,O,X,O,X
LTZIJSO,X,X,X,O,O,X,O,O,X,O,X,X
LTZIJOS,X,X,X,O,O,X,X,O,X,O,X,X
LTZISJO,X,O,X,O,X,X,X,X,X,O,X,X
LTZISOJ,X,O,X,O,X,X,X,X,X,X,X,X
LTZIOJS,X,X,X,O,O,X,X,O,O,X,X,X
LTZIOSJ,X,X,X,O,X,X,X,X,X,X,X,X
LTZJISO,X,O,X,O,O,X,O,O,X,O,X,X
LTZJIOS,X,X,X,O,O,O,X,O,X,O,X,O
LTZJSIO,X,O,X,O,O,X,O,O,X,O,X,X
LTZJSOI,X,O,X,O,O,X,O,X,O,O,X,X
LTZJOIS,X,X,X,O,O,O,O,O,O,O,X,O
LTZJOSI,X,O,X,X,O,X,O,O,O,O,X,X
LTZSIJO,X,O,X,O,X,X,X,X,X,O,X,X
LTZSIOJ,X,O,X,O,X,X,X,X,X,X,X,X
LTZSJIO,X,O,X,O,O,X,X,X,X,O,X,X
LTZSJOI,X,O,X,O,O,X,X,X,O,O,X,X
LTZSOIJ,X,O,X,O,X,X,X,X,X,X,X,X
LTZSOJI,X,O,X,O,O,X,X,X,O,X,X,X
LTZOIJS,X,X,X,O,O,X,O,O,O,X,X,X
LTZOISJ,X,X,X,O,X,X,X,X,X,X,X,X
LTZOJIS,X,X,X,O,O,X,O,O,O,X,X,O
LTZOJSI,X,X,X,O,O,X,O,O,O,X,X,X
LTZOSIJ,X,O,X,O,X,X,X,X,X,X,X,X
LTZOSJI,X,O,X,O,O,X,X,X,O,X,X,X
LTOIJSZ,O,X,O,X,X,X,O,O,O,O,X,O
LTOIJZS,X,X,O,X,O,X,O,O,O,O,X,O
LTOISJZ,O,X,O,X,X,X,O,X,O,O,X,X
LTOISZJ,O,X,O,X,X,X,X,X,X,X,X,X
LTOIZJS,X,X,X,X,O,X,O,O,O,X,X,X
LTOIZSJ,X,X,X,X,X,X,X,X,X,X,X,X
LTOJISZ,O,X,O,X,X,O,O,O,O,O,O,O
LTOJIZS,X,X,O,O,O,O,O,O,O,O,X,O
LTOJSIZ,O,O,O,X,X,O,O,O,O,O,O,O
LTOJSZI,O,O,O,O,O,X,O,O,O,O,O,X
LTOJZIS,X,X,O,O,O,O,O,O,O,O,X,O
LTOJZSI,X,O,O,X,O,X,O,O,O,O,X,X
LTOSIJZ,O,X,O,X,X,X,O,X,O,O,O,X
LTOSIZJ,O,O,O,X,X,X,X,X,X,X,X,X
LTOSJIZ,O,O,O,X,X,X,O,X,O,O,O,O
LTOSJZI,O,O,O,O,O,X,O,X,O,O,O,X
LTOSZIJ,O,O,O,O,X,X,X,X,X,X,X,X
LTOSZJI,O,O,X,O,O,X,X,X,O,X,O,X
LTOZIJS,X,X,X,O,O,X,O,O,O,X,X,X
LTOZISJ,X,X,X,O,X,X,X,X,X,X,X,X
LTOZJIS,X,X,X,O,O,X,O,O,O,X,X,O
LTOZJSI,X,X,X,X,O,X,O,O,O,X,X,X
LTOZSIJ,X,O,X,O,X,X,X,X,X,X,X,X
LTOZSJI,X,O,X,X,O,X,X,X,O,X,X,X
LITJSZO,X,O,O,O,X,X,O,O,X,O,X,X
LITJSOZ,X,O,O,X,X,O,O,X,O,O,X,O
LITJZSO,X,O,O,O,O,X,O,O,X,O,X,X
LITJZOS,X,X,O,O,O,O,X,O,X,O,X,O
LITJOSZ,X,X,O,X,X,O,O,X,O,O,X,O
LITJOZS,X,X,X,O,O,O,O,O,O,O,X,O
LITSJZO,X,O,O,O,X,X,O,X,X,O,X,X
LITSJOZ,X,O,O,X,X,X,O,X,O,O,X,X
LITSZJO,X,O,O,O,X,X,X,X,X,O,X,X
LITSZOJ,X,O,O,O,X,X,X,X,X,X,X,X
LITSOJZ,X,X,O,X,X,X,X,X,O,O,X,X
LITSOZJ,X,O,O,X,X,X,X,X,X,X,X,X
LITZJSO,X,X,X,O,O,X,O,O,X,O,X,X
LITZJOS,X,X,X,O,O,X,X,O,X,O,X,X
LITZSJO,X,O,X,O,X,X,X,X,X,O,X,X
LITZSOJ,X,O,X,O,X,X,X,X,X,X,X,X
LITZOJS,X,X,X,O,O,X,X,O,O,X,X,X
LITZOSJ,X,X,X,O,X,X,X,X,X,X,X,X
LITOJSZ,X,X,O,X,X,X,O,O,O,O,X,O
LITOJZS,X,X,O,X,O,X,O,O,O,O,X,O
LITOSJZ,X,X,O,X,X,X,O,X,O,O,X,X
LITOSZJ,X,X,O,X,X,X,X,X,X,X,X,X
LITOZJS,X,X,X,X,O,X,O,O,O,X,X,X
LITOZSJ,X,X,X,X,X,X,X,X,X,X,X,X
LIJTSZO,O,O,O,O,X,O,O,O,X,O,X,X
LIJTSOZ,O,O,O,X,X,O,O,X,O,O,X,O
LIJTZSO,X,O,O,O,O,X,O,O,X,O,X,X
LIJTZOS,X,X,O,O,O,O,X,O,X,O,X,O
LIJTOSZ,X,X,O,X,X,O,O,X,O,O,X,O
LIJTOZS,X,X,O,O,O,O,O,O,O,O,X,O
LIJSTZO,O,O,O,O,X,O,O,O,X,X,X,X
LIJSTOZ,O,O,O,X,X,O,O,X,O,X,X,O
LIJSZTO,O,O,O,O,X,O,O,O,X,O,X,X
LIJSZOT,X,O,O,O,X,O,X,X,X,X,X,X
LIJSOTZ,O,X,O,X,X,O,O,X,O,X,X,X
LIJSOZT,O,X,O,X,X,O,O,X,O,X,X,X
LIJZTSO,X,O,O,O,O,X,O,O,X,O,X,X
LIJZTOS,X,X,O,O,O,O,X,O,X,O,X,O
LIJZSTO,O,O,O,O,O,O,O,O,X,O,X,X
LIJZSOT,X,O,O,O,X,O,X,X,X,X,X,X
LIJZOTS,X,X,O,O,O,O,X,O,X,O,X,X
LIJZOST,X,X,O,O,X,O,X,O,X,X,X,X
LIJOTSZ,O,X,O,X,X,O,O,O,O,X,X,O
LIJOTZS,X,X,O,O,X,O,O,O,O,X,X,O
LIJOSTZ,O,X,O,X,X,O,O,O,O,X,X,X
LIJOSZT,O,X,O,X,X,O,O,O,O,X,X,X
LIJOZTS,X,X,O,O,X,O,O,O,O,O,X,X
LIJOZST,O,X,O,O,X,O,O,O,O,X,X,X
LISTJZO,X,O,O,O,X,O,O,X,X,X,X,X
LISTJOZ,X,O,O,X,X,O,O,X,O,X,O,X
LISTZJO,O,O,O,O,X,O,X,X,X,X,X,X
LISTZOJ,O,O,O,O,X,X,X,X,X,X,X,X
LISTOJZ,O,X,O,X,X,O,X,X,O,X,O,X
LISTOZJ,O,O,O,X,X,X,X,X,X,X,X,X
LISJTZO,X,O,O,O,X,O,O,O,X,X,X,X
LISJTOZ,X,O,O,X,X,O,O,X,O,X,X,X
LISJZTO,X,O,O,X,X,O,O,O,X,O,X,X
LISJZOT,X,O,O,X,X,O,X,X,X,X,X,X
LISJOTZ,X,X,O,X,X,O,O,X,O,X,X,X
LISJOZT,X,X,O,X,X,O,X,X,O,X,X,X
LISZTJO,O,O,O,X,X,O,X,X,X,X,X,X
LISZTOJ,O,O,O,X,X,X,X,X,X,X,X,X
LISZJTO,O,O,O,X,X,O,X,O,X,X,X,X
LISZJOT,O,O,X,X,X,O,X,X,X,X,X,X
LISZOTJ,O,O,O,X,X,X,X,X,X,X,X,X
LISZOJT,O,O,O,X,X,X,X,O,X,X,X,X
LISOTJZ,O,X,O,X,X,O,X,X,O,X,O,X
LISOTZJ,O,X,O,X,X,X,X,X,X,X,X,X
LISOJTZ,O,X,O,X,X,O,X,O,O,X,X,X
LISOJZT,O,X,O,X,X,O,X,O,O,X,X,X
LISOZTJ,O,X,O,X,X,X,X,X,X,X,X,X
LISOZJT,O,X,O,X,X,X,X,O,X,X,X,X
LIZTJSO,X,X,X,O,O,X,O,O,X,X,X,X
LIZTJOS,X,X,X,O,O,X,X,O,X,X,X,X
LIZTSJO,X,O,X,O,X,X,X,X,X,X,X,X
LIZTSOJ,X,O,X,O,X,X,X,X,X,X,X,X
