sequence,v115@2gA8IeA8FeA8BeB8CeA8AeF8AeB8AeF8BeB8Je//Iv?hFagB2hBzdB5jBFnBUsB,v115@2gA8IeA8FeA8BeB8CeA8AeF8AeB8AeF8BeB8Jem6Iv?hFTcBidB5jB0fBFnB3sB,v115@2gA8IeA8FeA8BeB8CeA8AeF8AeB8AeF8BeB8JeT6Iv?hFegB/hBFdB8iB5jBKsB,v115@2gA8IeA8FeA8BeB8CeA8AeF8AeB8AeF8BeB8Jey/Iv?hFTcB2iB5jB0fBFnB3sB,v115@2gA8IeA8FeA8BeB8CeA8AeF8AeB8AeF8BeB8Jei6Iv?hF/hBFdB5jBzfBOsB8sB
SITZJLO,O,O,X,X,X
SITZJOL,O,O,X,X,X
SITZOLJ,O,O,X,X,X
SITZOJL,O,O,X,X,X
SITOLJZ,O,X,X,O,O
SITOLZJ,O,O,X,X,X
SITOJLZ,O,X,X,O,O
SITOJZL,O,X,X,X,O
SITOZLJ,O,O,X,X,X
SITOZJL,O,O,X,X,X
SILTJZO,O,X,O,X,X
SILTJOZ,O,X,O,O,X
SILTZJO,O,X,O,X,X
SILTZOJ,O,X,O,X,X
SILTOJZ,O,X,X,O,X
SILTOZJ,O,X,X,X,X
SILJTZO,O,X,O,X,X
SILJTOZ,O,X,O,X,X
SILJZTO,X,X,O,X,X
SILJZOT,O,X,O,X,X
SILJOTZ,O,X,O,X,O
SILJOZT,O,X,O,X,O
SILZTJO,O,X,O,X,X
SILZTOJ,O,X,O,X,X
SILZJTO,X,X,O,X,X
SILZJOT,O,X,O,X,X
SILZOTJ,O,X,O,X,X
SILZOJT,O,X,O,X,X
SILOTJZ,O,X,X,O,O
SILOTZJ,O,X,X,X,X
SILOJTZ,O,X,O,X,O
SILOJZT,O,X,O,X,O
SILOZTJ,O,X,O,X,X
SILOZJT,O,X,O,X,O
SIJTLZO,O,X,X,X,X
SIJTLOZ,O,X,X,X,X
SIJTZLO,O,X,X,X,X
SIJTZOL,O,X,X,X,X
SIJTOLZ,O,X,X,X,O
SIJTOZL,O,X,X,X,O
SIJLTZO,O,X,O,X,X
SIJLTOZ,O,X,O,X,X
SIJLZTO,X,X,O,X,X
SIJLZOT,O,X,O,X,X
SIJLOTZ,O,X,O,X,O
SIJLOZT,O,X,O,X,O
SIJZTLO,X,X,X,X,X
SIJZTOL,X,X,X,X,X
SIJZLTO,X,X,O,X,X
SIJZLOT,O,X,O,X,X
SIJZOTL,X,X,X,X,O
SIJZOLT,O,X,O,X,O
SIJOTLZ,O,X,X,X,O
SIJOTZL,O,X,X,X,O
SIJOLTZ,O,X,O,X,O
SIJOLZT,O,X,O,X,O
SIJOZTL,X,X,X,X,O
SIJOZLT,O,X,O,X,O
SIZTLJO,O,O,X,X,X
SIZTLOJ,O,O,X,X,X
SIZTJLO,O,O,X,X,X
SIZTJOL,O,O,X,X,X
SIZTOLJ,O,O,X,X,X
SIZTOJL,O,O,X,X,X
SIZLTJO,O,X,O,X,X
SIZLTOJ,O,X,O,X,X
SIZLJTO,X,X,O,X,X
SIZLJOT,O,X,O,X,X
SIZLOTJ,O,X,O,X,X
SIZLOJT,O,X,O,X,X
SIZJTLO,X,O,X,X,X
SIZJTOL,X,O,X,X,X
SIZJLTO,X,X,O,X,X
SIZJLOT,O,X,O,X,X
SIZJOTL,X,O,X,X,O
SIZJOLT,O,X,O,X,O
SIZOTLJ,O,O,X,X,X
SIZOTJL,O,O,X,X,X
SIZOLTJ,O,X,X,X,X
SIZOLJT,O,X,X,X,O
SIZOJTL,X,O,X,X,O
SIZOJLT,O,X,X,X,O
SIOTLJZ,O,X,X,O,O
SIOTLZJ,O,O,X,X,X
SIOTJLZ,O,X,X,O,O
SIOTJZL,O,X,X,X,O
SIOTZLJ,O,O,X,X,X
SIOTZJL,O,O,X,X,X
SIOLTJZ,O,X,X,O,O
SIOLTZJ,O,X,X,X,X
SIOLJTZ,O,X,X,X,O
SIOLJZT,O,X,X,X,O
SIOLZTJ,O,X,X,X,X
SIOLZJT,O,X,X,X,O
SIOJTLZ,O,X,X,X,O
SIOJTZL,O,X,X,X,O
SIOJLTZ,O,X,X,X,O
SIOJLZT,O,X,X,X,O
SIOJZTL,X,X,X,X,O
SIOJZLT,O,X,X,X,O
SIOZTLJ,O,O,X,X,X
SIOZTJL,O,O,X,X,X
SIOZLTJ,O,X,X,X,X
SIOZLJT,O,X,X,X,O
SIOZJTL,X,O,X,X,O
SIOZJLT,O,X,X,X,O
SLTIJZO,O,X,O,X,X
SLTIJOZ,O,X,O,O,X
SLTIZJO,O,X,O,X,X
SLTIZOJ,O,X,O,X,X
SLTIOJZ,O,X,X,O,X
SLTIOZJ,O,X,X,X,X
SLTJIZO,O,X,O,X,X
SLTJIOZ,O,X,O,O,X
SLTJZIO,O,X,O,X,X
SLTJZOI,O,X,O,X,X
SLTJOIZ,O,X,O,O,X
SLTJOZI,O,X,O,X,X
SLTZIJO,O,X,O,X,X
SLTZIOJ,O,X,O,X,X
SLTZJIO,O,X,O,X,X
SLTZJOI,O,X,O,X,X
SLTZOIJ,O,X,O,X,X
SLTZOJI,O,X,O,X,X
SLTOIJZ,O,X,X,O,X
SLTOIZJ,O,X,X,X,X
SLTOJIZ,O,X,X,O,X
SLTOJZI,O,X,X,X,X
SLTOZIJ,O,X,X,X,X
SLTOZJI,O,X,X,X,X
SLITJZO,O,X,O,X,X
SLITJOZ,O,X,O,O,X
SLITZJO,O,X,O,X,X
SLITZOJ,O,X,O,X,X
SLITOJZ,O,X,X,O,X
SLITOZJ,O,X,X,X,X
SLIJTZO,O,X,O,X,X
SLIJTOZ,O,X,O,X,X
SLIJZTO,X,X,O,X,X
SLIJZOT,O,X,O,X,X
SLIJOTZ,O,X,O,X,O
SLIJOZT,O,X,O,X,O
SLIZTJO,O,X,O,X,X
SLIZTOJ,O,X,O,X,X
SLIZJTO,X,X,O,X,X
SLIZJOT,O,X,O,X,X
SLIZOTJ,O,X,O,X,X
SLIZOJT,O,X,O,X,X
SLIOTJZ,O,X,X,O,O
SLIOTZJ,O,X,X,X,X
SLIOJTZ,O,X,O,X,O
SLIOJZT,O,X,O,X,O
SLIOZTJ,O,X,O,X,X
SLIOZJT,O,X,O,X,O
SLJTIZO,O,X,O,X,X
SLJTIOZ,O,X,O,X,X
SLJTZIO,O,X,O,X,X
SLJTZOI,O,X,O,X,X
SLJTOIZ,O,X,O,X,X
SLJTOZI,O,X,O,X,X
SLJITZO,O,X,O,X,X
SLJITOZ,O,X,O,X,X
SLJIZTO,X,X,O,X,X
SLJIZOT,O,X,O,X,X
SLJIOTZ,O,X,O,X,O
SLJIOZT,O,X,O,X,O
SLJZTIO,X,X,O,X,X
SLJZTOI,X,X,O,X,X
SLJZITO,X,X,O,X,X
SLJZIOT,O,X,O,X,X
SLJZOTI,X,X,O,X,X
SLJZOIT,O,X,O,X,X
SLJOTIZ,O,X,O,X,O
SLJOTZI,O,X,O,X,X
SLJOITZ,O,X,O,X,O
SLJOIZT,O,X,O,X,O
SLJOZTI,X,X,O,X,X
SLJOZIT,O,X,O,X,O
SLZTIJO,O,X,O,X,X
SLZTIOJ,O,X,O,X,X
SLZTJIO,O,X,O,X,X
SLZTJOI,O,X,O,X,X
SLZTOIJ,O,X,O,X,X
SLZTOJI,O,X,O,X,X
SLZITJO,O,X,O,X,X
SLZITOJ,O,X,O,X,X
SLZIJTO,X,X,O,X,X
SLZIJOT,O,X,O,X,X
SLZIOTJ,O,X,O,X,X
SLZIOJT,O,X,O,X,X
SLZJTIO,X,X,O,X,X
SLZJTOI,X,X,O,X,X
SLZJITO,X,X,O,X,X
SLZJIOT,O,X,O,X,X
SLZJOTI,X,X,O,X,X
SLZJOIT,O,X,O,X,X
SLZOTIJ,O,X,O,X,X
SLZOTJI,O,X,O,X,X
SLZOITJ,O,X,O,X,X
SLZOIJT,O,X,O,X,X
SLZOJTI,X,X,O,X,X
SLZOJIT,O,X,O,X,X
SLOTIJZ,O,X,X,O,O
SLOTIZJ,O,X,X,X,X
SLOTJIZ,O,X,X,O,O
SLOTJZI,O,X,X,X,X
SLOTZIJ,O,X,X,X,X
SLOTZJI,O,X,X,X,X
SLOITJZ,O,X,X,O,O
SLOITZJ,O,X,X,X,X
SLOIJTZ,O,X,O,X,O
SLOIJZT,O,X,O,X,O
SLOIZTJ,O,X,O,X,X
SLOIZJT,O,X,O,X,O
SLOJTIZ,O,X,O,X,O
SLOJTZI,O,X,O,X,X
SLOJITZ,O,X,O,X,O
SLOJIZT,O,X,O,X,O
SLOJZTI,X,X,O,X,X
SLOJZIT,O,X,O,X,O
SLOZTIJ,O,X,O,X,X
SLOZTJI,O,X,O,X,X
SLOZITJ,O,X,O,X,X
SLOZIJT,O,X,O,X,O
SLOZJTI,X,X,O,X,X
SLOZJIT,O,X,O,X,O
SJTILZO,O,X,X,X,X
SJTILOZ,O,X,X,X,X
SJTIZLO,O,X,X,X,X
SJTIZOL,O,X,X,X,X
SJTIOLZ,O,X,X,X,O
SJTIOZL,O,X,X,X,O
SJTLIZO,O,X,X,X,X
SJTLIOZ,O,X,X,X,X
SJTLZIO,O,X,X,X,X
SJTLZOI,O,X,X,X,X
SJTLOIZ,O,X,X,X,X
SJTLOZI,O,X,X,X,X
SJTZILO,O,X,X,X,X
SJTZIOL,O,X,X,X,X
SJTZLIO,O,X,X,X,X
SJTZLOI,O,X,X,X,X
SJTZOIL,O,X,X,X,X
SJTZOLI,O,X,X,X,X
SJTOILZ,O,X,X,X,O
SJTOIZL,O,X,X,X,O
SJTOLIZ,O,X,X,X,O
SJTOLZI,O,X,X,X,X
SJTOZIL,O,X,X,X,X
SJTOZLI,O,X,X,X,X
SJITLZO,O,X,X,X,X
SJITLOZ,O,X,X,X,X
SJITZLO,O,X,X,X,X
SJITZOL,O,X,X,X,X
SJITOLZ,O,X,X,X,O
SJITOZL,O,X,X,X,O
SJILTZO,O,X,O,X,X
SJILTOZ,O,X,O,X,X
SJILZTO,X,X,O,X,X
SJILZOT,O,X,O,X,X
SJILOTZ,O,X,O,X,O
SJILOZT,O,X,O,X,O
SJIZTLO,X,X,X,X,X
SJIZTOL,X,X,X,X,X
SJIZLTO,X,X,O,X,X
SJIZLOT,O,X,O,X,X
SJIZOTL,X,X,X,X,O
SJIZOLT,O,X,O,X,O
SJIOTLZ,O,X,X,X,O
SJIOTZL,O,X,X,X,O
SJIOLTZ,O,X,O,X,O
SJIOLZT,O,X,O,X,O
SJIOZTL,X,X,X,X,O
SJIOZLT,O,X,O,X,O
SJLTIZO,O,X,O,X,X
SJLTIOZ,O,X,O,X,X
SJLTZIO,O,X,O,X,X
SJLTZOI,O,X,O,X,X
SJLTOIZ,O,X,O,X,X
SJLTOZI,O,X,O,X,X
SJLITZO,O,X,O,X,X
SJLITOZ,O,X,O,X,X
SJLIZTO,X,X,O,X,X
SJLIZOT,O,X,O,X,X
SJLIOTZ,O,X,O,X,O
SJLIOZT,O,X,O,X,O
SJLZTIO,X,X,O,X,X
SJLZTOI,X,X,O,X,X
SJLZITO,X,X,O,X,X
SJLZIOT,O,X,O,X,X
SJLZOTI,X,X,O,X,X
SJLZOIT,O,X,O,X,X
SJLOTIZ,O,X,O,X,O
SJLOTZI,O,X,O,X,X
SJLOITZ,O,X,O,X,O
SJLOIZT,O,X,O,X,O
SJLOZTI,X,X,O,X,X
SJLOZIT,O,X,O,X,O
SJZTILO,X,X,X,X,X
SJZTIOL,X,X,X,X,X
SJZTLIO,X,X,X,X,X
SJZTLOI,X,X,X,X,X
SJZTOIL,X,X,X,X,X
SJZTOLI,X,X,X,X,X
SJZITLO,X,X,X,X,X
SJZITOL,X,X,X,X,X
SJZILTO,X,X,O,X,X
SJZILOT,O,X,O,X,X
SJZIOTL,X,X,X,X,O
SJZIOLT,O,X,O,X,O
SJZLTIO,X,X,O,X,X
SJZLTOI,X,X,O,X,X
SJZLITO,X,X,O,X,X
SJZLIOT,O,X,O,X,X
SJZLOTI,X,X,O,X,X
SJZLOIT,O,X,O,X,X
SJZOTIL,X,X,X,X,X
SJZOTLI,X,X,X,X,X
SJZOITL,X,X,X,X,O
SJZOILT,O,X,O,X,O
SJZOLTI,X,X,O,X,X
SJZOLIT,O,X,O,X,O
SJOTILZ,O,X,X,X,O
SJOTIZL,O,X,X,X,O
SJOTLIZ,O,X,X,X,O
SJOTLZI,O,X,X,X,X
SJOTZIL,O,X,X,X,X
SJOTZLI,O,X,X,X,X
SJOITLZ,O,X,X,X,O
SJOITZL,O,X,X,X,O
SJOILTZ,O,X,O,X,O
SJOILZT,O,X,O,X,O
SJOIZTL,X,X,X,X,O
SJOIZLT,O,X,O,X,O
SJOLTIZ,O,X,O,X,O
SJOLTZI,O,X,O,X,X
SJOLITZ,O,X,O,X,O
SJOLIZT,O,X,O,X,O
SJOLZTI,X,X,O,X,X
SJOLZIT,O,X,O,X,O
SJOZTIL,X,X,X,X,X
SJOZTLI,X,X,X,X,X
SJOZITL,X,X,X,X,O
SJOZILT,O,X,O,X,O
SJOZLTI,X,X,O,X,X
SJOZLIT,O,X,O,X,O
SZTILJO,O,O,X,X,X
SZTILOJ,O,O,X,X,X
SZTIJLO,O,O,X,X,X
SZTIJOL,O,O,X,X,X
SZTIOLJ,O,O,X,X,X
SZTIOJL,O,O,X,X,X
SZTLIJO,O,O,X,X,X
SZTLIOJ,O,O,X,X,X
SZTLJIO,O,O,X,X,X
SZTLJOI,O,O,X,X,X
SZTLOIJ,O,O,X,X,X
SZTLOJI,O,O,X,X,X
SZTJILO,O,O,X,X,X
SZTJIOL,O,O,X,X,X
SZTJLIO,O,O,X,X,X
SZTJLOI,O,O,X,X,X
SZTJOIL,O,O,X,X,X
SZTJOLI,O,O,X,X,X
SZTOILJ,O,O,X,X,X
SZTOIJL,O,O,X,X,X
SZTOLIJ,O,O,X,X,X
SZTOLJI,O,O,X,X,X
SZTOJIL,O,O,X,X,X
SZTOJLI,O,O,X,X,X
SZITLJO,O,O,X,X,X
SZITLOJ,O,O,X,X,X
SZITJLO,O,O,X,X,X
SZITJOL,O,O,X,X,X
SZITOLJ,O,O,X,X,X
SZITOJL,O,O,X,X,X
SZILTJO,O,X,O,X,X
SZILTOJ,O,X,O,X,X
SZILJTO,X,X,O,X,X
SZILJOT,O,X,O,X,X
SZILOTJ,O,X,O,X,X
SZILOJT,O,X,O,X,X
SZIJTLO,X,O,X,X,X
SZIJTOL,X,O,X,X,X
SZIJLTO,X,X,O,X,X
SZIJLOT,O,X,O,X,X
SZIJOTL,X,O,X,X,O
SZIJOLT,O,X,O,X,O
SZIOTLJ,O,O,X,X,X
SZIOTJL,O,O,X,X,X
SZIOLTJ,O,X,X,X,X
SZIOLJT,O,X,X,X,O
SZIOJTL,X,O,X,X,O
SZIOJLT,O,X,X,X,O
SZLTIJO,O,X,O,X,X
SZLTIOJ,O,X,O,X,X
SZLTJIO,O,X,O,X,X
SZLTJOI,O,X,O,X,X
SZLTOIJ,O,X,O,X,X
SZLTOJI,O,X,O,X,X
SZLITJO,O,X,O,X,X
SZLITOJ,O,X,O,X,X
SZLIJTO,X,X,O,X,X
SZLIJOT,O,X,O,X,X
SZLIOTJ,O,X,O,X,X
SZLIOJT,O,X,O,X,X
SZLJTIO,X,X,O,X,X
SZLJTOI,X,X,O,X,X
SZLJITO,X,X,O,X,X
SZLJIOT,O,X,O,X,X
SZLJOTI,X,X,O,X,X
SZLJOIT,O,X,O,X,X
SZLOTIJ,O,X,O,X,X
SZLOTJI,O,X,O,X,X
SZLOITJ,O,X,O,X,X
SZLOIJT,O,X,O,X,X
SZLOJTI,X,X,O,X,X
SZLOJIT,O,X,O,X,X
SZJTILO,X,O,X,X,X
SZJTIOL,X,O,X,X,X
SZJTLIO,X,O,X,X,X
SZJTLOI,X,O,X,X,X
SZJTOIL,X,O,X,X,X
SZJTOLI,X,O,X,X,X
SZJITLO,X,O,X,X,X
SZJITOL,X,O,X,X,X
SZJILTO,X,X,O,X,X
SZJILOT,O,X,O,X,X
SZJIOTL,X,O,X,X,O
SZJIOLT,O,X,O,X,O
SZJLTIO,X,X,O,X,X
SZJLTOI,X,X,O,X,X
SZJLITO,X,X,O,X,X
SZJLIOT,O,X,O,X,X
SZJLOTI,X,X,O,X,X
SZJLOIT,O,X,O,X,X
SZJOTIL,X,O,X,X,X
SZJOTLI,X,O,X,X,X
SZJOITL,X,O,X,X,O
SZJOILT,O,X,O,X,O
SZJOLTI,X,X,O,X,X
SZJOLIT,O,X,O,X,O
SZOTILJ,O,O,X,X,X
SZOTIJL,O,O,X,X,X
SZOTLIJ,O,O,X,X,X
SZOTLJI,O,O,X,X,X
SZOTJIL,O,O,X,X,X
SZOTJLI,O,O,X,X,X
SZOITLJ,O,O,X,X,X
SZOITJL,O,O,X,X,X
SZOILTJ,O,X,X,X,X
SZOILJT,O,X,X,X,O
SZOIJTL,X,O,X,X,O
SZOIJLT,O,X,X,X,O
SZOLTIJ,O,X,X,X,X
SZOLTJI,O,X,X,X,X
SZOLITJ,O,X,X,X,X
SZOLIJT,O,X,X,X,O
SZOLJTI,X,X,X,X,X
SZOLJIT,O,X,X,X,O
SZOJTIL,X,O,X,X,X
SZOJTLI,X,O,X,X,X
SZOJITL,X,O,X,X,O
SZOJILT,O,X,X,X,O
SZOJLTI,X,X,X,X,X
SZOJLIT,O,X,X,X,O
SOTILJZ,O,X,X,O,O
SOTILZJ,O,O,X,X,X
SOTIJLZ,O,X,X,O,O
SOTIJZL,O,X,X,X,O
SOTIZLJ,O,O,X,X,X
SOTIZJL,O,O,X,X,X
SOTLIJZ,O,X,X,O,O
SOTLIZJ,O,O,X,X,X
SOTLJIZ,O,X,X,O,O
SOTLJZI,O,X,X,X,X
SOTLZIJ,O,O,X,X,X
SOTLZJI,O,O,X,X,X
SOTJILZ,O,X,X,O,O
SOTJIZL,O,X,X,X,O
SOTJLIZ,O,X,X,O,O
SOTJLZI,O,X,X,X,X
SOTJZIL,O,X,X,X,X
SOTJZLI,O,X,X,X,X
SOTZILJ,O,O,X,X,X
SOTZIJL,O,O,X,X,X
SOTZLIJ,O,O,X,X,X
SOTZLJI,O,O,X,X,X
SOTZJIL,O,O,X,X,X
SOTZJLI,O,O,X,X,X
SOITLJZ,O,X,X,O,O
SOITLZJ,O,O,X,X,X
SOITJLZ,O,X,X,O,O
SOITJZL,O,X,X,X,O
SOITZLJ,O,O,X,X,X
SOITZJL,O,O,X,X,X
SOILTJZ,O,X,X,O,O
SOILTZJ,O,X,X,X,X
SOILJTZ,O,X,X,X,O
SOILJZT,O,X,X,X,O
SOILZTJ,O,X,X,X,X
SOILZJT,O,X,X,X,O
SOIJTLZ,O,X,X,X,O
SOIJTZL,O,X,X,X,O
SOIJLTZ,O,X,X,X,O
SOIJLZT,O,X,X,X,O
SOIJZTL,X,X,X,X,O
SOIJZLT,O,X,X,X,O
SOIZTLJ,O,O,X,X,X
SOIZTJL,O,O,X,X,X
SOIZLTJ,O,X,X,X,X
SOIZLJT,O,X,X,X,O
SOIZJTL,X,O,X,X,O
SOIZJLT,O,X,X,X,O
SOLTIJZ,O,X,X,O,O
SOLTIZJ,O,X,X,X,X
SOLTJIZ,O,X,X,O,O
SOLTJZI,O,X,X,X,X
SOLTZIJ,O,X,X,X,X
SOLTZJI,O,X,X,X,X
SOLITJZ,O,X,X,O,O
SOLITZJ,O,X,X,X,X
SOLIJTZ,O,X,X,X,O
SOLIJZT,O,X,X,X,O
SOLIZTJ,O,X,X,X,X
SOLIZJT,O,X,X,X,O
SOLJTIZ,O,X,X,X,O
SOLJTZI,O,X,X,X,X
SOLJITZ,O,X,X,X,O
SOLJIZT,O,X,X,X,O
SOLJZTI,X,X,X,X,X
SOLJZIT,O,X,X,X,O
SOLZTIJ,O,X,X,X,X
SOLZTJI,O,X,X,X,X
SOLZITJ,O,X,X,X,X
SOLZIJT,O,X,X,X,O
SOLZJTI,X,X,X,X,X
SOLZJIT,O,X,X,X,O
SOJTILZ,O,X,X,X,O
SOJTIZL,O,X,X,X,O
SOJTLIZ,O,X,X,X,O
SOJTLZI,O,X,X,X,X
SOJTZIL,O,X,X,X,X
SOJTZLI,O,X,X,X,X
SOJITLZ,O,X,X,X,O
SOJITZL,O,X,X,X,O
SOJILTZ,O,X,X,X,O
SOJILZT,O,X,X,X,O
SOJIZTL,X,X,X,X,O
SOJIZLT,O,X,X,X,O
SOJLTIZ,O,X,X,X,O
SOJLTZI,O,X,X,X,X
SOJLITZ,O,X,X,X,O
SOJLIZT,O,X,X,X,O
SOJLZTI,X,X,X,X,X
SOJLZIT,O,X,X,X,O
SOJZTIL,X,X,X,X,X
SOJZTLI,X,X,X,X,X
SOJZITL,X,X,X,X,O
SOJZILT,O,X,X,X,O
SOJZLTI,X,X,X,X,X
SOJZLIT,O,X,X,X,O
SOZTILJ,O,O,X,X,X
SOZTIJL,O,O,X,X,X
SOZTLIJ,O,O,X,X,X
SOZTLJI,O,O,X,X,X
SOZTJIL,O,O,X,X,X
SOZTJLI,O,O,X,X,X
SOZITLJ,O,O,X,X,X
SOZITJL,O,O,X,X,X
SOZILTJ,O,X,X,X,X
SOZILJT,O,X,X,X,O
SOZIJTL,X,O,X,X,O
SOZIJLT,O,X,X,X,O
SOZLTIJ,O,X,X,X,X
SOZLTJI,O,X,X,X,X
SOZLITJ,O,X,X,X,X
SOZLIJT,O,X,X,X,O
SOZLJTI,X,X,X,X,X
SOZLJIT,O,X,X,X,O
SOZJTIL,X,O,X,X,X
SOZJTLI,X,O,X,X,X
SOZJITL,X,O,X,X,O
SOZJILT,O,X,X,X,O
SOZJLTI,X,X,X,X,X
SOZJLIT,O,X,X,X,O
ZTILJSO,X,O,O,X,X
ZTILJOS,X,O,O,O,X
ZTILSJO,X,O,O,X,X
ZTILSOJ,X,O,O,X,X
ZTILOJS,X,O,X,O,X
ZTILOSJ,X,O,X,X,X
ZTIJLSO,X,O,O,X,X
ZTIJLOS,X,O,O,O,X
ZTIJSLO,O,O,X,X,X
ZTIJSOL,O,O,X,X,X
ZTIJOLS,X,O,O,O,X
ZTIJOSL,O,O,X,X,X
ZTISLJO,O,O,X,X,X
ZTISLOJ,O,O,X,X,X
ZTISJLO,O,O,X,X,X
ZTISJOL,O,O,X,X,X
ZTISOLJ,O,O,X,X,X
ZTISOJL,O,O,X,X,X
ZTIOLJS,X,O,X,O,X
ZTIOLSJ,X,O,X,X,X
ZTIOJLS,X,O,X,O,X
ZTIOJSL,O,O,X,X,X
ZTIOSLJ,O,O,X,X,X
ZTIOSJL,O,O,X,X,X
ZTLIJSO,X,O,O,X,X
ZTLIJOS,X,O,O,O,X
ZTLISJO,X,O,O,X,X
ZTLISOJ,X,O,O,X,X
ZTLIOJS,X,O,X,O,X
ZTLIOSJ,X,O,X,X,X
ZTLJISO,X,O,O,X,X
ZTLJIOS,X,O,O,O,X
ZTLJSIO,X,O,O,X,X
ZTLJSOI,X,O,O,X,X
ZTLJOIS,X,O,O,O,X
ZTLJOSI,X,O,O,X,X
ZTLSIJO,X,O,O,X,X
ZTLSIOJ,X,O,O,X,X
ZTLSJIO,X,O,O,X,X
ZTLSJOI,X,O,O,X,X
ZTLSOIJ,X,O,O,X,X
ZTLSOJI,X,O,O,X,X
ZTLOIJS,X,O,X,O,X
ZTLOISJ,X,O,X,X,X
ZTLOJIS,X,O,X,O,X
ZTLOJSI,X,O,X,X,X
ZTLOSIJ,X,O,X,X,X
ZTLOSJI,X,O,X,X,X
ZTJILSO,X,O,O,X,X
ZTJILOS,X,O,O,O,X
ZTJISLO,O,O,X,X,X
ZTJISOL,O,O,X,X,X
ZTJIOLS,X,O,O,O,X
ZTJIOSL,O,O,X,X,X
ZTJLISO,X,O,O,X,X
ZTJLIOS,X,O,O,O,X
ZTJLSIO,X,O,O,X,X
ZTJLSOI,X,O,O,X,X
ZTJLOIS,X,O,O,O,X
ZTJLOSI,X,O,O,X,X
ZTJSILO,O,O,X,X,X
ZTJSIOL,O,O,X,X,X
ZTJSLIO,O,O,X,X,X
ZTJSLOI,O,O,X,X,X
ZTJSOIL,O,O,X,X,X
ZTJSOLI,O,O,X,X,X
ZTJOILS,X,O,O,O,X
ZTJOISL,O,O,X,X,X
ZTJOLIS,X,O,O,O,X
ZTJOLSI,X,O,O,X,X
ZTJOSIL,O,O,X,X,X
ZTJOSLI,O,O,X,X,X
ZTSILJO,O,O,X,X,X
ZTSILOJ,O,O,X,X,X
ZTSIJLO,O,O,X,X,X
ZTSIJOL,O,O,X,X,X
ZTSIOLJ,O,O,X,X,X
ZTSIOJL,O,O,X,X,X
ZTSLIJO,O,O,X,X,X
ZTSLIOJ,O,O,X,X,X
ZTSLJIO,O,O,X,X,X
ZTSLJOI,O,O,X,X,X
ZTSLOIJ,O,O,X,X,X
ZTSLOJI,O,O,X,X,X
ZTSJILO,O,O,X,X,X
ZTSJIOL,O,O,X,X,X
ZTSJLIO,O,O,X,X,X
ZTSJLOI,O,O,X,X,X
ZTSJOIL,O,O,X,X,X
ZTSJOLI,O,O,X,X,X
ZTSOILJ,O,O,X,X,X
ZTSOIJL,O,O,X,X,X
ZTSOLIJ,O,O,X,X,X
ZTSOLJI,O,O,X,X,X
ZTSOJIL,O,O,X,X,X
ZTSOJLI,O,O,X,X,X
ZTOILJS,X,O,X,O,X
ZTOILSJ,X,O,X,X,X
ZTOIJLS,X,O,X,O,X
ZTOIJSL,O,O,X,X,X
ZTOISLJ,O,O,X,X,X
ZTOISJL,O,O,X,X,X
ZTOLIJS,X,O,X,O,X
ZTOLISJ,X,O,X,X,X
ZTOLJIS,X,O,X,O,X
ZTOLJSI,X,O,X,X,X
ZTOLSIJ,X,O,X,X,X
ZTOLSJI,X,O,X,X,X
ZTOJILS,X,O,X,O,X
ZTOJISL,O,O,X,X,X
ZTOJLIS,X,O,X,O,X
ZTOJLSI,X,O,X,X,X
ZTOJSIL,O,O,X,X,X
ZTOJSLI,O,O,X,X,X
ZTOSILJ,O,O,X,X,X
ZTOSIJL,O,O,X,X,X
ZTOSLIJ,O,O,X,X,X
ZTOSLJI,O,O,X,X,X
ZTOSJIL,O,O,X,X,X
ZTOSJLI,O,O,X,X,X
ZITLJSO,X,O,O,X,X
ZITLJOS,X,O,O,O,X
ZITLSJO,X,O,O,X,X
ZITLSOJ,X,O,O,X,X
ZITLOJS,X,O,X,O,X
ZITLOSJ,X,O,X,X,X
ZITJLSO,X,O,O,X,X
ZITJLOS,X,O,O,O,X
ZITJSLO,O,O,X,X,X
ZITJSOL,O,O,X,X,X
ZITJOLS,X,O,O,O,X
ZITJOSL,O,O,X,X,X
ZITSLJO,O,O,X,X,X
ZITSLOJ,O,O,X,X,X
ZITSJLO,O,O,X,X,X
ZITSJOL,O,O,X,X,X
ZITSOLJ,O,O,X,X,X
ZITSOJL,O,O,X,X,X
ZITOLJS,X,O,X,O,X
ZITOLSJ,X,O,X,X,X
ZITOJLS,X,O,X,O,X
ZITOJSL,O,O,X,X,X
ZITOSLJ,O,O,X,X,X
ZITOSJL,O,O,X,X,X
ZILTJSO,X,O,O,X,X
ZILTJOS,X,O,O,O,X
ZILTSJO,X,O,O,X,X
ZILTSOJ,X,O,O,X,X
ZILTOJS,X,O,X,O,X
ZILTOSJ,X,O,X,X,X
ZILJTSO,X,O,O,X,X
ZILJTOS,X,O,O,X,X
ZILJSTO,X,X,O,X,X
ZILJSOT,X,X,O,X,X
ZILJOTS,X,O,O,X,X
ZILJOST,X,X,O,X,X
ZILSTJO,X,X,O,X,X
ZILSTOJ,X,X,O,X,X
ZILSJTO,X,X,O,X,X
ZILSJOT,X,X,O,X,X
ZILSOTJ,X,X,O,X,X
ZILSOJT,X,X,O,X,X
ZILOTJS,X,O,X,O,X
ZILOTSJ,X,O,X,X,X
